PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,GR,AID,PMC,AD,EIN,SI,CIN,OID,OTO,OT,GN,LID,RF
3420290,NLM,MEDLINE,19881017,20201209,0039-9450 (Print) 0039-9450 (Linking),33,7,1988 Jun,[The enzymes and genes participating in DNA replication of animal cells. Analysis of terminal deoxynucleotidyltransferase cDNA expressible in mammalian cells].,1186-91,,"['Koiwai, O']",['Koiwai O'],['jpn'],['Journal Article'],,Japan,Tanpakushitsu Kakusan Koso,"Tanpakushitsu kakusan koso. Protein, nucleic acid, enzyme",0413762,"['EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)', 'EC 2.7.7.7 (DNA Polymerase I)']",IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Cloning, Molecular', 'DNA Nucleotidylexotransferase/*genetics/physiology', 'DNA Nucleotidyltransferases/*genetics', 'DNA Polymerase I/genetics', '*DNA Replication', 'Humans', 'Leukemia/enzymology', 'Molecular Sequence Data']",1988/06/01 00:00,1988/06/01 00:01,['1988/06/01 00:00'],"['1988/06/01 00:00 [pubmed]', '1988/06/01 00:01 [medline]', '1988/06/01 00:00 [entrez]']",ppublish,Tanpakushitsu Kakusan Koso. 1988 Jun;33(7):1186-91.,,,,,,,,,,,,,
3420153,NLM,MEDLINE,19881017,20190919,0031-6989 (Print) 0031-6989 (Linking),20,5,1988 May,Regulation of tumor antigen expression by drugs acting as mutagens and/or gene activators.,441-2,,"['Fuschiotti, P', 'Puccetti, P', 'Romani, L', 'Fioretti, M C']","['Fuschiotti P', 'Puccetti P', 'Romani L', 'Fioretti MC']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Pharmacol Res Commun,Pharmacological research communications,0236354,"['0 (Antigens, Neoplasm)', '0 (DNA, Neoplasm)', '0 (Mutagens)']",IM,"['Animals', 'Antigens, Neoplasm/*immunology', 'DNA, Neoplasm/metabolism', 'Gene Expression Regulation/*drug effects', 'Leukemia L1210/immunology/metabolism', 'Mice', 'Mutagens/*pharmacology', 'Tumor Cells, Cultured/immunology/metabolism']",1988/05/01 00:00,1988/05/01 00:01,['1988/05/01 00:00'],"['1988/05/01 00:00 [pubmed]', '1988/05/01 00:01 [medline]', '1988/05/01 00:00 [entrez]']",ppublish,Pharmacol Res Commun. 1988 May;20(5):441-2. doi: 10.1016/s0031-6989(88)80033-x.,,['10.1016/s0031-6989(88)80033-x [doi]'],,"['Institute of Pharmacology, University of Perugia, Italy.']",,,,,,,,,
3420116,NLM,MEDLINE,19881027,20200930,0037-9727 (Print) 0037-9727 (Linking),188,4,1988 Sep,"Abstracts: 1988 annual meeting, Beijing, China, Section of the Society for Experimental Biology and Medicine. February 27, 1988.",515-21,,,,['eng'],['Journal Article'],,United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,,IM,"['Animals', 'Humans', '*Leukemia, Experimental', '*Neoplasms, Experimental']",1988/09/01 00:00,1988/09/01 00:01,['1988/09/01 00:00'],"['1988/09/01 00:00 [pubmed]', '1988/09/01 00:01 [medline]', '1988/09/01 00:00 [entrez]']",ppublish,Proc Soc Exp Biol Med. 1988 Sep;188(4):515-21.,,,,,,,,,,,,,
3420109,NLM,MEDLINE,19881027,20200930,0037-9727 (Print) 0037-9727 (Linking),188,4,1988 Sep,Subcellular distribution of doxorubicin: comparison of fatty acid-modified and unmodified cells.,455-60,"We have examined the subcellular localization of doxorubicin and evaluated the effect of fatty acid modification on specific intracellular localization. L1210 leukemia cells enriched with docosahexaenoic acid (22:6) or oleic acid (18:1) were incubated with radiolabeled or unlabeled doxorubicin. After equilibration the cells were ruptured and the subcellular fractions were isolated by differential centrifugation and sucrose gradient separation. The doxorubicin localized primarily in nuclei, as expected, but appreciable amounts were also detected in mitochondria and smaller amounts in plasma membranes, microsomes, and cytoplasm. Subcellular distribution of another anticancer drug which binds to DNA, mitoxantrone, was similar. There were increased amounts of doxorubicin contained in the nuclei and all organelles of the 22:6-enriched cells. Although polyunsaturated fatty acid modification influenced the total amount of doxorubicin in fractions, the relative distribution of drug among the fractions was not different from that of the 18:1-enriched and unmodified cells. We conclude that enrichment with polyunsaturates influences total drug uptake but not proportional distribution of doxorubicin.","['Burns, C P', 'North, J A', 'Petersen, E S', 'Ingraham, L M']","['Burns CP', 'North JA', 'Petersen ES', 'Ingraham LM']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,"['0 (Antineoplastic Agents)', '0 (Fatty Acids)', '80168379AG (Doxorubicin)', 'BZ114NVM5P (Mitoxantrone)']",IM,"['Animals', 'Antineoplastic Agents/pharmacokinetics', 'Cells, Cultured', 'Doxorubicin/*pharmacokinetics', 'Fatty Acids/*pharmacology', 'Leukemia L1210/metabolism', 'Mitoxantrone/pharmacokinetics', 'Subcellular Fractions/*metabolism']",1988/09/01 00:00,1988/09/01 00:01,['1988/09/01 00:00'],"['1988/09/01 00:00 [pubmed]', '1988/09/01 00:01 [medline]', '1988/09/01 00:00 [entrez]']",ppublish,Proc Soc Exp Biol Med. 1988 Sep;188(4):455-60. doi: 10.3181/00379727-188-42760.,"['CA 31526/CA/NCI NIH HHS/United States', 'RR59/RR/NCRR NIH HHS/United States']",['10.3181/00379727-188-42760 [doi]'],,"['Department of Medicine, University of Iowa College of Medicine, Iowa City 52242.']",,,,,,,,,
3419897,NLM,MEDLINE,19881018,20041117,,30,3,1988,"[Pyoderma gangrenosum and hemopathy, apropos of 2 cases].",176,,"['Goguel, A']",['Goguel A'],['fre'],"['Case Reports', 'Letter']","Pyoderma gangrenosum et hemopathie, a propos de 2 observations.",Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,,IM,"['Humans', 'Leukemia/*complications', 'Pyoderma/*complications']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",ppublish,Nouv Rev Fr Hematol. 1988;30(3):176.,,,,,,,,,,,,,
3419895,NLM,MEDLINE,19881018,20041117,,30,3,1988,"Leukemia, oncogenes and cell cycle kinetics.",135-6,,"['Ross, D W']",['Ross DW'],['eng'],['Editorial'],,Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,,IM,"['*Cell Cycle', 'Humans', 'Leukemia/*genetics/pathology', '*Oncogenes']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",ppublish,Nouv Rev Fr Hematol. 1988;30(3):135-6.,,,,,,,,,,,,,
3419867,NLM,MEDLINE,19881019,20041117,0031-3955 (Print) 0031-3955 (Linking),35,4,1988 Aug,The leukemias.,675-952,,,,['eng'],['Journal Article'],,United States,Pediatr Clin North Am,Pediatric clinics of North America,0401126,,IM,"['Child', 'Humans', '*Leukemia']",1988/08/01 00:00,1988/08/01 00:01,['1988/08/01 00:00'],"['1988/08/01 00:00 [pubmed]', '1988/08/01 00:01 [medline]', '1988/08/01 00:00 [entrez]']",ppublish,Pediatr Clin North Am. 1988 Aug;35(4):675-952.,,,,,,,,,,,,,
3419449,NLM,MEDLINE,19881021,20190702,0027-5107 (Print) 0027-5107 (Linking),201,1,1988 Sep,Reversed dose-rate effect and RBE of 252-californium radiation in the induction of 6-thioguanine-resistant mutations in mouse L5178Y cells.,65-71,"The effects of californium-252 radiation (average neutron energy E = 2.13 MeV) were investigated using mouse leukemia L5178Y cells. No dose-rate effect was detected for cell killing, but a 'reversed' dose-rate effect was observed for mutation induction. The frequency of 6-thioguanine-resistant mutations increased linearly up to 100 cGy (1 Gy = 100 rad), then began to level off at a dose rate of 1.2 cGy/min, while it increased continuously up to 200 cGy at a reduced dose rate of 0.16 cGy/min. Compared with results obtained using 60Co gamma-rays, the ratio of the initial slope of each dose-response curve was 4-5 for cell killing, and more than 11 for mutagenesis. Since one-third of 252Cf radiation consists of gamma-rays, the relative biological effectiveness (RBE) of 252Cf neutrons would be even greater, 16 or more, for mutation induction in the present assay.","['Nakamura, N', 'Sawada, S']","['Nakamura N', 'Sawada S']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",,Netherlands,Mutat Res,Mutation research,0400763,"['0 (Cobalt Radioisotopes)', '975X05H15A (Californium)', 'FTK8U1GZNX (Thioguanine)']",IM,"['Animals', '*Californium', 'Cell Survival/radiation effects', 'Cobalt Radioisotopes', 'Dose-Response Relationship, Radiation', 'Drug Resistance/genetics', 'Gamma Rays', 'Leukemia L5178/*genetics', 'Leukemia, Experimental/*genetics', 'Mice', '*Mutation', 'Neutrons', 'Relative Biological Effectiveness', 'Thioguanine/*pharmacology', 'Tumor Cells, Cultured']",1988/09/01 00:00,1988/09/01 00:01,['1988/09/01 00:00'],"['1988/09/01 00:00 [pubmed]', '1988/09/01 00:01 [medline]', '1988/09/01 00:00 [entrez]']",ppublish,Mutat Res. 1988 Sep;201(1):65-71. doi: 10.1016/0027-5107(88)90111-x.,,"['0027-5107(88)90111-X [pii]', '10.1016/0027-5107(88)90111-x [doi]']",,"['Department of Radiation Biology, Hiroshima University, Japan.']",,,,,,,,,
3419427,NLM,MEDLINE,19881026,20131121,0026-895X (Print) 0026-895X (Linking),34,3,1988 Sep,Evidence for a copper:S-(methylthio)-L-homocysteine complex as a glutamine antagonist of cytidine triphosphate synthesis in L1210 murine leukemia cells.,401-6,"The mixed disulfide of methyl mercaptan and L-homocysteine, S-(methylthio)-L-homocysteine (L-SMETH), inhibits the growth of L-1210 leukemia cells in culture at micromolar concentrations. The inhibition is markedly promoted by added cupric ion, but not by ions of other metals, is stereospecific, and is competitive with glutamine. For example, at 10 microM each of L-SMETH and Cu2+, almost complete growth inhibition was observed if cells were grown in 1 mM glutamine, 50% inhibition at 2 mM glutamine, and none at 4 mM glutamine. The inhibition is also completely relieved by cytidine in noncompetitive manner, but not by guanosine or uridine, indicating that the principal damage to the cellular economy resides in the amination of UTP to CTP. This was confirmed by high performance liquid chromatography analysis of cell extracts, which showed a marked decrease in CTP with increases in the levels of UTP, GTP, and ATP. A major swelling of cells leading to lysis accompanies the inhibition and increases in DNA and protein per cell confirms this unbalanced growth. The chemical basis for this biological interaction is presented.","['Rabinovitz, M', 'Fisher, J M']","['Rabinovitz M', 'Fisher JM']",['eng'],['Journal Article'],,United States,Mol Pharmacol,Molecular pharmacology,0035623,"['0 (Cytosine Nucleotides)', '0 (Disulfides)', '0 (Metals)', '0 (Organometallic Compounds)', '0 (copper-S-(methylthio)homocysteine complex)', '0LVT1QZ0BA (Homocysteine)', '0RH81L854J (Glutamine)', '65-47-4 (Cytidine Triphosphate)', '789U1901C5 (Copper)', 'EC 2.- (Transferases)', 'EC 2.6.- (Nitrogenous Group Transferases)', 'EC 4.1.3.27 (Anthranilate Synthase)', 'EC 4.1.3.27 (anthranilate synthase, glutamine amidotransferase subunit)']",IM,"['Animals', '*Anthranilate Synthase', 'Binding Sites', 'Cell Survival/drug effects', 'Copper/*pharmacology', 'Cytidine Triphosphate/*biosynthesis', 'Cytosine Nucleotides/*biosynthesis', 'Disulfides', 'Glutamine/*antagonists & inhibitors', 'Homocysteine/*analogs & derivatives/metabolism/pharmacology', 'Leukemia L1210/*metabolism', 'Metals/metabolism', 'Mice', '*Nitrogenous Group Transferases', 'Organometallic Compounds/*pharmacology', 'Transferases/antagonists & inhibitors', 'Tumor Cells, Cultured/drug effects']",1988/09/01 00:00,1988/09/01 00:01,['1988/09/01 00:00'],"['1988/09/01 00:00 [pubmed]', '1988/09/01 00:01 [medline]', '1988/09/01 00:00 [entrez]']",ppublish,Mol Pharmacol. 1988 Sep;34(3):401-6.,,,,"['Laboratory of Biological Chemistry, National Cancer Institute, Bethesda, Maryland 20892.']",,,,,,,,,
3419391,NLM,MEDLINE,19881026,20190903,0098-1532 (Print) 0098-1532 (Linking),16,4,1988,Long-term survival of children with acute non-lymphoblastic leukemia.,248-54,"Results of a pilot protocol employing chemoimmunotherapy for treatment of 23 children with acute non-lymphoblastic leukemia consecutively diagnosed between 1975 and 1979 are reported. Twenty-two children achieved remission, ten of whom are surviving 6.5-9.5 years after completion of primary systemic therapy (median 7.8 years). Treatment consisted of intermittent courses of Daunomycin, Cytosine Arabinoside, 6-Thioguanine, VP-16, with or without Decadron, Connaught BCG applied between courses of chemotherapy for the first 8 months of treatment, and cranial irradiation/intrathecal Cytosine Arabinoside in early first remission. Five patients with leukemic cells in spinal fluid at diagnosis had myelomonoblastic or monoblastic subtypes and a median diagnostic white blood cell count (WBC) of 149,000/mm3 compared with a median WBC of 12,000/mm3 for the other 18 patients (P = .007).","['Odom, L F', 'Morse, H', 'Tubergen, D G', 'Blake, M']","['Odom LF', 'Morse H', 'Tubergen DG', 'Blake M']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,['0 (BCG Vaccine)'],IM,"['Acute Disease', 'Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/therapeutic use', 'BCG Vaccine/adverse effects/therapeutic use', 'Child', 'Child, Preschool', 'Combined Modality Therapy', 'Female', 'Humans', 'Infant', 'Leukemia/*mortality/therapy', 'Male', 'Pilot Projects', 'Radiotherapy Dosage', 'Remission Induction', 'Time Factors']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",ppublish,Med Pediatr Oncol. 1988;16(4):248-54. doi: 10.1002/mpo.2950160405.,['CA 12247/CA/NCI NIH HHS/United States'],['10.1002/mpo.2950160405 [doi]'],,"[""Division of Oncology/Hematology, Children's Hospital, Denver, CO 80218.""]",,,,,,,,,
3419390,NLM,MEDLINE,19881026,20190903,0098-1532 (Print) 0098-1532 (Linking),16,4,1988,Cytogenetic study of 130 childhood acute nonlymphocytic leukemias.,227-32,"Cytogenetic studies performed on 130 consecutive childhood acute nonlymphocytic leukemias (ANLL) investigated in the same center between 1977 and 1986 are reported. The incidence of clonal chromosomal abnormalities was 68.5% with uneven distribution among the groups of the FAB nomenclature. The high incidence of t(8;21) translocation cases, which was 58.6% of M2 ANLL cases, was remarkable. Complete remission rate was lower (P less than 0.05) in ANLL with all karyotypically abnormal metaphases (AA) than in the other ANLL (NN, with only normal metaphases, and AN, with a mixture of normal and abnormal metaphases). Median survival was also shorter in AA ANLL than in AN and NN cases (P less than 0.01). Median survival was different according to karyotype abnormalities: 11q anomalies and t(15;17) were not associated with a good prognosis, and the t(8;21) is not associated with a particularly long median survival (16 months) when compared with other ANLL as opposed to the results of others. The longest survival (26 months) was observed in patients with acute myelomonocytic leukemia with bone marrow eosinophilia. It may be concluded that chromosome studies have a prognostic value in childhood ANLL.","['Leverger, G', 'Bernheim, A', 'Daniel, M T', 'Flandrin, G', 'Schaison, G', 'Berger, R']","['Leverger G', 'Bernheim A', 'Daniel MT', 'Flandrin G', 'Schaison G', 'Berger R']",['eng'],['Journal Article'],,United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,,IM,"['Bone Marrow Examination', 'Child', 'Chromosome Aberrations/epidemiology/*genetics', 'Chromosome Banding/methods', 'Chromosome Disorders', 'Female', 'Humans', 'Karyotyping', 'Leukemia/*genetics/mortality', 'Male', 'Metaphase', 'Prognosis', 'Translocation, Genetic']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",ppublish,Med Pediatr Oncol. 1988;16(4):227-32. doi: 10.1002/mpo.2950160402.,,['10.1002/mpo.2950160402 [doi]'],,"['Hematologie Pediatrique, Hopital Saint-Louis, Paris, France.']",,,,,,,,,
3419374,NLM,MEDLINE,19881024,20210122,0025-729X (Print) 0025-729X (Linking),149,6,1988 Sep 19,Clinical response of hairy-cell leukaemia to interferon-alpha: results of an Australian study.,293-6,"Twelve patients with documented, progressive hairy-cell leukaemia were treated with human lymphoblastoid interferon-alpha. All patients initially received a three-month course of interferon-alpha (3 x 10(6) U each day) which resulted in two complete remissions and 10 partial remissions. All eight patients who were dependent upon packed red-cell transfusions became independent of them and the three patients with the most severe, pretreatment pancytopenia also became independent of platelet transfusions. The histological appearance of the bone marrow improved in all patients; in three patients, a complete resolution of the leukaemic infiltrate was recorded. Adverse reactions occurred in 10 patients, but these were mild and did not interrupt treatment in seven patients. Moderate reactions that required a temporary reduction in the dose of interferon-alpha were seen in three patients. Ten patients subsequently received maintenance therapy with interferon-alpha (3 x 10(6) U, three times a week). A haematological improvement continued to be seen in all patients, and the results, with a minimum of one year of follow-up, are presented.","['Gibson, J', 'Cameron, K', 'Gallagher, K', 'Basten, A', 'Gatenby, P', 'Joshua, D', 'Kronenberg, H']","['Gibson J', 'Cameron K', 'Gallagher K', 'Basten A', 'Gatenby P', 'Joshua D', 'Kronenberg H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Australia,Med J Aust,The Medical journal of Australia,0400714,['0 (Interferon Type I)'],IM,"['Adult', 'Aged', 'Australia', 'Drug Evaluation', 'Female', 'Follow-Up Studies', 'Humans', 'Interferon Type I/adverse effects/*therapeutic use', 'Leukemia, Hairy Cell/blood/*therapy', 'Male', 'Middle Aged', 'Remission Induction']",1988/09/19 00:00,1988/09/19 00:01,['1988/09/19 00:00'],"['1988/09/19 00:00 [pubmed]', '1988/09/19 00:01 [medline]', '1988/09/19 00:00 [entrez]']",ppublish,Med J Aust. 1988 Sep 19;149(6):293-6. doi: 10.5694/j.1326-5377.1988.tb120627.x.,,['10.5694/j.1326-5377.1988.tb120627.x [doi]'],,"['Royal Prince Alfred Hospital, Camperdown, NSW.']",,,,,,,,,
3418786,NLM,MEDLINE,19881019,20200724,0022-538X (Print) 0022-538X (Linking),62,10,1988 Oct,Identification of a signal in a murine retrovirus that is sufficient for packaging of nonretroviral RNA into virions.,3802-6,"A region near the 5' end of Moloney murine leukemia virus (MoMLV) is required for packaging of viral RNA into virions. Retroviral vectors based on MoMLV have been constructed that are also efficiently packaged into virions despite removal of most of the interior region of the parental virus. To further localize sequences which are sufficient for packaging, we inserted various fragments from an MoMLV-based retroviral vector into a nonretroviral transcription unit, transfected these constructs into retrovirus-packaging cells, and measured packaging of RNA transcribed from these constructs into virions. Transcripts from some of these constructs were packaged at least as well as those from the parental vector or MoMLV itself. Sequences extending into the gag region, but not the long terminal repeat or tRNA-binding sequences, were required for efficient RNA packaging. RNAs transcribed from constructs which did not contain an insert, or in which the orientation of the insert was reversed, were not packaged at detectable levels. These studies define sequences which are necessary and sufficient for encapsidation of murine leukemia virus RNA into virions.","['Adam, M A', 'Miller, A D']","['Adam MA', 'Miller AD']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Virol,Journal of virology,0113724,"['0 (RNA, Viral)']",IM,"['Animals', 'Genetic Vectors', 'Moloney murine leukemia virus/*genetics', 'Nucleic Acid Hybridization', 'Plasmids', 'RNA, Viral/*genetics', 'Transcription, Genetic', 'Transfection', 'Virion/*genetics']",1988/10/01 00:00,1988/10/01 00:01,['1988/10/01 00:00'],"['1988/10/01 00:00 [pubmed]', '1988/10/01 00:01 [medline]', '1988/10/01 00:00 [entrez]']",ppublish,J Virol. 1988 Oct;62(10):3802-6. doi: 10.1128/JVI.62.10.3802-3806.1988.,"['CA41455/CA/NCI NIH HHS/United States', 'HL36444/HL/NHLBI NIH HHS/United States']",['10.1128/JVI.62.10.3802-3806.1988 [doi]'],PMC253525,"['Fred Hutchinson Cancer Research Center, Seattle, Washington 98104.']",,,,,,,,,
3418785,NLM,MEDLINE,19881019,20200724,0022-538X (Print) 0022-538X (Linking),62,10,1988 Oct,Development of retrovirus vectors useful for expressing genes in cultured murine embryonal cells and hematopoietic cells in vivo.,3795-801,"A series of retrovirus vectors were constructed in which cellular promoter elements derived from the chicken beta-actin and human histone H4 genes were introduced within the proviral transcriptional unit of Moloney murine leukemia virus in order to promote expression of inserted sequences. Each of these vectors gave rise to high titer of virus capable of transferring the expected proviral structure to cells. Inclusion of normal 5' splice sequences or a portion of viral gag sequences in these constructions resulted in significant increases in virus titer. Each construction was transcriptionally active in NIH 3T3 cells and in undifferentiated F9 cells. One of the vectors, HSG-neo, which contained the human histone H4 promoter, was shown to be transcriptionally active in hematopoietic cells derived from long-term reconstituted bone marrow transplant recipients engrafted with transduced stem cells. These vectors should be of general use for obtaining efficient gene expression in embryonal and hematopoietic cells.","['Guild, B C', 'Finer, M H', 'Housman, D E', 'Mulligan, R C']","['Guild BC', 'Finer MH', 'Housman DE', 'Mulligan RC']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)', '0 (RNA, Viral)']",IM,"['Animals', 'Cell Line', 'DNA, Viral/genetics', 'Female', '*Gene Expression Regulation', 'Genes, Viral', '*Genetic Vectors', 'Hematopoietic Stem Cells/*microbiology', 'Mice', 'Moloney murine leukemia virus/*genetics', 'Nucleic Acid Hybridization', 'Promoter Regions, Genetic', 'RNA, Viral/genetics', 'Transcription, Genetic', 'Transfection']",1988/10/01 00:00,1988/10/01 00:01,['1988/10/01 00:00'],"['1988/10/01 00:00 [pubmed]', '1988/10/01 00:01 [medline]', '1988/10/01 00:00 [entrez]']",ppublish,J Virol. 1988 Oct;62(10):3795-801. doi: 10.1128/JVI.62.10.3795-3801.1988.,"['CA07864-02/CA/NCI NIH HHS/United States', 'CA38497/CA/NCI NIH HHS/United States', 'HD00635/HD/NICHD NIH HHS/United States']",['10.1128/JVI.62.10.3795-3801.1988 [doi]'],PMC253524,"['Whitehead Institute for Biomedical Research, Cambridge, Massachusetts 02142.']",,,,,,,,,
3418551,NLM,MEDLINE,19881027,20060424,0022-3867 (Print) 0022-3867 (Linking),38,3,1988 Sep,Your CE topic (No. 34). Update on acute leukemia.,49-59,,"['Cersosimo, R J']",['Cersosimo RJ'],['eng'],['Journal Article'],,United States,J Pract Nurs,The Journal of practical nursing,0376610,,,"['Acute Disease', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Child', 'Education, Nursing, Continuing', 'Humans', 'Leukemia/*drug therapy/nursing', 'Nursing, Practical/education']",1988/09/01 00:00,1988/09/01 00:01,['1988/09/01 00:00'],"['1988/09/01 00:00 [pubmed]', '1988/09/01 00:01 [medline]', '1988/09/01 00:00 [entrez]']",ppublish,J Pract Nurs. 1988 Sep;38(3):49-59.,,,,,,,,,,,,,
3418506,NLM,MEDLINE,19881018,20191029,0748-1802 (Print) 0748-1802 (Linking),5,3,1988,Male love.,5,,"['Fochtman, D']",['Fochtman D'],['eng'],"['Case Reports', 'Editorial']",,United States,J Assoc Pediatr Oncol Nurses,Journal of the Association of Pediatric Oncology Nurses,8410048,,,"['Adolescent', 'Humans', '*Interpersonal Relations', 'Leukemia/*psychology', '*Love', 'Male']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",ppublish,J Assoc Pediatr Oncol Nurses. 1988;5(3):5. doi: 10.1177/104345428800500301.,,['10.1177/104345428800500301 [doi]'],,,,,,,,,,,
3417684,NLM,MEDLINE,19881019,20210210,0021-9258 (Print) 0021-9258 (Linking),263,27,1988 Sep 25,Isolation and characterization of a cDNA clone encoding rat 5-lipoxygenase.,13937-41,"A full-length cDNA clone encoding 5-lipoxygenase, a key enzyme in the formation of leukotrienes, was isolated from a rat basophilic leukemia cell lambda gt11 cDNA library. The 2.5-kilobase (kb) cDNA insert, whose identity was confirmed by hybrid-select translation and DNA sequence analysis, has a 2.0-kb open reading frame encoding a protein of Mr approximately 77,600 and includes 60 base pairs of 5'-untranslated region and 0.4 kb of 3'-untranslated region to the polyadenylation signal. The deduced amino acid sequence shows significant homology with published sequences for the rabbit reticulocyte lipoxygenase and soybean lipoxygenase-1; it also contains sequences similar to a consensus sequence found in several calcium-dependent membrane-binding proteins. The cDNA recognizes a 2.6-kb mRNA species which is detected in all tissues but is particularly abundant in RNA from lung.","['Balcarek, J M', 'Theisen, T W', 'Cook, M N', 'Varrichio, A', 'Hwang, S M', 'Strohsacker, M W', 'Crooke, S T']","['Balcarek JM', 'Theisen TW', 'Cook MN', 'Varrichio A', 'Hwang SM', 'Strohsacker MW', 'Crooke ST']",['eng'],"['Comparative Study', 'Journal Article']",,United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (RNA, Messenger)', '9007-49-2 (DNA)', 'EC 1.13.11.- (Arachidonate Lipoxygenases)', 'EC 1.13.11.34 (Arachidonate 5-Lipoxygenase)', 'SY7Q814VUP (Calcium)']",IM,"['Amino Acid Sequence', 'Animals', 'Arachidonate 5-Lipoxygenase/*genetics', 'Arachidonate Lipoxygenases/*genetics', 'Base Sequence', 'Binding Sites', 'Calcium/metabolism', 'Cloning, Molecular', 'DNA/*genetics/isolation & purification', 'Lung/analysis', 'Molecular Sequence Data', 'Nucleic Acid Hybridization', 'Protein Biosynthesis', 'RNA, Messenger/analysis', 'Rats', 'Sequence Homology, Nucleic Acid', 'Tissue Distribution']",1988/09/25 00:00,1988/09/25 00:01,['1988/09/25 00:00'],"['1988/09/25 00:00 [pubmed]', '1988/09/25 00:01 [medline]', '1988/09/25 00:00 [entrez]']",ppublish,J Biol Chem. 1988 Sep 25;263(27):13937-41.,,['S0021-9258(18)68334-6 [pii]'],,"['Department of Molecular Pharmacology, Smith Kline & French Laboratories, Swedeland, Pennsylvania 19479.']",,['GENBANK/J03960'],,,,,,,
