PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,CI,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,CIN,RF,GR,PMC,MID,OID,CON,EIN,CN,TT,SI,LID,RIN,PS,FPS,RPI
16925821,NLM,MEDLINE,20061010,20181113,1471-2105 (Electronic) 1471-2105 (Linking),7,,2006 Aug 22,Selecting normalization genes for small diagnostic microarrays.,388,"BACKGROUND: Normalization of gene expression microarrays carrying thousands of genes is based on assumptions that do not hold for diagnostic microarrays carrying only few genes. Thus, applying standard microarray normalization strategies to diagnostic microarrays causes new normalization problems. RESULTS: In this paper we point out the differences of normalizing large microarrays and small diagnostic microarrays. We suggest to include additional normalization genes on the small diagnostic microarrays and propose two strategies for selecting them from genomewide microarray studies. The first is a data driven univariate selection of normalization genes. The second is multivariate and based on finding a balanced diagnostic signature. Finally, we compare both methods to standard normalization protocols known from large microarrays. CONCLUSION: Not including additional genes for normalization on small microarrays leads to a loss of diagnostic information. Using house keeping genes from the literature for normalization fails to work for certain datasets. While a data driven selection of additional normalization genes works well, the best results were obtained using a balanced signature.",,"['Jaeger, Jochen', 'Spang, Rainer']","['Jaeger J', 'Spang R']","['Max Planck Institute for Molecular Genetics, Ihnestrasse 73, 14195 Berlin, Germany. jaeger@molgen.mpg.de']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,BMC Bioinformatics,BMC bioinformatics,100965194,,IM,"['Algorithms', 'Gene Expression Profiling/*methods', 'Genome, Human/genetics', 'Humans', 'Multivariate Analysis', 'Oligonucleotide Array Sequence Analysis/*methods', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/genetics', 'Sequence Analysis, DNA/methods', 'Statistics as Topic/*methods']",2006/08/24 09:00,2006/10/13 09:00,['2006/08/24 09:00'],"['2006/02/23 00:00 [received]', '2006/08/22 00:00 [accepted]', '2006/08/24 09:00 [pubmed]', '2006/10/13 09:00 [medline]', '2006/08/24 09:00 [entrez]']","['1471-2105-7-388 [pii]', '10.1186/1471-2105-7-388 [doi]']",epublish,BMC Bioinformatics. 2006 Aug 22;7:388. doi: 10.1186/1471-2105-7-388.,20060822,,,,PMC1560169,,,,,,,,,,,,
16925719,NLM,MEDLINE,20061003,20161124,1442-6404 (Print) 1442-6404 (Linking),34,6,2006 Aug,Bilateral exudative retinal detachment as the first sign of relapsing acute myelogenous leukaemia.,623-5,"Bilateral exudative retinal detachment is rarely seen as an ocular manifestation of acute myelogenous leukaemia. Herein, a case is described where a trans-scleral choroidal biopsy was used to diagnose relapsing acute myelogenous leukaemia when the rest of her systemic work-up was negative.",,"['Wu, Lihteh', 'Calderon, Marcos', 'Hernandez, Gerardo', 'Marbis, Jose', 'Ramirez, Victor']","['Wu L', 'Calderon M', 'Hernandez G', 'Marbis J', 'Ramirez V']",,['eng'],"['Case Reports', 'Letter']",Australia,Clin Exp Ophthalmol,Clinical & experimental ophthalmology,100896531,,IM,"['Adult', 'Biopsy', 'Choroid/diagnostic imaging/*pathology', 'Exudates and Transudates', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', '*Leukemic Infiltration', 'Neoplasm Recurrence, Local/*pathology', 'Retinal Detachment/*diagnostic imaging/pathology', 'Ultrasonography']",2006/08/24 09:00,2006/10/04 09:00,['2006/08/24 09:00'],"['2006/08/24 09:00 [pubmed]', '2006/10/04 09:00 [medline]', '2006/08/24 09:00 [entrez]']","['CEO1291 [pii]', '10.1111/j.1442-9071.2006.01291.x [doi]']",ppublish,Clin Exp Ophthalmol. 2006 Aug;34(6):623-5. doi: 10.1111/j.1442-9071.2006.01291.x.,,,,,,,,,,,,,,,,,
16925505,NLM,MEDLINE,20070419,20190917,1744-7666 (Electronic) 1465-6566 (Linking),7,13,2006 Sep,Nelarabine in the treatment of refractory T-cell malignant diseases.,1791-9,"T-cell haematological malignancies are uncommon, difficult to treat and, with the exception of T-cell acute lymphoblastic leukaemia, often associated with a poor prognosis. Nelarabine (2-amino-9-beta-D-arabinosyl-6-methoxy-9H-guanine), a synthesised guanosine nucleoside and water-soluble prodrug of ara-G (9-beta-D-arabinofuranosylguanine), has recently been approved by the FDA for the treatment of relapsed/refractory T-cell acute lymphoblastic leukaemia and T-cell lymphoblastic lymphoma in adults and children. Similar to other nucleoside analogues, nelarabine acts by inhibiting DNA synthesis and inducing apoptosis in susceptible cells. Ara-G itself is a water-insoluble molecule, making its clinical use difficult. However, nelarabine is water soluble and rapidly converted to ara-G in vivo. Interestingly, it has been demonstrated that ara-GTP accumulates more readily in T-cells than in B-cells, and this discovery created interest in the development of nelarabine for the treatment of T-cell malignancies. The results of early-phase clinical trials evaluating the use of nelarabine in adults and children with refractory T-cell malignancies have been promising. This article describes the development, pharmacology, toxicity and clinical activity of nelarabine, as well as discusses its potential role in the treatment of T-cell haematological malignancies.",,"['Kline, Justin', 'Larson, Richard A']","['Kline J', 'Larson RA']","['Section of Hematology/Oncology, Department of Medicine and Cancer Research Center, University of Chicago, Chicago, IL, USA. jkline@medicine.bsd.uchicago.edu']",['eng'],"['Journal Article', 'Review']",England,Expert Opin Pharmacother,Expert opinion on pharmacotherapy,100897346,"['0 (Arabinonucleosides)', '60158CV180 (nelarabine)']",IM,"['Animals', 'Arabinonucleosides/adverse effects/chemistry/pharmacokinetics/*therapeutic use', 'Clinical Trials as Topic', 'Humans', 'Leukemia, T-Cell/*drug therapy', 'Treatment Outcome']",2006/08/24 09:00,2007/04/20 09:00,['2006/08/24 09:00'],"['2006/08/24 09:00 [pubmed]', '2007/04/20 09:00 [medline]', '2006/08/24 09:00 [entrez]']",['10.1517/14656566.7.13.1791 [doi]'],ppublish,Expert Opin Pharmacother. 2006 Sep;7(13):1791-9. doi: 10.1517/14656566.7.13.1791.,,,32,,,,,,,,,,,,,,
16925413,NLM,MEDLINE,20070717,20181113,0002-7863 (Print) 0002-7863 (Linking),128,34,2006 Aug 30,Unique contrast patterns from resonance-enhanced chiral SHG of cell membranes.,11030-1,"Chirality can produce novel nonlinear optical effects that may form the basis for new imaging contrast agents. In this paper, we developed a new chiral chromophore 2, which is the dimer of a known voltage sensitive dye, monomer 1, with the chirality originating from the twisted orientation between two subunits. Racemic dimer and monomer 1 were used as the references to study the effect of chirality in SHG microscopy of live cells. All these dyes selectively stain the outer leaflets of cell membranes, producing strong resonance-enhanced SHG images. At the symmetric junction between two adherent cells, monomer or racemic dimer SHG is forbidden due to centrosymmetry, and indeed little SHG was observed (10 +/- 1% relative to nonjunction). When stained with the chiral dimer, the junction is no longer centrosymmetric and much stronger SHG was observed (39 +/- 4% relative to nonjunction). Plane polarized light produces highly polarized images of spherical cells stained with racemic dye, but for the chiral dye, the polarized pattern is largely eliminated by the chiral SHG emanating from the subresolution membrane convolutions.",,"['Yan, Ping', 'Millard, Andrew C', 'Wei, Meide', 'Loew, Leslie M']","['Yan P', 'Millard AC', 'Wei M', 'Loew LM']","['Center for Cell Analysis and Modeling, University of Connecticut Health Center, Farmington, Connecticut 06030, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",United States,J Am Chem Soc,Journal of the American Chemical Society,7503056,,IM,"['Animals', '*Cell Membrane', 'Leukemia L1210/pathology', 'Stereoisomerism']",2006/08/24 09:00,2007/07/18 09:00,['2006/08/24 09:00'],"['2006/08/24 09:00 [pubmed]', '2007/07/18 09:00 [medline]', '2006/08/24 09:00 [entrez]']",['10.1021/ja0635534 [doi]'],ppublish,J Am Chem Soc. 2006 Aug 30;128(34):11030-1. doi: 10.1021/ja0635534.,,,,"['EB001963/EB/NIBIB NIH HHS/United States', 'U54RR022232/RR/NCRR NIH HHS/United States', 'R01 EB001963/EB/NIBIB NIH HHS/United States', 'U54 RR022232-02/RR/NCRR NIH HHS/United States', 'U54 RR022232/RR/NCRR NIH HHS/United States', 'R01 EB001963-24/EB/NIBIB NIH HHS/United States']",PMC2505333,['NIHMS61231'],,,,,,,,,,,
16925132,NLM,MEDLINE,20060929,20161021,0890-5215 (Print) 0890-5215 (Linking),21,8 Suppl,2006,The cytokines and the B-cell malignancies: a new spin on maximizing therapeutic outcomes.,13-4,,,"['Snively, Anne H']",['Snively AH'],"['Oncology Nursing Society, Pittsburgh, PA, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,ONS News,ONS news,8906187,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Antineoplastic Agents)', '0 (Cytokines)', '0 (Immunologic Factors)', '4F4X42SYQ6 (Rituximab)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",,"['Antibodies, Monoclonal/therapeutic use', 'Antibodies, Monoclonal, Murine-Derived', 'Antibody-Dependent Cell Cytotoxicity', 'Antineoplastic Agents/therapeutic use', 'Cytokines/*therapeutic use', 'Disease-Free Survival', 'Granulocyte-Macrophage Colony-Stimulating Factor/therapeutic use', 'Humans', 'Immunologic Factors/therapeutic use', 'Leukemia, Lymphocytic, Chronic, B-Cell/diagnosis/*therapy', 'Lymphoma, B-Cell/diagnosis/*therapy', 'Lymphoma, Follicular/diagnosis/*therapy', 'Lymphoma, Large B-Cell, Diffuse/diagnosis/*therapy', 'Neoplasm Staging', 'Oncology Nursing/organization & administration', 'Prognosis', 'Remission Induction', 'Rituximab']",2006/08/24 09:00,2006/09/30 09:00,['2006/08/24 09:00'],"['2006/08/24 09:00 [pubmed]', '2006/09/30 09:00 [medline]', '2006/08/24 09:00 [entrez]']",,ppublish,ONS News. 2006;21(8 Suppl):13-4.,,,13,,,,,,,,,,,,,,
16925116,NLM,MEDLINE,20061205,20191110,0965-0407 (Print) 0965-0407 (Linking),16,3,2005,In vitro inhibition of promyelocytic leukemia/retinoic acid receptor-alpha (PML/RARalpha) expression and leukemogenic activity by DNA/LNA chimeric antisense oligos.,157-66,"Acute promyelocytic leukemia (APL) is a subtype of myeloid leukemia characterized by the chromosomal translocation t(15:17) that leads to the expression of promyelocytic leukemia/retinoic acid receptor-alpha (PML/ RARalpha) oncofusion protein. The block of differentiation at the promyelocytic stage of the blasts and their increased survival induced by PML/RARalpha are the principal biological features of the disease. Therapies based on pharmacological doses of retinoic acid (RA, 10(-6) M) are able to restore APL cell differentiation in most cases, but not to achieve complete hematological remission because retinoic acid resistance occurs in many patients. In order to elaborate alternative therapeutic approaches, we focused our attention on the use of antisense oligonucleotides as gene-specific drug directed to PML/RARalpha mRNA target. We used antisense molecules containing multiple locked nucleic acid (LNA) modifications. The LNAs are nucleotide analogues that are able to form duplexes with complementary DNA or RNA sequences with highly increased thermal stability and are resistant to 3'-exonuclease degradation in vitro. The DNA/LNA chimeric molecules were designed on the fusion sequence of PML and RARalpha genes to specifically target the oncofusion protein. Cell-free and in vitro experiments using U937-PR9-inducible cell line showed that DNA/LNA oligonucleotides were able to interfere with PML/RARalpha expression more efficiently than the corresponding unmodified DNA oligo. Moreover, the treatment of U937-PR9 cells with these chimeric antisense molecules was able to abrogate the block of differentiation induced by PML/RARalpha oncoprotein. These data suggest a possible application of oligonucleotides containing LNA in an antisense therapeutic strategy for APL.",,"['Caprodossi, Sara', 'Galluzzi, Luca', 'Biagetti, Simona', 'Della Chiara, Giulia', 'Pelicci, Pier Giuseppe', 'Magnani, Mauro', 'Fanelli, Mirco']","['Caprodossi S', 'Galluzzi L', 'Biagetti S', 'Della Chiara G', 'Pelicci PG', 'Magnani M', 'Fanelli M']","['Centre of Biotechnology, University of Urbino, Fano, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Oncol Res,Oncology research,9208097,"['0 (Liposomes)', '0 (Nucleic Acids)', '0 (Oligonucleotides)', '0 (Oligonucleotides, Antisense)', '0 (Oncogene Proteins, Fusion)', '0 (RNA, Messenger)', '0 (Recombinant Fusion Proteins)', '0 (promyelocytic leukemia-retinoic acid receptor alpha fusion oncoprotein)']",IM,"['Cell Differentiation', '*Gene Expression Regulation, Neoplastic', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy/genetics', 'Liposomes/chemistry', 'Nucleic Acids/chemistry', 'Oligonucleotides/chemistry', 'Oligonucleotides, Antisense/*chemistry', 'Oncogene Proteins, Fusion/chemistry', 'Protein Biosynthesis', 'RNA, Messenger/metabolism', 'Recombinant Fusion Proteins/*chemistry', 'Transfection', '*Translocation, Genetic', 'U937 Cells']",2006/08/24 09:00,2006/12/09 09:00,['2006/08/24 09:00'],"['2006/08/24 09:00 [pubmed]', '2006/12/09 09:00 [medline]', '2006/08/24 09:00 [entrez]']",['10.3727/000000006783981152 [doi]'],ppublish,Oncol Res. 2005;16(3):157-66. doi: 10.3727/000000006783981152.,,,,,,,,,,,,,,,,,
16925061,NLM,MEDLINE,20061227,20190816,0869-2084 (Print) 0869-2084 (Linking),,7,2006 Jul,[Principles and potentialities of the standardization of morphocytochemical diagnosis of acute leukemias].,"20-2, 35-8","Under the present conditions, the competitive capacity of a health care facility is provided by the high level and timeliness of diagnosis of disease. The diagnosis of the types of acute leukemia (AL) may be accomplished immunologically, by using a 33-marker panel and without consideration of the morphocytochemical parameters of blast cells. But such an approach complicates and prolongs the examination of patients with AL. Moreover, morphocytochemical data more exactly define the stages of blast cell differentiation than does the immunological phenotype. Their preparation methods are simple and cost-effective. Only M0, M6, and M7 forms of leukemia require compulsory blast cell phenotyping, particularly in the differential diagnosis of acute myeloid leukemia and acute lymphoblastic leukemia. Search for new markers of leukemia cells, including lesions at the chromosomal or molecular levels, is under way. Some of them are only of theoretical value while other markers have been already used by hematologists to diagnose leukemia. Standardization in this essence is the self-assessment of a facility and reference comparison, which are based on the principles of its orientation to the patient, the adjusted system for controlling the quality of health care that is up to the world standards rather than the compliance with the state-regulated standard. The present paper discusses the ways of establishing the uniform rates and requirements for the morphocytochemical diagnosis of acute leukemias.",,"['Pogorelov, V M', 'Diagileva, O A', 'Lugovskaia, S A', 'Kozinets, G I']","['Pogorelov VM', 'Diagileva OA', 'Lugovskaia SA', 'Kozinets GI']",,['rus'],"['English Abstract', 'Journal Article', 'Review']",Russia (Federation),Klin Lab Diagn,Klinicheskaia laboratornaia diagnostika,9432021,"['0 (Biomarkers, Tumor)']",IM,"['Acute Disease', 'Biomarkers, Tumor/*analysis', 'Blast Crisis/*diagnosis/pathology', 'Diagnosis, Differential', 'Humans', 'Immunohistochemistry/methods/standards', 'Immunophenotyping/methods/standards', 'Leukemia/classification/*diagnosis/pathology']",2006/08/24 09:00,2006/12/28 09:00,['2006/08/24 09:00'],"['2006/08/24 09:00 [pubmed]', '2006/12/28 09:00 [medline]', '2006/08/24 09:00 [entrez]']",,ppublish,"Klin Lab Diagn. 2006 Jul;(7):20-2, 35-8.",,,8,,,,,,,,,,,,,,
16924802,NLM,MEDLINE,20060914,20061115,0023-2149 (Print) 0023-2149 (Linking),84,7,2006,[Clinicomorphyological peculiarities of pneumonias complicating the course of oncohematological diseases].,51-3,"The modern concept of pneumonia should not be considered to be a logically accomplished theory. The diagnostic aspects remain complicated; the reasons for an increasing frequency of complication and lethality are not quite clear. Hospital pneumonia is under careful study, which is connected with its severity, complications, high lethargy, and a significantly higher cost of treatment. The morphological peculiarities of pneumonia in myelodepressed oncohematological patients deserve to be studied. In this study, 73 postmortem records of patients who had died of hemoblastoses and had had pneumonia were analyzed. The study showed that the first place in the clinical manifestations of pneumonia in myelo-depressed patients with hematoblastomas belongs to respiratory failure and toxic infective syndrome, which makes difficulties for diagnostic search of the infective process localization. Chest radiograms do not always make it possible to verify an inflammatory process in the lung tissue. Lung tissue infiltration in patients with myelodepression is within the limits of anatomic structures, which is also explained by the absence of cell elements forming the inflammatory bank. This morphological study demonstrates the absence of classic histological picture of pneumonia in the form of neutrophilic infiltration in patients with myelodepression, which often leads to the diagnosis of pulmonary edema or hemorrhage. Matching of clinicoradiological picture to the data of histological studies of the autopsy samples suggests that pneumonia in patients with myelodepression is atypical and implies forming serohemorrhagic and/or fibrinogenous exudate in the alveols.",,"['Likhodii, V I', 'Potekhin, N P', 'Baldin, D G']","['Likhodii VI', 'Potekhin NP', 'Baldin DG']",,['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Klin Med (Mosk),Klinicheskaia meditsina,2985204R,,IM,"['Diagnosis, Differential', 'Disease Progression', 'Follow-Up Studies', 'Humans', 'Leukemia/*complications/pathology', 'Lung/pathology', 'Pneumonia/complications/*pathology', 'Severity of Illness Index']",2006/08/24 09:00,2006/09/15 09:00,['2006/08/24 09:00'],"['2006/08/24 09:00 [pubmed]', '2006/09/15 09:00 [medline]', '2006/08/24 09:00 [entrez]']",,ppublish,Klin Med (Mosk). 2006;84(7):51-3.,,,,,,,,,,,,,,,,,
16924763,NLM,MEDLINE,20060823,20220114,1538-4047 (Print) 1538-4047 (Linking),5,1,2006 Jan,Activity of AMN107 in gleevec-resistant leukemia.,8,,,,,,['eng'],['News'],United States,Cancer Biol Ther,Cancer biology & therapy,101137842,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'F41401512X (nilotinib)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Benzamides', 'Clinical Trials, Phase I as Topic', 'Drug Resistance, Neoplasm', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Piperazines/*therapeutic use', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Pyrimidines/*therapeutic use']",2006/08/24 09:00,2006/08/24 09:01,['2006/08/24 09:00'],"['2006/08/24 09:00 [pubmed]', '2006/08/24 09:01 [medline]', '2006/08/24 09:00 [entrez]']",,ppublish,Cancer Biol Ther. 2006 Jan;5(1):8.,,,,,,,,,,,,,,,,,
16924702,NLM,MEDLINE,20070612,20171116,1008-9292 (Print) 1008-9292 (Linking),35,4,2006 Jul,[Reactivity of a novel monoclonal antibody ZCH-7-2D3 on leukemia cells and its clinical significance].,390-3,"OBJECTIVE: To analyze the reactive pattern and its clinical significance of ZCH-7-2D3 monoclonal antibody on leukemia cells. METHODS: Bone marrow samples from 100 leukemia patients (male 59: female 41, 34 cases of children and 66 adults, aged 11 months - 77 year) were collected. A CD45 gating strategy and multi-parameter flow cytometry were used to analyze the leukemia cells. RESULT: The positive rate (10/31) of 2D3 antibody on acute lymphocytic leukemia (ALL) patients was significantly lower than that (39/55) of acute myelogeneous leukemia (AML) (P <0.01). 2D3 was positive for all three cases of B/myeloid mixed lineage leukemia, but negative in 6 cases of chronic myelogeneous leukemia (CML), significantly lower than that in AML (39/55, P<0.01) patients. There was no difference between the positive rates of chronic lymphocytic leukemia (CLL, 3/5) and B lineage ALL (9/28, P = 0.2389). The antibody was not found to recognize the differentiation stages of either ALL and AML subtypes. CONCLUSION: 2D3 monoclonal antibody primarily recognizes AML cases. Further studies on cloning of gene encoding the antigen protein and its biological functions are warranted.",,"['Guo, Li', 'Tang, Yong-min', 'Shen, Hong-qiang', 'Qian, Bo-qin', 'Ning, Bo-tao', 'Zhang, Hai-zhong', 'Zhang, Yi']","['Guo L', 'Tang YM', 'Shen HQ', 'Qian BQ', 'Ning BT', 'Zhang HZ', 'Zhang Y']","[""Division of Hematology & Oncology, The Affiliated Children's Hospital, College of Medicine, Zhejiang University, Hangzhou 310003, China.""]",['chi'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhejiang Da Xue Xue Bao Yi Xue Ban,Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences,100927946,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Neoplasm)', '0 (Antigens, Neoplasm)', 'EC 3.1.3.48 (Leukocyte Common Antigens)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antibodies, Monoclonal/*immunology', 'Antibodies, Neoplasm/*immunology', 'Antigens, Neoplasm/immunology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Immunophenotyping', 'Infant', 'Leukemia, Lymphocytic, Chronic, B-Cell/immunology', 'Leukemia, Myeloid, Acute/*immunology', 'Leukocyte Common Antigens/immunology', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*immunology']",2006/08/23 09:00,2007/06/15 09:00,['2006/08/23 09:00'],"['2006/08/23 09:00 [pubmed]', '2007/06/15 09:00 [medline]', '2006/08/23 09:00 [entrez]']",,ppublish,Zhejiang Da Xue Xue Bao Yi Xue Ban. 2006 Jul;35(4):390-3.,,,,,,,,,,,,,,,,,
16924701,NLM,MEDLINE,20070612,20131121,1008-9292 (Print) 1008-9292 (Linking),35,4,2006 Jul,[Detection of bcr/abl fusion gene from K562 cell line and mononuclear cells of CML patients by DNA-PCR].,384-9,"OBJECTIVE: To detect bcr/abl fusion gene at DNA level in K562 cell line and mononuclear cells from patients with chronic myelogenous leukemia (CML). METHODS: Based on previous research, a set of DNA-PCR primers was redesigned. DNA from K562 cells and mononuclear cells of CML patients was extracted respectively. After DNA-PCR for bcr/abl fusion gene the amplified fragments were then sequenced. RESULT: At DNA level the bcr/abl fusion gene in K562 cells and mononuclear cells of 2 CML patients was amplified. Furthermore, the DNA breakpoint of fusion gene in the above samples through sequencing of amplified fragments was localized. CONCLUSION: DNA-PCR offers a new detection technology for bcr/abl fusion without the expression of fusion gene.",,"['Xu, Dong', 'Hu, Xun']","['Xu D', 'Hu X']","['Cancer Institute, The Second Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou 310009, China.']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhejiang Da Xue Xue Bao Yi Xue Ban,Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences,100927946,"['EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Fusion Proteins, bcr-abl/*genetics', 'Humans', 'K562 Cells', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Leukocytes, Mononuclear/metabolism', 'Polymerase Chain Reaction/methods']",2006/08/23 09:00,2007/06/15 09:00,['2006/08/23 09:00'],"['2006/08/23 09:00 [pubmed]', '2007/06/15 09:00 [medline]', '2006/08/23 09:00 [entrez]']",,ppublish,Zhejiang Da Xue Xue Bao Yi Xue Ban. 2006 Jul;35(4):384-9.,,,,,,,,,,,,,,,,,
16924673,NLM,MEDLINE,20070228,20180815,0730-2312 (Print) 0730-2312 (Linking),100,1,2007 Jan 1,Phosphatidic acid induces the differentiation of human acute promyelocytic leukemic cells into dendritic cell-like.,191-203,"We investigated whether phosphatidic acid (PA) can differentiate the promyelocytic leukemia (PML)-retinoic acid receptor alpha (RAR alpha)-expressing acute promyelocytic leukemic cell line, NB4, to dendritic cell (DC)-like cells. Dioctanoyl-PA alone upregulated the expression of DC markers. The expression of DC markers on NB4 cells was potentiated by the overexpression of phospholipase D and upregulation was blocked by the addition of n-butanol, an inhibitor of PA production. The expression of CD11c, CD83, and CCR7 in PA-treated NB4 cells was further increased by tumor necrosis factor (TNF)-alpha treatment. Increased functional capacities were also found in PA-differentiated and TNF-alpha-activated NB4 cells with respect to changes in T-cell proliferation, cytokine production, endocytic activity, and cytolytic capacity against undifferentiated NB4 cells. PA alone increased the phosphorylation of extracellular signal-regulated kinase (ERK)-1/2. The expression of DC markers was downregulated by PD98059, a specific inhibitor of ERK kinase or transient transfection of mutant-ERK. The level of PML-RAR alpha fusion protein was decreased by PA treatment and PD98059 blocked the decrease of PML-RAR alpha. These results suggest that PA induces differentiation of NB4 cells into DC-like cells and that the upregulation of antigen presenting cell markers is mediated by the activation of ERK and the downregulation of PML-RAR alpha levels.","['2006 Wiley-Liss, Inc.']","['Jin, Jun-O', 'Park, Hae-Young', 'Kim, Ja-Woong', 'Park, Joo-In', 'Hong, Young-Seoub', 'Min, Do Sik', 'Kwak, Jong-Young']","['Jin JO', 'Park HY', 'Kim JW', 'Park JI', 'Hong YS', 'Min do S', 'Kwak JY']","['Medical Research Center for Cancer Molecular Therapy, Dong-A University, Busan 602-714, Korea.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Cell Biochem,Journal of cellular biochemistry,8205768,"['0 (Biomarkers)', '0 (Cytokines)', '0 (Flavonoids)', '0 (Oncogene Proteins, Fusion)', '0 (Phosphatidic Acids)', '0 (promyelocytic leukemia-retinoic acid receptor alpha fusion oncoprotein)', '102731-57-7 (dioctanoylphosphatidic acid)', 'EC 2.7.11.24 (Extracellular Signal-Regulated MAP Kinases)', 'EC 3.1.4.4 (Phospholipase D)', 'SJE1IO5E3I (2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one)']",IM,"['Biomarkers/metabolism', 'Cell Differentiation/*physiology', 'Cytokines/biosynthesis', 'Dendritic Cells/immunology/metabolism/*pathology', 'Extracellular Signal-Regulated MAP Kinases/antagonists & inhibitors/metabolism', 'Flavonoids/pharmacology', 'Humans', 'Leukemia, Promyelocytic, Acute/immunology/*pathology', 'Oncogene Proteins, Fusion/metabolism', 'Phagocytosis', 'Phosphatidic Acids/pharmacology/*physiology', 'Phospholipase D/metabolism', 'Phosphorylation', 'T-Lymphocytes/immunology/pathology']",2006/08/23 09:00,2007/03/01 09:00,['2006/08/23 09:00'],"['2006/08/23 09:00 [pubmed]', '2007/03/01 09:00 [medline]', '2006/08/23 09:00 [entrez]']",['10.1002/jcb.21054 [doi]'],ppublish,J Cell Biochem. 2007 Jan 1;100(1):191-203. doi: 10.1002/jcb.21054.,,,,,,,,,,,,,,,,,
16924647,NLM,MEDLINE,20070123,20081121,0361-8609 (Print) 0361-8609 (Linking),81,11,2006 Nov,Epigenetics and chronic lymphocytic leukemia.,864-9,"The DNA methylation level in patients with chronic lymphocytic leukemia is generally lower than healthy individuals. Although DNA methylation is globally decreased, regional hypermethylation of gene promoters leads to gene silencing. Many of these genes have tumor suppressor phenotypes. Unlike mutations or deletions, hypermethylation is potentially reversible after inhibition with DNA methylation modulators. Myelodysplastic syndrome has been a model disease in which treatment of patients results in demethylation of specific genes. The story in patients with chronic lymphocytic leukemia is slowly unraveling as epigenetic modifications likely also play an important role. Ongoing clinical trials correlating clinical response to gene expression after treatment with DNA methylation inhibitors will ultimately allow us to better risk stratify and predict the subgroup of patients who will benefit from treatment with this class of drugs.","['(c) 2006 Wiley-Liss, Inc.']","['Yu, Margaret K']",['Yu MK'],"['Division of Hematology, Department of Internal Medicine, University of Utah, Salt Lake City, UT 84112, USA. margaret.yu@hci.utah.edu']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Am J Hematol,American journal of hematology,7610369,"['0 (DNA, Neoplasm)', '0 (Dinucleoside Phosphates)', ""2382-65-2 (cytidylyl-3'-5'-guanosine)""]",IM,"['DNA Methylation', 'DNA, Neoplasm/genetics', 'Dinucleoside Phosphates/genetics', '*Epigenesis, Genetic', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics', 'Models, Molecular', 'Promoter Regions, Genetic']",2006/08/23 09:00,2007/01/24 09:00,['2006/08/23 09:00'],"['2006/08/23 09:00 [pubmed]', '2007/01/24 09:00 [medline]', '2006/08/23 09:00 [entrez]']",['10.1002/ajh.20718 [doi]'],ppublish,Am J Hematol. 2006 Nov;81(11):864-9. doi: 10.1002/ajh.20718.,,,67,,,,,,,,,,,,,,
