PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,AID,TT,PMC,AB,AD,CI,RF,GR,EIN,DEP,CN,CON,CIN,MID,SI,LID,UIN,UOF
12952239,NLM,MEDLINE,20040316,20190116,1042-8194 (Print) 1026-8022 (Linking),44,8,2003 Aug,Chronic lymphocytic leukemia and multiple myeloma in the same patient: case report.,1421-4,"['Aktan, Melih', 'Akkaya, Adem', 'Dogan, Oner', 'Dincol, Guncag']","['Aktan M', 'Akkaya A', 'Dogan O', 'Dincol G']",['eng'],"['Case Reports', 'Journal Article']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['18D0SL7309 (Chlorambucil)', '9PHQ9Y1OLM (Prednisolone)']",IM,"['Aged', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'B-Lymphocytes/pathology', 'Bone Neoplasms/diagnosis/drug therapy/pathology', 'Chlorambucil/therapeutic use', 'Clone Cells/pathology', 'Disease-Free Survival', 'Gene Rearrangement', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications/diagnosis/drug therapy', 'Leukemic Infiltration/pathology', 'Male', 'Multiple Myeloma/*complications/diagnosis/drug therapy', 'Prednisolone/therapeutic use']",,,,2003/09/04 05:00,2004/03/17 05:00,['2003/09/04 05:00'],"['2003/09/04 05:00 [pubmed]', '2004/03/17 05:00 [medline]', '2003/09/04 05:00 [entrez]']",ppublish,Leuk Lymphoma. 2003 Aug;44(8):1421-4. doi: 10.1080/1042819031000090255.,['10.1080/1042819031000090255 [doi]'],,,"We hereby report the occurrence of a non-secreting multiple myeloma (MM) during the course of chronic lymphocytic leukemia (CLL). A 73-year-old patient developed a non-secreting MM 7 years after the diagnosis of CD5 (+) B cell CLL. He received intermittent chlorambucil and prednisolone therapy. The occurrence of tumors in the frontal bone led to resection of the tissue and histopathologic examination revealed neoplastic plasma cell islands within the CLL infiltration. There was no immunoglobulin or light chain accumulation in the serum. Clonal relationship between these diseases has been shown by comparing the isotypes and idiotype of both the heavy and light chains. In our case, the MM was of non-secreting type and thus we could not establish any relation between the 2 disorders. Such a case has not been reported until now in the literature. CLL and MM in the same patient is a rare occurence and investigation of the transformation event at the molecular level will contribute to our understanding of B-cell ontogenesis.","['Division of Hematology, Department of Internal Medicine, Istanbul Medical School, Istanbul University, Capa, 34390, Istanbul, Turkey. dremelih@hotmail.com']",,,,,,,,,,,,,
12952235,NLM,MEDLINE,20040316,20190116,1042-8194 (Print) 1026-8022 (Linking),44,8,2003 Aug,Clofarabine-induced acral erythema during the treatment of patients with myelodysplasia and acute leukemia: report of two cases.,1405-7,"['Chiao, Nor', 'Bumgardner, Amy', 'Duvic, Madeleine']","['Chiao N', 'Bumgardner A', 'Duvic M']",['eng'],"['Case Reports', 'Journal Article', 'Review']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Adenine Nucleotides)', '0 (Arabinonucleosides)', '762RDY0Y2H (Clofarabine)']",IM,"['Adenine Nucleotides', 'Adolescent', 'Arabinonucleosides/*adverse effects/therapeutic use', 'Clofarabine', 'Dose-Response Relationship, Drug', 'Erythema/*chemically induced/pathology', 'Female', 'Foot Dermatoses/chemically induced/pathology', 'Hand Dermatoses/chemically induced/pathology', 'Humans', 'Middle Aged', 'Myelodysplastic Syndromes/*complications/drug therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications/drug therapy']",,,,2003/09/04 05:00,2004/03/17 05:00,['2003/09/04 05:00'],"['2003/09/04 05:00 [pubmed]', '2004/03/17 05:00 [medline]', '2003/09/04 05:00 [entrez]']",ppublish,Leuk Lymphoma. 2003 Aug;44(8):1405-7. doi: 10.1080/1042819031000090183.,['10.1080/1042819031000090183 [doi]'],,,"Acral erythema has been associated with a number of chemotherapeutic agents, but there are no reports of clofarabine-induced acral erythema in the literature. We describe two patients who developed acral erythema after receiving clofarabine. One patient had myelodysplastic syndrome while the other had acute lymphoblastic leukemia.","['MD Anderson Cancer Center, 1515 Holcombe Boulevard--434, Houston, TX 77030-4009, USA.']",,11,,,,,,,,,,,
12952227,NLM,MEDLINE,20040316,20190116,1042-8194 (Print) 1026-8022 (Linking),44,8,2003 Aug,Imbalance between apoptosis and telomerase activity in myelodysplastic syndromes: possible role in ineffective hemopoiesis.,1339-46,"['Ohshima, K', 'Karube, K', 'Shimazaki, K', 'Kamma, H', 'Suzumiya, J', 'Hamasaki, M', 'Kikuchi, M']","['Ohshima K', 'Karube K', 'Shimazaki K', 'Kamma H', 'Suzumiya J', 'Hamasaki M', 'Kikuchi M']",['eng'],['Journal Article'],United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Biomarkers, Tumor)', '0 (Heterogeneous-Nuclear Ribonucleoprotein Group A-B)', '0 (hnRNP A2)', 'EC 2.7.7.49 (Telomerase)', 'EC 3.4.22.- (CASP3 protein, human)', 'EC 3.4.22.- (Caspase 3)', 'EC 3.4.22.- (Caspases)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', '*Apoptosis', 'Biomarkers, Tumor/analysis', 'Bone Marrow/pathology', 'Case-Control Studies', 'Caspase 3', 'Caspases/analysis', 'Female', '*Hematopoiesis', 'Heterogeneous-Nuclear Ribonucleoprotein Group A-B/analysis', 'Humans', 'Immunohistochemistry', 'Leukemia, Myeloid', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*enzymology/mortality/*pathology', 'Pancytopenia/etiology', 'Prognosis', 'Retrospective Studies', 'Survival Analysis', 'Telomerase/*metabolism']",,,,2003/09/04 05:00,2004/03/17 05:00,['2003/09/04 05:00'],"['2003/09/04 05:00 [pubmed]', '2004/03/17 05:00 [medline]', '2003/09/04 05:00 [entrez]']",ppublish,Leuk Lymphoma. 2003 Aug;44(8):1339-46. doi: 10.1080/1042819031000083037.,['10.1080/1042819031000083037 [doi]'],,,"The myelodysplastic syndromes (MDS) are a group of disorders characterized by peripheral pancytopenia despite normo- or hyper-cellular bone marrow. This is thought to be due to apoptosis of hematopoietic bone marrow cells, resulting in ineffective hematopoiesis. The heterogeneous nuclear ribonucleoprotein (hnRNP) B1 is involved in pre-mRNA processing and binds to telomeric cDNA repeats. The hnRNP B1 is a marker for early cancer. The aim of our study was to clarify the relationships between prognosis and apoptosis, telomerase activity (TA) and hnRNP expression in the bone marrow. The subjects were 51 patients with MDS, including patients with refractory anemia (RA) (n = 32), refractory anemia with ringed sideroblasts (RARS) (n = 1), refractory anemia with excess blasts (RAEB) (n = 7), refractory anemia with excess blasts in transformation (RAEB-t) (n = 8) and chronic myelomonocytic leukemia (CMMoL) (n = 3). We also studied 6 cases with acute myelogenous leukemia (AML) arising from MDS (AML-MDS) and 10 control subjects. Bone marrow biopsies were stained immunohistochemically for caspase-3 (marker of apoptotic activity) and human telomerase reverse transcriptase (hTERT), and hnRNP B1. Fatal pancytopenia was the cause of death in 19 of the 51 patients. The caspase-3 positive cell rate was higher in MDS (16.3%) than in controls (4.4%) and AML-MDS (0.5%). The percentage of hnRNP B1-positive cells was higher in MDS (15.3%) and AML-MDS (56.3%) than in controls (5.6%). In MDS, hnRNP B1 levels were higher in RAEB and RAEB-t subtypes than in RA and RARS. The percentage of hTERT-positive cells was higher in AML-MDS (50.0%) than in controls (20.2%) and MDS (23.6%). Our findings suggest that activation of apoptosis occurs in MDS in the absence of hTERT expression, implicating high apoptosis in the absence of high TA with ineffective hematopoiesis. Poor prognosis correlated with higher caspase-3 and lower hTERT rates. In MDS, hnRNP B1 activity may be associated with leukemic transformation.","['Department of Pathology, School of Medicine, Fukuoka University, Nanakuma 7-45-1, Jonanku, Fukuoka 814-01, Japan. ohshima@fukuoka-u.ac.jp']",,,,,,,,,,,,,
12952226,NLM,MEDLINE,20040316,20190116,1042-8194 (Print) 1026-8022 (Linking),44,8,2003 Aug,"Deletion of the 5'ABL region in Philadelphia chromosome positive chronic myeloid leukemia: frequency, origin and prognosis.",1333-8,"['Morel, Frederic', 'Ka, Chandran', 'Le Bris, Marie-Josee', 'Herry, Angele', 'Morice, Patrick', 'Bourquard, Pascal', 'Abgrall, Jean Francois', 'Berthou, Christian', 'De Braekeleer, Marc']","['Morel F', 'Ka C', 'Le Bris MJ', 'Herry A', 'Morice P', 'Bourquard P', 'Abgrall JF', 'Berthou C', 'De Braekeleer M']",['eng'],['Journal Article'],United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,['0 (DNA Probes)'],IM,"['Adolescent', 'Adult', 'Bone Marrow/pathology', 'Chi-Square Distribution', 'DNA Probes', 'Female', 'Follow-Up Studies', '*Genes, abl', 'Humans', 'In Situ Hybridization, Fluorescence', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/mortality/therapy', 'Male', 'Metaphase', 'Middle Aged', 'Philadelphia Chromosome', 'Prognosis', '*Sequence Deletion', 'Treatment Outcome']",,,,2003/09/04 05:00,2004/03/17 05:00,['2003/09/04 05:00'],"['2003/09/04 05:00 [pubmed]', '2004/03/17 05:00 [medline]', '2003/09/04 05:00 [entrez]']",ppublish,Leuk Lymphoma. 2003 Aug;44(8):1333-8. doi: 10.1080/1042819031000097384.,['10.1080/1042819031000097384 [doi]'],,,"The use of new nuclei probes in fluorescent in situ hybridization (FISH) at diagnosis and during follow up has recently allowed the detection of a deletion of the 5'abl region on the derivative chromosome 9 among some CML patients. This deletion seems to be a powerful and independent prognostic factor. The aim of our study was not only to estimate the frequency of the deletion of the 5'abl region among chronic myeloid leukemia (CML) patients with bcr-abl fusion gene, but also, to assess whether this deletion is concomitant with the formation of the Philadelphia (Ph) chromosome or represents a sign for progression of the disease, and finally to evaluate the prognostic implications of this abnormality. One hundred and twelve patients were analysed using FISH with LSI bcr-abl dual ES color probes, at the moment of the diagnosis when possible or, if not, on a sample with a strong rate of Ph+ metaphases evaluated by conventional cytogenetics. When the deletion was highlighted in a patient, we performed an hybridization on all the samples available during the follow-up. The deletion of the 5' region of the gene abl was detected among 9 patients. When the deletion was found in a patient, it was present in all the Ph+ metaphases and nuclei and in all the samples studied at diagnosis and during follow up. In these patients, we never identified cells carrying the Ph chromosome translocation without the deletion. None of the patients with the deletion had a major cytogenetic response to treatment with interferon. The deletion of the 5'abl region on der(9), present in approximately 9% of the CML, takes place at the same time as the formation of the Ph chromosome translocation and seems of worse prognosis. The detection of this deletion could thus constitute an argument to start STI treatment in first intent for these patients.","[""Laboratoire d'Histologie, Embryologie et Cyotgenetique, Faculte de Medecine, Universite de Bretagne Occidentale, Brest, France.""]",,,,,,,,,,,,,
12952221,NLM,MEDLINE,20040316,20191107,1042-8194 (Print) 1026-8022 (Linking),44,8,2003 Aug,Hematopoietic stem-cell transplantation using umbilical-cord blood.,1287-99,"['Cohena, Yossi', 'Nagler, Arnon']","['Cohena Y', 'Nagler A']",['eng'],"['Comparative Study', 'Journal Article', 'Review']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,IM,"['Adult', 'Bone Marrow Transplantation', 'Child', '*Cord Blood Stem Cell Transplantation/adverse effects/methods/mortality', 'Graft vs Host Disease/immunology/prevention & control', 'Hematologic Neoplasms/therapy', 'Hematopoietic Stem Cell Transplantation/*methods', 'Humans', 'Transplantation Immunology']",,,,2003/09/04 05:00,2004/03/17 05:00,['2003/09/04 05:00'],"['2003/09/04 05:00 [pubmed]', '2004/03/17 05:00 [medline]', '2003/09/04 05:00 [entrez]']",ppublish,Leuk Lymphoma. 2003 Aug;44(8):1287-99. doi: 10.1080/1042819031000077016.,['10.1080/1042819031000077016 [doi]'],,,"In the recent years, umbilical cord blood (UCB) has emerged as an alternative source of hematopoietic progenitors (CD34+) for allogeneic stem cell transplantation, mainly in patients lacking an HLA-matched marrow donor. Since 1998, about 2500 patients have received UCB transplants for a variety of malignant and non-malignant diseases. The vast majority of recipients were children with an average weight of 20kg, however, more than 500 UCB transplantations (UCBT) have already been performed in adults. The ""naive"" nature of UCB lymphocytes may explain the lower incidence and severity of graft vs. host disease (GvHD) encountered in UCBT compared to the allogeneic transplant setting. Furthermore, UCB is rich in primitive CD16-CD56++ NK cells, which possess significant proliferative and cytotoxic capacities and can be expanded using IL-12 or IL-15, so as to mount a substantial graft vs. leukemia (GvL) effect. The major disadvantage of UCB is the low yield of stem cells, resulting in higher rates of engraftment failure and slower time to engraftment compared to bone marrow transplantation (BMT). A rational approach thus involves ex vivo expansion of UCB derived hematopoietic precursors. All these issues are discussed in detail in this review.","['Institute of Hematology, Chaim Sheba Medical Center, Tel Hashomer, Israel.']",,65,,,,,,,,,,,
12952218,NLM,MEDLINE,20040316,20190116,1042-8194 (Print) 1026-8022 (Linking),44,8,2003 Aug,Monocyte-derived dendritic cells in chronic lymphocytic leukemia.,1267-73,"['Vuillier, Francoise', 'Dighiero, Guillaume']","['Vuillier F', 'Dighiero G']",['eng'],"['Journal Article', 'Review']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antigens, Neoplasm)']",IM,"['Antigens, Neoplasm/immunology', 'B-Lymphocytes/immunology/pathology', 'Dendritic Cells/cytology/*immunology/transplantation', 'Humans', 'Immunotherapy, Adoptive', 'Leukemia, Lymphocytic, Chronic, B-Cell/*therapy', 'Monocytes/cytology']",,,,2003/09/04 05:00,2004/03/17 05:00,['2003/09/04 05:00'],"['2003/09/04 05:00 [pubmed]', '2004/03/17 05:00 [medline]', '2003/09/04 05:00 [entrez]']",ppublish,Leuk Lymphoma. 2003 Aug;44(8):1267-73. doi: 10.1080/1042819031000079087.,['10.1080/1042819031000079087 [doi]'],,,"Chronic lymphocytic leukemia (CLL) results from the accumulation of small mature, slowly dividing, monoclonal B lymphocytes. The clinical course of this disease is heterogeneous, with some patients progressing rapidly with early death whilst others exhibit a more stable, possibly, non-progressing disease lasting many years. Despite progress in therapy, relapse invariably occurs and the disease remains incurable. The clinical management of CLL is therefore challenging and considerable effort has been directed towards novel therapeutic strategies aimed at reducing the disease relapse rate. Recent insights into the role of dendritic cells as the pivotal antigen-presenting cells that initiate immune responses may provide the basis for generating more effective antitumor immune responses. Consequently, dendritic cells constitute an attractive approach in the context of CLL. However, understanding the relation between dendritic cells and the cellular immune response is crucial to elucidation of how to manipulate immune responses. After summarizing general properties of dendritic cells, this review focus on the approaches exploiting monocyte-derived dendritic cells in CLL, which should help design of novel treatment strategies in this disease.","[""Unite d'Immuno-Hematologie et d'Immunopathologie, Institut Pasteur, 28 rue du Dr Roux, F-75724 Paris Cedex 15, France. vuillier@pasteur.fr""]",,58,,,,,,,,,,,
12952035,NLM,MEDLINE,20031002,20161124,0037-5675 (Print) 0037-5675 (Linking),44,4,2003 Apr,Spurious hypoxaemia in a patient with leukaemia and extreme leucocytosis.,208-10,"['Khoo, S M', 'Lee, K H', 'Notley, M']","['Khoo SM', 'Lee KH', 'Notley M']",['eng'],"['Case Reports', 'Journal Article']",Singapore,Singapore Med J,Singapore medical journal,0404516,,IM,"['Adult', 'Blood Gas Analysis', 'Humans', 'Hypoxia/*etiology', 'Leukapheresis', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*complications/therapy', 'Leukocytosis/*etiology', 'Male', 'Oximetry']",,,,2003/09/04 05:00,2003/10/03 05:00,['2003/09/04 05:00'],"['2003/09/04 05:00 [pubmed]', '2003/10/03 05:00 [medline]', '2003/09/04 05:00 [entrez]']",ppublish,Singapore Med J. 2003 Apr;44(4):208-10.,,,,"Rapid consumption of oxygen by leucocytes can result in erroneous diagnosis of severe hypoxaemia in patients with extreme leucocytosis. We report a case of chronic myeloid leukaemia, extreme leucocytosis and arterial hypoxaemia which was out of proportion to the clinical and radiological evidence of lung disease. The pseudohypoxaemia was confirmed by pulse oximeter and became less significant after successful reduction of leucocyte counts following leucophoresis and chemotherapy. Serial arterial blood gas analysis also demonstrated a slower initial rate of decay of PaO2 as the leucocyte count decreased with treatment.","['Department of Medicine, National University Hospital, Lower Kent Ridge Road, Singapore 119074.']",,,,,,,,,,,,,
12951844,NLM,MEDLINE,20030916,20180908,0002-9173 (Print) 0002-9173 (Linking),119 Suppl,,2003 Jun,Myelodysplastic syndromes. Contemporary biologic concepts and emerging diagnostic approaches.,S58-77,"['Vergilio, Jo-Anne', 'Bagg, Adam']","['Vergilio JA', 'Bagg A']",['eng'],"['Journal Article', 'Review']",England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['Humans', 'Myelodysplastic Syndromes/classification/etiology/*pathology']",,,,2003/09/04 05:00,2003/09/17 05:00,['2003/09/04 05:00'],"['2003/09/04 05:00 [pubmed]', '2003/09/17 05:00 [medline]', '2003/09/04 05:00 [entrez]']",ppublish,Am J Clin Pathol. 2003 Jun;119 Suppl:S58-77. doi: 10.1309/T8DF-XEXM-YLHW-51DG.,['10.1309/T8DF-XEXM-YLHW-51DG [doi]'],,,"The myelodysplastic syndromes (MDS) are an enigmatic group of clonal hematopoietic stem cell disorders associated with significant morbidity and mortality. Typically, MDS evolves from an early phase of accelerated apoptosis resulting in ineffective hematopoiesis to a later phase of increasing proliferation with maturation arrest. Afflicted patients experience a deteriorating course characterized by peripheral cytopenia(s) with consequent infection and hemorrhage and, in some cases, progression to acute leukemia. The classification of MDS has been a matter of some controversy, perhaps allied to our largely unsatisfactory insights into the pathobiology of the disease. Recently, however, new concepts have emerged to explain the etiology and pathogenesis of MDS that invoke a model for step-wise genetic progression with modulation by the immune system and the marrow microenvironment. From these insights into its cellular and molecular pathogenesis have emerged new strategies for both diagnosis and treatment. With the implementation of these strategies, it is anticipated that a more rational and objective approach to the diagnosis and classification of MDS may be achieved, affording the use of more effective targeted therapy.","['Dept of Pathology and Laboratory Medicine, Hospital of the University of Pennsylvania, 7.103 Founders Pavilion, 3400 Spruce St, Philadelphia, PA 19104-4283, USA.']",,153,,,,,,,,,,,
12951753,NLM,MEDLINE,20031205,20191210,1079-2082 (Print) 1079-2082 (Linking),60,15,2003 Aug 1,"Monoclonal antibodies in the treatment of cancer, Part 1.",1531-48,"['Cersosimo, Robert J']",['Cersosimo RJ'],['eng'],"['Journal Article', 'Review']",England,Am J Health Syst Pharm,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,9503023,"['0 (Aminoglycosides)', '0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Humanized)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Antibodies, Neoplasm)', '0 (Antineoplastic Agents)', '3A189DH42V (Alemtuzumab)', '4F4X42SYQ6 (Rituximab)', '4Q52C550XK (ibritumomab tiuxetan)', '93NS566KF7 (Gemtuzumab)']",IM,"['Alemtuzumab', 'Aminoglycosides/therapeutic use', 'Antibodies, Monoclonal/*therapeutic use', 'Antibodies, Monoclonal, Humanized', 'Antibodies, Monoclonal, Murine-Derived', 'Antibodies, Neoplasm/therapeutic use', 'Antineoplastic Agents/*therapeutic use', 'Clinical Trials as Topic', 'Gemtuzumab', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/therapy', 'Lymphoma/therapy', 'Neoplasms/immunology/*therapy', 'Rituximab']",,,,2003/09/04 05:00,2003/12/06 05:00,['2003/09/04 05:00'],"['2003/09/04 05:00 [pubmed]', '2003/12/06 05:00 [medline]', '2003/09/04 05:00 [entrez]']",ppublish,Am J Health Syst Pharm. 2003 Aug 1;60(15):1531-48. doi: 10.1093/ajhp/60.15.1531.,['10.1093/ajhp/60.15.1531 [doi]'],,,"Monoclonal antibodies used in the treatment of cancer are discussed. Monoclonal antibodies are a new class of agents targeted at specific receptors on cancer cells. In addition to having direct cellular effects, antibodies can carry substances, such as radioactive isotopes, toxins, and antineoplastic agents, to the targeted cells. Five monoclonal antibodies--rituximab, trastuzumab, gemtuzumab ozogamicin, alemtuzumab, and ibritumomab tiuxetan--are available for clinical use. Rituximab is active against indolent lymphomas, providing a valuable alternative for patients with relapsed or refractory disease. Rituximab plus cyclophosphamide-doxorubicin-vincristine-prednisone (CHOP) increased survival over CHOP alone in patients with high-grade lymphomas. Trastuzumab has significant activity against HER-2-positive breast cancer, especially in combination with paclitaxel or an anthracycline and cyclophosphamide. Gemtuzumab ozogamicin is an active second-line therapy in older patients with acute myelogenous leukemia, but its role in combination regimens is unclear. Alemtuzumab is a valuable option for salvage therapy of patients with chronic lymphocytic leukemia. Ibritumomab tiuxetan delivers radioactive isotopes to tumor cells and is active against indolent lymphomas in patients who have relapsed after chemotherapy or rituximab therapy. The most common adverse effects of monoclonal antibodies are myelosuppression, infusion-related reactions, and hypersensitivity reactions. Rituximab may cause tumor lysis syndrome, arrhythmias, and pulmonary dysfunction. Alemtuzumab causes immunosuppression, increasing the risk of infection. Gemtuzumab ozogamicin may cause hepatotoxicity, and trastuzumab may cause significant pulmonary or cardiac toxicity. Investigational monoclonal antibodies include edrecolomab and tositumomab. Monoclonal antibodies have a significant role in the management of patients with advanced refractory or relapsed lymphomas and leukemias.","['Northeastern University School of Pharmacy, Boston Veterans Affairs Medical Center, Boston, MA 02115, USA. r.cersosimo@neu.edu']",,114,,,,,,,,,,,
12951584,NLM,MEDLINE,20031002,20201212,1474-175X (Print) 1474-175X (Linking),3,9,2003 Sep,The role of FLT3 in haematopoietic malignancies.,650-65,"['Stirewalt, Derek L', 'Radich, Jerald P']","['Stirewalt DL', 'Radich JP']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",England,Nat Rev Cancer,Nature reviews. Cancer,101124168,"['0 (Ligands)', '0 (Membrane Proteins)', '0 (Proto-Oncogene Proteins)', '0 (Receptors, Cell Surface)', '0 (flt3 ligand protein)', 'EC 2.7.10.1 (FLT3 protein, human)', 'EC 2.7.10.1 (Receptor Protein-Tyrosine Kinases)', 'EC 2.7.10.1 (fms-Like Tyrosine Kinase 3)']",IM,"['Acute Disease', 'Cell Division/genetics/immunology', 'Cell Transformation, Neoplastic/genetics/immunology', 'Hematologic Neoplasms/*genetics/immunology', 'Humans', 'Immune System/immunology', 'Leukemia, Myeloid/genetics/immunology', 'Ligands', 'Membrane Proteins/biosynthesis/*genetics/immunology', 'Mutation/genetics', 'Proto-Oncogene Proteins/biosynthesis/*genetics/immunology', 'Receptor Protein-Tyrosine Kinases/biosynthesis/*genetics/immunology', 'Receptors, Cell Surface/*genetics/immunology', 'Signal Transduction/genetics/immunology', 'fms-Like Tyrosine Kinase 3']",,,,2003/09/03 05:00,2003/10/03 05:00,['2003/09/03 05:00'],"['2003/09/03 05:00 [pubmed]', '2003/10/03 05:00 [medline]', '2003/09/03 05:00 [entrez]']",ppublish,Nat Rev Cancer. 2003 Sep;3(9):650-65. doi: 10.1038/nrc1169.,"['10.1038/nrc1169 [doi]', 'nrc1169 [pii]']",,,"Normal haematopoietic cells use complex systems to control proliferation, differentiation and cell death. The control of proliferation is, in part, accomplished through the ligand-induced stimulation of receptor tyrosine kinases, which signal to downstream effectors through the RAS pathway. Recently, mutations in the FMS-like tyrosine kinase 3 (FLT3) gene, which encodes a receptor tyrosine kinase, have been found to be the most common genetic lesion in acute myeloid leukaemia (AML), occurring in approximately 25% of cases. Exploring the mechanism by which these FLT3 mutations cause uncontrolled proliferation might lead to a better understanding of how cells become cancerous and provide insights for the development of new drugs.","['Clinical Research Division, Fred Hutchinson Cancer Research Center and University of Washington, Seattle, WA 98109, USA. dstirewa@fhcrc.org']",,127,,,,,,,,,,,
12951583,NLM,MEDLINE,20031002,20061115,1474-175X (Print) 1474-175X (Linking),3,9,2003 Sep,Origins of chromosome translocations in childhood leukaemia.,639-49,"['Greaves, Mel F', 'Wiemels, Joe']","['Greaves MF', 'Wiemels J']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Nat Rev Cancer,Nature reviews. Cancer,101124168,,IM,"['Child', 'Fetal Diseases/embryology', 'Hematopoiesis/*genetics', 'Humans', 'Leukemia/etiology/*genetics/physiopathology', 'Translocation, Genetic/*genetics']",,,,2003/09/03 05:00,2003/10/03 05:00,['2003/09/03 05:00'],"['2003/09/03 05:00 [pubmed]', '2003/10/03 05:00 [medline]', '2003/09/03 05:00 [entrez]']",ppublish,Nat Rev Cancer. 2003 Sep;3(9):639-49. doi: 10.1038/nrc1164.,"['10.1038/nrc1164 [doi]', 'nrc1164 [pii]']",,,"Chromosome translocations are often early or initiating events in leukaemogenesis, occurring prenatally in most cases of childhood leukaemia. Although these genetic changes are necessary, they are usually not sufficient to cause leukaemia. How, when and where do translocations arise? And can these insights aid our understanding of the natural history, pathogenesis and causes of leukaemia?","['LRF Centre for Cell and Molecular Biology, Institute of Cancer Research, Chester Beatty Laboratories, 237 Fulham Road, London SW3 6JB, UK. mel.greaves@icr.ac.uk']",,151,,,,,,,,,,,
12951526,NLM,MEDLINE,20040513,20190910,0916-8451 (Print) 0916-8451 (Linking),67,8,2003 Aug,Expression of CD38 in human promyelocytic leukemia HL-60 cell line during differentiation by niacin-related compounds.,1836-9,"['Iwata, Keiko', 'Ogata, Shin', 'Okumura, Katsuzumi', 'Taguchi, Hiroshi']","['Iwata K', 'Ogata S', 'Okumura K', 'Taguchi H']",['eng'],['Journal Article'],England,Biosci Biotechnol Biochem,"Bioscience, biotechnology, and biochemistry",9205717,"['0 (Antigens, CD)', '0 (Isonicotinic Acids)', '0 (Membrane Glycoproteins)', '25X51I8RD4 (Niacinamide)', '5688UTC01R (Tretinoin)', '6UY6QXJ2DP (nicotinamide N-oxide)', 'EC 3.2.2.5 (ADP-ribosyl Cyclase)', 'EC 3.2.2.5 (CD38 protein, human)', 'EC 3.2.2.6 (ADP-ribosyl Cyclase 1)']",IM,"['ADP-ribosyl Cyclase/*biosynthesis/metabolism', 'ADP-ribosyl Cyclase 1', 'Antigens, CD/*biosynthesis/metabolism', 'Cell Differentiation/drug effects/physiology', 'Cell Membrane/metabolism', 'Flow Cytometry', 'Gene Expression/*drug effects', 'HL-60 Cells', 'Humans', 'Isonicotinic Acids/*pharmacology', 'Membrane Glycoproteins', 'Niacinamide/*analogs & derivatives/pharmacology', 'Tretinoin/metabolism/pharmacology']",,,,2003/09/03 05:00,2004/05/14 05:00,['2003/09/03 05:00'],"['2003/09/03 05:00 [pubmed]', '2004/05/14 05:00 [medline]', '2003/09/03 05:00 [entrez]']",ppublish,Biosci Biotechnol Biochem. 2003 Aug;67(8):1836-9. doi: 10.1271/bbb.67.1836.,['10.1271/bbb.67.1836 [doi]'],,,"It was found that three niacin-related compounds, isonicotinic acid, nicotinamide, and nicotinamide N-oxide, induced granulocytic differentiation in HL-60 cells. We investigated the expression of CD38, which catalyzes the synthesis of cyclic ADP-ribose, a Ca2+ mobilizer, during differentiation by niacin-related compounds. It was found that CD38 was induced by isonicotinic acid, whereas nicotinamide and nicotinamide N-oxide containing an amino group did not induce it. The difference in expression of CD38 may provide some useful information for the elucidation of the mechanisms of cell differentiation.","['Laboratory of Molecular and Cellular Biology, Department of Life Science, Faculty of Bioresources, Mie University, Tsu, Mie 514-8507, Japan.']",,,,,,,,,,,,,
