PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,AID,RN,AB,PMC,IP,LID
13928890,NLM,MEDLINE,19981101,20181201,0004-1955 (Print) 0004-1955 (Linking),24(12),1962,[On lesions of the gastrointestinal tract in chonic radiation sickness caused by repeated exposure to x-rays].,21-6,"['LEBEDEVA, G A']",['LEBEDEVA GA'],['rus'],['Journal Article'],Russia (Federation),Arkh Patol,Arkhiv patologii,0370604,OM,"['*Gastrointestinal Tract', '*Leukemia, Radiation-Induced', '*Radiation Injuries', '*Radiation Injuries, Experimental', 'X-Rays']",['NLM'],"['*GASTROINTESTINAL SYSTEM', '*LEUKEMIA, RADIATION-INDUCED', '*RADIATION INJURY, EXPERIMENTAL']",1962/01/01 00:00,1962/01/01 00:01,['1962/01/01 00:00'],"['1962/01/01 00:00 [pubmed]', '1962/01/01 00:01 [medline]', '1962/01/01 00:00 [entrez]']",ppublish,Arkh Patol. 1962;24(12):21-6.,,,,,,
13928634,NLM,MEDLINE,19981101,20181201,0021-8111 (Print) 0021-8111 (Linking),81,1963 Mar,[Acquired lymphatic toxoplasmosis with mediastinal localization].,128-31,"['LANGERON, L', 'ROUTIER, G']","['LANGERON L', 'ROUTIER G']",['fre'],['Journal Article'],France,J Sci Med Lille,Journal des sciences medicales de Lille,0413413,OM,"['*Genetic Diseases, X-Linked', 'Humans', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Mediastinum', '*Severe Combined Immunodeficiency', '*Toxoplasmosis']",['NLM'],"['*RETICULOENDOTHELIOSIS', '*TOXOPLASMOSIS']",1963/03/01 00:00,1963/03/01 00:01,['1963/03/01 00:00'],"['1963/03/01 00:00 [pubmed]', '1963/03/01 00:01 [medline]', '1963/03/01 00:00 [entrez]']",ppublish,J Sci Med Lille. 1963 Mar;81:128-31.,,"['Reticuloendotheliosis, X-linked']",,,,
13928382,NLM,MEDLINE,19981101,20181201,0021-8324 (Print) 0021-8324 (Linking),16,1962 Nov-Dec,[The invasion of the bone marrow in the course of anaplasic bronchial cancers. Pseudo-leukosic aspects].,737-50,"['LAMY, P', 'PETERS, A', 'PIERSON, B', 'DE WYN, J', 'ANTHOINE, D']","['LAMY P', 'PETERS A', 'PIERSON B', 'DE WYN J', 'ANTHOINE D']",['fre'],['Journal Article'],France,J Fr Med Chir Thorac,Journal francais de medecine et chirurgie thoraciques,0376571,OM,"['*Bone Marrow', '*Bone Marrow Diseases', '*Bronchial Neoplasms', '*Carcinoma', '*Carcinoma, Bronchogenic', 'Humans', '*Leukemia', '*Neoplasm Metastasis']",['NLM'],"['*BONE MARROW DISEASES', '*BRONCHIAL NEOPLASMS', '*CARCINOMA, BRONCHOGENIC', '*LEUKEMIA', '*NEOPLASM METASTASIS']",1962/11/01 00:00,1962/11/01 00:01,['1962/11/01 00:00'],"['1962/11/01 00:00 [pubmed]', '1962/11/01 00:01 [medline]', '1962/11/01 00:00 [entrez]']",ppublish,J Fr Med Chir Thorac. 1962 Nov-Dec;16:737-50.,,,,,,
13928341,NLM,MEDLINE,19981101,20181201,0003-4665 (Print) 0003-4665 (Linking),88,1962 May,[A rare case of histio-monocytic reticulosis of ocular localization].,153-60,"['LAMPIS, R', 'CAPACCINI, A']","['LAMPIS R', 'CAPACCINI A']",['ita'],['Journal Article'],Italy,Ann Ottalmol Clin Ocul,Annali di ottalmologia e clinica oculistica,9309994,OM,"['*Eye', '*Eye Neoplasms', '*Genetic Diseases, X-Linked', 'Humans', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Severe Combined Immunodeficiency']",['NLM'],"['*EYE NEOPLASMS', '*RETICULOENDOTHELIOSIS']",1962/05/01 00:00,1962/05/01 00:01,['1962/05/01 00:00'],"['1962/05/01 00:00 [pubmed]', '1962/05/01 00:01 [medline]', '1962/05/01 00:00 [entrez]']",ppublish,Ann Ottalmol Clin Ocul. 1962 May;88:153-60.,,"['Reticuloendotheliosis, X-linked']",,,,
13928237,NLM,MEDLINE,19981101,20181201,0015-556X (Print),7,1963 Apr,[Cytochemical and functional findings on the leukocytes in chronic myelosis].,436-40,"['LAMBERS, K', 'BAUER-SIC, P']","['LAMBERS K', 'BAUER-SIC P']",['ger'],['Journal Article'],Germany,Folia Haematol (Frankf),Folia haematologica; internationales Magazin fur Blutforschung,0140243,OM,"['Humans', '*Leukemia', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive', '*Leukemia, Myeloid', '*Leukocytes']",['NLM'],"['*LEUKEMIA, MYELOCYTIC', '*LEUKOCYTES']",1963/04/01 00:00,1963/04/01 00:01,['1963/04/01 00:00'],"['1963/04/01 00:00 [pubmed]', '1963/04/01 00:01 [medline]', '1963/04/01 00:00 [entrez]']",ppublish,Folia Haematol (Frankf). 1963 Apr;7:436-40.,,,,,,
13928236,NLM,MEDLINE,19981101,20181201,0012-0472 (Print) 0012-0472 (Linking),87,1962 Sep 21,[On the cytochemistry of the blood cells].,1913-7,"['LAMBERS, K']",['LAMBERS K'],['ger'],['Journal Article'],Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,OM,"['*Coloring Agents', '*Fats', '*Glycogen', '*Histocytochemistry', 'Humans', '*Leukemia', '*Leukocytes', '*Staining and Labeling', '*Sulfhydryl Compounds']",['NLM'],"['*FATS', '*GLYCOGEN', '*LEUKEMIA', '*LEUKOCYTES', '*STAINS AND STAINING', '*SULFHYDRYL COMPOUNDS']",1962/09/21 00:00,1962/09/21 00:01,['1962/09/21 00:00'],"['1962/09/21 00:00 [pubmed]', '1962/09/21 00:01 [medline]', '1962/09/21 00:00 [entrez]']",ppublish,Dtsch Med Wochenschr. 1962 Sep 21;87:1913-7. doi: 10.1055/s-0028-1114040.,['10.1055/s-0028-1114040 [doi]'],"['0 (Coloring Agents)', '0 (Fats)', '0 (Sulfhydryl Compounds)', '9005-79-2 (Glycogen)']",,,,
13928229,NLM,MEDLINE,19981101,20181201,0022-1767 (Print) 0022-1767 (Linking),89,1962 Oct,"A comparative study of the incidence of anergy in patients with carcinoma, leukemia, hodgkin's disease and other lymphomas.",555-8,"['LAMB, D', 'PILNEY, F', 'KELLY, W D', 'GOOD, R A']","['LAMB D', 'PILNEY F', 'KELLY WD', 'GOOD RA']",['eng'],['Journal Article'],United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,OM,"['Aged', '*Carcinoma', '*Hodgkin Disease', 'Humans', 'Incidence', '*Leukemia', '*Lymphoma', '*Skin Tests']",['NLM'],"['*CARCINOMA', ""*HODGKIN'S DISEASE"", '*LEUKEMIA', '*LYMPHOMA', '*SKIN TESTS']",1962/10/01 00:00,1962/10/01 00:01,['1962/10/01 00:00'],"['1962/10/01 00:00 [pubmed]', '1962/10/01 00:01 [medline]', '1962/10/01 00:00 [entrez]']",ppublish,J Immunol. 1962 Oct;89:555-8.,,,,,,
13928186,NLM,MEDLINE,19981101,20181201,0004-5772 (Print) 0004-5772 (Linking),10,1962 Dec,Influence of beta-radiation with P32 on the haemic elements in chronic leukaemias.,709-20,"['LALA, P K', 'SINHA, B C', 'BHATTACHARJEE, S B']","['LALA PK', 'SINHA BC', 'BHATTACHARJEE SB']",['eng'],['Journal Article'],India,J Assoc Physicians India,The Journal of the Association of Physicians of India,7505585,OM,"['Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Leukemia, Myeloid', '*Leukocyte Count', '*Phosphorus Isotopes', '*Radiotherapy']",['NLM'],"['*LEUKEMIA, LYMPHOCYTIC', '*LEUKEMIA, MYELOCYTIC', '*LEUKOCYTE COUNT', '*PHOSPHORUS ISOTOPES', '*RADIOTHERAPY']",1962/12/01 00:00,1962/12/01 00:01,['1962/12/01 00:00'],"['1962/12/01 00:00 [pubmed]', '1962/12/01 00:01 [medline]', '1962/12/01 00:00 [entrez]']",ppublish,J Assoc Physicians India. 1962 Dec;10:709-20.,,['0 (Phosphorus Isotopes)'],,,,
13928167,NLM,MEDLINE,19981101,20181201,0015-556X (Print),7,1963 May,[A case of eosinophilic leukosis].,141-7,"['LAKOS, A', 'SZABO, M', 'MONUS, Z', 'TOSZEGI, A']","['LAKOS A', 'SZABO M', 'MONUS Z', 'TOSZEGI A']",['ger'],['Journal Article'],Germany,Folia Haematol (Frankf),Folia haematologica; internationales Magazin fur Blutforschung,0140243,OM,"['*Leukemia', '*Leukemia, Myeloid']",['NLM'],"['*LEUKEMIA, MYELOCYTIC']",1963/05/01 00:00,1963/05/01 00:01,['1963/05/01 00:00'],"['1963/05/01 00:00 [pubmed]', '1963/05/01 00:01 [medline]', '1963/05/01 00:00 [entrez]']",ppublish,Folia Haematol (Frankf). 1963 May;7:141-7.,,,,,,
13928152,NLM,MEDLINE,19981101,20181201,0008-5480 (Print) 0008-5480 (Linking),15,1962,Kinetics of bone marrow stem cell population with reference to leukaemia.,139-44,"['LAJTHA, L G']",['LAJTHA LG'],['eng'],['Journal Article'],Italy,Cancro,Il Cancro,0421125,OM,"['*Bone Marrow', '*Bone Marrow Cells', '*Cell Division', '*Hematopoietic Stem Cells', 'Humans', 'Kinetics', '*Leukemia']",['NLM'],"['*BONE MARROW', '*CELL DIVISION', '*LEUKEMIA']",1962/01/01 00:00,1962/01/01 00:01,['1962/01/01 00:00'],"['1962/01/01 00:00 [pubmed]', '1962/01/01 00:01 [medline]', '1962/01/01 00:00 [entrez]']",ppublish,Cancro. 1962;15:139-44.,,,,,,
13928107,NLM,MEDLINE,19981101,20190630,0022-3476 (Print) 0022-3476 (Linking),63,1963 Jul,Leukemia in Down's syndrome.,189-90,"['LAHEY, M E', 'BEIER, F R', 'WILSON, J F']","['LAHEY ME', 'BEIER FR', 'WILSON JF']",['eng'],['Journal Article'],United States,J Pediatr,The Journal of pediatrics,0375410,OM,"['*Down Syndrome', 'Humans', '*Leukemia', '*Leukemia, Myeloid']",['NLM'],"['*LEUKEMIA, MYELOCYTIC', '*MONGOLISM']",1963/07/01 00:00,1963/07/01 00:01,['1963/07/01 00:00'],"['1963/07/01 00:00 [pubmed]', '1963/07/01 00:01 [medline]', '1963/07/01 00:00 [entrez]']",ppublish,J Pediatr. 1963 Jul;63:189-90. doi: 10.1016/s0022-3476(63)80328-5.,"['S0022-3476(63)80328-5 [pii]', '10.1016/s0022-3476(63)80328-5 [doi]']",,,,,
13928058,NLM,MEDLINE,19981101,20181201,0365-5555 (Print) 0365-5555 (Linking),56,1962,Transplantation studies with chromosome labelled erythroleukaemia cells of fowl.,135-42,"['LAGERLOF, B']",['LAGERLOF B'],['eng'],['Journal Article'],Denmark,Acta Pathol Microbiol Scand,Acta pathologica et microbiologica Scandinavica,7508471,OM,"['Animals', '*Avian Leukosis', '*Birds', '*Chromosomes', '*Leukemia, Erythroblastic, Acute']",['NLM'],"['*AVIAN LEUKOSIS', '*CHROMOSOMES']",1962/01/01 00:00,1962/01/01 00:01,['1962/01/01 00:00'],"['1962/01/01 00:00 [pubmed]', '1962/01/01 00:01 [medline]', '1962/01/01 00:00 [entrez]']",ppublish,Acta Pathol Microbiol Scand. 1962;56:135-42.,,,,,,
13927889,NLM,MEDLINE,19981101,20181201,0368-3966 (Print) 0368-3966 (Linking),43,1962 Dec,[Leukemogenesis caused by radiations].,803-5,"['LACASSAGNE, A']",['LACASSAGNE A'],['fre'],['Journal Article'],France,J Radiol Electrol Med Nucl,"Journal de radiologie, d'electrologie, et de medecine nucleaire",7610508,OM,"['*Carcinogenesis', '*Leukemia', '*Radiation', '*Radiation Injuries']",['NLM'],"['*LEUKEMIA', '*RADIATION INJURY']",1962/12/01 00:00,1962/12/01 00:01,['1962/12/01 00:00'],"['1962/12/01 00:00 [pubmed]', '1962/12/01 00:01 [medline]', '1962/12/01 00:00 [entrez]']",ppublish,J Radiol Electrol Med Nucl. 1962 Dec;43:803-5.,,,,,,
13927851,NLM,MEDLINE,19981101,20181201,0010-5309 (Print) 0010-5309 (Linking),85,1963 Feb 9,[Henatological complications of ionizing radiations administered in therapeutic doses].,849-53,"['LABRAM, C']",['LABRAM C'],['fre'],['Journal Article'],France,Concours Med,Concours medical,2984731R,OM,"['Humans', '*Leukemia', '*Radiation Injuries', '*Radiation, Ionizing', '*Radiotherapy']",['NLM'],"['*LEUKEMIA', '*RADIATION INJURY', '*RADIOTHERAPY']",1963/02/09 00:00,1963/02/09 00:01,['1963/02/09 00:00'],"['1963/02/09 00:00 [pubmed]', '1963/02/09 00:01 [medline]', '1963/02/09 00:00 [entrez]']",ppublish,Concours Med. 1963 Feb 9;85:849-53.,,,,,,
13927774,NLM,MEDLINE,19981101,20181201,0003-4819 (Print) 0003-4819 (Linking),57,1962 Nov,Large doses of prednisone and prednisolone in the treatment of malignant lymphoproliferative disorders.,717-31,"['KYLE, R A', 'McPARLAND, C E', 'DAMESHEK, W']","['KYLE RA', 'McPARLAND CE', 'DAMESHEK W']",['eng'],['Journal Article'],United States,Ann Intern Med,Annals of internal medicine,0372351,OM,"['Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphoma', '*Lymphoma, Non-Hodgkin', '*Lymphoproliferative Disorders', '*Prednisolone', '*Prednisone']",['NLM'],"['*LEUKEMIA, LYMPHOCYTIC', '*LYMPHOSARCOMA', '*PREDNISONE']",1962/11/01 00:00,1962/11/01 00:01,['1962/11/01 00:00'],"['1962/11/01 00:00 [pubmed]', '1962/11/01 00:01 [medline]', '1962/11/01 00:00 [entrez]']",ppublish,Ann Intern Med. 1962 Nov;57:717-31.,,"['9PHQ9Y1OLM (Prednisolone)', 'VB0R961HZT (Prednisone)']",,,,
13927481,NLM,MEDLINE,19981101,20181201,0038-5077 (Print) 0038-5077 (Linking),26,1962 Nov,[On the therapeutic efficacy of bone marrow transplantation in some blood diseases].,46-51,"['KURDYBAILO, F V', 'PETROV, N S']","['KURDYBAILO FV', 'PETROV NS']",['rus'],['Journal Article'],Russia (Federation),Sov Med,Sovetskaia meditsina,0404525,OM,"['*Anemia', '*Anemia, Aplastic', '*Bone Marrow', '*Bone Marrow Transplantation', 'Humans', '*Leukemia', '*Leukemia, Myeloid']",['NLM'],"['*ANEMIA, APLASTIC', '*BONE MARROW', '*LEUKEMIA, MYELOCYTIC']",1962/11/01 00:00,1962/11/01 00:01,['1962/11/01 00:00'],"['1962/11/01 00:00 [pubmed]', '1962/11/01 00:01 [medline]', '1962/11/01 00:00 [entrez]']",ppublish,Sov Med. 1962 Nov;26:46-51.,,,,,,
13927165,NLM,MEDLINE,19981101,20181201,0040-3660 (Print) 0040-3660 (Linking),34,1962 Sep,[On reactive reticuloses and reticular reactions of tonsillar origin].,99-101,"['KRYLOV, A A']",['KRYLOV AA'],['rus'],['Journal Article'],Russia (Federation),Ter Arkh,Terapevticheskii arkhiv,2984818R,OM,"['*Genetic Diseases, X-Linked', 'Humans', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Mononuclear Phagocyte System', 'Peptide Nucleic Acids', '*Severe Combined Immunodeficiency', '*Tonsillitis']",['NLM'],"['*RETICULOENDOTHELIAL SYSTEM', '*RETICULOENDOTHELIOSIS', '*TONSILLITIS']",1962/09/01 00:00,1962/09/01 00:01,['1962/09/01 00:00'],"['1962/09/01 00:00 [pubmed]', '1962/09/01 00:01 [medline]', '1962/09/01 00:00 [entrez]']",ppublish,Ter Arkh. 1962 Sep;34:99-101.,,"['0 (Peptide Nucleic Acids)', '0 (reticulose)', 'Reticuloendotheliosis, X-linked']",,,,
13926345,NLM,MEDLINE,19981101,20181201,0552-2080 (Print) 0552-2080 (Linking),7,1962 Feb,[A case of prolonged spontaneous remission in a patient with chronic lymphatic leukemia].,51-4,"['VLADIMIRSKAIA, E B']",['VLADIMIRSKAIA EB'],['rus'],"['Case Reports', 'Journal Article']",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,OM,"['Humans', '*Leukemia', '*Leukemia, Lymphocytic, Chronic, B-Cell', '*Leukemia, Lymphoid', '*Lymphocytes', '*Medical Records', '*Remission, Spontaneous']",['NLM'],"['*LEUKEMIA, LYMPHOCYTIC/case reports']",1962/02/01 00:00,1962/02/01 00:01,['1962/02/01 00:00'],"['1962/02/01 00:00 [pubmed]', '1962/02/01 00:01 [medline]', '1962/02/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1962 Feb;7:51-4.,,,,,,
13926338,NLM,MEDLINE,19981101,20181201,0009-0581 (Print) 0009-0581 (Linking),24,1961 Jan,[Meningeal syndrome as a frequent cause of acute leukemia in childhood].,14-9,"['VLACH, V', 'VITEK, J', 'HOUBOVA, J']","['VLACH V', 'VITEK J', 'HOUBOVA J']",['cze'],['Journal Article'],Czech Republic,Cesk Neurol,Ceskoslovenska neurologie,0366653,OM,"['*Acute Disease', 'Child', 'Humans', 'Infant', '*Leukemia', 'Meninges/*pathology', '*Meningism', '*Neurologic Manifestations']",['NLM'],"['*LEUKEMIA/in infancy and childhood', '*MENINGES/pathology', '*NEUROLOGIC MANIFESTATIONS/in infancy and childhood']",1961/01/01 00:00,1961/01/01 00:01,['1961/01/01 00:00'],"['1961/01/01 00:00 [pubmed]', '1961/01/01 00:01 [medline]', '1961/01/01 00:00 [entrez]']",ppublish,Cesk Neurol. 1961 Jan;24:14-9.,,,,,,
13925629,NLM,MEDLINE,19981101,20181201,0029-4810 (Print) 0029-4810 (Linking),1,1961 Sep-Oct,[Deficiencies of antibodies preceding diseases of the lymphoid system].,766-8,"['VESIN, P', 'CATTAN, R']","['VESIN P', 'CATTAN R']",['fre'],['Journal Article'],France,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,0401074,OM,"['*Hematopoietic System', '*Leukemia', 'Leukemia, Lymphoid/*complications', '*Lymphocytes']",['NLM'],"['*LEUKEMIA, LYMPHOCYTIC/complications']",1961/09/01 00:00,1961/09/01 00:01,['1961/09/01 00:00'],"['1961/09/01 00:00 [pubmed]', '1961/09/01 00:01 [medline]', '1961/09/01 00:00 [entrez]']",ppublish,Nouv Rev Fr Hematol. 1961 Sep-Oct;1:766-8.,,,,,,
13925623,NLM,MEDLINE,19981101,20181201,0028-2685 (Print) 0028-2685 (Linking),8,1961,Some aspects of the pathogenesis of spontaneous and transplantation lymphoid leukaemia in AK mice.,363-70,"['VESELY, J', 'SEIFERT, J', 'NEDVIDEK, J']","['VESELY J', 'SEIFERT J', 'NEDVIDEK J']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,OM,"['Animals', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphocytes', 'Mice']",['NLM'],"['*LEUKEMIA, LYMPHOCYTIC/experimental']",1961/01/01 00:00,1961/01/01 00:01,['1961/01/01 00:00'],"['1961/01/01 00:00 [pubmed]', '1961/01/01 00:01 [medline]', '1961/01/01 00:00 [entrez]']",ppublish,Neoplasma. 1961;8:363-70.,,,,,,
13925622,NLM,MEDLINE,19981101,20181201,0028-2685 (Print) 0028-2685 (Linking),8,1961,Microspectrophotometry of the deoxyribonucleic acid in the thymus cells of leukaemic and normal AK mice.,379-86,"['VESELY, J', 'SEIFERT, J', 'NEDVIDEK, J']","['VESELY J', 'SEIFERT J', 'NEDVIDEK J']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,OM,"['Animals', 'DNA/*chemistry', '*Diploidy', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphocytes', 'Mice', '*Microspectrophotometry', 'Thymus Gland/*chemistry']",['NLM'],"['*DESOXYRIBONUCLEIC ACID/chemistry', '*LEUKEMIA, LYMPHOCYTIC/experimental', '*THYMUS GLAND/chemistry']",1961/01/01 00:00,1961/01/01 00:01,['1961/01/01 00:00'],"['1961/01/01 00:00 [pubmed]', '1961/01/01 00:01 [medline]', '1961/01/01 00:00 [entrez]']",ppublish,Neoplasma. 1961;8:379-86.,,['9007-49-2 (DNA)'],,,,
13925621,NLM,MEDLINE,19981101,20181201,0028-2685 (Print) 0028-2685 (Linking),8,1961,"Microspectrophotometry of the deoxyribonucleic acid in the thymus cells of leukaemic and normal AK mice following the application of aminopterin, azauridine, and phosphoramide in vivo.",371-8,"['VESELY, J', 'NEDVIDEK, J', 'SEIFERT, J']","['VESELY J', 'NEDVIDEK J', 'SEIFERT J']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,OM,"['Aminopterin/*pharmacology', 'Animals', 'Antineoplastic Agents/*pharmacology', '*Azauridine', 'DNA/*chemistry', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphocytes', 'Mice', '*Microspectrophotometry', '*Phosphoramides', 'Thymus Gland/*chemistry']",['NLM'],"['*AMINOPTERIN/pharmacology', '*ANTINEOPLASTIC AGENTS/pharmacology', '*DESOXYRIBONUCLEIC ACID/chemistry', '*LEUKEMIA, LYMPHOCYTIC/experimental', '*THYMUS GLAND/chemistry']",1961/01/01 00:00,1961/01/01 00:01,['1961/01/01 00:00'],"['1961/01/01 00:00 [pubmed]', '1961/01/01 00:01 [medline]', '1961/01/01 00:00 [entrez]']",ppublish,Neoplasma. 1961;8:371-8.,,"['0 (Antineoplastic Agents)', '0 (Phosphoramides)', '13597-72-3 (phosphoramide)', '7BVB29RCPR (Azauridine)', '9007-49-2 (DNA)', 'JYB41CTM2Q (Aminopterin)']",,,,
13925607,NLM,MEDLINE,19981101,20181201,0028-2685 (Print) 0028-2685 (Linking),9,1962,[Induction of leukemia with phosphoramide in mice of the C 57 B1 strain].,75-80,"['VESELA, H']",['VESELA H'],['ger'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,OM,"['Animals', '*Leukemia', '*Leukemia, Experimental', 'Mice', 'Phosphates/*toxicity', '*Phosphoramides']",['NLM'],"['*LEUKEMIA/experimental', '*PHOSPHATES/toxicology']",1962/01/01 00:00,1962/01/01 00:01,['1962/01/01 00:00'],"['1962/01/01 00:00 [pubmed]', '1962/01/01 00:01 [medline]', '1962/01/01 00:00 [entrez]']",ppublish,Neoplasma. 1962;9:75-80.,,"['0 (Phosphates)', '0 (Phosphoramides)', '13597-72-3 (phosphoramide)']",,,,
13925595,NLM,MEDLINE,19981101,20181201,0366-368X (Print),17,1961 Nov 15,[Treatment of chronic leukemia].,1153-65,"['VERWILGHEN, R', 'VAN ORSHOVEN, A']","['VERWILGHEN R', 'VAN ORSHOVEN A']",['dut'],['Journal Article'],Belgium,Belg Tijdschr Geneesk,Belgisch tijdschrift voor geneeskunde,15510370R,OM,"['*Chronic Disease', 'Leukemia/*therapy']",['NLM'],['*LEUKEMIA/therapy'],1961/11/15 00:00,1961/11/15 00:01,['1961/11/15 00:00'],"['1961/11/15 00:00 [pubmed]', '1961/11/15 00:01 [medline]', '1961/11/15 00:00 [entrez]']",ppublish,Belg Tijdschr Geneesk. 1961 Nov 15;17:1153-65.,,,,,,
13925303,NLM,MEDLINE,19981101,20181201,0069-0112 (Print) 0069-0112 (Linking),19,1962 Jun,"Studies on the effectiveness of 4',4""-di-2-imidazolin-2-ylterephthalanilides against mouse leukemia L1210 and resistant variants.",5-11,"['VENDITTI, J M', 'GOLDIN, A', 'KLINE, I']","['VENDITTI JM', 'GOLDIN A', 'KLINE I']",['eng'],['Journal Article'],United States,Cancer Chemother Rep,Cancer chemotherapy reports,7607105,OM,"['Animals', 'Antineoplastic Agents/*pharmacology', '*Leukemia L1210', '*Leukemia, Experimental', 'Mice']",['NLM'],"['*ANTINEOPLASTIC AGENTS/pharmacology', '*LEUKEMIA/experimental']",1962/06/01 00:00,1962/06/01 00:01,['1962/06/01 00:00'],"['1962/06/01 00:00 [pubmed]', '1962/06/01 00:01 [medline]', '1962/06/01 00:00 [entrez]']",ppublish,Cancer Chemother Rep. 1962 Jun;19:5-11.,,['0 (Antineoplastic Agents)'],,,,
13924920,NLM,MEDLINE,19981101,20181201,0507-3758 (Print) 0507-3758 (Linking),8,1962,[Association of leukemia with cancer (3 observations)].,87-92,"['VARSHAVSKII, A G']",['VARSHAVSKII AG'],['rus'],['Journal Article'],Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,OM,"['Humans', '*Laryngeal Neoplasms', '*Larynx', 'Leukemia/*complications', 'Lung Neoplasms/*complications', '*Neoplasms', 'Stomach Neoplasms/*complications']",['NLM'],"['*LARYNX/neoplasms', '*LEUKEMIA/complications', '*LUNG NEOPLASMS/complications', '*STOMACH NEOPLASMS/complications']",1962/01/01 00:00,1962/01/01 00:01,['1962/01/01 00:00'],"['1962/01/01 00:00 [pubmed]', '1962/01/01 00:01 [medline]', '1962/01/01 00:00 [entrez]']",ppublish,Vopr Onkol. 1962;8:87-92.,,,,,,
13924916,NLM,MEDLINE,19981101,20181201,0552-2080 (Print) 0552-2080 (Linking),7,1962 Jul,[On the transitional form of leukosis].,49-52,"['VARSHAVER, L G', 'SOKOLOVA, M N']","['VARSHAVER LG', 'SOKOLOVA MN']",['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,OM,"['*Genetic Diseases, X-Linked', 'Humans', '*Leukemia', 'Leukemia, Hairy Cell/*pathology', 'Leukemia, Myeloid/*pathology', 'Lymphatic Diseases/*pathology', '*Severe Combined Immunodeficiency']",['NLM'],"['*LEUKEMIA, MYELOCYTIC/pathology', '*RETICULOENDOTHELIOSIS/pathology']",1962/07/01 00:00,1962/07/01 00:01,['1962/07/01 00:00'],"['1962/07/01 00:00 [pubmed]', '1962/07/01 00:01 [medline]', '1962/07/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1962 Jul;7:49-52.,,"['Reticuloendotheliosis, X-linked']",,,,
13924855,NLM,MEDLINE,19981101,20181201,0030-6002 (Print) 0030-6002 (Linking),103,1962 Jul 10,"[A myeloproliferative disease with thyroid adenocarcinoma, Paget's disease and lymphatic leukemia].",1076-9,"['VARGA, L', 'SZABO, M', 'LASZLO, A']","['VARGA L', 'SZABO M', 'LASZLO A']",['hun'],['Journal Article'],Hungary,Orv Hetil,Orvosi hetilap,0376412,OM,"['Adenocarcinoma/*pathology', '*Bone Marrow', '*Bone Marrow Diseases', 'Humans', '*Leukemia', 'Leukemia, Myeloid/*pathology', '*Neoplasms', 'Osteitis Deformans/*pathology', '*Thyroid Gland', '*Thyroid Neoplasms']",['NLM'],"['*ADENOCARCINOMA/pathology', '*BONE MARROW/diseases', '*LEUKEMIA, MYELOCYTIC/pathology', '*OSTEITIS DEFORMANS/pathology', '*THYROID GLAND/neoplasms']",1962/07/10 00:00,1962/07/10 00:01,['1962/07/10 00:00'],"['1962/07/10 00:00 [pubmed]', '1962/07/10 00:01 [medline]', '1962/07/10 00:00 [entrez]']",ppublish,Orv Hetil. 1962 Jul 10;103:1076-9.,,,,,,
13924388,NLM,MEDLINE,19981101,20181201,0036-4355 (Print) 0036-4355 (Linking),7,1962,"[Electrophoretic, immuno-electrophoretic and immunological studies in spontaneous and experimental cancer and leukemia].",55-107,"['VALLADARES, Y']",['VALLADARES Y'],['spa'],['Journal Article'],Spain,Sangre (Barc),Sangre,0404373,OM,"['Blood Proteins/*chemistry', '*Electrophoresis', 'Humans', 'Leukemia/*blood', 'Neoplasms/*blood']",['NLM'],"['*BLOOD PROTEINS', '*BLOOD PROTEINS/chemistry', '*LEUKEMIA/blood', '*NEOPLASMS/blood']",1962/01/01 00:00,1962/01/01 00:01,['1962/01/01 00:00'],"['1962/01/01 00:00 [pubmed]', '1962/01/01 00:01 [medline]', '1962/01/01 00:00 [entrez]']",ppublish,Sangre (Barc). 1962;7:55-107.,,['0 (Blood Proteins)'],,,,
