PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GS,SI,CIN,PMC,RF,GR,CON,EIN,TT,EFR,CRI,OID,OAB,OABL,OTO,OT,GN
8243571,NLM,MEDLINE,19931223,20131121,0301-472X (Print) 0301-472X (Linking),21,13,1993 Dec,Detection and direct sequence identification of BCR-ABL mRNA in Ph+ chronic myeloid leukemia.,1719-24,"The reverse transcriptase-polymerase chain reaction (RT-PCR) for BCR-ABL mRNA is increasingly used to diagnose and monitor patients with Ph+ chronic myeloid leukemia (CML). We investigated an alternative approach to detect BCR-ABL mRNA in CML in order to overcome some of the potential drawbacks of RT-PCR. Nucleic acid sequence based amplification (NASBA) is a homogeneous, isothermal, in vitro process that provides the direct amplification of RNA. Peripheral blood from seven patients with Ph+ CML and Ph+ EM-2 cells were investigated by NASBA and RT-PCR. A nested set of four primers flanking the BCR-ABL junction was used in two serial NASBA reactions performed for 2 hours. The two methods were fully concordant for detection of transcripts with bcr3-abl2 and bcr2-abl2 junctions. Ethidium bromide fluorescence with NASBA indicated in repeated experiments that similar quantities of total RNA from patient material contained different amounts of BCR-ABL mRNA. The data suggest that direct amplification of RNA is suitable for identifying and monitoring patients with Ph+ CML and may provide a means to quantify BCR-ABL mRNA levels.","['Sooknanan, R', 'Malek, L', 'Wang, X H', 'Siebert, T', 'Keating, A']","['Sooknanan R', 'Malek L', 'Wang XH', 'Siebert T', 'Keating A']","['Cangene Corporation, Mississauga, Ontario, Toronto, Canada.']",['eng'],"['Comparative Study', 'Journal Article']",Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (RNA, Messenger)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Base Sequence', 'Fusion Proteins, bcr-abl/*genetics', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis/*genetics', 'Molecular Sequence Data', '*Nucleic Acid Amplification Techniques', 'Nucleic Acid Hybridization', 'Polymerase Chain Reaction', 'RNA, Messenger/*blood/chemistry', 'Sequence Analysis, RNA']",1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1993 Dec;21(13):1719-24.,,,,,,,,,,,,,,,,,
8243570,NLM,MEDLINE,19931223,20131121,0301-472X (Print) 0301-472X (Linking),21,13,1993 Dec,Ribozyme-mediated cleavage of the bcr/abl transcript expressed in chronic myeloid leukemia.,1714-8,"The bcr/abl transcript is specifically expressed in the hematopoietic cells of patients with chronic myeloid leukemia (CML). The Haseloff and Gerlach model was used to design a ribozyme targeted to this transcript. When tested against a synthetic substrate covering the translocation sequence, the ribozyme exhibited site specificity and an absolute requirement for divalent metal ions. Cleavage of the normal bcr was also noted but at a reduced efficiency compared to that exhibited for the bcr/abl substrate. Importantly, cleavage of the full-length bcr/abl mRNA was achieved at physiologic temperature, demonstrating effective ribozyme-mediated cleavage.","['Wright, L', 'Wilson, S B', 'Milliken, S', 'Biggs, J', 'Kearney, P']","['Wright L', 'Wilson SB', 'Milliken S', 'Biggs J', 'Kearney P']","[""Haematology Department, St. Vincent's Hospital, Darlinghurst, New South Wales, Australia.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (RNA, Catalytic)', '0 (RNA, Messenger)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Base Sequence', 'Fusion Proteins, bcr-abl/*genetics', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Molecular Sequence Data', 'Polymerase Chain Reaction', 'RNA, Catalytic/chemistry/*metabolism', 'RNA, Messenger/*metabolism', 'Tumor Cells, Cultured']",1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1993 Dec;21(13):1714-8.,['bcr/abl'],,,,,,,,,,,,,,,,
8243567,NLM,MEDLINE,19931223,20081121,0301-472X (Print) 0301-472X (Linking),21,13,1993 Dec,A sensitive new bioassay for erythroid colony-stimulating factor.,1657-62,"Erythroid colony-stimulating factor (E-CSF) is a B cell-derived membrane protein that specifically affects the growth and development of human and murine committed erythroid progenitors. We report the development of a sensitive new bioassay for E-CSF, based on the ability of the growth factor to stimulate 3H-thymidine incorporation into cloned Rauscher murine erythroleukemia cells. The assay has among its advantages the ability to measure growth factor activity on a purified target cell population in the absence of endogenous growth factor-producing accessory cells. In addition, this assay measures E-CSF's proliferative effect on erythroid progenitors in the absence of erythropoietin (Epo) after 72 to 96 hours. In contrast, the standard bone marrow fibrin clot assay traditionally used to measure E-CSF requires the addition of Epo to promote the development of hemoglobinized erythroid colonies that are quantified after 7 days (for murine cells) to 12 days (for human cells). With the use of this new Rauscher cell bioassay, we have identified an E-CSF-producing human cell line and, further, have measured E-CSF activity derived from nonhuman splenic B lymphocytes.","['Feldman, L', 'Davis, K L', 'Feeley, D M', 'Sytkowski, A J']","['Feldman L', 'Davis KL', 'Feeley DM', 'Sytkowski AJ']","['Laboratory for Cell and Molecular Biology, New England Deaconess Hospital, Harvard Medical School, Boston, MA 02215.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (Colony-Stimulating Factors)', '11096-26-7 (Erythropoietin)', '9007-49-2 (DNA)']",IM,"['Animals', 'B-Lymphocytes/metabolism', '*Biological Assay', 'Cell Division', 'Cell Line, Transformed', 'Colony-Stimulating Factors/*analysis/pharmacology', 'DNA/biosynthesis', 'Erythroid Precursor Cells/cytology', 'Erythropoiesis', 'Erythropoietin/pharmacology', 'Humans', 'Leukemia, Erythroblastic, Acute/metabolism/pathology', 'Mice', 'Tumor Cells, Cultured']",1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1993 Dec;21(13):1657-62.,,,,,,['DK41395/DK/NIDDK NIH HHS/United States'],,,,,,,,,,,
8243566,NLM,MEDLINE,19931223,20151119,0301-472X (Print) 0301-472X (Linking),21,13,1993 Dec,Effect of combined treatment with interleukin-3 and interleukin-6 on 4-hydroperoxycyclo-phosphamide-induced programmed cell death or apoptosis in human myeloid leukemia cells.,1640-7,"In autologous bone marrow transplantation in patients with acute myeloid leukemia (AML), 4-hydroperoxycyclophosphamide (4-HC) is a commonly used ex vivo purging agent for leukemic blasts. In the present report, we demonstrate that exposure to high concentrations of 4-HC for 1 hour, as used in ex vivo bone marrow purging, produces internucleosomal DNA fragmentation characteristic of apoptosis, or programmed cell death (PCD), in human myeloid leukemia HL60 cells. Lower concentrations of 4-HC (10, 20, or 50 microM/L) failed to cause this effect, while higher concentrations (> or = 200 microM/L) produced random DNA fragmentation. 4-HC-mediated internucleosomal DNA fragmentation was associated with a marked induction in c-jun and significant reductions in bcl-2 and c-myc oncogene expressions. A combined treatment with interleukin-3 (IL-3) plus IL-6 for 18 hours before an additional, 1-hour concurrent treatment with 4-HC (100 microM/L) significantly increased 4-HC-induced DNA fragmentation as well as colony growth inhibition of HL60 cells. The effects of cotreatment with IL-3 plus IL-6 were also associated with a further, modest decrease in bcl-2 and c-myc and augmentation of c-jun expression. These findings highlight an alternative mechanism of 4-HC-induced leukemic cell death that can be potentially enhanced by cotreatment with IL-3 plus IL-6.","['Bullock, G', 'Tang, C', 'Tourkina, E', 'Ibrado, A M', 'Lutzky, J', 'Huang, Y', 'Mahoney, M E', 'Bhalla, K']","['Bullock G', 'Tang C', 'Tourkina E', 'Ibrado AM', 'Lutzky J', 'Huang Y', 'Mahoney ME', 'Bhalla K']","['Division of Hematology/Oncology, Medical University of South Carolina, Charleston 29425.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (DNA, Neoplasm)', '0 (Interleukin-3)', '0 (Interleukin-6)', '0 (RNA, Neoplasm)', '8N3DW7272P (Cyclophosphamide)', 'U880A4FUDA (perfosfamide)']",IM,"['Apoptosis/*drug effects', 'Blotting, Southern', 'Bone Marrow Purging', 'Cyclophosphamide/administration & dosage/*analogs & derivatives/pharmacology', 'DNA, Neoplasm/metabolism', 'Gene Expression', 'Genes, jun', 'Genes, myc', 'Humans', 'Interleukin-3/administration & dosage/*pharmacology', 'Interleukin-6/administration & dosage/*pharmacology', 'Leukemia, Myeloid/*pathology', 'RNA, Neoplasm/analysis', 'Tumor Cells, Cultured']",1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1993 Dec;21(13):1640-7.,"['bcl-2', 'c-jun', 'c-myc']",,,,,,,,,,,,,,,,
8243565,NLM,MEDLINE,19931223,20071115,0301-472X (Print) 0301-472X (Linking),21,13,1993 Dec,"Apoptosis in tumor necrosis factor-alpha-dependent, monocyte-mediated leukemic cell death: a functional, morphologic, and flow-cytometric analysis.",1628-39,"Little is known about the precise ways in which monocytes and macrophages recognize tumor cells and how they exert their cytolytic and/or cytostatic effects. By a functional, morphologic, and flow-cytometric approach, we have studied monocyte/macrophage- and cytokine-mediated cytotoxicity against U937 cells, a human histiocytic lymphoma cell line. A rapid decrease in cell viability of U937 cells (MTT assay) could be observed at an effector-to-target cell (E:T) ratio of 10 in the presence of interferon (IFN)-gamma-activated monocytes. Light and electron microscopic examination showed the characteristic features of apoptosis of U937 cells after incubation with either monocytes or tumor necrosis factor (TNF)-alpha. TNF-alpha-induced apoptosis (10(4) U/mL) as measured by multiparameter flow cytometry (propidium iodide [PI]) paralleled the functional decrease in cell viability (MTT assay) of 20 +/- 3% after 24 hours up to a maximum of 50 +/- 4% after 48 hours. Apoptosis could be confirmed by the detection of DNA degradation into multiples of 200-bp subunits by agarose gel electrophoresis. After prolonged incubation times, monocyte-mediated leukemic cell death could be quantified as apoptosis by flow cytometry, whereas no decrease in net cell viability of tumor cells relative to the initial cell number could be observed by MTT spectrophotometry. In conclusion, our data provide evidence that apoptosis is the major mode of TNF-alpha-dependent monocyte-mediated cytotoxicity against U937 cells. Furthermore, multiparameter flow-cytometric analysis offers a sensitive method to quantify cytokine- and cell-induced apoptosis in leukemia.","['van de Loosdrecht, A A', 'Ossenkoppele, G J', 'Beelen, R H', 'Broekhoven, M G', 'Drager, A M', 'Langenhuijsen, M M']","['van de Loosdrecht AA', 'Ossenkoppele GJ', 'Beelen RH', 'Broekhoven MG', 'Drager AM', 'Langenhuijsen MM']","['Department of Hematology, Academisch Ziekenhuis Vrije Universiteit, Amsterdam, The Netherlands.']",['eng'],['Journal Article'],Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (DNA, Neoplasm)', '0 (Tumor Necrosis Factor-alpha)']",IM,"['*Apoptosis', '*Cytotoxicity, Immunologic', 'DNA, Neoplasm/metabolism', 'Electrophoresis, Agar Gel', 'Flow Cytometry', 'Humans', 'Lymphoma, Large B-Cell, Diffuse/immunology/*pathology', 'Macrophages/*immunology/ultrastructure', 'Microscopy, Electron', 'Monocytes/*immunology/ultrastructure', 'Tumor Cells, Cultured', 'Tumor Necrosis Factor-alpha/*pharmacology']",1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1993 Dec;21(13):1628-39.,,,,,,,,,,,,,,,,,
8243487,NLM,MEDLINE,19940106,20190830,0934-9723 (Print) 0934-9723 (Linking),12,9,1993 Sep,Parainfluenza virus infection in adult bone marrow transplant recipients.,699-701,The clinical course of parainfluenza virus infection occurring in 8 of 265 (3%) adult bone marrow transplant recipients during 1991 was reviewed. Parainfluenza virus type 3 was isolated from all eight patients. The clinical course ranged from self-limited upper respiratory tract infections (2 patients) to severe lower respiratory tract disease (6 patients) associated with a 50% mortality. This study highlights the important role of community respiratory viruses such as parainfluenza virus in the etiology of pneumonia in immunocompromised adults.,"['Whimbey, E', 'Vartivarian, S E', 'Champlin, R E', 'Elting, L S', 'Luna, M', 'Bodey, G P']","['Whimbey E', 'Vartivarian SE', 'Champlin RE', 'Elting LS', 'Luna M', 'Bodey GP']","['Section of Infectious Diseases, University of Texas M.D. Anderson Cancer Center, Houston 77030.']",['eng'],['Journal Article'],Germany,Eur J Clin Microbiol Infect Dis,European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,8804297,,IM,"['Adult', '*Bone Marrow Transplantation', 'Humans', '*Immunocompromised Host', 'Leukemia/complications', 'Lymphoma/complications', 'Middle Aged', 'Parainfluenza Virus 3, Human/*isolation & purification', 'Paramyxoviridae Infections/complications/*microbiology/mortality', 'Pneumonia, Viral/complications/*microbiology/mortality']",1993/09/01 00:00,1993/09/01 00:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '1993/09/01 00:01 [medline]', '1993/09/01 00:00 [entrez]']",['10.1007/BF02009383 [doi]'],ppublish,Eur J Clin Microbiol Infect Dis. 1993 Sep;12(9):699-701. doi: 10.1007/BF02009383.,,,,,,,,,,,,,,,,,
8243205,NLM,MEDLINE,19940105,20191210,0196-4763 (Print) 0196-4763 (Linking),14,7,1993 Oct,Nucleated cells response to protein electroinsertion.,764-71,"Application of an electrical pulse field at a strength slightly below the value required for electroporation to a suspension of red blood cells in the presence of membrane xenoproteins leads to the insertion of those proteins in the erythrocyte plasma membrane. This observation is extended to nucleated cells. In the presence of glycophorin A, application of such pulses leads to the insertion of 10(4)-10(5) molecules of glycophorin A per cell in CEM-CM3, Hela S3, and bovine CD8+ T cells. Electroinserted glycophorin A is detected by flow cytometry using anti-glycophorin monoclonal antibodies. The survival of the cells subjected to electroinsertion was 55% for CEM-CM3 cells, 69% for Hela S3 cells, and 65% for CD8+ T cells. Cells cultured after electroinsertion lost the electroinserted glycophorin A, with two different rates, by a temperature and cell type-dependent mechanism. During the first 2 h after electroinsertion, the CD8+ T cells lost 12.5% of the inserted glycophorin A per h, the CEM-CM3 cells lost 7.7% per h, whereas the Hela S3 cells lost only 0.8% of the inserted protein per h. After 2 h, the rate increased substantially, to 41.7% per h for the CD8+ T cells, 13.5% for the CEM-CM3 cells, and 8.9% for the Hela S3 cells. Cytochalasin D efficiently inhibited the disappearance of electroinserted glycophorin A during the first 2 h after electroinsertion only.","['Mouneimne, Y', 'Brown, W C', 'Nicolau, C', 'Tosi, P F']","['Mouneimne Y', 'Brown WC', 'Nicolau C', 'Tosi PF']","['Center for Blood Research Laboratories, Boston, Massachusetts.']",['eng'],['Journal Article'],United States,Cytometry,Cytometry,8102328,"['0 (Glycophorins)', '22144-77-0 (Cytochalasin D)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Cattle', 'Cytochalasin D/pharmacology', 'Dimethyl Sulfoxide/pharmacology', '*Electroporation', 'Eukaryotic Cells/*metabolism', 'Flow Cytometry', 'Fluorescent Antibody Technique', 'Glycophorins/*administration & dosage', 'HeLa Cells/metabolism', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/pathology', 'T-Lymphocyte Subsets/metabolism', 'Tumor Cells, Cultured']",1993/10/01 00:00,1993/10/01 00:01,['1993/10/01 00:00'],"['1993/10/01 00:00 [pubmed]', '1993/10/01 00:01 [medline]', '1993/10/01 00:00 [entrez]']",['10.1002/cyto.990140709 [doi]'],ppublish,Cytometry. 1993 Oct;14(7):764-71. doi: 10.1002/cyto.990140709.,,,,,,,,,,,,,,,,,
8243140,NLM,MEDLINE,19931229,20161123,0009-4749 (Print) 0009-4749 (Linking),78,3,1993 Jul-Sep,Orthopaedic manifestations of leukemia during childhood: a rare case of isolated periosteal reaction.,191-4,The authors describe one case of acute lymphoid leukemia during childhood manifested by migrant arthralgias. The only radiographic signs were constituted by a periosteal reaction in the left fibula. The main clinical symptoms and radiographic signs described in the literature and used to diagnose leukemia are reported.,"['Tabarroni, M', 'Sudanese, A']","['Tabarroni M', 'Sudanese A']","[""Clinica Ortopedica dell'Universita, Istituto Ortopedico Rizzoli, Bologna.""]","['eng', 'ita']","['Case Reports', 'Journal Article', 'Review']",Italy,Chir Organi Mov,La Chirurgia degli organi di movimento,0372573,,IM,"['Bone Diseases/etiology', 'Child', 'Humans', 'Male', '*Periosteum/diagnostic imaging', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications', 'Radiography']",1993/07/01 00:00,1993/07/01 00:01,['1993/07/01 00:00'],"['1993/07/01 00:00 [pubmed]', '1993/07/01 00:01 [medline]', '1993/07/01 00:00 [entrez]']",,ppublish,Chir Organi Mov. 1993 Jul-Sep;78(3):191-4.,,,,,12,,,,,,,,,,,,
8243110,NLM,MEDLINE,19940106,20131121,0011-4529 (Print) 0011-4529 (Linking),76,304,1993,Expression of protein kinase C isoforms in HL60 and phorbol ester resistant HL525 cells.,19-29,"Isoform protein expression and activity were investigated to evaluate whether differential expression of protein kinase C (PKC) accounts for the inability of HL525 cells to respond to phorbol 12-13,myristate acetate (PMA). Immunoblotting analysis of lysates from both the parental HL60 and PMA-resistant HL525 cells revealed expression of alpha-, beta-, delta- and zeta-PKC isoforms. Diminished expression of delta-PKC was observed along with increased expression of zeta-PKC in HL525 cells. Lysates from HL60 cells were resolved into the following 4 peaks of PKC activity using hydroxylapatite: peak 1, beta; peak 2, delta; peak 3, alpha; and peak 4, zeta. A similar elution pattern was noted for PKC isoforms expressed in HL525 cells although no peak 2-delta activity was recovered. PMA treatment of HL60 cells abolished activity of peaks 2, 3, 4; diminished alpha-PKC and increased zeta-PKC expression. In contrast, PMA treatment of HL525 cells did not abolish activity of peaks 1, 3 or 4, compared with the parental HL60 cells and failed to stimulate changes in zeta-PKC isoform expression. These data suggest that the inability of PMA to induce differentiation of HL525 cells may reside in diminished expression of delta-PKC along with alterations in zeta-PKC. The findings support the hypothesis that differential expression of PKC isoforms in HL525 cells contributes to the lack of morphological changes in response to PMA. The data also demonstrate that PMA alters the level of histone-dependent phosphotransferase activity as well as PKC cofactor dependence.","['Wooten, M W', 'Seibenhener, M L', 'Soh, Y']","['Wooten MW', 'Seibenhener ML', 'Soh Y']","['Department of Zoology, Alabama Agricultural Experiment Station, Auburn University 36849.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Cytobios,Cytobios,0207227,"['EC 2.7.11.13 (Protein Kinase C)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Blotting, Western', 'Down-Regulation/drug effects/physiology', 'Drug Resistance', 'Humans', 'Isomerism', 'Leukemia, Experimental/*enzymology/*pathology', 'Leukemia, Myeloid/*enzymology/*pathology', 'Protein Kinase C/*analysis/chemistry/physiology', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Tumor Cells, Cultured']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Cytobios. 1993;76(304):19-29.,,,,,,['CA-49637/CA/NCI NIH HHS/United States'],,,,,,,,,,,
8242863,NLM,MEDLINE,19931229,20190512,0143-3334 (Print) 0143-3334 (Linking),14,11,1993 Nov,"Peroxidase activation of hydroquinone results in the formation of DNA adducts in HL-60 cells, mouse bone marrow macrophages and human bone marrow.",2329-34,"Metabolism of benzene results in the formation of multiple metabolites, including hydroquinone (HQ). HQ is a reducing co-substrate for peroxidase enzymes, and the resultant semiquinone and para-benzoquinone (p-BQ) may bind to DNA. The role of peroxidase activation in the formation of DNA adducts by benzene metabolites has not been established. In this study we investigated the role of peroxidase activation in the formation of DNA adducts by HQ and p-BQ in HL-60 cells, human bone marrow (HBM) cells, mouse bone marrow macrophages (MBMM) and the U-937 and Raji leukemia cell lines. Adduct formation was measured by P1-enhanced 32P-postlabeling; peroxidase activity was measured with a spectrophotometric assay. Treatment with p-BQ resulted in the formation of two DNA adducts in all of the cell lines. The DNA adducts were identical in all of the cells, however, the adduct level varied by 80-fold. Treatment with HQ produced one DNA adduct in HL-60 cells, HBM and MBMM; no adducts were detected in U-937 or Raji cells. The HQ-DNA adducts in the three cell lines were identical. The adduct level was highest in the HL-60 cells, followed by HBM and MBMM. There was a statistically significant correlation between peroxidase activity and the formation of HQ-DNA adducts. These results suggest that peroxidase-mediated metabolism is involved in the activation of HQ to form DNA adducts in mouse bone marrow and HBM.","['Levay, G', 'Ross, D', 'Bodell, W J']","['Levay G', 'Ross D', 'Bodell WJ']","['Department of Neurological Surgery, School of Medicine, University of California, San Francisco 94143.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Carcinogenesis,Carcinogenesis,8008055,"['0 (Benzoquinones)', '0 (DNA, Neoplasm)', '0 (Hydroquinones)', '3T006GV98U (quinone)', '9007-49-2 (DNA)', 'EC 1.11.1.- (Peroxidases)', 'XV74C1N1AE (hydroquinone)']",IM,"['Animals', 'Benzoquinones/metabolism', 'Biotransformation', 'Bone Marrow/*metabolism', 'Cell Line', 'DNA/isolation & purification/*metabolism', 'DNA, Neoplasm/isolation & purification/*metabolism', 'Humans', 'Hydroquinones/*metabolism', 'Leukemia', 'Leukemia, Promyelocytic, Acute', 'Macrophages/*metabolism', 'Male', 'Mice', 'Mice, Inbred Strains', 'Peroxidases/*metabolism', 'Tumor Cells, Cultured']",1993/11/01 00:00,1993/11/01 00:01,['1993/11/01 00:00'],"['1993/11/01 00:00 [pubmed]', '1993/11/01 00:01 [medline]', '1993/11/01 00:00 [entrez]']",['10.1093/carcin/14.11.2329 [doi]'],ppublish,Carcinogenesis. 1993 Nov;14(11):2329-34. doi: 10.1093/carcin/14.11.2329.,,,,,,"['ES04112/ES/NIEHS NIH HHS/United States', 'ES04705/ES/NIEHS NIH HHS/United States']",,,,,,,,,,,
8242662,NLM,MEDLINE,19940106,20190909,0340-7004 (Print) 0340-7004 (Linking),37,6,1993 Nov,Tumor idiotype vaccines. VIII. Analysis of protective idiotype in sera and hybridomas derived from tumor-bearing mice with long-term survival.,373-7,"In this study, the contribution of idiotype-positive antitumor antibodies (anti-Id) in protective tumor immunity was investigated. We have previously shown that among various anti-Id generated and typed as the internal-image Ab2 of the tumor-associated antibody (TAA) gp52, only 2F10 antibody induces protective immunity. Increase of the 2F10 idiotope in sera of tumor-bearing mice correlated with long-term survival, while in mice with short survival the circulating 2F10 idiotype decreased. 2F10+ Ig were purified from sera of tumor-bearing mice with long-term survival and the amount of 2F10+ anti-TAA antibodies was determined. Only about 3% of 2F10+ antibodies are 2F10+ anti-TAA+. Hybridomas were generated from a 2F10 high mouse with spontaneous tumor regression. Only 2 out of 52 tumor-specific hybridomas were 2F10+. These results suggest that the protective effect induced by 2F10 vaccination may not be directly mediated by 2F10+ antibodies but indirectly through the stimulation of a 2F10-specific cellular immune response.","['Chen, J J', 'Kohler, H']","['Chen JJ', 'Kohler H']","['San Diego Regional Cancer Center, CA 92121.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Cancer Immunol Immunother,"Cancer immunology, immunotherapy : CII",8605732,"['0 (Antibodies, Anti-Idiotypic)', '0 (Antibodies, Neoplasm)', '0 (Immunoglobulin Fab Fragments)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)']",IM,"['Animals', 'Antibodies, Anti-Idiotypic/biosynthesis/*immunology', 'Antibodies, Neoplasm/biosynthesis/*immunology', 'Antibody Specificity', 'Enzyme-Linked Immunosorbent Assay', 'Hybridomas', 'Immunoglobulin Fab Fragments/metabolism', 'Immunoglobulin G/metabolism', 'Immunoglobulin M/metabolism', '*Immunotherapy, Active', 'Leukemia L1210/*immunology/prevention & control', 'Mice', 'Mice, Inbred DBA', 'Neoplasm Regression, Spontaneous/*immunology']",1993/11/01 00:00,1993/11/01 00:01,['1993/11/01 00:00'],"['1993/11/01 00:00 [pubmed]', '1993/11/01 00:01 [medline]', '1993/11/01 00:00 [entrez]']",['10.1007/BF01526793 [doi]'],ppublish,Cancer Immunol Immunother. 1993 Nov;37(6):373-7. doi: 10.1007/BF01526793.,,,,,,['CA51434/CA/NCI NIH HHS/United States'],,,,,,,,,,,
8242646,NLM,MEDLINE,19931230,20061115,0361-090X (Print) 0361-090X (Linking),17,4-5,1993,Survival of cancer patients in Poland.,469-74,"Data on survivals that were obtained from population-based cancer registries and representing different subpopulations in Poland, i.e., the City of Warsaw and the Warsaw Rural Areas (WRA), are presented. The overall 5-year relative survival rates calculated for males increased from 23.8% in 1963-1968 to 31.2% in 1978-1981, while no such increase was found among females (43.6 and 43.2%, respectively). The 5-year survivals were divided into three groups: (1) fairly good (40 to 100%); (2) moderate (20 to 39%); and (3) poor (below 20%). The first group also included (apart from cancer of the skin and lip, where the 5-year survival rate was 100%) cancers of the corpus uteri, Hodgkin's disease, lymphatic leukemia, malignant melanoma, testis, larynx, breast, thyroid, cervix, uteri, and prostate. The second group included cancers of the colon, bone, ovary, rectum, urinary bladder, kidney, non-Hodgkin's lymphoma, and brain. The lowest-survival group included, among other localizations, cancers of the lung, stomach, gall-bladder, pancreas, esophagus, and liver. A comparison between the 5-year survivals in Warsaw City, WRA, and the rates obtained in Finland and the U.S. showed that Polish results are considerably worse than in the other countries.","['Wronkowski, Z', 'Romejko, M', 'Zwierko, M']","['Wronkowski Z', 'Romejko M', 'Zwierko M']","['Maria Sklodowska-Curie Memorial Cancer Centre, Cancer Prevention Department, Warsaw, Poland.']",['eng'],"['Comparative Study', 'Journal Article']",England,Cancer Detect Prev,Cancer detection and prevention,7704778,,IM,"['Female', 'Finland/epidemiology', 'Humans', 'Male', 'Neoplasms/*mortality', 'Poland/epidemiology', '*Rural Population', 'Sex Factors', 'Survival Rate', 'United States/epidemiology', '*Urban Population']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Cancer Detect Prev. 1993;17(4-5):469-74.,,,,,,,,,,,,,,,,,
