PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,TT,PMC,AB,OID
5291054,NLM,MEDLINE,19720511,20041117,0022-1961 (Print) 0022-1961 (Linking),28,5,1971,[Case of myelogenous leukemia complicated with early stomach cancer and gastric ulcer].,982-7,"['Uchida, S', 'Miyamoto, N', 'Murao, H', 'Saito, T']","['Uchida S', 'Miyamoto N', 'Murao H', 'Saito T']",['jpn'],['Journal Article'],Japan,Naika,Naika. Internal medicine,0413541,IM,"['Adenocarcinoma/*complications', 'Humans', 'Leukemia, Myeloid/*complications', 'Male', 'Middle Aged', 'Stomach Neoplasms/*complications', 'Stomach Ulcer/*complications']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",ppublish,Naika. 1971;28(5):982-7.,,,,,,
5289428,NLM,MEDLINE,19720316,20190616,0077-8923 (Print) 0077-8923 (Linking),186,,1971 Nov 30,The characteristics of the membrane transport of amethopterin and the naturally occurring folates.,400-22,"['Goldman, I D']",['Goldman ID'],['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,IM,"['Adenine Nucleotides/pharmacology', 'Adenosine Triphosphate/pharmacology', 'Animals', 'Aspirin/pharmacology', 'Azides/pharmacology', 'Biological Transport, Active/drug effects', 'Carcinoma, Ehrlich Tumor/metabolism', 'Cell Membrane/*metabolism', 'Cells, Cultured', 'Chlorides/pharmacology', 'Erythrocytes/metabolism', 'Folic Acid/*metabolism', 'Humans', 'Kinetics', 'Leukemia L1210/metabolism', 'Methotrexate/*metabolism', 'Mice', 'Nitrates/pharmacology', 'Organophosphorus Compounds/pharmacology', 'Phosphates/pharmacology', 'Rabbits', 'Sulfates/pharmacology', 'Time Factors']",1971/11/30 00:00,1971/11/30 00:01,['1971/11/30 00:00'],"['1971/11/30 00:00 [pubmed]', '1971/11/30 00:01 [medline]', '1971/11/30 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1971 Nov 30;186:400-22. doi: 10.1111/j.1749-6632.1971.tb46996.x.,"['0 (Adenine Nucleotides)', '0 (Azides)', '0 (Chlorides)', '0 (Nitrates)', '0 (Organophosphorus Compounds)', '0 (Phosphates)', '0 (Sulfates)', '8L70Q75FXE (Adenosine Triphosphate)', '935E97BOY8 (Folic Acid)', 'R16CO5Y76E (Aspirin)', 'YL5FZ2Y5U1 (Methotrexate)']",['10.1111/j.1749-6632.1971.tb46996.x [doi]'],,,,
5289426,NLM,MEDLINE,19720316,20191210,0077-8923 (Print) 0077-8923 (Linking),186,,1971 Nov 30,Cytotoxic mechanisms of folate antagonists.,359-62,"['Borsa, J']",['Borsa J'],['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,IM,"['Animals', 'Antineoplastic Agents/pharmacology', 'Cell Line', 'Cell Survival/drug effects', 'Culture Media', 'Folic Acid Antagonists/*pharmacology', 'HeLa Cells/drug effects', 'L Cells/drug effects', 'Leukemia, Experimental', 'Methotrexate/pharmacology', 'Thymine/pharmacology']",1971/11/30 00:00,1971/11/30 00:01,['1971/11/30 00:00'],"['1971/11/30 00:00 [pubmed]', '1971/11/30 00:01 [medline]', '1971/11/30 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1971 Nov 30;186:359-62. doi: 10.1111/j.1749-6632.1971.tb46990.x.,"['0 (Antineoplastic Agents)', '0 (Culture Media)', '0 (Folic Acid Antagonists)', 'QR26YLT7LT (Thymine)', 'YL5FZ2Y5U1 (Methotrexate)']",['10.1111/j.1749-6632.1971.tb46990.x [doi]'],,,,
5289425,NLM,MEDLINE,19720316,20131121,0077-8923 (Print) 0077-8923 (Linking),186,,1971 Nov 30,Growth rate and cell kill.,330-42,"['Hryniuk, W M', 'Bertino, J R']","['Hryniuk WM', 'Bertino JR']",['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,IM,"['Animals', 'Cell Division/drug effects', 'Cell Survival', 'Cells, Cultured', 'DNA, Neoplasm/biosynthesis', 'Deoxyuridine/metabolism', 'Drug Interactions', 'Humans', 'Leukemia L1210/*drug therapy/metabolism', 'Leukemia, Experimental', 'Methotrexate/antagonists & inhibitors/pharmacology/*therapeutic use', 'Mice', 'Thymidine/metabolism', 'Time Factors', 'Tritium', 'Uridine/metabolism']",1971/11/30 00:00,1971/11/30 00:01,['1971/11/30 00:00'],"['1971/11/30 00:00 [pubmed]', '1971/11/30 00:01 [medline]', '1971/11/30 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1971 Nov 30;186:330-42.,"['0 (DNA, Neoplasm)', '10028-17-8 (Tritium)', 'VC2W18DGKR (Thymidine)', 'W78I7AY22C (Deoxyuridine)', 'WHI7HQ7H85 (Uridine)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,
5289423,NLM,MEDLINE,19720316,20190616,0077-8923 (Print) 0077-8923 (Linking),186,,1971 Nov 30,Sites of action of amethopterin: intrinsic and acquired drug resistance.,312-24,"['Harrap, K R', 'Hill, B T', 'Furness, M E', 'Hart, L I']","['Harrap KR', 'Hill BT', 'Furness ME', 'Hart LI']",['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,IM,"['Animals', 'Binding Sites', 'Biological Transport/drug effects', 'Cells, Cultured', 'DNA, Neoplasm/biosynthesis', 'Drug Resistance', 'Female', 'Folic Acid/pharmacology', 'Kinetics', 'Leukemia L1210/drug therapy/metabolism', 'Lymphoma/drug therapy/metabolism', 'Methotrexate/antagonists & inhibitors/*metabolism/therapeutic use', 'Protein Binding', 'Rats', 'Sarcoma, Yoshida/drug therapy/metabolism', 'Tetrahydrofolate Dehydrogenase/metabolism', 'Time Factors', 'Tritium', 'Uridine/metabolism']",1971/11/30 00:00,1971/11/30 00:01,['1971/11/30 00:00'],"['1971/11/30 00:00 [pubmed]', '1971/11/30 00:01 [medline]', '1971/11/30 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1971 Nov 30;186:312-24. doi: 10.1111/j.1749-6632.1971.tb46986.x.,"['0 (DNA, Neoplasm)', '10028-17-8 (Tritium)', '935E97BOY8 (Folic Acid)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'WHI7HQ7H85 (Uridine)', 'YL5FZ2Y5U1 (Methotrexate)']",['10.1111/j.1749-6632.1971.tb46986.x [doi]'],,,,
5289422,NLM,MEDLINE,19720316,20131121,0077-8923 (Print) 0077-8923 (Linking),186,,1971 Nov 30,L-asparaginase induced alteration of amethopterin (methotrexate) activity in mouse leukemia L5178Y.,302-11,"['Capizzi, R L', 'Summers, W P', 'Bertino, J R']","['Capizzi RL', 'Summers WP', 'Bertino JR']",['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,IM,"['Animals', 'Asparaginase/*pharmacology', 'Asparagine/pharmacology', 'Cell Survival/drug effects', 'Cells, Cultured', 'DNA, Neoplasm/biosynthesis', 'Deoxyuridine/metabolism', 'Female', 'Leukemia, Experimental/drug therapy/*metabolism', 'Methotrexate/antagonists & inhibitors/*metabolism/therapeutic use', 'Mice', 'Mice, Inbred Strains', 'Time Factors', 'Tritium']",1971/11/30 00:00,1971/11/30 00:01,['1971/11/30 00:00'],"['1971/11/30 00:00 [pubmed]', '1971/11/30 00:01 [medline]', '1971/11/30 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1971 Nov 30;186:302-11.,"['0 (DNA, Neoplasm)', '10028-17-8 (Tritium)', '7006-34-0 (Asparagine)', 'EC 3.5.1.1 (Asparaginase)', 'W78I7AY22C (Deoxyuridine)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,
5289421,NLM,MEDLINE,19720316,20190616,0077-8923 (Print) 0077-8923 (Linking),186,,1971 Nov 30,Some biochemical and pharmacologic properties of amethopterin-albumin.,284-6,"['Jacobs, S A', ""D'Urso-Scott, M"", 'Bertino, J R']","['Jacobs SA', ""D'Urso-Scott M"", 'Bertino JR']",['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,IM,"['Albuminuria', 'Animals', 'Folic Acid Antagonists', 'Leukemia L1210/drug therapy/metabolism', '*Macromolecular Substances', 'Methotrexate/metabolism/*pharmacology/therapeutic use/urine', 'Mice', 'Protein Binding', 'Serum Albumin/metabolism/*pharmacology/therapeutic use']",1971/11/30 00:00,1971/11/30 00:01,['1971/11/30 00:00'],"['1971/11/30 00:00 [pubmed]', '1971/11/30 00:01 [medline]', '1971/11/30 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1971 Nov 30;186:284-6. doi: 10.1111/j.1749-6632.1971.tb46982.x.,"['0 (Folic Acid Antagonists)', '0 (Macromolecular Substances)', '0 (Serum Albumin)', 'YL5FZ2Y5U1 (Methotrexate)']",['10.1111/j.1749-6632.1971.tb46982.x [doi]'],,,,
5289410,NLM,MEDLINE,19720309,20151119,0043-5376 (Print) 0043-5376 (Linking),52,10,1971,[Therapeutic results with daunomycin-vincristine-prednisolone in acute leucoses].,483-7,"['Honetz, N', 'Neumann, E']","['Honetz N', 'Neumann E']",['ger'],['Journal Article'],Austria,Wien Z Inn Med,Wiener Zeitschrift fur innere Medizin und ihre Grenzgebiete,7502231,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/adverse effects', 'Daunorubicin/*therapeutic use', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Leukopenia/chemically induced', 'Male', 'Middle Aged', 'Prednisolone/*therapeutic use', 'Thrombocytopenia/chemically induced', 'Vincristine/*therapeutic use']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",ppublish,Wien Z Inn Med. 1971;52(10):483-7.,"['0 (Antineoplastic Agents)', '5J49Q6B70F (Vincristine)', '9PHQ9Y1OLM (Prednisolone)', 'ZS7284E0ZP (Daunorubicin)']",,Behandlungsergebnisse mit Daunomycin-Vincristin-Prednisolon bei akuten Leukosen.,,,
5289409,NLM,MEDLINE,19720309,20071115,0043-5376 (Print) 0043-5376 (Linking),52,10,1971,[Activity of -glucuronidase in human leukemia cells].,477-82,"['Kahn, P', 'Plementas, H']","['Kahn P', 'Plementas H']",['ger'],['Journal Article'],Austria,Wien Z Inn Med,Wiener Zeitschrift fur innere Medizin und ihre Grenzgebiete,7502231,IM,"['Cell Transformation, Neoplastic/enzymology', 'Glucuronidase/*metabolism', 'Humans', 'Leukemia/*enzymology/pathology', 'Leukemia, Lymphoid/enzymology', 'Leukemia, Myeloid/enzymology', 'Leukemia, Myeloid, Acute/enzymology', 'Lymphocytes/*enzymology']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",ppublish,Wien Z Inn Med. 1971;52(10):477-82.,['EC 3.2.1.31 (Glucuronidase)'],,Uber die Aktivitat der -Glukuronidase in menschlichen Leukamiezellen.,,,
5289379,NLM,MEDLINE,19720309,20190501,0027-8424 (Print) 0027-8424 (Linking),68,9,1971 Sep,Inhibition of the DNA polymerase of Rauscher leukemia virus by single-stranded polyribonucleotides.,2198-202,"['Tuominen, F W', 'Kenney, F T']","['Tuominen FW', 'Kenney FT']",['eng'],['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['Adenine Nucleotides/pharmacology', 'Buffers', 'Cytosine Nucleotides/pharmacology', 'DNA Nucleotidyltransferases/*antagonists & inhibitors/isolation & purification', 'DNA, Viral/metabolism', 'Guanine Nucleotides/pharmacology', 'Hydrogen-Ion Concentration', 'Kinetics', 'Polynucleotides/*pharmacology', 'Rauscher Virus/*enzymology', 'Ribonucleases/pharmacology', 'Ribonucleotides/pharmacology', 'Templates, Genetic', 'Uracil Nucleotides/pharmacology']",1971/09/01 00:00,1971/09/01 00:01,['1971/09/01 00:00'],"['1971/09/01 00:00 [pubmed]', '1971/09/01 00:01 [medline]', '1971/09/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1971 Sep;68(9):2198-202. doi: 10.1073/pnas.68.9.2198.,"['0 (Adenine Nucleotides)', '0 (Buffers)', '0 (Cytosine Nucleotides)', '0 (DNA, Viral)', '0 (Guanine Nucleotides)', '0 (Polynucleotides)', '0 (Ribonucleotides)', '0 (Uracil Nucleotides)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 3.1.- (Ribonucleases)']",['10.1073/pnas.68.9.2198 [doi]'],,PMC389384,"The DNA polymerase of Rauscher murine leukemia virus is strongly and specifically inhibited by nontemplate, single-stranded polyribonucleotides with either the resident viral RNA, native calf-thymus DNA, or poly[d(A-T)] as templates. These inhibitory homopolymers are apparently bound to the template site of the polymerase, since they interact competitively with the template. The strength of the inhibition depends on the particular homopolymer used: poly(U) > poly(G) >> poly(A) > poly(C). The K(i) for poly(U) was 0.08 mug/ml, which represents an apparent affinity six times greater than that observed for viral RNA. No such inhibition was observed with a highly purified DNA polymerase from mouse embryos or the Escherichia coli enzyme.",
5289350,NLM,MEDLINE,19720309,20190704,0007-1048 (Print) 0007-1048 (Linking),21,6,1971 Dec,Serum lysozyme and vitamin B 12 binding capacity in myeloproliferative disorders.,661-72,"['Catovsky, D', 'Galton, D A', 'Griffin, C', 'Hoffbrand, A V', 'Szur, L']","['Catovsky D', 'Galton DA', 'Griffin C', 'Hoffbrand AV', 'Szur L']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,IM,"['Agranulocytosis/blood/enzymology', 'Anemia, Aplastic/blood/enzymology', 'Anemia, Macrocytic/blood/enzymology', 'Bone Marrow', 'Chronic Disease', 'Folic Acid/blood', 'Humans', 'Leukemia, Myeloid/blood/enzymology', 'Leukocyte Count', 'Leukocytes', 'Muramidase/*blood', 'Myeloproliferative Disorders/*blood/*enzymology', 'Neutrophils', 'Polycythemia Vera/blood/enzymology', '*Protein Binding', 'Vitamin B 12/*blood']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",ppublish,Br J Haematol. 1971 Dec;21(6):661-72. doi: 10.1111/j.1365-2141.1971.tb02728.x.,"['935E97BOY8 (Folic Acid)', 'EC 3.2.1.17 (Muramidase)', 'P6YC3EG204 (Vitamin B 12)']",['10.1111/j.1365-2141.1971.tb02728.x [doi]'],,,,
5289324,NLM,MEDLINE,19720309,20131121,0032-6518 (Print) 0032-6518 (Linking),207,240,1971 Oct,Advances in the chemotherapy of malignant disease.,524-32,"['Bagshawe, K D']",['Bagshawe KD'],['eng'],['Journal Article'],England,Practitioner,The Practitioner,0404245,IM,"['Antibiotics, Antineoplastic/therapeutic use', 'Asparaginase/therapeutic use', 'Cytarabine/therapeutic use', 'Drug Combinations', 'Hodgkin Disease/drug therapy', 'Humans', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Medication Systems, Hospital', 'Neoplasms/diagnosis/*drug therapy']",1971/10/01 00:00,1971/10/01 00:01,['1971/10/01 00:00'],"['1971/10/01 00:00 [pubmed]', '1971/10/01 00:01 [medline]', '1971/10/01 00:00 [entrez]']",ppublish,Practitioner. 1971 Oct;207(240):524-32.,"['0 (Antibiotics, Antineoplastic)', '0 (Drug Combinations)', '04079A1RDZ (Cytarabine)', 'EC 3.5.1.1 (Asparaginase)']",,,,,
5289297,NLM,MEDLINE,19720308,20131121,0025-7818 (Print) 0025-7818 (Linking),62,2,1971 Feb-Mar,[Malignant hemopathies and benzolism].,71-6,"['Girard, R', 'Tolot, F', 'Bourret, J']","['Girard R', 'Tolot F', 'Bourret J']",['ita'],['Journal Article'],Italy,Med Lav,La Medicina del lavoro,0401176,IM,"['Anemia, Aplastic/*chemically induced', 'Benzene/*poisoning', 'Humans', 'Leukemia, Lymphoid/*chemically induced', 'Leukemia, Myeloid/*chemically induced', 'Primary Myelofibrosis/*chemically induced', 'Toluene/poisoning']",1971/02/01 00:00,1971/02/01 00:01,['1971/02/01 00:00'],"['1971/02/01 00:00 [pubmed]', '1971/02/01 00:01 [medline]', '1971/02/01 00:00 [entrez]']",ppublish,Med Lav. 1971 Feb-Mar;62(2):71-6.,"['3FPU23BG52 (Toluene)', 'J64922108F (Benzene)']",,Emopatie maligne e benzolismo.,,,
5289296,NLM,MEDLINE,19720308,20071115,0004-5772 (Print) 0004-5772 (Linking),19,11,1971 Nov,Compression paraplegia due to leukaemia. (A case report).,811-3,"['Sharma, T D', 'Gupta, R K']","['Sharma TD', 'Gupta RK']",['eng'],['Journal Article'],India,J Assoc Physicians India,The Journal of the Association of Physicians of India,7505585,IM,"['Adult', 'Humans', 'Leukemia, Myeloid, Acute/*complications/diagnosis', 'Male', 'Neurologic Manifestations', 'Paraplegia/*etiology', 'Spinal Cord Compression/*complications']",1971/11/01 00:00,1971/11/01 00:01,['1971/11/01 00:00'],"['1971/11/01 00:00 [pubmed]', '1971/11/01 00:01 [medline]', '1971/11/01 00:00 [entrez]']",ppublish,J Assoc Physicians India. 1971 Nov;19(11):811-3.,,,,,,
5289281,NLM,MEDLINE,19720308,20210216,0006-4971 (Print) 0006-4971 (Linking),38,3,1971 Sep,Effect of high concentrations of leukocytes on whole blood viscosity.,299-301,"['Steinberg, M H', 'Charm, S E']","['Steinberg MH', 'Charm SE']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,IM,"['*Blood Viscosity', 'Bone Marrow Diseases/blood', 'Humans', 'Leukemia/*blood', 'Leukemia, Lymphoid/blood/complications', 'Leukemia, Myeloid/blood', 'Leukemia, Myeloid, Acute/blood', 'Leukocyte Count', 'Leukocytosis/*blood/etiology', 'Suspensions']",1971/09/01 00:00,1971/09/01 00:01,['1971/09/01 00:00'],"['1971/09/01 00:00 [pubmed]', '1971/09/01 00:01 [medline]', '1971/09/01 00:00 [entrez]']",ppublish,Blood. 1971 Sep;38(3):299-301.,['0 (Suspensions)'],['S0006-4971(20)75115-3 [pii]'],,,,
5289258,NLM,MEDLINE,19720306,20171116,0029-2001 (Print) 0029-2001 (Linking),91,33,1971 Nov 30,[Treatment of acute leukemia in adults].,2410-8,"['Stavem, P', 'Gjemdal, T']","['Stavem P', 'Gjemdal T']",['nor'],['Journal Article'],Norway,Tidsskr Nor Laegeforen,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",0413423,IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Antineoplastic Agents/*therapeutic use', 'Asparaginase/therapeutic use', 'Cyclophosphamide/therapeutic use', 'Cytosine Nucleotides/therapeutic use', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Erythroblastic, Acute/drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Monocytic, Acute/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Leukocyte Count', 'Male', 'Mercaptopurine/therapeutic use', 'Methotrexate/therapeutic use', 'Middle Aged', 'Prednisone/therapeutic use', 'Vincristine/therapeutic use']",1971/11/30 00:00,1971/11/30 00:01,['1971/11/30 00:00'],"['1971/11/30 00:00 [pubmed]', '1971/11/30 00:01 [medline]', '1971/11/30 00:00 [entrez]']",ppublish,Tidsskr Nor Laegeforen. 1971 Nov 30;91(33):2410-8.,"['0 (Antineoplastic Agents)', '0 (Cytosine Nucleotides)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'E7WED276I5 (Mercaptopurine)', 'EC 3.5.1.1 (Asparaginase)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)']",,Behandling av akutte levkemier hos voksne.,,,
5289232,NLM,MEDLINE,19720306,20131121,0030-6002 (Print) 0030-6002 (Linking),112,40,1971 Oct 3,[Acute myelosis caused by benzol-induced panmyelopathy].,2415-6,"['Buday, M', 'Labant, M', 'Soos, G']","['Buday M', 'Labant M', 'Soos G']",['hun'],['Journal Article'],Hungary,Orv Hetil,Orvosi hetilap,0376412,IM,"['Adult', 'Air Pollution', 'Benzene/*poisoning', 'Bone Marrow/drug effects', 'Bone Marrow Diseases/*chemically induced/complications', 'Bone Marrow Examination', '*Chemical Industry', 'Environmental Exposure', 'Hematopoiesis/drug effects', 'Humans', 'Leukemia, Myeloid, Acute/*etiology', 'Maximum Allowable Concentration', '*Occupational Diseases']",1971/10/03 00:00,1971/10/03 00:01,['1971/10/03 00:00'],"['1971/10/03 00:00 [pubmed]', '1971/10/03 00:01 [medline]', '1971/10/03 00:00 [entrez]']",ppublish,Orv Hetil. 1971 Oct 3;112(40):2415-6.,['J64922108F (Benzene)'],,Benzolmergezes okozta panmyelopathiabol fejlodott acut myelosis.,,,
5289227,NLM,MEDLINE,19720306,20151119,0029-1420 (Print) 0029-1420 (Linking),86,40,1971 Oct 7,"[Ring sideroblastic anemia, an easily diagnosed but often overlooked form of refractive anemia].",1170-1,"['Gjemdal, T', 'Rootwelt, K']","['Gjemdal T', 'Rootwelt K']",['swe'],['Journal Article'],Sweden,Nord Med,Nordisk medicin,0401001,IM,"['Anabolic Agents/therapeutic use', 'Anemia, Sideroblastic', '*Erythrocytes, Abnormal', 'Folic Acid/therapeutic use', 'Humans', 'Iron/blood/metabolism', 'Leukemia, Myeloid, Acute/etiology', 'Liver Cirrhosis/etiology', 'Pyridoxine/therapeutic use', 'Terminology as Topic', 'Transferrin/analysis', 'Vitamin B 12/therapeutic use']",1971/10/07 00:00,1971/10/07 00:01,['1971/10/07 00:00'],"['1971/10/07 00:00 [pubmed]', '1971/10/07 00:01 [medline]', '1971/10/07 00:00 [entrez]']",ppublish,Nord Med. 1971 Oct 7;86(40):1170-1.,"['0 (Anabolic Agents)', '0 (Transferrin)', '935E97BOY8 (Folic Acid)', 'E1UOL152H7 (Iron)', 'KV2JZ1BI6Z (Pyridoxine)', 'P6YC3EG204 (Vitamin B 12)']",,"Ringsideroblastanemi, en lett diagnostiserbar, men ofte oversett form for refrakter anemi.",,,
5289218,NLM,MEDLINE,19720306,20140729,,118,6,1970 Jun,[Possible virus findings in the cells from an infant with acute myelomonocytic leukemia].,374-5,"['Lampert, F']",['Lampert F'],['ger'],['Journal Article'],Germany,Monatsschr Kinderheilkd,Monatsschrift fur Kinderheilkunde,0400751,IM,"['Female', 'Humans', 'Infant', 'Leukemia, Myeloid/*microbiology', 'Microscopy, Electron', 'Retroviridae/*isolation & purification']",1970/06/01 00:00,1970/06/01 00:01,['1970/06/01 00:00'],"['1970/06/01 00:00 [pubmed]', '1970/06/01 00:01 [medline]', '1970/06/01 00:00 [entrez]']",ppublish,Monatsschr Kinderheilkd. 1970 Jun;118(6):374-5.,,,Uber mogliche Virusbefunde in den Zellen der akuten Myelo-monocytaren Leukamie eines Sauglings.,,,
5289210,NLM,MEDLINE,19720306,20190708,0002-8177 (Print) 0002-8177 (Linking),83,4,1971 Oct,Childhood leukemias: osseous changes in jaws on panoramic dental radiographs.,844-7,"['Curtis, A B']",['Curtis AB'],['eng'],['Journal Article'],England,J Am Dent Assoc,Journal of the American Dental Association (1939),7503060,IM,"['Acute Disease', 'Bone Resorption/diagnostic imaging', 'Child', 'Gingival Hypertrophy', 'Humans', 'Jaw Diseases/*diagnostic imaging', 'Leukemia/*complications', 'Leukemia, Lymphoid/complications', 'Leukemia, Monocytic, Acute/complications', '*Oral Manifestations', 'Radiography', 'Recurrence']",1971/10/01 00:00,1971/10/01 00:01,['1971/10/01 00:00'],"['1971/10/01 00:00 [pubmed]', '1971/10/01 00:01 [medline]', '1971/10/01 00:00 [entrez]']",ppublish,J Am Dent Assoc. 1971 Oct;83(4):844-7. doi: 10.14219/jada.archive.1971.0405.,,"['S0002-8177(71)34021-8 [pii]', '10.14219/jada.archive.1971.0405 [doi]']",,,,
5289171,NLM,MEDLINE,19720306,20210313,0025-729X (Print) 0025-729X (Linking),2,22,1971 Nov 27,A case of multiple myeloma terminating with acute myelomonocytic leukaemia.,1129-30,"['Scamps, R A', ""O'Neill, B J"", 'Newland, R C']","['Scamps RA', ""O'Neill BJ"", 'Newland RC']",['eng'],['Journal Article'],Australia,Med J Aust,The Medical journal of Australia,0400714,IM,"['Aged', 'Humans', 'Leukemia, Monocytic, Acute/etiology', 'Leukemia, Myeloid, Acute/*etiology', 'Male', 'Melphalan/therapeutic use', 'Multiple Myeloma/*complications/drug therapy']",1971/11/27 00:00,1971/11/27 00:01,['1971/11/27 00:00'],"['1971/11/27 00:00 [pubmed]', '1971/11/27 00:01 [medline]', '1971/11/27 00:00 [entrez]']",ppublish,Med J Aust. 1971 Nov 27;2(22):1129-30. doi: 10.5694/j.1326-5377.1971.tb92744.x.,['Q41OR9510P (Melphalan)'],['10.5694/j.1326-5377.1971.tb92744.x [doi]'],,,,
5289113,NLM,MEDLINE,19720304,20190904,0006-5242 (Print) 0006-5242 (Linking),23,5,1971 Nov,[Comparative cytogenetical and quantitative cytochemical DNA studies in acute leukemias].,287-301,"['Muller, D', 'Orywall, D', 'Hubner, N']","['Muller D', 'Orywall D', 'Hubner N']",['ger'],['Journal Article'],Germany,Blut,Blut,0173401,IM,"['Chromosome Aberrations', 'Cytogenetics', 'DNA, Neoplasm/*analysis', 'Diploidy', 'Humans', 'Karyotyping', 'Leukemia/*genetics/pathology', 'Leukemia, Lymphoid/genetics', 'Leukemia, Monocytic, Acute/genetics', 'Leukemia, Myeloid, Acute/genetics', 'Leukemia, Plasma Cell/genetics', 'Methods', 'Photometry']",1971/11/01 00:00,1971/11/01 00:01,['1971/11/01 00:00'],"['1971/11/01 00:00 [pubmed]', '1971/11/01 00:01 [medline]', '1971/11/01 00:00 [entrez]']",ppublish,Blut. 1971 Nov;23(5):287-301. doi: 10.1007/BF01631756.,"['0 (DNA, Neoplasm)']",['10.1007/BF01631756 [doi]'],Vergleichende zytogenetische und quantitativ-zytochemische DNS-Untersuchungen bei akuten Leukamien.,,,
5289112,NLM,MEDLINE,19720303,20131121,0044-2542 (Print) 0044-2542 (Linking),25,9,1970 May 1,[Studies of the kinetics of normal and pathological granulopoiesis with radioactive diisopropylfluorophosphate].,394-8,"['Nowotny, P', 'Konrad, H', 'Preussner, S', 'Kiencke, H']","['Nowotny P', 'Konrad H', 'Preussner S', 'Kiencke H']",['ger'],['Journal Article'],Germany,Z Gesamte Inn Med,Zeitschrift fur die gesamte innere Medizin und ihre Grenzgebiete,21730470R,IM,"['Bone Marrow Diseases/*blood', '*Hematopoiesis', 'Humans', 'Isoflurophate', '*Kinetics', 'Leukemia, Myeloid/*blood', '*Leukocytes', 'Phosphorus Isotopes', 'Primary Myelofibrosis/blood', 'Spinal Cord Diseases/*blood']",1970/05/01 00:00,1970/05/01 00:01,['1970/05/01 00:00'],"['1970/05/01 00:00 [pubmed]', '1970/05/01 00:01 [medline]', '1970/05/01 00:00 [entrez]']",ppublish,Z Gesamte Inn Med. 1970 May 1;25(9):394-8.,"['0 (Phosphorus Isotopes)', '12UHW9R67N (Isoflurophate)']",,Untersuchungen zur Kinetik der normalen und pathologischen Granulopoese mit radioaktivem Diisopropylfluorophosphat.,,,
