PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,PMC,TT,AD
6980703,NLM,MEDLINE,19821029,20071114,0008-5472 (Print) 0008-5472 (Linking),42,10,1982 Oct,Several new monoclonal antibodies directed to human T-cell leukemia antigens.,4259-62,Murine monoclonal hybridoma antibodies were generated efficiently by using a human leukemia antigen preparation which was isolated from the cell membranes of MOLT-4 (a T-leukemia cell line) by means of a novel system. The generated monoclonal hybridoma antibodies were screened and characterized by a radioimmunoassay using a variety of cell specimens as targets. The results showed that the antigen(s) defined by several of these monoclonal hybridoma antibodies is associated with human T-cell leukemia and further suggest that this antigen(s) is a new type of human leukemia-associated cell surface antigen.,"['Negoro, S', 'Seon, B K']","['Negoro S', 'Seon BK']",['eng'],['CA19304/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (Membrane Glycoproteins)', '0 (thymus-leukemia antigens)']",IM,"['Antibodies, Monoclonal', 'Antigens, Neoplasm/*analysis', 'Cell Line', 'Humans', 'Hybridomas/immunology', 'Leukemia/immunology', 'Lymphoma/immunology', '*Membrane Glycoproteins', 'T-Lymphocytes/*immunology']",1982/10/01 00:00,1982/10/01 00:01,['1982/10/01 00:00'],"['1982/10/01 00:00 [pubmed]', '1982/10/01 00:01 [medline]', '1982/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Oct;42(10):4259-62.,,,,
6980701,NLM,MEDLINE,19821029,20071114,0008-5472 (Print) 0008-5472 (Linking),42,10,1982 Oct,Differential segregation patterns of human chromosomes in somatic cell hybrids constructed with human B-lymphocytes and human melanoma cells.,3971-3,"Hybrids constructed with the murine fibroblasts IT22 and either human lymphoid cells or human melanoma cells retain the human chromosomes 1, 14, and 21 and lose the human chromosome 2. The human lymphocyte-mouse fibroblast hybrids preferentially retain the human chromosome 11, while the human melanoma-murine fibroblast hybrids preferentially retain the human chromosome 8 and lose the human chromosome X. These data suggest that the type of human parental cell used to construct human-rodent hybrids can influence the segregation of human chromosomes.","['Glassy, M C', 'Ferrone, S']","['Glassy MC', 'Ferrone S']",['eng'],"['AI 19189/AI/NIAID NIH HHS/United States', 'CA 32609/CA/NCI NIH HHS/United States', 'CA 32619/CA/NCI NIH HHS/United States', 'etc.']","['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,,IM,"['B-Lymphocytes/*physiology', 'Burkitt Lymphoma/*genetics', 'Cell Line', 'Chromosomes, Human/*physiology', 'Humans', 'Hybridization, Genetic', 'Leukemia/*genetics', 'Melanoma/*genetics']",1982/10/01 00:00,1982/10/01 00:01,['1982/10/01 00:00'],"['1982/10/01 00:00 [pubmed]', '1982/10/01 00:01 [medline]', '1982/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Oct;42(10):3971-3.,,,,
6980700,NLM,MEDLINE,19821029,20190816,0165-4608 (Print) 0165-4608 (Linking),6,2,1982 Jun,Chromosomal aberrations in chronic B-cell lymphocytic leukemia.,171-81,,"['Gahrton, G', 'Robert, K H']","['Gahrton G', 'Robert KH']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,['0 (Mitogens)'],IM,"['B-Lymphocytes', '*Chromosome Aberrations', 'Chromosome Deletion', 'Female', 'Humans', 'Leukemia, Lymphoid/*genetics', 'Lymphoproliferative Disorders/genetics', 'Male', 'Mitogens/pharmacology', 'Mitotic Index', 'Myeloproliferative Disorders/genetics', 'Polyploidy', 'Prognosis']",1982/06/01 00:00,1982/06/01 00:01,['1982/06/01 00:00'],"['1982/06/01 00:00 [pubmed]', '1982/06/01 00:01 [medline]', '1982/06/01 00:00 [entrez]']","['0165-4608(82)90082-6 [pii]', '10.1016/0165-4608(82)90082-6 [doi]']",ppublish,Cancer Genet Cytogenet. 1982 Jun;6(2):171-81. doi: 10.1016/0165-4608(82)90082-6.,,,,
6980678,NLM,MEDLINE,19821021,20210216,0006-4971 (Print) 0006-4971 (Linking),60,3,1982 Sep,Peripheral blood myeloid progenitor cell cultures in patients with hypereosinophilic syndrome (CFU-eos in hypereosinophilic syndrome).,721-6,"Myeloid progenitor cell cultures (CFU-C) were established in a double-layer agar system with peripheral blood mononuclear cells from 13 patients with the hypereosinophilic syndrome (HES). Normal controls produced 49% +/- 3.5% eosinophil colonies; results in 7 of the 13 HES patients were within the normal range, while in 5, the proportion of eosinophil colonies was greater than 3 standard deviations above the normal mean, and in 1 patient there was a low proportion of eosinophil colonies. The production of an increased proportion of eosinophil colonies correlated with more aggressive disease. Experiments in which normal progenitor cells were cultured over feeder layers of mononuclear cells demonstrated that cells of 3 of the 5 patients had an excess production of eosinophil colony-stimulating activity. When HES patients progenitor cells were cultured over normal feeder layers, 2 of the 5 patient samples continued to produce an increased proportion of eosinophil colonies, suggesting that these patients have an excess proportion of progenitor cells committed to eosinophil differentiation. Thus, the results demonstrated heterogeneity of growth characteristics for the HES patients. None, however, had the colony growth characteristic of acute or chronic myelogenous leukemia.","['Bjornson, B H', 'Harley, J B', 'Andre-Schwartz, J', 'Fauci, A S', 'Desforges, J F']","['Bjornson BH', 'Harley JB', 'Andre-Schwartz J', 'Fauci AS', 'Desforges JF']",['eng'],"['HL07437-04/HL/NHLBI NIH HHS/United States', 'HL15157/HL/NHLBI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,['0 (Colony-Stimulating Factors)'],IM,"['Adolescent', 'Adult', 'Aged', 'Cell Differentiation', 'Cells, Cultured', '*Colony-Forming Units Assay', 'Colony-Stimulating Factors/biosynthesis', 'Eosinophilia/*blood', 'Eosinophils/ultrastructure', 'Female', 'Granulocytes/*cytology', 'Hematopoietic Stem Cells/*cytology', 'Humans', 'Macrophages/cytology', 'Male', 'Middle Aged', 'Neutrophils/cytology', 'Syndrome']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",['S0006-4971(20)79159-7 [pii]'],ppublish,Blood. 1982 Sep;60(3):721-6.,,,,
6980676,NLM,MEDLINE,19821021,20210216,0006-4971 (Print) 0006-4971 (Linking),60,3,1982 Sep,Monocyte-macrophage-derived acidic isoferritins: normal feedback regulators of granulocyte-macrophage progenitor cells in vitro.,595-607,"The recent identification of a leukemia-associated inhibitory activity (LIA) against granulocyte-macrophage progenitor cells (CFU-GM) as acidic isoferritins has now led to detection of this activity in normal bone marrow and blood cells. Detection of this activity depends on stimulation of CFU-GM by granulocyte-macrophage colony stimulatory factors (GM-CSF), and some conditioned media (CM) sources of GM-CSF (human placental and monocyte, mouse macrophage and WEHI-3) contained low levels of acidic isoferritin that lowered colony formation. Inactivation or removal of this activity increased the stimulatory capacity of the CM. CM depleted of acidic isoferritins or CM originally devoid of this activity (human GCT, 5637, Mo, lymphocytes: mouse L cells or pokeweed-mitogen-stimulated spleen cells) increased the sensitivity of the assay to detect acidic isoferritin inhibitory activity. This activity was selectively contained and released from normal monocytes and macrophages. Restriction of this activity to mononuclear phagocytes was substantiated, as only continuous cell lines of monocytes and macrophages or lines capable of induction to this lineage contained and released acidic isoferritin inhibitory activity. The cells of origin and target cells of action suggest that acidic isoferritin-inhibitory activity can be considered as a negative feedback regulator, at least in vitro.","['Broxmeyer, H E', 'Bognacki, J', 'Ralph, P', 'Dorner, M H', 'Lu, L', 'Castro-Malaspina, H']","['Broxmeyer HE', 'Bognacki J', 'Ralph P', 'Dorner MH', 'Lu L', 'Castro-Malaspina H']",['eng'],"['CA 23528/CA/NCI NIH HHS/United States', 'CA 24300/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Colony-Stimulating Factors)', '0 (Immune Sera)', '0 (acidic isoferritin)', '9007-73-2 (Ferritins)']",IM,"['Animals', 'Bone Marrow Cells', 'Colony-Forming Units Assay', 'Colony-Stimulating Factors/*antagonists & inhibitors/pharmacology', 'Depression, Chemical', 'Ferritins/immunology/*pharmacology', 'Granulocytes/*cytology', 'Hematopoiesis/drug effects', 'Hematopoietic Stem Cells/*cytology', 'Humans', 'Immune Sera/pharmacology', 'Macrophages/analysis/cytology', 'Mice', 'Mice, Inbred A', 'Mice, Inbred C57BL', 'Mice, Inbred CBA', 'Monocytes/analysis']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",['S0006-4971(20)79140-8 [pii]'],ppublish,Blood. 1982 Sep;60(3):595-607.,,,,
6980667,NLM,MEDLINE,19821021,20190704,0007-1048 (Print) 0007-1048 (Linking),51,4,1982 Aug,HLA DR antigens in childhood acute lymphoblastic leukaemia long survival.,659-61,,"['De Bruyere, M', 'Cornu, G', 'Ninane, J', 'Latinne, D', 'Lebacq, A M', 'Sokal, G']","['De Bruyere M', 'Cornu G', 'Ninane J', 'Latinne D', 'Lebacq AM', 'Sokal G']",['eng'],,['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (HLA-DR Antigens)', '0 (HLA-DR5 Antigen)', '0 (Histocompatibility Antigens Class II)']",IM,"['Child', 'HLA-DR Antigens', 'HLA-DR5 Antigen', 'Histocompatibility Antigens Class II/*analysis', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Prognosis']",1982/08/01 00:00,1982/08/01 00:01,['1982/08/01 00:00'],"['1982/08/01 00:00 [pubmed]', '1982/08/01 00:01 [medline]', '1982/08/01 00:00 [entrez]']",['10.1111/j.1365-2141.1982.tb02831.x [doi]'],ppublish,Br J Haematol. 1982 Aug;51(4):659-61. doi: 10.1111/j.1365-2141.1982.tb02831.x.,,,,
6980665,NLM,MEDLINE,19821021,20190704,0007-1048 (Print) 0007-1048 (Linking),51,4,1982 Aug,The effect of deoxycoformycin and deoxyadenosine on deoxyribonucleotide concentrations in leukaemic cells.,623-30,"Intracellular deoxynucleoside triphosphate pools of normal bone marrow, thymocytes and cells from patients with ALL and AML were measured after 2 h incubation with deoxycoformycin (dCF) 10(-5) M and deoxyadenosine (AdR) 10(-4) M in vitro and after another 30 min incubation in the absence of dCF and AdR ('chase' experiment). Incubation with dCF and AdR resulted in a significant rise of dATP concentrations in all groups (the highest rises occurring in the leukaemic groups particularly in AML and Thy-ALL). The concentrations of the other three deoxyribonucleoside triphosphates fell in all groups. The dATP level fell during the 'chase' period but in Thy-ALL and thymocytes this fall was insignificant and slower than in the other groups. This suggests that not only intracellular build-up of dATP but also the capacity of the cell to degrade dATP is important for in vivo cytotoxicity of dCF treatment. These results help to explain the differences in response to dCF of the different leukaemias.","['Sylwestrowicz, T', 'Piga, A', 'Murphy, P', 'Ganeshaguru, K', 'Russell, N H', 'Prentice, H G', 'Hoffbrand, A V']","['Sylwestrowicz T', 'Piga A', 'Murphy P', 'Ganeshaguru K', 'Russell NH', 'Prentice HG', 'Hoffbrand AV']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Deoxyadenine Nucleotides)', '0 (Deoxyadenosines)', '0 (Deoxyribonucleotides)', '0 (Ribonucleosides)', '11033-22-0 (Coformycin)', '395575MZO7 (Pentostatin)', ""K8KCC8SH6N (2'-deoxyadenosine triphosphate)""]",IM,"['Bone Marrow/drug effects/metabolism', 'Coformycin/analogs & derivatives/*pharmacology', 'Deoxyadenine Nucleotides/metabolism', 'Deoxyadenosines/*pharmacology', 'Deoxyribonucleotides/metabolism', 'Humans', 'Leukemia/*metabolism/pathology', 'Leukemia, Lymphoid/metabolism', 'Leukemia, Myeloid, Acute/metabolism', 'Pentostatin', 'Ribonucleosides/*pharmacology', 'T-Lymphocytes/metabolism']",1982/08/01 00:00,1982/08/01 00:01,['1982/08/01 00:00'],"['1982/08/01 00:00 [pubmed]', '1982/08/01 00:01 [medline]', '1982/08/01 00:00 [entrez]']",['10.1111/j.1365-2141.1982.tb02826.x [doi]'],ppublish,Br J Haematol. 1982 Aug;51(4):623-30. doi: 10.1111/j.1365-2141.1982.tb02826.x.,,,,
6980663,NLM,MEDLINE,19821021,20190704,0007-1048 (Print) 0007-1048 (Linking),51,4,1982 Aug,Cell lines derived from a human myelomonocytic leukaemia.,595-604,"Two cell lines have been isolated from separate samples, taken at the same time, from the peripheral blood of a case of myelomonocytic leukaemia. One of these (CESS-B) is a typical B cell line obtained after treatment of the peripheral blood white cells with Epstein-Barr virus (EBV). The second line (RC-2) is a monocyte-macrophage type, originally isolated by 5 months continuous culture in the presence of colony stimulating factor (CSF). Subsequently, after further culture, this line has become autonomous (RC-2A), no longer requiring CSF for maintenance of proliferation, whilst retaining the characteristics of the original line.","['Bradley, T R', 'Pilkington, G', 'Garson, M', 'Hodgson, G S', 'Kraft, N']","['Bradley TR', 'Pilkington G', 'Garson M', 'Hodgson GS', 'Kraft N']",['eng'],,['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (Colony-Stimulating Factors)', 'S88TT14065 (Oxygen)']",IM,"['Adult', 'Blood Cells/pathology', 'Bone Marrow/pathology', 'Cell Line', 'Clone Cells', 'Colony-Forming Units Assay', 'Colony-Stimulating Factors', 'Humans', 'Leukemia, Myeloid/*pathology', 'Male', 'Oxygen', 'Time Factors']",1982/08/01 00:00,1982/08/01 00:01,['1982/08/01 00:00'],"['1982/08/01 00:00 [pubmed]', '1982/08/01 00:01 [medline]', '1982/08/01 00:00 [entrez]']",['10.1111/j.1365-2141.1982.tb02823.x [doi]'],ppublish,Br J Haematol. 1982 Aug;51(4):595-604. doi: 10.1111/j.1365-2141.1982.tb02823.x.,,,,
6980662,NLM,MEDLINE,19821012,20190704,0007-1048 (Print) 0007-1048 (Linking),51,3,1982 Jul,Thymic irradiation in T-cell prolymphocytic leukaemia.,498-500,,"['Price, P J', 'Jackson, J M', 'Stokes, J B']","['Price PJ', 'Jackson JM', 'Stokes JB']",['eng'],,"['Case Reports', 'Letter']",England,Br J Haematol,British journal of haematology,0372544,,IM,"['Humans', 'Leukemia, Lymphoid/*radiotherapy', 'Male', 'Middle Aged', 'T-Lymphocytes', 'Thymus Gland/*radiation effects']",1982/07/01 00:00,1982/07/01 00:01,['1982/07/01 00:00'],"['1982/07/01 00:00 [pubmed]', '1982/07/01 00:01 [medline]', '1982/07/01 00:00 [entrez]']",['10.1111/j.1365-2141.1982.tb02809.x [doi]'],ppublish,Br J Haematol. 1982 Jul;51(3):498-500. doi: 10.1111/j.1365-2141.1982.tb02809.x.,,,,
6980605,NLM,MEDLINE,19820924,20190628,0003-2697 (Print) 0003-2697 (Linking),122,1,1982 May 1,A simple procedure for the synthesis of high specific activity tritiated (6S)-5-formyltetrahydrofolate.,70-8,,"['Moran, R G', 'Colman, P D']","['Moran RG', 'Colman PD']",['eng'],"['CA27146/CA/NCI NIH HHS/United States', 'CA27605/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Anal Biochem,Analytical biochemistry,0370535,"['10028-17-8 (Tritium)', 'Q573I9DVLP (Leucovorin)']",IM,"['Animals', 'Cells, Cultured', 'Chemical Phenomena', 'Chemistry', 'Isotope Labeling/methods', 'Leucovorin/*chemical synthesis/pharmacology', 'Leukemia L1210/metabolism', 'Mice', 'Tritium']",1982/05/01 00:00,1982/05/01 00:01,['1982/05/01 00:00'],"['1982/05/01 00:00 [pubmed]', '1982/05/01 00:01 [medline]', '1982/05/01 00:00 [entrez]']","['0003-2697(82)90252-4 [pii]', '10.1016/0003-2697(82)90252-4 [doi]']",ppublish,Anal Biochem. 1982 May 1;122(1):70-8. doi: 10.1016/0003-2697(82)90252-4.,,,,
6980585,NLM,MEDLINE,19820910,20190511,0002-9173 (Print) 0002-9173 (Linking),78,1,1982 Jul,E rosetting by leukemic monoblasts. A possible mechanism.,92-4,"Occasional cases of acute monoblastic leukemia have been reported to have unusual immunologic properties such as the capacity to form heat stable E-rosettes, a marker usually associated with T-cell acute leukemia. This case report describes such a patient and postulates a possible mechanism for the anomalous E rosetting.","['Savage, R A', 'Crabtree, R H', 'Dyment, P G']","['Savage RA', 'Crabtree RH', 'Dyment PG']",['eng'],['CA 26756/CA/NCI NIH HHS/United States'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Am J Clin Pathol,American journal of clinical pathology,0370470,"['0 (Receptors, Antigen, B-Cell)']",IM,"['Adolescent', 'False Positive Reactions', 'Humans', 'Leukemia/immunology', 'Leukemia, Myeloid/*immunology', 'Male', 'Monocytes/*immunology', 'Receptors, Antigen, B-Cell/immunology', 'Rosette Formation', 'T-Lymphocytes']",1982/07/01 00:00,1982/07/01 00:01,['1982/07/01 00:00'],"['1982/07/01 00:00 [pubmed]', '1982/07/01 00:01 [medline]', '1982/07/01 00:00 [entrez]']",['10.1093/ajcp/78.1.92 [doi]'],ppublish,Am J Clin Pathol. 1982 Jul;78(1):92-4. doi: 10.1093/ajcp/78.1.92.,,,,
6980571,NLM,MEDLINE,19820917,20190622,0065-2598 (Print) 0065-2598 (Linking),146,,1982,Mechanism of T cell-mediated cytolysis: an investigation of cells and stages affected by cytolysis-inhibiting monoclonal antibodies.,469-85,,"['Hayot, B', 'Pierres, M', 'Golstein, P']","['Hayot B', 'Pierres M', 'Golstein P']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)', '11028-71-0 (Concanavalin A)']",IM,"['Animals', '*Antibodies, Monoclonal', 'Antigens, Surface/*analysis', 'Concanavalin A/pharmacology', '*Cytotoxicity, Immunologic/drug effects', 'Leukemia L1210/immunology', 'Leukemia, Experimental/immunology', 'Mice', 'Molecular Weight', 'T-Lymphocytes/drug effects/*immunology']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1007/978-1-4684-8959-0_28 [doi]'],ppublish,Adv Exp Med Biol. 1982;146:469-85. doi: 10.1007/978-1-4684-8959-0_28.,,,,
6980570,NLM,MEDLINE,19820917,20190622,0065-2598 (Print) 0065-2598 (Linking),146,,1982,The molecular basis for cytolytic T lymphocyte function: analysis with blocking monoclonal antibodies.,447-68,"During the past decade the mechanism of CTL-mediated killing has been resolved into 3 steps, and its cation requirements, and general nature have been well defined. However, biochemical understanding of the CTL-target interaction has made little progress. Recently, we have developed a monoclonal antibody (MAb) which blocks killing by binding to a previously undescribed molecule on the CTL membrane, a molecule which we therefore have termed lymphocyte function-associated antigen one (LFA-1). LFA-1 and Lyt-2,3 are the only presently identified sites for such blocking; antibodies to over a dozen other molecules expressed on the CTL do not block killing. Present evidence suggests that LFA-1 is crucial in the adhesive interaction of T cells with other cells (e.g., targets, macrophages, perhaps B cells) The continuing search for blocking MAbs provides a systematic way to link specific molecules with CTL function.","['Martz, E', 'Davignon, D', 'Kurzinger, K', 'Springer, T A']","['Martz E', 'Davignon D', 'Kurzinger K', 'Springer TA']",['eng'],"['CA-14723/CA/NCI NIH HHS/United States', 'CA-31798/CA/NCI NIH HHS/United States', 'CA-31799/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,"['0 (Antibodies, Monoclonal)', '0 (Antigen-Antibody Complex)', '0 (Antigens, Surface)', '0 (Isoantibodies)', '0 (Lyt antibodies)']",IM,"['Animals', '*Antibodies, Monoclonal', 'Antigen-Antibody Complex', 'Antigens, Surface/*immunology', 'Cell Membrane/immunology', '*Cytotoxicity, Immunologic', 'Humans', 'Isoantibodies/immunology', 'Leukemia, Experimental/immunology', 'Mice', 'Rats', 'T-Lymphocytes/*immunology']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1007/978-1-4684-8959-0_27 [doi]'],ppublish,Adv Exp Med Biol. 1982;146:447-68. doi: 10.1007/978-1-4684-8959-0_27.,,,,
6980565,NLM,MEDLINE,19820917,20190622,0065-2598 (Print) 0065-2598 (Linking),146,,1982,Morphological aspects of lymphocyte mediated cytotoxicity.,3-21,,"['Sanderson, C J']",['Sanderson CJ'],['eng'],,['Journal Article'],United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,['9007-36-7 (Complement System Proteins)'],IM,"['Animals', '*Antibody-Dependent Cell Cytotoxicity', 'Complement System Proteins/immunology', '*Cytotoxicity, Immunologic', 'Killer Cells, Natural/immunology', 'Leukemia, Experimental/immunology', 'Mice', 'Microvilli/ultrastructure', 'Motion Pictures', 'T-Lymphocytes/*immunology']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1007/978-1-4684-8959-0_1 [doi]'],ppublish,Adv Exp Med Biol. 1982;146:3-21. doi: 10.1007/978-1-4684-8959-0_1.,,,,
6980467,NLM,MEDLINE,19820910,20190618,0036-8075 (Print) 0036-8075 (Linking),217,4561,1982 Aug 20,Transformation of human leukocytes by cocultivation with an adult T cell leukemia virus producer cell line.,737-9,"The transmission of adult T cell leukemia virus, a human retrovirus, into fresh leukocytes from normal humans was examined. One of three virus-carrying cell lines, tested after being subjected to lethal x-irradiation, consistently transformed leukocytes from adult peripheral blood and umbilical cord blood. All the transformed cell lines expressed adult T cell leukemia virus-associated antigen, but transformed lines originating from adult and umbilical cord blood exhibited T cell and non-T, non-B cell surface natures, respectively. Efforts to transform human leukocytes with cell-free virus were unsuccessful.","['Yamamoto, N', 'Okada, M', 'Koyanagi, Y', 'Kannagi, M', 'Hinuma, Y']","['Yamamoto N', 'Okada M', 'Koyanagi Y', 'Kannagi M', 'Hinuma Y']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Science,"Science (New York, N.Y.)",0404511,"['0 (Antigens, Surface)', '0 (Antigens, Viral)']",IM,"['Antigens, Surface/immunology', 'Antigens, Viral/immunology', 'B-Lymphocytes/immunology', 'Cell Line', 'Fetal Blood', 'Genes, Viral', 'Humans', 'Karyotyping', 'Leukocytes/*physiology', 'Retroviridae/*genetics', 'T-Lymphocytes/immunology', '*Transformation, Genetic']",1982/08/20 00:00,1982/08/20 00:01,['1982/08/20 00:00'],"['1982/08/20 00:00 [pubmed]', '1982/08/20 00:01 [medline]', '1982/08/20 00:00 [entrez]']",['10.1126/science.6980467 [doi]'],ppublish,Science. 1982 Aug 20;217(4561):737-9. doi: 10.1126/science.6980467.,,,,
6980414,NLM,MEDLINE,19820917,20190501,0027-8424 (Print) 0027-8424 (Linking),79,11,1982 Jun,Long-term culture of B lymphocytes and their precursors from murine bone marrow.,3608-12,"Growth of mature B cells and their precursors from mouse bone marrow was maintained in culture for greater than 1 year. Feeder layers of adherent bone marrow cells, established in medium containing fetal calf serum and no exogenous steroids, were used to provide an in vitro environment that supported continuous growth and development of these cells. In such bone marrow cultures, the number of cells bearing membrane immunoglobulin increased gradually for 4 wk and then decreased. Between 10 and 14 wk, some of the cultures gave rise to continuously dividing B-cell populations that contained pre-B cells (producing mu heavy chains only and sensitive to transformation by Abelson murine leukemia virus) as well as mature B cells (synthesizing both light and heavy chains of IgM). Immunoglobulin molecules synthesized by cells in these populations were heterogeneous in two-dimensional gel analysis. This suggests that mature B cells arose via maturation of pre-B cells in the cultures that involved rearrangement and expression of different variable region gene segments.","['Whitlock, C A', 'Witte, O N']","['Whitlock CA', 'Witte ON']",['eng'],['CA27057/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,['0 (Immunoglobulins)'],IM,"['Animals', 'Antibody-Producing Cells/cytology', 'B-Lymphocytes/*cytology', '*Bone Marrow Cells', 'Cell Differentiation', 'Cells, Cultured', 'Immunoglobulins/biosynthesis', 'Mice', 'Mice, Inbred BALB C', 'Time Factors']",1982/06/01 00:00,1982/06/01 00:01,['1982/06/01 00:00'],"['1982/06/01 00:00 [pubmed]', '1982/06/01 00:01 [medline]', '1982/06/01 00:00 [entrez]']",['10.1073/pnas.79.11.3608 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1982 Jun;79(11):3608-12. doi: 10.1073/pnas.79.11.3608.,,PMC346472,,
6980353,NLM,MEDLINE,19820924,20071115,0025-7680 (Print) 0025-7680 (Linking),41 Suppl,,1981,Surface markers on leukemic blasts and their prognostic significance.,109-17,,"['Sen, L', 'Estevez, M E', 'Finiasz, M R', 'Giuntoli, J', 'Pavlovsky, S', 'Sackmann-Muriel, F', 'Divito, J', 'Dibar, E']","['Sen L', 'Estevez ME', 'Finiasz MR', 'Giuntoli J', 'Pavlovsky S', 'Sackmann-Muriel F', 'Divito J', 'Dibar E']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Argentina,Medicina (B Aires),Medicina,0204271,"['0 (Complement C3)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Child', 'Complement C3/*immunology', 'Erythrocytes/*immunology', 'Female', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Male', 'Prognosis', 'Receptors, Antigen, B-Cell/*immunology', 'Rosette Formation', 'Sex Factors', 'T-Lymphocytes/immunology']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Medicina (B Aires). 1981;41 Suppl:109-17.,,,,
