PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,PMC,AB
4529878,NLM,MEDLINE,19750218,20210210,0021-9258 (Print) 0021-9258 (Linking),249,24,1974 Dec 25,Terminal deoxynucleotidyltransferase in chronic myelogenous leukemia.,8051-3,"['Sarin, P S', 'Gallo, R C']","['Sarin PS', 'Gallo RC']",['eng'],['Journal Article'],,United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Deoxyribonucleotides)', '0 (Oligonucleotides)', '0 (Polynucleotides)', '10028-17-8 (Tritium)', '42Z2K6ZL8P (Manganese)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'I38ZP9992A (Magnesium)', 'O3C74ACM9V (Ethylmaleimide)', 'VJT6J7R4TR (Rifampin)']",IM,"['Acute Disease', 'Adult', 'Animals', 'Cattle', 'Chromatography, Ion Exchange', 'DNA Nucleotidyltransferases/*blood/isolation & purification', 'Deoxyribonucleotides', 'Ethylmaleimide/pharmacology', 'Humans', 'Hydrogen-Ion Concentration', 'Kinetics', 'Leukemia, Myeloid/*enzymology', 'Leukocytes/*enzymology', 'Magnesium/pharmacology', 'Male', 'Manganese/pharmacology', 'Molecular Weight', 'Oligonucleotides', 'Polynucleotides', 'Rifampin/pharmacology', 'Structure-Activity Relationship', 'Thymus Gland/enzymology', 'Tritium', 'Ultracentrifugation']",1974/12/25 00:00,1974/12/25 00:01,['1974/12/25 00:00'],"['1974/12/25 00:00 [pubmed]', '1974/12/25 00:01 [medline]', '1974/12/25 00:00 [entrez]']",ppublish,J Biol Chem. 1974 Dec 25;249(24):8051-3.,['S0021-9258(19)42070-X [pii]'],,
4529837,NLM,MEDLINE,19750122,20131121,0019-6061 (Print) 0019-6061 (Linking),11,6,1974 Jun,Clinical presentation of leukemias in children in south Kerala.,431-8,"['Das, K V', 'Aboobacker, C M', 'Mathew, O']","['Das KV', 'Aboobacker CM', 'Mathew O']",['eng'],['Journal Article'],,India,Indian Pediatr,Indian pediatrics,2985062R,"['0 (Antineoplastic Agents)', 'VB0R961HZT (Prednisone)']",IM,"['Acute Disease', 'Antineoplastic Agents/therapeutic use', 'Child', 'Child, Preschool', 'Female', 'Humans', 'India', 'Infant', 'Leukemia/diagnosis/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Male', 'Prednisone/therapeutic use']",1974/06/01 00:00,1974/06/01 00:01,['1974/06/01 00:00'],"['1974/06/01 00:00 [pubmed]', '1974/06/01 00:01 [medline]', '1974/06/01 00:00 [entrez]']",ppublish,Indian Pediatr. 1974 Jun;11(6):431-8.,,,
4529826,NLM,MEDLINE,19750201,20141003,0016-450X (Print) 0016-450X (Linking),65,4,1974 Aug,Rapid and selective induction of erythroleukemia in female donryu rats by 1-ethyl-1-nitrosourea.,377,"['Ogiu, T', 'Nakadate, M', 'Odashima, S']","['Ogiu T', 'Nakadate M', 'Odashima S']",['eng'],['Journal Article'],,Japan,Gan,Gan,0151745,"['0 (Carcinogens)', '0 (Nitrosourea Compounds)', '059QF0KO0R (Water)']",IM,"['Administration, Oral', 'Animals', 'Carcinogens', 'Female', 'Hepatomegaly/chemically induced', 'Leukemia, Erythroblastic, Acute/*chemically induced', 'Leukemia, Myeloid, Acute/chemically induced', '*Nitrosourea Compounds', 'Rats', 'Splenomegaly/chemically induced', 'Water']",1974/08/01 00:00,1974/08/01 00:01,['1974/08/01 00:00'],"['1974/08/01 00:00 [pubmed]', '1974/08/01 00:01 [medline]', '1974/08/01 00:00 [entrez]']",ppublish,Gan. 1974 Aug;65(4):377.,,,
4529738,NLM,MEDLINE,19750122,20190707,0014-4827 (Print) 0014-4827 (Linking),88,2,1974 Oct,Accelerated active transport of alpha aminoisobutyric acid by human leukemic leukocytes in an amino acid deficient environment.,442-4,"['Frengley, P A', 'Peck, W A', 'Lichtman, M A']","['Frengley PA', 'Peck WA', 'Lichtman MA']",['eng'],['Journal Article'],,United States,Exp Cell Res,Experimental cell research,0373226,"['0 (Amino Acids)', '0 (Aminoisobutyric Acids)', '0 (Carbon Radioisotopes)', '0 (Culture Media)', '1CC1JFE158 (Dactinomycin)', '57-50-1 (Sucrose)', '98600C0908 (Cycloheximide)', 'OF5P57N2ZX (Alanine)']",IM,"['Alanine/metabolism', 'Amino Acids/*metabolism', 'Aminoisobutyric Acids/*metabolism', 'Biological Transport, Active', 'Carbon Radioisotopes', 'Cells, Cultured', 'Culture Media', 'Cycloheximide/pharmacology', 'Dactinomycin/pharmacology', 'Humans', 'Leukemia, Lymphoid/*blood', 'Leukemia, Myeloid, Acute/*blood', 'Leukocytes/*metabolism', 'Lymphocytes/metabolism', 'Sucrose/metabolism', 'Time Factors']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",ppublish,Exp Cell Res. 1974 Oct;88(2):442-4. doi: 10.1016/0014-4827(74)90271-7.,['10.1016/0014-4827(74)90271-7 [doi]'],,
4529737,NLM,MEDLINE,19750122,20190707,0014-4827 (Print) 0014-4827 (Linking),88,2,1974 Oct,"Globin synthesis in Friend-erythroleukemia mouse cells in protein- and lipid-free medium. Effects of dimethyl-sulfoxide, iron and erythropoietin.",257-62,"['Kluge, N', 'Gaedicke, G', 'Steinheider, G', 'Dube, S', 'Ostertag, W']","['Kluge N', 'Gaedicke G', 'Steinheider G', 'Dube S', 'Ostertag W']",['eng'],['Journal Article'],,United States,Exp Cell Res,Experimental cell research,0373226,"['0 (Carbon Radioisotopes)', '0 (Culture Media)', '0 (Lipids)', '0 (Proteins)', '10028-17-8 (Tritium)', '11096-26-7 (Erythropoietin)', '9004-22-2 (Globins)', 'E1UOL152H7 (Iron)', 'GMW67QNF9C (Leucine)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Carbon Radioisotopes', 'Cell Differentiation', 'Cell Division', 'Cell Line', 'Clone Cells', 'Culture Media', 'Dimethyl Sulfoxide/*pharmacology', 'Erythropoietin/*pharmacology', 'Globins/*biosynthesis', 'Iron/*pharmacology', 'Leucine/metabolism', 'Leukemia, Erythroblastic, Acute/*metabolism', 'Lipids', 'Mice', 'Proteins', 'Stimulation, Chemical', 'Tritium']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",ppublish,Exp Cell Res. 1974 Oct;88(2):257-62. doi: 10.1016/0014-4827(74)90239-0.,['10.1016/0014-4827(74)90239-0 [doi]'],,
4529736,NLM,MEDLINE,19750122,20190707,0014-4827 (Print) 0014-4827 (Linking),88,2,1974 Oct,Behavior in two-phase aqueous polymer systems of L5178Y mouse leukemic cells. II. The lag and exponential phases of growth.,225-30,"['Gersten, D M', 'Bosmann, H B']","['Gersten DM', 'Bosmann HB']",['eng'],['Journal Article'],,United States,Exp Cell Res,Experimental cell research,0373226,"['0 (Culture Media)', '0 (Dextrans)', '3WJQ0SDW1A (Polyethylene Glycols)']",IM,"['Animals', 'Cell Division', 'Cell Line', 'Cell Membrane/physiology', 'Cell Separation/*methods', '*Cells, Cultured', 'Culture Media', 'Dextrans', 'Electrophoresis', 'Electrophysiology', '*Leukemia, Lymphoid', 'Mice', 'Polyethylene Glycols', 'Surface Properties']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",ppublish,Exp Cell Res. 1974 Oct;88(2):225-30. doi: 10.1016/0014-4827(74)90235-3.,['10.1016/0014-4827(74)90235-3 [doi]'],,
4529735,NLM,MEDLINE,19750127,20190908,0014-2964 (Print) 0014-2964 (Linking),9,9,1973 Sep,Mode of action of chemotherapy in vivo on human acute leukemia--II. Vincristine.,613-20,"['Stryckmans, P A', 'Lurie, P M', 'Manaster, J', 'Vamecq, G']","['Stryckmans PA', 'Lurie PM', 'Manaster J', 'Vamecq G']",['eng'],['Journal Article'],,England,Eur J Cancer,European journal of cancer,0074126,"['10028-17-8 (Tritium)', '5J49Q6B70F (Vincristine)', '9007-49-2 (DNA)', '9PHQ9Y1OLM (Prednisolone)']",IM,"['Adult', 'Autoradiography', 'Blood Transfusion, Autologous', 'Bone Marrow/analysis', 'DNA/blood', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Leukocytes/drug effects', 'Leukocytosis/drug therapy', 'Male', 'Mitosis/drug effects', 'Prednisolone/pharmacology', 'Tritium', 'Vincristine/pharmacology/*therapeutic use']",1973/09/01 00:00,1973/09/01 00:01,['1973/09/01 00:00'],"['1973/09/01 00:00 [pubmed]', '1973/09/01 00:01 [medline]', '1973/09/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1973 Sep;9(9):613-20. doi: 10.1016/0014-2964(73)90002-9.,['10.1016/0014-2964(73)90002-9 [doi]'],,
4529734,NLM,MEDLINE,19750129,20190908,0014-2964 (Print) 0014-2964 (Linking),9,7,1973 Jul,The karyotype evolution in chronic granulocytic leukaemia--II. The chromosome and karyotype pattern of advanced evolution.,509-13,"['Pedersen, B']",['Pedersen B'],['eng'],['Journal Article'],,England,Eur J Cancer,European journal of cancer,0074126,,IM,"['Cells, Cultured', '*Chromosome Aberrations', 'Chromosomes, Human, 16-18', 'Chromosomes, Human, 19-20', 'Chromosomes, Human, 21-22 and Y', 'Chromosomes, Human, 6-12 and X', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Leukocytes/cytology']",1973/07/01 00:00,1973/07/01 00:01,['1973/07/01 00:00'],"['1973/07/01 00:00 [pubmed]', '1973/07/01 00:01 [medline]', '1973/07/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1973 Jul;9(7):509-13. doi: 10.1016/0014-2964(73)90136-9.,['10.1016/0014-2964(73)90136-9 [doi]'],,
4529733,NLM,MEDLINE,19750129,20190908,0014-2964 (Print) 0014-2964 (Linking),9,7,1973 Jul,The karyotype evolution in chronic granulocytic leukaemia--I. The chromosomes gained and lost during initiation of the evolution.,503-7,"['Pedersen, B']",['Pedersen B'],['eng'],['Journal Article'],,England,Eur J Cancer,European journal of cancer,0074126,,IM,"['Bone Marrow/ultrastructure', 'Bone Marrow Cells', 'Cells, Cultured', '*Chromosome Aberrations', 'Chromosomes, Human, 16-18', 'Chromosomes, Human, 19-20', 'Chromosomes, Human, 21-22 and Y', 'Chromosomes, Human, 6-12 and X', 'Chronic Disease', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Leukocytes/ultrastructure', 'Male', 'Mitosis']",1973/07/01 00:00,1973/07/01 00:01,['1973/07/01 00:00'],"['1973/07/01 00:00 [pubmed]', '1973/07/01 00:01 [medline]', '1973/07/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1973 Jul;9(7):503-7. doi: 10.1016/0014-2964(73)90135-7.,['10.1016/0014-2964(73)90135-7 [doi]'],,
4529732,NLM,MEDLINE,19750128,20190908,0014-2964 (Print) 0014-2964 (Linking),9,10,1973 Oct,Cell killing effectiveness of an alkylating steroid (Leo 1031).,773-4,"['Evenaar, A H', 'Wins, E H', 'van Putten, L M']","['Evenaar AH', 'Wins EH', 'van Putten LM']",['eng'],['Journal Article'],,England,Eur J Cancer,European journal of cancer,0074126,"['0 (Ketosteroids)', '0 (Nitrogen Mustard Compounds)', '0 (Pregnadienetriols)']",IM,"['Animals', 'Cell Division/drug effects', 'Injections, Subcutaneous', 'Ketosteroids/therapeutic use/toxicity', 'Leukemia L1210/drug therapy', 'Mice', 'Mice, Inbred Strains', 'Neoplasms, Experimental', 'Nitrogen Mustard Compounds/therapeutic use/*toxicity', 'Osteosarcoma/drug therapy', 'Pregnadienetriols/therapeutic use/*toxicity']",1973/10/01 00:00,1973/10/01 00:01,['1973/10/01 00:00'],"['1973/10/01 00:00 [pubmed]', '1973/10/01 00:01 [medline]', '1973/10/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1973 Oct;9(10):773-4. doi: 10.1016/0014-2964(73)90071-6.,['10.1016/0014-2964(73)90071-6 [doi]'],,
4529730,NLM,MEDLINE,19750128,20190908,0014-2964 (Print) 0014-2964 (Linking),9,10,1973 Oct,Combination chemotherapy: the interaction of methotrexate and 5-fluorouracil.,733-9,"['Tattersall, M H', 'Jackson, R C', 'Connors, T A', 'Harrap, K R']","['Tattersall MH', 'Jackson RC', 'Connors TA', 'Harrap KR']",['eng'],['Journal Article'],,England,Eur J Cancer,European journal of cancer,0074126,"['0 (Purines)', '0 (Uracil Nucleotides)', '10028-17-8 (Tritium)', 'U3P01618RT (Fluorouracil)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Cell Line', 'Cells, Cultured', 'Drug Antagonism', 'Drug Interactions', 'Drug Therapy, Combination', 'Fluorouracil/pharmacology/*therapeutic use', 'Leukemia L1210/drug therapy', 'Leukemia, Lymphoid', 'Methotrexate/pharmacology/*therapeutic use', 'Mice', 'Purines/metabolism', 'Spectrophotometry', 'Tritium', 'Uracil Nucleotides/metabolism']",1973/10/01 00:00,1973/10/01 00:01,['1973/10/01 00:00'],"['1973/10/01 00:00 [pubmed]', '1973/10/01 00:01 [medline]', '1973/10/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1973 Oct;9(10):733-9. doi: 10.1016/0014-2964(73)90064-9.,['10.1016/0014-2964(73)90064-9 [doi]'],,
4529729,NLM,MEDLINE,19750128,20190908,0014-2964 (Print) 0014-2964 (Linking),9,10,1973 Oct,Comparison of the effects of methotrexate and pyrimethamine on L5178Y lymphoblasts in cell culture.,709-15,"['Goldie, J H', 'Furness, M E', 'Price, L A']","['Goldie JH', 'Furness ME', 'Price LA']",['eng'],"['Comparative Study', 'Journal Article']",,England,Eur J Cancer,European journal of cancer,0074126,"['0 (Folic Acid Antagonists)', '10028-17-8 (Tritium)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'K72T3FS567 (Adenosine)', 'VC2W18DGKR (Thymidine)', 'YL5FZ2Y5U1 (Methotrexate)', 'Z3614QOX8W (Pyrimethamine)']",IM,"['Adenosine/pharmacology', 'Animals', 'Cell Division/drug effects', 'Cell Line', 'Cell Survival', 'Cells, Cultured', 'Centrifugation', 'Dose-Response Relationship, Drug', 'Folic Acid Antagonists', 'Leukemia, Lymphoid', 'Lymphocytes/*drug effects/enzymology', 'Methotrexate/*pharmacology', 'Mice', 'Pyrimethamine/*pharmacology', 'Tetrahydrofolate Dehydrogenase/analysis', 'Thymidine/pharmacology', 'Tritium']",1973/10/01 00:00,1973/10/01 00:01,['1973/10/01 00:00'],"['1973/10/01 00:00 [pubmed]', '1973/10/01 00:01 [medline]', '1973/10/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1973 Oct;9(10):709-15. doi: 10.1016/0014-2964(73)90060-1.,['10.1016/0014-2964(73)90060-1 [doi]'],,
4529672,NLM,MEDLINE,19750125,20190816,0009-9163 (Print) 0009-9163 (Linking),6,1,1974,"Klinefelter's syndrome, LSD usage and acute lymphoblastic leukemia.",20-2,"['Sohn, K Y', 'Boggs, D R']","['Sohn KY', 'Boggs DR']",['eng'],['Journal Article'],,Denmark,Clin Genet,Clinical genetics,0253664,['8NA5SWF92O (Lysergic Acid Diethylamide)'],IM,"['Adult', '*Chromosome Aberrations', '*Chromosomes, Human, 6-12 and X', 'Humans', 'Karyotyping', 'Klinefelter Syndrome/*complications/genetics', 'Leukemia, Lymphoid/*etiology/genetics', '*Lysergic Acid Diethylamide', 'Male', '*Substance-Related Disorders/complications']",1974/01/01 00:00,1974/01/01 00:01,['1974/01/01 00:00'],"['1974/01/01 00:00 [pubmed]', '1974/01/01 00:01 [medline]', '1974/01/01 00:00 [entrez]']",ppublish,Clin Genet. 1974;6(1):20-2. doi: 10.1111/j.1399-0004.1974.tb00625.x.,['10.1111/j.1399-0004.1974.tb00625.x [doi]'],,
4529666,NLM,MEDLINE,19750122,20190720,0302-766X (Print) 0302-766X (Linking),151,3,1974,Intercellular junctions of sinus lining cells in the human spleen.,337-42,"['Heusermann, U', 'Stutte, H J']","['Heusermann U', 'Stutte HJ']",['eng'],['Journal Article'],,Germany,Cell Tissue Res,Cell and tissue research,0417625,,IM,"['Anemia, Hemolytic/pathology', 'Desmosomes/ultrastructure', 'Erythrocytes/ultrastructure', 'Granulocytes/ultrastructure', 'Humans', '*Intercellular Junctions', 'Leukemia, Myeloid/pathology', 'Microscopy, Electron', 'Purpura, Thrombocytopenic/pathology', 'Spleen/*blood supply/pathology/ultrastructure', 'Veins/*ultrastructure', 'Wounds and Injuries/pathology']",1974/01/01 00:00,1974/01/01 00:01,['1974/01/01 00:00'],"['1974/01/01 00:00 [pubmed]', '1974/01/01 00:01 [medline]', '1974/01/01 00:00 [entrez]']",ppublish,Cell Tissue Res. 1974;151(3):337-42. doi: 10.1007/BF00224544.,['10.1007/BF00224544 [doi]'],,
4529665,NLM,MEDLINE,19750213,20131121,0008-5472 (Print) 0008-5472 (Linking),34,12,1974 Dec,Mechanism of cyclophosphamide transport by L5178Y lymphoblasts in vitro.,3274-82,"['Goldenberg, G J', 'Land, H B', 'Cormack, D V']","['Goldenberg GJ', 'Land HB', 'Cormack DV']",['eng'],['Journal Article'],,United States,Cancer Res,Cancer research,2984705R,"['0 (Carbon Radioisotopes)', '0 (Carrier Proteins)', '0 (Cyanides)', '0 (Oligomycins)', '8N3DW7272P (Cyclophosphamide)', '9NEZ333N27 (Sodium)']",IM,"['Animals', 'Biological Transport', 'Carbon Radioisotopes', 'Carrier Proteins', 'Cell Line', 'Cells, Cultured', 'Cyanides/pharmacology', 'Cyclophosphamide/analogs & derivatives/*metabolism/pharmacology', 'Diffusion', 'Kinetics', 'Leukemia, Experimental/metabolism', 'Leukemia, Lymphoid/*metabolism', 'Liver/embryology', 'Lymphocytes/*metabolism', 'Mice', 'Oligomycins/pharmacology', 'Sodium/pharmacology', 'Temperature']",1974/12/01 00:00,1974/12/01 00:01,['1974/12/01 00:00'],"['1974/12/01 00:00 [pubmed]', '1974/12/01 00:01 [medline]', '1974/12/01 00:00 [entrez]']",ppublish,Cancer Res. 1974 Dec;34(12):3274-82.,,,
4529663,NLM,MEDLINE,19750127,20160630,0069-0112 (Print) 0069-0112 (Linking),58,5 Pt 1,1974 Sep-Oct,Daunorubicin (NSC-83142) in advanced childhood leukemia.,661-5,"['Jaffe, N', 'Traggis, D G', 'Das, L']","['Jaffe N', 'Traggis DG', 'Das L']",['eng'],['Journal Article'],,United States,Cancer Chemother Rep,Cancer chemotherapy reports,7607105,"['VB0R961HZT (Prednisone)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Adolescent', 'Bone Marrow/pathology', 'Child', 'Child, Preschool', 'Daunorubicin/administration & dosage/adverse effects/*therapeutic use', 'Dose-Response Relationship, Drug', 'Drug Evaluation', 'Humans', 'Leukemia, Lymphoid/*drug therapy/pathology', 'Leukemia, Myeloid, Acute/*drug therapy/pathology', 'Prednisone/therapeutic use', 'Remission, Spontaneous', 'Time Factors']",1974/09/01 00:00,1974/09/01 00:01,['1974/09/01 00:00'],"['1974/09/01 00:00 [pubmed]', '1974/09/01 00:01 [medline]', '1974/09/01 00:00 [entrez]']",ppublish,Cancer Chemother Rep. 1974 Sep-Oct;58(5 Pt 1):661-5.,,,
4529662,NLM,MEDLINE,19750125,20190620,0008-543X (Print) 0008-543X (Linking),34,5,1974 Nov,Blastic crisis in chronic granulocytic leukemia: experience in 39 patients.,1806-12,"['Vallejos, C S', 'Trujillo, J M', 'Cork, A', 'Bodey, G P', 'McCredie, K B', 'Freireich, E J']","['Vallejos CS', 'Trujillo JM', 'Cork A', 'Bodey GP', 'McCredie KB', 'Freireich EJ']",['eng'],['Journal Article'],,United States,Cancer,Cancer,0374236,['0 (Antineoplastic Agents)'],IM,"['Acute Disease', 'Adult', 'Aged', 'Anemia/etiology', 'Antineoplastic Agents/*therapeutic use', 'Chromosome Aberrations', 'Chromosomes, Human, 21-22 and Y', 'Drug Therapy, Combination', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*drug therapy/genetics', 'Male', 'Middle Aged', 'Neutropenia/etiology', 'Prognosis', 'Remission, Spontaneous', 'Thrombocytopenia/etiology']",1974/11/01 00:00,1974/11/01 00:01,['1974/11/01 00:00'],"['1974/11/01 00:00 [pubmed]', '1974/11/01 00:01 [medline]', '1974/11/01 00:00 [entrez]']",ppublish,Cancer. 1974 Nov;34(5):1806-12. doi: 10.1002/1097-0142(197411)34:5<1806::aid-cncr2820340531>3.0.co;2-1.,['10.1002/1097-0142(197411)34:5<1806::aid-cncr2820340531>3.0.co;2-1 [doi]'],,
4529661,NLM,MEDLINE,19750125,20190620,0008-543X (Print) 0008-543X (Linking),34,5,1974 Nov,Distribution pattern of several enzymes of platelets under normal and leukemic conditions.,1756-60,"['Ray, B', 'Basu, B', 'Bhattacharya, D K', 'Chatterjee, G C']","['Ray B', 'Basu B', 'Bhattacharya DK', 'Chatterjee GC']",['eng'],['Journal Article'],,United States,Cancer,Cancer,0374236,"['0 (Blood Proteins)', 'EC 1.- (Oxidoreductases)', 'EC 1.3.99.1 (Succinate Dehydrogenase)', 'EC 3.- (Hydrolases)', 'EC 3.1.3.1 (Alkaline Phosphatase)', 'EC 3.1.3.2 (Acid Phosphatase)', 'EC 3.2.1.31 (Glucuronidase)']",IM,"['Acid Phosphatase/metabolism', 'Adult', 'Alkaline Phosphatase/metabolism', 'Blood Platelets/*enzymology', 'Blood Proteins/analysis', 'Cell Fractionation', 'Female', 'Glucuronidase/metabolism', 'Humans', 'Hydrolases/*metabolism', 'Leukemia, Myeloid/*enzymology', 'Lysosomes/enzymology', 'Male', 'Middle Aged', 'Oxidoreductases/*metabolism', 'Succinate Dehydrogenase/metabolism']",1974/11/01 00:00,1974/11/01 00:01,['1974/11/01 00:00'],"['1974/11/01 00:00 [pubmed]', '1974/11/01 00:01 [medline]', '1974/11/01 00:00 [entrez]']",ppublish,Cancer. 1974 Nov;34(5):1756-60. doi: 10.1002/1097-0142(197411)34:5<1756::aid-cncr2820340525>3.0.co;2-p.,['10.1002/1097-0142(197411)34:5<1756::aid-cncr2820340525>3.0.co;2-p [doi]'],,
4529647,NLM,MEDLINE,19750128,20190501,0007-1447 (Print) 0007-1447 (Linking),4,5941,1974 Nov 16,Safe method of collecting leukaemia cells from patients with acute leukaemia for use as immunotherapy.,375-9,"['Powles, R L', 'Lister, T A', 'Oliver, R T', 'Russell, J', 'Smith, C', 'Kay, H E', 'McElwain, T J', 'Fairley, G H']","['Powles RL', 'Lister TA', 'Oliver RT', 'Russell J', 'Smith C', 'Kay HE', 'McElwain TJ', 'Fairley GH']",['eng'],['Journal Article'],,England,Br Med J,British medical journal,0372673,"['0 (Hemoglobins)', '9005-49-6 (Heparin)']",IM,"['Adolescent', 'Adult', 'Aged', 'Blood Cell Count', 'Blood Platelets', 'Cell Separation/instrumentation/*methods', 'Centrifugation/instrumentation', 'Child', 'Female', 'Hemoglobins/analysis', 'Heparin/administration & dosage', 'Humans', 'Immunotherapy/*methods', 'Leukemia/*blood/therapy', 'Leukemia, Lymphoid/blood', 'Leukemia, Myeloid, Acute/blood', 'Leukocyte Count', 'Leukocytes', 'Male', 'Middle Aged', 'Remission, Spontaneous']",1974/11/16 00:00,1974/11/16 00:01,['1974/11/16 00:00'],"['1974/11/16 00:00 [pubmed]', '1974/11/16 00:01 [medline]', '1974/11/16 00:00 [entrez]']",ppublish,Br Med J. 1974 Nov 16;4(5941):375-9. doi: 10.1136/bmj.4.5941.375.,['10.1136/bmj.4.5941.375 [doi]'],PMC1612427,"Leukaemia cells were collected from the blood of 72 untreated patients using a continuous-flow blood cell separator. The yield of cells was proportional to the number circulating in the patient, and up to 1 x 10(12) could be obtained in three hours. Complications of the procedure were mild, consisting of chills and shivering in 18% of patients. Leucopheresis at the time of diagnosis is an essential part of setting up a specific immunotherapy programme for patients with acute myelogenous leukaemia, and the lack of harmful side effects makes the collection of these cells ethically justified. The need for a centralized service to provide cells for this form of therapy is emphasized."
4529646,NLM,MEDLINE,19750122,20190501,0007-1447 (Print) 0007-1447 (Linking),4,5939,1974 Nov 2,Blood and neoplastic diseases. Acute lymphoblastic leukaemia.,282-4,"['Willoughby, M L']",['Willoughby ML'],['eng'],['Journal Article'],,England,Br Med J,British medical journal,0372673,"['5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', '9PHQ9Y1OLM (Prednisolone)', 'E7WED276I5 (Mercaptopurine)', 'EC 3.5.1.1 (Asparaginase)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Arachnoid', 'Asparaginase/therapeutic use', 'Brain Neoplasms/radiotherapy', 'Cerebrospinal Fluid/radiation effects', 'Child', 'Cyclophosphamide/therapeutic use', 'Daunorubicin/therapeutic use', 'Drug Therapy, Combination', 'Follow-Up Studies', 'Humans', 'Immunotherapy', 'Leukemia, Lymphoid/*drug therapy/radiotherapy/therapy', 'Mercaptopurine/therapeutic use', 'Methotrexate/therapeutic use', 'Neoplasm Metastasis', 'Prednisolone/therapeutic use', 'Prednisone/therapeutic use', 'Remission, Spontaneous', 'Vincristine/therapeutic use']",1974/11/02 00:00,1974/11/02 00:01,['1974/11/02 00:00'],"['1974/11/02 00:00 [pubmed]', '1974/11/02 00:01 [medline]', '1974/11/02 00:00 [entrez]']",ppublish,Br Med J. 1974 Nov 2;4(5939):282-4. doi: 10.1136/bmj.4.5939.282.,['10.1136/bmj.4.5939.282 [doi]'],PMC1612223,
4529645,NLM,MEDLINE,19750122,20190501,0007-1447 (Print) 0007-1447 (Linking),3,5932,1974 Sep 14,Letter: Myeloblastic transformation.,688,"['Colvin, B T', 'Turnbull, A', 'Jenkins, G']","['Colvin BT', 'Turnbull A', 'Jenkins G']",['eng'],['Journal Article'],,England,Br Med J,British medical journal,0372673,"['5J49Q6B70F (Vincristine)', '80168379AG (Doxorubicin)', 'E7WED276I5 (Mercaptopurine)', 'EC 3.5.1.1 (Asparaginase)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Asparaginase/therapeutic use', 'Daunorubicin/therapeutic use', 'Doxorubicin/therapeutic use', 'Humans', 'Leukemia, Lymphoid/*pathology', 'Leukemia, Myeloid/drug therapy/*pathology', 'Mercaptopurine/therapeutic use', 'Vincristine/therapeutic use']",1974/09/14 00:00,1974/09/14 00:01,['1974/09/14 00:00'],"['1974/09/14 00:00 [pubmed]', '1974/09/14 00:01 [medline]', '1974/09/14 00:00 [entrez]']",ppublish,Br Med J. 1974 Sep 14;3(5932):688. doi: 10.1136/bmj.3.5932.688-a.,['10.1136/bmj.3.5932.688-a [doi]'],PMC1611669,
