PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,LID,AD,PMC,SI,EIN,RF,PS,FPS,CIN
3547673,NLM,MEDLINE,19870423,20171223,0037-1963 (Print) 0037-1963 (Linking),24,1,1987 Jan,Bone marrow transplantation for acute leukemia: recent advances and comparison with alternative therapies.,55-67,"Bone marrow transplantation is an effective therapy in patients with acute leukemia. High-dose chemotherapy with or without total body irradiation and allogeneic bone marrow transplantation is a more effective antileukemic treatment than chemotherapy. This approach is limited, however, by a relatively high risk of transplant-related complications, particularly graft rejection, GVHD, and interstitial pneumonitis. Autologous bone marrow transplantation avoids the problems of graft rejection and GVHD. It does, however, introduce a risk of reinfusing residual leukemia cells with the autologous bone marrow and absence of a possible graft-versus-leukemia effect associated with allogeneic transplants. Bone marrow transplantation is useful in AML. Syngeneic or allogeneic HLA-identical bone marrow transplantation is the preferred treatment for patients under age 45 to 50 who fail chemotherapy. Transplantation is also likely to be superior or comparable to chemotherapy for patients less than 20 to 30 years of age in first remission. Transplantation in older individuals in first remission is controversial; results are comparable to those achieved with postremission chemotherapy. Transplants from donors other than HLA-identical siblings must be considered investigational but may be a reasonable alternative in young individuals in first relapse or second remission. Autotransplants are difficult to evaluate critically but may be considered as investigational therapy for individuals in second or later remission for whom a suitable allogeneic donor is unavailable. Autotransplants in first remission should be restricted to controlled clinical trials because it is otherwise impossible to determine their efficacy. It is uncertain whether ex vivo treatment of the bone marrow to remove leukemia cells is necessary in the context of autotransplantation; again, controlled trials are required. Bone marrow transplantation from an HLA-identical sibling is effective in individuals with ALL who relapse despite chemotherapy. Patients undergoing transplantation while in second or later remission or in relapse have a survival rate superior to those treated with chemotherapy. One important and unresolved issue is whether patients with high-risk ALL should receive bone marrow transplants or intensive postremission chemotherapy while in first remission; controlled clinical trials are needed. Bone marrow transplants from donors other than HLA-identical siblings and autologous bone marrow transplants are investigational approaches that should be considered in selected young patients who fail despite chemotherapy.(ABSTRACT TRUNCATED AT 400 WORDS)","['Champlin, R', 'Gale, R P']","['Champlin R', 'Gale RP']",['eng'],"['CA 23175/CA/NCI NIH HHS/United States', 'RR0065/RR/NCRR NIH HHS/United States']","['Clinical Trial', 'Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Semin Hematol,Seminars in hematology,0404514,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/therapeutic use', '*Bone Marrow Transplantation', 'Clinical Trials as Topic', 'Combined Modality Therapy', 'Graft vs Host Disease/etiology', 'Humans', 'Leukemia, Lymphoid/drug therapy/*therapy', 'Leukemia, Myeloid, Acute/drug therapy/*therapy', 'Remission Induction', 'Transplantation, Autologous']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",['0037-1963(87)90031-X [pii]'],ppublish,Semin Hematol. 1987 Jan;24(1):55-67.,,,,,,,92,,,
3547672,NLM,MEDLINE,19870423,20171223,0037-1963 (Print) 0037-1963 (Linking),24,1,1987 Jan,Therapy of acute myelogenous leukemia.,40-54,"Over the past 10 years, there have been substantial advances in the treatment of AML. Intensive induction chemotherapy using 7-day courses of cytarabine and daunorubicin or amsacrine produce remission in 60% to 85% of patients. Median remission duration is 9 to 16 months. In some series, 20% to 40% of patients are in continuous remission for 2 years or more; many of these patients remain in remission for 5 years or longer and some may be cured. Bone marrow transplantation has evolved as a useful therapeutic modality capable of achieving long-term survival in some circumstances in which chemotherapy is relatively ineffective. Its precise role in the initial therapy of AML remains to be defined, but it is likely to be beneficial in selected patients. These data indicate substantial recent progress in the treatment of this disease, which was almost uniformly fatal 30 years ago. The fact that most patients relapse within 1 to 2 years reflects a lack of progress in developing effective postremission therapy. Maintenance chemotherapy, immunotherapy, and CNS prophylaxis have little role in AML. It is unclear whether consolidation or intensification extend remissions or increase the proportion of long-term survivors; controlled randomized trials should answer this question within the next few years. Future progress in the treatment of AML awaits the development of more sensitive methods for detecting residual leukemia, more effective use of current therapeutic modalities and the introduction of new effective drugs. Most data suggest that early intensive treatment is of key importance for achieving cures. However, we cannot presently distinguish between patients cured by initial treatment and those who required further chemotherapy.","['Gale, R P', 'Foon, K A']","['Gale RP', 'Foon KA']",['eng'],,"['Journal Article', 'Review']",United States,Semin Hematol,Seminars in hematology,0404514,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/*therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/classification/*drug therapy']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",['0037-1963(87)90030-8 [pii]'],ppublish,Semin Hematol. 1987 Jan;24(1):40-54.,,,,,,,154,,,
3547671,NLM,MEDLINE,19870423,20171223,0037-1963 (Print) 0037-1963 (Linking),24,1,1987 Jan,"Acute lymphoblastic leukemia in adults: recent progress, future directions.",27-39,"The data reviewed indicate substantial recent progress in the treatment of ALL in adults. Most patients, greater than 70% to 80%, will achieve a remission following induction chemotherapy with vincristine, prednisone, and an anthracycline. Additional drugs do not convincingly increase the remission rate; their effect on remission duration is unknown. Although continuation therapy has not been critically evaluated in randomized trials, the longest remissions have been reported in individuals receiving consolidation/intensification, particularly in the immediate postremission period. Presently, a disease-free survival is 35% to 45% at greater than 5 years when this type of consolidation/intensification therapy is used. The precise value of conventional maintenance chemotherapy in adult ALL is unknown. CNS prophylaxis is necessary; the standard of treatment remains cranial radiation and intrathecal methotrexate. Alternative approaches are currently being studied such as systemic treatment with high doses of methotrexate or cytarabine. Recently, prognostic factors have been better defined. In recent studies with intensive treatment, time to response, age, WBC, immunologic subtype and cytogenetic data can be used to divide patients into a low-risk group with a projected disease-free survival of 60% or more and a high-risk group with a disease-free survival of 20% to 25%. The definition of risk groups in adult ALL may be useful in determining future further optimal therapeutic approaches.","['Hoelzer, D', 'Gale, R P']","['Hoelzer D', 'Gale RP']",['eng'],['CA23175/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Semin Hematol,Seminars in hematology,0404514,,IM,"['Adolescent', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Central Nervous System Diseases/drug therapy/prevention & control', 'Diagnosis, Differential', 'Drug Resistance', 'Humans', 'Immunotherapy', '*Leukemia, Lymphoid/diagnosis/drug therapy/immunology', 'Lymphocytes/classification', 'Prognosis', 'Recurrence', 'Remission Induction']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",['0037-1963(87)90029-1 [pii]'],ppublish,Semin Hematol. 1987 Jan;24(1):27-39.,,,,,,,139,,,
3547670,NLM,MEDLINE,19870423,20131121,0037-1963 (Print) 0037-1963 (Linking),24,1,1987 Jan,Chemical leukemogenesis: benzene as a model.,2-11,,"['Cronkite, E P']",['Cronkite EP'],['eng'],,"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", 'Review']",United States,Semin Hematol,Seminars in hematology,0404514,['J64922108F (Benzene)'],IM,"['Animals', 'Benzene/*adverse effects/metabolism', 'Disease Models, Animal', 'Hematopoiesis/drug effects', 'Humans', 'Leukemia/*chemically induced', 'Leukemia, Experimental/*chemically induced', 'Maximum Allowable Concentration', 'Mice', 'Occupational Diseases/chemically induced']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",,ppublish,Semin Hematol. 1987 Jan;24(1):2-11.,,,,,,,72,,,
3547669,NLM,MEDLINE,19870423,20171223,0037-1963 (Print) 0037-1963 (Linking),24,1,1987 Jan,"Controversies in the management of childhood acute lymphoblastic leukemia: treatment intensification, CNS leukemia, and prognostic factors.",12-26,,"['Rivera, G K', 'Mauer, A M']","['Rivera GK', 'Mauer AM']",['eng'],['CA-20180/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Semin Hematol,Seminars in hematology,0404514,,IM,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Central Nervous System Diseases/diagnosis/prevention & control', 'Child', 'Humans', 'Leukemia, Lymphoid/*drug therapy/genetics/immunology', 'Lymphocytes/classification/immunology', 'Phenotype', 'Ploidies', 'Prognosis']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",['0037-1963(87)90028-X [pii]'],ppublish,Semin Hematol. 1987 Jan;24(1):12-26.,,,,,,,92,,,
3547485,NLM,MEDLINE,19870423,20161123,0033-8354 (Print) 0033-8354 (Linking),27,6,1986,"[X-ray morphological findings in 34 patients with acute myeloid leukemia, cytoreductive therapy and bone marrow transplantation in relation to the clinical data and irradiation regimen].",711-8,,"['Braunschweig, R', 'Kubel, M', 'Standke, E', 'Raue, I']","['Braunschweig R', 'Kubel M', 'Standke E', 'Raue I']",['ger'],,['Journal Article'],Germany,Radiol Diagn (Berl),Radiologia diagnostica,0401253,,IM,"['Adolescent', 'Adult', '*Bone Marrow Transplantation', 'Combined Modality Therapy', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/diagnostic imaging/*therapy', 'Male', 'Radiography', '*Whole-Body Irradiation']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",,ppublish,Radiol Diagn (Berl). 1986;27(6):711-8.,"Rontgenmorphologische Befunde bei 34 Patienten mit akuter myeloischer Leukamie, zytoreduktiver Therapie und Knochenmarktransplantation in Korrelation zu klinischen Daten und Bestrahlungsregime.",,,,,,,,,
3547467,NLM,MEDLINE,19870330,20161123,0033-8389 (Print) 0033-8389 (Linking),25,1,1987 Jan,Malignancy complicating inflammatory bowel disease.,157-74,There is now general agreement that both ulcerative colitis and Crohn's disease predispose patients to the development of malignancy. Many controversies still remain concerning the incidence of this complication as well as the diagnostic approach to be taken with these patients. This article reviews the topic and examines the contribution the radiologist can make in evaluating the patient with chronic inflammatory bowel disease.,"['Feczko, P J']",['Feczko PJ'],['eng'],,"['Journal Article', 'Review']",United States,Radiol Clin North Am,Radiologic clinics of North America,0123703,,IM,"['Acquired Immunodeficiency Syndrome/complications', 'Age Factors', 'Colitis, Ulcerative/*complications/diagnostic imaging', 'Colonic Neoplasms/diagnostic imaging/*etiology/pathology', 'Crohn Disease/*complications/diagnostic imaging', 'Humans', 'Intestinal Mucosa/pathology', 'Intestinal Neoplasms/complications', 'Leukemia/complications', 'Lymphoma, Non-Hodgkin/complications', 'Neoplasms/complications', 'Precancerous Conditions/complications', 'Radiography', 'Risk', 'Time Factors']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",,ppublish,Radiol Clin North Am. 1987 Jan;25(1):157-74.,,,,,,,86,,,
3547311,NLM,MEDLINE,19870330,20041117,0091-2921 (Print) 0091-2921 (Linking),9,,1987,The leukemias of childhood.,75-132,,"['Favara, B E', 'Mierau, G W', 'McCarthy, R C', 'Waldstein, G', 'McGavran, L']","['Favara BE', 'Mierau GW', 'McCarthy RC', 'Waldstein G', 'McGavran L']",['eng'],,"['Journal Article', 'Review']",Switzerland,Perspect Pediatr Pathol,Perspectives in pediatric pathology,0366560,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)']",IM,"['Antibodies, Monoclonal/immunology', 'Antigens, Neoplasm/analysis', 'Child', 'Chromosome Aberrations', 'Histocytochemistry', 'Humans', 'Leukemia/classification/immunology/*pathology', 'Microscopy, Electron', 'Phenotype']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",,ppublish,Perspect Pediatr Pathol. 1987;9:75-132.,,,,,,,147,,,
3547276,NLM,MEDLINE,19870330,20190828,0301-0449 (Print) 0301-0449 (Linking),17,1,1987,Pneumatosis intestinalis in children after allogeneic bone marrow transplantation.,18-22,"Four children, ages 3 to 8 years, developed pneumatosis intestinalis (PI) after allogeneic bone marrow transplantation (BMT) for acute leukemia or severe aplastic anemia. PI was detected at a median of 48 days (range, 10-63 days) after BMT and was associated with abdominal symptoms and clinical signs. All patients had severe systemic and/or high-grade cutaneous acute graft-versus-host disease (AGVHD) at some time after BMT and were receiving corticosteroids at the time of development of PI; however, PI was associated with concomitant severe AGVHD in only one patient. One patient with PI had Hafnia alvei bacteremia and another patient had gastroenteritis due to rotavirus and adenovirus. All patients were treated with supportive care and systemic broad-spectrum antibiotics, and PI resolved 2-16 days after onset. Two patients died with BMT-associated complications unrelated to PI. Multiple factors contribute to the development of PI after BMT, and the prognosis for recovery from PI is good with medical management alone. Overall survival in these patients is dependent on the frequency and severity of other conditions, such as AGVHD and opportunistic infections, after BMT.","['Yeager, A M', 'Kanof, M E', 'Kramer, S S', 'Jones, B', 'Saral, R', 'Lake, A M', 'Santos, G W']","['Yeager AM', 'Kanof ME', 'Kramer SS', 'Jones B', 'Saral R', 'Lake AM', 'Santos GW']",['eng'],"['CA15396/CA/NCI NIH HHS/United States', 'HD00535/HD/NICHD NIH HHS/United States']","['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Pediatr Radiol,Pediatric radiology,0365332,,IM,"['Acute Disease', 'Anemia, Aplastic/surgery', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia/surgery', 'Leukemia, Lymphoid/surgery', 'Male', 'Pneumatosis Cystoides Intestinalis/*etiology', '*Postoperative Complications']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",['10.1007/BF02386589 [doi]'],ppublish,Pediatr Radiol. 1987;17(1):18-22. doi: 10.1007/BF02386589.,,,,,,,,,,
3547238,NLM,MEDLINE,19870413,20091021,0030-6002 (Print) 0030-6002 (Linking),127,51,1986 Dec 21,[Cases of adult acute non-lymphoblastic leukemia in patients disease-free for more than 2 years].,3103-4,,"['Kelemen, E', 'Janossa, M', 'Varadi, G']","['Kelemen E', 'Janossa M', 'Varadi G']",['hun'],,"['English Abstract', 'Journal Article']",Hungary,Orv Hetil,Orvosi hetilap,0376412,,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Age Factors', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Blastomeres/drug effects', 'Bone Marrow Transplantation', 'Dose-Response Relationship, Drug', 'Female', 'Humans', 'Leukemia/mortality/*therapy', 'Male', 'Middle Aged', 'Remission Induction']",1986/12/21 00:00,1986/12/21 00:01,['1986/12/21 00:00'],"['1986/12/21 00:00 [pubmed]', '1986/12/21 00:01 [medline]', '1986/12/21 00:00 [entrez]']",,ppublish,Orv Hetil. 1986 Dec 21;127(51):3103-4.,"Ket evnel regebben betegsegmentes, felnottkori akut nem-lymphoblastos leukaemia-esetek klinikankon.",,,,,,,,,
3547087,NLM,MEDLINE,19870415,20210526,0270-7306 (Print) 0270-7306 (Linking),7,2,1987 Feb,Presence of a c-myc transcript initiated in intron 1 in Friend erythroleukemia cells and in other murine cell types with no evidence of c-myc gene rearrangement.,940-5,"In Friend murine erythroleukemia cells, although no detectable c-myc gene rearrangement was found, we observed, in addition to the normal 2.3-kilobase c-myc transcript, the presence of a 2.3-kilobase c-myc mRNA initiated in intron 1 at a promoter site called P3. The intron 1-initiated transcript has a longer half-life than the normal c-myc mRNA. This c-myc transcript initiated in intron 1 was also found in other murine cell types where no rearrangement of the c-myc locus has been reported.","['Ray, D', 'Meneceur, P', 'Tavitian, A', 'Robert-Lezenes, J']","['Ray D', 'Meneceur P', 'Tavitian A', 'Robert-Lezenes J']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (DNA, Neoplasm)', '0 (Proto-Oncogene Proteins)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)']",IM,"['Animals', 'DNA, Neoplasm/genetics', 'Friend murine leukemia virus', 'Gene Amplification', 'Introns', 'Leukemia, Erythroblastic, Acute/*genetics', 'Mice', 'Proto-Oncogene Proteins/*genetics', '*Proto-Oncogenes', 'RNA, Messenger/genetics', 'RNA, Neoplasm/genetics', 'Recombination, Genetic', 'Transcription, Genetic']",1987/02/01 00:00,1987/02/01 00:01,['1987/02/01 00:00'],"['1987/02/01 00:00 [pubmed]', '1987/02/01 00:01 [medline]', '1987/02/01 00:00 [entrez]']",['10.1128/mcb.7.2.940-945.1987 [doi]'],ppublish,Mol Cell Biol. 1987 Feb;7(2):940-5. doi: 10.1128/mcb.7.2.940-945.1987.,,,,PMC365155,,,,,,
3547084,NLM,MEDLINE,19870415,20210526,0270-7306 (Print) 0270-7306 (Linking),7,2,1987 Feb,Deletion of 5'-coding sequences of the cellular p53 gene in mouse erythroleukemia: a novel mechanism of oncogene regulation.,847-53,"The p53 gene is rearranged in an erythroleukemic cell line (DP15-2) transformed by Friend retrovirus. Here, we characterize the mutation and identify a deletion of approximately equal to 3.0 kilobases that removes exon 2 coding sequences. The gene is expressed in DP15-2 cells and results in synthesis of a 44,000-dalton protein that is missing the N-terminal amino acid residues of p53. The truncated protein is unusually stable and accumulates to high levels intracellularly. Moreover, it appears to have undergone a change in conformation as revealed by epitope mapping studies. This study represents the first description of an altered p53 gene product arising by mutation during neoplastic progression and identifies a region in the p53 protein molecule that plays a role in determining p53 stability in vivo.","['Rovinski, B', 'Munroe, D', 'Peacock, J', 'Mowat, M', 'Bernstein, A', 'Benchimol, S']","['Rovinski B', 'Munroe D', 'Peacock J', 'Mowat M', 'Bernstein A', 'Benchimol S']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (Antibodies, Monoclonal)', '0 (DNA, Neoplasm)', '0 (Neoplasm Proteins)', '0 (Phosphoproteins)', '0 (Tumor Suppressor Protein p53)']",IM,"['Animals', 'Antibodies, Monoclonal', 'Base Sequence', 'Chromosome Deletion', 'DNA, Neoplasm/genetics', 'Friend murine leukemia virus', 'Gene Expression Regulation', 'Leukemia, Erythroblastic, Acute/*genetics', 'Mice', 'Molecular Weight', 'Neoplasm Proteins/*genetics/immunology', 'Phosphoproteins/*genetics/immunology', '*Proto-Oncogenes', 'Tumor Suppressor Protein p53']",1987/02/01 00:00,1987/02/01 00:01,['1987/02/01 00:00'],"['1987/02/01 00:00 [pubmed]', '1987/02/01 00:01 [medline]', '1987/02/01 00:00 [entrez]']",['10.1128/mcb.7.2.847-853.1987 [doi]'],ppublish,Mol Cell Biol. 1987 Feb;7(2):847-53. doi: 10.1128/mcb.7.2.847-853.1987.,,,,PMC365143,,,,,,
3547082,NLM,MEDLINE,19870415,20211203,0270-7306 (Print) 0270-7306 (Linking),7,2,1987 Feb,Dissociation of c-fos induction from macrophage differentiation in human myeloid leukemic cell lines.,769-74,"Treatment of five human myeloid leukemic cell lines (KG1, ML3, HL-60, U-937, and HEL) with TPA was followed by macrophage differentiation and was accompanied by an early and transient increase in the mRNA level of c-fos proto-oncogene. The induction of c-fos was also observed in human cell lines K562 and K-Gla that did not respond to TPA with terminal macrophage differentiation. The treatment of HL-60 and U-937 cell lines with 1-oleoyl-2-acetylglycerol, a synthetic analog of diacylglycerol that, like TPA, stimulates protein kinase C activity, was followed by early and transient induction of c-fos mRNA in the absence of terminal macrophage differentiation. Finally, treatment of HL-60 with TPA in the presence of retinal, an inhibitor of protein kinase C, drastically reduced the induction of c-fos mRNA but had no effect on the terminal macrophage differentiation that is induced in this cell line by TPA. These results indicate that the induction of c-fos and terminal macrophage differentiation in response to TPA treatment can be dissociated in the in vitro models provided by human myeloid leukemic cell lines. Moreover, these findings suggest that the induction of c-fos is not only insufficient but may also be unnecessary for the differentiation along the monocyte-macrophage pathway.","['Calabretta, B']",['Calabretta B'],['eng'],['CA25898/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (Diglycerides)', '0 (MAS1 protein, human)', '0 (Proto-Oncogene Mas)', '0 (Proto-Oncogene Proteins)', 'EC 2.7.11.13 (Protein Kinase C)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'RR725D715M (Retinaldehyde)']",IM,"['Cell Differentiation/drug effects', 'Cell Line', 'Diglycerides/pharmacology', 'Gene Expression Regulation/drug effects', 'Humans', 'Leukemia, Myeloid, Acute/pathology', 'Macrophages/cytology/*physiology', 'Protein Kinase C/physiology', 'Proto-Oncogene Mas', 'Proto-Oncogene Proteins/*genetics', '*Proto-Oncogenes', 'Retinaldehyde/pharmacology', 'Tetradecanoylphorbol Acetate/pharmacology']",1987/02/01 00:00,1987/02/01 00:01,['1987/02/01 00:00'],"['1987/02/01 00:00 [pubmed]', '1987/02/01 00:01 [medline]', '1987/02/01 00:00 [entrez]']",['10.1128/mcb.7.2.769-774.1987 [doi]'],ppublish,Mol Cell Biol. 1987 Feb;7(2):769-74. doi: 10.1128/mcb.7.2.769-774.1987.,,,,PMC365133,,,,,,
3546975,NLM,MEDLINE,19870408,20151119,0025-7753 (Print) 0025-7753 (Linking),88,2,1987 Jan 17,[Acute megakaryoblastic leukemia (M7). Immunocytochemical and ultrastructural study of 2 cases].,68-70,,"['Soler, J', 'Brunet, S', 'Bordes, R', 'Rubiol, E', 'Mitjavila, M', 'Pujol-Moix, N']","['Soler J', 'Brunet S', 'Bordes R', 'Rubiol E', 'Mitjavila M', 'Pujol-Moix N']",['spa'],,"['Case Reports', 'English Abstract', 'Journal Article']",Spain,Med Clin (Barc),Medicina clinica,0376377,"['0 (Antibodies, Monoclonal)']",IM,"['Acute Disease', 'Adult', 'Antibodies, Monoclonal', 'Female', 'Fluorescent Antibody Technique', 'Humans', 'Leukemia, Megakaryoblastic, Acute/*diagnosis', 'Male', 'Middle Aged']",1987/01/17 00:00,1987/01/17 00:01,['1987/01/17 00:00'],"['1987/01/17 00:00 [pubmed]', '1987/01/17 00:01 [medline]', '1987/01/17 00:00 [entrez]']",,ppublish,Med Clin (Barc). 1987 Jan 17;88(2):68-70.,Leucemia megacarioblastica aguda (M7). Estudios inmunocitoquimicos y ultraestructurales de dos casos.,,,,,,,,,
3546963,NLM,MEDLINE,19870330,20211203,0277-6766 (Print) 0277-6766 (Linking),6,1,1987 Winter,Recent advances in the understanding of the biochemistry and clinical pharmacology of interleukin-2.,45-57,"This review covers significant developments in the understanding of the biochemistry and clinical pharmacology of Interleukin-2 (IL-2) that were achieved from 1984 through September 1986. These include developments in the molecular biology of IL-2 and its receptors. Human IL-2 was cloned and sequenced by Taniguchi et al. in 1983. The gene for human IL-2 is located on the long arm of chromosome 4. The secondary structure of the gene is predominantly alpha helix. The mature gene product is a 133 amino acid glycoprotein with a molecular weight of 15,420 Daltons. The IL-2 receptor was revealed to be a glycoprotein of 272 amino acids. The mature receptor has a molecular weight of 55,000 Daltons. A more precise understanding of the mechanism of action IL-2, in particular its role in the induction of the IL-2 receptor, and aspects of the control of IL-2 production was also achieved. Metabolic and morphologic studies have revealed that activation of the T-cell antigen receptor renders the cells responsive to IL-2, but does not move them through the cell cycle. Rather, it appears that IL-2 stimulates G1 progression to S phase ie. blastic transformation. During this progression the cellular proto-oncogene c-myb is induced transiently to 6 to 7 times basal levels. The role of IL-2 as a growth factor for several subsets of T cells has been confirmed, and a new role as a growth factor for B cells was defined. Most importantly, IL-2 was shown to be directly mitogenic for and to expand subpopulations of peripheral blood cells, termed lymphokine-activated killer (LAK) cells and tumor-infiltrating lymphocytes (TIL). A number of pathologies of IL-2 production or activity have been defined, including Hodgkin's disease, graft versus host disease, systemic lupus erythematosus, lepromatous leprosy, acquired immune deficiency syndrome, and adult T cell leukemia. Murine and human in vivo studies reviewed here have revealed significant parameters of the therapeutic potential as well as the toxicity of this growth factor. Finally, the modulation of IL-2 receptors on human PBL's by thymosin fraction 5 and thymosin alpha 1 suggests that it might be possible to up-regulate IL-2 receptor expression in certain disease states and thus increase the efficacy of IL-2.","['Fletcher, M', 'Goldstein, A L']","['Fletcher M', 'Goldstein AL']",['eng'],,"['Journal Article', 'Review']",United States,Lymphokine Res,Lymphokine research,8308208,"['0 (Interleukin-2)', '0 (MAS1 protein, human)', '0 (Proto-Oncogene Mas)']",IM,"['Animals', 'Chemical Phenomena', 'Chemistry', 'Drug Evaluation', 'Humans', '*Interleukin-2/immunology/metabolism/pharmacology/therapeutic use', 'Proto-Oncogene Mas']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",,ppublish,Lymphokine Res. 1987 Winter;6(1):45-57.,,,,,,,95,,,
3546783,NLM,MEDLINE,19870406,20110727,0047-1852 (Print) 0047-1852 (Linking),44,10,1986 Oct,[Hairy cell leukemia].,2307-18,,"['Kitani, T', 'Machi, T', 'Taniguchi, N', 'Tokumine, Y', 'Inoue, R']","['Kitani T', 'Machi T', 'Taniguchi N', 'Tokumine Y', 'Inoue R']",['jpn'],,"['Journal Article', 'Review']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,['0 (Interferon Type I)'],IM,"['B-Lymphocytes/immunology', 'Humans', 'Interferon Type I/therapeutic use', '*Leukemia, Hairy Cell/immunology/therapy', 'Phagocytosis']",1986/10/01 00:00,1986/10/01 00:01,['1986/10/01 00:00'],"['1986/10/01 00:00 [pubmed]', '1986/10/01 00:01 [medline]', '1986/10/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1986 Oct;44(10):2307-18.,,,,,,,98,,,
