PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,AD,RF,PS,FPS,SI,OID
3889435,NLM,MEDLINE,19850712,20191030,0021-5120 (Print) 0021-5120 (Linking),24,1,1985 Feb,Bone marrow transplantation in the treatment of acute leukemia.,86-7,,"['Harada, M']",['Harada M'],['eng'],,['Journal Article'],Japan,Jpn J Med,Japanese journal of medicine,0247713,,IM,"['Acute Disease', 'Adolescent', 'Adult', '*Bone Marrow Transplantation', 'Child', 'Humans', 'Leukemia/mortality/*therapy', 'Middle Aged']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",['10.2169/internalmedicine1962.24.86 [doi]'],ppublish,Jpn J Med. 1985 Feb;24(1):86-7. doi: 10.2169/internalmedicine1962.24.86.,,,,,,,,
3889229,NLM,MEDLINE,19850628,20181130,0732-183X (Print) 0732-183X (Linking),3,5,1985 May,Homoharringtonine: an effective new drug for remission induction in refractory nonlymphoblastic leukemia.,617-21,"Homoharringtonine (HHT) is a new plant alkaloid originally isolated in the People's Republic of China. Preliminary studies have suggested antitumor activity in several neoplastic diseases. We treated 49 patients with relapsed or resistant acute leukemia with escalating doses of homoharringtonine administered by continuous infusion. Three dose levels were examined: 5 mg/m2 for seven days, 7 mg/m2 for seven days, and 5 mg/m2 for nine days. Of 28 patients with acute nonlymphoblastic leukemia who received cumulative doses of 45 to 49 mg/m2, seven patients (25%) achieved complete remission. Four of these remissions occurred in a subset of ten patients previously resistant to two or more induction attempts with conventional chemotherapy. There were no remissions in three patients with secondary leukemia or in seven patients with acute lymphoblastic leukemia. Reversible hypotension, fluid retention, diarrhea, and tumor lysis syndrome were the major toxic effects of this treatment. Our results indicate that homoharringtonine is an effective new drug for the treatment of acute nonlymphoblastic leukemia and that this drug does not share cross-resistance with conventional antileukemic agents. The recommended dose is 5 mg/m2/d administered by continuous infusion for nine days.","['Warrell, R P Jr', 'Coonley, C J', 'Gee, T S']","['Warrell RP Jr', 'Coonley CJ', 'Gee TS']",['eng'],"['CA-05826/CA/NCI NIH HHS/United States', 'N01-CM-27546/CM/NCI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,"['0 (Alkaloids)', '0 (Antineoplastic Agents)', '0 (Harringtonines)', '6FG8041S5B (Homoharringtonine)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Alkaloids/*therapeutic use', '*Antineoplastic Agents', 'Bone Marrow/drug effects', 'Bone Marrow Transplantation', 'Drug Evaluation', 'Harringtonines/adverse effects/*therapeutic use', 'Homoharringtonine', 'Humans', 'Hyperglycemia/chemically induced', 'Hypotension/chemically induced', 'Infusions, Parenteral', 'Leukemia/*drug therapy', 'Leukocyte Count', 'Middle Aged', 'Platelet Count']",1985/05/01 00:00,2001/03/28 10:01,['1985/05/01 00:00'],"['1985/05/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1985/05/01 00:00 [entrez]']",['10.1200/JCO.1985.3.5.617 [doi]'],ppublish,J Clin Oncol. 1985 May;3(5):617-21. doi: 10.1200/JCO.1985.3.5.617.,,,,,,,,
3889228,NLM,MEDLINE,19850628,20181130,0732-183X (Print) 0732-183X (Linking),3,5,1985 May,Homoharringtonine as a new antileukemic agent.,604-6,,"['Ohnuma, T', 'Holland, J F']","['Ohnuma T', 'Holland JF']",['eng'],,"['Clinical Trial', 'Editorial']",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,"['0 (Alkaloids)', '0 (Harringtonines)', '6FG8041S5B (Homoharringtonine)']",IM,"['Alkaloids/*therapeutic use', 'Arrhythmias, Cardiac/chemically induced', 'China', 'Clinical Trials as Topic', 'Drug Evaluation', 'Harringtonines/adverse effects/*therapeutic use', 'Homoharringtonine', 'Humans', 'Leukemia/*drug therapy', 'United States']",1985/05/01 00:00,1985/05/01 00:01,['1985/05/01 00:00'],"['1985/05/01 00:00 [pubmed]', '1985/05/01 00:01 [medline]', '1985/05/01 00:00 [entrez]']",['10.1200/JCO.1985.3.5.604 [doi]'],ppublish,J Clin Oncol. 1985 May;3(5):604-6. doi: 10.1200/JCO.1985.3.5.604.,,,,,,,,
3889227,NLM,MEDLINE,19850624,20071114,0732-6580 (Print) 0732-6580 (Linking),4,2,1985 Apr,Biological effects of White-type polysaccharides of gram-negative bacteria.,169-84,"The White-type polysaccharide (WPS), often called Freeman polysaccharide, was obtained by hydrolyzing gram-negative bacteria in 0.2 N acetic acid at 100 degrees C for 2 h. The crude product contained partially degraded O-antigens as well as other components that were active as immune adjuvants, enhancers of macrophage cytotoxicity of tumor target cells, and inducers of osteoclastic bone resorption. The same WPS preparation augmented the tumor cytotoxicity of normal mouse spleen cells and slightly retarded the take of L1210 leukemia in mice. The WPS preparations generated colony-stimulating factor in mice but were not active in lymphoproliferative (mitogenicity) tests. Chemical analyses of the WPS preparations did not detect the presence of components characteristic of the lipid moiety of endotoxins. The WPS samples were also negative in biological assays of endotoxicity such as local Shwartzman and toxicity tests. These findings indicate that gram-negative bacteria contain nonendotoxin components that are potent modifiers of some biological responses.","['Rothman, J', 'Johnson, A G', 'Friedman, H', 'Kovats, E', 'Pham, P H', 'Sanavi, F', 'Nowotny, A M', 'Nowotny, A']","['Rothman J', 'Johnson AG', 'Friedman H', 'Kovats E', 'Pham PH', 'Sanavi F', 'Nowotny AM', 'Nowotny A']",['eng'],"['CA-24628/CA/NCI NIH HHS/United States', 'DE-07085/DE/NIDCR NIH HHS/United States']","['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Response Mod,Journal of biological response modifiers,8219656,"['0 (Adjuvants, Immunologic)', '0 (Endotoxins)', '0 (Polysaccharides, Bacterial)']",IM,"['Actinobacillus', '*Adjuvants, Immunologic', 'Animals', 'B-Lymphocytes/immunology', 'Bone Resorption', 'Colony-Forming Units Assay', 'Cytotoxicity, Immunologic', 'Eikenella corrodens', 'Endotoxins/*pharmacology/toxicity', '*Gram-Negative Bacteria', 'Lymphocyte Activation', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred ICR', 'Polysaccharides, Bacterial/*pharmacology/toxicity', 'Rats', 'Rats, Inbred Strains', 'Salmonella', 'Serratia marcescens']",1985/04/01 00:00,1985/04/01 00:01,['1985/04/01 00:00'],"['1985/04/01 00:00 [pubmed]', '1985/04/01 00:01 [medline]', '1985/04/01 00:00 [entrez]']",,ppublish,J Biol Response Mod. 1985 Apr;4(2):169-84.,,,,,,,,
3889173,NLM,MEDLINE,19850711,20190511,0022-1899 (Print) 0022-1899 (Linking),151,6,1985 Jun,Role of the latex agglutination test for cryptococcal antigen in diagnosing disseminated infections with Trichosporon beigelii.,1167-9,,"['McManus, E J', 'Bozdech, M J', 'Jones, J M']","['McManus EJ', 'Bozdech MJ', 'Jones JM']",['eng'],['AI-15682-06/AI/NIAID NIH HHS/United States'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Infect Dis,The Journal of infectious diseases,0413675,"['0 (Antigens, Fungal)']",IM,"['Adult', 'Anemia, Aplastic/complications', 'Antigens, Fungal/*analysis', 'Cryptococcosis/*diagnosis', 'Cryptococcus/*immunology', 'Cryptococcus neoformans/*immunology', 'Humans', 'Latex Fixation Tests', 'Leukemia/complications', 'Male', 'Mycoses/complications/*diagnosis']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']",['10.1093/infdis/151.6.1167 [doi]'],ppublish,J Infect Dis. 1985 Jun;151(6):1167-9. doi: 10.1093/infdis/151.6.1167.,,,,,,,,
3889081,NLM,MEDLINE,19850702,20211203,0303-6987 (Print) 0303-6987 (Linking),12,2,1985 Apr,Cutaneous busulfan effect in patients receiving bone-marrow transplantation.,125-9,"Epidermal keratinocytes with abnormally large nuclei were found in 12 of 13 patients who received high-dose busulfan and cyclophosphamide prior to receiving bone-marrow transplantation for treatment of hematological malignancies. These cells were similar to those previously described in the lungs, cervix and bladder of patients on long-term busulfan therapy. Marked keratinocyte nuclear abnormalities were not observed in bone-marrow transplant recipients who received a preparatory regimen of cyclophosphamide and total-body irradiation. This histologic cutaneous busulfan effect was transient and was unrelated to the development of graft-versus-host reaction.","['Hymes, S R', 'Simonton, S C', 'Farmer, E R', 'Beschorner, W B', 'Tutschka, P J', 'Santos, G W']","['Hymes SR', 'Simonton SC', 'Farmer ER', 'Beschorner WB', 'Tutschka PJ', 'Santos GW']",['eng'],,['Journal Article'],United States,J Cutan Pathol,Journal of cutaneous pathology,0425124,"['8N3DW7272P (Cyclophosphamide)', 'G1LN9045DK (Busulfan)']",IM,"['Adult', 'Biopsy', '*Bone Marrow Transplantation', 'Busulfan/*adverse effects/therapeutic use', 'Cell Nucleus/drug effects', 'Cyclophosphamide/therapeutic use', 'Female', 'Humans', 'Immunosuppression Therapy', 'Leukemia, Lymphoid/therapy', 'Leukemia, Myeloid, Acute/therapy', 'Male', 'Skin/*drug effects/pathology', 'Whole-Body Irradiation']",1985/04/01 00:00,1985/04/01 00:01,['1985/04/01 00:00'],"['1985/04/01 00:00 [pubmed]', '1985/04/01 00:01 [medline]', '1985/04/01 00:00 [entrez]']",['10.1111/j.1600-0560.1985.tb01613.x [doi]'],ppublish,J Cutan Pathol. 1985 Apr;12(2):125-9. doi: 10.1111/j.1600-0560.1985.tb01613.x.,,,,,,,,
3888855,NLM,MEDLINE,19850715,20211203,0020-7136 (Print) 0020-7136 (Linking),35,5,1985 May 15,Adoptive immunotherapy of intracerebral murine lymphomas: role of different lymphoid populations.,659-65,"In an attempt to elucidate the cellular mechanisms responsible for the therapeutic activity of systemic immunotherapy in an adoptive transfer system, lymphoma cells were implanted i.c. It was found that, upon peripheral injection of cytotoxic T-lymphocytes with specificity for the tumor, the cells reached and infiltrated the diseased brain but did not accumulate selectively in the malignant graft. In order to accomplish significant tumor inhibition, the infused lymphocytes, largely expressing the Lyt-1+2+ phenotype, apparently cooperated with radioresistant phagocytic cells present in histocompatible hosts and athymic mice.","['Romani, L', 'Nardelli, B', 'Bianchi, R', 'Puccetti, P', 'Mage, M', 'Fioretti, M C']","['Romani L', 'Nardelli B', 'Bianchi R', 'Puccetti P', 'Mage M', 'Fioretti MC']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,"['0 (Antibodies, Monoclonal)', '9000-07-1 (Carrageenan)']",IM,"['Animals', 'Antibodies, Monoclonal/immunology', 'Antibody-Dependent Cell Cytotoxicity', 'Brain Neoplasms/immunology/*therapy', 'Carrageenan/pharmacology', 'Cytotoxicity Tests, Immunologic', 'Female', 'Fluorescent Antibody Technique', 'Graft Rejection', '*Immunization, Passive', 'Immunosuppression Therapy', 'Leukemia L5178/immunology/*therapy', 'Leukemia, Experimental/*therapy', 'Macrophages/immunology/transplantation', 'Male', 'Mice', 'Mice, Inbred Strains', 'Mice, Nude', 'Neoplasm Transplantation', 'Spleen/immunology', 'T-Lymphocytes, Cytotoxic/*immunology/radiation effects/transplantation', 'Transplantation, Homologous', 'Whole-Body Irradiation']",1985/05/15 00:00,1985/05/15 00:01,['1985/05/15 00:00'],"['1985/05/15 00:00 [pubmed]', '1985/05/15 00:01 [medline]', '1985/05/15 00:00 [entrez]']",['10.1002/ijc.2910350515 [doi]'],ppublish,Int J Cancer. 1985 May 15;35(5):659-65. doi: 10.1002/ijc.2910350515.,,,,,,,,
3888833,NLM,MEDLINE,19850716,20190824,0165-2478 (Print) 0165-2478 (Linking),9,4,1985,Purificaton and characterization of a new antigen from human polymorphonuclears.,215-20,"A new antigen was isolated from human tissue extracts. By immunofluorescence it was found only in granulocytic cells both in the cytoplasm and on the surface of these cells. It is an alpha-globulin having a molecular weight of approximately 47,000. It is unglycosylated and does not bind to various lectins. Due to its electrophoretic mobility and its cellular localization, it was named alpha-G (for granulocytes) globulin.","['Rojas Moreno, M', 'Goulu, C', 'Fondaneche, M C', 'Bourillon, R', 'Burtin, P']","['Rojas Moreno M', 'Goulu C', 'Fondaneche MC', 'Bourillon R', 'Burtin P']",['eng'],,['Journal Article'],Netherlands,Immunol Lett,Immunology letters,7910006,"['0 (Antigens)', '0 (Antigens, Neoplasm)', '0 (Antigens, Surface)']",IM,"['Antigens/*isolation & purification', 'Antigens, Neoplasm/analysis', 'Antigens, Surface/isolation & purification', 'Bone Marrow/immunology', 'Fluorescent Antibody Technique', 'Humans', 'Isoelectric Point', 'Leukemia, Myeloid/immunology', 'Molecular Weight', 'Neutrophils/*immunology']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']","['0165-2478(85)90035-5 [pii]', '10.1016/0165-2478(85)90035-5 [doi]']",ppublish,Immunol Lett. 1985;9(4):215-20. doi: 10.1016/0165-2478(85)90035-5.,,,,,,,,
3888803,NLM,MEDLINE,19850718,20071115,0015-8178 (Print) 0015-8178 (Linking),103,16,1985 Apr 25,[Is acute leukemia in adults curable today?].,413-6,,"['Konig, H J']",['Konig HJ'],['ger'],,"['English Abstract', 'Journal Article']",Germany,Fortschr Med,Fortschritte der Medizin,2984763R,['0 (Antineoplastic Agents)'],IM,"['Adult', 'Antineoplastic Agents/therapeutic use', 'Bone Marrow Transplantation', 'Combined Modality Therapy', 'Humans', 'Immunotherapy', 'Leukemia, Myeloid, Acute/*therapy']",1985/04/25 00:00,1985/04/25 00:01,['1985/04/25 00:00'],"['1985/04/25 00:00 [pubmed]', '1985/04/25 00:01 [medline]', '1985/04/25 00:00 [entrez]']",,ppublish,Fortschr Med. 1985 Apr 25;103(16):413-6.,,Ist die akute Leukamie des Erwachsenen heute heilbar?,,,,,,
3888789,NLM,MEDLINE,19850626,20131121,0017-6559 (Print) 0017-6559 (Linking),18,1,1985,The biological role of lactoferrin.,3-12,"Lactoferrin (LF)--in various quantities--is present in human milk, secretions and polymorphonuclear neutrophils (PMN). LF's significance lies in its bacteriostatic effect on its environment. Probably it prevents bacterial uptake of iron, leads to damage of bacteria and during phagocytosis helps the organism to combat pathogens. Most likely it regulates iron absorption, and during inflammation it takes part in the plasma iron transport. LF is believed to play an important role in the regulation of granulopoiesis in the bone-marrow. From its biological effects it appears that plasma LF determinations may be useful in the clinical diagnosis of leukaemia and other malignant diseases, as well as in the study of iron metabolism.","['Nemet, K', 'Simonovits, I']","['Nemet K', 'Simonovits I']",['eng'],,"['Journal Article', 'Review']",Netherlands,Haematologia (Budap),Haematologia,0130266,"['0 (Lactoglobulins)', 'E1UOL152H7 (Iron)', 'EC 3.4.21.- (Lactoferrin)']",IM,"['Absorption', 'Animals', 'Biological Transport', 'Cell Division', 'Chronic Disease', 'Granulocytes/cytology', 'Humans', 'Inflammation/metabolism', 'Iron/metabolism', 'Kinetics', 'Lactoferrin/blood/metabolism/*physiology', 'Lactoglobulins/*physiology', 'Leukemia, Myeloid/blood', 'Milk/physiology', 'Pancreatic Neoplasms/blood', 'Pancreatitis/blood']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Haematologia (Budap). 1985;18(1):3-12.,,,,45,,,,
3888773,NLM,MEDLINE,19850725,20200713,0234-5730 (Print) 0234-5730 (Linking),30,4,1985 Apr,[Frequently occurring chromosome aberrations in various hemoblastoses].,46-53,,"['Zakharova, A V', 'Kozinets, G I']","['Zakharova AV', 'Kozinets GI']",['rus'],,"['Journal Article', 'Review']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,['0 (Genetic Markers)'],IM,"['*Chromosome Aberrations', '*Chromosomes, Human, 21-22 and Y', '*Chromosomes, Human, 6-12 and X', 'Genetic Markers', 'Humans', 'Karyotyping', 'Leukemia/diagnosis/*genetics', 'Lymphoma/diagnosis/*genetics']",1985/04/01 00:00,1985/04/01 00:01,['1985/04/01 00:00'],"['1985/04/01 00:00 [pubmed]', '1985/04/01 00:01 [medline]', '1985/04/01 00:00 [entrez]']",,ppublish,Gematol Transfuziol. 1985 Apr;30(4):46-53.,,O nesluchainosti khromosomnykh aberratsii pri nekotorykh gemoblastozakh.,,51,,,,
3888647,NLM,MEDLINE,19850703,20041117,0301-472X (Print) 0301-472X (Linking),13,5,1985 May,"Fourteenth annual meeting of the International Society for Experimental Hematology. 14-18 July, 1985, Jerusalem, Israel. Abstracts.",315-474,,,,['eng'],,['Journal Article'],Netherlands,Exp Hematol,Experimental hematology,0402313,,IM,"['Animals', '*Bone Marrow Transplantation', '*Hematologic Diseases', 'Humans', '*Leukemia']",1985/05/01 00:00,1985/05/01 00:01,['1985/05/01 00:00'],"['1985/05/01 00:00 [pubmed]', '1985/05/01 00:01 [medline]', '1985/05/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1985 May;13(5):315-474.,,,,,,,,
3888542,NLM,MEDLINE,19850710,20190514,0012-3692 (Print) 0012-3692 (Linking),87,6,1985 Jun,Bronchiolitis obliterans complicating bone marrow transplantation.,828-30,"A 19-year-old woman with extensive, persistent chronic graft versus host disease (GVHD), following an HLA-identical bone marrow graft for acute leukemia, developed rapidly progressive airflow obstruction 140 days post-transplantation (PT) and presented clinically with persistent cough, inspiratory rales, bronchospasm and exertional dyspnea. Pulmonary function tests (PFT) showed rapidly evolving severe airflow obstruction and hypoxemia without restrictive ventilatory defect. Open lung biopsy on the 204th day PT confirmed focal bronchiolitis obliterans. On the 381st day PT, she remained clinically stable. Chest x-ray film showed mild overinflation, but was otherwise unremarkable. PFT's continued to show very severe airflow obstruction without restrictive ventilatory defect. The etiology of the obliterative bronchiolitis might be explained on the basis of a direct immunologic reaction mediated by GVHD or possibly a joint viral-GVHD interaction. Awareness and further detailed documentation and analysis of this unusual respiratory syndrome associated with marrow transplant recipients may help clarify the role of GVHD in the development of lung disease in recipients of marrow grafts.","['Ostrow, D', 'Buskard, N', 'Hill, R S', 'Vickars, L', 'Churg, A']","['Ostrow D', 'Buskard N', 'Hill RS', 'Vickars L', 'Churg A']",['eng'],,"['Case Reports', 'Journal Article']",United States,Chest,Chest,0231335,,IM,"['Adult', '*Bone Marrow Transplantation', 'Bronchi/pathology', 'Bronchitis/*etiology/pathology', 'Female', 'Graft vs Host Disease/*etiology', 'Humans', 'Leukemia, Myeloid, Acute/*therapy', 'Respiratory Function Tests']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']","['S0012-3692(16)40179-0 [pii]', '10.1378/chest.87.6.828 [doi]']",ppublish,Chest. 1985 Jun;87(6):828-30. doi: 10.1378/chest.87.6.828.,,,,,,,,
3888536,NLM,MEDLINE,19850708,20211203,0147-0272 (Print) 0147-0272 (Linking),9,2,1985 Feb,Second cancers following antineoplastic therapy.,1-43,"The occurrence of metachronous malignancies has long been a phenomenon of interest to physicians. The problem of treatment-related malignancies has added to that interest and has contributed to the understanding of carcinogenesis. Prolonged survival of patients with previously lethal diseases is now allowing the expression of long-term toxicities of the intensive therapies being used in many disease settings. Although the oncogenic potential of the various alkylating agents may not be equivalent, they have all been implicated as causing cancer in man. Procarbazine also appears to be highly carcinogenic in man. The intensity of treatment (duration and total dose) is a significant factor in the carcinogenesis of these agents. The dose-response relationship between radiation and cancer induction is less clear, but most believe that increasing radiation exposure increases the risk of cancer in a linear fashion. The combination of intensive chemotherapy and intensive radiotherapy yields the greatest risk for treatment-related hematologic and solid malignancies. To replace effective therapy with less carcinogenic therapy of unproved effectiveness would be difficult since survival curves have not been significantly affected by the evolution of treatment-related cancers. Whether that will hold true for the adjuvant use of intensive therapy remains to be seen. Where feasible, the design of such adjuvant trials should keep the dose-response relationship in mind. If the virtual absence of metachronous leukemia in Hodgkin's disease patients treated with ABVD holds true over time, the search for noncarcinogenic combination therapy will be well worth the effort. Therapeutic options in cancer treatment currently are few, and the benefits of potentially carcinogenic chemotherapy and radiotherapy continue to outweigh the risks.","['Dorr, F A', 'Coltman, C A Jr']","['Dorr FA', 'Coltman CA Jr']",['eng'],['CA09434/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Curr Probl Cancer,Current problems in cancer,7702986,"['0 (Antineoplastic Agents)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Antineoplastic Agents/adverse effects', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects', 'Breast Neoplasms/drug therapy', 'Chromosome Aberrations', 'Cyclophosphamide/adverse effects', 'Dose-Response Relationship, Drug', 'Dose-Response Relationship, Radiation', 'Female', 'Hodgkin Disease/drug therapy', 'Humans', 'Immunosuppression Therapy', 'Leukemia/chemically induced', 'Leukemia, Radiation-Induced/etiology', 'Lymphoma/chemically induced/drug therapy', 'Multiple Myeloma/drug therapy', 'Neoplasms/*chemically induced/immunology', 'Neoplasms, Multiple Primary/*etiology', 'Neoplasms, Radiation-Induced/*etiology', 'Ovarian Neoplasms/drug therapy', 'Time Factors', 'Urinary Bladder Neoplasms/chemically induced']",1985/02/01 00:00,2001/03/28 10:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1985/02/01 00:00 [entrez]']","['S0147-0272(85)80033-7 [pii]', '10.1016/s0147-0272(85)80033-7 [doi]']",ppublish,Curr Probl Cancer. 1985 Feb;9(2):1-43. doi: 10.1016/s0147-0272(85)80033-7.,,,,108,,,,
3888445,NLM,MEDLINE,19850725,20190903,0009-9120 (Print) 0009-9120 (Linking),18,3,1985 Jun,Beta 2-microglobulin levels in cerebrospinal fluid of children with leukemia and lymphoma.,180-3,"Beta 2-microglobulin levels were determined in the cerebrospinal fluid (CSF) of 119 children (ages 1 1/2 to 18 years) with malignant conditions; 87 with acute lymphoblastic leukemia, 9 with acute myeloblastic leukemia, 15 with lymphoma, and 8 with solid tumours. A total of 491 CSF specimens and 202 serum specimens were analyzed over a 12-month period. The mean CSF beta 2-microglobulin and serum beta 2-microglobulin were 1.11 +/- 0.58 mg/L and 1.5 +/- 0.64 mg/L respectively and were not different from the mean CSF (1.20 +/- 0.45 mg/L) and serum beta 2-microglobulin levels (1.70 +/- 0.45 mg/L) found in control patients. Meningeal leukemia was diagnosed on the basis of cytology in 7 patients. No elevation of CSF beta 2-microglobulin was found in any specimen at the time of CNS disease. Eleven other patients showed a transient rise in CSF beta 2-microglobulin above the reference range (greater than 2.1 mg/L). No evidence of CNS involvement was found in any of these patients. Five of these patients had received a combination of intrathecal methotrexate and irradiation therapy within the previous 4 months. A transient rise in CSF beta 2-microglobulin (2-3-fold increase over baseline CSF levels), which did not exceed the upper limit of the reference range was seen in 5 of 7 other children receiving the above therapy. Our study fails to demonstrate the usefulness of CSF beta 2-microglobulin for the diagnosis of CNS metastases but suggests that a transient elevation of CSF beta 2-microglobulin may occur after intrathecal methotrexate and irradiation therapy.","['Pudek, M R', 'Chan, K W', 'Rogers, P C', 'Teasdale, J M']","['Pudek MR', 'Chan KW', 'Rogers PC', 'Teasdale JM']",['eng'],,['Journal Article'],United States,Clin Biochem,Clinical biochemistry,0133660,"['0 (beta 2-Microglobulin)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adolescent', 'Brain Neoplasms/diagnosis/secondary', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia/*cerebrospinal fluid', 'Lymphoma/*cerebrospinal fluid', 'Male', 'Methotrexate/therapeutic use', 'beta 2-Microglobulin/*cerebrospinal fluid']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']","['S0009-9120(85)80105-3 [pii]', '10.1016/s0009-9120(85)80105-3 [doi]']",ppublish,Clin Biochem. 1985 Jun;18(3):180-3. doi: 10.1016/s0009-9120(85)80105-3.,,,,,,,,
3888387,NLM,MEDLINE,19850711,20131121,0361-5960 (Print) 0361-5960 (Linking),69,4,1985 Apr,Clinical trial depleting T lymphocytes from donor marrow for matched and mismatched allogeneic bone marrow transplants.,377-86,"Nine patients received T-lymphocyte-depleted histocompatible bone marrow and 28 patients received T-lymphocyte-depleted histoincompatible bone marrow. Eight of nine patients receiving matched bone marrow quickly engrafted without severe graft-versus-host disease (GvHD). None of the eight patients received anti-GvHD prophylaxis medications. Two of these eight patients are currently alive. Nonengraftment and severe GvHD were problems seen in some of the patients given the histoincompatible bone marrow. Additional cytarabine pretransplant permitted engraftment in those patients undergoing histoincompatible transplants for treatment of malignancy, and prednisone and cyclosporine posttransplant reduced the incidence of acute GvHD in those given T-lymphocyte-depleted grafts. Seven of these 28 patients are currently alive. T-lymphocyte-depleted marrow can reduce the occurrence or prevent severe acute GvHD, especially when combined with additional prednisone and cyclosporine; however, the impact on relapse patterns and survival remains to be determined. The occurrence of nonengraftment and treatment-related lymphomas are formidable problems to overcome.","['Trigg, M E', 'Billing, R', 'Sondel, P M', 'Exten, R', 'Hong, R', 'Bozdech, M J', 'Horowitz, S D', 'Finlay, J L', 'Moen, R', 'Longo, W']","['Trigg ME', 'Billing R', 'Sondel PM', 'Exten R', 'Hong R', 'Bozdech MJ', 'Horowitz SD', 'Finlay JL', 'Moen R', 'Longo W', 'et al.']",['eng'],['CA-32685/CA/NCI NIH HHS/United States'],"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Treat Rep,Cancer treatment reports,7607107,"['0 (Cyclosporins)', '0 (HLA Antigens)', '04079A1RDZ (Cytarabine)', '8N3DW7272P (Cyclophosphamide)', 'VB0R961HZT (Prednisone)']",IM,"['Adolescent', 'Adult', 'Anemia, Aplastic/*therapy', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Clinical Trials as Topic', 'Cyclophosphamide/therapeutic use', 'Cyclosporins/therapeutic use', 'Cytarabine/therapeutic use', 'Evaluation Studies as Topic', 'Female', 'Graft vs Host Disease/etiology/prevention & control', 'HLA Antigens', 'Histocompatibility', 'Humans', 'Immunologic Deficiency Syndromes/*therapy', 'Infant', 'Leukemia, Lymphoid/*therapy', 'Leukemia, Myeloid/*therapy', 'Male', 'Prednisone/therapeutic use', 'Rosette Formation', 'T-Lymphocytes/immunology']",1985/04/01 00:00,1985/04/01 00:01,['1985/04/01 00:00'],"['1985/04/01 00:00 [pubmed]', '1985/04/01 00:01 [medline]', '1985/04/01 00:00 [entrez]']",,ppublish,Cancer Treat Rep. 1985 Apr;69(4):377-86.,,,,,,,,
