PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RN,PMC
1032769,NLM,MEDLINE,19780724,20090605,0066-2240 (Print) 0066-2240 (Linking),31,,1976,[Disturbances in blood coagulation and fibrinolysis in patients with different forms of acute leukemias (author's transl)].,111-22,,"['Dmoszynska, A']",['Dmoszynska A'],['pol'],"['English Abstract', 'Journal Article']",Poland,Ann Univ Mariae Curie Sklodowska Med,Annales Universitatis Mariae Curie-Sklodowska. Sectio D: Medicina,0414101,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Blood Coagulation Disorders/*blood', 'Female', '*Fibrinolysis', 'Humans', 'Leukemia/*blood', 'Male', 'Middle Aged']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Ann Univ Mariae Curie Sklodowska Med. 1976;31:111-22.,Zaburzenia w osoczowyn ukladzie krzepniecia i fibrynolizy u chorych na rozne postacie ostrych bialaczek.,,
1032374,NLM,MEDLINE,19780508,20041117,0013-2411 (Print) 0013-2411 (Linking),59,1-2,1976,Anti-leucocyte and anti-platelet iso- and autoantibodies in leukemias and malignant lymphomas.,57-68,,"['Mohieddin, O', 'el-Saifi, M F']","['Mohieddin O', 'el-Saifi MF']",['eng'],['Journal Article'],Egypt,J Egypt Med Assoc,The Journal of the Egyptian Medical Association,0417734,IM,"['Autoantibodies/*analysis', 'Blood Platelets/*immunology', 'Humans', 'Isoantibodies/*analysis', 'Leukemia/*immunology', 'Leukocytes/*immunology', 'Lymphoma/*immunology']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,J Egypt Med Assoc. 1976;59(1-2):57-68.,,"['0 (Autoantibodies)', '0 (Isoantibodies)']",
1032353,NLM,MEDLINE,19780524,20181113,0008-4409 (Print) 0008-4409 (Linking),114,3,1976 Feb 7,Decreased anion gap associated with monoclonal and pseudomonoclonal gammopathy.,231-2,"Nine patients with monoclonal and one with pseudomonoclonal gammopathy were found to have a decreased anion gap. Eight of the patients had multiple myeloma, one has plasma cell leukemia and one had chronic active hepatitis. In all of the the decreased anion gap was associated with an increased concentration of IgG greater than 5 g/dl.","['Frohlich, J', 'Adam, W', 'Golbey, M J', 'Bernstein, M']","['Frohlich J', 'Adam W', 'Golbey MJ', 'Bernstein M']",['eng'],['Journal Article'],Canada,Can Med Assoc J,Canadian Medical Association journal,0414110,IM,"['Adult', 'Aged', 'Anions', 'Blood Viscosity', 'Electrolytes/*blood', 'Female', 'Hepatitis B/blood', 'Humans', 'Hypergammaglobulinemia/*blood', 'Immunoglobulin G/*analysis', 'Leukemia, Plasma Cell/blood', 'Male', 'Middle Aged', 'Multiple Myeloma/blood', 'Myeloma Proteins/blood', 'Serum Albumin/analysis', 'Serum Globulins/analysis']",1976/02/07 00:00,1976/02/07 00:01,['1976/02/07 00:00'],"['1976/02/07 00:00 [pubmed]', '1976/02/07 00:01 [medline]', '1976/02/07 00:00 [entrez]']",,ppublish,Can Med Assoc J. 1976 Feb 7;114(3):231-2.,,"['0 (Anions)', '0 (Electrolytes)', '0 (Immunoglobulin G)', '0 (Myeloma Proteins)', '0 (Serum Albumin)', '0 (Serum Globulins)']",PMC1956933
1032280,NLM,MEDLINE,19780310,20141120,0001-6217 (Print) 0001-6217 (Linking),24,4,1976,The role of heterogeneity of tumour cell populations in biological activity and sensitivity to chemotherapeutics.,351-7,"The biological activity of a rat ascites leukaemia subline isolated by isopycnic centrifugation was compared to that of the original tumour both in vivo and in vitro. The subline had different marker chromosomes, a longer cell cycle time and decreased sensitivity to vinblastine as compared to the original tumour.","['Holczinger, L', 'Turi, G', 'Olah, E', 'Gal, F']","['Holczinger L', 'Turi G', 'Olah E', 'Gal F']",['eng'],['Journal Article'],Hungary,Acta Morphol Acad Sci Hung,Acta morphologica Academiae Scientiarum Hungaricae,0370334,IM,"['Animals', 'Cell Cycle', 'Cell Separation', 'Cells, Cultured', 'In Vitro Techniques', '*Karyotyping', 'Leukemia, Experimental/drug therapy/*genetics', 'Mitosis/drug effects', 'Neoplasm Transplantation', 'Rats', 'Vinblastine/*pharmacology/therapeutic use']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Acta Morphol Acad Sci Hung. 1976;24(4):351-7.,,['5V9KLZ54CY (Vinblastine)'],
1032278,NLM,MEDLINE,19780310,20081121,0001-6217 (Print) 0001-6217 (Linking),24,4,1976,Bioassay of blood-born tumour cells on in vivo and in vitro systems.,331-40,"Viability and biological integrity of tumour cells circulating in the blood were studied in an experimental system using bioassay methods. Results of subcutaneous and intravenous retransplantation as well as explantation of the blood obtained from tumour-bearing animals previously receiving intravenous inoculation of tumour cell suspension (Yoshida sarcoma, Walker 256 carcinosarcoma and DMBA-induced myeloid ascitic leukaemia), revealed that the tumour cells detected in the blood are not only viable at the time of their transportation in the blood-stream but are also in possession of biologic potentials to proliferate and establish metastatic growths in organs.","['Dobrossy, L', 'Turi, G']","['Dobrossy L', 'Turi G']",['eng'],['Journal Article'],Hungary,Acta Morphol Acad Sci Hung,Acta morphologica Academiae Scientiarum Hungaricae,0370334,IM,"['Animals', 'Carcinoma 256, Walker/pathology', 'Cells, Cultured', 'Leukemia, Experimental/pathology', 'Lung Neoplasms/pathology', 'Neoplasm Metastasis/*pathology', 'Neoplasm Transplantation', '*Neoplastic Cells, Circulating', 'Rats', 'Sarcoma, Yoshida/pathology', 'Transplantation, Homologous']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Acta Morphol Acad Sci Hung. 1976;24(4):331-40.,,,
1032277,NLM,MEDLINE,19780310,20141120,0001-6217 (Print) 0001-6217 (Linking),24,4,1976,Cell surface properties of L1210 leukaemia cells.,297-305,"The surface properties of vincristine-colchicine sensitive and resistant L1210 leukaemic cells have been studied using concanavalin A mediated agglutination assay as well as electron microscopic visualization of concanavalin A receptors. 3H-colchicine uptake by the sensitive and resistant lines has also been compared. The resistant L1210 leukaemic cells proved less agglutinable than the sensitive ones at the same concanavalin A concentration. Previous treatments with either colchicine, vincristine or chlorpromazine caused a marked decrease in the agglutinability of the sensitive L1210 leukaemic cells, while agglutination of the resistant ones was lowered slightly by the same treatments. The 3H-colchicine uptake of the sensitive cells was three times higher than that of the resistant ones.","['Csuka, O', 'Sugar, J']","['Csuka O', 'Sugar J']",['eng'],['Journal Article'],Hungary,Acta Morphol Acad Sci Hung,Acta morphologica Academiae Scientiarum Hungaricae,0370334,IM,"['Animals', '*Cell Membrane/ultrastructure', 'Colchicine/metabolism', 'Drug Resistance', 'In Vitro Techniques', 'Leukemia L1210/metabolism/*pathology/ultrastructure', 'Mice', 'Receptors, Concanavalin A', 'Surface Properties']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Acta Morphol Acad Sci Hung. 1976;24(4):297-305.,,"['0 (Receptors, Concanavalin A)', 'SML2Y3J35T (Colchicine)']",
1032083,NLM,MEDLINE,19780218,20190819,0001-5180 (Print) 0001-5180 (Linking),94,3,1976,Alkaline phosphatase in the thymus.,464-75,"(1) Fetal thymuses, organs from patients who died from diseases that are not clinically known to be associated with concomitant lymphoid tissue involvement, as well as thymuses from patients dying from diseases which effect the lymphatic complex of the body, one way or another, have been investigated for their alkaline phosphatase activity, using Gomori technique and applying four different phosphate esters as substrates. (2) Three substrates (beta-glycerophophate, riboflavin 5-phosphate and adenosine triphosphate) showed essentially the same pattern of activity in which the cortex and Hassall's corpuscles were reactive, while the medulla was negative. A reversal of this pattern was demonstrated with 5-monophosphoric acid. (3) Before the age of 32-36 weeks of intra-uterine life there is no alkaline phosphatase activity in the thymus; therafter, the enzyme begins to make its first appearance. (4) There is a definite increase in the intensity of the reaction with advance of intra-uterine life. This increase in phosphatase content is continued postnatally, to reach its maximum at about the age of 10 years: after that, the enzyme activity gradually subsides. (5) There is a tremendous augmentation of phosphatase activity in the case of disease which are known to affect the lymphoid complex. (6) The phosphatase activity of the thymus has been discussed in relation to the prevailing concepts about the function of the thymus, with special emphasis on a possible association with 'lymphocyte-stimulating factor' production and/or secretion.","['Rakhawy, M T', 'Tarkhan, A A', 'Zakaria, A M']","['Rakhawy MT', 'Tarkhan AA', 'Zakaria AM']",['eng'],['Journal Article'],Switzerland,Acta Anat (Basel),Acta anatomica,0370272,IM,"['Adolescent', 'Adult', 'Age Factors', 'Alkaline Phosphatase/*metabolism', 'Child', 'Child, Preschool', 'Congenital Abnormalities/enzymology', 'Diphtheria/enzymology', 'Female', 'Heart Diseases/enzymology', 'Humans', 'Infant', 'Leukemia/enzymology', 'Lymphatic Diseases/enzymology', 'Male', 'Metabolism, Inborn Errors/enzymology', 'Thymus Gland/cytology/embryology/*enzymology', 'Whooping Cough/enzymology']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",['10.1159/000144577 [doi]'],ppublish,Acta Anat (Basel). 1976;94(3):464-75. doi: 10.1159/000144577.,,['EC 3.1.3.1 (Alkaline Phosphatase)'],
1031538,NLM,MEDLINE,19780127,20190918,0001-5660 (Print) 0001-5660 (Linking),25,,1976,Leukemia in twins: antenatal and postnatal factors.,336-41,"Two factors emerged from a search for obstetric phenomena that might explain concordance of leukemia in both members of a twin pair within days or months of each other: antenatal exposure to ionizing radiation; and antenatal cojoined intrauterine circulation. In addition, antenatal tumor metastasis and chromosomal changes, antenatal or postnatal, may be contributory. Continued observation of reports should be carried out.","['Keith, L', 'Brown, E R', 'Ames, B', 'Stotsky, M', 'Keith, D M']","['Keith L', 'Brown ER', 'Ames B', 'Stotsky M', 'Keith DM']",['eng'],['Journal Article'],Italy,Acta Genet Med Gemellol (Roma),Acta geneticae medicae et gemellologiae,0370314,IM,"['Adolescent', 'Adult', 'Arteriovenous Anastomosis', 'Child', 'Child, Preschool', 'Chromosomes, Human, 21-22 and Y', '*Diseases in Twins', 'Female', 'Humans', 'Leukemia/embryology/*etiology/genetics', 'Leukemia, Radiation-Induced', 'Male', 'Neoplasm Metastasis', 'Placenta/blood supply', 'Placenta Diseases', 'Pregnancy', 'Radiography/adverse effects', 'Twins, Monozygotic']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",['10.1017/s0001566000014392 [doi]'],ppublish,Acta Genet Med Gemellol (Roma). 1976;25:336-41. doi: 10.1017/s0001566000014392.,,,
1031183,NLM,MEDLINE,19771229,20061115,0485-1439 (Print) 0485-1439 (Linking),17,8,1976 Aug,[Studies on the changes of the pattern of serum proteins in various cases of leukemia--correlation between serum proteins and the clinical pictures in leukemia (author's transl)].,884-98,,"['Imaizumi, S']",['Imaizumi S'],['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,IM,"['Adult', 'Blood Proteins/*analysis', 'Glycoproteins/*blood', 'Humans', 'Leukemia/*blood', 'Male', 'Middle Aged']",1976/08/01 00:00,1976/08/01 00:01,['1976/08/01 00:00'],"['1976/08/01 00:00 [pubmed]', '1976/08/01 00:01 [medline]', '1976/08/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1976 Aug;17(8):884-98.,,"['0 (Blood Proteins)', '0 (Glycoproteins)']",
1030806,NLM,MEDLINE,19770611,20171116,0361-7742 (Print) 0361-7742 (Linking),9,,1976,Independent control of the expression of several membrane-associated antigens of murine leukemia cells: metabolism and response to specific antiserum.,89-99,"The effect of specific antisera on the metabolic rates of thymus-leukemia (TL), H-2a, and tumor-associated antigens of ASL-1 and RADA-1 cells, two murine leukemia cell lines, were determined. The metabolic half-life of each antigen was distinct from the others examined. The half-life of TL antigens was 18 hr; in cells exposed to TL antiserum, it changed to 9 hr. In RADA-1 cells, the half-life of TL antigens was 16 hr; in the presence of TL antiserum it became 4 hr. The half-lives of H-2a antigens and the tumor-associated antigen were unaffected by specific antiserum. Somatic hybrids of ASL-1 or RADA-1 cells were formed with LM(TK)-cells, a thymidine kinase deficient mutant of mouse L cells. Hybrid cells formed TL antigens, but unlike their parental cells their half-life of expression, approximately 30 hr, was unaffected by TL antiserum. Hybrid cells failed to undergo antigenic modulation under conditions more stringent than required to stimulate the modulation of ASL-1 or RADA-1 cells. The hybrids formed the tumor-associated antigen of their murine leukemia parental cells; however, the metabolic rate of the tumor antigen in hybrid cells was defferent than the metabolic rate of the analogous antigen in parental cells. Hybrid cells formed H-2 antigens of both parental sources, and possessed a hybrid karyotype. The half-life of H-2 antigens, approximately 26 hr, was the same both in parental and hybrid cells. H-2a antiserum had no detectable effect upon the metabolism of TL antigens in hybrid or parental cells; nor did TL antiserum have an effect upon the metabolism of H-2a antigens.","['Cohen, E P', 'Liang, W']","['Cohen EP', 'Liang W']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,IM,"['Animals', 'Antibodies, Neoplasm', '*Antigens, Neoplasm', 'Cell Fusion', 'Cell Line', 'Cell Membrane/*immunology', 'Electrophoresis, Polyacrylamide Gel', 'Fucose/metabolism', 'HLA Antigens', 'Hybrid Cells', 'Kinetics', 'Leukemia, Experimental/*immunology', 'Mice', 'Precipitin Tests']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Prog Clin Biol Res. 1976;9:89-99.,,"['0 (Antibodies, Neoplasm)', '0 (Antigens, Neoplasm)', '0 (HLA Antigens)', '28RYY2IV3F (Fucose)']",
1030796,NLM,MEDLINE,19770611,20131121,0361-7742 (Print) 0361-7742 (Linking),9,,1976,Immunogenicity of tumor cells modified by trinitrobenzene suflonic acid (TNBS).,109-21,"The ability of trinitrophenylated tumor cells to stimulate syngeneic antitumor response has been tested in 3 different tumor-host systems: A. Trinitrophenylated and inactivated Moloney induced YAC tumor cells (YAC-TNP) were able to induce the production of cytotoxic antibodies in low responding A/J mice, while inactivated YAC tumor cells (YAC-In) failed to induce such a response. Furthermore, A mice which were injected with YAC-TNP rejected 103 viable YAC tumor cells at a higher frequency than those injected with YAC-In. B. Trinitrophenylated and inactivated Gross virus induced G-35 tumor cells or Monoloney induced LSTRA cells (both syngeneic in BALB/c mice) were as immunogenic as nonmodified inactivated tumor cells. About 50% of the immunized mice survived indefinitely after injection of 103 viable tumors. Fruthermore, spleen cells from mice primed with either modified or nonomodified G-35 cells responded in vitro to G-35 in a mixed leukocyte tumor interaction and generated specific cell-mediated cytotoxic activity to 51Cr-G-35 syngeneic tumors. However, the donors of the primed cells did not produce detectable cytotoxic antibodies to G-35. C. In vitro sensitization of C57B1 spleen cells by trinitrophenylated Mitomycin C treated syngeneic EL-4 generated a stronger cytotoxic response to EL-4 cells than obtained by sensitization with Mitomycin C treated EL-4 cells alone, The superiority of the sensitizing capacity of trinitrophenylated EL-4 was readily demonstrated in conditions which were suboptimal for nonmodified Mitomycin C treated tumor. Both theoretical and practical implications of these results are discussed.","['Kedar, E', 'Unger, E', 'Galili, N', 'Klein, G', 'Asjo, B', 'Bonavida, B', 'Naor, D']","['Kedar E', 'Unger E', 'Galili N', 'Klein G', 'Asjo B', 'Bonavida B', 'Naor D']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,IM,"['Animals', 'Cell Survival/drug effects', 'Cell Transformation, Neoplastic', 'Immunity', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Mitomycins/pharmacology', 'Moloney murine leukemia virus/immunology', 'Neoplasms, Experimental/drug therapy/*immunology', '*Nitrobenzenes/pharmacology', 'Spleen/drug effects/physiology', '*Trinitrobenzenesulfonic Acid/pharmacology/therapeutic use']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Prog Clin Biol Res. 1976;9:109-21.,,"['0 (Mitomycins)', '0 (Nitrobenzenes)', '8T3HQG2ZC4 (Trinitrobenzenesulfonic Acid)']",
1030780,NLM,MEDLINE,19770611,20071115,0083-1921 (Print) 0083-1921 (Linking),44,,1976 Nov,Spontaneous regression of hematologic cancers.,35-8,"Spontaneous regression of hematologic cancer is extremely rare. Data gleaned from the literature and from previously unreported cases allow certain interesting general conclusions. Spontaneous remission of acute leukemia is associated with bacterial infection and is of short duration, weeks to months. Spontaneous regression of lymphoma or plasma cell dyscrasia is often of substantial duration, months or years, and frequently is associated with viral infections. Spontaneous regression of chronic lymphocytic leukemia is also of significant duration and has been associated with the occurence of a new primary carcinoma in one-third of the cases.","['Wiernik, P H']",['Wiernik PH'],['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Bacterial Infections/complications', 'Child', 'Child, Preschool', 'Female', 'Fever/complications', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/complications/immunology/*pathology', 'Leukemia, Lymphoid/pathology', 'Lymphoma/complications/*pathology', 'Male', 'Middle Aged', '*Neoplasm Regression, Spontaneous', 'Neoplasms, Multiple Primary/pathology', 'Paraproteinemias/complications/pathology', 'Time Factors', 'Virus Diseases/complications']",1976/11/01 00:00,1976/11/01 00:01,['1976/11/01 00:00'],"['1976/11/01 00:00 [pubmed]', '1976/11/01 00:01 [medline]', '1976/11/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1976 Nov;44:35-8.,,,
1030333,NLM,MEDLINE,19771125,20160510,1210-7875 (Print) 1210-7875 (Linking),12,3,1976 Aug,[The ultrastructure of bovine lymphocytes in chronic lymphocytic leucosis].,136-40,"The morphology of blood lymphocytes as obtained from cows suffering from chronic lymphocytic leucosis (CLL) and from healthy control animals was studied with the electron microscope. In the leukemic lymphocytes there was a significantly higher occurrence of the so-called nuclear pockets (13.8 per cent in the healthy ones). Marking the surface of the lymphocytes with Rutherium Red permitted to discern between two distinct populations of lymphocytes in peripheral blood. By using this method, B-lymphocyte were shown to prevail in CLL, accounting for 89.7 per cent of the total lymphocyte count.","['Hajdu, I', 'Cerny, L']","['Hajdu I', 'Cerny L']",['cze'],"['English Abstract', 'Journal Article']",Czech Republic,Cesk Patol,Ceskoslovenska patologie,0050734,IM,"['Animals', 'Cattle', 'Cattle Diseases/*pathology', 'Cell Nucleus/ultrastructure', 'Cytoplasm/ultrastructure', 'Female', 'Leukemia, Lymphoid/ultrastructure/*veterinary', 'Lymphocytes/*ultrastructure']",1976/08/01 00:00,1976/08/01 00:01,['1976/08/01 00:00'],"['1976/08/01 00:00 [pubmed]', '1976/08/01 00:01 [medline]', '1976/08/01 00:00 [entrez]']",,ppublish,Cesk Patol. 1976 Aug;12(3):136-40.,Ultrastruktura lymfocytu krav pri chronicke lymfocytarni leukoze.,,
1030182,NLM,MEDLINE,19771014,20191021,0065-2571 (Print) 0065-2571 (Linking),15,,1976,Adenosine metabolism in cultured lymphoid cells.,169-93,,"['Harrap, K R', 'Paine, R M']","['Harrap KR', 'Paine RM']",['eng'],['Journal Article'],England,Adv Enzyme Regul,Advances in enzyme regulation,0044263,IM,"['Adenosine/*metabolism/pharmacology', 'Adenosine Deaminase/metabolism', 'Animals', 'Cell Survival/drug effects', 'Cells, Cultured', 'DNA, Neoplasm/biosynthesis', 'Deoxyribonucleosides/metabolism', 'Formycins/pharmacology', 'Humans', 'In Vitro Techniques', 'Leukemia L1210/enzymology/*metabolism', 'Lymphocyte Activation/drug effects', 'Lymphocytes/enzymology/metabolism', 'Mice', 'Neoplasm Proteins/biosynthesis', 'RNA, Neoplasm/biosynthesis', 'Ribonucleosides/metabolism']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",['10.1016/0065-2571(77)90015-2 [doi]'],ppublish,Adv Enzyme Regul. 1976;15:169-93. doi: 10.1016/0065-2571(77)90015-2.,,"['0 (DNA, Neoplasm)', '0 (Deoxyribonucleosides)', '0 (Formycins)', '0 (Neoplasm Proteins)', '0 (RNA, Neoplasm)', '0 (Ribonucleosides)', 'EC 3.5.4.4 (Adenosine Deaminase)', 'K72T3FS567 (Adenosine)']",
1030095,NLM,MEDLINE,19771028,20041117,0070-4067 (Print) 0070-4067 (Linking),82 Pt 2,,1976,[Simulation of acute leukemia by bone-marrow carcinosis].,1735-6,,"['Hossfeld, D K', 'Firusian, N', 'Schmidt, C G']","['Hossfeld DK', 'Firusian N', 'Schmidt CG']",['ger'],"['Case Reports', 'Journal Article']",Germany,Verh Dtsch Ges Inn Med,Verhandlungen der Deutschen Gesellschaft fur Innere Medizin,7503702,IM,"['Acute Disease', 'Bone Marrow Diseases/*diagnosis', 'Bone Neoplasms/*diagnosis', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia/*diagnosis', 'Male']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Verh Dtsch Ges Inn Med. 1976;82 Pt 2:1735-6.,Simulation einer akuten Leukamie durch Knochenmarkskarzinose.,,
1030070,NLM,MEDLINE,19771028,20081121,0070-4067 (Print) 0070-4067 (Linking),82 Pt 2,,1976,[Factor VIII associated protein and cold-insoluble globulin in leukemias and tumors].,1652-4,,"['Bruhn, H D']",['Bruhn HD'],['ger'],['Journal Article'],Germany,Verh Dtsch Ges Inn Med,Verhandlungen der Deutschen Gesellschaft fur Innere Medizin,7503702,IM,"['Cold Temperature', 'Factor VIII/*isolation & purification', 'Humans', 'Leukemia/*blood', 'Neoplasms/*blood', 'Serum Globulins/*isolation & purification', 'Solubility']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Verh Dtsch Ges Inn Med. 1976;82 Pt 2:1652-4.,Faktor VIII-assoziiertes Protein und kalteunlosilches Globulin bei Leukamien und Tumoren.,"['0 (Serum Globulins)', '9001-27-8 (Factor VIII)']",
1030064,NLM,MEDLINE,19771028,20061115,0070-4067 (Print) 0070-4067 (Linking),82 Pt 2,,1976,[Direct proteolysis of coagulation factors through granulocyte enzymes as a possible mechanism of blood coagulation disorders in acute leukemia and septicemia].,1629-32,,"['Egbring, R', 'Schmidt, W', 'Havemann, K']","['Egbring R', 'Schmidt W', 'Havemann K']",['ger'],['Journal Article'],Germany,Verh Dtsch Ges Inn Med,Verhandlungen der Deutschen Gesellschaft fur Innere Medizin,7503702,IM,"['Acute Disease', 'Blood Coagulation Disorders/enzymology/*etiology', 'Chymotrypsin/blood', 'Granulocytes/*enzymology', 'Humans', 'Leukemia/*complications/enzymology', 'Leukocytes/*enzymology', 'Pancreatic Elastase/blood', 'Peptide Hydrolases/*blood', 'Sepsis/blood/*complications']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Verh Dtsch Ges Inn Med. 1976;82 Pt 2:1629-32.,Direkte Proteolyse von Gerinnungsfaktoren durch Granulozytenenzyme als moglicher Mechanismus von Gerinnungsstorungen bei akuter Leukamie und Septikamie.,"['EC 3.4.- (Peptide Hydrolases)', 'EC 3.4.21.1 (Chymotrypsin)', 'EC 3.4.21.36 (Pancreatic Elastase)']",
1030059,NLM,MEDLINE,19771028,20041117,0070-4067 (Print) 0070-4067 (Linking),82 Pt 2,,1976,[Immune complexes in the serum of patients with leukemia].,1612-3,,"['Carpentier, N A', 'Zubler, R H', 'Lange, G', 'Lambert, P H', 'Miescher, P A']","['Carpentier NA', 'Zubler RH', 'Lange G', 'Lambert PH', 'Miescher PA']",['ger'],['Journal Article'],Germany,Verh Dtsch Ges Inn Med,Verhandlungen der Deutschen Gesellschaft fur Innere Medizin,7503702,IM,"['*Antigen-Antibody Complex', 'Antigens, Neoplasm/isolation & purification', 'Humans', 'Leukemia/*immunology']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Verh Dtsch Ges Inn Med. 1976;82 Pt 2:1612-3.,Immunkomplexe im Serum von Patienten mit Leukamie.,"['0 (Antigen-Antibody Complex)', '0 (Antigens, Neoplasm)']",
1030058,NLM,MEDLINE,19771028,20071115,0070-4067 (Print) 0070-4067 (Linking),82 Pt 2,,1976,[Electrophoretic characterization of lymphocytes from patients with chronic lymphatic leukemia].,1606-8,,"['Schopow, K', 'Walther, F', 'Schubert, J C']","['Schopow K', 'Walther F', 'Schubert JC']",['ger'],['Journal Article'],Germany,Verh Dtsch Ges Inn Med,Verhandlungen der Deutschen Gesellschaft fur Innere Medizin,7503702,IM,"['Cell Membrane/immunology', 'Humans', 'Immunoglobulins/isolation & purification', 'Leukemia, Lymphoid/*immunology', 'Lymphocytes/*immunology']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Verh Dtsch Ges Inn Med. 1976;82 Pt 2:1606-8.,Elektrophoretische Charakterisierung der Lymphozyten von Patienten mit chronisch lymphatischer Leukamie.,['0 (Immunoglobulins)'],
1030054,NLM,MEDLINE,19771028,20071115,0070-4067 (Print) 0070-4067 (Linking),82 Pt 2,,1976,[Plasma cell leukemia. Report of 5 cases].,1588-90,,"['Schoengen, A', 'Feyen, H', 'Heimpel, H', 'Kubanek, B']","['Schoengen A', 'Feyen H', 'Heimpel H', 'Kubanek B']",['ger'],['Journal Article'],Germany,Verh Dtsch Ges Inn Med,Verhandlungen der Deutschen Gesellschaft fur Innere Medizin,7503702,IM,"['Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Plasma Cell/*diagnosis', 'Male', 'Middle Aged', 'Plasmacytoma/diagnosis']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Verh Dtsch Ges Inn Med. 1976;82 Pt 2:1588-90.,"Plasmazell-Leukamie, Bericht uber 5 Falle.",,
