PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,CON,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,AD,CIN,GR,RF,SI,PMC,TT,CI,CN,MID,EIN,OID,OTO,OT,GN,LID
9387727,NLM,MEDLINE,19971216,20161018,1003-5370 (Print) 1003-5370 (Linking),16,5,1996 May,[Progress on the treatment of hematologic diseases with prompting blood circulation to remove stasis].,315-7,"['Yin, C H', 'Yu, M L', 'Deng, C S']","['Yin CH', 'Yu ML', 'Deng CS']",['chi'],"['Journal Article', 'Review']",China,Zhongguo Zhong Xi Yi Jie He Za Zhi,Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine,9211576,"['0 (Drugs, Chinese Herbal)', '0 (Materia Medica)']",IM,,"['Anemia, Aplastic/drug therapy', 'Animals', 'Drugs, Chinese Herbal/*therapeutic use', 'Hematologic Diseases/*drug therapy', 'Humans', 'Leukemia/drug therapy', 'Materia Medica/therapeutic use', 'Purpura, Thrombocytopenic/drug therapy']",1996/05/01 00:00,1997/12/05 00:01,['1996/05/01 00:00'],"['1996/05/01 00:00 [pubmed]', '1997/12/05 00:01 [medline]', '1996/05/01 00:00 [entrez]']",,ppublish,Zhongguo Zhong Xi Yi Jie He Za Zhi. 1996 May;16(5):315-7.,,,,,28,,,,,,,,,,,,
9387642,NLM,MEDLINE,19971231,20140226,0578-1426 (Print) 0578-1426 (Linking),35,4,1996 Apr,[Changes of peripheral blood stem cells of patients with malignant hematopoietic tumor after chemotherapy].,253-6,"['Xiao, W', 'Li, C', 'Zhai, M']","['Xiao W', 'Li C', 'Zhai M']",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,"['0 (Antigens, CD34)', '0 (Antineoplastic Agents)']",IM,,"['Adolescent', 'Adult', 'Aged', 'Antigens, CD34/metabolism', 'Antineoplastic Agents/therapeutic use', 'Cell Count', 'Female', 'Hematopoietic Stem Cells/*pathology', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/*pathology', 'Leukemia, Promyelocytic, Acute/drug therapy/pathology', 'Lymphoma/drug therapy/pathology', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/pathology', 'Time Factors']",1996/04/01 00:00,1997/12/05 00:01,['1996/04/01 00:00'],"['1996/04/01 00:00 [pubmed]', '1997/12/05 00:01 [medline]', '1996/04/01 00:00 [entrez]']",,ppublish,Zhonghua Nei Ke Za Zhi. 1996 Apr;35(4):253-6.,"To investigate the most appropriate condition for collecting stem cells during peripheral blood stem cells transplantation (PBSCT), we used colony forming unit-granulocyte, macrophage (CFU-GM) as index to observe the change of PBSC after chemotherapy in 12 patients with malignant hematopoietic tumor. The results showed that it was more suitable to collect PBSC when the number of leucocytes was 2 x 10(9)/L, neutrophils 0.8 x 10(9)/L and platelets 110 x 10(9)/L after chemotherapy for 2 weeks. After chemotherapy, the number of leucocytes were suppressed evidently. On the contrary, a lot of CFU-GM appeared during the recovery phase of peripheral hemogram. At the nadir of peripheral hemogram, the number of leucocytes correlated negatively with the number of CFU-GM (P < 0.05). The longer the time of chemotherapy, the less the CFU-GM that in the same patients. After chemotherapy the CD34+ cells which appeared early might not form CFU-GM, but the CD34+ cells at the recovery phase of peripheral hemogram had the same trend of change with CFU-GM.","['Department of Hematology, First Affiliated Hospital, China Medical University, Shenyang.']",,,,,,,,,,,,,,,
9387641,NLM,MEDLINE,19971231,20140226,0578-1426 (Print) 0578-1426 (Linking),35,4,1996 Apr,[A study of the effects of chemotherapy with or without G-CSF on neutrophil counts and serum G-CSF levels in leukemia patients].,249-52,"['Chen, S', 'Zhang, Z', 'Liu, P']","['Chen S', 'Zhang Z', 'Liu P']",['chi'],"['Comparative Study', 'English Abstract', 'Journal Article']",China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,"['0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)']",IM,,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Animals', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Granulocyte Colony-Stimulating Factor/*blood/*therapeutic use', 'Humans', 'Leukemia, Myeloid/immunology/*therapy', 'Leukocyte Count', 'Male', 'Middle Aged', 'Neutrophils/immunology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/immunology/*therapy', 'Rabbits', 'Recombinant Proteins']",1996/04/01 00:00,1997/12/05 00:01,['1996/04/01 00:00'],"['1996/04/01 00:00 [pubmed]', '1997/12/05 00:01 [medline]', '1996/04/01 00:00 [entrez]']",,ppublish,Zhonghua Nei Ke Za Zhi. 1996 Apr;35(4):249-52.,"For studying the relation between the serum G-CSF levels and neutrophil counts, consecutive changes of G-CSF levels and neutrophil counts in 20 cases of acute leukemia receiving chemotherapy with or without administration of G-CSF were observed. The G-CSF levels were detected by ELISA. The results showed: (1) Before chemotherapy G-CSF levels were higher than normal value in acute leukemia patients. (2) Four patterns of consecutive change of serum G-CSF levels in 19 cases receiving chemotherapy alone were observed, viz curves with double peaks, single peak, V type and declining type. Different patterns of G-CSF change were accompanied with different changes of neutrophil counts. (3) Both serum G-CSF levels and neutrophil counts were elevated significantly in nine cases receiving G-CSF after chemotherapy. (4) Comparing chemotherapy with and without G-CSF treatment. The time required for neutrophil count to reach a level more than 1.5 x 10(9)/L was significantly shorter in those administering G-CSF after chemotherapy than the patients not using G-CSF. These results suggest that observation of the changes of serum G-CSF levels is helpful in judging myelosuppression and marrow recovery after chemotherapy. Administration of G-CSF is an effective method to increase the neutrophil counts and to shorten the myelosuppressive period.","['Peking Union Medical Hospital, Beijing.']",,,,,,,,,,,,,,,
9387628,NLM,MEDLINE,19971231,20140226,0578-1426 (Print) 0578-1426 (Linking),35,6,1996 Jun,"[A study on the diagnostic criteria for adult acute myeloid leukemia with morphology, immunology and cytogenetics].",392-6,"['Liu, Z', 'Zhang, X', 'Xue, Y']","['Liu Z', 'Zhang X', 'Xue Y']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,"['0 (Antigens, CD)']",IM,,"['Adolescent', 'Adult', 'Aged', 'Antigens, CD/*analysis', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/classification/*genetics/immunology', 'Male', 'Middle Aged', 'Reference Standards', 'Translocation, Genetic']",1996/06/01 00:00,1997/12/05 00:01,['1996/06/01 00:00'],"['1996/06/01 00:00 [pubmed]', '1997/12/05 00:01 [medline]', '1996/06/01 00:00 [entrez]']",,ppublish,Zhonghua Nei Ke Za Zhi. 1996 Jun;35(6):392-6.,"This study was undertaken to establish the more reasonable criteria for diagnosis of acute myeloid leukemia (AML). 82 cases diagnosed initially or finally as AML were analyzed with morphology, immunology and cytogenetics (MIC). The results revealed that 89.0% of the pretherapy morphology conformed to MIC and 93.9% of the immunology conformed to it. 4 cases with hybrid acute leukemia (HAL), one case with acute undifferentiated leukemia (AUL) and one case with acute B-Acute lymphocytic leukemia were confirmed with MIC. The positive expression of myeloid markers on samples from 76 cases of AML was followed by CD33 > CD13 > CD65, SI6 > CD15 > CD11b > CD14, but not specific for AML subtypes. The lymphoid antigens CD2, CD7, CD10 and CD19 were positive in minority of the cases of AML, but CD2+ and CD7+ were easily found in M3 and M1 speerately. 55.4% of the patients with AML in this group showed abnormality in cytogenetics. Typical t(8;21) or its variants was found in 14/24 cases of M2 and one case of M1; t(7;11) (P15;P15) in one case of M2; t(15;17) in 4/7 cases of M3; and inv(16) in one case of M4E0. It is shown that MIC classificassion is more helpful than any signgle one of the three in diagnosis of AML, especially of HAL, AUL, Mo.","['Jiangsu Institute of Hematology, Suzhou.']",,,,,,,,,,,,,,,
9387618,NLM,MEDLINE,19971231,20140226,0578-1426 (Print) 0578-1426 (Linking),35,5,1996 May,[Analysis of clonal origin of concomitant chronic lymphocytic leukemia and multiple myeloma in a patient with advanced age].,326-8,"['Zhu, P', 'Ma, M', 'Yu, J']","['Zhu P', 'Ma M', 'Yu J']",['chi'],"['Case Reports', 'English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,['0 (Immunoglobulin Heavy Chains)'],IM,,"['Aged', 'Aged, 80 and over', '*Gene Rearrangement, B-Lymphocyte, Heavy Chain', 'Humans', 'Immunoglobulin Heavy Chains/*genetics', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications/*genetics', 'Male', 'Multiple Myeloma/complications/*genetics']",1996/05/01 00:00,1997/12/05 00:01,['1996/05/01 00:00'],"['1996/05/01 00:00 [pubmed]', '1997/12/05 00:01 [medline]', '1996/05/01 00:00 [entrez]']",,ppublish,Zhonghua Nei Ke Za Zhi. 1996 May;35(5):326-8.,"Concomitant chronic lymphocytic leukemia (CLL) and multiple myeloma (MM) is a rare disease. Studies on the clonal origin of both lymphocyte and plasma cell in this disease has been few. So far it has not been reported in China. The paper reports a case of 92-year old patient with concomitant CLL and MM and the research results on the origin of lymphocyte and plasma cell by analyzing the morphologic characteristics, monoclonal antibodies, immunoglobulin Ig or TCR gene rearrangement (GR), Ig single-strand conformation polymorphsm (SSCP) fingerprint mapping and heteroduplex formation. The Ig H GR segments same in size, single strand conformation and sequence characteristics have been obtained from both peripheral blood and bone marrow DNA, even though the cells of CLL and MM had different characteristics in morphology and different secretion of IgM lambda and IgA lambda. The results suggested that the malignant cells of both CLL and MM in this patient had common origin from the B-cell.","['First Teaching Hospital, Beijing Medical University.']",,,,,,,,,,,,,,,
9387589,NLM,MEDLINE,19971216,20131121,0254-6450 (Print) 0254-6450 (Linking),17,4,1996 Aug,[A case-control study of childhood leukemia].,229-32,"['Lu, J C', 'Shi, L Y']","['Lu JC', 'Shi LY']",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Liu Xing Bing Xue Za Zhi,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,8208604,"['0 (Anti-Bacterial Agents)', '66974FR9Q1 (Chloramphenicol)']",IM,,"['Adolescent', 'Anti-Bacterial Agents/adverse effects', 'Case-Control Studies', 'Child', 'Child, Preschool', 'China/epidemiology', 'Chloramphenicol/adverse effects', 'Environmental Exposure', 'Female', 'Humans', 'Infant', 'Leukemia, Myeloid, Acute/*epidemiology/etiology', 'Logistic Models', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*epidemiology/etiology', 'Risk Factors', 'Sampling Studies', 'X-Rays/adverse effects']",1996/08/01 00:00,1997/12/05 00:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '1997/12/05 00:01 [medline]', '1996/08/01 00:00 [entrez]']",,ppublish,Zhonghua Liu Xing Bing Xue Za Zhi. 1996 Aug;17(4):229-32.,"A 1:1 matched case-control study was conducted to investigate the etiological factors of childhood leukemia. It was found that there were five risk factors: (1) children living in the environmental pollution area, OR (95% CI) = 2.84 (1.14-7.10); (2) exposure to extreme low frequency electronmagnetic field (ELF), OR (95% CI) = 2.01 (1.18-3.42); (3) history of postnatal X-ray exposure, OR (95% CI) = 4.53 (1.68-12.21); (4) history of taking chloramphenicol, OR (95% CI) = 3.60 (1.62-8.01); (5) history of taking, antipyretic or analgesic drugs, OR (95% CI) = 1.93 (1.09-3.42). A protective factor was also discovered. Mothers often eating fish, pork and other meat foods, OR (95% CI) = 0.33 (0.18-0.59). The analysis of the population attributable risk showed that 91% of the childhood leukemia cases might attribute to these five risk factors. The interaction among these etiological factors was estimated. Results showed that there was a positive interaction between the X-ray exposure and chloramphenicol on additive model, the relative excess risk due to interaction (RERI) of childhood leukemia was 3.04.",['Guangzhou Medical College.'],,,,,,,,,,,,,,,
9387319,NLM,MEDLINE,19980127,20131121,0253-3766 (Print) 0253-3766 (Linking),18,4,1996 Jul,[G-CSF and all-trans retinoic acid-induced leukocytosis].,273-5,"['Wu, W', 'Sun, G', 'Wu, W']","['Wu W', 'Sun G', 'Wu W']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Zhong Liu Za Zhi,Zhonghua zhong liu za zhi [Chinese journal of oncology],7910681,"['0 (Antineoplastic Agents)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '5688UTC01R (Tretinoin)']",IM,,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/*adverse effects', 'Child', 'Child, Preschool', 'Female', 'Granulocyte Colony-Stimulating Factor/*blood', 'Humans', 'Leukemia, Promyelocytic, Acute/blood/*drug therapy', 'Leukocyte Count', 'Leukocytosis/blood/*chemically induced', 'Male', 'Middle Aged', 'Tretinoin/*adverse effects']",1996/07/01 00:00,1997/12/05 00:01,['1996/07/01 00:00'],"['1996/07/01 00:00 [pubmed]', '1997/12/05 00:01 [medline]', '1996/07/01 00:00 [entrez]']",,ppublish,Zhonghua Zhong Liu Za Zhi. 1996 Jul;18(4):273-5.,"During the treatment with all-trans retinoic acid (ATRA) for acute promyelocytic leukemia (APL), leukocytosis occured in 33%-75% of the treated cases. ELISA method was used in detecting levels of serum granulocyle colony-stimulating factor (G-CSF) in 47 cases of APL during treatment with ATRA. It was found that the peak of increased serum G-CSF level occurred on the 9th day, and WBC number was highest on the 11th day. After ATRA treatment, both serum G-CSF level and WBC number increased in 68.1% of the cases. In 19.2% of the cases treated, serum G-CSF level was increased but without obvious change in WBC number, and the reverse was true in 12.7% of the cases. Serum G-CSF level was statistically correlated to the number of WBC, promyelocytes and its late stage by Spearman rank correlation analysis.","['Shanghai Second Medical University Shanghai Ruijin Hospital, Laborotory of Cellularbiology, Shanghai Institute of Hematology.']",,,,,,,,,,,,,,,
9387292,NLM,MEDLINE,19980205,20131121,0253-3766 (Print) 0253-3766 (Linking),18,6,1996 Nov,[Antiproliferative effects on Ph+ leukemic cells transfected with antisense bcr/abl fusion gene].,422-5,"['Hao, X', 'Tang, P', 'Wang, B']","['Hao X', 'Tang P', 'Wang B']",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Zhong Liu Za Zhi,Zhonghua zhong liu za zhi [Chinese journal of oncology],7910681,"['0 (RNA, Antisense)', '0 (RNA, Messenger)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,,"['Cell Division/drug effects', 'Fusion Proteins, bcr-abl/*genetics', 'HL-60 Cells', 'Humans', 'Leukemia, Erythroblastic, Acute/*pathology', 'RNA, Antisense/genetics/*pharmacology', 'RNA, Messenger/biosynthesis', '*Transfection', 'Tumor Cells, Cultured']",1996/11/01 00:00,1997/12/05 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1997/12/05 00:01 [medline]', '1996/11/01 00:00 [entrez]']",,ppublish,Zhonghua Zhong Liu Za Zhi. 1996 Nov;18(6):422-5.,"To investigate the possible roles that bcr/abl fusion gene plays in Ph-chromosome positive leukemia cells, in this study the recombinant plasmids expressing antisense transcripts to bcr/abl fusion gene were transfected into K562 and BV173 cell lines by lipofectin reagent. Southern and Northern bilot hybridizations proved the integration and expression of exogenous DNA in target cells. Antisense transcripts to bcr/abl inhibited proliferation and colony-forming ability of target cells. Through flow cytometric cell cycle analysis it was found that during the early period of transfection decrease of cells in G0/G1 and S phases and increase in G2 phase were observed, suggesting block of G2 progression. Later, cells in G0/G1 phase decreased further and retardation of S and G2 progressions was obvious. The results also indicated that proliferative inhibition of target cells was accompanied by genomic DNA degradation.","['Institute of Basic Medical Sciences, Beijing.']",,,,,,,,,,,,,,,
9387291,NLM,MEDLINE,19980205,20151119,0253-3766 (Print) 0253-3766 (Linking),18,6,1996 Nov,[Anti-tumor activity and immune responses induced by human cancer-associated mucin core peptide].,419-21,"['Ma, Y', 'Yuan, M', 'Fei, L']","['Ma Y', 'Yuan M', 'Fei L']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Zhong Liu Za Zhi,Zhonghua zhong liu za zhi [Chinese journal of oncology],7910681,"['0 (Antigens, Neoplasm)', '0 (Biomarkers, Tumor)', '0 (Gastric Mucins)', '0 (MUC2 protein, human)', '0 (Muc2 protein, mouse)', '0 (Muc3 protein, mouse)', '0 (Mucin-2)', '0 (Mucin-3)', '0 (Mucins)', '0 (Neoplasm Proteins)', '0 (apomucin)']",IM,,"['Animals', 'Antigens, Neoplasm/immunology', 'Biomarkers, Tumor/immunology', 'Cytotoxicity, Immunologic', 'Gastric Mucins/immunology', 'Humans', 'Mice', 'Mucin-2', 'Mucin-3', 'Mucins/*immunology', 'Neoplasm Proteins/immunology', 'Pancreatic Neoplasms/*chemistry/immunology', 'Tumor Cells, Cultured']",1996/11/01 00:00,1997/12/05 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1997/12/05 00:01 [medline]', '1996/11/01 00:00 [entrez]']",,ppublish,Zhonghua Zhong Liu Za Zhi. 1996 Nov;18(6):419-21.,"Mucin molecules are displayed on most human cancer cell surface, and are different from that expressed on normal epithelial cells. The molecular structure of mucin core peptide (apomucin) was identified recently. However, the function of apomucin is only poorly understood. To further elucidate the role of apomucin in the modulation of cancers, this study was to investigate the immune responses induced by mucin core peptide in mice. The mucin core peptide was isolated from pancreatic cancer cell line SW1990. When mice immunized with this apomucin (10 micrograms/time x 6) plus DETOX, all mice developed delayed-type hypersensitivity (DTH) after challanged with apomucin or synthetic mucin core peptide MUC-2 or MUC-3, while the mice immunized with only apomucin did not develop DTH. No antibodies were detected by ELISA after immunization. When the splenic cells of vaccinated mice were cocultured with this apomucin (10-50 micrograms/ml) and rhIL-2 (50 U/ml) in vitro, the proliferated lymphocytes showed cytotoxicity against human cancer cells, including colon cancer, gastric cancer, pancreatic cancer and leukemia as measured by Cr-51 release assay. The cytotoxicity could be blocked by antibodies against MUC-2 and MUC-3. These results provide a rational basis for the use of apomucin as a vaccine to stimulate anti-tumor immunity.","['General Hospital of PLA, Cancer Research Laboratory, Beijing.']",,,,,,,,,,,,,,,
9387246,NLM,MEDLINE,19980205,20061115,0253-3766 (Print) 0253-3766 (Linking),18,3,1996 May,[The antitumor activity of elemene is associated with apoptosis].,169-72,"['Yang, H', 'Wang, X', 'Yu, L']","['Yang H', 'Wang X', 'Yu L']",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Zhong Liu Za Zhi,Zhonghua zhong liu za zhi [Chinese journal of oncology],7910681,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Oils, Volatile)', '0 (Sesquiterpenes)', '11029-06-4 (elemene)']",IM,,"['Antineoplastic Agents, Phytogenic/*pharmacology', 'Apoptosis/*drug effects', 'Cell Cycle/drug effects', 'HL-60 Cells/cytology/ultrastructure', 'Humans', 'Leukemia, Erythroblastic, Acute/pathology', 'Oils, Volatile/*pharmacology', '*Sesquiterpenes', 'Tumor Cells, Cultured']",1996/05/01 00:00,1997/12/05 00:01,['1996/05/01 00:00'],"['1996/05/01 00:00 [pubmed]', '1997/12/05 00:01 [medline]', '1996/05/01 00:00 [entrez]']",,ppublish,Zhonghua Zhong Liu Za Zhi. 1996 May;18(3):169-72.,"Elemene, isolated from the Chinese medicinal herb Rhizoma Zedoariae was shown to exhibit antitumor activity in vitro and in vivo to human and murine tumor cells. This novel antineoplastic agent has been demonstrated to have substantial clinical activity against various tumors. In this paper, the mechanisms of antitumor activity of elemene are reported. The in vitro effect of elemene on the growth of leukemia cells was evaluated by MTT assay. The IC50 values of elemene for promyelocytic leukemia HL-60 cells and erythroleukemia K562 cells were found to be 27.5 micrograms/ml and 81 micrograms/ml, respectively, while IC50 for peripheral blood leukocytes (PBL) was 254.3 micrograms/ml. The inhibitory effect of elemene on proliferation of HL-60 cells was associated with cell cycle arrest from, S to G2M phase transition and with induction of apoptosis. The apoptosis of tumor cells was confirmed by DNA ladder formation on gel electrophoresis and characteristic ultrastructural alternations. These results indicate that induction of apoptosis contributes to the mechanisms for antitumor activity of elemene.","['Cancer Institute, Zhejiang Medical University, Hangzhou.']",,,,,,,,,,,,,,,
9387205,NLM,MEDLINE,19980120,20060307,0094-6176 (Print) 0094-6176 (Linking),23,5,1997,Interferon-alpha therapy in polycythemia vera and essential thrombocythemia.,463-72,"['Elliott, M A', 'Tefferi, A']","['Elliott MA', 'Tefferi A']",['eng'],"['Journal Article', 'Review']",United States,Semin Thromb Hemost,Seminars in thrombosis and hemostasis,0431155,['0 (Interferon-alpha)'],IM,,"['Cell Division/drug effects', 'Female', 'Humans', 'Interferon-alpha/adverse effects/*therapeutic use', 'Polycythemia Vera/*therapy', 'Pregnancy', 'Pregnancy Complications, Hematologic/therapy', 'Risk Factors', 'Thrombocytosis/*therapy']",1997/01/01 00:00,1997/12/05 00:01,['1997/01/01 00:00'],"['1997/01/01 00:00 [pubmed]', '1997/12/05 00:01 [medline]', '1997/01/01 00:00 [entrez]']",['10.1055/s-2007-996123 [doi]'],ppublish,Semin Thromb Hemost. 1997;23(5):463-72. doi: 10.1055/s-2007-996123.,"Essential thrombocythemia (ET) and polycythemia vera (PV) are chronic clonal myeloid disorders that originate from the multipotential hematopoietic stem cell. They are characterized, respectively, by excessive thrombocytosis and erythrocytosis, a high incidence of thrombohemorrhagic events, vasomotor symptoms, and an inherent tendency to undergo leukemic transformation. Current standard therapies to control the excess accumulation of myeloid cells and to provide symptomatic relief carry either a persistent risk of thrombosis, as in the case of phlebotomy, or, in the case of hydroxyurea, the potential for inducing leukemia. None alter the natural history of these diseases. Interferon-alpha has been shown to have potent antiproliferative effects on the hematopoietic stem cells and bone marrow fibroblasts and, as a result, has received much attention as a therapeutic agent for chronic myeloproliferative disorders. The ability of interferon-alpha to induce hematologic and cytogenetic remission in chronic phase chronic granulocytic leukemia has further increased interest in this agent. Interferon-alpha has shown therapeutic activity in PV and ET, as demonstrated in multiple small studies and single-arm trials reviewed in this article. Reported beneficial effects include the ability to control excessive erythrocytosis and thrombocytosis and such disease-related features as vasomotor symptoms, pruritus, and splenomegaly. Recent reports of cytogenetic remission and reversal of bone marrow fibrosis after interferon therapy are of interest. Advantages over current therapeutic standards include lack of known leukemogenic and teratogenic effects and the potential to alter the underlying course of disease. Nevertheless, none of the information available allows definite therapeutic recommendations for the use of interferon-alpha in PV or ET. The available data support the need for randomized controlled trials comparing interferon-alpha with standard therapy.","['Division of Hematology and Internal Medicine, Mayo Clinic, Rochester, Minnesota 55905, USA.']",,,96,,,,,,,,,,,,
9387201,NLM,MEDLINE,19980120,20111117,0094-6176 (Print) 0094-6176 (Linking),23,5,1997,Acquired von Willebrand disease in patients with high platelet counts.,425-31,"['Budde, U', 'van Genderen, P J']","['Budde U', 'van Genderen PJ']",['eng'],"['Case Reports', 'Journal Article']",United States,Semin Thromb Hemost,Seminars in thrombosis and hemostasis,0431155,,IM,,"['Adult', 'Clinical Laboratory Techniques', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/blood', 'Linear Models', 'Male', '*Platelet Count', 'Polycythemia Vera/blood', 'Thrombocytosis/blood', 'von Willebrand Diseases/*blood/etiology/therapy']",1997/01/01 00:00,1997/12/05 00:01,['1997/01/01 00:00'],"['1997/01/01 00:00 [pubmed]', '1997/12/05 00:01 [medline]', '1997/01/01 00:00 [entrez]']",['10.1055/s-2007-996119 [doi]'],ppublish,Semin Thromb Hemost. 1997;23(5):425-31. doi: 10.1055/s-2007-996119.,"For patients with high platelet counts an inverse relationship has been established between platelet counts and large vWf multimers in plasma. Platelets are currently thought to be primarily involved in the pathogenesis of this decrease in plasma large vWf multimers, presumably by binding large vWf multimers, resulting in their effective removal from the circulation and/or by degrading (platelet-bound) vWf. In patients with myeloproliferative disorders associated with high platelet counts, a decrease in large vWf multimers in plasma may potentially compromise primary hemostasis. Patients with reactive thrombocytosis exhibit a similar reduction in large vWf multimers in plasma, but their clinical course is usually not complicated by bleeding, probably as a consequence of increased circulating vWf levels due to the behavior of vWf as a reactive protein, which compensates for the relatively decreased levels of large vWf multimers in plasma.","['Blood Coagulation Laboratory, Lab. Association Keeser & Arndt, Hamburg, Germany.']",,,,,,,,,,,,,,,
9387041,NLM,MEDLINE,19980205,20201209,0167-6997 (Print) 0167-6997 (Linking),15,3,1997,"Preclinical pharmacokinetic, antitumor and toxicity studies with CI-994 (correction of CL-994) (N-acetyldinaline).",187-94,"['Foster, B J', 'Jones, L', 'Wiegand, R', 'LoRusso, P M', 'Corbett, T H']","['Foster BJ', 'Jones L', 'Wiegand R', 'LoRusso PM', 'Corbett TH']",['eng'],"['Comparative Study', 'Journal Article']",United States,Invest New Drugs,Investigational new drugs,8309330,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Phenylenediamines)', 'RG9G4Z82PY (dinaline)', 'UMF554N5FG (tacedinaline)']",IM,,"['Adenocarcinoma/drug therapy', 'Animals', 'Antineoplastic Agents/*pharmacokinetics/pharmacology/toxicity', 'Area Under Curve', 'Benzamides', 'Blood Cell Count', 'Bone Marrow/drug effects', 'Colonic Neoplasms/drug therapy', 'Drug Screening Assays, Antitumor', 'Female', 'Metabolic Clearance Rate', 'Mice', 'Phenylenediamines/*pharmacokinetics/pharmacology/toxicity']",1997/01/01 00:00,1997/12/05 00:01,['1997/01/01 00:00'],"['1997/01/01 00:00 [pubmed]', '1997/12/05 00:01 [medline]', '1997/01/01 00:00 [entrez]']",['10.1023/a:1005846026398 [doi]'],ppublish,Invest New Drugs. 1997;15(3):187-94. doi: 10.1023/a:1005846026398.,"CI-994, a substituted benzamide derivative, is a compound that showed solid tumor selectivity for a variety of solid tumor models compared to L1210 leukemia. Due to its lack of aqueous solubility, it requires oral administration. Female B6D2F1 mice were treated with CI-994 once daily by oral administration of 50 mg/kg for 14 days. Following treatment mice were evaluated for pharmacodynamic effects as well as the pharmacokinetic behavior of CI-994 and the de-acetylated derivative dinaline. Mice samples (plasma, urine, feces) were analyzed using solid phase extraction, reverse phase HPLC and ultraviolet detection. The plasma distribution and elimination half-lives for CI-994 were 51 minutes and 9.4 hours, respectively, on D-1; 31 minutes and 3.4 hours, respectively on D-14. The apparent plasma distribution and elimination half-lives for dinaline were 27 minutes and 2.4 hours, respectively, on D-1; 40 minutes and 7.3 hours, respectively on D-14. The CI-994 AUC on D-1 and D-14 were 2879 and 2407 micrograms/ml x minutes, respectively; while the dinaline AUC on D-1 and D-14 were 87 and 92 micrograms/ml x minutes, respectively. Urinary excretion for CI-994 and dinaline was higher on D-14, while the fecal excretion was the same on both days. The Colon #38 tumor growth in treated mice was reduced to 22% of that observed in the controls by D-19. The levels of all blood cells were reduced in the treated mice when compared to controls and the total WBC was the most affected (median 38%). Recovery to pretreatment levels occurred quickly following treatment cessation. Phase I evaluation of chronic oral administration of CI-994 is currently ongoing.","['Karmanos Cancer Institute, Wayne State University School of Medicine, Department of Internal Medicine, Detroit, USA.']",,,,,,,,,,,,,,,
