PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,AB,TT,RF,PMC,SI,RIN
6198803,NLM,MEDLINE,19840322,20190714,0042-6822 (Print) 0042-6822 (Linking),132,1,1984 Jan 15,Immunological characterization of the low molecular weight gag gene proteins p19 and p15 of human T-cell leukemia-lymphoma virus (HTLV) and demonstration of human natural antibodies to them.,61-70,"['Kalyanaraman, V S', 'Jarvis-Morar, M', 'Sarngadharan, M G', 'Gallo, R C']","['Kalyanaraman VS', 'Jarvis-Morar M', 'Sarngadharan MG', 'Gallo RC']",['eng'],['Journal Article'],United States,Virology,Virology,0110674,"['0 (Antibodies, Viral)', '0 (Epitopes)', '0 (Gene Products, gag)', '0 (Viral Proteins)']",IM,"['Antibodies, Viral/*analysis', 'Deltaretrovirus/*analysis', 'Electrophoresis, Polyacrylamide Gel', 'Epitopes/analysis', 'Gene Expression Regulation', 'Gene Products, gag', 'Humans', 'Molecular Weight', 'Radioimmunoassay', 'Viral Proteins/genetics/*immunology']",1984/01/15 00:00,1984/01/15 00:01,['1984/01/15 00:00'],"['1984/01/15 00:00 [pubmed]', '1984/01/15 00:01 [medline]', '1984/01/15 00:00 [entrez]']",['10.1016/0042-6822(84)90091-6 [doi]'],ppublish,Virology. 1984 Jan 15;132(1):61-70. doi: 10.1016/0042-6822(84)90091-6.,,"Small molecular weight gag gene proteins p19 and p15 of human T-cell leukemia virus (HTLV) were purified to homogeneity from density banded virus, using differential affinities to phosphocellulose at pH 7.9 and 6.5. Using specific radioimmunoassays, p19 and p15 were shown to band with HTLV on sucrose gradients. These proteins were present only in HTLV-I and in cell lines expressing HTLV-I. They were not expressed in a B-cell line from patient CR, although his T cells were HTLV producers. No significant immunological cross-reactivity was detected between these proteins and HTLV-IIMo. P19 and p15 did not share any common antigenic determinants with each other or with HTLV p24 in competition radioimmunoassays. Sera of HTLV-positive leukemia-lymphoma patients and some of their relatives also had natural antibodies to p19 and p15.",,,,,
6198530,NLM,MEDLINE,19840302,20200724,0022-538X (Print) 0022-538X (Linking),49,2,1984 Feb,Characterization of structural and immunological properties of specific domains of Friend ecotropic and dual-tropic murine leukemia virus gp70s.,452-8,"['Pinter, A', 'Honnen, W J']","['Pinter A', 'Honnen WJ']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (Antigen-Antibody Complex)', '0 (Epitopes)', '0 (Peptide Fragments)', '0 (Viral Envelope Proteins)', 'EC 3.4.21.4 (Trypsin)']",IM,"['Animals', 'Antigen-Antibody Complex', 'Cells, Cultured', 'Epitopes/analysis', 'Friend murine leukemia virus/*genetics', '*Genes', '*Genes, Viral', 'Leukemia Virus, Murine/*genetics', 'Mice', 'Molecular Weight', 'Peptide Fragments/analysis', 'Trypsin', 'Viral Envelope Proteins/*genetics/immunology/isolation & purification']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']",['10.1128/JVI.49.2.452-458.1984 [doi]'],ppublish,J Virol. 1984 Feb;49(2):452-8. doi: 10.1128/JVI.49.2.452-458.1984.,['CA-16599/CA/NCI NIH HHS/United States'],"A detailed comparison of the gp70 proteins of cloned ecotropic Friend murine leukemia virus (FLV) and dual-tropic Friend mink focus-forming virus (FrMCF) was performed by analyzing the structural and immunological properties of amino- and carboxy-terminal domains of these molecules generated upon controlled trypsinization. The two gp70s gave characteristic fragmentation patterns; the amino-terminal fragments of FrMCF gp70 were smaller than the corresponding fragments of FLV and contained a trypsin site which resulted in a 19,000-dalton amino-terminal fragment not observed for FLV, whereas both molecules yielded an identically sized carboxy-terminal fragment. All amino-terminal fragments of both gp70 molecules contained an endo H-sensitive oligosaccharide chain; for FrMCF, a second endo H-sensitive carbohydrate was present as well at a carboxy-terminal site for approximately 50% of the molecules. Several aspects of the disulfide interactions of the two gp70s were conserved; in both cases the carboxy-terminal fragments were disulfide bonded to p15(E), there were no disulfide bonds between amino- and carboxy-terminal fragments, and the amino-terminal fragments exhibited a significant increase in mobility upon analysis by sodium dodecyl sulfate-polyacrylamide gel electrophoresis under nonreducing conditions. Analysis of the immunoreactivity of the different domains of the proteins by immunoprecipitation of the fragments with antisera prepared against xenotropic murine leukemia virus and feline leukemia virus gp70s indicated major differences in antigenicity for the amino-terminal domains of FLV and FrMCF gp70, whereas the carboxy-terminal domains were immunologically conserved. Similar analyses with antibodies specific for p15(E) and Pr15(E) demonstrate that these components are conserved as well. These data provide direct evidence that p15(E) and the C-terminal gp70 domain of FrMCF gp70 are related to the corresponding regions of the ecotropic FLV parent and indicate that the acquisition of MCF-specific properties is due to the replacement of the ecotropic amino-terminal gp70 domain with sequences related to those of xenotropic gp70s.",,,PMC255486,,
6198451,NLM,MEDLINE,19840321,20191210,0022-1317 (Print) 0022-1317 (Linking),65 ( Pt 2),,1984 Feb,Ultrastructural and biochemical evidence that the L929 cell retrovirus lacks the env gene translation product.,295-307,"['Radaelli, A', 'Righi, M', 'Liboi, E', 'De Giuli Morghen, C']","['Radaelli A', 'Righi M', 'Liboi E', 'De Giuli Morghen C']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Gen Virol,The Journal of general virology,0077340,"['0 (Viral Envelope Proteins)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)']",IM,"['Animals', 'Cell Line', 'Fluorescent Antibody Technique', 'Freeze Etching', 'Gammaretrovirus/*genetics/ultrastructure', '*Genes', '*Genes, Viral', 'L Cells/microbiology', 'Mice', 'Microscopy, Electron', '*Protein Biosynthesis', 'RNA-Directed DNA Polymerase/metabolism', 'Viral Envelope Proteins/*genetics']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']",['10.1099/0022-1317-65-2-295 [doi]'],ppublish,J Gen Virol. 1984 Feb;65 ( Pt 2):295-307. doi: 10.1099/0022-1317-65-2-295.,,"LCV, a murine retrovirus released by L929 mouse cell fibroblasts, is non-infectious when inoculated into SC-1, mink, D-17 or Vero cells. Ultrastructural examination by thin sectioning, freeze-etching or negative staining revealed the absence, on the viral envelope, of the radially disposed spikes. Polyacrylamide gel electrophoresis of radiolabelled viral components showed the absence of the glycosylated protein gp70 as well as of the p15E cleavage product of the polyprotein precursor gPr90env. The premature loss of the gp70 molecule from LCV to the culture medium was ruled out since no peak of D-[14C]glucosamine-labelled glycoprotein was detected by affinity chromatography or immunoprecipitation of concentrated medium. The ultrastructural and biochemical results all supported the hypothesis that the absence of infectivity was due to the lack of gp70 glycoprotein in the envelope of LCV. A possible block at a translational or post-translational level was also investigated by immunofluorescence studies with antisera directed against ecotropic or xenotropic gp70; Moloney murine leukaemia virus-infected or NZB cells were used as positive controls for eco- or xenotropic viruses respectively. The absence of fluorescent stain in L929 cells further supported these results and suggested that LCV and the L929 parental cell line lack the uncleaved precursor and the final product of the env gene translation process.",,,,,
6198426,NLM,MEDLINE,19840228,20190508,0022-1007 (Print) 0022-1007 (Linking),159,1,1984 Jan 1,Antigen recognition by H-2-restricted cytolytic T lymphocytes is not mediated by two independent receptors.,330-5,"['Harris, D T', 'MacDonald, H R', 'Cerottini, J C']","['Harris DT', 'MacDonald HR', 'Cerottini JC']",['eng'],['Journal Article'],United States,J Exp Med,The Journal of experimental medicine,2985109R,"['0 (Epitopes)', '0 (H-2 Antigens)', '0 (H-Y Antigen)', '0 (Liposomes)', '0 (Receptors, Antigen, T-Cell)']",IM,"['Animals', 'Cytotoxicity, Immunologic', '*Epitopes', 'Female', 'H-2 Antigens/*genetics/immunology', 'H-Y Antigen/genetics/immunology', 'Liposomes/immunology', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Receptors, Antigen, T-Cell/*physiology', 'T-Lymphocytes, Cytotoxic/*immunology']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1084/jem.159.1.330 [doi]'],ppublish,J Exp Med. 1984 Jan 1;159(1):330-5. doi: 10.1084/jem.159.1.330.,,"Detergent-solubilized murine cytolytic T lymphocytes (CTL) clones were incorporated into Sendai virus-containing synthetic liposomes. When these liposomes were then fused with other CTL clones possessing a different non-cross-reacting specificity, the fusion products were observed to lyse target cells recognized by both parental CTL clones. This method was then used with two H-2-restricted CTL clones of different, non-cross-reacting specificities (anti-H-2b-H-Y or anti-H-2b Moloney leukemia virus). Once again, the fusion products were found to be lytic against both target cells recognized by the parental clones, but in no instance was there any observable lysis of target cells bearing the same nominal antigen in the context of different H-2 molecules. These results provide strong evidence that antigen recognition by H-2-restricted CTL is not mediated by two independent antigen receptors.",,,PMC2187206,,
6198397,NLM,MEDLINE,19840323,20051117,0022-1767 (Print) 0022-1767 (Linking),132,3,1984 Mar,Enhanced TNP-reactive helper T cell activity and its utilization in the induction of amplified tumor immunity that results in tumor regression.,1571-7,"['Fujiwara, H', 'Moriyama, Y', 'Suda, T', 'Tsuchida, T', 'Shearer, G M', 'Hamaoka, T']","['Fujiwara H', 'Moriyama Y', 'Suda T', 'Tsuchida T', 'Shearer GM', 'Hamaoka T']",['eng'],['Journal Article'],United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Epitopes)', '0 (Nitrobenzenes)', '0 (Trinitrobenzenes)']",IM,"['Animals', 'Epitopes', 'Female', 'Immunotherapy', 'Leukemia, Experimental/immunology/*therapy', '*Lymphocyte Activation', 'Lymphocyte Cooperation', 'Mice', 'Mice, Inbred C3H', 'Mice, Inbred C57BL', 'Neoplasm Transplantation', 'Nitrobenzenes/*immunology', 'Plasmacytoma/immunology/*therapy', 'T-Lymphocytes, Cytotoxic/immunology', 'T-Lymphocytes, Helper-Inducer/*immunology', 'T-Lymphocytes, Regulatory/immunology', 'Trinitrobenzenes/administration & dosage/*immunology']",1984/03/01 00:00,1984/03/01 00:01,['1984/03/01 00:00'],"['1984/03/01 00:00 [pubmed]', '1984/03/01 00:01 [medline]', '1984/03/01 00:00 [entrez]']",,ppublish,J Immunol. 1984 Mar;132(3):1571-7.,,"The present study was designed to investigate the generation of trinitrophenyl (TNP)-reactive helper T cell activity potent enough to induce the regression of a syngeneic tumor; this occurs by augmenting antitumor-specific immunity through T-T cell interaction. Mice whose skin was painted with trinitrochlorobenzene (TNCB) exhibited a variety of anti-TNP T cell responses, including delayed-type hypersensitivity (DTH) and cytotoxic T cell responses, as well as helper T cell activity. Pretreatment of C3H/He mice with TNP-conjugated copolymer of D-glutamic acid and lysine (TNP-D-GL) or cyclophosphamide, which have been shown, respectively, to inactivate TNP-specific suppressor T cells or suppressor T cells in general, exhibited a slight or marginal augmentation of DTH and cytotoxic potentials when tested 5 wk after TNCB painting. In contrast, the same pretreatment regimens induced an appreciably amplified generation of anti-TNP helper T cell activity. This amplified TNP-helper T cell activity was demonstrated to enhance cytotoxic responses to antigens other than TNP in an antigen-nonspecific way. In fact, such helper T cells enhanced antitumor CTL responses when co-cultured with spleen cells from syngeneic X5563 plasmacytoma-bearing mice in the presence of TNBS-modified X5563 tumor cells. This amplified TNP-helper cell system was utilized for its immunotherapeutic potential. When TNCB was injected into X5563 tumor mass of syngeneic C3H/He mice in which the amplified TNP-helper T cell activity had been generated, an appreciable number of growing tumors was observed to regress. This contrasted with the low incidence of tumor regression observed in mice in which TNP-helper activity had been induced by TNCB painting without inactivation of suppressors. Thus, the present model provides an effective immunotherapeutic manipulation for eliciting enhanced in vivo tumor regression, and emphasizes a role of helper T cells in augmentation of syngeneic tumor immunity.",,,,,
6198335,NLM,MEDLINE,19840312,20071115,0196-206X (Print) 0196-206X (Linking),4,4,1983 Dec,Language-related skills in children with acute lymphocytic leukemia.,257-61,"['Moehle, K A', 'Berg, R A', ""Ch'ien, L T"", 'Lancaster, W']","['Moehle KA', 'Berg RA', ""Ch'ien LT"", 'Lancaster W']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Dev Behav Pediatr,Journal of developmental and behavioral pediatrics : JDBP,8006933,,IM,"['Achievement', 'Adolescent', 'Aphasia/psychology', 'Child', 'Combined Modality Therapy', 'Humans', 'Language Development Disorders/*psychology', 'Language Disorders/*psychology', 'Leukemia, Lymphoid/*psychology/therapy', 'Neuropsychological Tests']",1983/12/01 00:00,1983/12/01 00:01,['1983/12/01 00:00'],"['1983/12/01 00:00 [pubmed]', '1983/12/01 00:01 [medline]', '1983/12/01 00:00 [entrez]']",,ppublish,J Dev Behav Pediatr. 1983 Dec;4(4):257-61.,['CA 24079/CA/NCI NIH HHS/United States'],"The success of cranial irradiation and chemotherapy in the treatment of acute lymphocytic leukemia (ALL) has raised concerns about possible central nervous system damage in long-term survivors. The current study focused on language-related skill measures obtained as part of a neuropsychological test battery. Performance was analyzed as a function of age at diagnosis and age at evaluation in a sample of 110 children with ALL (mean age = 13.28 years). Results, although for the most part nonsignificant, do reveal significantly poorer performance on an Aphasia Screening Test rating by those diagnosed early (at or before five years of age) and assessed at or before 13 years of age when contrasted with those diagnosed early and assessed after their thirteenth year. Further analysis revealed a significant decline in spelling scores for those off therapy for more than two years. There was also a consistent trend for decline across most language-related skills measures as time off therapy increased. These results reflect either recovery from mild acute language dysfunction over time superimposed on a general trend for decline in language-related skills as time off therapy increases, or sampling error. Suggestions for future lines of investigation are discussed.",,,,,
6198326,NLM,MEDLINE,19840316,20210210,0021-9258 (Print) 0021-9258 (Linking),259,3,1984 Feb 10,Elevated expression of an endogenous retroviral long terminal repeat in a mouse colon tumor.,1842-7,"['Augenlicht, L H', 'Kobrin, D', 'Pavlovec, A', 'Royston, M E']","['Augenlicht LH', 'Kobrin D', 'Pavlovec A', 'Royston ME']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (DNA, Viral)', '0 (RNA, Messenger)', '24937-83-5 (Poly A)', '63231-63-0 (RNA)', '9007-49-2 (DNA)']",IM,"['Animals', '*Cloning, Molecular', 'Colonic Neoplasms/*microbiology', 'DNA/metabolism', 'DNA, Viral/*genetics', 'Female', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Nucleic Acid Hybridization', 'Poly A/*genetics/isolation & purification', 'RNA/*genetics/isolation & purification', 'RNA, Messenger', 'Repetitive Sequences, Nucleic Acid', 'Retroviridae/*genetics', 'Transcription, Genetic']",1984/02/10 00:00,1984/02/10 00:01,['1984/02/10 00:00'],"['1984/02/10 00:00 [pubmed]', '1984/02/10 00:01 [medline]', '1984/02/10 00:00 [entrez]']",['S0021-9258(17)43485-5 [pii]'],ppublish,J Biol Chem. 1984 Feb 10;259(3):1842-7.,"['CA 08748/CA/NCI NIH HHS/United States', 'CA 22367/CA/NCI NIH HHS/United States', 'CA 33383/CA/NCI NIH HHS/United States']","We have previously identified a number of cloned poly(A)+ RNA sequences in a cDNA library, each of whose expression is markedly altered in a dimethylhydrazine-induced mouse colon tumor as compared to the normal colon. Transcripts which hybridize to one of the cloned cDNAs, pMCT-1, have now been shown to be elevated in expression in three mouse leukemia cell lines as well, and induction of differentiation in one of these lines (DS-19) is associated with a substantial decrease in expression of these transcripts. By hybridization and sequence analysis, pMCT-1 has been found to contain a region homologous to a long terminal repeat of an intracisternal A particle sequence. Intracisternal A sequences are endogenous, retroviral genomes repeated several thousandfold and dispersed in the mouse genome. The data show that the transcripts which are homologous to this long terminal repeat are highly heterogeneous, suggesting that many intracisternal type A particle transcriptional units may be expressed in the colon tumor and leukemia cell lines.",,,,['GENBANK/K01235'],
6198249,NLM,MEDLINE,19840228,20061115,0323-4347 (Print) 0323-4347 (Linking),110,5,1983,[Effects of extracorporeal blood irradiation on the lymphocyte population in chronic lymphadenosis].,656-64,"['Heilmann, E', 'Koch, K']","['Heilmann E', 'Koch K']",['ger'],"['English Abstract', 'Journal Article']",Germany,Folia Haematol Int Mag Klin Morphol Blutforsch,"Folia haematologica (Leipzig, Germany : 1928)",0374615,,IM,"['Chronic Disease', 'Humans', 'Leukocyte Count', 'Lymphocytes/*radiation effects', 'Lymphoproliferative Disorders/blood/*radiotherapy']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",,ppublish,Folia Haematol Int Mag Klin Morphol Blutforsch. 1983;110(5):656-64.,,"The surface markers of lymphocytes were detected in 18 patients with chronic lymphatic leukemia (CLL), with 9 of them being treated by means of extracorporeal blood irradiation (ECIB) and 9 of them being without any treatment. We found that B-lymphocytes were eliminated by ECIB to a higher degree than it can be recognized by the decrease of lymphocytes. As to their percentage B-cells with ME-receptors or EAC-receptors respectively were partially diminished to a higher degree than the total population of B-cells. Moreover, the pathological Ig-type could be shown to be affected predominantly. The changes of marker profiles and absolute values achieved by ECIB revealed an approach of values in treated patients to those of untreated patients. The investigations make it clear that the determination of lymphocyte subpopulation can be used not only for diagnosis and differential diagnosis of lymphatic system diseases, also for evaluating therapy effects.",Effekt der extrakorporalen Blutbestrahlung auf die Lymphozytensubpopulation bei chronischer Lymphadenose.,,,,
6198197,NLM,MEDLINE,19840312,20061115,0301-472X (Print) 0301-472X (Linking),11,10,1983 Nov,Fetal hemoglobin analysis of erythroid bursts in patients with chronic myelogenous leukemia (CML).,982-6,"['Strobel, E S', 'Messner, H A', 'Lohr, G W', 'Fauser, A A']","['Strobel ES', 'Messner HA', 'Lohr GW', 'Fauser AA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['11096-26-7 (Erythropoietin)', '9034-63-3 (Fetal Hemoglobin)']",IM,"['Adult', 'Bone Marrow Cells', 'Erythrocytes/*metabolism', 'Erythropoietin/*pharmacology', 'Fetal Hemoglobin/*biosynthesis', 'Hematopoietic Stem Cells/cytology/drug effects/*metabolism', 'Humans', 'Leukemia, Myeloid/*metabolism/pathology']",1983/11/01 00:00,1983/11/01 00:01,['1983/11/01 00:00'],"['1983/11/01 00:00 [pubmed]', '1983/11/01 00:01 [medline]', '1983/11/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1983 Nov;11(10):982-6.,,Early erythroid progenitors (BFUE) form colonies of mature progeny in culture. The development of hemoglobinized red cells within multilineage colonies (CFUGEMM) and erythroid bursts is dependent upon exogenously added erythropoietin and molecules released by hemopoietic subpopulations. Mixed colonies and erythroid bursts were grown from 3 patients with Ph' chronic myelogenous leukemia (CML). It was found that some mixed hemopoietic colonies and erythroid bursts did not require exogenously added erythropoietin. An increase of the plating efficiency of BFUE could be observed when erythropoietin was added. Erythroid bursts grown without added Ep from samples of the patients with chronic myelogenous leukemia have a higher probability to contain HbF than clones grown in the presence of Ep. The data support the view of a phenotypical heterogeneity among clonal descendents of a common ancestor as previously postulated for CML.,,,,,
6198179,NLM,MEDLINE,19840312,20071115,0014-2980 (Print) 0014-2980 (Linking),13,12,1983 Dec,Chromosome assignment of monoclonal antibody-defined determinants on human leukemic cells.,1008-13,"['Katz, F', 'Povey, S', 'Parkar, M', 'Schneider, C', 'Sutherland, R', 'Stanley, K', 'Solomon, E', 'Greaves, M']","['Katz F', 'Povey S', 'Parkar M', 'Schneider C', 'Sutherland R', 'Stanley K', 'Solomon E', 'Greaves M']",['eng'],"['Case Reports', 'Journal Article']",Germany,Eur J Immunol,European journal of immunology,1273201,"['0 (Antibodies, Monoclonal)', '0 (Antigen-Antibody Complex)', '0 (Epitopes)']",IM,"['Animals', '*Antibodies, Monoclonal', 'Antigen-Antibody Complex', 'Child', 'Chromosome Mapping', 'Epitopes/*genetics', 'Female', '*Genes', 'Humans', 'Hybridomas/immunology', 'Karyotyping', 'Leukemia, Lymphoid/*immunology', 'Mice', 'Plasmacytoma']",1983/12/01 00:00,1983/12/01 00:01,['1983/12/01 00:00'],"['1983/12/01 00:00 [pubmed]', '1983/12/01 00:01 [medline]', '1983/12/01 00:00 [entrez]']",['10.1002/eji.1830131211 [doi]'],ppublish,Eur J Immunol. 1983 Dec;13(12):1008-13. doi: 10.1002/eji.1830131211.,,"Hybrids formed between human acute lymphoblastic leukemia (ALL) cells and mouse myeloma have been used to determine the chromosomal location of genes required for the expression of several monoclonal antibody (mAb)-defined cell surface antigens on ALL cells. Cloned hybrids were tested for antibody binding, immunoprecipitation of the relevant protein, chromosome isoenzyme markers and karyotype. Two antigens of those studies could be definitively mapped, OKT10/p45 to chromosome 4 and BA-2/p24 to chromosome 12. mAb BA-2 reacts with the same protein as another mAb designated 609-29 (anti-teratocarcinoma). Reactivity with the latter mAb has been previously shown to segregate with chromosome 12.",,,,,
6198073,NLM,MEDLINE,19840301,20131121,0008-5472 (Print) 0008-5472 (Linking),44,2,1984 Feb,Early decline in c-myb oncogene expression in the differentiation of human myeloblastic leukemia (ML-1) cells induced with 12-O-tetradecanoylphorbol-13-acetate.,442-6,"['Craig, R W', 'Bloch, A']","['Craig RW', 'Bloch A']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Phorbols)', '63231-63-0 (RNA)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Cell Differentiation/drug effects', 'Cell Division/drug effects', 'DNA Replication', 'Electrophoresis, Agar Gel', '*Gene Expression Regulation', 'Humans', 'Leukemia, Myeloid, Acute/*genetics/pathology', 'Nucleic Acid Hybridization', '*Oncogenes', 'Phorbols/*pharmacology', 'RNA/analysis', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Time Factors']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']",,ppublish,Cancer Res. 1984 Feb;44(2):442-6.,['CA12585/CA/NCI NIH HHS/United States'],"The relationship of oncogene expression to proliferation and differentiation has been examined in a line of human myeloblastic leukemia (ML-1) cells. Proliferating leukemic cells were found to express a 4.3-kilobase cellular homologue (c-myb) of the transforming sequence of avian myeloblastosis virus. A rapid decline in the expression of this transcript was seen in cells induced to differentiate with 12-O-tetradecanoylphorbol-13-acetate. The level of c-myb RNA was decreased by greater than 50% as early as 3 hr after 12-O-tetradecanoylphorbol-13-acetate exposure, and at 8 to 72 hr the reduction was greater than or equal to 4-fold. Subsequent to the decrease in oncogene expression at 3 hr, DNA synthesis began to decline; by 24 hr, cell proliferation had ceased. At this time, monocyte- and macrophage-like cells were beginning to emerge. These findings demonstrate that c-myb is expressed during ML-1 cell proliferation and declines prior to the loss of DNA synthesis that accompanies the differentiation process.",,,,,
6198016,NLM,MEDLINE,19840306,20071115,0340-4684 (Print) 0340-4684 (Linking),9,2,1983,Factors involved in cell adhesion to vascular endothelium.,221-34,"['Wautier, J L', 'Wautier, M P', 'Pintigny, D', 'Galacteros, F', 'Courillon, A', 'Passa, P', 'Caen, J P']","['Wautier JL', 'Wautier MP', 'Pintigny D', 'Galacteros F', 'Courillon A', 'Passa P', 'Caen JP']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood Cells,Blood cells,7513567,"['0 (Culture Media)', '0 (Fibronectins)', '0 (gamma-Globulins)', '9001-32-5 (Fibrinogen)']",IM,"['Anemia, Sickle Cell/blood', '*Cell Adhesion', '*Cell Communication', 'Cells, Cultured', 'Culture Media', 'Diabetes Mellitus/blood', 'Endothelium', 'Erythrocytes/*physiology', 'Fibrinogen/pharmacology', 'Fibronectins/pharmacology', 'Granulocytes/*physiology', 'Hematopoietic Stem Cells/*physiology', 'Humans', 'Leukemia, Myeloid, Acute/pathology', 'Umbilical Veins', 'gamma-Globulins/pharmacology']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1983;9(2):221-34.,,"The adhesion of blood cells to endothelium can be studied in vitro using human endothelial cells in culture. This experimental model and radiometric techniques provide us with a simple system to quantify the adhesion of blood cells to endothelium. Normal human granulocytes isolated by density gradient adhere to normal endothelial cells in a proportion of 25%. Human promyelocytic cells (HL 60) induced by retinoic acid into mature cells adhere as well as normal granulocytes while the noninduced adhere poorly to endothelium. A small percentage of normal red cells attach to endothelial cells while red cells from patients with sickle cell anemia or diabetes mellitus have a significantly increased adhesion to endothelial cells (P greater than 0.001). This adhesion is statistically correlated with the extent and severity of vascular complications in diabetes mellitus (P less than 0.05). The addition of fibrinogen significantly increased (P less than 0.01) the adhesion of normal red cells, red cells from patients with sickle cell anemia or diabetes mellitus while gamma-globulins did not modify adhesion. Fibronectin potentiated the adhesion of normal red cells.",,,,,
6198015,NLM,MEDLINE,19840321,20061115,0340-4684 (Print) 0340-4684 (Linking),7,1,1981,Embryonic and fetal hemoglobin synthesis in K562 cell line.,165-76,"['Guerrasio, A', 'Vainchenker, W', 'Breton-Gorius, J', 'Testa, U', 'Rosa, R', 'Thomopoulos, P', 'Titeux, M', 'Guichard, J', 'Beuzard, Y']","['Guerrasio A', 'Vainchenker W', 'Breton-Gorius J', 'Testa U', 'Rosa R', 'Thomopoulos P', 'Titeux M', 'Guichard J', 'Beuzard Y']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood Cells,Blood cells,7513567,"['0 (Butyrates)', '9034-63-3 (Fetal Hemoglobin)']",IM,"['Butyrates/pharmacology', 'Cell Differentiation', 'Cell Line', 'Fetal Hemoglobin/*biosynthesis', 'Humans', 'Leukemia, Myeloid/*metabolism']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1981;7(1):165-76.,,"K562 cell line was grown in liquid suspension and in plasma clot cultures. Morphological studies revealed the presence of a minority of cells, which were identified as erythroblasts. However, the majority of the cells remained unidentified. Biochemical studies confirmed the synthesis of hemoglobin by K562 cells. The pattern of hemoglobin (Hb) production was of the embryonic type, with the presence of small amount of fetal Hb. The addition of several inducers, like Epo and butyrate, was unable to modify the pattern of Hb production of K562. In contrast, the addition of hemin increased the synthesis of Hb and stimulated the synthesis of fetal Hb and probably adult Hb.",,,,,
