PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,PMC,TT,OID,RF,PS,FPS,GN
1108142,NLM,MEDLINE,19760305,20081121,0034-9887 (Print) 0034-9887 (Linking),103,11,1975 Nov,[Brill symmers disease with blastic (author's transl)].,759-63,"['Roizen, Z', 'Rohmann, I']","['Roizen Z', 'Rohmann I']",['spa'],"['Case Reports', 'English Abstract', 'Journal Article']",Chile,Rev Med Chil,Revista medica de Chile,0404312,,IM,"['Adult', 'Aged', 'Biopsy', 'Humans', 'Leukemia, Lymphoid/*complications/pathology', 'Lymph Nodes/pathology', 'Lymphoma, Follicular/*complications/pathology', 'Male', 'Palatine Tonsil/pathology']",1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']",,ppublish,Rev Med Chil. 1975 Nov;103(11):759-63.,,,Enfermedad de Brill Symmers con diseminacion blastica en sangre periferica,,,,,
1108102,NLM,MEDLINE,19760318,20071115,0376-6748 (Print) 0376-6748 (Linking),44,5,1975,Total body irradiation in the management of malignant lymphoma.,457-63,"['Kazem, I']",['Kazem I'],['eng'],['Journal Article'],Switzerland,Radiol Clin (Basel),Radiologia clinica,7513002,['0 (Cobalt Radioisotopes)'],IM,"['Aged', 'Cobalt Radioisotopes/*therapeutic use', 'Dose-Response Relationship, Radiation', 'Female', 'Humans', 'Leukemia, Lymphoid/radiotherapy', 'Lymphoma/*radiotherapy', 'Lymphoma, Large B-Cell, Diffuse/radiotherapy', 'Lymphoma, Non-Hodgkin/radiotherapy', 'Male', 'Middle Aged', 'Mycosis Fungoides/radiotherapy', '*Radioisotope Teletherapy', 'Radiotherapy Dosage']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",,ppublish,Radiol Clin (Basel). 1975;44(5):457-63.,"A pilot study for the evaluation of fractionated total body irradiation in the management of disseminated lymphomas is reported. Nine patients were treated in the period February - August, 1973. A telecobalt unit with treatment distance of 328 cm was used. Daily fractions of 15 rad total body dose measured in the midpelvic plane were given for the first 5 days. Thereafter a dose of 10--15 rad per session was given every other day or at longer intervals depending on the leukocyte and thrombocyte count. The total dose for a full course varied between 200 and 265 rad in 5--12 weeks. The results of the study demonstrate the value of total body irradiation in the treatment of patients with stage III lymphosarcoma, and potentially in the management of disseminated mycosis fungoidis.",,,,,,,
1108012,NLM,MEDLINE,19760330,20190501,0027-8424 (Print) 0027-8424 (Linking),72,12,1975 Dec,Functional interactions of viral and histocompatibility antigens at tumor cell surfaces.,5066-70,"['Schrader, J W', 'Cunningham, B A', 'Edelman, G M']","['Schrader JW', 'Cunningham BA', 'Edelman GM']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Antigens, Viral)', '0 (HLA Antigens)', '0 (Histocompatibility Antigens)', '0 (Isoantigens)']",IM,"['Animals', '*Antigens, Viral', 'B-Lymphocytes/immunology', 'Binding Sites, Antibody', 'Cell Line', '*HLA Antigens', '*Histocompatibility Antigens', 'Isoantigens', 'Mice', 'Mice, Inbred BALB C', 'Microscopy, Fluorescence', 'Microscopy, Phase-Contrast', 'Neoplasms, Experimental/*immunology/pathology', 'Rauscher Virus/immunology']",1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",['10.1073/pnas.72.12.5066 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1975 Dec;72(12):5066-70. doi: 10.1073/pnas.72.12.5066.,"Several lines of evidence are presented to suggest that histocompatibility antigens can be physically associated on the cell surface with viral antigens and possibly other foreign antigens. The lysis of the murine tumor cells EL4 and P388 by syngeneic cytotoxic lymphocytes was inhibited by antisera directed against the H-2 antigens on the tumor cells, consistent with the hypothesis that H-2 antigens are part of the target of the cytotoxic lymphocytes. Moreover, it was found that patching and capping of the H-2 antigens on EL4 cells resulted in the co-patching and co-capping of viral antigens as detected by antisera against Rauscher leukemia virus. Capping of H-2 antigens also resulted in co-capping of determinants detected by an antiserum to the viral protein gp69/71. On the basis of these and other observations, we propose the hypothesis that the H-2 molecules serve as adaptors that combine with viral antigens on the cell surface to form hybrid antigens containing elements of self (H-2) and non-self (virus). The adaptor-antigen complex may then be recognized by a subclass of thymus-derived (T) lymphocytes that possesses a repertoire of receptors directed against hybirds of foreign and H-2 antigens. This raises the possibility that other products of the major histocompatibility complex may have analogous functions.",PMC388876,,,,,,
1107966,NLM,MEDLINE,19760311,20170306,,54,6,1975 Dec,[Preleukemia].,571-6,"['Judkiewicz, L', 'Polkowska-Kulesza, E', 'Krauze-Jaworska, H']","['Judkiewicz L', 'Polkowska-Kulesza E', 'Krauze-Jaworska H']",['pol'],"['Journal Article', 'Review']",Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,['EC 2.7.7.- (DNA Nucleotidyltransferases)'],IM,"['Chromosome Aberrations', 'Chromosomes, Human, 21-22 and Y', 'DNA Nucleotidyltransferases/metabolism', 'Humans', '*Leukemia/pathology', 'Leukemia, Monocytic, Acute/blood', 'Leukemia, Myeloid/blood', 'Leukemia, Myeloid, Acute/blood', 'Terminology as Topic']",1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",,ppublish,Pol Arch Med Wewn. 1975 Dec;54(6):571-6.,,,Preleukemia,,36,,,
1107782,NLM,MEDLINE,19760402,20070813,0025-8458 (Print) 0025-8458 (Linking),70,49,1975 Dec 5,[The uncertainty of the concept of preleukemia].,2009-13,"['Fischer, W', 'Folsch, E']","['Fischer W', 'Folsch E']",['ger'],"['Journal Article', 'Review']",Germany,Med Klin,Medizinische Klinik,0376637,,IM,"['Bone Marrow/pathology', 'Bone Marrow Cells', 'Humans', 'Leukemia/blood/*diagnosis/pathology', 'Leukemoid Reaction/blood/complications/diagnosis', 'Prognosis']",1975/12/05 00:00,2000/03/22 00:00,['1975/12/05 00:00'],"['1975/12/05 00:00 [pubmed]', '2000/03/22 00:00 [medline]', '1975/12/05 00:00 [entrez]']",,ppublish,Med Klin. 1975 Dec 5;70(49):2009-13.,,,Zur Problematik des Begriffs Praleukamie,,66,,,
1107576,NLM,MEDLINE,19760311,20211203,0027-8874 (Print) 0027-8874 (Linking),55,6,1975 Dec,Reversal of leukemia virus-induced immunosuppression in vitro by peritoneal macrophages.,1425-32,"['Bendinelli, M', 'Kaplan, G S', 'Friedman, H']","['Bendinelli M', 'Kaplan GS', 'Friedman H']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,['0 (Lipopolysaccharides)'],IM,"['Animals', 'Antibody-Producing Cells/immunology', 'Ascitic Fluid/cytology', 'Bone Marrow/immunology', 'Bone Marrow Cells', 'Cell Separation', 'Cells, Cultured', 'Friend murine leukemia virus/*immunology/isolation & purification', 'Hemolytic Plaque Technique', '*Immunosuppression Therapy', 'Lipopolysaccharides/immunology', 'Macrophages/immunology', 'Male', 'Mice', 'Mice, Inbred BALB C/immunology', 'Spleen/*immunology/microbiology', 'Thymus Gland/cytology']",1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",['10.1093/jnci/55.6.1425 [doi]'],ppublish,J Natl Cancer Inst. 1975 Dec;55(6):1425-32. doi: 10.1093/jnci/55.6.1425.,"When spleen cells from mice infected with Rowson-Parr virus (RPV) were cultivated with sheep red blood cells (SRBC), antibody plaque responses were markedly lower than those in similarly cultivated spleen cells from normal mice. Addition of as few as 10(3) spleen cells from RPV-infected mice to cultures of normal aplenocytes markedly depressed the expected immune response. Although RPV-infected mice showed maximum immunodpression in vivo only during the first week after infection, their spleen cells, obtained later in the course of infection, depressed the immunologic responsiveness of normal splenocytes in vitro. Increased doses of SRBC or addition of bacterial lipopolysaccharide to cultures of spleen cells from immunodepressed, RPV-infected mice stimulated antibody formation, and near-normal numbers of antibody-producing cells were evident. Peritoneal exudate (PE) cells, but not thymus, bone marrow, or unfractioned spleen cells, restored immunocompetence to cultures of spleen cells from RPV-infected mice but did not affect the suppressive properties of the infected cells on normal splenocytes. The function of PE cell macrophages in restoring immunocompetence to infected spleen cells in cultures seemed related to a possible antigen-focusing activity of the cells; antibody-producing cell precursors in infected cultures seemed to be preferentially affected by the presence of normal PE cells.",,,,,,,
1107575,NLM,MEDLINE,19760311,20190509,0027-8874 (Print) 0027-8874 (Linking),55,6,1975 Dec,Suppression of an AKR lymphoma by antibody and chlorambucil.,1353-7,"['Ghose, T', 'Guclu, A', 'Tai, J']","['Ghose T', 'Guclu A', 'Tai J']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antibodies, Neoplasm)', '18D0SL7309 (Chlorambucil)']",IM,"['Animals', '*Antibodies, Neoplasm', 'Chlorambucil/administration & dosage/*therapeutic use', 'Female', 'Fluorescent Antibody Technique', '*Immunization, Passive', 'In Vitro Techniques', 'Leukemia/epidemiology', 'Lymphoma/immunology/*therapy', 'Mice', 'Mice, Inbred AKR', 'Neoplasms, Experimental/immunology/therapy', 'Rabbits', 'Thymoma/epidemiology', 'Time Factors']",1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",['10.1093/jnci/55.6.1353 [doi]'],ppublish,J Natl Cancer Inst. 1975 Dec;55(6):1353-7. doi: 10.1093/jnci/55.6.1353.,A cell-surface localizing xenogeneic antibody against an AKR mouse lymphoma of spontaneous origin could be bound to chlorambucil without interference with either the alkylating activity of chlorambucil or the immunologic reactivity of the antibody. Exposure of the lymphoma cells to chlorambucil-bound antibody caused greater tumor inhibition both in vitro and vivo than did the synergistic effect of exposure seperately to the antibody and chlorambucil.,,,,,,,
1107571,NLM,MEDLINE,19760311,20190509,0027-8874 (Print) 0027-8874 (Linking),55,6,1975 Dec,Leukemia-associated antigens in man.,1281-9,"['Brown, G', 'Capellaro, D', 'Greaves, M']","['Brown G', 'Capellaro D', 'Greaves M']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antigens, Neoplasm)']",IM,"['Absorption', 'Adolescent', 'Adult', 'Antibody Specificity', '*Antigens, Neoplasm/analysis', 'B-Lymphocytes/immunology', 'Bone Marrow/immunology', 'Bone Marrow Cells', 'Cell Separation', 'Child', 'Cross Reactions', 'Fluorescent Antibody Technique', 'Hematopoietic Stem Cells/immunology', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Liver/embryology/immunology', 'Palatine Tonsil/immunology', 'Remission, Spontaneous', 'T-Lymphocytes/immunology']",1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",['10.1093/jnci/55.6.1281 [doi]'],ppublish,J Natl Cancer Inst. 1975 Dec;55(6):1281-9. doi: 10.1093/jnci/55.6.1281.,"Rabbit antisera raised against acute lymphoblastic leukemia (ALL) cells were used to distinguish ALL from other leukemias, to identify rare leukemia cells in the bone marrow of patients in remission, and to define human leukemia-associated antigens. Antibody binding was studied with the use of immunofluorescence reagents and the analytic capacity of the Fluorescence Activated Cell Sorter-1 (FACS-1). The results indicated that most non-T-cell ALL have three leukemia-associated antigens on their surface which are absent from normal lymphoid cells: 1) an antigen shared with myelocytes, myeloblastic leukemia cells, and fetal liver (hematopoietic) cells; 2) an antigen shared with a subset of intermediate normoblasts in normal bone marrow and fetal liver; and 3) an antigen found thus far only on non-T-cell ALL and in some acute undifferentiated leukemias, which we therefore regard as a strong candidate for a leukemia-specific antigen. These antigens are absent from a subgroup of ALL patients in which the lymphoblasta express T-cell surface markers. Preliminary studies on the bone marrow samples of patients in remission indicated that rare leukemia cells were present in some samples. The implications of these findings with respect to the heterogeneity and cell origin(s) of ALL, its diagnosis, and its potential monitoring during treatment were discussed.",,,,,,,
1107570,NLM,MEDLINE,19760311,20190509,0027-8874 (Print) 0027-8874 (Linking),55,6,1975 Dec,Adriamycin-a review.,1265-74,"['Carter, S K']",['Carter SK'],['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,['80168379AG (Doxorubicin)'],IM,"['Adenocarcinoma/drug therapy', 'Animals', 'Breast Neoplasms/drug therapy', 'Carcinoma, Bronchogenic/drug therapy', 'Doxorubicin/administration & dosage/adverse effects/analogs & derivatives/metabolism/pharmacology/*therapeutic use', 'Drug Evaluation', 'Drug Evaluation, Preclinical', 'Drug Therapy, Combination', 'Heart Failure/chemically induced', 'Hodgkin Disease/drug therapy', 'Humans', 'Immunity/drug effects', 'Leukemia, Lymphoid/drug therapy', 'Lymphoma, Large B-Cell, Diffuse/drug therapy', 'Lymphoma, Non-Hodgkin/drug therapy', 'Mice', 'Mice, Inbred Strains', 'Mitosis/drug effects', 'Neoplasm Metastasis/drug therapy', 'Neoplasms/*drug therapy', 'Neoplasms, Experimental/drug therapy', 'Neuroblastoma/drug therapy', 'Osteosarcoma/drug therapy', 'Sarcoma/drug therapy', 'Thyroid Neoplasms/drug therapy', 'Urinary Bladder Neoplasms/drug therapy']",1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",['10.1093/jnci/55.6.1265 [doi]'],ppublish,J Natl Cancer Inst. 1975 Dec;55(6):1265-74. doi: 10.1093/jnci/55.6.1265.,,,,,,,,
1107569,NLM,MEDLINE,19760315,20190509,0027-8874 (Print) 0027-8874 (Linking),55,5,1975 Nov,"Granulopoiesis in ""preleukemic"" mice with anemia induced by Rauscher leukemia virus, variant a.",1123-7,"['Broxmeyer, H E', 'Koltun, L', 'LoBue, J', 'Fredrickson, T N', 'Gordon, A S']","['Broxmeyer HE', 'Koltun L', 'LoBue J', 'Fredrickson TN', 'Gordon AS']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,['0 (Endotoxins)'],IM,"['Anemia/blood/*etiology', 'Animals', 'Bone Marrow Cells', 'Endotoxins/pharmacology', 'Erythropoiesis', 'Escherichia coli', '*Granulocytes', 'Hematocrit', '*Hematopoiesis', '*Leukocytes', 'Mice', 'Mice, Inbred BALB C', '*Rauscher Virus', 'Splenomegaly/etiology', 'Tumor Virus Infections/blood']",1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']",['10.1093/jnci/55.5.1123 [doi]'],ppublish,J Natl Cancer Inst. 1975 Nov;55(5):1123-7. doi: 10.1093/jnci/55.5.1123.,"To understand further the hematopoietic dyscrasias induced by a variant (a) of Rauscher leukemia virus (RLV), we used Escherichia coli endotoxin to stress the hematopoietic system of control and RLV/a-infected BALB/c mice. During the preleukemic stages of virus infection, there was slight splenomegaly without peripheral blood erythroblastosis. Granulocyte release and tissue mobilization mechanisms appeared unaffected by the RLV/a infection. Both RLV/a-infected and control mice reacted to endotoxin with peripheral granulocytosis and peritoneal granulocyte mobilization, though the circulating granulocyte levels in RLV/a-treated mice initially were lower than those in controls. Spleen of RLV/a-infected animals were larger than those of controls, but both responded to endotoxin with elevated numbers of granulocytes and erythroblasts. Since numbers of bone marrow erythroblasts in both groups of mice were decreased after endotoxin, stem cell competition and/or shunting of stem cells from marrow to spleen may have been involved. Endotoxin also induced rapid falls in hematocrit levels in both groups. These studies suggested that RLV/a-infected mice can be a model to study 1) erythropoietic dysfunction uncomplicated by defective granulopoietic release and tissue mobilization control mechanisms, and 2) progression of evolving granulocytic leukemia.",,,,,,,
1107266,NLM,MEDLINE,19760402,20031114,0021-2180 (Print) 0021-2180 (Linking),11,11,1975 Nov,Proceedings: Immunofluorescent detection of Kaplan lymphatic leukemia virus induction after fractionated x-irradiation of B-6 mice.,1210,"['Haas, M']",['Haas M'],['eng'],['Journal Article'],Israel,Isr J Med Sci,Israel journal of medical sciences,0013105,,IM,"['Animals', 'Fluorescent Antibody Technique', 'Mice', '*Radiation Effects', 'Retroviridae/isolation & purification/*radiation effects', 'Virus Replication', 'X-Rays']",1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']",,ppublish,Isr J Med Sci. 1975 Nov;11(11):1210.,,,,,,,,
1107247,NLM,MEDLINE,19760324,20191028,0074-7742 (Print) 0074-7742 (Linking),18,,1975,Biological transmethylation involving S-adenosylmethionine: development of assay methods and implications for neuropsychiatry.,41-67,"['Baldessarini, R J']",['Baldessarini RJ'],['eng'],"['Journal Article', 'Review']",United States,Int Rev Neurobiol,International review of neurobiology,0374740,"['0 (Monoamine Oxidase Inhibitors)', '0 (Tetrahydrofolates)', '01Y4A2QXY0 (Pyrogallol)', '333DO1RDJY (Serotonin)', '46627O600J (Levodopa)', '7LP2MPO46S (S-Adenosylmethionine)', '820484N8I3 (Histamine)', 'AE28F7PNPL (Methionine)', 'EC 2.1.1.- (Methyltransferases)', 'EC 2.1.1.4 (Acetylserotonin O-Methyltransferase)', 'EC 2.5.1.6 (Methionine Adenosyltransferase)', 'N21FAR7B4S (Apomorphine)']",IM,"['Acetylserotonin O-Methyltransferase/metabolism', 'Animals', 'Apomorphine/pharmacology', 'Blood Platelets/metabolism', 'Brain/drug effects/metabolism', 'Histamine/metabolism', 'Humans', 'Leukemia/metabolism', 'Levodopa/metabolism/pharmacology', 'Methionine/metabolism/pharmacology', 'Methionine Adenosyltransferase/metabolism', 'Methyltransferases/*metabolism', 'Monoamine Oxidase Inhibitors/pharmacology', 'Pyrogallol/metabolism', 'Rabbits', 'Rats', 'S-Adenosylmethionine/*metabolism', 'Schizophrenia/blood/*metabolism', 'Serotonin/metabolism', 'Tetrahydrofolates/metabolism']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",['10.1016/s0074-7742(08)60033-1 [doi]'],ppublish,Int Rev Neurobiol. 1975;18:41-67. doi: 10.1016/s0074-7742(08)60033-1.,,,,,119,,,
1106990,NLM,MEDLINE,19760315,20070724,0341-6593 (Print) 0341-6593 (Linking),82,12,1975 Dec 5,[Leukemic tumor the size of a child's head on the udder of a cow].,498,,,['ger'],['Journal Article'],Germany,Dtsch Tierarztl Wochenschr,DTW. Deutsche tierarztliche Wochenschrift,7706565,,IM,"['Animals', 'Cattle', '*Cattle Diseases', 'Female', 'Leukemia/*veterinary', '*Mammary Glands, Animal']",1975/12/05 00:00,1975/12/05 00:01,['1975/12/05 00:00'],"['1975/12/05 00:00 [pubmed]', '1975/12/05 00:01 [medline]', '1975/12/05 00:00 [entrez]']",,ppublish,Dtsch Tierarztl Wochenschr. 1975 Dec 5;82(12):498.,,,Kindskopfgrosse Leukose-Geschwulst am Euterspiegel einer Kuh,,,,,
1106917,NLM,MEDLINE,19760330,20181113,0009-9104 (Print) 0009-9104 (Linking),20,1,1975 Apr,Clinical applications of the continuous flow blood separator machine.,1-16,"['Oon, C J', 'Hobbs, J R']","['Oon CJ', 'Hobbs JR']",['eng'],"['Journal Article', 'Review']",England,Clin Exp Immunol,Clinical and experimental immunology,0057202,"['0 (Antibodies)', '0 (Antigen-Antibody Complex)', '0 (Autoantibodies)', '0 (Transfer Factor)', '9005-49-6 (Heparin)']",IM,"['Adult', 'Agammaglobulinemia/therapy', 'Aged', 'Anemia, Hemolytic, Autoimmune/therapy', 'Antibodies', 'Antigen-Antibody Complex', 'Arrhythmias, Cardiac/etiology', 'Autoantibodies', '*Blood', 'Blood Platelets', '*Cell Separation/instrumentation', 'Centrifugation/instrumentation', 'Erythrocytes', 'Exchange Transfusion, Whole Blood', 'Female', 'Granulocytes', 'Heart Failure/etiology', 'Heparin/therapeutic use', 'Humans', 'Hypocalcemia/etiology', 'Hypotension/etiology', 'Leukemia/therapy', 'Leukocytes', 'Liver Diseases/therapy', 'Male', 'Middle Aged', 'Neoplasms/therapy', 'Neuroblastoma/therapy', 'Paraproteinemias/therapy', 'Plasmapheresis', 'Syncope/etiology', 'Transfer Factor']",1975/04/01 00:00,1975/04/01 00:01,['1975/04/01 00:00'],"['1975/04/01 00:00 [pubmed]', '1975/04/01 00:01 [medline]', '1975/04/01 00:00 [entrez]']",,ppublish,Clin Exp Immunol. 1975 Apr;20(1):1-16.,"The NCl/IBM or Aminco Continuous Flow Blood Separator Machine is a safe apparatus for the selective removal or exchange of either packed red blood cells, leucocyte-rich or platelet-rich layers or plasma. Abnormal fractions from any of these layers may be collected and discarded. Normal constituents may be collected for therapeutic uses. The wide scope of its applications includes important uses in clinical immunology: temporary provision of good leucocytes or platelets; harvesting of immune leucocytes (preparation of transfer factor at up to 10 units per harvest); removal of cryo- or macro-globulins, immune complexes or blocking factors; replacement therapy for antibody or complement deficiencies. Examples are given of such uses together with some of the medical problems so far encountered.",PMC1538178,,,36,,,
1106848,NLM,MEDLINE,19760311,20160630,0069-0112 (Print) 0069-0112 (Linking),59,5,1975 Sep-Oct,Dibromodulcitol (NSC-104800) compared with cyclophosphamide (NSC-26271) as remission maintenance therapy in previously treated children with acute lymphoblastic leukemia or acute undifferentiated leukemia: possible effectiveness in reducing the incidence of central nervous system leukemia.,989-94,"['Sitarz, A L', 'Albo, V', 'Movassaghi, N', 'Karon, M', 'Hammond, D', 'Weiner, J', 'Reed, A']","['Sitarz AL', 'Albo V', 'Movassaghi N', 'Karon M', 'Hammond D', 'Weiner J', 'Reed A']",['eng'],"['Clinical Trial', 'Comparative Study', 'Controlled Clinical Trial', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Chemother Rep,Cancer chemotherapy reports,7607105,"['5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'LJ2P1SIK8Y (Mitolactol)', 'VB0R961HZT (Prednisone)']",IM,"['Blood Cell Count', 'Central Nervous System Diseases/etiology/*prevention & control', 'Child', 'Clinical Trials as Topic', 'Cyclophosphamide/*therapeutic use', 'Humans', 'Leukemia/complications/*drug therapy', 'Leukemia, Lymphoid/complications', 'Mitolactol/*therapeutic use', 'Prednisone/therapeutic use', 'Remission, Spontaneous', 'Vincristine/therapeutic use']",1975/09/01 00:00,1975/09/01 00:01,['1975/09/01 00:00'],"['1975/09/01 00:00 [pubmed]', '1975/09/01 00:01 [medline]', '1975/09/01 00:00 [entrez]']",,ppublish,Cancer Chemother Rep. 1975 Sep-Oct;59(5):989-94.,"Dibromodulcitol and cyclophosphamide are both alkylating agents. In this study, these two drugs were compared for their effectiveness as remission maintenance therapy for childhood acute lymphoblastic leukemia or acute undifferentiated leukemia. Toxic effects were similar in both groups of patients although cystitis did not occur with the dibromodulcitol treatment. The duration of remission was slightly shorter for dibromodulcitol than for cyclophosphamide (P = 0.04). There was, however, a lower incidence of CNS leukemia in the patients treated with dibromodulcitol, which did not seem to be related to a basic difference in the patient groups.",,,,,,,
1106840,NLM,MEDLINE,19760330,20160630,0069-0112 (Print) 0069-0112 (Linking),59,3,1975 May-Jun,Review of the current clinical status of platinum coordination complexes in cancer chemotherapy.,621-8,"['Gottlieb, J A', 'Drewinko, B']","['Gottlieb JA', 'Drewinko B']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Cancer Chemother Rep,Cancer chemotherapy reports,7607105,"['0 (Antineoplastic Agents)', 'Q20Q21Q62J (Cisplatin)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Cisplatin/administration & dosage/adverse effects/*therapeutic use', 'Colonic Neoplasms/drug therapy', 'Deafness/chemically induced', 'Drug Evaluation', 'Drug Synergism', 'Feeding and Eating Disorders/chemically induced', 'Humans', 'Kidney/drug effects', 'Leukemia, Myeloid, Acute/drug therapy', 'Leukopenia/chemically induced', 'Male', 'Nausea/chemically induced', 'Testicular Neoplasms/drug therapy']",1975/05/01 00:00,1975/05/01 00:01,['1975/05/01 00:00'],"['1975/05/01 00:00 [pubmed]', '1975/05/01 00:01 [medline]', '1975/05/01 00:00 [entrez]']",,ppublish,Cancer Chemother Rep. 1975 May-Jun;59(3):621-8.,"During the past 3 years, eight hospitals and one cooperative study group have reported their initial clinical results with cis-dichlorodiammineplatinum (II). The most popular clinical schedule was 15-25 mg/m2/day for 5 days repeated every 3-4 weeks. Almost all patients had extremely advanced disease. Of 323 patients in whom response could be evaluated, there were 12 complete responses, 25 partial responses (greater than 50% decrease in tumor size), and 23 improvements (greater than 50% decrease in tumor size) for a 19% overall response rate. The tumor most sensitive to cis-dichlorodiammineplatinum (II) was testicular carcinoma in which seven complete responses, three partial responses, and three improvements were observed in 16 patients treated at Roswell Park Memorial Institute. Other sensitive tumors were lymphoma (63% response and improvements), squamous cell carcinoma of the head and neck (41% response and imporvements), and ovarian carcinoma (40% response and improvements). Complete responses were also seen in one patient with thyroid carcinoma and two with bladder carcinoma, while partial remissions were recorded in two patients with breast carcinoma and one patient each with acute myelogenous leukemia, endometrial carcinoma, renal carcinoma, malignant thymoma, neuroblastoma, adenocarcinoma of the lung, and an undifferentiated tumor of unknown origin. Five major types of toxicity were encountered: gastrointestinal, hematopoietic, immunosuppressive, otologic, and renal, with the last two generally the most serious. Serial audiometry testing can generally warn of the otologic toxicity and thus prevent permanent acoustic damage. Renal toxicity, which is similar to that seen with heavy-metal poisoning, appears to be dose related, cumulative, and only partly reversible, thus, severely limiting the repeated administration of cis-dichlorodiammineplatinum (II). Recent laboratory studies suggest that combination chemotherapy with this drug may be rewarding. Studies of this nature should be pursued along with attempts to find more effective less toxic platinum compounds.",,,,29,,,
