PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,CON,GR,CIN,PMC,TT,SI,OTO,OT,IR,FIR,IRAD,EIN,OID,GN,PS,FPS,CN,LID
9233781,NLM,MEDLINE,19970819,20161124,0950-9232 (Print) 0950-9232 (Linking),15,1,1997 Jul 3,In vivo evidence for binding of p53 to consensus binding sites in the p21 and GADD45 genes in response to ionizing radiation.,87-99,"The tumor suppressor protein p53 has a transcriptional activation activity thought to mediate its biologic function including G1 arrest and perhaps apoptosis. To learn more about p53's transactivator function in vivo, we performed genomic footprinting experiments examining p53-DNA interactions in the regulatory regions of the p53-regulated genes p21, GADD45, and MDM2. Using ionizing radiation to induce DNA damage in human ML-1 myeloblastic leukemia cells, the promoter and intronic regions of these genes containing p53-consensus binding sites were examined for in vivo footprints. There was a uniform and sustained expression of p53 protein as well as a strong induction of p21, GADD45, and MDM2 mRNA following irradiation. At the two p53 consensus binding sites in the p21 promoter, reduced DNaseI cleavage was observed in irradiated cells beginning 1 to 2h after irradiation, being most pronounced after 2 h and diminishing after 8 h. A partial in vivo footprint was also observed in the third intron of the GADD45 gene beginning 2 h after irradiation. No in vivo footprints were seen at the two p53 binding sites in the MDM2 gene. Our study provides direct evidence that the DNA damage-induced activity of p53 is mediated by its consensus DNA binding sites in the p21 and GADD45 genes. We suggest that the transient nature and relative instability of p53-DNA interactions in vivo may make the p53 protein more accessible to a rapid turnover pathway which might be impaired under conditions when the protein is stably bound to DNA.","['Chin, P L', 'Momand, J', 'Pfeifer, G P']","['Chin PL', 'Momand J', 'Pfeifer GP']","['City of Hope National Medical Center, Department of Biology, Duarte, California 91010, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Oncogene,Oncogene,8711562,"['0 (GADD45 protein)', '0 (Intracellular Signaling Peptides and Proteins)', '0 (Neoplasm Proteins)', '0 (Nuclear Proteins)', '0 (Proteins)', '0 (Proto-Oncogene Proteins)', '0 (Tumor Suppressor Protein p53)', 'EC 2.3.2.27 (MDM2 protein, human)', 'EC 2.3.2.27 (Proto-Oncogene Proteins c-mdm2)', 'EC 3.6.5.2 (HRAS protein, human)', 'EC 3.6.5.2 (Proto-Oncogene Proteins p21(ras))']",IM,"['Binding Sites', '*Consensus Sequence', 'DNA Damage', 'DNA Footprinting', 'Humans', 'Intracellular Signaling Peptides and Proteins', 'Leukemia, Myeloid, Acute', 'Neoplasm Proteins/genetics', '*Nuclear Proteins', 'Proteins/*genetics', 'Proto-Oncogene Proteins/*genetics', 'Proto-Oncogene Proteins c-mdm2', 'Proto-Oncogene Proteins p21(ras)/*radiation effects', 'Radiation, Ionizing', 'Time Factors', 'Transcriptional Activation', 'Tumor Cells, Cultured', 'Tumor Suppressor Protein p53/metabolism/*radiation effects']",1997/07/03 00:00,1997/07/03 00:01,['1997/07/03 00:00'],"['1997/07/03 00:00 [pubmed]', '1997/07/03 00:01 [medline]', '1997/07/03 00:00 [entrez]']",['10.1038/sj.onc.1201161 [doi]'],ppublish,Oncogene. 1997 Jul 3;15(1):87-99. doi: 10.1038/sj.onc.1201161.,,,['ES06070/ES/NIEHS NIH HHS/United States'],,,,,,,,,,,,,,,,
9233771,NLM,MEDLINE,19970815,20061115,0950-9232 (Print) 0950-9232 (Linking),15,3,1997 Jul 17,"The cDNA cloning of the transcripts of human PEBP2alphaA/CBFA1 mapped to 6p12.3-p21.1, the locus for cleidocranial dysplasia.",367-71,"PEBP2/CBF is a heterodimeric transcription factor composed of alpha and beta subunits. There are at least three closely related genes, PEBP2alphaA/Cbfa1, AML1/PEBP2alphaB/Cbfa2 and PEBP2alphaC/Cbfa3, encoding the alpha subunit and one beta subunit encoding gene. Structural alterations of AML1 and the beta subunit gene by chromosome translocations are frequently associated with several types of human leukemia. Structural changes of any of these gene products would have potential to affect the function of others. In this study, we isolated the human PEBP2alphaA cDNA by which we mapped the gene to 6p12.3-p21.1. Human chromosome 6p21 is the locus for cleidocranial dysplasia, an autosomal dominant bone disease. Recent gene disruption study revealed that PEBP2alphaA/Cbfa1 plays an essential role in osteogenesis (Komori et al., Cell, 1997, in press). Therefore, a close relationship between human PEBP2alphaA/CBFA1 and this bone disease is strongly implicated.","['Zhang, Y W', 'Bae, S C', 'Takahashi, E', 'Ito, Y']","['Zhang YW', 'Bae SC', 'Takahashi E', 'Ito Y']","['Department of Viral Oncology, Institute for Virus Research, Kyoto University, Sakyo-ku, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Oncogene,Oncogene,8711562,"['0 (DNA, Complementary)', '0 (DNA-Binding Proteins)', '0 (Macromolecular Substances)', '0 (Transcription Factor AP-2)', '0 (Transcription Factors)']",IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Chromosome Mapping', '*Chromosomes, Human, Pair 6', 'Cleidocranial Dysplasia/*genetics', 'Cloning, Molecular', 'DNA, Complementary', 'DNA-Binding Proteins/*biosynthesis/chemistry/*genetics', 'Dimerization', 'Gene Library', 'Humans', 'Leukemia/genetics', 'Macromolecular Substances', 'Mice', 'Molecular Sequence Data', 'Sequence Alignment', 'Sequence Homology, Nucleic Acid', 'Transcription Factor AP-2', 'Transcription Factors/*biosynthesis/chemistry/*genetics', '*Transcription, Genetic', 'Translocation, Genetic']",1997/07/17 00:00,1997/07/17 00:01,['1997/07/17 00:00'],"['1997/07/17 00:00 [pubmed]', '1997/07/17 00:01 [medline]', '1997/07/17 00:00 [entrez]']",['10.1038/sj.onc.1201352 [doi]'],ppublish,Oncogene. 1997 Jul 17;15(3):367-71. doi: 10.1038/sj.onc.1201352.,,,,,,,,,,,,,,,,,,,
9233654,NLM,MEDLINE,19970814,20131121,0022-1767 (Print) 0022-1767 (Linking),159,3,1997 Aug 1,Bispecific humanized anti-IL-2 receptor alpha beta antibodies inhibitory for both IL-2- and IL-15-mediated proliferation.,1543-56,"Humanized anti-Tac (HAT) and Mik beta1 (HuMik beta 1) Abs directed at IL-2R alpha and IL-2R beta, respectively, inhibit IL-2 binding and biological activity and together act synergistically in vitro. The Abs have been used successfully in primate models of allograft rejection, graft-vs-host disease, and autoimmunity. We produced bifunctional humanized anti-IL-2R alpha beta Abs (BF-IgG) to combine the specificity of the two Abs into one entity by fusing HAT-producing NSO cells and HuMik beta 1-producing Sp2/0 cells. BF-IgG was purified using protein G-Sepharose affinity chromatography, followed by IL-2R alpha and IL-2R beta affinity chromatography and hydrophobic interaction chromatography. BF-IgG exhibited both anti-IL-2R alpha and anti-IL-2R beta specificities in binding assays. While the Ab binds the IL-2R with intermediate affinity (Kd = 2.82 nM), it does not inhibit IL-15 binding to its high affinity IL-15R. In Kit225/K6 (IL-2R alpha beta gamma+) cells, BF-IgG was 10-fold more potent than a HAT/HuMik beta 1 equimolar mixture in blocking IL-2-induced proliferation and, unexpectedly, was at least 65-fold more active than the mixture in blocking IL-15-induced proliferation. This dual inhibitory activity may be due to cross-linking of the IL-2R alpha and IL-2R beta, thus blocking IL-2 binding and possibly impeding the association of IL-2R beta with IL-15R. BF-IgG has potent immunosuppressant activities against both IL-2- and IL-15-mediated responses, and this antagonist could be more efficacious than HAT and/or HuMik beta 1 for the treatment of autoimmunity and the prevention of allograft rejection.","['Pilson, R S', 'Levin, W', 'Desai, B', 'Reik, L M', 'Lin, P', 'Korkmaz-Duffy, E', 'Campbell, E', 'Tso, J Y', 'Kerwin, J A', 'Hakimi, J']","['Pilson RS', 'Levin W', 'Desai B', 'Reik LM', 'Lin P', 'Korkmaz-Duffy E', 'Campbell E', 'Tso JY', 'Kerwin JA', 'Hakimi J']","['Roche Research Center, Inflammation and Autoimmune Diseases, Hoffmann-La Roche, Inc., Nutley, NJ 07110, USA.']",['eng'],['Journal Article'],United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antibodies, Bispecific)', '0 (Antibodies, Blocking)', '0 (Growth Inhibitors)', '0 (Interleukin-15)', '0 (Receptors, Interleukin-2)', '368GB5141J (Sodium Dodecyl Sulfate)']",IM,"['Antibodies, Bispecific/biosynthesis/isolation & purification/*pharmacology', 'Antibodies, Blocking/pharmacology', 'Antibody Affinity', 'Antibody Specificity', 'Binding Sites, Antibody', 'Cell Division/immunology', 'Clone Cells', 'Electrophoresis, Polyacrylamide Gel', 'Enzyme-Linked Immunosorbent Assay', 'Growth Inhibitors/*immunology/*pharmacology', 'Humans', 'Hybrid Cells', 'Interleukin-15/*physiology', 'Leukemia, T-Cell/immunology/metabolism', 'Receptors, Interleukin-2/*immunology/*physiology', 'Sodium Dodecyl Sulfate', 'Tumor Cells, Cultured']",1997/08/01 00:00,1997/08/01 00:01,['1997/08/01 00:00'],"['1997/08/01 00:00 [pubmed]', '1997/08/01 00:01 [medline]', '1997/08/01 00:00 [entrez]']",,ppublish,J Immunol. 1997 Aug 1;159(3):1543-56.,,,,,,,,,,,,,,,,,,,
9233649,NLM,MEDLINE,19970814,20131121,0022-1767 (Print) 0022-1767 (Linking),159,3,1997 Aug 1,Structure-function analysis of the integrin beta 7 subunit: identification of domains involved in adhesion to MAdCAM-1.,1497-505,"Beta 7 integrins serve special roles in mucosal immunity. Alpha 4 beta 7-mediated adhesion to mucosal addressin cell adhesion molecule-1 (MAdCAM-1) directs lymphocyte homing to the gut, and alpha E beta 7 mediates binding of lymphocytes to E-cadherin on epithelial cells. Since alpha 4 beta 7 mediates adhesion to MAdCAM-1 but alpha 4 beta 1 does not, we used beta 7/beta 1 chimeras to directly assess the importance of specific regions of beta 7 in MAdCAM-1 binding. We found a region of beta 7 (residues 46-386) that accounts for specificity of alpha 4 beta 7 binding to MAdCAM-1. We also used human/mouse and human/rat chimeric beta 7 subunits to map epitopes recognized by fifteen anti-beta 7 mAbs. Six of seven Abs that block adhesion to MAdCAM-1 and E-cadherin (Fib 21, 22, 27, 30, 504; Act-1) mapped to amino acid residues 176-250. Residues 176-250 lie within the region of beta 7 that specifies MAdCAM-1 binding and also within a region that has a predicted structure homologous to the metal ion-dependent adhesion site (MIDAS) domains of the integrin subunits alpha L and alpha M. Three new Abs that recognize beta 7 in the presence of Mn2+, but not Ca2+, and promote adhesion to MAdCAM-1, mapped to amino acids 46-149. One blocking and five other Abs mapped to other regions (amino acids 387-725). We conclude that a MIDAS-like domain serves a critical role in beta 7 integrin-mediated adhesion.","['Tidswell, M', 'Pachynski, R', 'Wu, S W', 'Qiu, S Q', 'Dunham, E', 'Cochran, N', 'Briskin, M J', 'Kilshaw, P J', 'Lazarovits, A I', 'Andrew, D P', 'Butcher, E C', 'Yednock, T A', 'Erle, D J']","['Tidswell M', 'Pachynski R', 'Wu SW', 'Qiu SQ', 'Dunham E', 'Cochran N', 'Briskin MJ', 'Kilshaw PJ', 'Lazarovits AI', 'Andrew DP', 'Butcher EC', 'Yednock TA', 'Erle DJ']","['Lung Biology Center, Department of Medicine, University of California, San Francisco 94143, USA. easd@itsa.ucsf.edu']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antibodies, Monoclonal)', '0 (Cations)', '0 (Cell Adhesion Molecules)', '0 (Immunoglobulins)', '0 (Integrin beta Chains)', '0 (Integrins)', '0 (Ligands)', '0 (MADCAM1 protein, human)', '0 (Madcam1 protein, mouse)', '0 (Madcam1 protein, rat)', '0 (Mucoproteins)', '0 (Receptors, Lymphocyte Homing)', '0 (Recombinant Fusion Proteins)', '0 (integrin beta7)', '452VLY9402 (Serine)']",IM,"['Animals', 'Antibodies, Monoclonal/chemistry/genetics/physiology', 'Cations', 'Cell Adhesion Molecules', 'Epitope Mapping', 'Humans', 'Immunoglobulins/immunology/*metabolism', '*Integrin beta Chains', 'Integrins/*chemistry/genetics/immunology/*physiology', 'Leukemia, Erythroblastic, Acute/metabolism', 'Ligands', 'Mice', 'Molecular Sequence Data', 'Mucoproteins/immunology/*metabolism', 'Protein Binding/immunology', '*Protein Structure, Tertiary', 'Rats', 'Receptors, Lymphocyte Homing/*metabolism', 'Recombinant Fusion Proteins/chemistry', 'Serine/immunology/physiology', 'Structure-Activity Relationship', 'Transfection/immunology', 'Tumor Cells, Cultured']",1997/08/01 00:00,1997/08/01 00:01,['1997/08/01 00:00'],"['1997/08/01 00:00 [pubmed]', '1997/08/01 00:01 [medline]', '1997/08/01 00:00 [entrez]']",,ppublish,J Immunol. 1997 Aug 1;159(3):1497-505.,,,"['AI37832/AI/NIAID NIH HHS/United States', 'K08HL03230/HL/NHLBI NIH HHS/United States', 'R01HL52004/HL/NHLBI NIH HHS/United States']",,,,['GENBANK/AF003598'],,,,,,,,,,,,
9233613,NLM,MEDLINE,19970814,20171116,0022-1767 (Print) 0022-1767 (Linking),159,3,1997 Aug 1,Viral regulation of CD95 expression and apoptosis in T lymphocytes.,1192-9,"T lymphocyte apoptosis has been observed in vivo in association with viral infections. One mechanism known to mediate T cell apoptosis is the CD95 (Fas/APO-1) Ag apoptotic pathway. CD95 is a cell surface protein that is expressed on activated T cells and is capable of relaying an intracellular apoptotic signal upon binding with CD95 ligand. CD95-dependent apoptosis has been shown to be involved in the homeostatic control of peripheral T cell numbers; however, the functional significance of the CD95 apoptotic pathway in the context of viral infections has not been clearly elucidated. We show that exposure to a variety of viral pathogens causes enhanced CD95 expression in naive peripheral blood cell T lymphocytes without leading to enhanced susceptibility to CD95-dependent apoptosis. Productive viral infection was not required for this effect. Furthermore, using a T cell line and the K562 tumor cell line, we demonstrate that cells normally resistant to CD95-mediated killing become susceptible when productively infected with virus in a manner that does not rely on increased CD95 surface expression. These findings demonstrate a regulatory influence of viral infection on CD95 expression and activity and suggest that in addition to having a role in T cell homeostasis, the CD95 apoptotic pathway might also function to eliminate virus-infected T cells.","['Sieg, S', 'Huang, Y', 'Kaplan, D']","['Sieg S', 'Huang Y', 'Kaplan D']","['Department of Pathology, Case Western Reserve University, Cleveland, OH 44106, USA.']",['eng'],['Journal Article'],United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (fas Receptor)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",IM,"['Adult', 'Apoptosis/*immunology', 'Cells, Cultured', 'Cytotoxicity, Immunologic', 'Enzyme Activation', 'Herpesvirus 1, Human/physiology', 'Herpesvirus 2, Human/physiology', 'Humans', 'Leukemia, Erythroblastic, Acute', 'Parainfluenza Virus 3, Human/physiology', 'Protein-Tyrosine Kinases/metabolism', 'T-Lymphocytes/enzymology/immunology/*virology', 'Tumor Cells, Cultured', '*Virus Physiological Phenomena', 'fas Receptor/*biosynthesis']",1997/08/01 00:00,1997/08/01 00:01,['1997/08/01 00:00'],"['1997/08/01 00:00 [pubmed]', '1997/08/01 00:01 [medline]', '1997/08/01 00:00 [entrez]']",,ppublish,J Immunol. 1997 Aug 1;159(3):1192-9.,,,,,,,,,,,,,,,,,,,
9233594,NLM,MEDLINE,19970903,20190705,0007-1048 (Print) 0007-1048 (Linking),98,1,1997 Jul,Parathyroid hormone related protein (PTHrP) in acute myeloid leukaemia cells.,245-6,,"['Bolodeoku, J', 'Kusec, R']","['Bolodeoku J', 'Kusec R']",,['eng'],"['Comment', 'Letter']",England,Br J Haematol,British journal of haematology,0372544,"['0 (PTHLH protein, human)', '0 (Parathyroid Hormone-Related Protein)', '0 (Proteins)']",IM,"['Acute Disease', 'Humans', 'Hypercalcemia/etiology', 'Leukemia, Myeloid/*metabolism', 'Parathyroid Hormone-Related Protein', 'Proteins/*metabolism', 'Radioimmunoassay']",1997/07/01 00:00,1997/07/01 00:01,['1997/07/01 00:00'],"['1997/07/01 00:00 [pubmed]', '1997/07/01 00:01 [medline]', '1997/07/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.2453068.x [doi]'],ppublish,Br J Haematol. 1997 Jul;98(1):245-6. doi: 10.1046/j.1365-2141.1997.2453068.x.,,['Br J Haematol. 1997 Jan;96(1):165-7. PMID: 9012703'],,,,,,,,,,,,,,,,,
9233592,NLM,MEDLINE,19970903,20190705,0007-1048 (Print) 0007-1048 (Linking),98,1,1997 Jul,Analysis of ETV6 and ETV6-AML1 proteins in acute lymphoblastic leukaemia.,234-9,"The t(12;21) is a recurring chromosomal abnormality in acute lymphoblastic leukaemias (ALLs) which results in the production of an ETV6-AML1 fusion gene. The association between t(12;21) and the deletion of the untranslocated allele of ETV6 is among the most frequent abnormalities observed in B-lineage ALLs in children. In order to study the proteins encoded by ETV6 and ETV6-AML1, we raised polyclonal antibodies directed against a recombinant peptide corresponding to the junctional region of ETV6-AML1. Cell lysates from various leukaemic cell lines, and from children with B- and T-lineage ALLs, were studied by Western blot. Two isoforms of ETV6 protein were detected in normal bone marrow cells and in leukaemic cells without 12p alteration: a major form (apparent m.w. 63 kD) and a minor one (apparent m.w. 53 kD). In the REH cell line, which expresses the ETV6-AML1 fusion transcript and no normal ETV6 mRNA, the ETV6 isoforms were absent and two new bands were detected corresponding to ETV6-AML1 protein products (apparent m.w. 95 and 105 kD). A similar pattern was obtained with blast cells from patients with a t(12;21) and a deletion of ETV6. In two patients with a t(12;21) but no deletion of ETV6, four bands were detected corresponding to both the normal ETV6 and ETV6-AML1 proteins, suggesting that in these cases the second ETV6 allele was not inactivated. Surprisingly, the expression pattern of ETV6 differed widely from patient to patient. In three out of 13 patients without t(12;21), the relative intensity of the bands corresponding to ETV6 isoforms in blast cells from patients was completely different from normal cells, with a marked predominance of the 53 kD isoform. The pattern of ETV6 expression was normal in bone marrow from the same patients during remission. These finding suggest that ETV6 abnormalities are not restricted to patients with translocations or deletions involving this gene.","['Agape, P', 'Gerard, B', 'Cave, H', 'Devaux, I', 'Vilmer, E', 'Lecomte, M C', 'Grandchamp, B']","['Agape P', 'Gerard B', 'Cave H', 'Devaux I', 'Vilmer E', 'Lecomte MC', 'Grandchamp B']","['INSERM U409, Faculte de Medecine Bichat, Paris, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (DNA-Binding Proteins)', '0 (ETS translocation variant 6 protein)', '0 (Oncogene Proteins, Fusion)', '0 (Proto-Oncogene Proteins c-ets)', '0 (Repressor Proteins)', '0 (Transcription Factors)']",IM,"['Blotting, Western', 'Chromosomes, Human, Pair 12/genetics', 'Chromosomes, Human, Pair 21/genetics', 'DNA-Binding Proteins/*genetics', 'Humans', 'Oncogene Proteins, Fusion/*genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Proto-Oncogene Proteins c-ets', '*Repressor Proteins', 'Transcription Factors/*genetics', 'Translocation, Genetic', 'Tumor Cells, Cultured']",1997/07/01 00:00,1997/07/01 00:01,['1997/07/01 00:00'],"['1997/07/01 00:00 [pubmed]', '1997/07/01 00:01 [medline]', '1997/07/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.1973014.x [doi]'],ppublish,Br J Haematol. 1997 Jul;98(1):234-9. doi: 10.1046/j.1365-2141.1997.1973014.x.,,,,,,,,,,,,,,,,,,,
9233590,NLM,MEDLINE,19970903,20190705,0007-1048 (Print) 0007-1048 (Linking),98,1,1997 Jul,Should cytomegalovirus be tested for in both blood and bronchoalveolar lavage fluid of patients at a high risk of CMV pneumonia after bone marrow transplantation?,222-7,"To identify and treat patients at high risk of cytomegalovirus (CMV) pneumonia after bone marrow transplantation (BMT), we tested for CMV viraemia weekly, and performed broncho-alveolar lavage (BAL) on day 35 post-transplant in 63 recipients. 36 allogeneic BMT recipients were at a high risk of CMV pneumonia (25 CMV-seropositive recipients and 11 patients receiving marrow from a CMV-seropositive donor). Patients with a positive BAL or viraemia received a 14 d course of ganciclovir or foscarnet. CMV was detected in 29 (46%) of the 63 BMT recipients and excretion of CMV in blood and BAL was significantly linked. However, among the 29 patients who excreted the virus, only 10 (35%) shed CMV in blood and BAL at the same time: 19 patients (65%) had detectable CMV in blood (11 patients) or BAL (eight patients) only. Therefore, on the basis of viraemia or BAL alone, 21/29 patients (70%) and 18/29 patients (60%), respectively, would have received antiviral treatment. BAL increased the CMV detection rate by 13% (8/63 patients) relative to viraemia. With this strategy, the incidence of CMV pneumonia was reduced to 3% in allografted patients. Only two of the 19 autografted patients developed fatal CMV pneumonia. We avoided anti-CMV treatment in 54% of all the BMT recipients. In conclusion, CMV should be tested for in both blood and BAL fluid of BMT recipients at high risk of CMV pneumonia.","['Ibrahim, A', 'Gautier, E', 'Roittmann, S', 'Bourhis, J H', 'Fajac, A', 'Charnoz, I', 'Terrier, P', 'Salord, J M', 'Tancrede, C', 'Hayat, M', 'Bernaudin, J F', 'Pico, J L']","['Ibrahim A', 'Gautier E', 'Roittmann S', 'Bourhis JH', 'Fajac A', 'Charnoz I', 'Terrier P', 'Salord JM', 'Tancrede C', 'Hayat M', 'Bernaudin JF', 'Pico JL']","['Pathology Department, Institut Gustave Roussy, Villejuif, France.']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,,IM,"['Bone Marrow Transplantation/*adverse effects', 'Bronchoalveolar Lavage Fluid/*virology', 'Cytomegalovirus/isolation & purification', 'Cytomegalovirus Infections/*diagnosis', 'Female', 'Humans', 'Leukemia/therapy', 'Lymphoma/therapy', 'Male', 'Opportunistic Infections/*diagnosis', 'Pneumonia, Viral/*diagnosis', 'Risk Factors', 'Viremia/diagnosis']",1997/07/01 00:00,1997/07/01 00:01,['1997/07/01 00:00'],"['1997/07/01 00:00 [pubmed]', '1997/07/01 00:01 [medline]', '1997/07/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.1752987.x [doi]'],ppublish,Br J Haematol. 1997 Jul;98(1):222-7. doi: 10.1046/j.1365-2141.1997.1752987.x.,,,,,,,,,,,,,,,,,,,
9233589,NLM,MEDLINE,19970903,20190705,0007-1048 (Print) 0007-1048 (Linking),98,1,1997 Jul,Microsatellite instability during the progression of acute myelocytic leukaemia.,219-21,"We studied microsatellite instability (MSI) at the onset and during progression of 17 individuals with acute myelocytic leukaemia (AML). These included two cases of MO, eight with M1 and seven with M4, according to the FAB classification. The DNA from diagnostic, remission and relapsed stages of their disease was analysed at 69 loci. Two MSI were found in the diagnostic and remission phase paired samples (12%), and eight MSI were identified in six of the relapsed phase samples (35%). These results indicate that mismatch repair errors such as MSI are unimportant at the onset of AML, but might have importance during the progression of the disease.","['Tasaka, T', 'Lee, S', 'Spira, S', 'Takeuchi, S', 'Nagai, M', 'Takahara, J', 'Koeffler, H P']","['Tasaka T', 'Lee S', 'Spira S', 'Takeuchi S', 'Nagai M', 'Takahara J', 'Koeffler HP']","['Department of Medicine, Cedars-Sinai Medical Center, UCLA School of Medicine, Los Angeles, California 90048, U.S.A.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Br J Haematol,British journal of haematology,0372544,,IM,"['Acute Disease', 'Adult', 'Aged', 'DNA Repair', 'Disease Progression', 'Female', 'Humans', 'Leukemia, Myeloid/*genetics', 'Male', 'Microsatellite Repeats/*genetics', 'Middle Aged']",1997/07/01 00:00,1997/07/01 00:01,['1997/07/01 00:00'],"['1997/07/01 00:00 [pubmed]', '1997/07/01 00:01 [medline]', '1997/07/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.1672985.x [doi]'],ppublish,Br J Haematol. 1997 Jul;98(1):219-21. doi: 10.1046/j.1365-2141.1997.1672985.x.,,,"['CA26038/CA/NCI NIH HHS/United States', 'CA42710/CA/NCI NIH HHS/United States', 'DK42792/DK/NIDDK NIH HHS/United States']",,,,,,,,,,,,,,,,
9233588,NLM,MEDLINE,19970903,20190705,0007-1048 (Print) 0007-1048 (Linking),98,1,1997 Jul,Childhood acute lymphoblastic leukaemia with ider(21)(q10)t(12;21)(p12;q22): a new recurrent abnormality showing ETV6/CBFA2 fusion.,216-8,"The cytogenetically unidentifiable t(12;21)(p12:q22), resulting in ETV6/CBFA2 fusion, is the most frequent chromosomal aberration in childhood acute lymphoblastic leukaemia ALL). We report a variant, ider(21)(q10)t(12:21)(p12;q22), which was shown to contain double ETV6/CBFA2 fusions by fluorescence in situ hybridization. This is the second case of such an ider(21) in childhood ALL, suggesting that it is a new recurrent abnormality. Since the ider(21) is cytogenetically indistinguishable from i(21)(q10) and idic(21)(p11), changes associated with similar clinical features as the t(12;21), i.e. pre-B-cell ALL and age 1-10 years, we suggest that all ALL displaying these changes should be tested for ETV6/CBFA2 fusion transcript.","['Andreasson, P', 'Johansson, B', 'Strombeck, B', 'Donner, M', 'Mitelman, F', 'Hoglund, M']","['Andreasson P', 'Johansson B', 'Strombeck B', 'Donner M', 'Mitelman F', 'Hoglund M']","['Department of Clinical Genetics, Lund University Hospital, Sweden.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (DNA-Binding Proteins)', '0 (ETS translocation variant 6 protein)', '0 (Oncogene Proteins, Fusion)', '0 (Proto-Oncogene Proteins c-ets)', '0 (Repressor Proteins)', '0 (Transcription Factors)']",IM,"['Child', 'Chromosomes, Human, Pair 12/*genetics', 'Chromosomes, Human, Pair 21/*genetics', 'DNA-Binding Proteins/*genetics', 'Humans', 'In Situ Hybridization, Fluorescence', 'Male', 'Oncogene Proteins, Fusion/genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Proto-Oncogene Proteins c-ets', '*Repressor Proteins', 'Transcription Factors/*genetics', '*Translocation, Genetic']",1997/07/01 00:00,1997/07/01 00:01,['1997/07/01 00:00'],"['1997/07/01 00:00 [pubmed]', '1997/07/01 00:01 [medline]', '1997/07/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.1652982.x [doi]'],ppublish,Br J Haematol. 1997 Jul;98(1):216-8. doi: 10.1046/j.1365-2141.1997.1652982.x.,,,,,,,,,,,,,,,,,,,
9233587,NLM,MEDLINE,19970903,20190705,0007-1048 (Print) 0007-1048 (Linking),98,1,1997 Jul,Robertsonian translocation as an acquired karyotypic abnormality in leukaemia.,213-5,"Robertsonian translocations, although relatively common as a constitutional genetic aberration, are rarely encountered in leukaemia. We report a case of acute myeloid leukaemia which showed an acquired Robertsonian translocation in the form of der(14;21) by cytogenetic analysis of leukaemic cells. This was confirmed by the PHA-stimulated culture of peripheral blood lymphocytes. A review of the literature identifies only eight reported cases of acquired Robertsonian translocations in leukaemia. In the majority of cases the Robertsonian translocation occurs as a secondary change in a complex abnormal clone, whereas in two out of nine patients reported, including ours, it is found as a sole karyotypic abnormality.","['Ma, S K', 'Chow, E Y', 'Wan, T S', 'Chan, L C']","['Ma SK', 'Chow EY', 'Wan TS', 'Chan LC']","['Department of Pathology, Queen Mary Hospital, Hong Kong.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",England,Br J Haematol,British journal of haematology,0372544,,IM,"['Acute Disease', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Chromosomes, Human, Pair 14/*genetics', 'Chromosomes, Human, Pair 21/*genetics', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/drug therapy/*genetics', 'Male', 'Middle Aged', '*Translocation, Genetic']",1997/07/01 00:00,1997/07/01 00:01,['1997/07/01 00:00'],"['1997/07/01 00:00 [pubmed]', '1997/07/01 00:01 [medline]', '1997/07/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.1702992.x [doi]'],ppublish,Br J Haematol. 1997 Jul;98(1):213-5. doi: 10.1046/j.1365-2141.1997.1702992.x.,12,,,,,,,,,,,,,,,,,,
