PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,GR,AID,CIN,PMC,TT,SI,EIN,OID
3476167,NLM,MEDLINE,19871016,20071115,0340-4684 (Print) 0340-4684 (Linking),12,2,1987,Chronic lymphocytic leukemia and prolymphocytic leukemia: a clinicopathological reappraisal.,339-53,"A series of 300 cases of chronic B-cell leukemia was studied in relation to clinical and laboratory features, and three groups were identified on the basis of the percentage of circulating prolymphocytes (%PROL): typical CLL less than or equal to 10% PROL, 174 cases; PLL greater than 55% PROL, 42 cases; and an intermediate group CLL/PL (11%-55% PROL), 84 cases. Some features of the CLL/PL group resemble those of PLL, such as a disproportionate splenomegaly in relation to the degree of lymphnode involvement. However, membrane markers suggested a closer affinity of CLL/PL with CLL [high percentage of M rosettes, expression of the P67 (T1) antigen, and low reactivity with the McAb FMC7], although high-density SmIg was found in one-third of CLL/PL, as well as in the majority of the PLL cases. Cells volume measurements demonstrated that the prolymphocytes of both PLL and CLL/PL are significantly larger than the homogeneous population of small lymphocytes of typical CLL. Followup studies of the PB picture in CLL and CLL/PL showed that the majority of patients maintain a relatively stable percentage of PROL, but a progressive prolymphocytoid transformation to a PLL-like disease may occur in some cases. On univariate analysis of survival, seven features of disease had a high prognostic values for the whole group of patients: %PROL, absolute number of PROL (ABS PROL), WBC, spleen size, M rosettes, SmIg intensity, and age. However, only ABS PROL (greater than 15 X 10(9)/l) and spleen size (greater than 8 cm) were shown to be independent prognostic features on a multivariate regression analysis. The median survival time of patients with PLL (3 years) was significantly shorter than the median of 8 years for patients with CLL. Within the heterogeneous CLL/PL group, patients with ABS PROL greater than 15 X 10(9)/l (two-thirds) had a median survival time as bad as for PLL patients, whereas the median has not been reached for those with ABS PROL less than 15 X 10(9)/l.","['Melo, J V', 'Catovsky, D', 'Galton, D A']","['Melo JV', 'Catovsky D', 'Galton DA']",,['eng'],['Journal Article'],United States,Blood Cells,Blood cells,7513567,,IM,"['Humans', 'Leukemia, Lymphoid/mortality/*pathology', 'Leukocyte Count', 'Lymphocytes/pathology', 'Prognosis']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Blood Cells. 1987;12(2):339-53.,,,,,,,,
3476166,NLM,MEDLINE,19871016,20210216,0006-4971 (Print) 0006-4971 (Linking),70,3,1987 Sep,Prophylactic heparin in APL.,886-7,,"['Venook, A P', 'Shuman, M A', 'Corash, L']","['Venook AP', 'Shuman MA', 'Corash L']",,['eng'],['Letter'],United States,Blood,Blood,7603509,['9005-49-6 (Heparin)'],IM,"['Acute Disease', 'Heparin/*therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/*prevention & control']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",ppublish,Blood. 1987 Sep;70(3):886-7.,,['S0006-4971(20)78684-2 [pii]'],,,,,,
3476165,NLM,MEDLINE,19871016,20210216,0006-4971 (Print) 0006-4971 (Linking),70,3,1987 Sep,Regulation of transferrin receptor expression in myeloid leukemia cells.,852-9,"Surface transferrin (Tf) receptors are displayed by cultured human hematopoietic cells and provide Fe required for cell growth. Cell cycle status, cell density in culture, exposure to Fe, and differentiation alter Tf receptor display by myeloid leukemia cells. To investigate mechanisms controlling Tf receptor expression, rates of receptor synthesis and steady-state mRNA levels were measured in HL60 promyelocytic cells grown in serum and serum-free media or after differentiation in response to dimethylsulfoxide (DMSO). Although surface binding sites were unchanged during the first three days in culture with serum or in serum-free media containing Tf, by the third day, rates of receptor biosynthesis and steady-state mRNA levels declined, consistent with cell density-dependent, receptor regulation. Cells grown with soluble Fe instead of Tf showed reduced Tf binding sites, rates of receptor synthesis, and Tf receptor mRNA. When cells grown with Fe were subcultured, Tf receptor mRNA levels increased within 15 minutes and peaked by 24 hours. This was followed by a decline in receptor and gene expression so that by three days cells grown in the presence of Fe expressed approximately four times fewer receptors and had half the rates of Tf receptor synthesis and mRNA levels of cells grown in serum or Tf. Cells treated with DMSO showed a rapid decline in surface receptors, receptor synthesis, and steady-state mRNA levels. Modulation of Tf receptor expression was not due to redistribution between the cell surface and an internal receptor pool. In each instance, concurrent assessment of N-ras transcripts showed that changes in Tf receptor mRNA levels were not due to generalized alterations in protein synthesis. Exposure of cells grown in Fe or treated with DMSO to cycloheximide did not alter Tf receptor mRNA levels, thereby suggesting that receptor expression was not regulated by posttranscriptional processes dependent on protein synthesis. Actinomycin D inhibition of Tf receptor mRNA was compatible with a transcript half-life of approximately 2.2 hours. Nuclear transcription studies showed reduced rates of Tf receptor transcription after culture with Fe or exposure to DMSO. The present studies show complex patterns of Tf receptor gene regulation in cultured myeloid leukemia cells and demonstrate that transcriptional regulation is a major mechanism controlling Tf receptor gene expression in response to Fe and differentiation.","['Taetle, R', 'Ralph, S', 'Smedsrud, S', 'Trowbridge, I']","['Taetle R', 'Ralph S', 'Smedsrud S', 'Trowbridge I']",,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (RNA, Messenger)', '0 (Receptors, Transferrin)', '9007-73-2 (Ferritins)', '98600C0908 (Cycloheximide)', 'E1UOL152H7 (Iron)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Cattle/blood/embryology', 'Cell Differentiation', 'Cell Division', 'Cell Line', 'Cycloheximide/pharmacology', 'Dimethyl Sulfoxide/pharmacology', 'Ferritins/metabolism', 'Humans', 'Iron/pharmacology', 'Leukemia, Myeloid/*metabolism/pathology', 'RNA, Messenger/metabolism', 'Receptors, Transferrin/genetics/*physiology', 'Transcription, Genetic']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",ppublish,Blood. 1987 Sep;70(3):852-9.,"['CA23100/CA/NCI NIH HHS/United States', 'CA32094/CA/NCI NIH HHS/United States', 'CA37641/CA/NCI NIH HHS/United States']",['S0006-4971(20)78678-7 [pii]'],,,,,,
3476163,NLM,MEDLINE,19871006,20071115,0753-3322 (Print) 0753-3322 (Linking),41,4,1987,Acute myeloid leukaemia (AML).,196,,"['Rees, J K']",['Rees JK'],,['eng'],['Journal Article'],France,Biomed Pharmacother,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,8213295,,IM,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Follow-Up Studies', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy/physiopathology', 'Middle Aged']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Biomed Pharmacother. 1987;41(4):196.,,,,,,,,
3476150,NLM,MEDLINE,19871009,20190704,0007-1048 (Print) 0007-1048 (Linking),66,3,1987 Jul,"A new specific chromosomal rearrangement, t(8;16) (p11;p13), in acute monocytic leukaemia.",323-6,"The translocation t(8;16) (p11;p13) was found as the sole deviation from the normal karyotype in three patients with acute monocytic leukaemia. The bone marrow morphology was strikingly similar in the two cases where smears were available for re-evaluation: the leukaemic cells showed signs of differentiation, and active erythrophagocytosis was a particularly conspicuous feature. We suggest that t(8;16) (p11;p13) represents a new consistent abnormality in acute monocytic leukaemia, specifically associated with the differentiated subtype (M5b) and with pronounced phagocytic activity by the leukaemic monocytes.","['Heim, S', 'Avanzi, G C', 'Billstrom, R', 'Kristoffersson, U', 'Mandahl, N', 'Bekassy, A N', 'Garwicz, S', 'Wiebe, T', 'Pegoraro, L', 'Falda, M']","['Heim S', 'Avanzi GC', 'Billstrom R', 'Kristoffersson U', 'Mandahl N', 'Bekassy AN', 'Garwicz S', 'Wiebe T', 'Pegoraro L', 'Falda M', 'et al.']",,['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,,IM,"['Adolescent', 'Bone Marrow/pathology', '*Chromosome Aberrations', 'Chromosomes, Human, Pair 16', 'Chromosomes, Human, Pair 8', 'Female', 'Humans', 'Infant', 'Karyotyping', 'Leukemia, Monocytic, Acute/*genetics/pathology', 'Male', 'Translocation, Genetic']",1987/07/01 00:00,1987/07/01 00:01,['1987/07/01 00:00'],"['1987/07/01 00:00 [pubmed]', '1987/07/01 00:01 [medline]', '1987/07/01 00:00 [entrez]']",ppublish,Br J Haematol. 1987 Jul;66(3):323-6. doi: 10.1111/j.1365-2141.1987.tb06917.x.,,['10.1111/j.1365-2141.1987.tb06917.x [doi]'],,,,,,
3476149,NLM,MEDLINE,19871009,20190704,0007-1048 (Print) 0007-1048 (Linking),66,3,1987 Jul,Ph-negative chronic myeloid leukaemia.,311-4,An analysis of five patients with Philadelphia chromosome (Ph) negative chronic myeloid leukaemia (CML) revealed that two were clinically and haematologically identical to Ph-positive CML whereas three should be reclassified as chronic myelomonocytic leukaemia (CMML). At a molecular level the first two patients showed the same juxtaposition of c-abl and bcr genes as is seen in Ph-positive CML. These genomic changes were not seen in the other three patients. Observations on these five patients suggest that the clinical course and prognosis of the rare patient who carries the Ph 'molecular defect' but lacks the Philadelphia chromosome is no different from Ph-positive CML.,"['Fitzgerald, P H', 'Beard, M E', 'Morris, C M', 'Heaton, D C', 'Reeve, A E']","['Fitzgerald PH', 'Beard ME', 'Morris CM', 'Heaton DC', 'Reeve AE']",,['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,,IM,"['Adult', 'Aged', 'Chromosome Mapping', 'Female', 'Humans', 'Leukemia, Myeloid/*genetics/pathology', 'Male', 'Middle Aged', '*Philadelphia Chromosome', 'Prognosis']",1987/07/01 00:00,1987/07/01 00:01,['1987/07/01 00:00'],"['1987/07/01 00:00 [pubmed]', '1987/07/01 00:01 [medline]', '1987/07/01 00:00 [entrez]']",ppublish,Br J Haematol. 1987 Jul;66(3):311-4. doi: 10.1111/j.1365-2141.1987.tb06915.x.,,['10.1111/j.1365-2141.1987.tb06915.x [doi]'],,,,,,
3476145,NLM,MEDLINE,19871022,20190515,0007-0920 (Print) 0007-0920 (Linking),56,1,1987 Jul,Serum neuron-specific enolase in children's cancer.,65-7,"To test its diagnostic potential and sensitivity in paediatric malignancy, serum NSE was measured at diagnosis in 191 children with solid tumours and 25 with acute leukaemia. In stages I + II, III + IV and IVs neuroblastoma median levels were 18.0, 91.0 and 24.0 ng ml-1 respectively. For Wilms' patients, median values for stages I, II, III and IV disease were 16.6, 18.0, 29.0 and 47.0 ng ml-1 respectively. High levels of NSE were also found in patients with other types of tumour. Children in clinical remission after treatment for neuroblastoma invariably had normal NSE levels (mean +/- s.d. = 9.2 +/- 3.0 ng ml-1) even though the majority had radiologically identifiable residual disease. The values rose when relapse was radiologically or clinically obvious. We conclude (a) that, though levels of greater than 100 ng ml-1 are highly suggestive of advanced neuroblastoma, caution should be exercised in using serum NSE as a diagnostic test in children with cancer and (b) that serum NSE levels are not a sensitive index of residual neuroblastoma in patients, with initially elevated levels, that are receiving treatment.","['Cooper, E H', 'Pritchard, J', 'Bailey, C C', 'Ninane, J']","['Cooper EH', 'Pritchard J', 'Bailey CC', 'Ninane J']",,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Cancer,British journal of cancer,0370635,['EC 4.2.1.11 (Phosphopyruvate Hydratase)'],IM,"['Child', 'Humans', 'Leukemia, Lymphoid/enzymology', 'Leukemia, Myeloid, Acute/enzymology', 'Neoplasms/diagnosis/*enzymology', 'Neuroblastoma/enzymology', 'Phosphopyruvate Hydratase/*blood']",1987/07/01 00:00,1987/07/01 00:01,['1987/07/01 00:00'],"['1987/07/01 00:00 [pubmed]', '1987/07/01 00:01 [medline]', '1987/07/01 00:00 [entrez]']",ppublish,Br J Cancer. 1987 Jul;56(1):65-7. doi: 10.1038/bjc.1987.155.,,['10.1038/bjc.1987.155 [doi]'],,PMC2001673,,,,
3476144,NLM,MEDLINE,19871022,20190515,0007-0920 (Print) 0007-0920 (Linking),56,1,1987 Jul,Prognostic factors and survival in chronic myelomonocytic leukaemia (CMML).,59-63,"Ninety-seven cases of chronic myelomonocytic leukaemia (CMML) were examined retrospectively for survival and possible prognostic factors including age, total white cell count, peripheral blood and bone marrow monocyte counts, % double esterase (DE) positive cells in bone marrow and serum lysozyme. Age, absolute monocyte counts and serum lysozyme proved to be significant independent prognostic indicators but Cox model analyses showed serum lysozyme to be the most important factor whether taken as a continuous or discrete (two groups) variable. Twelve cases of second malignancy were found, including 2 cases of multiple myeloma, but this was not significantly greater than expected when compared with an age and sex matched group.","['Stark, A N', 'Thorogood, J', 'Head, C', 'Roberts, B E', 'Scott, C S']","['Stark AN', 'Thorogood J', 'Head C', 'Roberts BE', 'Scott CS']",,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Cancer,British journal of cancer,0370635,['EC 3.2.1.17 (Muramidase)'],IM,"['Aged', 'England', 'Female', 'Humans', 'Leukemia, Myeloid/blood/*mortality', 'Leukocyte Count', 'Male', 'Middle Aged', 'Monocytes/pathology', 'Muramidase/blood', 'Neoplasms, Multiple Primary/epidemiology', 'Prognosis', 'Retrospective Studies']",1987/07/01 00:00,1987/07/01 00:01,['1987/07/01 00:00'],"['1987/07/01 00:00 [pubmed]', '1987/07/01 00:01 [medline]', '1987/07/01 00:00 [entrez]']",ppublish,Br J Cancer. 1987 Jul;56(1):59-63. doi: 10.1038/bjc.1987.154.,,['10.1038/bjc.1987.154 [doi]'],,PMC2001685,,,,
3476117,NLM,MEDLINE,19870916,20190612,0006-291X (Print) 0006-291X (Linking),146,2,1987 Jul 31,Induction of acetylated low density lipoprotein receptor and suppression of low density lipoprotein receptor on the cells of human monocytic leukemia cell line (THP-1 cell).,802-8,"THP-1 cells, a human cell line established from acute monocytic leukemia cells, degraded native human low density lipoprotein (LDL) through a LDL-specific pathway, but had no ability to degrade acetylated LDL. When the cells were treated with 12-o-tetradecanoyl-phorbol-13-acetate (TPA) to differentiate into the macrophage-like stage, those acquired the ability to degrade acetylated LDL through its specific pathway and lost the ability to degrade native LDL. Degradation of acetylated LDL by the differentiated cells was not reduced by preincubation with either acetylated LDL or native LDL.","['Hara, H', 'Tanishita, H', 'Yokoyama, S', 'Tajima, S', 'Yamamoto, A']","['Hara H', 'Tanishita H', 'Yokoyama S', 'Tajima S', 'Yamamoto A']",,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Cell Adhesion Molecules)', '0 (Lipoproteins, LDL)', '0 (Receptors, LDL)', '0 (Receptors, Scavenger)']",IM,"['*Cell Adhesion Molecules', 'Cell Line', 'Humans', 'Leukemia, Myeloid/*metabolism', 'Lipoproteins, LDL/metabolism', 'Receptors, LDL/*metabolism', 'Receptors, Scavenger']",1987/07/31 00:00,1987/07/31 00:01,['1987/07/31 00:00'],"['1987/07/31 00:00 [pubmed]', '1987/07/31 00:01 [medline]', '1987/07/31 00:00 [entrez]']",ppublish,Biochem Biophys Res Commun. 1987 Jul 31;146(2):802-8. doi: 10.1016/0006-291x(87)90601-2.,,"['0006-291X(87)90601-2 [pii]', '10.1016/0006-291x(87)90601-2 [doi]']",,,,,,
3476044,NLM,MEDLINE,19870918,20190824,0004-8291 (Print) 0004-8291 (Linking),17,1,1987 Feb,Diagnostic use of immunoglobulin and T-cell receptor gene rearrangements in lymphoproliferative disease.,1-8,"Gene rearrangements of immunoglobulin and T cell antigen receptor gene loci were studied in 67 patients referred to a general hematology clinic. The results of gene analysis supported the clinical diagnosis in most cases where involved tissue was studied. However, in a number of cases, gene rearrangement studies gave unexpected results of possible diagnostic significance. Thus two patients who presented diagnostic difficulties were finally diagnosed as having non-Hodgkin's lymphoma; gene analysis suggested that the initial diagnosis of Hodgkin's disease may have been correct. In two patients who had chronic lymphocytosis and were suspected of having chronic lymphocytic leukemia, no evidence of monoclonal disease of B or T cells could be found and the basis for the lymphocytosis was presumed to be non-malignant. Gene analysis was able to detect monoclonal B cell disease in the otherwise normal blood of two of six patients with lymphoma, one of two patients with macroglobulinemia, and none of six patients with myeloma. The study of gene rearrangements may be practical aid to diagnosis in some situations of uncertainty.","['Story, C J', 'Turner, D R', 'Morley, A A', 'Seshadri, R']","['Story CJ', 'Turner DR', 'Morley AA', 'Seshadri R']",,['eng'],['Journal Article'],Australia,Aust N Z J Med,Australian and New Zealand journal of medicine,1264322,"['0 (Immunoglobulins)', '0 (Receptors, Antigen, T-Cell)']",IM,"['Humans', 'Immunoglobulins/*genetics', 'Lymphoproliferative Disorders/genetics/*immunology', 'Receptors, Antigen, T-Cell/*genetics/immunology']",1987/02/01 00:00,1987/02/01 00:01,['1987/02/01 00:00'],"['1987/02/01 00:00 [pubmed]', '1987/02/01 00:01 [medline]', '1987/02/01 00:00 [entrez]']",ppublish,Aust N Z J Med. 1987 Feb;17(1):1-8. doi: 10.1111/j.1445-5994.1987.tb05039.x.,,['10.1111/j.1445-5994.1987.tb05039.x [doi]'],,,,,,
3476024,NLM,MEDLINE,19870901,20101118,0003-9764 (Print) 0003-9764 (Linking),44,6,1987 Jun-Jul,[Listeria monocytogenes infection in children].,449-51,Listeria monocytogenes infection is relatively unusual in children. Two cases are reported which illustrate that meningitis and septicemia are the most frequent manifestations at this age. Prognosis is especially bad in immunodeficient patients.,"['Trang, T T', 'Joly, J B', 'Odievre, M']","['Trang TT', 'Joly JB', 'Odievre M']",,['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",France,Arch Fr Pediatr,Archives francaises de pediatrie,0372421,,IM,"['Child, Preschool', 'Critical Care', 'Female', 'Humans', 'Immunologic Deficiency Syndromes/complications', 'Infant', 'Leukemia, Monocytic, Acute/complications', 'Listeriosis/complications/*diagnosis/therapy', 'Male', 'Sepsis/etiology']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",ppublish,Arch Fr Pediatr. 1987 Jun-Jul;44(6):449-51.,,,,,Infection a Listeria monocytogenes chez le grand enfant.,,,
3476023,NLM,MEDLINE,19870924,20190501,1468-2044 (Electronic) 0003-9888 (Linking),62,6,1987 Jun,Acute lymphoblastic leukaemia: trimethoprim resistant organisms during treatment.,573-5,A cross sectional study was carried out in children receiving treatment for acute lymphoblastic leukaemia to determine the prevalence of trimethoprim resistant organisms in their gut flora and to compare this with a control population. There was a significantly higher prevalence of trimethoprim resistant bacteria in the study group (61%) compared with controls (14%). A longitudinal study showed that emergence of these organisms was intermittent during treatment.,"['McDowell, H P', 'Shears, P', 'Hart, C A', 'Martin, J']","['McDowell HP', 'Shears P', 'Hart CA', 'Martin J']",,['eng'],['Journal Article'],England,Arch Dis Child,Archives of disease in childhood,0372434,['AN164J8Y0X (Trimethoprim)'],IM,"['Child', 'Drug Resistance, Microbial', 'Enterobacteriaceae/drug effects/*isolation & purification', 'Humans', 'Intestines/microbiology', 'Leukemia, Lymphoid/drug therapy/*microbiology', 'Prospective Studies', 'Trimethoprim/pharmacology/*therapeutic use']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",ppublish,Arch Dis Child. 1987 Jun;62(6):573-5. doi: 10.1136/adc.62.6.573.,,['10.1136/adc.62.6.573 [doi]'],,PMC1778445,,,,
3476009,NLM,MEDLINE,19870917,20091111,0003-3944 (Print) 0003-3944 (Linking),41,3,1987,[Spontaneous rupture of the spleen in hematologic diseases. Apropos of 2 cases].,191-4,,"['Ricart, O', 'Clot, P', 'Bourstyn, E', 'Richard, C A']","['Ricart O', 'Clot P', 'Bourstyn E', 'Richard CA']",,['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",France,Ann Chir,Annales de chirurgie,0140722,,IM,"['Adult', 'Emergencies', 'Female', 'Humans', 'Laparotomy', 'Leukemia, Myeloid, Acute/*complications', 'Middle Aged', 'Prognosis', 'Rupture, Spontaneous', 'Splenectomy', 'Splenic Rupture/*etiology']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Ann Chir. 1987;41(3):191-4.,,,,,"Rupture ""spontanee"" de rate au cours des hemopathies. A propos de deux cas.",,,
3475975,NLM,MEDLINE,19870921,20190716,0002-922X (Print) 0002-922X (Linking),141,9,1987 Sep,Anaphylactic shock due to cytarabine in a leukemic child.,1000-1,"In a young child with acute promyelocytic leukemia, treatment with a variety of chemotherapeutic agents produced an acute anaphylactic reaction. When cytarabine was removed from the chemotherapeutic regimen, no further anaphylaxis occurred. Employing an enzyme-linked immunosorbent assay with cytarabine coated onto the wells in bovine serum albumin, specific IgE antibodies to this drug could be demonstrated. Similar antibodies could not be demonstrated in the serum of normal controls or of two other patients receiving cytarabine. We therefore document anaphylactic shock mediated by specific IgE antibodies to cytarabine.","['Berkowitz, F E', 'Wehde, S', 'Ngwenya, E T', 'Greeff, M', 'Wadee, A A', 'Rabson, A R']","['Berkowitz FE', 'Wehde S', 'Ngwenya ET', 'Greeff M', 'Wadee AA', 'Rabson AR']",,['eng'],"['Case Reports', 'Journal Article']",United States,Am J Dis Child,American journal of diseases of children (1960),0370471,"['04079A1RDZ (Cytarabine)', '37341-29-0 (Immunoglobulin E)']",IM,"['Anaphylaxis/*chemically induced/immunology', 'Child, Preschool', 'Cytarabine/*adverse effects/immunology', 'Enzyme-Linked Immunosorbent Assay', 'Female', 'Humans', 'Immunoglobulin E/analysis/*immunology', 'Leukemia, Myeloid, Acute/*drug therapy']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",ppublish,Am J Dis Child. 1987 Sep;141(9):1000-1. doi: 10.1001/archpedi.1987.04460090077031.,,['10.1001/archpedi.1987.04460090077031 [doi]'],,,,,,
3475858,NLM,MEDLINE,19870828,20071115,0049-6804 (Print) 0049-6804 (Linking),,5,1987 May,[Intensive detoxication therapy in acute leukemia].,80-2,,"['Terekhov, N T', 'Romanova, A F', 'Pinchuk, L B', 'Klimenko, V I', 'Starikov, A V']","['Terekhov NT', 'Romanova AF', 'Pinchuk LB', 'Klimenko VI', 'Starikov AV']",,['rus'],"['English Abstract', 'Journal Article']",Ukraine,Vrach Delo,Vrachebnoe delo,0413607,"['0 (Diuretics)', '0 (Plasma Substitutes)']",IM,"['Diuretics/*therapeutic use', '*Fluid Therapy', 'Humans', 'Leukemia, Lymphoid/*therapy', 'Leukemia, Myeloid, Acute/*therapy', 'Plasma Substitutes/*therapeutic use']",1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Vrach Delo. 1987 May;(5):80-2.,,,,,Intensivnaia dezintoksikatsionnaia terapiia pri ostrom leikoze.,,,
3475855,NLM,MEDLINE,19870831,20071115,0042-4668 (Print) 0042-4668 (Linking),,3,1987 May-Jun,[Disorder of cerebral circulation in a patient with acute myeloblastic leukemia presenting as otogenic abscess of the brain].,71-2,,"['Iausheva, A A', 'Sambulov, V I']","['Iausheva AA', 'Sambulov VI']",,['rus'],"['Case Reports', 'Journal Article']",Russia (Federation),Vestn Otorinolaringol,Vestnik otorinolaringologii,0416577,,IM,"['Brain Abscess/*diagnosis', 'Cerebral Hemorrhage/*diagnosis/etiology', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Middle Aged', 'Otitis Media/*complications', 'Otitis Media, Suppurative/*complications']",1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Vestn Otorinolaringol. 1987 May-Jun;(3):71-2.,,,,,"Narushenie mozgovogo krovoobrashcheniia u bol'noi s ostrym mieloleikozom, protekaiushchee kak otogennyi abstsess golovnogo mozga.",,,
3475819,NLM,MEDLINE,19870911,20171116,0385-0005 (Print) 0385-0005 (Linking),11,3,1986 Aug,Alloimmunization following platelet transfusions in patients with acute nonlymphocytic leukemia.,201-4,"Lymphocytotoxic (LCT) antibodies were measured in 20 adult patients with acute nonlymphocytic leukemia (ANLL) who received remission induction chemotherapy and multiple platelet transfusions. Nine (45%) became LCT positive and refractory to the platelet transfusions. This frequency of alloimmunization in ANLL patients was significantly lower than that in aplastic anemia patients (p less than 0.05). In one male with acute promyelocytic leukemia (APL), the LCT antibody disappeared during intensive chemotherapy and recovery of transfused platelets improved remarkably. The incidence of alloimmunization in the patients with APL appeared to be especially low. Six out of 9 LCT positive patients with ANLL became alloimmunized with less than 10 units of platelet transfusions. Three out of 11 LCT negative patients never became alloimmunized with more than 100 units. These facts indicated that there was no relationship between the number of platelet transfusions given and the development of alloimmunization. In addition, the remission rate also did not correlate with the development of alloimmunization.","['Nozaki, H', 'Shimizu, M', 'Komatsuda, M', 'Watanabe, K', 'Nagao, T', 'Arimori, S']","['Nozaki H', 'Shimizu M', 'Komatsuda M', 'Watanabe K', 'Nagao T', 'Arimori S']",,['eng'],['Journal Article'],Japan,Tokai J Exp Clin Med,The Tokai journal of experimental and clinical medicine,7704186,"['0 (Antilymphocyte Serum)', '0 (Antineoplastic Agents)', '0 (Isoantibodies)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Antilymphocyte Serum/isolation & purification', 'Antineoplastic Agents/therapeutic use', 'Blood Platelets/immunology', 'Female', 'Humans', 'Isoantibodies/*biosynthesis', 'Leukemia, Myeloid, Acute/immunology/*therapy', 'Male', 'Middle Aged', '*Platelet Transfusion', '*Transfusion Reaction']",1986/08/01 00:00,1986/08/01 00:01,['1986/08/01 00:00'],"['1986/08/01 00:00 [pubmed]', '1986/08/01 00:01 [medline]', '1986/08/01 00:00 [entrez]']",ppublish,Tokai J Exp Clin Med. 1986 Aug;11(3):201-4.,,,,,,,,
