PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,PMC,TT,OID,OTO,OT,GN,EIN,SI,RF,CIN,CN
3133922,NLM,MEDLINE,19880808,20110728,0001-5806 (Print) 0001-5806 (Linking),51,1,1988 Feb,"Suppression of myeloid hematopoiesis by leukemic natural killer cells bearing a Leu-11+, Leu-7- phenotype: interferon-gamma as a possible mediator.",81-93,,"['Koizumi, S', 'Tachinami, T', 'Saikawa, Y', 'Taniguchi, N']","['Koizumi S', 'Tachinami T', 'Saikawa Y', 'Taniguchi N']",,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,['82115-62-6 (Interferon-gamma)'],IM,"['Adolescent', '*Bone Marrow Cells', 'Female', '*Hematopoiesis', 'Humans', 'Interferon-gamma/*physiology', 'Killer Cells, Natural/*physiology', 'Leukemia/*genetics', 'Phenotype']",1988/02/01 00:00,1988/02/01 00:01,['1988/02/01 00:00'],"['1988/02/01 00:00 [pubmed]', '1988/02/01 00:01 [medline]', '1988/02/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1988 Feb;51(1):81-93.,,,,,,,,,,,,
3133844,NLM,MEDLINE,19880811,20190727,0041-1132 (Print) 0041-1132 (Linking),28,4,1988 Jul-Aug,Alloimmunization to D antigen and HLA in D-negative immunosuppressed oncology patients.,330-3,"D-negative patients may be divided into responders and nonresponders when immunized with D-positive red cells (RBC). Forty-nine D-negative oncology patients who received D-positive RBCs via platelet and white cell transfusions were studied to determine if nonresponders to D were likely to form lymphocytotoxic antibody (LCA). Nine patients developed anti-D in 16 to 390 days (mean = 112) after 2.6 to 481 ml (mean = 106) of D-positive RBCs. Forty patients had no evidence of anti-D after 0.8 to 535 ml (mean = 98) of D-positive RBCs and were followed for 14 to 1275 days (mean = 192). The anti-D group had no prior D-positive RBC transfusions, and two of five women making anti-D had previous pregnancies but no record of anti-D. LCA was found in four of nine (44%) patients with anti-D and in 12 of 40 (30%) patients without anti-D (p less than 0.50). Since both D and antigens HLA are considered highly immunogenic, it is of interest that the ability to form anti-D or LCA does not correlate. In fact, more patients (16/49; 32%) made LCA than anti-D (9/49; 18%). Of the 21 alloimmunized patients, 4 made both antibodies, while 17 had selective alloimmunization. It would thus appear that alloimmunization to D and HLA are not strongly linked and may indeed be unrelated.","['Baldwin, M L', 'Ness, P M', 'Scott, D', 'Braine, H', 'Kickler, T S']","['Baldwin ML', 'Ness PM', 'Scott D', 'Braine H', 'Kickler TS']","['Department of Laboratory Medicine, Johns Hopkins Hospital, Baltimore, Maryland.']",['eng'],['Journal Article'],United States,Transfusion,Transfusion,0417360,"['0 (Antilymphocyte Serum)', '0 (HLA Antigens)', '0 (Isoantibodies)', '0 (Rh-Hr Blood-Group System)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antibody Formation', 'Antilymphocyte Serum/immunology', 'Drug-Related Side Effects and Adverse Reactions', 'Female', 'HLA Antigens/*immunology', 'Humans', 'Immune Tolerance', 'Isoantibodies/*immunology', 'Leukemia/*immunology', 'Male', 'Middle Aged', 'Rh-Hr Blood-Group System/*immunology']",1988/07/01 00:00,1988/07/01 00:01,['1988/07/01 00:00'],"['1988/07/01 00:00 [pubmed]', '1988/07/01 00:01 [medline]', '1988/07/01 00:00 [entrez]']",['10.1046/j.1537-2995.1988.28488265260.x [doi]'],ppublish,Transfusion. 1988 Jul-Aug;28(4):330-3. doi: 10.1046/j.1537-2995.1988.28488265260.x.,,,,,,,,,,,,
3133627,NLM,MEDLINE,19880803,20131121,0950-9232 (Print) 0950-9232 (Linking),2,6,1988 Jun,A novel 53 kDa protein complexed with P210bcr-abl in human chronic myelogenous leukemia cells.,559-66,"Leukemic cells from patients with Philadelphia chromosome (Ph1)-positive chronic myelogenous leukemia (CML) contain a 210 kDa protein (P210bcr-abl) with a protein tyrosine kinase activity that is a product of fused bcr and abl genes. We have prepared two monoclonal anti-peptide antibodies, one from each gene product, and have affinity purified each. Incubation of anti-abl (c-abl 51-64) immunoprecipitates of K562 cells with [gamma-32P]ATP in protein kinase assays resulted in the labeling of P210bcr-abl and a 53 kDa (ph-P53) protein. Increasing concentrations of antibody detected similar ratios of P210bcr-abl: ph-P53, suggesting the presence of a complex between the proteins. Several different anti-abl and anti-bcr antibodies detected the ph-P53/P210 complex. Sodium dodecyl sulfate (SDS) treatment without 2-mercaptoethanol eluted P210bcr-abl and ph-P53 from the monoclonal antibody in the form of complexes which migrated on 6% SDS-polyacrylamide gels and had apparent molecular weights of 275,000 and more than 500,000. Both complexes yielded ph-P53 and P210bcr-abl upon treatment with SDS-mercaptoethanol. Studies involving glycerol gradient centrifugation also detected complexes of P210bcr-abl and ph-P53. Our results indicate that ph-P53 is not a degraded product of P210bcr-abl, does not share antigenic determinants with P210bcr-abl since it is not recognized by anti-abl and bcr antibodies in immunoblots, is not the phosphorylated heavy chain of immunoglobulin G, and is different from p53 (the nonviral T protein) complexed to the large T antigen of simian virus 40. Previous studies (Maxwell et al., 1987) have shown that ph-P53 has a different peptide map than P210bcr-abl. Therefore, we conclude that ph-P53 is a distinct cellular protein complexed to P210bcr-abl in K562 cells.","['Li, W J', 'Kloetzer, W S', 'Arlinghaus, R B']","['Li WJ', 'Kloetzer WS', 'Arlinghaus RB']","['University of Texas System Cancer Center, M.D. Anderson Hospital and Cancer Institute, Houston 77030.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Oncogene,Oncogene,8711562,"['0 (Macromolecular Substances)', '0 (Neoplasm Proteins)', '0 (Phosphoproteins)', '0 (Proto-Oncogene Proteins)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Cell Fractionation', 'Electrophoresis, Polyacrylamide Gel', 'Fusion Proteins, bcr-abl', 'Humans', 'Immunologic Techniques', 'Leukemia, Myeloid/*metabolism', 'Macromolecular Substances', 'Molecular Weight', 'Neoplasm Proteins/*metabolism', 'Phosphoproteins/metabolism', 'Proto-Oncogene Proteins/metabolism', 'Tumor Cells, Cultured']",1988/06/01 00:00,1988/06/01 00:01,['1988/06/01 00:00'],"['1988/06/01 00:00 [pubmed]', '1988/06/01 00:01 [medline]', '1988/06/01 00:00 [entrez]']",,ppublish,Oncogene. 1988 Jun;2(6):559-66.,"['CA16672/CA/NCI NIH HHS/United States', 'CA45125/CA/NCI NIH HHS/United States']",,,,,,,,,,,
3133506,NLM,MEDLINE,19880729,20131121,0485-1439 (Print) 0485-1439 (Linking),28,10,1987 Oct,[Effects of FOY on DIC patients associated with hematological neoplastic disorders. Hanshin Cooperative Study Group of Hematological Disorders].,1729-37,,"['Taniguchi, N', 'Kitani, T', 'Kawagoe, H', 'Horiuchi, A', 'Masaoka, T', 'Yasunaga, K', 'Okamoto, Y', 'Ohkubo, A', 'Yonezawa, T', 'Nagai, K']","['Taniguchi N', 'Kitani T', 'Kawagoe H', 'Horiuchi A', 'Masaoka T', 'Yasunaga K', 'Okamoto Y', 'Ohkubo A', 'Yonezawa T', 'Nagai K']",,['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Anticoagulants)', '0 (Guanidines)', '4V7M9137X9 (Gabexate)']",IM,"['Aged', 'Aged, 80 and over', 'Anticoagulants/*therapeutic use', 'Disseminated Intravascular Coagulation/*drug therapy/etiology', 'Drug Evaluation', 'Female', 'Gabexate', 'Guanidines/*therapeutic use', 'Humans', 'Leukemia/*complications', 'Lymphoma/*complications', 'Male']",1987/10/01 00:00,1987/10/01 00:01,['1987/10/01 00:00'],"['1987/10/01 00:00 [pubmed]', '1987/10/01 00:01 [medline]', '1987/10/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1987 Oct;28(10):1729-37.,,,,,,,,,,,,
3133492,NLM,MEDLINE,19880729,20151119,0257-5655 (Print) 0257-5655 (Linking),3,9,1987 Sep,Acute megakaryoblastic leukemia--a case report.,623-7,,"['Chang, C S', 'Lin, S F', 'Chen, J R', 'Liu, H W']","['Chang CS', 'Lin SF', 'Chen JR', 'Liu HW']",,['eng'],"['Case Reports', 'Journal Article']",China (Republic : 1949- ),Gaoxiong Yi Xue Ke Xue Za Zhi,Gaoxiong yi xue ke xue za zhi = The Kaohsiung journal of medical sciences,8603880,"['0 (Antibodies, Monoclonal)', '0 (Antigens)', '0 (von Willebrand Factor)', '9001-27-8 (Factor VIII)']",IM,"['Acute Disease', 'Adult', 'Antibodies, Monoclonal', 'Antigens/analysis', 'Factor VIII/analysis/immunology', 'Female', 'Humans', 'Immunoenzyme Techniques', 'Leukemia, Megakaryoblastic, Acute/*diagnosis/immunology', 'von Willebrand Factor']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",,ppublish,Gaoxiong Yi Xue Ke Xue Za Zhi. 1987 Sep;3(9):623-7.,,,,,,,,,,,,
3133373,NLM,MEDLINE,19880802,20190903,0171-5216 (Print) 0171-5216 (Linking),114,3,1988,Inhibition of ornithine decarboxylase induction by retinobenzoic acids in relation to their binding affinities to cellular retinoid-binding proteins.,221-4,"Retinobenzoic acids induce differentiation of human promyelocytic leukemia cells (HL-60). Like retinoic acid, 14 retinobenzoic acids inhibited the induction of ornithine decarboxylase (ODC) by teleocidin in mouse skin. The mechanism(s) of inhibition of ODC induction by 7 retinobenzoic acids, Am 80, Am 81, Am 580, Am 590, Am 68, Sa 80, and Ch 55 was compared with those by all-trans-retinoic acid and the arotinoid compound 19. Application of 114 nmol of Am 80, Am 81, Am 580, Am 590, Am 68, Sa 80, or Ch 55, 10 min before 11.4 nmol of teleocidin, resulted in 76.7%, 82.0%, 76.2%, 28.3%, 48.4%, 58.6%, and 85.1% inhibition of ODC induction, respectively. Since all-trans-retinoic acid and compound 19 were also inhibitory, we determined whether retinobenzoic acids bind to cellular retinoic acid-binding protein (CRABP) isolated from bovine adrenal glands. Am 80 and Am 580 inhibited the specific binding of 3H-retinoic acid to CRABP, but also showed less affinity than authentic unlabeled retinoic acid and compound 19. Am 81, Am 590, Am 68, Sa 80, and Ch 55 at up to 10 microM were not effective competitors of the binding of either 3H-retinoic acid or 3H-retinol. These results suggest that the inhibition of ODC induction can be mediated by pathways that do not involve CRABP or the cellular retinol-binding protein.","['Takagi, K', 'Suganuma, M', 'Kagechika, H', 'Shudo, K', 'Ninomiya, M', 'Muto, Y', 'Fujiki, H']","['Takagi K', 'Suganuma M', 'Kagechika H', 'Shudo K', 'Ninomiya M', 'Muto Y', 'Fujiki H']","['Cancer Prevention Division, National Cancer Center Research Institute, Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology,7902060,"['0 (Benzoates)', '0 (Lyngbya Toxins)', '0 (Retinoids)', '0 (Retinol-Binding Proteins)', '0 (Retinol-Binding Proteins, Cellular)', '11103-57-4 (Vitamin A)', '27974YJ83L (teleocidins)', '5688UTC01R (Tretinoin)', 'EC 4.1.1.17 (Ornithine Decarboxylase)']",IM,"['Animals', 'Benzoates/*pharmacology', 'Enzyme Induction/drug effects', 'Female', 'Lyngbya Toxins/pharmacology', 'Mice', 'Ornithine Decarboxylase/*biosynthesis', 'Retinoids/*pharmacology', 'Retinol-Binding Proteins/*metabolism', 'Retinol-Binding Proteins, Cellular', 'Skin/drug effects/enzymology', 'Tretinoin/metabolism', 'Vitamin A/metabolism']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.1007/BF00405825 [doi]'],ppublish,J Cancer Res Clin Oncol. 1988;114(3):221-4. doi: 10.1007/BF00405825.,,,,,,,,,,,,
3133338,NLM,MEDLINE,19880808,20190510,0910-5050 (Print) 0910-5050 (Linking),79,4,1988 Apr,Combined use of alpha-difluoromethylornithine and an inhibitor of S-adenosylmethionine decarboxylase in mice bearing P388 leukemia or Lewis lung carcinoma.,501-8,"The antitumor and antimetastatic effects of alpha-difluoromethylornithine (DFMO), an inhibitor of ornithine decarboxylase, combined with an inhibitor of S-adenosylmethionine decarboxylase, either methylglyoxal bis(guanylhydrazone) (MGBG) or ethylglyoxal bis(guanylhydrazone) (EGBG), were studied in mice bearing P388 leukemia or Lewis lung carcinoma. Although EGBG is a more specific inhibitor of polyamine biosynthesis than the widely used MGBG, the antitumor effect of the DFMO-EGBG combination on P388 leukemia-bearing mice was less than that of the DFMO-MGBG combination. The prolongation of survival time by the DFMO(1000 mg/kg)-MGBG(25 mg/kg) combination was 2.65-fold, while that of the DFMO(1000 mg/kg)-EGBG(50 mg/kg) combination was 1.34-fold. When mice were fed a polyamine-deficient diet, stronger antitumor effects were exerted; the prolongation of survival time by the DFMO-MGBG and the DFMO-EGBG combinations was 2.89-fold and 2.03-fold, respectively. The antitumor effect of combined use of the two polyamine antimetabolites with mice on normal and polyamine-deficient diets correlated with a decrease of polyamine charge contents in the tumor cells. The above in vivo results were confirmed clearly in the KB cell culture system. The antimetastatic activity of DFMO on Lewis lung carcinoma-bearing mice was strengthened by the addition of MGBG or EGBG. The antimetastatic activity of the DFMO-MGBG or DFMO-EGBG combination did not parallel the polyamine charge contents in the primary tumor and blood.","['Nakaike, S', 'Kashiwagi, K', 'Terao, K', 'Iio, K', 'Igarashi, K']","['Nakaike S', 'Kashiwagi K', 'Terao K', 'Iio K', 'Igarashi K']","['Faculty of Pharmaceutical Sciences, Chiba University.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,"['0 (Antimetabolites, Antineoplastic)', '0 (Polyamines)', '1945-68-2 (ethylglyoxal bis(guanylhydrazone))', 'EC 4.1.1.- (Carboxy-Lyases)', 'EC 4.1.1.50 (Adenosylmethionine Decarboxylase)', 'OD5Q0L447W (Mitoguazone)', 'ZQN1G5V6SR (Eflornithine)']",IM,"['Adenosylmethionine Decarboxylase/*antagonists & inhibitors', 'Animals', 'Antimetabolites, Antineoplastic/administration & dosage', 'Antineoplastic Combined Chemotherapy Protocols/*administration & dosage', 'Carboxy-Lyases/*antagonists & inhibitors', 'Eflornithine/*administration & dosage', 'Female', 'Leukemia P388/*drug therapy', 'Leukemia, Experimental/*drug therapy', 'Lung Neoplasms/*drug therapy', 'Mice', 'Mitoguazone/administration & dosage/analogs & derivatives', 'Neoplasm Metastasis', 'Polyamines/biosynthesis', 'Tumor Cells, Cultured']",1988/04/01 00:00,1988/04/01 00:01,['1988/04/01 00:00'],"['1988/04/01 00:00 [pubmed]', '1988/04/01 00:01 [medline]', '1988/04/01 00:00 [entrez]']",['10.1111/j.1349-7006.1988.tb01619.x [doi]'],ppublish,Jpn J Cancer Res. 1988 Apr;79(4):501-8. doi: 10.1111/j.1349-7006.1988.tb01619.x.,,PMC5917513,,,,,,,,,,
3133337,NLM,MEDLINE,19880808,20190510,0910-5050 (Print) 0910-5050 (Linking),79,4,1988 Apr,Immunogenotypes of lymphoid malignancies; the rearrangement of T cell receptor beta chain gene can occur before the gamma chain gene rearrangement.,484-90,"Immunoglobulin (Ig) and T cell receptor (TcR) gene rearrangements were analyzed in 101 cases of lymphoid malignancies in association with a surface phenotype study. In leukemias/lymphomas with mature phenotype, there is a good correlation between phenotypes and genotypes. However, in leukemias/lymphomas with immature phenotype, we found many discordances between phenotypes and genotypes, suggesting the stochastic nature of hematopoietic cell differentiation at the early stage. As for TcR beta and gamma chains, the rearrangement of gamma chain gene is considered to occur slightly prior to that of beta chain gene. However, we observed a mature T cell malignancy, adult T-cell leukemia, with rearranged beta chain gene and germ line gamma chain gene, showing the possible existence of another pathway of T cell differentiation.","['Miwa, H', 'Nosaka, T', 'Kita, K', 'Ohno, T', 'Matsuoka, N', 'Shirakawa, S', 'Arita, Y', 'Doi, S', 'Nishikori, M', 'Honjo, T']","['Miwa H', 'Nosaka T', 'Kita K', 'Ohno T', 'Matsuoka N', 'Shirakawa S', 'Arita Y', 'Doi S', 'Nishikori M', 'Honjo T', 'et al.']","['Second Department of Internal Medicine, Faculty of Medicine, Mie University, Tsu.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,"['0 (Receptors, Antigen, T-Cell)']",IM,"['Cell Differentiation', '*Genes, Immunoglobulin', 'Genotype', 'Humans', 'Leukemia/classification/*genetics/pathology', 'Leukemia, Lymphoid/genetics/immunology/pathology', 'Lymphoma/classification/*genetics/pathology', 'Lymphoma, Non-Hodgkin/genetics/immunology/pathology', 'Phenotype', 'Receptors, Antigen, T-Cell/*genetics', 'T-Lymphocytes/metabolism/*pathology']",1988/04/01 00:00,1988/04/01 00:01,['1988/04/01 00:00'],"['1988/04/01 00:00 [pubmed]', '1988/04/01 00:01 [medline]', '1988/04/01 00:00 [entrez]']",['10.1111/j.1349-7006.1988.tb01617.x [doi]'],ppublish,Jpn J Cancer Res. 1988 Apr;79(4):484-90. doi: 10.1111/j.1349-7006.1988.tb01617.x.,,PMC5917505,,,,,,,,,,
3133176,NLM,MEDLINE,19880803,20041117,0366-6999 (Print) 0366-6999 (Linking),100,12,1987 Dec,Gaucher-like cells in chronic neutrophilic leukemia. A case report.,988-9,,"['Tang, D J', 'Yu, Z F', 'Song, J Z', 'Chen, M C', 'Wang, Z W']","['Tang DJ', 'Yu ZF', 'Song JZ', 'Chen MC', 'Wang ZW']",,['eng'],"['Case Reports', 'Journal Article']",China,Chin Med J (Engl),Chinese medical journal,7513795,,IM,"['Adult', 'Female', 'Humans', 'Leukemia, Myeloid/*pathology', 'Neutrophils', 'Spleen/*pathology']",1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",,ppublish,Chin Med J (Engl). 1987 Dec;100(12):988-9.,,,,,,,,,,,,
3133168,NLM,MEDLINE,19880803,20131121,0366-6999 (Print) 0366-6999 (Linking),100,12,1987 Dec,All-trans retinoic acid with or without low dose cytosine arabinoside in acute promyelocytic leukemia. Report of 6 cases.,949-53,,"['Huang, M E', 'Ye, Y C', 'Chen, S R', 'Zhao, J C', 'Gu, L J', 'Cai, J R', 'Zhao, L', 'Xie, J X', 'Shen, Z X', 'Wang, Z Y']","['Huang ME', 'Ye YC', 'Chen SR', 'Zhao JC', 'Gu LJ', 'Cai JR', 'Zhao L', 'Xie JX', 'Shen ZX', 'Wang ZY']",,['eng'],['Journal Article'],China,Chin Med J (Engl),Chinese medical journal,7513795,"['04079A1RDZ (Cytarabine)', '5688UTC01R (Tretinoin)']",IM,"['Adult', 'Child', 'Child, Preschool', 'Cytarabine/*administration & dosage/therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged', 'Tretinoin/*therapeutic use']",1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",,ppublish,Chin Med J (Engl). 1987 Dec;100(12):949-53.,,,,,,,,,,,,
3133128,NLM,MEDLINE,19880803,20190510,0143-3334 (Print) 0143-3334 (Linking),9,7,1988 Jul,Sister chromatid exchanges and chromosomal aberrations in mouse cells infected with the Abelson and Moloney leukemia viruses.,1229-31,"'Spontaneous' and mitomycin C (MMC)-induced sister chromatid exchanges (SCE) and chromatid breaks were scored in ANN-1 fibroblasts, a non-producer mouse cell line transformed by the Abelson murine leukemia virus (A-MuLV), a replication defective retrovirus whose genome contains the v-abl oncogene. Normal, non-transformed NIH3T3 fibroblasts were used as control. SCE and chromatid break frequencies in untreated or MMC-treated ANN-1 and NIH3T3 cells were compared with those observed in the same cells after infection with the helper murine Moloney leukemia virus (M-MuLV), which rescues the ability of A-MuLV to replicate in ANN-1 cells. The frequency of spontaneous and MMC-induced SCE were not significantly different in both ANN-1 and NIH3T3 cells, independently of M-MuLV infection. After M-MuLV infection, however, increased 'spontaneous' frequency of SCE and altered susceptibility to the induction of SCE by MMC was observed in both cell lines compared to M-MuLV-uninfected cells. In the case of chromatid breaks, the baseline frequency was not significantly different between the two cell lines both in the presence or in the absence of M-MuLV infection, nor was it significantly increased by M-MuLV, with respect to the value observed in uninfected cells. These results indicate that, at variance with what occurs with SCE, viral replication is not needed to increase the frequency of chromosomal aberrations and that the portion of A-MuLV genome alone is sufficient to increase chromatid breaks but not SCE in ANN-1 cells. Thus, in mouse cells carrying retroviruses, SCE and chromosomal aberrations seem to be independently generated, and influenced by different viral genes.","['Majone, F', 'Montaldi, A', 'Saggioro, D', 'Bianchi, L C', 'Levis, A G']","['Majone F', 'Montaldi A', 'Saggioro D', 'Bianchi LC', 'Levis AG']","['Department of Biology, University of Padua, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Carcinogenesis,Carcinogenesis,8008055,"['0 (Mitomycins)', '50SG953SK6 (Mitomycin)']",IM,"['Abelson murine leukemia virus', 'Animals', 'Cell Line', '*Cell Transformation, Viral', '*Chromosome Aberrations', 'Mice', 'Mitomycin', 'Mitomycins/pharmacology', 'Moloney murine leukemia virus', '*Oncogenes', '*Sister Chromatid Exchange']",1988/07/01 00:00,1988/07/01 00:01,['1988/07/01 00:00'],"['1988/07/01 00:00 [pubmed]', '1988/07/01 00:01 [medline]', '1988/07/01 00:00 [entrez]']",['10.1093/carcin/9.7.1229 [doi]'],ppublish,Carcinogenesis. 1988 Jul;9(7):1229-31. doi: 10.1093/carcin/9.7.1229.,,,,,,,,,,,,
3133107,NLM,MEDLINE,19880811,20190720,0304-3835 (Print) 0304-3835 (Linking),40,2,1988 Jun 15,"Assessment of tumor cell sensitivity to mitomycin C by ""B23 translocation"" assay.",143-9,"Mouse leukemia cells (p388D1) were grown in medium containing various amounts of mitomycin C for 4 h. Cellular localization of protein B23 was detected using an immunofluorescence technique. Translocation of protein B23 from nucleoli to the nucleoplasm was observed with increasing dose of mitomycin C. To study the correlation of B23 translocation and drug resistance, three human colon carcinoma cell lines, HCT116, HCT116b (a line that is natively or intrinsically resistant to mitomycin C), and HCT116-44 (a line with an acquired resistance to mitomycin C), were employed. These cells were incubated with 1--150 micrograms/ml of mitomycin C. The drug concentration that caused 50% of the cells to have complete translocation (IC50) was determined for each cell line. The IC50 values of HCT116, HCT116b and HCT116-44 were 6, 10 and 50 micrograms/ml, respectively. These IC50 values correlate well with the mitomycin C resistant phenotype of these tumor cells as determined by other in vivo and in vitro assays (Willson, et al. (1985) Cancer Res., 45, 5281-5286). These results identify an inverse relationship between the ease of protein B23 translocation and the degree of mitomycin C resistance in human colon carcinoma cells. This relationship applies to cells that have either acquired mitomycin C resistance or intrinsic resistance to the drug.","['Chan, P K', 'Aldrich, M B', 'Chakrabarty, S']","['Chan PK', 'Aldrich MB', 'Chakrabarty S']","['Department of Pharmacology, Baylor College of Medicine, Houston, TX 77030.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Ireland,Cancer Lett,Cancer letters,7600053,"['0 (Mitomycins)', '0 (Phosphoproteins)', '50SG953SK6 (Mitomycin)']",IM,"['Animals', 'Cell Nucleolus/*metabolism', 'Drug Resistance', 'Fluorescent Antibody Technique', 'Humans', 'Mice', 'Mitomycin', 'Mitomycins/*pharmacology', 'Phosphoproteins/*metabolism', 'Tumor Cells, Cultured/*drug effects']",1988/06/15 00:00,1988/06/15 00:01,['1988/06/15 00:00'],"['1988/06/15 00:00 [pubmed]', '1988/06/15 00:01 [medline]', '1988/06/15 00:00 [entrez]']","['0304-3835(88)90004-3 [pii]', '10.1016/0304-3835(88)90004-3 [doi]']",ppublish,Cancer Lett. 1988 Jun 15;40(2):143-9. doi: 10.1016/0304-3835(88)90004-3.,['CA 42476/CA/NCI NIH HHS/United States'],,,,,,,,,,,
3132893,NLM,MEDLINE,19880725,20081121,0385-0684 (Print) 0385-0684 (Linking),15,4 Pt 2-2,1988 Apr,[Clinical investigation of interferons in the preleukemic state (CML and MDS)].,1191-7,"We treated 11 patients who had Philadelphia-chromosome-positive chronic myelogenous leukemia with natural interferon alpha (human lymphoblastoid interferon; HLBI). HLBI was given at 6-12 X 10(6) u/day i.m. or i.s.c. during induction therapy. Nine patients responded to the treatment, of whom 7 had hematologic remission and 2 had partial remission. Six patients with MDS or hypoplastic leukemia, and 3 patients with overt leukemia from MDS were treated with recombinant interferon gamma (GI-3). GI-3 was given at 0.4 X 10(6) u/m2 of body-surface area per day i.s.c. or i.v. for 4-6 weeks. In 2 patients with RAEB and hypoplastic leukemia, the blast cell count in bone marrow decreased from 8-16% to 2-3% after 4 weeks of administration. In another patient with hypoplastic leukemia, blast cells in the marrow did not decrease, but anemia was improved without transfusion, increasing the bone marrow NCC and erythroblast count. In patients with overt leukemia and CMML, no clinical effect was obtained. Interferons can therefore be offered to patients in a preleukemic state.","['Koyama, S']",['Koyama S'],"['1st Dept. of Internal Medicine, Niigata University School of Medicine.']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,"['0 (Interferon Type I)', '82115-62-6 (Interferon-gamma)']",IM,"['Adult', 'Aged', 'Female', 'Humans', 'Injections, Intramuscular', 'Injections, Subcutaneous', 'Interferon Type I/administration & dosage/*therapeutic use', 'Interferon-gamma/administration & dosage/*therapeutic use', 'Leukemia, Myeloid/*therapy', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*therapy', 'Preleukemia/*therapy']",1988/04/01 00:00,1988/04/01 00:01,['1988/04/01 00:00'],"['1988/04/01 00:00 [pubmed]', '1988/04/01 00:01 [medline]', '1988/04/01 00:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 1988 Apr;15(4 Pt 2-2):1191-7.,,,,,,,,,,,,
3132810,NLM,MEDLINE,19880728,20180216,0001-5792 (Print) 0001-5792 (Linking),79,4,1988,"Acute myeloblastic leukemia after propyl-thio-uracil, a simple coincidence?",229,,"['Azizerli, H', 'Aksoy, M', 'Alagol, F']","['Azizerli H', 'Aksoy M', 'Alagol F']",,['eng'],"['Case Reports', 'Letter']",Switzerland,Acta Haematol,Acta haematologica,0141053,['721M9407IY (Propylthiouracil)'],IM,"['Humans', 'Leukemia, Myeloid, Acute/*chemically induced', 'Male', 'Middle Aged', 'Propylthiouracil/*adverse effects', 'Time Factors']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.1159/000205816 [doi]'],ppublish,Acta Haematol. 1988;79(4):229. doi: 10.1159/000205816.,,,,,,,,,,,,
