PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,FAU,AU,RN,AB,GR,PMC,TT,RF,SI,OID,PS,FPS,CN
6321840,NLM,MEDLINE,19840413,20041117,0027-8874 (Print) 0027-8874 (Linking),72,3,1984 Mar,Indirect leukocyte migration inhibition in breast cancer and benign breast disease patients by mouse mammary tumor virus grown in feline kidney cells.,569-76,['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Animals', 'Breast Neoplasms/*immunology', 'Cats', 'Cell Migration Inhibition', 'Cells, Cultured', 'Female', 'Fibrocystic Breast Disease/*immunology', 'Humans', 'Immunity, Cellular', 'Kidney', 'Leukocyte Migration-Inhibitory Factors/analysis', 'Leukocytes/*immunology', 'Mammary Neoplasms, Experimental/immunology', 'Mammary Tumor Virus, Mouse/*immunology', 'Mice', 'Mice, Inbred C3H']",1984/03/01 00:00,1984/03/01 00:01,['1984/03/01 00:00'],"['1984/03/01 00:00 [pubmed]', '1984/03/01 00:01 [medline]', '1984/03/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1984 Mar;72(3):569-76.,"['McCoy, J L', 'Tagliabue, A', 'Ames, R E', 'Teramoto, Y A', 'Cannon, G B', 'Alford, C', 'Herberman, R B', 'Schlom, J']","['McCoy JL', 'Tagliabue A', 'Ames RE', 'Teramoto YA', 'Cannon GB', 'Alford C', 'Herberman RB', 'Schlom J']",['0 (Leukocyte Migration-Inhibitory Factors)'],"Indirect migration inhibition assays were performed with normal and mammary tumor-bearing C3H/HeN mice and patients with breast disease to assess cellular immunity against three different mouse mammary tumor virus (MTV) preparations grown in feline kidney cell cultures and against a mouse-derived MTV preparation. MTV obtained after passage through feline kidney cells and the mouse-derived MTV were capable of eliciting macrophage migration inhibitory factor production by mouse spleen cells obtained from normal or mammary tumor-bearing C3H/HeN mice, thus demonstrating a similar degree of antigenicity of these preparations. In experiments with human breast cancer patients' leukocytes, leukocyte inhibitory factor (LIF) was produced by 32-50% of these patients in response to the mouse-derived MTV or to three different MTV preparations obtained after passage through feline kidney cells. A significant proportion (31-54%) of benign breast disease patients also reacted with both the mouse-derived and feline-derived MTV preparations. Patients with both malignant and benign breast disease, however, had a significantly different (P less than .05) pattern of reactivity to mouse- and feline-derived MTV preparations from that observed with normal donors. Finally, some LIF activity was also observed (but not statistically significant with the use of nonparametric analysis methods) when feline leukemia virus was used as antigen with these patients. The data suggest that both breast cancer and benign breast disease patients were reactive against antigens largely specific for MTV in the feline cells and, presumably, were not reactive against feline cellular components, although the second possibility cannot be completely ruled out.",,,,,,,,,
6321810,NLM,MEDLINE,19840416,20211203,0098-7484 (Print) 0098-7484 (Linking),251,12,1984 Mar 23-30,Screening for human T-cell leukemia-lymphoma virus.,1555,['eng'],['Letter'],United States,JAMA,JAMA,7501160,IM,"['Blacks', 'Deltaretrovirus/*isolation & purification', 'Humans', 'Leukemia/prevention & control', 'Lymphoma/prevention & control', 'Personnel, Hospital', 'Retroviridae Infections/prevention & control', 'United States']",1984/03/23 00:00,1984/03/23 00:01,['1984/03/23 00:00'],"['1984/03/23 00:00 [pubmed]', '1984/03/23 00:01 [medline]', '1984/03/23 00:00 [entrez]']",,ppublish,JAMA. 1984 Mar 23-30;251(12):1555.,"['Smally, A J']",['Smally AJ'],,,,,,,,,,,
6321797,NLM,MEDLINE,19840426,20200724,0022-538X (Print) 0022-538X (Linking),50,1,1984 Apr,Different bovine leukemia virus-induced tumors harbor the provirus in different chromosomes.,275-9,['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,IM,"['Animals', 'Cattle', 'Chromosome Mapping', '*Chromosomes', 'Cricetinae', 'DNA Restriction Enzymes', '*Genes, Viral', 'Hybrid Cells', 'Leukemia Virus, Bovine/*genetics', 'Leukemia, Experimental/genetics/*microbiology', 'Nucleic Acid Hybridization', '*Recombination, Genetic', 'Retroviridae/*genetics']",1984/04/01 00:00,1984/04/01 00:01,['1984/04/01 00:00'],"['1984/04/01 00:00 [pubmed]', '1984/04/01 00:01 [medline]', '1984/04/01 00:00 [entrez]']",['10.1128/JVI.50.1.275-279.1984 [doi]'],ppublish,J Virol. 1984 Apr;50(1):275-9. doi: 10.1128/JVI.50.1.275-279.1984.,"['Gregoire, D', 'Couez, D', 'Deschamps, J', 'Heuertz, S', 'Hors-Cayla, M C', 'Szpirer, J', 'Szpirer, C', 'Burny, A', 'Huez, G', 'Kettmann, R']","['Gregoire D', 'Couez D', 'Deschamps J', 'Heuertz S', 'Hors-Cayla MC', 'Szpirer J', 'Szpirer C', 'Burny A', 'Huez G', 'Kettmann R']",['EC 3.1.21.- (DNA Restriction Enzymes)'],"DNAs from 25 independent hamster X bovine somatic cell hybrids were submitted to the Southern blot analysis with probes made of unique cellular fragments adjacent to single-copy proviruses from three different bovine tumors. It appeared that these cellular sequences, and thus the respective proviruses, belonged to three different chromosomes in the three different tumors examined.",,PMC255611,,,,,,,
6321796,NLM,MEDLINE,19840426,20200724,0022-538X (Print) 0022-538X (Linking),50,1,1984 Apr,Transcriptional control of the bovine leukemia virus genome: role and characterization of a non-immunoglobulin plasma protein from bovine leukemia virus-infected cattle.,267-70,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,IM,"['Animals', 'Blood Proteins/*physiology', 'Cattle/*blood', 'Cells, Cultured', '*Gene Expression Regulation', 'Genes, Viral', 'Leukemia Virus, Bovine/*genetics/physiology', 'Leukemia Virus, Feline/genetics', 'Leukemia, Experimental/*blood', 'Lymphocytes/microbiology', 'Molecular Weight', 'RNA, Viral/biosynthesis', 'Rauscher Virus/genetics', 'Retroviridae/*genetics', 'Species Specificity', '*Transcription, Genetic', 'Viral Proteins/biosynthesis']",1984/04/01 00:00,1984/04/01 00:01,['1984/04/01 00:00'],"['1984/04/01 00:00 [pubmed]', '1984/04/01 00:01 [medline]', '1984/04/01 00:00 [entrez]']",['10.1128/JVI.50.1.267-270.1984 [doi]'],ppublish,J Virol. 1984 Apr;50(1):267-70. doi: 10.1128/JVI.50.1.267-270.1984.,"['Gupta, P', 'Kashmiri, S V', 'Ferrer, J F']","['Gupta P', 'Kashmiri SV', 'Ferrer JF']","['0 (Blood Proteins)', '0 (RNA, Viral)', '0 (Viral Proteins)']","Using cloned bovine leukemia virus (BLV) DNA as a probe in the dot blot hybridization technique, we demonstrated that the expression of the BLV genome in infected lymphocytes is blocked in vivo at the transcriptional level. This blocking effect is due to a non-immunoglobulin protein present in the plasma but not in the serum of BLV-infected cattle. The plasma BLV-blocking protein also blocks the expression of the BLV genome in fibroblast cells of bovine and nonbovine origin infected with BLV in vitro. The plasma BLV-blocking factor has no inhibitory effect on the expression of Rauscher murine leukemia virus and feline leukemia virus in monolayer culture. The plasma BLV-blocking factor is not an interferon molecule. As determined by gel filtration chromatography, the plasma BLV-blocking factor has an apparent molecular weight of ca. 150,000.",,PMC255609,,,,,,,
6321791,NLM,MEDLINE,19840426,20200724,0022-538X (Print) 0022-538X (Linking),50,1,1984 Apr,Endogenous xenotropic murine leukemia virus-related sequences map to chromosomal regions encoding mouse lymphocyte antigens.,237-47,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,IM,"['Animals', 'Antigens, Ly/*genetics', 'Chromosome Mapping', '*Chromosomes', 'DNA Restriction Enzymes', '*Deoxyribonucleases, Type II Site-Specific', 'Genes', '*Genes, Viral', 'Leukemia Virus, Murine/*genetics', 'Mice', 'Mice, Inbred Strains/*genetics', 'Nucleic Acid Hybridization', '*Recombination, Genetic']",1984/04/01 00:00,1984/04/01 00:01,['1984/04/01 00:00'],"['1984/04/01 00:00 [pubmed]', '1984/04/01 00:01 [medline]', '1984/04/01 00:00 [entrez]']",['10.1128/JVI.50.1.237-247.1984 [doi]'],ppublish,J Virol. 1984 Apr;50(1):237-47. doi: 10.1128/JVI.50.1.237-247.1984.,"['Wejman, J C', 'Taylor, B A', 'Jenkins, N A', 'Copeland, N G']","['Wejman JC', 'Taylor BA', 'Jenkins NA', 'Copeland NG']","['0 (Antigens, Ly)', 'EC 3.1.21.- (DNA Restriction Enzymes)', 'EC 3.1.21.4 (CAGCTG-specific type II deoxyribonucleases)', 'EC 3.1.21.4 (Deoxyribonucleases, Type II Site-Specific)']","DNAs of all inbred mouse strains contain multiple copies (18 to 28 copies per haploid mouse genome) of endogenous xenotropic murine leukemia virus-related sequences detectable by Southern analysis with a xenotropic murine leukemia virus env gene-specific probe. After PvuII digestion, we identified a subset of xenotropic murine leukemia virus-related sequences that are well resolved by agarose gel electrophoresis and can be mapped to specific chromosomes by using recombinant inbred mouse strains. Interestingly, three of six xenotropic proviral loci that we mapped were integrated near genes encoding mouse lymphocyte antigens (Ly-m22, chromosome 1; Ly-m6, chromosome 2; and Ly-m10, chromosome 19) and a fourth xenotropic proviral locus mapped near a gene on chromosome 4 that has a major influence on xenotropic virus cell surface antigen levels. These studies indicate that xenotropic proviral loci are located on many different mouse chromosomes and may be useful markers for molecularly cloning and characterizing regions of the mouse genome important in lymphocyte development.","['CA-32324/CA/NCI NIH HHS/United States', 'CA-33093/CA/NCI NIH HHS/United States', 'GM-07386/GM/NIGMS NIH HHS/United States']",PMC255604,,,,,,,
6321787,NLM,MEDLINE,19840426,20200724,0022-538X (Print) 0022-538X (Linking),50,1,1984 Apr,Free and integrated recombinant murine leukemia virus DNAs appear in preleukemic thymuses of AKR/J mice.,155-62,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,IM,"['Animals', 'DNA, Viral/analysis/genetics', '*Genes, Viral', 'Leukemia Virus, Murine/*genetics', 'Mice', 'Mice, Inbred AKR', 'Nucleic Acid Hybridization', 'Preleukemia/genetics/*microbiology', '*Recombination, Genetic', 'Thymus Gland/*microbiology']",1984/04/01 00:00,1984/04/01 00:01,['1984/04/01 00:00'],"['1984/04/01 00:00 [pubmed]', '1984/04/01 00:01 [medline]', '1984/04/01 00:00 [entrez]']",['10.1128/JVI.50.1.155-162.1984 [doi]'],ppublish,J Virol. 1984 Apr;50(1):155-62. doi: 10.1128/JVI.50.1.155-162.1984.,"['Herr, W', 'Gilbert, W']","['Herr W', 'Gilbert W']","['0 (DNA, Viral)']","We studied the appearance and structure of murine leukemia viral genomes in preleukemic AKR/J mice by Southern hybridization. Up to an average of one to two copies per thymocyte of unintegrated murine leukemia virus DNA appears in the thymuses of preleukemic mice beginning at 4 to 5 months of age and disappears in leukemic thymuses. The free viral genomes are absent in the spleens, livers, and brains of preleukemic mice. Using a series of ecotropic and nonecotropic murine leukemia virus hybridization probes, we showed that the unintegrated viral genomes are structurally analogous to those of recombinant mink cell focus-forming viruses that appear as proviruses in leukemic AKR thymocytes, suggesting that these free viral DNAs are the direct precursors to the leukemia-specific proviruses. The mosaic of ecotropic and nonecotropic sequences within these unintegrated viral DNAs varies from one preleukemic thymus to another but often appears structurally homogeneous within individual thymuses, indicating that often each thymus was being infected by a unique mink cell focus-forming virus. Analysis of high-molecular-weight DNA shows that recombinant proviruses reside in the chromosomal DNA of thymocytes within the preleukemic thymus, with the number rising to an average of several copies per thymocyte, but we do not detect any preferred integration sites. These results suggest that, in general, before the development of thymic leukemias in AKR mice there is a massive infection by a unique mink cell focus-forming virus which then integrates into many different sites of individual thymocytes, one of which grows out to become a tumor.",['GM0954121/GM/NIGMS NIH HHS/United States'],PMC255595,,,,,,,
6321768,NLM,MEDLINE,19840404,20200724,0022-538X (Print) 0022-538X (Linking),49,3,1984 Mar,Molecular analysis of the envelope gene and long terminal repeat of Friend mink cell focus-inducing virus: implications for the functions of these sequences.,828-40,['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,IM,"['Amino Acid Sequence', 'Base Sequence', 'Friend murine leukemia virus/*genetics', 'Leukemia Virus, Murine/genetics', '*Repetitive Sequences, Nucleic Acid', 'Viral Envelope Proteins/analysis/*genetics']",1984/03/01 00:00,1984/03/01 00:01,['1984/03/01 00:00'],"['1984/03/01 00:00 [pubmed]', '1984/03/01 00:01 [medline]', '1984/03/01 00:00 [entrez]']",['10.1128/JVI.49.3.828-840.1984 [doi]'],ppublish,J Virol. 1984 Mar;49(3):828-40. doi: 10.1128/JVI.49.3.828-840.1984.,"['Koch, W', 'Zimmermann, W', 'Oliff, A', 'Friedrich, R']","['Koch W', 'Zimmermann W', 'Oliff A', 'Friedrich R']",['0 (Viral Envelope Proteins)'],"We sequenced the envelope (env) gene and 3' long terminal repeat of a Friend mink cell focus-inducing virus (F-MCFV). We also sequenced the gp70 coding regions for two cDNA clones of another F-MCFV. The deduced amino acid sequence of the env gene products of both F-MCFVs were compared to the corresponding sequences of other MCFVs and of ecotropic viruses. The env polypeptides of the different viruses showed long stretches of homology in the carboxy-terminal half of gp70 and in p15env (""constant region""). The amino-terminal half of gp70 was very similar in all MCFVs, but showed extensive variations relative to the ecotropic viruses (""differential region""). This differential region in all MCFVs is of endogeneous origin. We show evidence that this region carries determinants for ecotropic or polytropic host range. No indication could be found that the env gene products determine the histological type of disease caused by particular MCFVs. When the long terminal repeats of F-MCFV and Friend murine leukemia virus were compared with those of other viruses causing either lymphatic leukemia or erythroleukemia, several nucleotides were localized which might determine the histological type of disease caused by these viruses.",,PMC255544,,,"['GENBANK/M12528', 'GENBANK/M19209']",,,,
6321737,NLM,MEDLINE,19840424,20191210,0022-2623 (Print) 0022-2623 (Linking),27,3,1984 Mar,Acetylenic nucleosides. 3. Synthesis and biological activities of some 5-ethynylpyrimidine nucleosides.,410-2,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,IM,"['Acetylation', 'Alkynes/*chemical synthesis/pharmacology', 'Animals', 'Cell Line', 'Chlorocebus aethiops', 'Leukemia L1210/drug therapy', 'Magnetic Resonance Spectroscopy', 'Melanoma/drug therapy', 'Mice', 'Pyrimidine Nucleosides/*chemical synthesis/pharmacology', 'Simplexvirus/drug effects']",1984/03/01 00:00,2001/03/28 10:01,['1984/03/01 00:00'],"['1984/03/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1984/03/01 00:00 [entrez]']",['10.1021/jm00369a032 [doi]'],ppublish,J Med Chem. 1984 Mar;27(3):410-2. doi: 10.1021/jm00369a032.,"['Sharma, R A', 'Kavai, I', 'Hughes, R G Jr', 'Bobek, M']","['Sharma RA', 'Kavai I', 'Hughes RG Jr', 'Bobek M']","['0 (Alkynes)', '0 (Pyrimidine Nucleosides)']","Iodination of 1-(2,3,5-tri-O-acetyl-beta-D-arabinofuranosyl)uracil furnished the 5-iodo derivative (Ib), which, on treatment with (trimethylsilyl)acetylene in the presence of catalytic amounts of (Ph3P)2PdCl2/CuI and subsequent deblocking, afforded 1-beta-D-arabinofuranosyl-5-ethynyluracil (Ie). Condensation of the trimethylsilyl derivative of 5-(dibromovinyl)uracil with 3-O-acetyl-5-O-benzoyl-2-deoxy-2-azido-D-arabinofuranosyl chloride, followed by treatment with phenyllithium, gave 1-(2-deoxy-2-azido-beta-D-arabinofuranosyl)-5-ethynyluracil (IIb). Condensation of 3-O-acetyl-5-O-benzoyl-2-deoxy-2-fluoro-D-arabinofuranosyl bromide with the trimethylsilyl derivative of 5-ethynylcytosine and subsequent removal of the protecting groups furnished 1-(2-deoxy-2-fluoro-beta-D-arabinofuranosyl)-5-ethynylcytosine (IIIb). The structural assignment for IIb and IIIb was made by NMR and ORD spectra. Compounds Ie and IIIb inhibited the growth of leukemia L-1210 cells in culture by 50% at concentrations of 1.7 X 10(-5) and 6 X 10(-5) M, respectively. In addition, Ie and IIIb inhibited the replication of herpes simplex virus type I by 90% at concentrations of 2.8 X 10(-5) and 5 X 10(-5) M, respectively. Compound IIb did not show any antileukemic or antiherpes activity.","['CA-12585/CA/NCI NIH HHS/United States', 'CA-13038/CA/NCI NIH HHS/United States', 'P01-CA-16056/CA/NCI NIH HHS/United States']",,,,,,,,
6321692,NLM,MEDLINE,19840419,20170210,0732-183X (Print) 0732-183X (Linking),2,3,1984 Mar,Polar solvents: a novel class of antineoplastic agents.,227-41,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,IM,"['Animals', '*Antineoplastic Agents', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Cell Line', 'Combined Modality Therapy', 'Dimethyl Sulfoxide/*therapeutic use', 'Dimethylformamide/*therapeutic use', 'Drug Evaluation', 'Gene Expression Regulation/drug effects', 'Humans', 'Leukemia Virus, Murine', 'Leukemia, Experimental/*drug therapy/genetics/pathology', 'Mice', 'Mice, Nude', 'Neoplasm Transplantation', 'Neoplasms/*drug therapy/genetics/pathology', 'Oncogenes', 'Solvents/*therapeutic use']",1984/03/01 00:00,1984/03/01 00:01,['1984/03/01 00:00'],"['1984/03/01 00:00 [pubmed]', '1984/03/01 00:01 [medline]', '1984/03/01 00:00 [entrez]']",['10.1200/JCO.1984.2.3.227 [doi]'],ppublish,J Clin Oncol. 1984 Mar;2(3):227-41. doi: 10.1200/JCO.1984.2.3.227.,"['Spremulli, E N', 'Dexter, D L']","['Spremulli EN', 'Dexter DL']","['0 (Antineoplastic Agents)', '0 (Solvents)', '8696NH0Y2X (Dimethylformamide)', 'YOW8V9698H (Dimethyl Sulfoxide)']","It has been known for many decades that certain murine and human cancers can spontaneously mature to benign tissue. These observations have stimulated investigators to attempt to induce a state of more normal or benign differentiation in cancer cells using biologic substances or chemicals. Polar solvents including dimethylsulfoxide, dimethylformamide, and monomethylformamide have proven to be good inducers of maturational events in murine and human cancer cells. Moreover, several laboratories have demonstrated that polar solvents inhibit the growth of human tumor xenografts in nude mice. These findings have resulted in the entry of monomethylformamide into phase I clinical trials in America and Europe. Preclinical work further suggests that polar solvents may be useful agents in combination with conventional treatment modalities. The use of drugs such as monomethylformamide that can convert neoplastic cells to benign cells rather than kill the tumor cells represents an important conceptual departure from standard cytotoxic chemotherapy. The use of maturational-agent therapy should be considered as an important new development in the design of cancer treatment protocols.","['CA 23225/CA/NCI NIH HHS/United States', 'CA 26218/CA/NCI NIH HHS/United States']",,,116,,,,,
6321678,NLM,MEDLINE,19840413,20170210,0732-183X (Print) 0732-183X (Linking),1,2,1983 Feb,Karnofsky Memorial Lecture. Breaking the cure barrier.,75-90,['eng'],['Journal Article'],United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,IM,"['Adolescent', 'Adult', 'Animals', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Axilla', 'Breast Neoplasms/drug therapy/mortality/surgery', 'Cell Count', 'Child', 'Child, Preschool', 'Combined Modality Therapy', 'Female', 'Hodgkin Disease/mortality/pathology/therapy', 'Humans', 'Infant', 'Leukemia/drug therapy/mortality/pathology', 'Leukemia, Experimental/drug therapy', 'Lung Neoplasms/secondary', 'Lymphatic Metastasis', 'Male', 'Mastectomy', 'Neoplasms/mortality/pathology/*therapy', 'Neoplasms, Germ Cell and Embryonal/drug therapy', 'Prognosis', 'Testicular Neoplasms/drug therapy', 'Thymus Neoplasms/drug therapy']",1983/02/01 00:00,1983/02/01 00:01,['1983/02/01 00:00'],"['1983/02/01 00:00 [pubmed]', '1983/02/01 00:01 [medline]', '1983/02/01 00:00 [entrez]']",['10.1200/JCO.1983.1.2.75 [doi]'],ppublish,J Clin Oncol. 1983 Feb;1(2):75-90. doi: 10.1200/JCO.1983.1.2.75.,"['Holland, J F']",['Holland JF'],,"Breaking the cure barrier is a biologic and a conceptual problem that has already been accomplished for several tumors. It is helpful to consider neoplasms in mathematical terms as many-celled tumors (polycytomas: kilocytomas, megacytomas, gigacytomas, and teracytomas). A new chemotherapeutic taxonomy recognizes curable, subcurable, and precurable cancers each with definable characteristics. A simplified technique of recognizing early cures is described by calculating the probability that an interruption in an exponential failure slope occurred by chance. Examples of cures of acute myelocytic leukemia, of superior chemotherapy for Hodgkin's disease in young adults, and of superior adjuvant chemotherapy for breast cancer are given. The interaction of surgery with chemotherapy is illustrated in pure form in acute myelocytic leukemia and in ovarian cancer. Curative chemotherapy is closer at hand than is generally believed. Nomograms for cure prediction are presented as inducements to contemplate curative approaches to cancer therapy.",,,,,,,,,
6321629,NLM,MEDLINE,19840404,20190508,0022-1007 (Print) 0022-1007 (Linking),159,3,1984 Mar 1,Regulation of B cell lymphomagenesis by a malignant Qal+ inducer T cell clone.,906-20,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,IM,"['Animals', 'Antibody-Producing Cells/immunology', 'Antigens, Surface/analysis/*immunology', 'B-Lymphocytes/*immunology', 'Cell Transformation, Viral', 'Clone Cells/immunology', 'Female', 'Granulocytes/pathology', 'Hematopoiesis', 'Hemolytic Plaque Technique', '*Histocompatibility Antigens Class I', '*Lymphocyte Activation', 'Lymphoma/blood/*immunology', 'Mice', 'Mice, Inbred C57BL', 'Sarcoma Viruses, Murine/immunology', 'Sarcoma, Experimental/blood/immunology', 'T-Lymphocytes/*immunology']",1984/03/01 00:00,1984/03/01 00:01,['1984/03/01 00:00'],"['1984/03/01 00:00 [pubmed]', '1984/03/01 00:01 [medline]', '1984/03/01 00:00 [entrez]']",['10.1084/jem.159.3.906 [doi]'],ppublish,J Exp Med. 1984 Mar 1;159(3):906-20. doi: 10.1084/jem.159.3.906.,"['Reinisch, C L', 'Sing, A P', 'Bacon, E R', 'Corley, R B', 'Gershon, R K']","['Reinisch CL', 'Sing AP', 'Bacon ER', 'Corley RB', 'Gershon RK']","['0 (Antigens, Surface)', '0 (Histocompatibility Antigens Class I)', '0 (Q surface antigens)']","A series of Thy-1.2+ Ly-1+ Qa-1+ malignant T cell clones have been isolated from murine sarcoma virus-murine leukemia-Moloney (MSV-MuLV-M)-induced B cell lymphomas or from MSV-MuLV-M-infected B6 mice. These T cell clones enhance both antigen-independent and -dependent lymphocyte differentiation and function. They also induce the differentiation of granulocytes and erythrocytes in the stem cell compartment, a function that parallels the immunopathology of the disease in vivo. The malignant T cell appears to sustain B lymphoma growth in vivo by releasing a factor (BCGF) that promotes B cell proliferation.","['CA 25863/CA/NCI NIH HHS/United States', 'CA 29606/CA/NCI NIH HHS/United States', 'CA 32155/CA/NCI NIH HHS/United States']",PMC2187257,,,,,,,
6321617,NLM,MEDLINE,19840329,20110729,0300-9165 (Print) 0300-9165 (Linking),36,2,1984 Feb,[Chemotherapy for ovarian cancer--drug selection and induced acute leukemia].,311-6,['jpn'],['Journal Article'],Japan,Nihon Sanka Fujinka Gakkai Zasshi,Nihon Sanka Fujinka Gakkai zasshi,7505749,IM,"['Acute Disease', 'Adenocarcinoma/drug therapy', 'Adenocarcinoma, Mucinous/drug therapy', 'Antineoplastic Agents/*adverse effects', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Female', 'Humans', 'Leukemia/*chemically induced/drug therapy', 'Ovarian Neoplasms/*drug therapy']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']",,ppublish,Nihon Sanka Fujinka Gakkai Zasshi. 1984 Feb;36(2):311-6.,"['Izumi, R', 'Kawabata, M', 'Nagasaka, T']","['Izumi R', 'Kawabata M', 'Nagasaka T']",['0 (Antineoplastic Agents)'],,,,,,,,,,
6321612,NLM,MEDLINE,19840416,20191027,0737-1454 (Print) 0737-1454 (Linking),1,2,1983 Jun,Establishment of a Ph1 chromosome-positive cell line from chronic myelogenous leukemia in blast crisis.,105-17,['eng'],"['Case Reports', 'Journal Article']",United States,Int J Cell Cloning,International journal of cell cloning,8308172,IM,"['Adult', 'Antigens, Viral/analysis', '*Cell Line', 'Cell Nucleus/ultrastructure', '*Chromosomes, Human, 21-22 and Y', 'Cytoplasm/ultrastructure', 'DNA Nucleotidylexotransferase/analysis', 'Epstein-Barr Virus Nuclear Antigens', 'Factor VIII/analysis', 'Female', 'Fibrinogen/analysis', 'Herpesvirus 4, Human/immunology', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/analysis/genetics/*pathology', 'Phagocytosis', 'Pleural Effusion', 'Receptors, Immunologic']",1983/06/01 00:00,1983/06/01 00:01,['1983/06/01 00:00'],"['1983/06/01 00:00 [pubmed]', '1983/06/01 00:01 [medline]', '1983/06/01 00:00 [entrez]']",['10.1002/stem.5530010205 [doi]'],ppublish,Int J Cell Cloning. 1983 Jun;1(2):105-17. doi: 10.1002/stem.5530010205.,"['Kubonishi, I', 'Miyoshi, I']","['Kubonishi I', 'Miyoshi I']","['0 (Antigens, Viral)', '0 (Epstein-Barr Virus Nuclear Antigens)', '0 (Receptors, Immunologic)', '9001-27-8 (Factor VIII)', '9001-32-5 (Fibrinogen)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']","A new hematopoietic cell line, designated KCL-22, was established in vitro by cultivation of pleural effusion cells obtained from a woman with chronic myelogenous leukemia in blast crisis. KCL-22 grew in suspension culture with a doubling time of 24 h and consisted of immature undifferentiated cells which were positive for periodic acid-Schiff and acid phosphatase staining. Chromosome analysis of the KCL-22 line showed a female karyotype with double Ph1 chromosomes and additional chromosome abnormalities. Its representative karyotype was 52,XX, + 1p-,+6,+8,+8,+8, t(9q+;22q-), +22q-. This cell line possessed receptors for the Fc portion of IgG, but lacked lymphoid cell characteristics and the Epstein-Barr virus-associated nuclear antigen. These results indicate that the KCL-22 cells were derived from chronic myelogenous leukemia cells. This cell line should prove useful for research involving various aspects of chronic myelogenous leukemia.",,,,,,,,,
