PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,EDAT,MHDA,CRDT,PHST,AID,PST,SO,LID,DEP,RN,SB,MH,GR,PMC,CI,CN,CIN,MID,OTO,OT,EIN,CON,SI,TT,IR,FIR,GN,OID,PS,FPS,COIS
21496182,NLM,MEDLINE,20111102,20151119,1601-0825 (Electronic) 1354-523X (Linking),17,5,2011 Jul,Inhibition of myeloid cell leukemia-1 by tolfenamic acid induces apoptosis in mucoepidermoid carcinoma.,469-75,"OBJECTIVES: The aim of this study was to evaluate the role of tolfenamic acid (Tol) and ampiroxicam (Amp) in the apoptotic regulation of YD-15 salivary mucoepidermoid carcinoma (MEC). MATERIALS AND METHODS: The effect of Tol on apoptosis and its mechanism were examined using a 3-(4,5-dimethylthiazol-2-yl)-5-(2,4-disulfophenyl)-2-(4-sulfophenyl)-2H-tetrazoli um assay, Sub-G(1) population, Western blot analysis, 4'-6-Diamidino-2-phenylindole staining, reverse transcriptase polymerase chain reaction, immunostaining and small interfering RNA transfection. RESULTS: Tol inhibited cell growth of YD-15 cells but Amp did not. Tol induces apoptosis in YD-15 cells as evidenced by nuclear fragmentation, accumulation of the sub-G1 phase and the activation of caspase 3. Tol inhibited myeloid cell leukemia-1 (MCL-1) at the protein and mRNA levels. The treatment of MCL-1 siRNA to YD-15 cells resulted in the activation of caspase 3 and the inhibition of cell growth. Moreover, MCL-1 was regulated by specificity protein 1, but not by mitogen-activated protein kinases. CONCLUSION: These results suggest that Tol could be a potent anti-cancer drug for YD-15 MEC cells that acts by regulating the MCL-1 protein.","['Choi, K-H', 'Shim, J-H', 'Huong, L D', 'Cho, N-P', 'Cho, S-D']","['Choi KH', 'Shim JH', 'Huong LD', 'Cho NP', 'Cho SD']","['Department of Oral Pathology, School of Dentistry and Institute of Oral Bioscience, Brain Korea 21 Project, Chonbuk National University, Jeon-ju, Korea.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Denmark,Oral Dis,Oral diseases,9508565,2011/04/19 06:00,2011/11/04 06:00,['2011/04/19 06:00'],"['2011/04/19 06:00 [entrez]', '2011/04/19 06:00 [pubmed]', '2011/11/04 06:00 [medline]']",['10.1111/j.1601-0825.2010.01774.x [doi]'],ppublish,Oral Dis. 2011 Jul;17(5):469-75. doi: 10.1111/j.1601-0825.2010.01774.x. Epub 2010 Dec 23.,10.1111/j.1601-0825.2010.01774.x [doi],20101223,"['0 (Antineoplastic Agents)', '0 (Coloring Agents)', '0 (Cyclooxygenase Inhibitors)', '0 (Indoles)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Nucleic Acid Synthesis Inhibitors)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (RNA, Small Interfering)', '0 (Sp1 Transcription Factor)', '0 (Tetrazolium Salts)', '0 (Thiazines)', '0 (Thiazoles)', '0 (ortho-Aminobenzoates)', '0PV32JZB1J (ampiroxicam)', '138169-43-4', '(3-(4,5-dimethylthiazol-2-yl)-5-(3-carboxymethoxyphenyl)-2-(4-sulfophenyl)-2H-tet', 'razolium)', '3G943U18KM (tolfenamic acid)', '47165-04-8 (DAPI)', 'EC 2.7.11.24 (Extracellular Signal-Regulated MAP Kinases)', 'EC 2.7.11.24 (JNK Mitogen-Activated Protein Kinases)', 'EC 2.7.11.24 (p38 Mitogen-Activated Protein Kinases)', 'EC 3.4.22.- (Caspase 3)', 'NIJ123W41V (Plicamycin)']",,"['Antineoplastic Agents/*pharmacology', 'Apoptosis/*drug effects', 'Blotting, Western', 'Carcinoma, Mucoepidermoid/*pathology', 'Caspase 3/drug effects', 'Cell Nucleus/drug effects', 'Cell Proliferation/drug effects', 'Coloring Agents', 'Cyclooxygenase Inhibitors/pharmacology', 'Enzyme Activation', 'Extracellular Signal-Regulated MAP Kinases/pharmacology', 'G1 Phase/drug effects', 'Humans', 'Immunohistochemistry', 'Indoles', 'JNK Mitogen-Activated Protein Kinases/pharmacology', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Nucleic Acid Synthesis Inhibitors/pharmacology', 'Plicamycin/pharmacology', 'Proto-Oncogene Proteins c-bcl-2/*antagonists & inhibitors', 'RNA, Small Interfering/genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'Salivary Gland Neoplasms/*pathology', 'Sp1 Transcription Factor/pharmacology', 'Tetrazolium Salts', 'Thiazines/pharmacology', 'Thiazoles', 'Transfection', 'Tumor Cells, Cultured', 'ortho-Aminobenzoates/*pharmacology', 'p38 Mitogen-Activated Protein Kinases/pharmacology']",,,['(c) 2010 John Wiley & Sons A/S.'],,,,,,,,,,,,,,,,
21496004,NLM,MEDLINE,20110818,20211020,1365-2141 (Electronic) 0007-1048 (Linking),153,6,2011 Jun,"MIR29B regulates expression of MLLT11 (AF1Q), an MLL fusion partner, and low MIR29B expression associates with adverse cytogenetics and poor overall survival in AML.",753-7,"MLLT11, an MLL fusion partner, is a poor prognostic biomarker for paediatric acute myeloid leukaemia (AML), adult normal cytogenetics AML, and adult myelodysplastic syndrome. MLLT11 is highly regulated during haematopoietic progenitor differentiation and development but its regulatory mechanisms have not been defined. In this study, we demonstrate by transfection experiments that MIR29B directly regulates MLLT11 expression in vitro. MIR29B expression level was also inversely related to MLLT11 expression in a cohort of 56 AML patients (P<0.05). AML patients with low MIR29B/elevated MLLT11 expression had poor overall survival (P=0.038). Therefore, MIR29B may be a potential prognostic biomarker for AML patients.","['Xiong, Yin', 'Li, Zejuan', 'Ji, Min', 'Tan, Aik-Choon', 'Bemis, Judson', 'Tse, Jove-Victor', 'Huang, Gang', 'Park, Jino', 'Ji, Chunyan', 'Chen, Jianjun', 'Bemis, Lynne T', 'Bunting, Kevin D', 'Tse, William']","['Xiong Y', 'Li Z', 'Ji M', 'Tan AC', 'Bemis J', 'Tse JV', 'Huang G', 'Park J', 'Ji C', 'Chen J', 'Bemis LT', 'Bunting KD', 'Tse W']","['University of Colorado Cancer Center, University of Colorado-Denver, Aurora, CO, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,2011/04/19 06:00,2011/08/19 06:00,['2011/04/19 06:00'],"['2011/04/19 06:00 [entrez]', '2011/04/19 06:00 [pubmed]', '2011/08/19 06:00 [medline]']",['10.1111/j.1365-2141.2011.08662.x [doi]'],ppublish,Br J Haematol. 2011 Jun;153(6):753-7. doi: 10.1111/j.1365-2141.2011.08662.x. Epub 2011 Apr 18.,10.1111/j.1365-2141.2011.08662.x [doi],20110418,"['0 (Biomarkers, Tumor)', '0 (MIRN29a microRNA, human)', '0 (MLLT11 protein, human)', '0 (MicroRNAs)', '0 (Neoplasm Proteins)', '0 (Proto-Oncogene Proteins)', '0 (RNA, Neoplasm)']",IM,"['Biomarkers, Tumor/biosynthesis/*physiology', 'Gene Expression Profiling/methods', 'Gene Expression Regulation, Neoplastic/genetics', 'Humans', 'Leukemia, Myeloid, Acute/genetics/*metabolism', 'MicroRNAs/biosynthesis/genetics/*physiology', 'Neoplasm Proteins/*biosynthesis/genetics', 'Prognosis', 'Proto-Oncogene Proteins/*biosynthesis/genetics', 'RNA, Neoplasm/genetics', 'Reverse Transcriptase Polymerase Chain Reaction/methods', 'Survival Analysis', 'Tumor Cells, Cultured']","['K12 CA076917/CA/NCI NIH HHS/United States', 'P30 CA043703/CA/NCI NIH HHS/United States', 'R01 DK059380/DK/NIDDK NIH HHS/United States', 'UL1 TR000439/TR/NCATS NIH HHS/United States']",PMC3896048,['(c) 2011 Blackwell Publishing Ltd.'],,,['NIHMS502108'],,,,,,,,,,,,,
21495929,NLM,MEDLINE,20110810,20110418,1747-4094 (Electronic) 1747-4094 (Linking),4,2,2011 Apr,Salvage therapy for relapsed chronic lymphocytic leukemia.,199-212,"Chronic lymphocytic leukemia is a common hematologic malignancy with a highly variable clinical course. While the median age at diagnosis is 72 years of age and fewer than 10% of patients are diagnosed before the age of 60 years, the majority of patients who require therapy will ultimately relapse. Advances in upfront therapy and supportive care have dramatically improved initial responses compared with traditional akylator-based chemotherapy. However, comparable results are not generally observed in the salvage setting. Careful planning that takes into account the duration of the initial response, patient age and/or comorbidities, and cytogenetic and molecular profiles are critical for the successful management of patients with relapsed chronic lymphocytic leukemia.","['Andritsos, Leslie A', 'Grever, Michael R']","['Andritsos LA', 'Grever MR']","['The Ohio State University, Columbus, OH 43210, USA.']",['eng'],"['Journal Article', 'Review']",England,Expert Rev Hematol,Expert review of hematology,101485942,2011/04/19 06:00,2011/08/11 06:00,['2011/04/19 06:00'],"['2011/04/19 06:00 [entrez]', '2011/04/19 06:00 [pubmed]', '2011/08/11 06:00 [medline]']",['10.1586/ehm.11.13 [doi]'],ppublish,Expert Rev Hematol. 2011 Apr;4(2):199-212. doi: 10.1586/ehm.11.13.,10.1586/ehm.11.13 [doi],,"['0 (Antibodies, Monoclonal)', '0 (Histone Deacetylase Inhibitors)', '0 (Protein Kinase Inhibitors)']",IM,"['Antibodies, Monoclonal/therapeutic use', 'Histone Deacetylase Inhibitors/therapeutic use', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/diagnosis/*therapy', 'Protein Kinase Inhibitors/therapeutic use', 'Recurrence', '*Salvage Therapy', 'Stem Cell Transplantation']",,,,,,,,,,,,,,,,,,,
21495928,NLM,MEDLINE,20110810,20211020,1747-4094 (Electronic) 1747-4094 (Linking),4,2,2011 Apr,Adverse effects of treatment in childhood acute lymphoblastic leukemia: general overview and implications for long-term cardiac health.,185-97,"Survival of childhood acute lymphoblastic leukemia (ALL) is one of the greatest medical success stories of the last four decades. Unfortunately, childhood ALL survivors experience medical late effects that increase their risk of morbidity and premature death, often due to heart and vascular disease. Research has helped elucidate the mechanisms and trajectory of direct damage to the heart from treatment exposure, particularly to anthracyclines, and has also contributed knowledge on the influences of related chronic conditions, such as obesity and insulin resistance on heart health in these survivors. This article summarizes the key issues associated with early morbidity and mortality from cardiac-related disease in childhood ALL survivors and suggests directions for interventions to improve long-term outcomes.","['Ness, Kirsten K', 'Armenian, Saro H', 'Kadan-Lottick, Nina', 'Gurney, James G']","['Ness KK', 'Armenian SH', 'Kadan-Lottick N', 'Gurney JG']","[""Department of Epidemiology and Cancer Control, St. Jude Children's Research Hospital, 262 Danny Thomas Place, Memphis, TN 38105, USA.""]",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', 'Review']",England,Expert Rev Hematol,Expert review of hematology,101485942,2011/04/19 06:00,2011/08/11 06:00,['2011/04/19 06:00'],"['2011/04/19 06:00 [entrez]', '2011/04/19 06:00 [pubmed]', '2011/08/11 06:00 [medline]']",['10.1586/ehm.11.8 [doi]'],ppublish,Expert Rev Hematol. 2011 Apr;4(2):185-97. doi: 10.1586/ehm.11.8.,10.1586/ehm.11.8 [doi],,"['0 (Antibiotics, Antineoplastic)', '12629-01-5 (Human Growth Hormone)']",IM,"['Antibiotics, Antineoplastic/*adverse effects/therapeutic use', 'Child', 'Heart Diseases/etiology', 'Human Growth Hormone/deficiency/metabolism', 'Humans', 'Metabolic Diseases/complications', 'Obesity/complications', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/mortality/*therapy', 'Stem Cell Transplantation']","['P30 CA021765/CA/NCI NIH HHS/United States', 'P30 CA021765-27/CA/NCI NIH HHS/United States', 'CA021765/CA/NCI NIH HHS/United States']",PMC3125981,,,,['NIHMS301694'],,,,,,,,,,,,,
21495927,NLM,MEDLINE,20110810,20110418,1747-4094 (Electronic) 1747-4094 (Linking),4,2,2011 Apr,Unfavorable-risk cytogenetics in acute myeloid leukemia.,173-84,"Cytogenetic analysis at diagnosis is one of the most significant prognostic factors in acute myeloid leukemia (AML). AML patients with unfavorable-risk cytogenetic abnormalities account for 16-30% of younger adult patients and have poor response to standard treatment, with only 32-55% achieving a complete response. Overall survival is also extremely poor with only 5-12% patients alive at 5-10 years after diagnosis. Owing to the poor response in this subset of patients, risk-adapted treatment has been investigated. Allogeneic stem cell transplant has been shown to provide a survival benefit in patients with unfavorable-risk cytogenetic abnormalities in complement receptor 1. Other risk-adapted treatment strategies, such as reduced-intensity conditioning regimens prior to allogeneic stem cell transplant for older patients with AML, have also shown some survival benefit, without increasing treatment-related toxicities. Risk-stratification models that include cytogenetic abnormalities, as well as other molecular markers, are being developed to allow for individualized risk-adapted treatment for patients with AML. Prospective multicenter trials will be needed to validate these prognostic models.","['Hong, Wan-Jen', 'Medeiros, Bruno C']","['Hong WJ', 'Medeiros BC']","['Stanford Cancer Center, 875 Blake Wilbur Drive, Stanford, CA 94305-5821, USA.']",['eng'],"['Journal Article', 'Review']",England,Expert Rev Hematol,Expert review of hematology,101485942,2011/04/19 06:00,2011/08/11 06:00,['2011/04/19 06:00'],"['2011/04/19 06:00 [entrez]', '2011/04/19 06:00 [pubmed]', '2011/08/11 06:00 [medline]']",['10.1586/ehm.11.10 [doi]'],ppublish,Expert Rev Hematol. 2011 Apr;4(2):173-84. doi: 10.1586/ehm.11.10.,10.1586/ehm.11.10 [doi],,,IM,"['Chromosome Aberrations', 'Cytogenetic Analysis', 'Disease-Free Survival', 'Humans', 'Leukemia, Myeloid, Acute/*diagnosis/mortality/therapy', 'Prognosis', 'Risk', 'Stem Cell Transplantation']",,,,,,,,,,,,,,,,,,,
21495925,NLM,MEDLINE,20110810,20151119,1747-4094 (Electronic) 1747-4094 (Linking),4,2,2011 Apr,Dose escalation of imatinib in chronic-phase chronic myeloid leukemia patients: is it still reasonable?,153-9,"Suboptimal response or treatment failure to standard-dose imatinib are relevant problems in chronic-phase chronic myeloid leukemia patients. Insufficient adherence is one of the main causes of insufficient response but biological reasons also have to be considered. Various mechanisms of resistance have been described in the past, some of them mediating absolute resistance and others, relative resistance, to imatinib. The latter can be overcome by dose intensification of imatinib. However, the availability of second-generation tyrosine kinase inhibitors means these patients can be switched to these novel agents. Thus, which strategy is most appropriate for the individual patient with insufficient response to standard-dose imatinib remains elusive. Moreover, it remains unclear whether dose intensification of imatinib in the first-line setting might allow a more rapid and deeper response rate. This article will summarize data on imatinib dose intensification and will make recommendations about which patients imatinib dose intensification is most appropriate for.","['Rudzki, Jakob', 'Wolf, Dominik']","['Rudzki J', 'Wolf D']","['Tyrolean Cancer Research Center, Internal Medicine V (Hematology and Oncology), Innsbruck Medical University, Innrain 66, Innsbruck, Austria.']",['eng'],['Journal Article'],England,Expert Rev Hematol,Expert review of hematology,101485942,2011/04/19 06:00,2011/08/11 06:00,['2011/04/19 06:00'],"['2011/04/19 06:00 [entrez]', '2011/04/19 06:00 [pubmed]', '2011/08/11 06:00 [medline]']",['10.1586/ehm.11.9 [doi]'],ppublish,Expert Rev Hematol. 2011 Apr;4(2):153-9. doi: 10.1586/ehm.11.9.,10.1586/ehm.11.9 [doi],,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Antineoplastic Agents/*administration & dosage/therapeutic use', 'Benzamides', 'Chronic Disease', 'Drug Resistance, Neoplasm', 'Fusion Proteins, bcr-abl/chemistry/metabolism', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Mutation', 'Piperazines/*administration & dosage/therapeutic use', 'Protein Kinase Inhibitors/*administration & dosage/therapeutic use', 'Pyrimidines/*administration & dosage/therapeutic use']",,,,,,,,,,,,,,,,,,,
21495919,NLM,MEDLINE,20110810,20211020,1747-4094 (Electronic) 1747-4094 (Linking),4,2,2011 Apr,MicroRNAs: the primary cause or a determinant of progression in leukemia?,121-3,,"['Bousquet, Marina', 'Lodish, Harvey F']","['Bousquet M', 'Lodish HF']",,['eng'],"['Editorial', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",England,Expert Rev Hematol,Expert review of hematology,101485942,2011/04/19 06:00,2011/08/11 06:00,['2011/04/19 06:00'],"['2011/04/19 06:00 [entrez]', '2011/04/19 06:00 [pubmed]', '2011/08/11 06:00 [medline]']",['10.1586/ehm.11.6 [doi]'],ppublish,Expert Rev Hematol. 2011 Apr;4(2):121-3. doi: 10.1586/ehm.11.6.,10.1586/ehm.11.6 [doi],,"['0 (MIRN125 microRNA, human)', '0 (MicroRNAs)']",IM,"['Disease Progression', 'Humans', 'Leukemia/diagnosis/*genetics/pathology', 'Leukemia, Lymphocytic, Chronic, B-Cell/genetics/metabolism', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/genetics/metabolism', 'Leukemia, Myeloid, Acute/genetics/metabolism', 'MicroRNAs/*metabolism', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics/metabolism']","['R01 DK067356/DK/NIDDK NIH HHS/United States', 'DK068348/DK/NIDDK NIH HHS/United States', 'R56 DK068348/DK/NIDDK NIH HHS/United States', 'R01 DK068348/DK/NIDDK NIH HHS/United States', '5P01 HL066105/HL/NHLBI NIH HHS/United States', 'P01 HL066105/HL/NHLBI NIH HHS/United States']",PMC3189791,,,,['NIHMS326876'],,,,,,,,,,,,,
21495906,NLM,MEDLINE,20120118,20211203,1557-8534 (Electronic) 1547-3287 (Linking),20,10,2011 Oct,Generation of leukemia inhibitory factor and basic fibroblast growth factor-dependent induced pluripotent stem cells from canine adult somatic cells.,1669-78,"For more than thirty years, the dog has been used as a model for human diseases. Despite efforts made to develop canine embryonic stem cells, success has been elusive. Here, we report the generation of canine induced pluripotent stem cells (ciPSCs) from canine adult fibroblasts, which we accomplished by introducing human OCT4, SOX2, c-MYC, and KLF4. The ciPSCs expressed critical pluripotency markers and showed evidence of silencing the viral vectors and normal karyotypes. Microsatellite analysis indicated that the ciPSCs showed the same profile as the donor fibroblasts but differed from cells taken from other dogs. Under culture conditions favoring differentiation, the ciPSCs could form cell derivatives from the ectoderm, mesoderm, and endoderm. Further, the ciPSCs required leukemia inhibitory factor and basic fibroblast growth factor to survive, proliferate, and maintain pluripotency. Our results demonstrate an efficient method for deriving canine pluripotent stem cells, providing a powerful platform for the development of new models for regenerative medicine, as well as for the study of the onset, progression, and treatment of human and canine genetic diseases.","['Luo, Jiesi', 'Suhr, Steven T', 'Chang, Eun Ah', 'Wang, Kai', 'Ross, Pablo J', 'Nelson, Laura L', 'Venta, Patrick J', 'Knott, Jason G', 'Cibelli, Jose B']","['Luo J', 'Suhr ST', 'Chang EA', 'Wang K', 'Ross PJ', 'Nelson LL', 'Venta PJ', 'Knott JG', 'Cibelli JB']","['Department of Animal Science, Michigan State University, East Lansing, Michigan 48824, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Stem Cells Dev,Stem cells and development,101197107,2011/04/19 06:00,2012/01/19 06:00,['2011/04/19 06:00'],"['2011/04/19 06:00 [entrez]', '2011/04/19 06:00 [pubmed]', '2012/01/19 06:00 [medline]']",['10.1089/scd.2011.0127 [doi]'],ppublish,Stem Cells Dev. 2011 Oct;20(10):1669-78. doi: 10.1089/scd.2011.0127. Epub 2011 Jun 15.,10.1089/scd.2011.0127 [doi],20110615,"['0 (KLF4 protein, human)', '0 (Klf4 protein, mouse)', '0 (Kruppel-Like Factor 4)', '0 (Leukemia Inhibitory Factor)', '103107-01-3 (Fibroblast Growth Factor 2)']",IM,"['Aging/*drug effects', 'Animals', 'Cell Culture Techniques/*methods', 'Cell Differentiation/drug effects', 'Cell Proliferation/drug effects', 'Cell Survival/drug effects', 'Dogs', 'Embryoid Bodies/cytology', 'Epigenesis, Genetic/drug effects', 'Fibroblast Growth Factor 2/*pharmacology', 'Fibroblasts/*cytology/drug effects/metabolism', 'Gene Expression Regulation/drug effects', 'Humans', 'Immunohistochemistry', 'Induced Pluripotent Stem Cells/*cytology/*drug effects/metabolism', 'Karyotyping', 'Kruppel-Like Factor 4', 'Leukemia Inhibitory Factor/*pharmacology', 'Male', 'Mice', 'Microsatellite Repeats/genetics', 'Testis/cytology']","['R01 GM095347/GM/NIGMS NIH HHS/United States', 'R01GM095347/GM/NIGMS NIH HHS/United States']",PMC3210032,,,,,,,,,,,,,,,,,
21495716,NLM,MEDLINE,20110801,20211020,1520-4804 (Electronic) 0022-2623 (Linking),54,10,2011 May 26,Development of amidine-based sphingosine kinase 1 nanomolar inhibitors and reduction of sphingosine 1-phosphate in human leukemia cells.,3524-48,"Sphingosine 1-phosphate (S1P) is a bioactive lipid that has been identified as an accelerant of cancer progression. The sphingosine kinases (SphKs) are the sole producers of S1P, and thus, SphK inhibitors may prove effective in cancer mitigation and chemosensitization. Of the two SphKs, SphK1 overexpression has been observed in a myriad of cancer cell lines and tissues and has been recognized as the presumptive target over that of the poorly characterized SphK2. Herein, we present the design and synthesis of amidine-based nanomolar SphK1 subtype-selective inhibitors. A homology model of SphK1, trained with this library of amidine inhibitors, was then used to predict the activity of additional, more potent, inhibitors. Lastly, select amidine inhibitors were validated in human leukemia U937 cells, where they significantly reduced endogenous S1P levels at nanomolar concentrations.","['Kennedy, Andrew J', 'Mathews, Thomas P', 'Kharel, Yugesh', 'Field, Saundra D', 'Moyer, Morgan L', 'East, James E', 'Houck, Joseph D', 'Lynch, Kevin R', 'Macdonald, Timothy L']","['Kennedy AJ', 'Mathews TP', 'Kharel Y', 'Field SD', 'Moyer ML', 'East JE', 'Houck JD', 'Lynch KR', 'Macdonald TL']","['Department of Chemistry, University of Virginia, McCormick Road, Charlottesville, Virginia 22904, United States. ajk3p@virginia.edu']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",United States,J Med Chem,Journal of medicinal chemistry,9716531,2011/04/19 06:00,2011/08/02 06:00,['2011/04/19 06:00'],"['2011/04/19 06:00 [entrez]', '2011/04/19 06:00 [pubmed]', '2011/08/02 06:00 [medline]']",['10.1021/jm2001053 [doi]'],ppublish,J Med Chem. 2011 May 26;54(10):3524-48. doi: 10.1021/jm2001053. Epub 2011 May 2.,10.1021/jm2001053 [doi],20110502,"['0 (Amidines)', '0 (Antineoplastic Agents)', '0 (Enzyme Inhibitors)', '0 (Lysophospholipids)', '26993-30-6 (sphingosine 1-phosphate)', 'EC 2.7.1.- (Phosphotransferases (Alcohol Group Acceptor))', 'EC 2.7.1.- (sphingosine kinase)', 'NGZ37HRE42 (Sphingosine)']",IM,"['Amidines/*chemistry', 'Antineoplastic Agents/*pharmacology', 'Cell Line, Tumor', 'Chemistry, Pharmaceutical/methods', 'Drug Design', 'Enzyme Inhibitors/pharmacology', '*Gene Expression Regulation, Leukemic', 'Humans', 'Kinetics', 'Leukemia/*drug therapy', 'Lysophospholipids/*antagonists & inhibitors', 'Models, Chemical', 'Models, Molecular', 'Phosphotransferases (Alcohol Group Acceptor)/*antagonists & inhibitors', 'Sphingosine/*analogs & derivatives/antagonists & inhibitors', 'U937 Cells']","['P30 CA044579/CA/NCI NIH HHS/United States', 'R01 GM067958/GM/NIGMS NIH HHS/United States', 'R01 GM067958-07/GM/NIGMS NIH HHS/United States']",PMC3119570,,,,['NIHMS293508'],,,,,,,,,,,,,
21495268,NLM,MEDLINE,20110531,20211020,0378-7966 (Print) 0378-7966 (Linking),35,1-2,2010 Sep,Speciation of arsenic in urine following intravenous administration of arsthinol in mice.,59-65,"Recent investigations have shown that arsthinol, a trivalent organoarsenic compound (dithiarsolane), has been active in vitro on leukemia cell lines and offers a better therapeutic index than arsenic trioxide, as estimated by the ratio LD50/IC50. To complete our understanding of its urinary excretion, a sensitive method using liquid chromatography coupled with mass spectrometry (LC-MS) was used. Mice were injected intravenously with a single dose of arsthinol at 0.2 mmol/kg of body weight. The amount of total arsenic in tissues and body fluids was determined by a colorimetric method and urine metabolites were analyzed on a C18 Acclaim PepMap 100 A column by LC-MS. Our results showed that only three arsenic species (acetarsol, acetarsol oxide and arsthinol) were detected in the first 24-h urine. Overall, this study confirms that the hydrolysis of dithiarsolanes to arsenoxides (i.e. acetarsol oxide) can be followed by an oxidation in arsonic acids (i.e. acetarsol). All these compounds are excreted in the urine.","['Ajana, Imane', 'Astier, Alain', 'Gibaud, Stephane']","['Ajana I', 'Astier A', 'Gibaud S']","['Pharmacie Clinique, EA 3452 Cibles therapeutiques, formulation et expertise pre-clinique du medicament"", Universite Henri Poincare, Nancy Universite, 5, rue Albert Lebrun, BP 80403, 54001 Nancy Cedex, France.']",['eng'],['Journal Article'],France,Eur J Drug Metab Pharmacokinet,European journal of drug metabolism and pharmacokinetics,7608491,2011/04/19 06:00,2011/06/01 06:00,['2011/04/16 06:00'],"['2011/04/16 06:00 [entrez]', '2011/04/19 06:00 [pubmed]', '2011/06/01 06:00 [medline]']",['10.1007/s13318-010-0009-6 [doi]'],ppublish,Eur J Drug Metab Pharmacokinet. 2010 Sep;35(1-2):59-65. doi: 10.1007/s13318-010-0009-6.,,,"['0 (Antineoplastic Agents)', '0 (Arsenicals)', '0 (Oxides)', '806529YU1N (acetarsol)', 'N712M78A8G (Arsenic)', 'QNT09A162Y (arsthinol)']",IM,"['Animals', 'Antineoplastic Agents/*pharmacokinetics/urine', 'Arsenic/*pharmacokinetics', 'Arsenicals/*pharmacokinetics/urine', 'Chromatography, High Pressure Liquid', 'Female', 'Mass Spectrometry', 'Mice', 'Oxides/urine', 'Urine/*chemistry']",,,,,,,,,,,,,,,,,,,
