PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,PMC,AID,TT,SI,CIN,EIN
3461889,NLM,MEDLINE,19861023,20190722,0009-9147 (Print) 0009-9147 (Linking),32,9,1986 Sep,"The ""intelligent workstation"" for cell-surface phenotyping based on principles of pattern recognition and image analysis.",1655-9,"Technical advancements in computer hardware and the associated computerized architectures allow the design and fabrication of dedicated, modestly expensive computerized workstations to aid humans in complex decision-making tasks. We refer to these as ""Intelligent Workstations"" because they accommodate the hypothesis-driven reasoning ability of the user into the system. Concomitant with the rapid developments in computers, diagnostic and therapeutic technologies related to cell analysis have undergone growth. Combining these technologies requires careful formulation and analysis of the diagnostic model involving image cytometry. Here we present a model of the intelligent workstation for image cytometry and illustrate its advantages in cell-surface phenotyping. Combining cell morphology with cell-surface phenotyping has clear diagnostic utility that no other widely available methods can supply. Although the reported results are based on samples of peripheral blood, cell suspensions of disaggregated cells can also be analyzed.","['Goin, J E', 'Craven, T M', 'Gilbert, J R', 'Melnicoff, M J', 'Tomaszewski, J E', 'Wilding, P']","['Goin JE', 'Craven TM', 'Gilbert JR', 'Melnicoff MJ', 'Tomaszewski JE', 'Wilding P']",['eng'],,"['Case Reports', 'Journal Article']",England,Clin Chem,Clinical chemistry,9421549,IM,"['Aged', 'Antibodies, Monoclonal', 'Antigens, Surface/*analysis', '*Artificial Intelligence', 'Autoanalysis', 'Blood Cell Count/instrumentation', 'Burkitt Lymphoma/blood', '*Computers', 'Female', 'Flow Cytometry/methods', 'Humans', 'Leukemia, Lymphoid/blood', 'Leukocyte Count', 'Phenotype']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",ppublish,Clin Chem. 1986 Sep;32(9):1655-9.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)']",,,,,,
3461887,NLM,MEDLINE,19861015,20190705,0009-2363 (Print) 0009-2363 (Linking),34,5,1986 May,Differentiation inducers of human promyelocytic leukemia cells HL-60. Phenylcarbamoylbenzoic acids and polyene amides.,2275-8,,"['Kagechika, H', 'Kawachi, E', 'Hashimoto, Y', 'Shudo, K']","['Kagechika H', 'Kawachi E', 'Hashimoto Y', 'Shudo K']",['eng'],,['Journal Article'],Japan,Chem Pharm Bull (Tokyo),Chemical & pharmaceutical bulletin,0377775,IM,"['Amides/pharmacology', 'Benzoates/*pharmacology', 'Carbamates/*pharmacology', 'Cell Differentiation/drug effects', 'Cell Line', 'Chemical Phenomena', 'Chemistry', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Polyenes/*pharmacology']",1986/05/01 00:00,1986/05/01 00:01,['1986/05/01 00:00'],"['1986/05/01 00:00 [pubmed]', '1986/05/01 00:01 [medline]', '1986/05/01 00:00 [entrez]']",ppublish,Chem Pharm Bull (Tokyo). 1986 May;34(5):2275-8. doi: 10.1248/cpb.34.2275.,"['0 (Amides)', '0 (Benzoates)', '0 (Carbamates)', '0 (Polyenes)']",,['10.1248/cpb.34.2275 [doi]'],,,,
3461886,NLM,MEDLINE,19861001,20190720,0008-8749 (Print) 0008-8749 (Linking),98,1,1986 Mar,Human monocyte cytotoxic factor mediates cytolysis of WEHI 164 cells.,211-20,"Human monocytes can be activated to release a 40,000-Da cytostatic protein factor (CF). In this report we have investigated the cytolytic activity of CF on WEHI 164 cells which are sensitive to monocyte-mediated cytolysis. Monocyte supernatants containing CF induced cytolysis of murine WEHI 164 sarcoma cells, as determined in a 51Cr-release assay. Preincubation of WEHI 164 cells with actinomycin D enhanced cytolysis induced by supernatants containing CF, suggesting that CF may be involved in drug-dependent cellular cytotoxicity. The cytolytic activity was profoundly inhibited by a rabbit antiserum raised against purified CF, indicating that the cytolytic activity in the supernatants was in fact mediated by CF. These results indicate that CF may be an important effector molecule in monocyte-mediated cytostatic and cytolytic reactions.","['Austgulen, R', 'Hammerstrom, J', 'Espevik, T', 'Nissen-Meyer, J']","['Austgulen R', 'Hammerstrom J', 'Espevik T', 'Nissen-Meyer J']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Cell Immunol,Cellular immunology,1246405,IM,"['Adjuvants, Immunologic/pharmacology', 'Animals', 'Cell Line', 'Chromatography, Gel', '*Cytotoxicity, Immunologic/drug effects', 'Cytotoxins/immunology/isolation & purification/*physiology', 'Dactinomycin/pharmacology', 'Fibrosarcoma/*immunology', 'Humans', 'Immune Sera/pharmacology', 'Leukemia, Erythroblastic, Acute/immunology', 'Mice', 'Mice, Inbred BALB C', 'Monocytes/*immunology/metabolism']",1986/03/01 00:00,1986/03/01 00:01,['1986/03/01 00:00'],"['1986/03/01 00:00 [pubmed]', '1986/03/01 00:01 [medline]', '1986/03/01 00:00 [entrez]']",ppublish,Cell Immunol. 1986 Mar;98(1):211-20. doi: 10.1016/0008-8749(86)90281-9.,"['0 (Adjuvants, Immunologic)', '0 (Cytotoxins)', '0 (Immune Sera)', '1CC1JFE158 (Dactinomycin)']",,"['0008-8749(86)90281-9 [pii]', '10.1016/0008-8749(86)90281-9 [doi]']",,,,
3461882,NLM,MEDLINE,19861020,20131121,0361-5960 (Print) 0361-5960 (Linking),70,9,1986 Sep,Pharmacology and toxicity of high-dose cytarabine by 72-hour continuous infusion.,1059-65,"Most studies using high-dose cytarabine (ara-c) for the therapy of acute leukemia have employed intermittent short infusions. In this study, we have evaluated the pharmacology and toxicity of high-dose ara-c by 72-hour continuous infusion. Plasma ara-c concentrations varied from 3.6 microM at the starting dose of 4 g/m2/72 hours to 22.6 microM at 18 g. Plasma clearance appeared to decrease progressively at doses greater than 10 g, suggesting that the route of elimination was saturable. CSF ara-c concentrations ranged from 1.2 microM at 4 g to 4.1 microM at 18 g; the ratio of CSF to plasma ara-c decreased progressively from 0.33 at 4 g to 0.18 at 18 g. The toxic effects were significant and included myelosuppression, nausea, and vomiting in all patients. No single dose-limiting toxicity was identified. Further dose escalation was precluded by combined organ system effects, which included hepatic, pulmonary, renal, and gastrointestinal toxic effects. Attempts to incorporate a 72-hour infusion of ara-c into a combination chemotherapy regimen should proceed cautiously with a starting dose of 6 g/m2/72 hours.","['Donehower, R C', 'Karp, J E', 'Burke, P J']","['Donehower RC', 'Karp JE', 'Burke PJ']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Treat Rep,Cancer treatment reports,7607107,IM,"['Acute Disease', 'Cytarabine/administration & dosage/metabolism/*toxicity', 'Dose-Response Relationship, Drug', 'Drug Evaluation', 'Humans', 'Infusions, Parenteral', 'Kinetics', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/*drug therapy']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",ppublish,Cancer Treat Rep. 1986 Sep;70(9):1059-65.,['04079A1RDZ (Cytarabine)'],,,,,,
3461879,NLM,MEDLINE,19861001,20190816,0165-4608 (Print) 0165-4608 (Linking),23,1,1986 Sep,Specific minor chromosome deletions consistently occurring in myelodysplastic syndromes.,61-75,"Forty-two patients with refractory anemia with or without sideroblasts have been investigated cytogenetically one to nine times (mean, 3) over a period of 1-36 months (mean, 16). The initial investigation showed numerical and/or major structural abnormalities [t(3;3), 5q-, -7, or 7q-, 11q-] in nine patients (21%). In addition, minimal terminal deletions were observed in 2p, 8p, 9p, 11p, 12p, 17p, 17q, 20q, and Xp. The detection of these deletions, which have not been reported earlier, was due to consistent application of the high resolution technique, G-banding without trypsin, and metaphase photography on large size negatives. Each deletion occurred as a clone on one or more occasions in 1-17 patients (mean, 7). One or other clonal minimal deletion was observed in 32 patients (76%). Preliminary indirect evidence indicates that alone or together with other factors the deletions promote leukemic transformation of refractory anemia.","['Pedersen, B', 'Kerndrup, G']","['Pedersen B', 'Kerndrup G']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Anemia, Refractory/genetics', 'Anemia, Refractory, with Excess of Blasts/genetics', 'Anemia, Sideroblastic/genetics', 'Chromosome Banding', '*Chromosome Deletion', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/genetics/pathology', 'Myelodysplastic Syndromes/classification/*genetics/pathology']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1986 Sep;23(1):61-75. doi: 10.1016/0165-4608(86)90150-0.,,,"['0165-4608(86)90150-0 [pii]', '10.1016/0165-4608(86)90150-0 [doi]']",,,,
3461878,NLM,MEDLINE,19861001,20190816,0165-4608 (Print) 0165-4608 (Linking),23,1,1986 Sep,Dicentric chromosome 17 in patients with leukemia.,47-52,"A putative isochromosome of the long arm of chromosome #17 was identified in bone marrow cells from each of six patients with leukemia. Adequate sample was available for detailed study in four patients, and in each of these four cases examination with multiple staining techniques implied that the rearrangement is a dicentric chromosome, dic(17)(p11.2). An asymmetry of constriction at the two centromeric regions suggested that one centromere was inactive. The data presented here suggest that many of the presumed i(17q) markers observed in leukemia may actually represent dicentric rearrangements.","['Testa, J R', 'Cohen, B C']","['Testa JR', 'Cohen BC']",['eng'],['1P5OCA 32107/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Centromere/*ultrastructure', '*Chromosome Aberrations', 'Chromosome Banding', 'Chromosomes/*ultrastructure', '*Chromosomes, Human, 16-18', 'Humans', 'Karyotyping', 'Leukemia/*genetics', 'Leukemia, Lymphoid/genetics', 'Leukemia, Myeloid/genetics']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1986 Sep;23(1):47-52. doi: 10.1016/0165-4608(86)90148-2.,,,"['0165-4608(86)90148-2 [pii]', '10.1016/0165-4608(86)90148-2 [doi]']",,,,
3461877,NLM,MEDLINE,19861001,20190816,0165-4608 (Print) 0165-4608 (Linking),23,1,1986 Sep,Detection of the chromosomally abnormal clone in acute lymphoblastic leukemia.,25-35,"Bone marrow and peripheral blood from 121 children with acute lymphoblastic leukemia spent 3 hours in transit before being cultured. Cultures were harvested directly, after 24, 48, or 72 hours, and following methotrexate synchronization. Details of techniques are given. Analyzable mitoses were obtained in 78 cases. Failures contained no detectable clone and fewer than five mitoses (27 cases) or fewer than five analyzable mitoses (16 cases). A clone was found in 44 cases. In some cases the clone was found in two or more cultures, conversely a clone in the direct harvest was not always found after overnight culture and vice versa. Hyperdiploid clones were always found in the bone marrow and frequently in two or more cultures. Pseudodiploid clones found in the blood in four cases evaded detection in the bone marrow. The use of methotrexate did not yield prometaphase chromosomes or improve the yield of analyzable cells. The number of cultures employed influenced the yield of metaphases and appeared to influence clone detection. More cultures were needed to detect a pseudodiploid clone than to detect a hyperdiploid clone. Detection of a clone may be maximized by using the following combination of cultures: bone marrow direct and overnight, and peripheral blood overnight.","['Stewart, E L', 'Secker-Walker, L M']","['Stewart EL', 'Secker-Walker LM']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Bone Marrow/ultrastructure', 'Child', 'Child, Preschool', '*Chromosome Aberrations', 'Clone Cells', 'Humans', 'Karyotyping', 'Leukemia, Lymphoid/blood/*genetics/pathology', 'Lymphocytes/ultrastructure', 'Methotrexate/pharmacology', 'Ploidies']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1986 Sep;23(1):25-35. doi: 10.1016/0165-4608(86)90146-9.,['YL5FZ2Y5U1 (Methotrexate)'],,"['0165-4608(86)90146-9 [pii]', '10.1016/0165-4608(86)90146-9 [doi]']",,,,
3461876,NLM,MEDLINE,19861009,20211203,0008-543X (Print) 0008-543X (Linking),58,7,1986 Oct 1,Pneumonia with Cunninghamella species in patients with hematologic malignancies. A case report and review of the literature.,1534-6,A patient with chronic myelogenous leukemia in blastic crisis who developed pulmonary and systemic infection with Cunninghamella species is described. The emerging role of this newly recognized pathogen in immunocompromised patients is discussed.,"['Ventura, G J', 'Kantarjian, H M', 'Anaissie, E', 'Hopfer, R L', 'Fainstein, V']","['Ventura GJ', 'Kantarjian HM', 'Anaissie E', 'Hopfer RL', 'Fainstein V']",['eng'],,"['Case Reports', 'Journal Article']",United States,Cancer,Cancer,0374236,IM,"['Aged', 'Humans', 'Immunosuppression Therapy/adverse effects', 'Leukemia, Myeloid/*complications/drug therapy', 'Lung Diseases, Fungal/*etiology', 'Male', 'Mucormycosis/*etiology', 'Pneumonia/*etiology']",1986/10/01 00:00,1986/10/01 00:01,['1986/10/01 00:00'],"['1986/10/01 00:00 [pubmed]', '1986/10/01 00:01 [medline]', '1986/10/01 00:00 [entrez]']",ppublish,Cancer. 1986 Oct 1;58(7):1534-6. doi: 10.1002/1097-0142(19861001)58:7<1534::aid-cncr2820580725>3.0.co;2-0.,,,['10.1002/1097-0142(19861001)58:7<1534::aid-cncr2820580725>3.0.co;2-0 [doi]'],,,,
3461875,NLM,MEDLINE,19861002,20190619,0008-543X (Print) 0008-543X (Linking),58,6,1986 Sep 15,Hypocholesterolemia and acute myelogenous leukemia. Association between disease activity and plasma low-density lipoprotein cholesterol concentrations.,1361-5,"Plasma total, low-density lipoprotein (LDL) and high-density lipoprotein (HDL) cholesterol concentrations were determined in 32 patients admitted with either acute nonlymphocytic leukemia or chronic myelogenous leukemia in blast crisis. Measurements were repeated in 15 of these individuals during a leukopenic period induced by chemotherapy and in 6 of the latter group when they had achieved remission. Initial plasma total, LDL, and HDL cholesterol levels in 15 male (111.9 +/- 27.9; 53.7 +/- 10.4; 23.7 +/- 22.5 mg/dl) and 17 female (124.0 +/- 42.0; 68.6 +/- 32.0; 29.4 +/- 13.9 mg/dl) patients were markedly reduced compared with age and sex-matched control values (all P less than 0.01). Remission in six subjects was associated with significant increases in total cholesterol (162.0 +/- 61.0 vs. 111.5 +/- 47.9 mg/dl; P less than 0.02) and LDL cholesterol (106.8 +/- 51.2 vs. 43.5 +/- 31.3 mg/dl; P less than 0.05) compared with their baseline values. Chemotherapy-induced leukopenia was associated with inconsistant changes in plasma cholesterol levels although LDL cholesterol increased in all patients who subsequently achieved remission. LDL cholesterol levels fell dramatically in two patients who relapsed. These results indicate that LDL cholesterol concentrations may be of value in assessing disease activity in individuals with acute myelogenous leukemia.","['Budd, D', 'Ginsberg, H']","['Budd D', 'Ginsberg H']",['eng'],"['HL00949/HL/NHLBI NIH HHS/United States', 'HL23077/HL/NHLBI NIH HHS/United States', 'R-77/PHS HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,IM,"['Adult', 'Aged', 'Cholesterol/*blood', 'Cholesterol, HDL/blood', 'Cholesterol, LDL/blood', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*blood', 'Leukopenia/blood/chemically induced', 'Male', 'Middle Aged']",1986/09/15 00:00,1986/09/15 00:01,['1986/09/15 00:00'],"['1986/09/15 00:00 [pubmed]', '1986/09/15 00:01 [medline]', '1986/09/15 00:00 [entrez]']",ppublish,Cancer. 1986 Sep 15;58(6):1361-5. doi: 10.1002/1097-0142(19860915)58:6<1361::aid-cncr2820580630>3.0.co;2-s.,"['0 (Cholesterol, HDL)', '0 (Cholesterol, LDL)', '97C5T2UQ7J (Cholesterol)']",,['10.1002/1097-0142(19860915)58:6<1361::aid-cncr2820580630>3.0.co;2-s [doi]'],,,,
3461874,NLM,MEDLINE,19861002,20190619,0008-543X (Print) 0008-543X (Linking),58,6,1986 Sep 15,Prognostic assessment of various parameters in chronic myeloid leukemia.,1357-60,"In 152 cases of chronic myeloid leukemia (CML) (actuarial median survival [MS], 59.2 months), the statistical relation of individual parameters with survival was studied to ascertain their prognostic value. The following parameters were found to be unrelated to the survival: age, sex, duration of symptoms, sternal bone tenderness, degree of hepatomegaly, level of hemoglobin, and leukocyte and platelet counts at the time of diagnosis. Splenomegaly of less than 10 cm and duration of first remission of 6 months or more were associated with significantly longer survival (MS, 70.5 and 68.5 months, respectively) as compared to bigger spleen size and duration of remission of less than 6 months (MS, 50.5 and 26 months; P less than 0.01 and P less than 0.05, respectively). The most significant prognostic parameter was the time required to achieve first remission. MS was 70 months in patients who achieved first remission in 2 months or less; it was 23.5 months in the remaining patients. This difference was statistically highly significant (P less than 0.001).","['Prabhu, M', 'Kochupillai, V', 'Sharma, S', 'Ramachandran, P', 'Sundaram, K R', 'Bijlani, L', 'Ahuja, R K']","['Prabhu M', 'Kochupillai V', 'Sharma S', 'Ramachandran P', 'Sundaram KR', 'Bijlani L', 'Ahuja RK']",['eng'],,['Journal Article'],United States,Cancer,Cancer,0374236,IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Female', 'Hemoglobinometry', 'Humans', 'Leukemia, Myeloid/*mortality', 'Leukocyte Count', 'Male', 'Middle Aged', 'Prognosis', 'Retrospective Studies', 'Splenomegaly/complications', 'Time Factors']",1986/09/15 00:00,1986/09/15 00:01,['1986/09/15 00:00'],"['1986/09/15 00:00 [pubmed]', '1986/09/15 00:01 [medline]', '1986/09/15 00:00 [entrez]']",ppublish,Cancer. 1986 Sep 15;58(6):1357-60. doi: 10.1002/1097-0142(19860915)58:6<1357::aid-cncr2820580629>3.0.co;2-m.,,,['10.1002/1097-0142(19860915)58:6<1357::aid-cncr2820580629>3.0.co;2-m [doi]'],,,,
3461873,NLM,MEDLINE,19861002,20190619,0008-543X (Print) 0008-543X (Linking),58,6,1986 Sep 15,Reactive histiocytosis in acute lymphoblastic leukemia and non-Hodgkin's lymphoma.,1289-4,"An extensive hemophagocytic syndrome in the termination of one case of pre-T acute lymphoblastic leukemia (ALL) and another case of non-Hodgkin's lymphoma (NHL), are described. Since most of the proliferating cells were mature macrophages and these cells were limited in the mononuclear phagocytic system (MPS), it was determined to be a reactive histiocytosis rather than histiocytic medullary reticulosis (HMR) or malignant histiocytosis (MH). The pathogenesis of the HMR or MH-like syndrome in these patients is discussed, and it is considered that this might be a reaction of the bacterial sepsis related to their immunosuppressed state secondary to the pre-existing malignancies and/or the cytotoxic therapy. The literature was reviewed. Based on a proposal for differential diagnosis between reactive histiocytosis and MH (or HMR), the heterogeneity of HMR-like syndrome complicating the malignancies are clarified.","['Liang, D C', 'Chu, M L', 'Shih, C C']","['Liang DC', 'Chu ML', 'Shih CC']",['eng'],,"['Case Reports', 'Journal Article']",United States,Cancer,Cancer,0374236,IM,"['Autopsy', 'Bone Marrow/pathology', 'Child', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/*complications/pathology', 'Lymph Nodes/pathology', 'Lymphatic Diseases/*complications/pathology', 'Lymphoma/*complications/pathology', 'Macrophages/pathology', 'Male', 'Syndrome']",1986/09/15 00:00,1986/09/15 00:01,['1986/09/15 00:00'],"['1986/09/15 00:00 [pubmed]', '1986/09/15 00:01 [medline]', '1986/09/15 00:00 [entrez]']",ppublish,Cancer. 1986 Sep 15;58(6):1289-4. doi: 10.1002/1097-0142(19860915)58:6<1289::aid-cncr2820580619>3.0.co;2-h.,,,['10.1002/1097-0142(19860915)58:6<1289::aid-cncr2820580619>3.0.co;2-h [doi]'],,,,
3461872,NLM,MEDLINE,19861002,20190619,0008-543X (Print) 0008-543X (Linking),58,6,1986 Sep 15,Myeloblastoma with an 8;21 chromosome translocation in acute myeloblastic leukemia.,1260-4,"An 8;21 chromosome translocation was found in cells from myeloblastomas of two acute myeloblastic leukemia (AML) patients. In one patient, a sudden onset of paraplegia, which was caused by an epidural myeloblastoma in the thoracic vertebral canal, was the initial symptom of the disease and that of the first relapse. In the other, myeloblastomas, which occurred in the breasts during a hematologic remission, heralded the first relapse. Karyotypes of tumor cells obtained from both patients showed the t(8;21) and additional chromosome abnormalities. These findings, together with earlier experience and reports in the literature, indicate that myeloblastoma may be unique to the 8;21 translocation, and that certain chromosomal abnormalities additional to the t(8;21) may be necessary for the tumor formation.","['Abe, R', 'Umezu, H', 'Uchida, T', 'Kariyone, S', 'Maseki, N', 'Kaneko, Y', 'Sakurai, M']","['Abe R', 'Umezu H', 'Uchida T', 'Kariyone S', 'Maseki N', 'Kaneko Y', 'Sakurai M']",['eng'],,"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer,Cancer,0374236,IM,"['Adolescent', 'Adult', 'Breast Neoplasms/genetics/pathology', 'Chromosomes, Human, 21-22 and Y', 'Chromosomes, Human, 6-12 and X', 'Epidural Space', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics/pathology', 'Male', 'Spinal Neoplasms/genetics/pathology', '*Translocation, Genetic']",1986/09/15 00:00,1986/09/15 00:01,['1986/09/15 00:00'],"['1986/09/15 00:00 [pubmed]', '1986/09/15 00:01 [medline]', '1986/09/15 00:00 [entrez]']",ppublish,Cancer. 1986 Sep 15;58(6):1260-4. doi: 10.1002/1097-0142(19860915)58:6<1260::aid-cncr2820580614>3.0.co;2-o.,,,['10.1002/1097-0142(19860915)58:6<1260::aid-cncr2820580614>3.0.co;2-o [doi]'],,,,
3461855,NLM,MEDLINE,19861003,20131121,0340-4684 (Print) 0340-4684 (Linking),11,3,1986,Induction of differentiation in HL-60 promyelocytic cells: a comparative study in two sublines.,459-68,"Two variants of HL-60 promyelocytic leukemia cells (HSC, OCI) that were indistinguishable by morphology, cell surface markers, DNA histograms, and by their inability to reduce nitroblue tetrazolium, were induced to differentiate by retinoic acid (RA), 12-O-tetradecanoyl-phorbol-13-acetate (TPA), and by phytohemagglutinin-leucocyte conditioned medium (PHA-LCM). Only OCI cells were induced to differentiate to mature granulocytes by TPA. Both cell lines expressed, however, the monocytic associated cell surface antigen detected by MO1 monoclonal antibody in response to TPA. MO1 expression was detected as early as 32 hours after initiation of differentiation by TPA, whereas partial morphologic changes were apparent only after 72 hours. Induction of differentiation by retinoic acid led to a significant inhibition of colony formation in HSC variant (from 1522 +/- 60 to 523 +/- 20/10(4) cells plated) and in the OCI variant (from 628 +/- 20 to 185 +/- 33 colonies/10(4) cells plated). The addition of PHA-LCM further inhibited colony growth of both RA-induced cell lines (155 +/- 7/10(4) cells plated in HSC, and 59 +/- 4 in OCI). PHA-LCM by itself reduced HL-60 colony numbers in a dose-related manner, and also increased the expression of MO1 on noninduced HSC and OCI cells. These observations suggest that differentiation of HL-60 cells is not necessarily accompanied by concomitant change in morphology, cell surface characteristics, and proliferation potentials, and may be dependent on different degrees of cellular commitment. They also suggest a role for growth factors in the induction to maturation of leukemic cells.","['Kaplinsky, C', 'Estrov, Z', 'Freedman, M H', 'Cohen, A']","['Kaplinsky C', 'Estrov Z', 'Freedman MH', 'Cohen A']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood Cells,Blood cells,7513567,IM,"['Antibodies, Monoclonal/immunology', 'Antibodies, Neoplasm/immunology', 'Antigens, Neoplasm/immunology', 'Antigens, Surface/immunology', 'Cell Differentiation/*drug effects', '*Cell Line', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Lymphocyte Activation', 'Lymphokines/pharmacology', 'Male', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tretinoin/pharmacology']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",ppublish,Blood Cells. 1986;11(3):459-68.,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Neoplasm)', '0 (Antigens, Neoplasm)', '0 (Antigens, Surface)', '0 (Lymphokines)', '5688UTC01R (Tretinoin)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",,,,,,
3461854,NLM,MEDLINE,19861015,20210216,0006-4971 (Print) 0006-4971 (Linking),68,3,1986 Sep,Stimulation of proliferation of human myeloid leukemia cells in culture: applications for cytogenetic analysis.,790-3,"The use of chromosome banding techniques has provided a valuable diagnostic tool in various malignancies. The application of these methods, however, is often restricted by a low yield of mitotic cells and the patient's unwillingness to comply with repeated bone marrow aspiration. In an attempt to promote mitotic activity of leukemic cells from the bone marrow and peripheral blood, we employed a new method based on culturing the cells in the presence of a conditioned medium derived from a human bladder carcinoma cell line (5637). In addition to colony stimulating factor, this conditioned medium contains a factor that is capable of stimulating leukemic myeloblast proliferation. Bone marrow and peripheral blood mononuclear cells from 58 patients with a variety of myeloid leukemias were cultured for 24 to 120 hours in the presence or absence of conditioned medium. These bone marrow cells showed a pronounced increase in the mitotic index (5- to 50-fold) as compared to unstimulated cultures, and a greater than 100-fold increase as compared to fresh, uncultured bone marrow cells. Analyzable metaphases could be obtained even in marrow samples in which direct or 24-hour G-banding techniques had failed to reveal metaphases. The effect observed on peripheral blood cells was even more dramatic because prior to culture no mitotic cells were detected, whereas up to 2% mitotic cells were found in conditioned medium-stimulated peripheral leukemic cells. Karyotype analysis of 36 out of the 58 leukemic patients has shown that the chromosome changes discovered in conditioned medium stimulated cells were identical to those found in unstimulated cells. New chromosome aberrations, attributable to the stimulation of growth by conditioned medium, were not found. The quality of the metaphases analyzed following conditioned medium stimulation was considerably better than that of unstimulated samples. Frozen cells, when cultured with conditioned medium, were also suitable for cytogenetic analysis. Thus, the use of this conditioned medium permits adequate cytogenetic analysis even in cases where such analysis was previously impossible.","['Michaeli, J', 'Lerer, I', 'Rachmilewitz, E A', 'Fibach, E']","['Michaeli J', 'Lerer I', 'Rachmilewitz EA', 'Fibach E']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,IM,"['Cells, Cultured', 'Culture Media', 'Growth Substances', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Mitotic Index', 'Myelodysplastic Syndromes/*genetics']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",ppublish,Blood. 1986 Sep;68(3):790-3.,"['0 (Culture Media)', '0 (Growth Substances)']",,['S0006-4971(20)69029-2 [pii]'],,,,
