PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,GS,MH,PMC,EDAT,MHDA,CRDT,PHST,PST,SO,SI,GR,AID,RF,TT,RIN,EIN,CIN,OID,OAB,OABL,OTO,OT,GN,CON
1260834,NLM,MEDLINE,19760706,20191021,0008-8730 (Print) 0008-8730 (Linking),9,2,1976 Mar,Study of cell death in Friend leukaemia.,131-45,"Cell death of splenic Friend leukaemic cells has been studied in vivo, using 125I-UdR and 3H-TdR pulse labelling. The evolution of the splenic specific activity has been measured by autoradiography and external counting during 40 hr after injection of the labelled precursor. These two techniques show the existence of a large reutilization of 3H-TdR (50%), which is measurable as soon as 7 hr after the injection. The DNA turnover rate is rapid, 83-8% of the splenic cellular DNA being renewed per day. Those results confirm that most of the cells produced in the Friend leukaemic spleen are rapidly lost; they also demonstrate that this cell loss is mainly due to a massive death, which occurs in proerythroblastic and erythroblastic compartments after one or two cell divisions. Friend leukaemic cells, which are characterized by a limited capacity of proliferation and a short lifespan, do not appear to be malignant.","['Smadja-Joffe, F', 'Klein, B', 'Kerdiles, C', 'Feinendegen, L', 'Jasmin, C']","['Smadja-Joffe F', 'Klein B', 'Kerdiles C', 'Feinendegen L', 'Jasmin C']",,['eng'],['Journal Article'],England,Cell Tissue Kinet,Cell and tissue kinetics,0174107,"['LGP81V5245 (Idoxuridine)', 'VC2W18DGKR (Thymidine)']",IM,,"['Animals', 'Autoradiography', 'Cell Division', '*Cell Survival', 'Female', 'Idoxuridine/metabolism', 'Kinetics', 'Leukemia, Experimental/*pathology', 'Mathematics', 'Mice', 'Mice, Inbred DBA', 'Spleen/pathology', 'Thymidine/metabolism']",,1976/03/01 00:00,1976/03/01 00:01,['1976/03/01 00:00'],"['1976/03/01 00:00 [pubmed]', '1976/03/01 00:01 [medline]', '1976/03/01 00:00 [entrez]']",ppublish,Cell Tissue Kinet. 1976 Mar;9(2):131-45. doi: 10.1111/j.1365-2184.1976.tb01261.x.,,,['10.1111/j.1365-2184.1976.tb01261.x [doi]'],,,,,,,,,,,,
1260781,NLM,MEDLINE,19760706,20131121,0361-5960 (Print) 0361-5960 (Linking),60,3,1976 Mar,In vivo effects of phenylalanine ammonia-lyase.,261-3,,"['Roberts, J', 'Schmid, F A', 'Takai, K']","['Roberts J', 'Schmid FA', 'Takai K']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Treat Rep,Cancer treatment reports,7607107,"['42HK56048U (Tyrosine)', '47E5O17Y3R (Phenylalanine)', 'EC 4.3.1.- (Ammonia-Lyases)', 'EC 4.3.1.24 (Phenylalanine Ammonia-Lyase)']",IM,,"['Ammonia-Lyases/*therapeutic use', 'Animals', 'Half-Life', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Neoplasms, Experimental/*drug therapy', 'Phenylalanine/analysis/blood', 'Phenylalanine Ammonia-Lyase/blood/pharmacology/*therapeutic use', 'Tyrosine/analysis/blood']",,1976/03/01 00:00,1976/03/01 00:01,['1976/03/01 00:00'],"['1976/03/01 00:00 [pubmed]', '1976/03/01 00:01 [medline]', '1976/03/01 00:00 [entrez]']",ppublish,Cancer Treat Rep. 1976 Mar;60(3):261-3.,,,,,,,,,,,,,,,
1260774,NLM,MEDLINE,19760706,20171116,0361-5960 (Print) 0361-5960 (Linking),60,3,1976 Mar,Letter: Results of butocin (NSC-172755) testing against tumors in animals.,215,,"['Venditti, J M']",['Venditti JM'],,['eng'],['Journal Article'],United States,Cancer Treat Rep,Cancer treatment reports,7607107,['E7WED276I5 (Mercaptopurine)'],IM,,"['Animals', 'Drug Evaluation, Preclinical', 'Humans', 'Leukemia, Experimental/drug therapy', 'Mercaptopurine/*analogs & derivatives/*therapeutic use', 'Mice', 'Neoplasms, Experimental/*drug therapy', 'Rats']",,1976/03/01 00:00,1976/03/01 00:01,['1976/03/01 00:00'],"['1976/03/01 00:00 [pubmed]', '1976/03/01 00:01 [medline]', '1976/03/01 00:00 [entrez]']",ppublish,Cancer Treat Rep. 1976 Mar;60(3):215.,,,,,,,,,,,,,,,
1260772,NLM,MEDLINE,19760706,20131121,0361-5960 (Print) 0361-5960 (Linking),60,2,1976 Feb,Mechanism of action and pharmacology studies with DTIC (NSC-45388).,149-52,,"['Loo, T L', 'Housholder, G E', 'Gerulath, A H', 'Saunders, P H', 'Farquhar, D']","['Loo TL', 'Housholder GE', 'Gerulath AH', 'Saunders PH', 'Farquhar D']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Treat Rep,Cancer treatment reports,7607107,"['0 (DNA, Neoplasm)', '0 (RNA, Neoplasm)', '0 (Triazenes)', '0 (Triazines)', '7GR28W0FJI (Dacarbazine)']",IM,,"['Animals', 'Carcinoma 256, Walker/metabolism', 'DNA, Neoplasm/biosynthesis', 'Dacarbazine/analogs & derivatives/metabolism/*pharmacology', 'Dogs', 'Humans', 'Leukemia L1210/metabolism', 'Light', 'Mice', 'Microsomes, Liver/metabolism', 'RNA, Neoplasm/biosynthesis', 'Rats', 'Triazenes/*pharmacology', 'Triazines/pharmacology']",,1976/02/01 00:00,1976/02/01 00:01,['1976/02/01 00:00'],"['1976/02/01 00:00 [pubmed]', '1976/02/01 00:01 [medline]', '1976/02/01 00:00 [entrez]']",ppublish,Cancer Treat Rep. 1976 Feb;60(2):149-52.,,,,,,,,,,,,,,,
1260771,NLM,MEDLINE,19760706,20131121,0361-5960 (Print) 0361-5960 (Linking),60,2,1976 Feb,Antitumor activity of DTIC (NSC-45388) in animals.,135-40,,"['Venditti, J M']",['Venditti JM'],,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Treat Rep,Cancer treatment reports,7607107,"['0 (Triazenes)', '7GR28W0FJI (Dacarbazine)', '80168379AG (Doxorubicin)']",IM,,"['Animals', 'Cell Line', 'Dacarbazine/*therapeutic use/toxicity', 'Doxorubicin/therapeutic use', 'Drug Evaluation, Preclinical', 'Drug Therapy, Combination', 'Lethal Dose 50', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Neoplasms, Experimental/*drug therapy', 'Rats', 'Triazenes/*therapeutic use']",,1976/02/01 00:00,1976/02/01 00:01,['1976/02/01 00:00'],"['1976/02/01 00:00 [pubmed]', '1976/02/01 00:01 [medline]', '1976/02/01 00:00 [entrez]']",ppublish,Cancer Treat Rep. 1976 Feb;60(2):135-40.,,,,,,,,,,,,,,,
1260770,NLM,MEDLINE,19760706,20131121,0361-5960 (Print) 0361-5960 (Linking),60,2,1976 Feb,Experimental studies at Southern Research Institute with DTIC (NSC-45388).,125-34,"Several years ago the diazotization of 5-aminoimidazole-4-carboxamide was found to give an internal diazonium salt, 5-diazoimidazole-4-carboxamide, which demonstrated marginal activity against some murine neoplasms. In an effort to improve this activity and develop a clinically useful agent, this compound was converted to a number of derivatives including DTIC, an agent that showed encouraging activity against a variety of rodent neoplasms. Studies carried out at Southern Research Institute on the chemistry, metabolism, and biologic activity of DTIC and its congeners are discussed briefly.","['Montgomery, J A']",['Montgomery JA'],,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Treat Rep,Cancer treatment reports,7607107,"['0 (Triazenes)', '7GR28W0FJI (Dacarbazine)', '80168379AG (Doxorubicin)']",IM,,"['Animals', 'Cell Line', 'Dacarbazine/analogs & derivatives/chemical synthesis/*therapeutic use', 'Doxorubicin/therapeutic use', 'Drug Evaluation, Preclinical', 'Drug Therapy, Combination', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Neoplasms, Experimental/drug therapy', 'Rats', 'Triazenes/*therapeutic use']",,1976/02/01 00:00,1976/02/01 00:01,['1976/02/01 00:00'],"['1976/02/01 00:00 [pubmed]', '1976/02/01 00:01 [medline]', '1976/02/01 00:00 [entrez]']",ppublish,Cancer Treat Rep. 1976 Feb;60(2):125-34.,,,,,,,,,,,,,,,
1260769,NLM,MEDLINE,19760706,20191210,0008-5472 (Print) 0008-5472 (Linking),36,4,1976 Apr,"Antileukemic effects of pseudoisocytidine, a new synthetic pyrimidine C-nucleoside.",1520-3,"Pseudoisocytidine, a new synthetic pyrimidine C-nucleoside, which might be considered a more stable analog of 5-azacytidine, is active in vitro and in vivo, i.p. and p.o., against various 1-beta-D-arabinofuranosylcytosine-resistant lines of mouse leukemia. This antileukemic activity is blocked by cytidine but not by deoxycytidine or thymidine.","['Burchenal, J H', 'Ciovacco, K', 'Kalaher, K', ""O'Toole, T"", 'Kiefner, R', 'Dowling, M D', 'Chu, C K', 'Watanabe, K A', 'Wempen, I', 'Fox, J J']","['Burchenal JH', 'Ciovacco K', 'Kalaher K', ""O'Toole T"", 'Kiefner R', 'Dowling MD', 'Chu CK', 'Watanabe KA', 'Wempen I', 'Fox JJ']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0W860991D6 (Deoxycytidine)', '5CSZ8459RP (Cytidine)', 'TDH73L8XQD (pseudoisocytidine)', 'VC2W18DGKR (Thymidine)']",IM,,"['Animals', 'Cell Line', 'Cells, Cultured', 'Cytidine/antagonists & inhibitors/*therapeutic use', 'Deoxycytidine/pharmacology', 'Drug Evaluation, Preclinical', 'Isomerism', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Neoplasms, Experimental/etiology', 'Thymidine/pharmacology']",,1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,Cancer Res. 1976 Apr;36(4):1520-3.,,,,,,,,,,,,,,,
1260759,NLM,MEDLINE,19760706,20131121,0008-5472 (Print) 0008-5472 (Linking),36,4,1976 Apr,Drug-mediated immunogenic changes of virus-induced leukemia in vivo.,1347-52,"LSTRA and RBL-5 lymphomas induced by Moloney and Rauscher leukemia viruses, respectively, were used to determine whether antigenically altered tumors induced by 5-(3,3-dimethyl-1-triazeno)-imidazole-4-carboxamide in vivo would retain their original antigenic properties and/or have new antigenic properties. The tumors became highly immunogenic in the syngeneic hosts after 4 to 8 transplant generations with drug treatment. Syngeneic mice could be protected against challenge with the parental tumor by presensitization with the drug-altered sublines while unrelated tumor lines were incapable of protecting them. The drug-altered subline of LSTRA was used for treatment of the LSTRA in conjunction with chemotherapy, and this immunochemotherapy produced significant increases in number of survivors and increases in median survival time compared to either treatment alone. Tolerance studies indicated that there are novel antigens and parental tumor antigens associated with the drug-treated sublines.","['Houchens, D P', 'Bonmassar, E', 'Gaston, M R', 'Kende, M', 'Goldin, A']","['Houchens DP', 'Bonmassar E', 'Gaston MR', 'Kende M', 'Goldin A']",,['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antigens, Neoplasm)', '0 (Triazenes)', '7GR28W0FJI (Dacarbazine)', '8N3DW7272P (Cyclophosphamide)', 'U68WG3173Y (Carmustine)']",IM,,"['Animals', 'Antigens, Neoplasm/*analysis', 'Carmustine/therapeutic use', 'Cell Line', 'Cross Reactions', 'Cyclophosphamide/therapeutic use', '*Dacarbazine', 'Immunotherapy', 'Leukemia, Experimental/drug therapy/*immunology', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Mice, Nude', 'Moloney murine leukemia virus', 'Neoplasm Transplantation', 'Radiation Effects', 'Rauscher Virus', 'Transplantation, Isogeneic', '*Triazenes']",,1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,Cancer Res. 1976 Apr;36(4):1347-52.,,,,,,,,,,,,,,,
1260758,NLM,MEDLINE,19760706,20131121,0008-5472 (Print) 0008-5472 (Linking),36,4,1976 Apr,"Urinary putrescine, spermidine, and spermine in human blood and solid cancers and in an experimental gastric tumor of rats.",1320-4,"An improved method of assay of urinary polyamines (putrescine, spermidine, and spermine) was applied to the study of cancer patients and an experimental gastric tumor of rats. Although total polyamines (putrescine, spermidine, and spermine) in urine of patients with blood and solid cancers were significantly high, putrescine concentrations also increased significantly and were shown to be of diagnostic aid even in solid cancers. A significant increase in putrescine was also noted in the urine of rats with experimental stomach tumors induced by N-methyl-N-nitro-N'-nitrosoguanidine.","['Fujita, K', 'Nagatsu, T', 'Maruta, K', 'Ito, M', 'Senba, H']","['Fujita K', 'Nagatsu T', 'Maruta K', 'Ito M', 'Senba H']",,['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Polyamines)', '12H3O2UGSF (Methylnitronitrosoguanidine)', '2FZ7Y3VOQX (Spermine)', 'U87FK77H25 (Spermidine)', 'V10TVZ52E4 (Putrescine)']",IM,,"['Animals', 'Female', 'Humans', 'Leukemia/urine', 'Lymphoma/urine', 'Methylnitronitrosoguanidine', 'Neoplasms/*urine', 'Neoplasms, Experimental/chemically induced/urine', 'Polyamines/*urine', 'Pregnancy', 'Putrescine/urine', 'Rats', 'Spermidine/urine', 'Spermine/urine', 'Stomach Neoplasms/chemically induced/urine']",,1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,Cancer Res. 1976 Apr;36(4):1320-4.,,,,,,,,,,,,,,,
1260757,NLM,MEDLINE,19760706,20141120,0008-5472 (Print) 0008-5472 (Linking),36,4,1976 Apr,Enhancement of a tumor allograft in BALB/c x DBA/2 F1 mice by pyran copolymer.,1315-9,Pyran copolymer (NSC 46015) was evaluated with respect to its effect on the rejection of a murine leukemic allograft by BALB/c x DBA/2 F1 (CD2F1) mice. Significant prolongation of allograft survival with production of progressively growing lethal tumors was found following pyran administration. This phenomenon occurred at nontoxic doses of the drug and appeared to be closely related to the timing of pyran injection. Nonspecifically stimulated lymphocyte blast transformation by concanavalin A was not impaired by pyran when lymphocytes were exposed in vitro to the drug. The mechanism of tumor allograft enhancement remains obscure but may be related to allograft size at the time of pyran administration.,"['Mohr, S J', 'Chirigos, M A', 'Fuhrman, F', 'Smith, G']","['Mohr SJ', 'Chirigos MA', 'Fuhrman F', 'Smith G']",,['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Polymers)', '11028-71-0 (Concanavalin A)', '27100-68-1 (Pyran Copolymer)']",IM,,"['Animals', 'Concanavalin A/pharmacology', '*Graft Rejection', 'In Vitro Techniques', 'Leukemia, Experimental/*immunology', 'Lymphocyte Activation/drug effects', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred DBA', 'Moloney murine leukemia virus', '*Neoplasm Transplantation', 'Polymers/*immunology', 'Pyran Copolymer/*immunology', 'Spleen/immunology', 'Transplantation, Homologous']",,1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,Cancer Res. 1976 Apr;36(4):1315-9.,,,,,,,,,,,,,,,
1260747,NLM,MEDLINE,19760706,20131121,0008-5472 (Print) 0008-5472 (Linking),36,2 Pt 1,1976 Feb,Potentiation of actinomycin D or adriamycin antitumor activity with DNA.,496-504,"Several antitumor agents known to bind DNA were complexed with this macromolecule and tested for activity against experimental animal tumor systems. Combination studies with these agents and DNA were carried out at the same time. Actinomycin D activity against the P388 lymphocytic leukemia in BALB/c X DBA/2 F1 mice was significantly potentiated by calf thymus DNA, both when complexed and when injected in combination. The DNA could be given as much as 4 hr before or after the antibiotic and still give potentiation. Synergism was also obtained when the DNA was autoclaved prior to complexing and/or injecting. Similarly, adriamycin activity against the L1210 lymphoid leukemia in DBA/2 mice was significantly potentiated by autoclaved herring sperm DNA, both as a complex and when injected in combination. When above-optimal levels of adriamycin were complexed with autoclaved herring sperm DNA and injected into BALB/c mice inoculated with the Madison 109 alveogenic carcinoma, the early lethality was delayed and antitumor activity was sometimes observed. Herring sperm DNA injected alone also had antitumor activity against the Madison 109 tumor. Similarly, activity was obtained against this tumor system with calf thymus DNA and actinomycin D when injected alone. In addition, DNA, in combination and when complexed with actinomycin, prevented the toxicity observed with BALB/c mice, inoculated with the Madison 109 tumor, were given injections of an above-optimal dose of this antibiotic.","['Marks, T A', 'Venditti, J M']","['Marks TA', 'Venditti JM']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['1CC1JFE158 (Dactinomycin)', '80168379AG (Doxorubicin)', '9007-49-2 (DNA)', 'ZS7284E0ZP (Daunorubicin)']",IM,,"['Animals', 'DNA/administration & dosage/*therapeutic use', 'Dactinomycin/*therapeutic use', 'Daunorubicin/therapeutic use', 'Doxorubicin/*therapeutic use', 'Drug Synergism', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred DBA', 'Neoplasms, Experimental/*drug therapy']",,1976/02/01 00:00,1976/02/01 00:01,['1976/02/01 00:00'],"['1976/02/01 00:00 [pubmed]', '1976/02/01 00:01 [medline]', '1976/02/01 00:00 [entrez]']",ppublish,Cancer Res. 1976 Feb;36(2 Pt 1):496-504.,,,,,,,,,,,,,,,
1260714,NLM,MEDLINE,19760706,20190619,0008-543X (Print) 0008-543X (Linking),37,5,1976 May,Hairy cell leukemia (leukemic reticuloendotheliosis) II. Ultrastructure of the spleen.,2267-74,"Seven surgically removed spleens from patients with hairy cell leukemia and hypersplenism were examined ultrastructurally. In all spleens the pulp cords were diffusely and compactly infiltrated by hairy cells. Numerous hairy cells were also evident in the often distended sinuses. The hairy projections were readily visible in electron micrographs and tended to interdigitate to form syncytium-like aggregates. Compression of hairy cells within the cords flattened the projections against the cell bodies and may account for the surface alterations reported by scanning electron microscopic studies. Controversy over the cytogenesis of hairy cells has not been resolved by ultrastructural studies. Although all seven patients had hypersplenism, the hairy cells showed no evidence of phagocytic activity. However, active phagocytosis by cordal macrophages was observed and there is a probable absolute increase in their number contributing to the splenomegaly. The dense infiltrate of hairy cells causes marked widening of the cords and retards the passage of formed elements of the blood through the red pulp. Prolonged sojourn of these elements in a metabolically unfavorable environment results in cellular damage, increased exposure to cordal macrophages, and premature destruction with the evolution of a hypersplenic syndrome.","['Burke, J S', 'Mackay, B', 'Rappaport, H']","['Burke JS', 'Mackay B', 'Rappaport H']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,,IM,,"['Humans', 'Leukemia/immunology/*pathology', 'Lymphatic Diseases/immunology/*pathology', 'Macrophages/immunology', 'Phagocytosis', 'Spleen/*ultrastructure', 'Splenomegaly/pathology']",,1976/05/01 00:00,1976/05/01 00:01,['1976/05/01 00:00'],"['1976/05/01 00:00 [pubmed]', '1976/05/01 00:01 [medline]', '1976/05/01 00:00 [entrez]']",ppublish,Cancer. 1976 May;37(5):2267-74. doi: 10.1002/1097-0142(197605)37:5<2267::aid-cncr2820370517>3.0.co;2-1.,,,['10.1002/1097-0142(197605)37:5<2267::aid-cncr2820370517>3.0.co;2-1 [doi]'],,,,,,,,,,,,
1260709,NLM,MEDLINE,19760706,20190619,0008-543X (Print) 0008-543X (Linking),37,5,1976 May,Decreased neutrophil bactericidal activity in acute leukemia of childhood.,2194-200,"Neutrophil (PMN) bactericidal activity, phagocytosis, and nitroblue tetrazolium (NBT) reduction were evaluated in 18 children with untreated or relapsing acute leukemia and 20 children in hematologic remission. Half of the patients in relapse demonstrated abnormal PMN bactericidal activity, while remission patients had essentially normal PMN bactericidal activity. Phagocytosis of Staphylococcus aureus was normal in relapse and remission subjects. NBT reduction by PMN's of leukemic patients was significantly lower than that of controls, but there was no correlation between decreased NBT-reductase activity and decreased bactericidal power. Six patients in remission had received intensive chemotherapy for more than 4 years, and all demonstrated normal PMN functions. Among relapse patients with abnormal PMN bactericidal activity 63% eventually developed severe bacterial infections. By comparison, 20% of the relapse patients with normal PMN bactericidal activity subsequently developed severe infections. The PMN dysfunction observed in relapse patients suggests that abnormal PMN bactericidal activity may contribute the increased susceptibility to bacterial infections during leukemic relapse.","['Humbert, J R', 'Hutter, J J Jr', 'Thoren, C H', 'DeArmey, P A']","['Humbert JR', 'Hutter JJ Jr', 'Thoren CH', 'DeArmey PA']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,['298-83-9 (Nitroblue Tetrazolium)'],IM,,"['Bacterial Infections/complications/immunology', '*Blood Bactericidal Activity', 'Child', 'Humans', 'Leukemia/complications/*immunology', 'Neoplasm Recurrence, Local', 'Neutrophils/*immunology', 'Nitroblue Tetrazolium', '*Phagocytosis', 'Remission, Spontaneous', 'Staphylococcus aureus']",,1976/05/11 19:15,2001/03/28 10:01,['1976/05/11 19:15'],"['1976/05/11 19:15 [pubmed]', '2001/03/28 10:01 [medline]', '1976/05/11 19:15 [entrez]']",ppublish,Cancer. 1976 May;37(5):2194-200. doi: 10.1002/1097-0142(197605)37:5<2194::aid-cncr2820370506>3.0.co;2-e.,,,['10.1002/1097-0142(197605)37:5<2194::aid-cncr2820370506>3.0.co;2-e [doi]'],,,,,,,,,,,,
1260708,NLM,MEDLINE,19760706,20190619,0008-543X (Print) 0008-543X (Linking),37,5,1976 May,Antibody response in patients with acute nonlymphocytic leukemia.,2177-82,"Lymphocytotoxic (LCT) and anti-red blood cell (ABO) antibodies were measured serially in adult patients with acute nonlymphocytic leukemia (ANLL) receiving induction chemotherapy. The antigenic stimulus was provided by multiple platelet transfusions, many of which were ABO incompatible. Comparison of pretherapy titers 4-6 weeks into therapy shows that 50% (19/38) of patients became LCT positive (cytotoxicity against greater than 10% of panel of cells) and 54% (19/35) had increases in ABO titers (greater than 2 tube dilution). A total of 66% of patients had significant rises in at least one antibody. ABO and LCT titers tended to vary in parallel although exceptions were noted. The development of anti) remission rate or duration, 3) type of therapy, 4) number of platelet transfusions, 5) time relationship between the antigenic stimulus and the initiation of cytotoxic therapy, and 6) skin test reactivity. Antibody responders tended to have higher pretreatment lymphocyte counts. The ability to develop a secondary antibody response does not appear to be a major prognostic factor in ANLL.","['Schiffer, C A', 'Lichtenfeld, J L', 'Wiernik, P H', 'Mardiney, M R Jr', 'Joseph, J M']","['Schiffer CA', 'Lichtenfeld JL', 'Wiernik PH', 'Mardiney MR Jr', 'Joseph JM']",,['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,"['0 (ABO Blood-Group System)', '0 (Histocompatibility Antigens)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '0 (Isoantibodies)']",IM,,"['*ABO Blood-Group System', 'Acute Disease', '*Antibody Formation', 'Blood Platelets', 'Blood Transfusion', 'Cytotoxicity Tests, Immunologic', '*Histocompatibility Antigens', 'Humans', 'Immunoglobulin G/analysis', 'Immunoglobulin M/analysis', 'Immunologic Memory', 'Isoantibodies', 'Leukemia/*immunology/therapy', 'Leukocyte Count', 'Lymphocytes/immunology', 'Remission, Spontaneous', 'Skin Tests']",,1976/05/11 19:15,2001/03/28 10:01,['1976/05/11 19:15'],"['1976/05/11 19:15 [pubmed]', '2001/03/28 10:01 [medline]', '1976/05/11 19:15 [entrez]']",ppublish,Cancer. 1976 May;37(5):2177-82. doi: 10.1002/1097-0142(197605)37:5<2177::aid-cncr2820370504>3.0.co;2-d.,,,['10.1002/1097-0142(197605)37:5<2177::aid-cncr2820370504>3.0.co;2-d [doi]'],,,,,,,,,,,,
1260704,NLM,MEDLINE,19760706,20071115,0008-543X (Print) 0008-543X (Linking),37,4 Suppl,1976 Apr,Fractionated total-body irradiation.,2120-2,,,,,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,,IM,,"['Humans', 'Leukemia, Lymphoid/radiotherapy', 'Lymphoma/radiotherapy', 'Radiotherapy/*methods', 'Radiotherapy Dosage', 'Research']",,1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,Cancer. 1976 Apr;37(4 Suppl):2120-2.,,,,,,,,,,,,,,,
1260681,NLM,MEDLINE,19760706,20190619,0008-543X (Print) 0008-543X (Linking),37,4,1976 Apr,Ultrasonic enhancement of nitrogen mustard cytotoxicity in mouse leukemia.,1643-7,"Mouse leukemia L1210 cells were exposed to continuous wave 2 MHz, 10 W/cm(2) ultrasound for 10 minutes while suspended in nitrogen mustard solution in vitro. Mice subsequently inoculated with these cells had longer survival times than control animals that received cells exposed to the drug but not ultrasound. Without the drug, ultrasound did not alter survival time. Tracer studies revealed increased cellular accumulation of drug under the influence of ultrasound.","['Kremkau, F W', 'Kaufmann, J S', 'Walker, M M', 'Burch, P G', 'Spurr, C L']","['Kremkau FW', 'Kaufmann JS', 'Walker MM', 'Burch PG', 'Spurr CL']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,['50D9XSG0VR (Mechlorethamine)'],IM,,"['Animals', 'Cell Survival/drug effects', 'Cells, Cultured', 'Leukemia L1210/*drug therapy', 'Mechlorethamine/*therapeutic use', 'Mice', 'Mice, Inbred DBA', 'Neoplasm Transplantation', 'Transplantation, Homologous', '*Ultrasonics']",,1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,Cancer. 1976 Apr;37(4):1643-7. doi: 10.1002/1097-0142(197604)37:4<1643::aid-cncr2820370404>3.0.co;2-l.,,,['10.1002/1097-0142(197604)37:4<1643::aid-cncr2820370404>3.0.co;2-l [doi]'],,,,,,,,,,,,
1260222,NLM,MEDLINE,19760706,20190509,0007-1188 (Print) 0007-1188 (Linking),56,4,1976 Apr,The distribution and kinetics of sulphacetamide in leukaemic mice.,423-9,"1 During the first 90 min following oral administration of sulphacetamide, there was a rapid decline in plasma drug concentration in control mice whereas a progressive increase in sulphacetamide concentration was observed in leukaemic mice. 2 Similar changes in the kinetics of sulphacetamide distribution were observed in the liver, spleen and muscle. 3 While the concentration of sulphacetamide remained quite constant in the brain and fat tissue of control mice, a progressive increase in drug concentration was observed in the brain and fat tissue of leukaemic mice. 4 Some of these changes in the kinetics of sulphacetamide tissue distribution are compatible with delay in gastrointestinal absorption of the drug and its accumulation in the ascitic fluid.","['Marchand, C', 'Nadeau, D']","['Marchand C', 'Nadeau D']","['Departement de pharmacologie, Faculte de medicine, Universite de Montreal, Montreal, Quebec, Canada H3C 3J7.']",['eng'],['Journal Article'],England,Br J Pharmacol,British journal of pharmacology,7502536,['4965G3J0F5 (Sulfacetamide)'],IM,,"['Adipose Tissue/metabolism', 'Animals', 'Ascitic Fluid/metabolism', 'Brain/metabolism', 'Half-Life', 'Intestinal Absorption', 'Kinetics', 'Leukemia L1210/*metabolism', 'Liver/metabolism', 'Male', 'Mice', 'Mice, Inbred Strains', 'Spleen/metabolism', 'Sulfacetamide/*metabolism']",PMC1666885,1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,Br J Pharmacol. 1976 Apr;56(4):423-9. doi: 10.1111/j.1476-5381.1976.tb07453.x.,,,['10.1111/j.1476-5381.1976.tb07453.x [doi]'],,,,,,,,,,,,
