PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,PMC,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RF,AB,PS,FPS
14207861,NLM,MEDLINE,19961201,20181201,0027-8874 (Print) 0027-8874 (Linking),33,,1964 Sep,QUANTITATION OF A MURINE LEUKEMIA VIRUS WITH A SPLEEN COLONY ASSAY.,535-46,"['PLUZNIK, D H', 'SACHS, L']","['PLUZNIK DH', 'SACHS L']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,OM,"['Animals', '*Leukemia Virus, Murine', 'Mice', '*Oncogenic Viruses', '*Pathology', '*Research', '*Research Design', '*Spleen', '*Tissue Culture Techniques', '*Virus Cultivation']",,['NLM'],"['*EXPERIMENTAL LAB STUDY', '*MICE', '*ONCOGENIC VIRUSES', '*PATHOLOGY', '*SPLEEN', '*TISSUE CULTURE', '*VIRUS CULTIVATION']",1964/09/01 00:00,1964/09/01 00:01,['1964/09/01 00:00'],"['1964/09/01 00:00 [pubmed]', '1964/09/01 00:01 [medline]', '1964/09/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1964 Sep;33:535-46.,,,,,
14207857,NLM,MEDLINE,19961201,20181201,0027-8874 (Print) 0027-8874 (Linking),33,,1964 Sep,FIBRILLAR STRUCTURES IN THE CELLS OF BLOODFORMING ORGANS.,467-85,"['TANAKA, Y']",['TANAKA Y'],['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['Reticuloendotheliosis, X-linked']",OM,"['*Bone Marrow Cells', '*Bone Marrow Examination', '*Cell Physiological Phenomena', '*Classification', '*Genetic Diseases, X-Linked', 'Humans', '*Leukemia', '*Leukemia, Hairy Cell', '*Lymph Nodes', '*Lymphatic Diseases', '*Lymphoma', '*Lymphoma, Large B-Cell, Diffuse', '*Lymphoma, Non-Hodgkin', '*Multiple Myeloma', '*Mycosis Fungoides', '*Neoplasms', '*Pathology', '*Sarcoma', '*Severe Combined Immunodeficiency', '*Waldenstrom Macroglobulinemia']",,['NLM'],"['*BONE MARROW CELLS', '*BONE MARROW EXAMINATION', '*CELL STRUCTURE', '*CLASSIFICATION', '*LEUKEMIA', '*LYMPH NODES', '*LYMPHOMA', '*MACROGLOBULINEMIA', '*MULTIPLE MYELOMA', '*MYCOSIS FUNGOIDES', '*NEOPLASMS', '*PATHOLOGY', '*RETICULOENDOTHELIOSIS', '*SARCOMA, RETICULUM CELL']",1964/09/01 00:00,1964/09/01 00:01,['1964/09/01 00:00'],"['1964/09/01 00:00 [pubmed]', '1964/09/01 00:01 [medline]', '1964/09/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1964 Sep;33:467-85.,,,,,
14207856,NLM,MEDLINE,19961201,20181201,0027-8874 (Print) 0027-8874 (Linking),33,,1964 Sep,"DISTRIBUTION AND EFFECTS OF 4', 4""-DI(2-IMIDAZOLIN-2-YL)TEREPHTHALANILIDE DIHYDROCHLORIDE HEMIHYDRATE AND ITS 2-CHLORO ANALOGUE IN LYMPHOCYTIC LEUKEMIAS L1210 AND P388.",457-65,"['SIVAK, A', 'ROGERS, W I', 'WODINSKY, I', 'KENSLER, C J']","['SIVAK A', 'ROGERS WI', 'WODINSKY I', 'KENSLER CJ']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Anilides)', '0 (Antineoplastic Agents)', '0 (Carbon Isotopes)', '0 (Phthalic Acids)', '6O7F7IX66E (phthalic acid)']",OM,"['*Anilides', 'Animals', '*Antineoplastic Agents', '*Carbon Isotopes', '*Chromatography', '*Leukemia', '*Leukemia, Experimental', '*Leukemia, Lymphoid', '*Metabolism', 'Mice', '*Pharmacology', '*Phthalic Acids', '*Research']",,['NLM'],"['*ANILIDES', '*ANTINEOPLASTIC AGENTS', '*CARBON ISOTOPES', '*CHROMATOGRAPHY', '*EXPERIMENTAL LAB STUDY', '*LEUKEMIA, EXPERIMENTAL', '*LEUKEMIA, LYMPHOCYTIC', '*METABOLISM', '*MICE', '*PHARMACOLOGY', '*PHTHALIC ACID']",1964/09/01 00:00,1964/09/01 00:01,['1964/09/01 00:00'],"['1964/09/01 00:00 [pubmed]', '1964/09/01 00:01 [medline]', '1964/09/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1964 Sep;33:457-65.,,,,,
14207852,NLM,MEDLINE,19961201,20181201,0027-8874 (Print) 0027-8874 (Linking),33,,1964 Aug,LONG-TERM PROPAGATION OF A MURINE LEUKEMIA VIRUS IN AN ESTABLISHED CELL LINE.,363-71,"['MANAKER, R A', 'JENSEN, E M', 'KOROL, W']","['MANAKER RA', 'JENSEN EM', 'KOROL W']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,OM,"['Animals', '*Cell Line', '*Leukemia', '*Leukemia Virus, Murine', '*Leukemia, Experimental', 'Mice', '*Oncogenic Viruses', '*Research', '*Research Design', '*Spleen', '*Tissue Culture Techniques', '*Virus Cultivation']",,['NLM'],"['*EXPERIMENTAL LAB STUDY', '*LEUKEMIA, EXPERIMENTAL', '*MICE', '*MOUSE LEUKEMIA VIRUSES', '*ONCOGENIC VIRUSES', '*SPLEEN', '*TISSUE CULTURE', '*VIRUS CULTIVATION']",1964/08/01 00:00,1964/08/01 00:01,['1964/08/01 00:00'],"['1964/08/01 00:00 [pubmed]', '1964/08/01 00:01 [medline]', '1964/08/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1964 Aug;33:363-71.,,,,,
14207845,NLM,MEDLINE,19961201,20181201,0027-8874 (Print) 0027-8874 (Linking),33,,1964 Aug,FURTHER ELECTRON MICROSCOPIC STUDIES ON THE MORPHOLOGY OF THE MOLONEY AGENT.,255-75,"['DALTON, A J', 'HAGUENAU, F', 'MOLONEY, J B']","['DALTON AJ', 'HAGUENAU F', 'MOLONEY JB']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,OM,"['*Electrons', '*Leukemia', '*Leukemia, Experimental', '*Megakaryocytes', '*Microscopy', '*Microscopy, Electron', '*Oncogenic Viruses', 'Rats', '*Research']",,['NLM'],"['*EXPERIMENTAL LAB STUDY', '*LEUKEMIA, EXPERIMENTAL', '*MEGAKARYOCYTES', '*MICROSCOPY, ELECTRON', '*ONCOGENIC VIRUSES', '*RATS']",1964/08/01 00:00,1964/08/01 00:01,['1964/08/01 00:00'],"['1964/08/01 00:00 [pubmed]', '1964/08/01 00:01 [medline]', '1964/08/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1964 Aug;33:255-75.,,,,,
14207841,NLM,MEDLINE,19961201,20181201,0027-8874 (Print) 0027-8874 (Linking),33,,1964 Aug,"NUTRITIONAL FACTORS, LONG-TERM DDT INTAKE, AND CHLOROLEUKEMIA IN RATS.",215-25,"['KIMBROUGH, R', 'GAINES, T B', 'SHERMAN, J D']","['KIMBROUGH R', 'GAINES TB', 'SHERMAN JD']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Dietary Fats)', 'CIW5S16655 (DDT)']",OM,"['*DDT', '*Diabetes Mellitus', '*Dietary Fats', '*Fatty Liver', '*Kidney', '*Leukemia', '*Leukemia, Experimental', '*Liver', '*Lymph Nodes', '*Nutrition Disorders', '*Pathology', 'Rats', '*Research', '*Toxicology']",,['NLM'],"['*DDT', '*DIABETES MELLITUS', '*DIETARY FATS', '*EXPERIMENTAL LAB STUDY', '*FATTY LIVER', '*KIDNEY', '*LEUKEMIA, EXPERIMENTAL', '*LIVER', '*LYMPH NODES', '*NUTRITION DISORDERS', '*PATHOLOGY', '*RATS', '*TOXICOLOGIC REPORT']",1964/08/01 00:00,1964/08/01 00:01,['1964/08/01 00:00'],"['1964/08/01 00:00 [pubmed]', '1964/08/01 00:01 [medline]', '1964/08/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1964 Aug;33:215-25.,,,,,
14207838,NLM,MEDLINE,19961201,20190710,0022-2623 (Print) 0022-2623 (Linking),7,,1964 May,LONG-CHAIN THIOSEMICARBAZONES AS POTENTIAL ANTICANCER AND ANTIVIRAL AGENTS.,383-5,"['PRESCOTT, B', 'LI, C P']","['PRESCOTT B', 'LI CP']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antineoplastic Agents)', '0 (Antiviral Agents)', '0 (Thiosemicarbazones)']",OM,"['*Adenocarcinoma', 'Animals', '*Antineoplastic Agents', '*Antiviral Agents', '*Chemistry, Pharmaceutical', '*Leukemia L1210', 'Mice', '*Neoplasms', '*Neoplasms, Experimental', '*Pharmacology', '*Poliomyelitis', '*Research', '*Sarcoma 180', '*Thiosemicarbazones', '*Toxicology']",,['NLM'],"['*ADENOCARCINOMA', '*ANTINEOPLASTIC AGENTS', '*ANTIVIRAL AGENTS', '*CHEMISTRY, PHARMACEUTICAL', '*EXPERIMENTAL LAB STUDY', '*LEUKEMIA L1210', '*MICE', '*NEOPLASMS, EXPERIMENTAL', '*PHARMACOLOGY', '*POLIOMYELITIS', '*SARCOMA 180, CROCKER', '*THIOSEMICARBAZONES', '*TOXICOLOGIC REPORT']",1964/05/01 00:00,1964/05/01 00:01,['1964/05/01 00:00'],"['1964/05/01 00:00 [pubmed]', '1964/05/01 00:01 [medline]', '1964/05/01 00:00 [entrez]']",['10.1021/jm00333a044 [doi]'],ppublish,J Med Chem. 1964 May;7:383-5. doi: 10.1021/jm00333a044.,,,,,
14207818,NLM,MEDLINE,19961201,20181201,0368-3001 (Print) 0368-3001 (Linking),141,,1964 Oct,[RECENT DATA IN HEMATOLOGY].,1523-7,"['SARIC, R', 'MAGENDIE, P']","['SARIC R', 'MAGENDIE P']",['fre'],['Journal Article'],France,J Med Bord,Journal de medecine de Bordeaux et du Sud-Ouest,0161067,,OM,"['*Anemia', '*Anemia, Aplastic', '*Anemia, Hemolytic, Congenital Nonspherocytic', '*Hematology', 'Humans', '*Leukemia', '*Purpura', '*Purpura, Thrombocytopenic', '*Thrombocytopenia']",,['NLM'],"['*ANEMIA', '*ANEMIA, APLASTIC', '*ANEMIA, HEMOLYTIC, CONGENITAL NONSPHEROCYTIC', '*LEUKEMIA', '*PURPURA, THROMBOPENIC']",1964/10/01 00:00,1964/10/01 00:01,['1964/10/01 00:00'],"['1964/10/01 00:00 [pubmed]', '1964/10/01 00:01 [medline]', '1964/10/01 00:00 [entrez]']",,ppublish,J Med Bord. 1964 Oct;141:1523-7.,DONN'EES R'ECENTES EN H'EMATOLOGIE.,,,,
14207789,NLM,MEDLINE,19961201,20190501,0021-9746 (Print) 0021-9746 (Linking),17,,1964 Sep,STROMAL CHANGES IN LEUKAEMIC AND RELATED BONE MARROW PROLIFERATIONS.,541-7,"['SANERKIN, N G']",['SANERKIN NG'],['eng'],['Journal Article'],England,J Clin Pathol,Journal of clinical pathology,0376601,"['0 (Reticulin)', '9007-34-5 (Collagen)']",OM,"['*Bone Marrow', '*Bone Marrow Cells', '*Bone Marrow Diseases', '*Cell Division', '*Collagen', 'Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive', '*Leukemia, Myeloid', '*Lymphocytes', '*Monocytes', '*Myeloproliferative Disorders', '*Pathology', '*Primary Myelofibrosis', '*Reticulin']",PMC480811,['NLM'],"['*BONE MARROW CELLS', '*BONE MARROW DISEASES', '*CELL DIVISION', '*COLLAGEN', '*LEUKEMIA, LYMPHOCYTIC', '*LEUKEMIA, MONOCYTIC', '*MYELOFIBROSIS', '*MYELOID METAPLASIA', '*PATHOLOGY']",1964/09/01 00:00,1964/09/01 00:01,['1964/09/01 00:00'],"['1964/09/01 00:00 [pubmed]', '1964/09/01 00:01 [medline]', '1964/09/01 00:00 [entrez]']",['10.1136/jcp.17.5.541 [doi]'],ppublish,J Clin Pathol. 1964 Sep;17:541-7. doi: 10.1136/jcp.17.5.541.,,,"The stromal structure of the bone marrow was studied in 96 cases of leukaemia and related disorders. The reticulin stroma forms an integral component of any given marrow proliferation and may often be increased in amount, sometimes normal, and occasionally decreased. The pattern is often indeterminate but certain distinguishable patterns may be found, including a sinusoidal pattern in myelofibrotic chronic myeloses, a pattern characterized by an abundance of hyperplastic capillaries and arterioles often seen in lymphoid leukaemias, and one with irregular focal reticulin proliferation in many acute undifferentiated leukaemias.Adventitious collagen fibres are demonstrable in about half of all myeloses, acute and chronic, leukaemic and aleukaemic, and may be diffuse or focal. They apparently develop from thickening and collapse and condensation of the basic reticulin network, not from any primary fibroblastic proliferation. The development of fibrosis does not denote an aetiological relationship between the conditions in which it occurs, since it appears to be a non-specific sequel to marrow exhaustion and marrow necrosis. There is no justification for the diagnosis of acute or ;malignant' myelofibrosis as a disease entity in cases of acute leukaemia with marrow fibrosis.Osteolytic change due to resorption of bony trabeculae is a common event in all the conditions studied and may be accompanied by remoulding of the eroded trabeculae. Fibre bone formation is found in about 15% of cases, including acute lymphoblastic leukaemias and acute undifferentiated leukaemias, but is extensive and well-developed only in cases of primary myelofibrosis.",,
14207716,NLM,MEDLINE,19961201,20181201,0019-4832 (Print) 0019-4832 (Linking),16,,1964 Apr,HAEMOPERICARDIUM IN CHRONIC MYELOID LEUKAEMIA.,155-62,"['BANERJEA, J C', 'MUKHERJEE, S K']","['BANERJEA JC', 'MUKHERJEE SK']",['eng'],['Journal Article'],India,Indian Heart J,Indian heart journal,0374675,['G1LN9045DK (Busulfan)'],OM,"['Adolescent', '*Busulfan', '*Drug Therapy', '*Electrocardiography', '*Hemorrhage', 'Humans', 'India', '*Joint Diseases', '*Leukemia', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive', '*Leukemia, Myeloid', '*Pathology', '*Pericardial Effusion', '*Pericarditis', '*Pericardium', '*Pleurisy']",,['NLM'],"['*ADOLESCENCE', '*BUSULFAN', '*DRUG THERAPY', '*ELECTROCARDIOGRAPHY', '*HEMORRHAGE', '*INDIA', '*JOINT DISEASES', '*LEUKEMIA, MYELOCYTIC', '*PATHOLOGY', '*PERICARDITIS', '*PERICARDIUM', '*PLEURISY']",1964/04/01 00:00,1964/04/01 00:01,['1964/04/01 00:00'],"['1964/04/01 00:00 [pubmed]', '1964/04/01 00:01 [medline]', '1964/04/01 00:00 [entrez]']",,ppublish,Indian Heart J. 1964 Apr;16:155-62.,,,,,
14207684,NLM,MEDLINE,19961201,20181201,0366-8681 (Print),17,,1964,ON SPLEEN-ANTIGENS REDUCTION IN HUMAN MYELOID LEUKEMIA.,769-72,"['VULCHANOV, V H']",['VULCHANOV VH'],['eng'],['Journal Article'],Bulgaria,C R Acad Bulg Sci,Comptes rendus de l'Academie Bulgare des sciences : sciences mathematiques et naturelles,7509180,"['0 (Antigens)', '0 (Immune Sera)']",OM,"['*Antigens', '*Immune Sera', '*Leukemia', '*Leukemia, Myeloid', 'Neoplasms/*immunology', '*Precipitin Tests', '*Research', '*Spleen']",,['NLM'],"['*EXPERIMENTAL LAB STUDY', '*IMMUNE SERUMS', '*LEUKEMIA, MYELOCYTIC', '*NEOPLASM IMMUNOLOGY', '*PRECIPITIN TESTS', '*SPLEEN']",1964/01/01 00:00,1964/01/01 00:01,['1964/01/01 00:00'],"['1964/01/01 00:00 [pubmed]', '1964/01/01 00:01 [medline]', '1964/01/01 00:00 [entrez]']",,ppublish,C R Acad Bulg Sci. 1964;17:769-72.,,,,,
14207494,NLM,MEDLINE,19961201,20181201,0042-8809 (Print) 0042-8809 (Linking),10,,1964 Jan-Feb,[NUCLEIC ACIDS AND NUCLEOTIDES IN ERYTHROCYTES IN LEUKEMIA].,61-4,"['SEVENTSITSKAIA, M B', 'RAMONOVA-TSKHAVREBOVA, O D']","['SEVENTSITSKAIA MB', 'RAMONOVA-TSKHAVREBOVA OD']",['rus'],['Journal Article'],Russia (Federation),Vopr Med Khim,Voprosy meditsinskoi khimii,0416601,"['0 (Adenine Nucleotides)', '0 (DNA, Neoplasm)', '0 (Nucleic Acids)', '0 (Nucleotides)', '0 (RNA, Neoplasm)', '63231-63-0 (RNA)', '8L70Q75FXE (Adenosine Triphosphate)', '9007-49-2 (DNA)']",OM,"['*Adenine Nucleotides', '*Adenosine Triphosphate', '*DNA', '*DNA, Neoplasm', '*Erythrocytes', '*Leukemia', '*Nucleic Acids', '*Nucleotides', '*RNA', '*RNA, Neoplasm']",,['NLM'],"['*ADENINE NUCLEOTIDES', '*ADENOSINE TRIPHOSPHATE', '*DNA, NEOPLASM', '*ERYTHROCYTES', '*LEUKEMIA', '*RNA, NEOPLASM']",1964/01/01 00:00,1964/01/01 00:01,['1964/01/01 00:00'],"['1964/01/01 00:00 [pubmed]', '1964/01/01 00:01 [medline]', '1964/01/01 00:00 [entrez]']",,ppublish,Vopr Med Khim. 1964 Jan-Feb;10:61-4.,NUKLEINOVYE KISLOTY I NUKLEOTIDY EPITROTSITOV PRI LE IKOZE.,,,,
14207486,NLM,MEDLINE,19961201,20181201,0042-8809 (Print) 0042-8809 (Linking),10,,1964 Jan-Feb,[TYROSINE METABOLISM DISORDERS IN THE MOUSE LIVER IN EXPERIMENTAL LEUKEMIA].,32-5,"['D IACHKOVA, A Ia']",['D IACHKOVA AIa'],['rus'],['Journal Article'],Russia (Federation),Vopr Med Khim,Voprosy meditsinskoi khimii,0416601,"['0 (Ketoglutaric Acids)', '42HK56048U (Tyrosine)']",OM,"['Animals', '*Ketoglutaric Acids', '*Leukemia', '*Leukemia, Experimental', '*Liver', '*Metabolism', 'Mice', '*Neoplasms', '*Neoplasms, Experimental', '*Research', '*Tyrosine']",,['NLM'],"['*EXPERIMENTAL LAB STUDY', '*KETOGLUTARIC ACID', '*LEUKEMIA, EXPERIMENTAL', '*LIVER', '*METABOLISM', '*MICE', '*NEOPLASMS, EXPERIMENTAL', '*TYROSINE']",1964/01/01 00:00,1964/01/01 00:01,['1964/01/01 00:00'],"['1964/01/01 00:00 [pubmed]', '1964/01/01 00:01 [medline]', '1964/01/01 00:00 [entrez]']",,ppublish,Vopr Med Khim. 1964 Jan-Feb;10:32-5.,NARUSHENIIA OBMENA TIROZINA V PECHENI MYSHE I PRI EKSPERIMENTAL'NOM LE IKOZE.,,,,
14207358,NLM,MEDLINE,19961201,20181201,0369-7606 (Print) 0369-7606 (Linking),18,,1964,[STUDIES ON THE PATHOGENESIS OF A SPONTANEOUS TRANSPLANTABLE MOUSE LEUKEMIA (LAJ I)].,133-48,"['FRITSCH, S', 'HEINECKE, H']","['FRITSCH S', 'HEINECKE H']",['ger'],['Journal Article'],Switzerland,Oncologia,Oncologia,0134456,,OM,"['Animals', '*Blood Cell Count', '*Bone Marrow Examination', 'Humans', '*Leukemia', '*Leukemia, Experimental', '*Leukemia, Myeloid', '*Liver', '*Lymph Nodes', 'Mice', '*Pathology', '*Research', '*Spleen', '*Thymus Gland']",,['NLM'],"['*BLOOD CELL COUNT', '*BONE MARROW EXAMINATION', '*EXPERIMENTAL LAB STUDY', '*LEUKEMIA, EXPERIMENTAL', '*LEUKEMIA, MYELOCYTIC', '*LIVER', '*LYMPH NODES', '*MICE', '*PATHOLOGY', '*SPLEEN', '*THYMUS GLAND']",1964/01/01 00:00,1964/01/01 00:01,['1964/01/01 00:00'],"['1964/01/01 00:00 [pubmed]', '1964/01/01 00:01 [medline]', '1964/01/01 00:00 [entrez]']",,ppublish,Oncologia. 1964;18:133-48.,VERLAUFSBEOBACHTUNGEN ZUR PATHOGENESE EINER SPONTANEN TRANSPLANTABLEN MAEUSELEUKAEMIE (LAJ I),,,,
14207254,NLM,MEDLINE,19961201,20190618,0028-0836 (Print) 0028-0836 (Linking),203,,1964 Jul 11,MODIFICATION OF THE RADIATION EFFECT ON ASCITIC TUMOUR CELLS BY PHARMACOLOGICAL AGENTS INJECTED INTRAVENOUSLY.,200-1,"['CORREA, J N', 'ANDREWS, J R']","['CORREA JN', 'ANDREWS JR']",['eng'],['Journal Article'],England,Nature,Nature,0410462,"['0 (Pyrimidines)', '151-16-6 (beta-Aminoethyl Isothiourea)', '50D9XSG0VR (Mechlorethamine)', 'GAN16C9B8O (Glutathione)']",OM,"['*Glutathione', '*Injections', '*Injections, Intravenous', '*Leukemia', '*Leukemia, Experimental', '*Mechlorethamine', 'Mice', '*Neoplasm Transplantation', 'Neoplasms/*radiotherapy', '*Pharmacology', '*Pyrimidines', '*Radiation Effects', '*Research', '*beta-Aminoethyl Isothiourea']",,['NLM'],"['*AET', '*EXPERIMENTAL LAB STUDY', '*GLUTATHIONE', '*INJECTIONS, INTRAVENOUS', '*LEUKEMIA, EXPERIMENTAL', '*MECHLORETHAMINE', '*MICE', '*NEOPLASM RADIOTHERAPY', '*NEOPLASM TRANSPLANTATION', '*PHARMACOLOGY', '*PYRIMIDINES', '*RADIATION EFFECTS']",1964/07/11 00:00,1964/07/11 00:01,['1964/07/11 00:00'],"['1964/07/11 00:00 [pubmed]', '1964/07/11 00:01 [medline]', '1964/07/11 00:00 [entrez]']",['10.1038/203200a0 [doi]'],ppublish,Nature. 1964 Jul 11;203:200-1. doi: 10.1038/203200a0.,,,,,
14207222,NLM,MEDLINE,19961201,20190618,0028-0836 (Print) 0028-0836 (Linking),202,,1964 Jun 13,ASSOCIATION OF MYXOVIRUS-LIKE PARTICLES WITH ACUTE LEUKAEMIA OF CHILDHOOD.,1129-30,"['BENYESH-MELNICK, M', 'SMITH, K O', 'FERNBACH, D J']","['BENYESH-MELNICK M', 'SMITH KO', 'FERNBACH DJ']",['eng'],['Journal Article'],England,Nature,Nature,0410462,['12067-99-1 (Phosphotungstic Acid)'],OM,"['*Blood', 'Child', '*Electrons', '*Leukemia', '*Microscopy', '*Microscopy, Electron', '*Oncogenic Viruses', '*Orthomyxoviridae', '*Orthomyxoviridae Infections', '*Phosphotungstic Acid', '*Tissue Culture Techniques']",,['NLM'],"['*BLOOD', '*CHILD', '*LEUKEMIA', '*MICROSCOPY, ELECTRON', '*MYXOVIRUS', '*MYXOVIRUS INFECTIONS', '*ONCOGENIC VIRUSES', '*PHOSPHOTUNGSTIC ACID', '*TISSUE CULTURE']",1964/06/13 00:00,1964/06/13 00:01,['1964/06/13 00:00'],"['1964/06/13 00:00 [pubmed]', '1964/06/13 00:01 [medline]', '1964/06/13 00:00 [entrez]']",['10.1038/2021129a0 [doi]'],ppublish,Nature. 1964 Jun 13;202:1129-30. doi: 10.1038/2021129a0.,,,,,
14207156,NLM,MEDLINE,19961201,20181201,0024-7790 (Print) 0024-7790 (Linking),212,,1964 Sep 13,[HISTIOMONOCYTIC RETICULOSIS OF PSORIASIFORM ORIGIN. TERMINAL MASSIVE PULMONARY EMBOLISM].,403-4,"['THIERS, H', 'FAYOLLE, J', 'PICOT, C', 'MEUNIER, P']","['THIERS H', 'FAYOLLE J', 'PICOT C', 'MEUNIER P']",['fre'],['Journal Article'],France,Lyon Med,Lyon medical,0335015,"['Reticuloendotheliosis, X-linked']",OM,"['*Embolism', '*Genetic Diseases, X-Linked', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Psoriasis', '*Pulmonary Embolism', '*Severe Combined Immunodeficiency']",,['NLM'],"['*PSORIASIS', '*PULMONARY EMBOLISM', '*RETICULOENDOTHELIOSIS']",1964/09/13 00:00,1964/09/13 00:01,['1964/09/13 00:00'],"['1964/09/13 00:00 [pubmed]', '1964/09/13 00:01 [medline]', '1964/09/13 00:00 [entrez]']",,ppublish,Lyon Med. 1964 Sep 13;212:403-4.,R'ETICULOSE HISTIOMONOCYTAIRE 'A D'EBUT PSORIASIFORME. EMBOLIE PULMONAIRE MASSIVE TERMINALE.,,,,
14207060,NLM,MEDLINE,19961201,20190509,0022-1007 (Print) 0022-1007 (Linking),120,,1964 Sep 1,THE AKR THYMIC ANTIGEN AND ITS DISTRIBUTION IN LEUKEMIAS AND NERVOUS TISSUES.,413-33,"['REIF, A E', 'ALLEN, J M']","['REIF AE', 'ALLEN JM']",['eng'],['Journal Article'],United States,J Exp Med,The Journal of experimental medicine,2985109R,['0 (Antigens)'],OM,"['Animals', '*Antigens', '*Appendix', '*Leukemia', '*Leukemia, Experimental', '*Lung', '*Lymph Nodes', '*Lymphocytes', 'Mice', 'Mice, Inbred AKR', 'Neoplasms/*immunology', '*Research', '*Spleen', '*Thymus Gland']",PMC2137766,['NLM'],"['*ANTIGENS', '*APPENDIX', '*EXPERIMENTAL LAB STUDY', '*LEUKEMIA, EXPERIMENTAL', '*LUNG', '*LYMPH NODES', '*LYMPHOCYTES', '*MICE', '*NEOPLASM IMMUNOLOGY', '*SPLEEN', '*THYMUS GLAND']",1964/09/01 00:00,1964/09/01 00:01,['1964/09/01 00:00'],"['1964/09/01 00:00 [pubmed]', '1964/09/01 00:01 [medline]', '1964/09/01 00:00 [entrez]']",['10.1084/jem.120.3.413 [doi]'],ppublish,J Exp Med. 1964 Sep 1;120:413-33. doi: 10.1084/jem.120.3.413.,,,"A clear-cut serological differentiation between AKR lymphocytes of thymic and non-thymic origin is reported: these two cell types are antigenically distinct. In newborn mice, the AKR thymic antigen was found at a high concentration only in thymus. In adult mice, the antigen was present at a high level in thymus, all nervous tissues tested, and some leukemias. It was present at much lower levels in lymph node lymphocytes, splenic lymphocytes, appendix, lung, and certain other leukemias, which appeared to be of non-thymic origin. The AKR thymic antigen was present at a high level in thymus and nervous tissues of RF mice, but was absent from thymocytes of sixteen other mouse strains. These sixteen strains possessed the C3HeB/Fe thymic antigen. The distribution of this antigen in neonatal and adult tissues of the strains tested was similar to that of the AKR thymic antigen in AKR mice. No exceptions were found. These results were obtained by use of immune cytolysis, and of a new method for the quantitative treatment of data from absorption experiments.",,
14206950,NLM,MEDLINE,19961201,20181201,0009-935X (Print) 0009-935X (Linking),59,,1964 Sep,[VALUE OF LYMPHOGRAPHY IN MALIGNANT HEMOPATHIES].,467-70,"['ZITTOUN, R']",['ZITTOUN R'],['fre'],['Journal Article'],France,Clinique (Paris),"Clinique (Paris, France)",9427241,,OM,"['*Hodgkin Disease', 'Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphography', '*Lymphoma', '*Lymphoma, Large B-Cell, Diffuse', '*Lymphoma, Non-Hodgkin', 'Neoplasms/*diagnosis', '*Sarcoma']",,['NLM'],"[""*HODGKIN'S DISEASE"", '*LEUKEMIA, LYMPHOCYTIC', '*LYMPHOGRAPHY', '*LYMPHOSARCOMA', '*NEOPLASM DIAGNOSIS', '*SARCOMA, RETICULUM CELL']",1964/09/01 00:00,1964/09/01 00:01,['1964/09/01 00:00'],"['1964/09/01 00:00 [pubmed]', '1964/09/01 00:01 [medline]', '1964/09/01 00:00 [entrez]']",,ppublish,Clinique (Paris). 1964 Sep;59:467-70.,INTERET DE LA LYMPHOGRAPHIE DANS LES HEMOPATHIES MALIGNES.,,,,
