PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,CIN,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,TT,EIN,GS,PMC,RF,SI,OID,OTO,OT,GN,CON,CRF,EFR,OAB,OABL
1520870,NLM,MEDLINE,19921013,20210216,0006-4971 (Print) 0006-4971 (Linking),80,6,1992 Sep 15,Use of alpha interferon for the treatment of relapse of chronic myelogenous leukemia in chronic phase after allogeneic bone marrow transplantation.,1437-42,"Eighteen patients with relapse of chronic myelogenous leukemia (CML) after allogeneic bone marrow transplantation (BMT) were treated with recombinant human alpha 2a interferon (IFN). Relapse was defined as greater than 90% metaphases containing the Philadelphia chromosome (Ph) and hematologic abnormalities consistent with chronic-phase (CP) CML. There were 11 males and seven females, with a median age of 38 years (range, 3 to 55). Three patients relapsed after second BMT. Only one patient had received T-cell-depleted marrow initially. The initial IFN dose of 3 x 10(6) U/m2/d was escalated to the maximum tolerated dose or to a maximum of 6 x 10(6) U/m2/d. IFN controlled the white blood cell (WBC) counts in 14 of 16 patients who had abnormal counts, and in all six patients with an elevated platelet count. Six patients (33%) have had a complete disappearance of the Ph and two have had a partial response (less than 35% Ph+ metaphases). One patient has a decrease in Ph+ metaphases after 9 months of IFN. Five patients had no significant cytogenetic response after 9 to 12 months, and four developed clinical accelerated phase or blast crisis after 3 to 6 months on therapy. Of four patients with a sex marker, the Ph- population was of donor origin in three and of host origin in one. Clonal cytogenetic abnormalities other than Ph were present in 13 patients and did not predict for lack of response to IFN. IFN is effective in suppressing the Ph clone in some patients who relapse with CML after allogeneic BMT and controls the blood counts in the majority.","['Higano, C S', 'Raskind, W H', 'Singer, J W']","['Higano CS', 'Raskind WH', 'Singer JW']","['Divisions of Oncology, University of Washington, Seattle.']",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Interferon alpha-2)', '0 (Interferon-alpha)', '0 (Recombinant Proteins)']",IM,,"['Adolescent', 'Adult', 'Blotting, Southern', '*Bone Marrow Transplantation/adverse effects', 'Child', 'Drug Evaluation', 'Female', 'Humans', 'Interferon alpha-2', 'Interferon-alpha/adverse effects/*therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/genetics/*surgery', 'Leukocyte Count/drug effects', 'Male', 'Middle Aged', 'Philadelphia Chromosome', 'Recombinant Proteins', 'Recurrence']",1992/09/15 00:00,1992/09/15 00:01,['1992/09/15 00:00'],"['1992/09/15 00:00 [pubmed]', '1992/09/15 00:01 [medline]', '1992/09/15 00:00 [entrez]']",['S0006-4971(20)67566-8 [pii]'],ppublish,Blood. 1992 Sep 15;80(6):1437-42.,"['CA 16448/CA/NCI NIH HHS/United States', 'CA 18029/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,
1520869,NLM,MEDLINE,19921013,20210216,0006-4971 (Print) 0006-4971 (Linking),80,6,1992 Sep 15,Autologous bone marrow transplantation in acute leukemia with marrow purged with alkyl-lysophospholipid.,1423-9,"Alkyl-lysophospholipids are anticancer agents that are selectively toxic to leukemic cells and relatively sparing of normal bone marrow cells. Thus, they would be likely candidates for purging remission marrows before autologous bone marrow transplant. One of the more promising agents is edelfosine, which could be safely used for purging without prolonging marrow recovery. Assays for marrow progenitor cells were performed before and after purging and cryopreservation in 64 patients. There was no significant reduction in colony formation after purging when compared with unpurged cryopreserved marrow, but there was a significant reduction after cryopreservation. Twenty-four patients with acute leukemia in second (16 patients) or third remission (3 patients), early relapse (3 patients), or in first remission with successfully treated extramedullary relapse (2 patients) received marrow-ablative chemotherapy and total body irradiation followed by infusion of marrow purged for 4 hours with 50 to 100 micrograms/mL of edelfosine. There were 9 lymphoblastic and 15 myelogenous leukemia patients. The median time to granulocyte recovery to 500/microL was 26 and 33 days for the 50 and 75 microgram/mL doses, respectively. The patient whose marrow was purged at the dose of 100 micrograms/mL failed to engraft. The median time to platelet recovery to 25,000/microL was 45 and 37 days for the 50 and 75 micrograms/mL doses, respectively. Twenty-nine percent of the patients remain disease free from 131 to 1,291 days, with a median of 356 days. These results have established that purging with 75 micrograms/mL of edelfosine is a safe dose and is recommended for a phase II trial.","['Vogler, W R', 'Berdel, W E', 'Olson, A C', 'Winton, E F', 'Heffner, L T', 'Gordon, D S']","['Vogler WR', 'Berdel WE', 'Olson AC', 'Winton EF', 'Heffner LT', 'Gordon DS']","['Department of Medicine, Emory University School of Medicine, Atlanta, GA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Antineoplastic Agents)', '0 (Phospholipid Ethers)', '1Y6SNA8L5S (edelfosine)']",IM,,"['Adolescent', 'Adult', 'Antineoplastic Agents/*pharmacology', 'Blood Platelets/physiology', 'Bone Marrow/drug effects', 'Bone Marrow Cells', '*Bone Marrow Purging', '*Bone Marrow Transplantation/adverse effects/mortality', 'Cryopreservation', 'Female', 'Granulocytes/physiology', 'Hematopoietic Stem Cells/drug effects', 'Humans', 'Leukemia/*surgery', 'Leukemia, Myeloid, Acute/drug therapy', 'Male', 'Middle Aged', 'Phospholipid Ethers/*pharmacology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy', 'Survival Rate', 'Time Factors']",1992/09/15 00:00,1992/09/15 00:01,['1992/09/15 00:00'],"['1992/09/15 00:00 [pubmed]', '1992/09/15 00:01 [medline]', '1992/09/15 00:00 [entrez]']",['S0006-4971(20)67564-4 [pii]'],ppublish,Blood. 1992 Sep 15;80(6):1423-9.,['CA-29850/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,
1520867,NLM,MEDLINE,19921013,20210216,0006-4971 (Print) 0006-4971 (Linking),80,6,1992 Sep 15,Unexpected heterogeneity in E2A/PBX1 fusion messenger RNA detected by the polymerase chain reaction in pediatric patients with acute lymphoblastic leukemia.,1413-7,"The t(1;19)(q23;p13) is the most common recurring chromosomal translocation in childhood acute lymphoblastic leukemia (ALL) and has been associated with adverse prognosis. It involves the rearrangement of two genes, PBX1 and E2A, resulting in the production of transforming chimeric DNA-binding proteins. In all previous reports in which the presence of a chimeric transcript was described, the fusion point between the coding sequences of E2A and PBX1 was found to be constant at the RNA level. We have used RNA-based polymerase chain reaction (PCR) for the detection of E2A/PBX1 messenger RNAs (mRNAs) in children with ALL at the time of diagnosis. Of 21 patients exhibiting this rearrangement, 3 (14%) expressed a variant E2A/PBX1 transcript in addition to the expected one. The relative amounts of the two chimeric mRNAs varied between the patients, but remained constant in the same patient during different stages of the disease. Sequence analysis showed an identical insertion of 27 bp at the E2A/PBX1 junction of the variant RNA species, the translation of which would result in the replacement of Val478 by 10 amino acids. The inserted sequence has not been detected in any other human transcript besides the variant E2A/PBX1 RNA species and probably represents a splicing variant of the chimeric RNA. We conclude that a subset of pediatric patients with ALL that carry the E2A/PBX1 rearrangement express two types of the chimeric mRNA. The biologic significance of this additional E2A/PBX1 transcript is discussed.","['Izraeli, S', 'Kovar, H', 'Gadner, H', 'Lion, T']","['Izraeli S', 'Kovar H', 'Gadner H', 'Lion T']","[""Children's Cancer Research Insitute, St Anna Children's Hospital, Vienna, Austria.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (RNA, Messenger)', '0 (Recombinant Fusion Proteins)']",IM,,"['Adolescent', 'Amino Acid Sequence', 'Base Sequence', 'Child', 'Child, Preschool', 'Female', 'Gene Amplification', 'Gene Rearrangement', 'Genetic Variation', 'Humans', 'Male', 'Molecular Sequence Data', '*Polymerase Chain Reaction', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/*genetics', 'RNA, Messenger/*analysis', 'Recombinant Fusion Proteins/*genetics', 'Sequence Homology, Nucleic Acid', 'Transcription, Genetic', 'Tumor Cells, Cultured']",1992/09/15 00:00,1992/09/15 00:01,['1992/09/15 00:00'],"['1992/09/15 00:00 [pubmed]', '1992/09/15 00:01 [medline]', '1992/09/15 00:00 [entrez]']",['S0006-4971(20)67562-0 [pii]'],ppublish,Blood. 1992 Sep 15;80(6):1413-7.,,,,,,,,,,,,,,,,
1520714,NLM,MEDLINE,19921013,20131121,0006-3029 (Print) 0006-3029 (Linking),37,1,1992 Jan-Feb,[Thermal properties of chromatin in vivo during interaction with cis[Pt(CuO)2(CuOH)2]].,43-7,"Thermal properties of chromatin in cell composition of BALB/c mice and whole chromatin at injection of cis-Pt(CuO)2(CuOH)2 to experimental animals were studied by high sensitive DSM assigning for investigating complex biological systems. It is established that injection of cis-Pt(CuO)2(CuOH)2 to leukemic mice in vivo changes the thermal characteristics of spleen cells, so that they look like the thermal properties of the healthy mice spleen cells. It was supposed that small doses of Pt(CuO)2(CuOH)2 in the case of leukemia show anticarcinogenic properties and the overdoses promote malignization; in the norm at any concentration of the injected salt cancerogenic properties are exhibited.","['Monaselidze, D R', 'Kalandadze, Ia L', 'Chapchalashvili, Z I', 'Madzhagaladze, G V']","['Monaselidze DR', 'Kalandadze IaL', 'Chapchalashvili ZI', 'Madzhagaladze GV']",,['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Biofizika,Biofizika,0372666,"['0 (Antineoplastic Agents)', '0 (Chromatin)', '0 (Platinum Compounds)', '0 (Pt(II)(CuO)2(CuOH)2)', '49DFR088MY (Platinum)', '789U1901C5 (Copper)']",IM,,"['Animals', 'Antineoplastic Agents/*pharmacology', 'Calorimetry, Differential Scanning', 'Chromatin/*drug effects/metabolism', 'Copper/*pharmacology', 'Dose-Response Relationship, Drug', 'Hot Temperature', 'Leukemia, Experimental/drug therapy/metabolism', 'Mice', 'Mice, Inbred BALB C', 'Platinum/*pharmacology', '*Platinum Compounds', 'Spleen/drug effects/metabolism']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",,ppublish,Biofizika. 1992 Jan-Feb;37(1):43-7.,,Teplovye svoistva khromatina in vivo pri vzaimodeistvii s tsi-[Pt(CuO)2(CuOH)2],,,,,,,,,,,,,,
1520629,NLM,MEDLINE,19921015,20190704,0007-1048 (Print) 0007-1048 (Linking),81,1,1992 May,Philadelphia positive acute leukaemia with minor breakpoint cluster rearrangement may be a stem cell disease.,77-80,The biology of Philadelphia chromosome positive (Ph+) acute lymphoblastic leukaemia (ALL) is the subject of much interest. We present a case of Ph+ ALL with a minor breakpoint cluster (mBCR) rearrangement who subsequently relapsed with Ph+ mBCR+ acute myeloid leukaemia and later with Ph+ mBCR+ acute stem cell leukaemia. This case provides further evidence that Ph+ ALL with a mBCR rearrangement may arise from a pluripotent stem cell with similar potential to that of chronic granulocytic leukaemia to undergo blastic crises with differing lineage characteristics.,"['Jackson, G H', 'Middleton, P', 'Prince, R', 'Bown, N', 'Kernahan, J', 'Reid, M M']","['Jackson GH', 'Middleton P', 'Prince R', 'Bown N', 'Kernahan J', 'Reid MM']","['Department of Haematology, Royal Victoria Infirmary, Newcastle upon Tyne.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Proto-Oncogene Proteins)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.11.1 (BCR protein, human)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-bcr)']",IM,,"['Acute Disease', 'Adolescent', 'Blast Crisis/pathology', 'Female', 'Gene Rearrangement/*genetics', 'Humans', 'Immunophenotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/immunology/pathology', 'Multigene Family/*genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/immunology', '*Protein-Tyrosine Kinases', 'Proto-Oncogene Proteins/genetics', 'Proto-Oncogene Proteins c-bcr', 'Recurrence', 'Stem Cells/immunology/pathology']",1992/05/01 00:00,1992/05/01 00:01,['1992/05/01 00:00'],"['1992/05/01 00:00 [pubmed]', '1992/05/01 00:01 [medline]', '1992/05/01 00:00 [entrez]']",['10.1111/j.1365-2141.1992.tb08175.x [doi]'],ppublish,Br J Haematol. 1992 May;81(1):77-80. doi: 10.1111/j.1365-2141.1992.tb08175.x.,,,,['mBCR'],,,,,,,,,,,,
1520625,NLM,MEDLINE,19921015,20190704,0007-1048 (Print) 0007-1048 (Linking),81,1,1992 May,Comparison of chromosome analysis and BCL-1 rearrangement in a series of patients with multiple myeloma.,58-61,"Translocation (11;14)(q13;q32) is a recurring chromosome abnormality which is found non-randomly in non-Hodgkin's lymphoma, especially of follicular type, as well as in B-cell chronic lymphocytic leukaemia, Waldenstrom's macroglobulinaemia and multiple myeloma. To define further the prevalence of this abnormality in multiple myeloma, we studied a series of 17 patients with this disease with concomitant chromosome analysis and Southern blotting, using a probe specific for the major translocation cluster of the BCL-1 oncogene which is located at chromosome 11q13. Karyotype analysis of 14 evaluable patients revealed three cases with abnormalities of chromosome 11q13, two of them with t(11;14)(q13;q32) and one with del (11)(q13). Southern blot analysis showed no rearrangements in BclI and HindIII digests of DNA from 17 patients including the three patients with anomaly of chromosome 11q13, using a BCL-1 specific probe. A possible restriction length polymorphism was detected in EcoRI cut DNA of five out of 11 patients studied. Therefore the chromosomal break point in our cases with abnormality of chromosome 11q13 must lie outside the major translocation cluster of the BCL-1 gene. However, in centrocytic lymphoma rearrangement of the BCL-1 oncogene has been detected in up to 50% of cases. Location of the break point may therefore be dependent on the differentiation of the transformed B-cell.","['Fiedler, W', 'Weh, H J', 'Hossfeld, D K']","['Fiedler W', 'Weh HJ', 'Hossfeld DK']","['Department of Oncology/Hematology, University Hospital Eppendorf, Hamburg, Germany.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Proto-Oncogene Proteins)', '136601-57-5 (Cyclin D1)', '9007-49-2 (DNA)']",IM,,"['Adult', 'Aged', 'Aged, 80 and over', 'Blotting, Southern', '*Chromosomes', 'Cyclin D1', 'DNA/genetics', 'Female', 'Gene Rearrangement, B-Lymphocyte/*genetics', 'Humans', 'Karyotyping', 'Male', 'Middle Aged', 'Multiple Myeloma/*genetics', 'Proto-Oncogene Proteins/*genetics', 'Translocation, Genetic']",1992/05/01 00:00,1992/05/01 00:01,['1992/05/01 00:00'],"['1992/05/01 00:00 [pubmed]', '1992/05/01 00:01 [medline]', '1992/05/01 00:00 [entrez]']",['10.1111/j.1365-2141.1992.tb08171.x [doi]'],ppublish,Br J Haematol. 1992 May;81(1):58-61. doi: 10.1111/j.1365-2141.1992.tb08171.x.,,,,['BCL-1'],,,,,,,,,,,,
1520624,NLM,MEDLINE,19921015,20190704,0007-1048 (Print) 0007-1048 (Linking),81,1,1992 May,Cytomorphology of childhood lymphoblastic leukaemia: a prospective study of 2000 patients. United Kingdom Medical Research Council's Working Party on Childhood Leukaemia.,52-7,"Blast cell morphology of children with lymphoblastic leukaemia (ALL) entering two national multicentre trials was prospectively reviewed by three haematologists to define the clinical importance of (a) French-American-British (FAB) classification, (b) the presence of cytoplasmic vacuoles, and (c) the presence of 'hand-mirror' cells. Of 2135 evaluable children, 1907 (89%) had FAB L1 morphology and 228 (11%) L2. (L3 patients were not eligible for the trials in question). L2 patients more frequently had residual disease 14 d after starting treatment and had a significantly inferior disease-free survival, but not if the analysis was stratified for age, sex and diagnostic white cell count (WBC). 627 (29%) had blast cells with cytoplasmic vacuoles, and showed a significant survival advantage over the remainder. Vacuoles were positively associated with a low WBC, age range 1-6 years and blast cell positivity for CD10, but their benign influence was apparent even when these variables were taken into account. 'Hand-mirror' (HM) cells were only studied in UKALL X, and were noted in 316/1402 (23%) children. There appeared to be an inverse correlation between HM cells and cytoplasmic vacuoles and a weak association with T-cell immunophenotype, but no prognostic significance was evident. FAB classification appears to be of less prognostic importance than has previously been supposed, though L2 disease is more resistant to current remission induction regimens. Hand-mirror cells may be more common in T-ALL, but are seen in all types and are not related to prognosis. Cytoplasmic vacuoles are predictive of a good response to current therapeutic schedules even allowing for other prognostic variables, and are the single most important morphological feature relating to prognosis in childhood ALL.","['Lilleyman, J S', 'Hann, I M', 'Stevens, R F', 'Richards, S M', 'Eden, O B', 'Chessells, J M', 'Bailey, C C']","['Lilleyman JS', 'Hann IM', 'Stevens RF', 'Richards SM', 'Eden OB', 'Chessells JM', 'Bailey CC']","[""Department of Haematology, Children's Hospital, Sheffield.""]",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,,IM,,"['Adolescent', 'Blast Crisis/pathology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Immunophenotyping', 'Infant', 'Leukocyte Count', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/classification/*epidemiology/*pathology', 'Prognosis', 'Prospective Studies', 'United Kingdom/epidemiology', 'Vacuoles/ultrastructure']",1992/05/01 00:00,1992/05/01 00:01,['1992/05/01 00:00'],"['1992/05/01 00:00 [pubmed]', '1992/05/01 00:01 [medline]', '1992/05/01 00:00 [entrez]']",['10.1111/j.1365-2141.1992.tb08170.x [doi]'],ppublish,Br J Haematol. 1992 May;81(1):52-7. doi: 10.1111/j.1365-2141.1992.tb08170.x.,,,,,,,,,,,,,,,,
1520623,NLM,MEDLINE,19921015,20190704,0007-1048 (Print) 0007-1048 (Linking),81,1,1992 May,Immunophenotypic subclassification of chronic lymphocytic leukaemia (CLL).,45-51,"To determine the significance of the immunophenotypic heterogeneity of B-cell chronic lymphocytic leukaemia (CLL), surface immunoglobulins (SIgs), mouse rosette assays (MR), and a panel of monoclonal antibodies for B cells, T cells and myeloid cells were performed on peripheral blood samples from 61 newly diagnosed cases. Four groups were observed: group I (SIg+, MR+, CD19/20+, CD5+, T antigen (Ag)-; 27 cases); group II (SIg+, MR+, CD19/20+, CD5+, T Ag+; 17 cases); group III (SIg+, MR+ CD19/20+, CD5-, T AG-; 12 cases); and group IV (SIg-, MR+, CD19/20+, Cd5+, T Ag-; 5 cases). Groups were compared according to French-American-British Cooperative Group subtypes, clinical and laboratory features, Rai staging, and survival. Typical CLL morphology (greater than 90% small lymphocytes) was present in 20/20 (100%) of group I cases and 23/27 (85%) group II, III and IV cases (P = 0.09). Expression of a myeloid antigen was seen in 5/27 group I cases (18%) and 1/16 group II cases (6%), but was not predictive of survival (P = 0.36). The CD5- group III had a lower haemoglobin level (P less than 0.0001), higher Rai stage (P less than 0.002), and poorer survival at 5 years (P less than 0.02) than the other groups. We conclude that at least four distinct immunophenotypic subgroups of B-cell CLL can be determined. Expression of myeloid or T-cell antigens does not appear to predict for patient survival; however, lack of CD5 antigen may be associated with more advanced stage of disease and poor patient survival.","['Kurec, A S', 'Threatte, G A', 'Gottlieb, A J', 'Smith, J R', 'Anderson, J', 'Davey, F R']","['Kurec AS', 'Threatte GA', 'Gottlieb AJ', 'Smith JR', 'Anderson J', 'Davey FR']","['Department of Pathology, SUNY Health Science Center, Syracuse 13210.']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)']",IM,,"['Adult', 'Aged', 'Aged, 80 and over', 'Antibodies, Monoclonal', 'Antigens, Surface/analysis/immunology', 'B-Lymphocytes/immunology/pathology', 'Female', 'Humans', 'Immunophenotyping', 'Leukemia, Lymphocytic, Chronic, B-Cell/*classification/diagnosis/immunology', 'Male', 'Middle Aged', 'T-Lymphocytes/immunology/pathology']",1992/05/01 00:00,1992/05/01 00:01,['1992/05/01 00:00'],"['1992/05/01 00:00 [pubmed]', '1992/05/01 00:01 [medline]', '1992/05/01 00:00 [entrez]']",['10.1111/j.1365-2141.1992.tb08169.x [doi]'],ppublish,Br J Haematol. 1992 May;81(1):45-51. doi: 10.1111/j.1365-2141.1992.tb08169.x.,,,,,,,,,,,,,,,,
1520622,NLM,MEDLINE,19921015,20190704,0007-1048 (Print) 0007-1048 (Linking),81,1,1992 May,Remission with morphological myelodysplasia in de novo acute myeloid leukaemia: implications for early relapse.,33-9,"Myelodysplastic features of remission bone marrow were investigated in 46 adults with de novo acute myeloid leukaemia (AML) according to the FAB morphological criteria for myelodysplastic syndromes (MDS). Compared with a group of 18 patients with the common type of acute lymphoblastic leukaemia in remission, micromegakaryocytes (30.4% v. 5.6%, P less than 0.05), multi-separated nuclear megakaryocytes (45.7% v. 0%, P less than 0.01), degranulated neutrophils (39.1% v. 5.6%, P less than 0.05), and neutrophils with hyposegmented nuclei (34.8% v. 0%, P less than 0.01) were significantly more common in the AML patients. In contrast, dyserythropoietic changes had a similar incidence in both groups. When compared with the clinical features at initial diagnosis in AML cases, the dysmegakaryocytic changes in remission marrow were found to be significantly more frequent in patients with monocytic involvement (mainly M4) or trilineage myelodysplasia (T-MDS AML). Disease-free survival was significantly shorter in patients with micromegakaryocytes (P less than 0.05) or neutrophils with hypogsegmented nuclei (P less than 0.05) than in those without these features. Overall survival was also significantly shorter in patients with micromegakaryocytes (P less than 0.05). These findings may help in developing new strategies for the post-remission therapy of AML, and also suggest that myelodysplastic changes in the remission marrow of de novo AML patients may be related to haematopoietic recovery by a preleukaemic clone which eventually leads to early leukaemic relapse. Dysplastic marrow, however, was not necessarily associated with peripheral pancytopenia in the present series, warranting basic research on such putative clonal remissions.","['Nagai, K', 'Matsuo, T', 'Atogami, S', 'Moriuchi, Y', 'Yoshida, Y', 'Kuriyama, K', 'Tomonaga, M']","['Nagai K', 'Matsuo T', 'Atogami S', 'Moriuchi Y', 'Yoshida Y', 'Kuriyama K', 'Tomonaga M']","['Department of Haematology, Nagasaki University School of Medicine, Japan.']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,,IM,,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Bone Marrow/pathology', 'Female', 'Humans', 'Leukemia, Myeloid/*pathology', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*pathology', 'Prognosis', 'Remission Induction']",1992/05/01 00:00,1992/05/01 00:01,['1992/05/01 00:00'],"['1992/05/01 00:00 [pubmed]', '1992/05/01 00:01 [medline]', '1992/05/01 00:00 [entrez]']",['10.1111/j.1365-2141.1992.tb08167.x [doi]'],ppublish,Br J Haematol. 1992 May;81(1):33-9. doi: 10.1111/j.1365-2141.1992.tb08167.x.,,,,,,,,,,,,,,,,
1520620,NLM,MEDLINE,19921015,20190704,0007-1048 (Print) 0007-1048 (Linking),81,1,1992 May,Lymphocytes from multi-transfused patients exhibit cytotoxicity against autologous cells.,23-6,"We previously demonstrated that multitransfused patients with severe aplastic anaemia (SAA) exhibit high numbers of alloreactive cytotoxic T lymphocyte precursors directed against their HLA identical siblings. In this study a group of patients who had received multiple blood transfusions for SAA, other haematological diseases or acute blood loss were tested for autocytotoxicity and the results compared with those of untransfused controls. These controls consisted of normal individuals, patients with chronic myeloid leukaemia (CML) or untransfused patients with SAA. There was a significantly higher degree of autocytotoxicity in multitransfused patients, than in the untransfused controls, including untransfused patients with SAA (P = 0.0001). These results suggest that blood transfusion is responsible for inducing autoreactivity. In one patient, in whom both alloreactive anti-non-MHC and autoreactive cytotoxic T lymphocytes (CTL) had been detected, it was demonstrated that there was no crossreactivity between the alloreactive and autoreactive CTL responses. Inhibition studies using monoclonal antibodies revealed the effector cells to be T lymphocytes and the restricting determinants to be both HLA class I and II molecules.","['Kaminski, E R', 'Hows, J M', 'Goldman, J M', 'Batchelor, J R']","['Kaminski ER', 'Hows JM', 'Goldman JM', 'Batchelor JR']","['Department of Immunology, Royal Postgraduate Medical School, Hammersmith Hospital, London.']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (Antibodies, Monoclonal)', '0 (HLA Antigens)']",IM,,"['Anemia, Aplastic/surgery', 'Antibodies, Monoclonal', '*Blood Transfusion, Autologous', 'Cells, Cultured', 'Cross Reactions', 'Cytotoxicity Tests, Immunologic/methods', 'HLA Antigens/analysis/immunology', 'Humans', 'T-Lymphocytes, Cytotoxic/*cytology/immunology']",1992/05/01 00:00,1992/05/01 00:01,['1992/05/01 00:00'],"['1992/05/01 00:00 [pubmed]', '1992/05/01 00:01 [medline]', '1992/05/01 00:00 [entrez]']",['10.1111/j.1365-2141.1992.tb08165.x [doi]'],ppublish,Br J Haematol. 1992 May;81(1):23-6. doi: 10.1111/j.1365-2141.1992.tb08165.x.,,,,,,,,,,,,,,,,
1520534,NLM,MEDLINE,19921013,20041117,0889-2229 (Print) 0889-2229 (Linking),8,7,1992 Jul,Establishment of T-lymphoid cell lines from Morroccan patients with tropical spastic paraparesis.,1209-13,"Two T-cell lines were established from peripheral blood mononuclear cells of two Moroccan patients with tropical spastic paraparesis and then named PR52 and PR144. The two cell lines showed a T lineage of activated CD4+ with high density of Tac+ (IL2 receptor). No expression of CD8 was observed. The virus particles were detected by reverse transcriptase activity and the viral antigens were also detected by immunofluorescence (IF) and Western blot. After six months of culture greater than 90% of the cells exhibited HTLVI antigen by IF. Lysate virus particles on Western blot analysis revealed p19,p24, and p53 gag protein similar to those detected in C91/PL virus particles from an adult T-cell leukemia (ATL) patient. gp46 and gp61 were also weakly detected. These two T-cell lines established will serve as substrate for further comparative studies on TSP and ATL isolates.","['Farouqi, B', 'Yahyaoui, M', 'Alaoui, F M', 'Noraz, N', 'Sekkat, S', 'Chkili, T', 'Desgranges, C', 'Benslimane, A']","['Farouqi B', 'Yahyaoui M', 'Alaoui FM', 'Noraz N', 'Sekkat S', 'Chkili T', 'Desgranges C', 'Benslimane A']","['Institut Pasteur de Maroc, Casablanca.']",['eng'],['Journal Article'],United States,AIDS Res Hum Retroviruses,AIDS research and human retroviruses,8709376,"['0 (DNA, Viral)']",IM,,"['Base Sequence', 'Blotting, Western', '*Cell Line', 'DNA, Viral', 'Fluorescent Antibody Technique', 'Human T-lymphotropic virus 1/genetics/*isolation & purification', 'Humans', 'Molecular Sequence Data', 'Morocco', 'Paraparesis, Tropical Spastic/*microbiology', 'Phenotype', 'Polymerase Chain Reaction', 'T-Lymphocytes/cytology/*microbiology']",1992/07/01 00:00,1992/07/01 00:01,['1992/07/01 00:00'],"['1992/07/01 00:00 [pubmed]', '1992/07/01 00:01 [medline]', '1992/07/01 00:00 [entrez]']",['10.1089/aid.1992.8.1209 [doi]'],ppublish,AIDS Res Hum Retroviruses. 1992 Jul;8(7):1209-13. doi: 10.1089/aid.1992.8.1209.,,,,,,,,,,,,,,,,
1520371,NLM,MEDLINE,19920603,20190509,1058-4838 (Print) 1058-4838 (Linking),14,1,1992 Jan,Gangrenous cholecystitis secondary to Candida tropicalis infection in a patient with leukemia.,367-8,,"['McGuire, N', 'Hutson, J', 'Huebl, H']","['McGuire N', 'Hutson J', 'Huebl H']",,['eng'],"['Case Reports', 'Comment', 'Letter']",United States,Clin Infect Dis,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,9203213,,IM,,"['Adult', 'Candidiasis/*complications', 'Cholecystitis/*complications', 'Gangrene', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Neutropenia/*complications', 'Peritonitis/*complications']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1093/clinids/14.1.367 [doi]'],ppublish,Clin Infect Dis. 1992 Jan;14(1):367-8. doi: 10.1093/clinids/14.1.367.,,,,,,,,,,,,['Rev Infect Dis. 1990 May-Jun;12(3):483-9. PMID: 2193353'],,,,
