PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,PMC,EDAT,MHDA,CRDT,PHST,PST,SO,RN,SB,CON,MH,AID,CI,AD,GR,TT,DEP,RF,CIN,PS,FPS,MID,CN,SI,EIN,LID,OID,GN,OTO,OT
17373772,NLM,MEDLINE,20070829,20161124,1043-1802 (Print) 1043-1802 (Linking),18,3,2007 May-Jun,Synthesis and radiolabeling of selective high-affinity ligands designed to target non-Hodgkin's lymphoma and leukemia.,912-21,"Selective high-affinity ligands (SHALs) were synthesized as molecular targeting agents for HLA-DR10, a cell surface receptor upregulated on malignant B-cell lymphocytes in non-Hodgkin's lymphoma and leukemia. SHALs are designed to mimic the affinity and selectivity of Lym-1, an antibody that binds to the beta-subunit of HLA-DR10. To bind selectively to HLA-DR10, SHALs were constructed to bind to two adjacent pockets on the surface of the beta-subunit of HLA-DR10 located within an epitope recognized by the Lym-1 antibody. A series of multivalent SHALs with molecular masses of 1500-3000 Da were synthesized using solid/polymer-supported synthesis on chlorotrityl chloride resin in 50-80% yield. To enable their use as radionuclide carriers in mouse studies, SHALs were conjugated to DOTA in a solution-phase reaction with 70-100% yield. 57Co/CoCl2 titrations revealed that 50-60% of the DOTA in the DOTA-conjugated SHALs was available for radiometal chelation. These DOTA-SHALs were labeled with 111In and used to carry out pharmacokinetic studies in mice. Radiolabeling reactions of DOTA-SHALs, with exactly one DOTA entity per targeting SHAL molecule, yielded products with greater than 90% radiochemical purity and specific activities ranging from 97 to 150 muCi/mug.","['Hok, Saphon', 'Natarajan, Arutselvan', 'Balhorn, Rod', 'DeNardo, Sally J', 'DeNardo, Gerald L', 'Perkins, Julie']","['Hok S', 'Natarajan A', 'Balhorn R', 'DeNardo SJ', 'DeNardo GL', 'Perkins J']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",United States,Bioconjug Chem,Bioconjugate chemistry,9010319,,2007/03/22 09:00,2007/08/30 09:00,['2007/03/22 09:00'],"['2007/03/22 09:00 [pubmed]', '2007/08/30 09:00 [medline]', '2007/03/22 09:00 [entrez]']",ppublish,Bioconjug Chem. 2007 May-Jun;18(3):912-21. doi: 10.1021/bc060305o. Epub 2007 Mar 21.,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (HLA-DR Antigens)', '0 (HLA-DR Serological Subtypes)', '0 (HLA-DR10 antigen)', '0 (Heterocyclic Compounds, 1-Ring)', '0 (Indium Radioisotopes)', '0 (Ligands)', '0 (Lym-1 monoclonal antibody)', '1HTE449DGZ (1,4,7,10-tetraazacyclododecane- 1,4,7,10-tetraacetic acid)']",IM,,"['Animals', 'Antibodies, Monoclonal/*immunology', 'Antibodies, Monoclonal, Murine-Derived', 'B-Lymphocytes/immunology', 'HLA-DR Antigens/*immunology', 'HLA-DR Serological Subtypes', 'Heterocyclic Compounds, 1-Ring/chemistry', 'Humans', 'Indium Radioisotopes/*chemistry', 'Leukemia/*immunology', 'Ligands', 'Lymphoma, Non-Hodgkin/*immunology', 'Mice']",['10.1021/bc060305o [doi]'],,"['Chemistry, Materials and Life Sciences Directorate, Lawrence Livermore National Laboratory, Livermore, California 94551, USA.']",['P01-CA47829/CA/NCI NIH HHS/United States'],,20070321,,,,,,,,,,,,,
17373754,NLM,MEDLINE,20070606,20190430,1007-9327 (Print) 1007-9327 (Linking),13,7,2007 Feb 21,A prophylactic approach for bone marrow transplantation from a hepatitis B surface antigen-positive donor.,1138-40,"It has been accepted that bone marrow transplantation (BMT) is the only curative therapeutic option for certain hematologic malignancies. The southeast Asia region is an endemic area of hepatitis B virus (HBV) infection; thus, BMT using a hepatitis B surface antigen (HBsAg)-positive donor is occasionally unavoidable. Organ transplantation using a HBsAg-positive donor can lead to post-transplantation de novo HBV infection and severe HBV-related hepatitis if no effective prophylactic measures are taken prior to and after transplantation. In this report, a four-level approach was designed for a patient with chronic myeloid leukemia, beginning with a booster HBV vaccination before performing BMT with a HBsAg-positive donor. Prior to BMT, the HBV viral load of the donor was reduced to an undetectable level by antiviral therapy. After BMT, hepatitis B immunoglobulin was administered intramuscularly for 1 wk together with a long-term antiviral drug, lamivudine. One year after discontinuation of lamivudine, the patient is still free of HBV infection.","['Sobhonslidsuk, Abhasnee', 'Ungkanont, Artit']","['Sobhonslidsuk A', 'Ungkanont A']",['eng'],"['Case Reports', 'Journal Article']",United States,World J Gastroenterol,World journal of gastroenterology,100883448,PMC4146882,2007/03/22 09:00,2007/06/07 09:00,['2007/03/22 09:00'],"['2007/03/22 09:00 [pubmed]', '2007/06/07 09:00 [medline]', '2007/03/22 09:00 [entrez]']",ppublish,World J Gastroenterol. 2007 Feb 21;13(7):1138-40. doi: 10.3748/wjg.v13.i7.1138.,"['0 (Antiviral Agents)', '0 (Hepatitis B Surface Antigens)', '0 (Hepatitis B Vaccines)', '2T8Q726O95 (Lamivudine)']",IM,,"['Adult', 'Antiviral Agents/therapeutic use', 'Bone Marrow Transplantation/*immunology/*methods', 'Follow-Up Studies', 'Hepatitis B/immunology/*prevention & control', 'Hepatitis B Surface Antigens/*immunology', 'Hepatitis B Vaccines/therapeutic use', 'Hepatitis B virus/immunology', 'Humans', 'Lamivudine/therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/immunology/*surgery', 'Male', 'Tissue Donors', 'Viral Load']",['10.3748/wjg.v13.i7.1138 [doi]'],,"['Department of Medicine, Ramathibodi hospital, 270 Praram 6 Road, Rajathevee, Bangkok 10400, Thailand. teasb@mahidol.ac.th']",,,,,,,,,,,,,,,,
17373678,NLM,MEDLINE,20070921,20071115,0361-8609 (Print) 0361-8609 (Linking),82,8,2007 Aug,Primary adrenal adult T-cell leukemia/lymphoma: a case report and review of the literature.,748-52,"Primary adrenal lymphoma (PAL) is very rare; the majority of cases reported previously were of B-cell origin. We report a rare case of primary adrenal adult T-cell leukemia/lymphoma (primary adrenal ATLL). ATLL is a highly aggressive T-cell type non-Hodgkin's lymphoma and etiologically associated with human T-cell lymphotropic virus 1 (HTLV-1). Most ATLL patients present with leukemia and widespread lymphadenopathy. A 37-year-old Japanese woman presented with back pain in January 2004. Examination showed no peripheral lymphadenopathy, circulating lymphoma cells, hepatosplenomegaly, and skin lesions. Imaging studies demonstrated large adrenal masses bilaterally. Subsequently, she underwent open adrenal biopsy and pathological diagnosis was confirmed as T-cell lymphoma. The serum antibody to HTLV-1 was positive. Southern blot analysis detected monoclonal integration of proviral DNA of HTLV-1 into host genome in the biopsy specimen. The diagnosis of ATLL arising in adrenal glands was established. Despite repeated systemic chemotherapy, the patient died of progressive disease in December 2004. ATLL could primarily involve the adrenal gland and this disease entity should be included in the differential diagnosis of adrenal mass lesions.","['Tomoyose, Takeaki', 'Nagasaki, Akitoshi', 'Uchihara, Jun-Nosuke', 'Kinjo, Shigeko', 'Sugaya, Kimio', 'Onaga, Tomohiro', 'Ohshima, Kouichi', 'Masuda, Masato', 'Takasu, Nobuyuki']","['Tomoyose T', 'Nagasaki A', 'Uchihara JN', 'Kinjo S', 'Sugaya K', 'Onaga T', 'Ohshima K', 'Masuda M', 'Takasu N']",['eng'],"['Case Reports', 'Journal Article', 'Review']",United States,Am J Hematol,American journal of hematology,7610369,,2007/03/22 09:00,2007/09/22 09:00,['2007/03/22 09:00'],"['2007/03/22 09:00 [pubmed]', '2007/09/22 09:00 [medline]', '2007/03/22 09:00 [entrez]']",ppublish,Am J Hematol. 2007 Aug;82(8):748-52. doi: 10.1002/ajh.20856.,,IM,,"['Adrenal Gland Neoplasms/genetics/*pathology/surgery', 'Adult', 'Biopsy', 'Female', 'Human T-lymphotropic virus 1/genetics', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/genetics/*pathology/surgery', 'Tomography Scanners, X-Ray Computed']",['10.1002/ajh.20856 [doi]'],,"['Department of Endocrinology and Metabolism, Internal Medicine, University of the Ryukyus School of Medicine, Okinawa, Japan.']",,,,34,,,,,,,,,,,,
17373673,NLM,MEDLINE,20080205,20131121,0277-6715 (Print) 0277-6715 (Linking),26,25,2007 Nov 10,Iowa radon leukaemia study: a hierarchical population risk model for spatially correlated exposure measured with error.,4619-42,"This paper presents a Bayesian model that allows for the joint prediction of county-average radon levels and estimation of the associated leukaemia risk. The methods are motivated by radon data from an epidemiologic study of residential radon in Iowa that include 2726 outdoor and indoor measurements. Prediction of county-average radon is based on a geostatistical model for the radon data which assumes an underlying continuous spatial process. In the radon model, we account for uncertainties due to incomplete spatial coverage, spatial variability, characteristic differences between homes, and detector measurement error. The predicted radon averages are, in turn, included as a covariate in Poisson models for incident cases of acute lymphocytic (ALL), acute myelogenous (AML), chronic lymphocytic (CLL), and chronic myelogenous (CML) leukaemias reported to the Iowa cancer registry from 1973 to 2002. Since radon and leukaemia risk are modelled simultaneously in our approach, the resulting risk estimates accurately reflect uncertainties in the predicted radon exposure covariate. Posterior mean (95 per cent Bayesian credible interval) estimates of the relative risk associated with a 1 pCi/L increase in radon for ALL, AML, CLL, and CML are 0.91 (0.78-1.03), 1.01 (0.92-1.12), 1.06 (0.96-1.16), and 1.12 (0.98-1.27), respectively.","['Smith, Brian J', 'Zhang, Lixun', 'Field, R William']","['Smith BJ', 'Zhang L', 'Field RW']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",England,Stat Med,Statistics in medicine,8215016,,2007/03/22 09:00,2008/02/06 09:00,['2007/03/22 09:00'],"['2007/03/22 09:00 [pubmed]', '2008/02/06 09:00 [medline]', '2007/03/22 09:00 [entrez]']",ppublish,Stat Med. 2007 Nov 10;26(25):4619-42. doi: 10.1002/sim.2884.,"['0 (Carcinogens, Environmental)', 'Q74S4N8N1G (Radon)']",IM,,"['*Bayes Theorem', 'Carcinogens, Environmental/adverse effects', 'Environmental Exposure/*adverse effects', 'Female', 'Humans', 'Iowa/epidemiology', 'Leukemia, Radiation-Induced/epidemiology/*etiology', 'Male', 'Markov Chains', '*Models, Statistical', 'Monte Carlo Method', 'Radon/*adverse effects', 'Risk Assessment']",['10.1002/sim.2884 [doi]'],"['Copyright 2007 John Wiley & Sons, Ltd.']","['Department of Biostatistics, The University of Iowa, Iowa City, IA 52242-1009, U.S.A. brian-j-smith@uiowa.edu']","['P30 ES05605/ES/NIEHS NIH HHS/United States', 'R01 CA85942/CA/NCI NIH HHS/United States', 'R01 ES05653/ES/NIEHS NIH HHS/United States']",,,,,,,,,,,,,,,
17373424,NLM,MEDLINE,20070412,20220114,0036-9330 (Print) 0036-9330 (Linking),52,1,2007 Feb,What is new in chronic myeloid leukaemia?,"36-41; quiz 42, 58","Chronic myeloid leukaemia is a relatively rare condition, though it has stimulated widespread interest as a consequence of both the stem cell basis and the success of rationally designed therapies. This review will outline some of the issues involving the aetiology of the disease and how this relates to current and future therapies.","['Heaney, N B', 'Holyoake, T L']","['Heaney NB', 'Holyoake TL']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Scotland,Scott Med J,Scottish medical journal,2983335R,,2007/03/22 09:00,2007/04/14 09:00,['2007/03/22 09:00'],"['2007/03/22 09:00 [pubmed]', '2007/04/14 09:00 [medline]', '2007/03/22 09:00 [entrez]']",ppublish,"Scott Med J. 2007 Feb;52(1):36-41; quiz 42, 58. doi: 10.1258/rsmsmj.52.1.36.","['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '0 (Thiazoles)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.11.1 (Aurora Kinases)', 'EC 2.7.11.1 (Protein Serine-Threonine Kinases)', 'F41401512X (nilotinib)', 'RBZ1571X5H (Dasatinib)']",IM,,"['Antineoplastic Agents/pharmacology/therapeutic use', 'Aurora Kinases', 'Benzamides', 'Bone Marrow Transplantation', 'Dasatinib', 'Drug Resistance, Neoplasm', 'Hepatomegaly/etiology', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*diagnosis/*therapy', 'Leukocytosis/etiology', 'Piperazines/pharmacology/therapeutic use', 'Protein Serine-Threonine Kinases/antagonists & inhibitors', 'Protein-Tyrosine Kinases/antagonists & inhibitors', 'Pyrimidines/pharmacology/therapeutic use', 'Splenomegaly/etiology', 'Thiazoles/pharmacology/therapeutic use']",['10.1258/rsmsmj.52.1.36 [doi]'],,"['ATMU, Cancer Division, Section of Experimental Haematology & Haemopoietic Stem Cells, University of Glasgow, UK.']",,,,52,,,,,,,,,,,,
17373421,NLM,MEDLINE,20070412,20170214,0036-9330 (Print) 0036-9330 (Linking),52,1,2007 Feb,Oxidase activity of ceruloplasmin and some acute phase reactant and trace element concentrations in serum of patients with chronic lymphocytic leukemia.,24-7,"In the present study, we aimed to investigate the parameters in serum of patients with chronic lymphocytic leukaemia (CLL) and correlate with the cancer stage. The serum concentrations of ceruloplasmin, a-1-acid glycoprotein, albuminumin, transferrin, copper, zinc, manganese, and ceruloplasmin oxidase activity were measured, and compared with those from a healthy control group. The serum from 34 patients with CLL were extracted before chemotherapy. Serum transferrin, albuminumin and Zinc concentrations were lower in patients with CLL while serum a-1-acid glycoprotein, ceruloplasmin, copper concentrations, and ceruloplasmin oxidase activity were higher in CLL patients when compared with the control group. Although serum manganese concentration was lower in CLL groups than in the control group, the difference was not statistically significant. Serum transferrin concentration was lower in the early stage group compared with the advanced stage. Serum ceruloplasmin level positively correlated with serum ceruloplasmin oxidase activity in patients from the early stage group. Serum ceruloplasmin level positively correlated with serum ceruloplasmin oxidase activity in patients with advanced stage. In conclusion, increased serum ceruloplasmin oxidase activity, ceruloplasmin, a-1-acid glycoprotein, copper levels and decreased transferrin and albuminumin, unchanged manganese levels are associated with CLL and appear to be a consequence of the disease itself.","['Gundogdu, M', 'Kaya, H', 'Gulcin, I', 'Erdem, F', 'Cayir, K', 'Keles, M', 'Yilmaz, A']","['Gundogdu M', 'Kaya H', 'Gulcin I', 'Erdem F', 'Cayir K', 'Keles M', 'Yilmaz A']",['eng'],['Journal Article'],Scotland,Scott Med J,Scottish medical journal,2983335R,,2007/03/22 09:00,2007/04/14 09:00,['2007/03/22 09:00'],"['2007/03/22 09:00 [pubmed]', '2007/04/14 09:00 [medline]', '2007/03/22 09:00 [entrez]']",ppublish,Scott Med J. 2007 Feb;52(1):24-7. doi: 10.1258/rsmsmj.52.1.24.,"['0 (Serum Albumin)', '0 (Trace Elements)', '0 (Transferrin)', 'EC 1.16.3.1 (Ceruloplasmin)']",IM,,"['Adult', 'Aged', 'Case-Control Studies', 'Ceruloplasmin/*analysis', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*blood/pathology', 'Male', 'Middle Aged', 'Serum Albumin/analysis', 'Trace Elements/*blood', 'Transferrin/analysis']",['10.1258/rsmsmj.52.1.24 [doi]'],,"['Department of Internal Medicine, Ataturk University, Medical School, Erzurum, Turkey. gundogdu@atauni.edu.tr']",,,,,,,,,,,,,,,,
17373201,NLM,MEDLINE,20070423,20181201,1545-9616 (Print) 1545-9616 (Linking),6,3,2007 Mar,"A review of deferasirox, bortezomib, dasatinib, and cyclosporine eye drops: possible uses and known side effects in cutaneous medicine.",352-5,"Recently, a number of medications approved for nondermatologic use have proved useful against dermatologic diseases. This article reviews the dermatologic uses and effects of deferasirox, bortezomib, dasatinib, and cyclosporine eye drops. Deferasirox--an oral iron chelator--could be an effective treatment against porphyria cutanea tarda, hemochromatosis, and pathogens such as mucor that thrive in iron rich environments. Bortezomib, a proteasome inhibitor and multiple myeloma treatment, may be effective against nodular amyloid and has been effectively used against squamous cell carcinoma; although trials demonstrate it is ineffective against metastatic melanoma. Bortezomib has many cutaneous side effects including erythematous plaques or nodules, a generalized morbilliform erythema with ulcerations and fever, purpuric eruptions, leukocytoclastic vasculitis, Sweet's syndrome, and folliculitis. Dasatinib is a multi-targeted tyrosine kinase inhibitor active in vitro against most cell lines containing BCR-ABL mutations that confer resistance to imatinib. Dasatinib is likely to be effective against dermatofibroma sarcoma protuberans and cutaneous acute lymphoblastic leukemia, and has caused panniculitis. Cyclosporine 0.05% ocular emulsion (eye drops) are approved to treat dry eyes including dry eyes caused by collagen vascular disease. Cyclosporine eye drops might also have utility in treating eye pathology of ocular rosacea, atopic keratoconjunctivitis, graft versus host disease, herpes keratitis, chronic sarcoidosis of the conjunctiva, conjunctival manifestations of actinic prurigo, keratitis of keratitis-ichthyosis deafness (KID) syndrome, and lichen planus-related kerato-conjunctivitis. This article speculates that cyclosporine eye drops would also be useful for any disease causing ectropion or eclabion of the eye as well as toxic epidermal necrolysis-related eye pathology (in particular corneal scarring).","['Scheinfeld, Noah']",['Scheinfeld N'],['eng'],"['Journal Article', 'Review']",United States,J Drugs Dermatol,Journal of drugs in dermatology : JDD,101160020,,2007/03/22 09:00,2007/04/24 09:00,['2007/03/22 09:00'],"['2007/03/22 09:00 [pubmed]', '2007/04/24 09:00 [medline]', '2007/03/22 09:00 [entrez]']",ppublish,J Drugs Dermatol. 2007 Mar;6(3):352-5.,"['0 (Antineoplastic Agents)', '0 (Benzoates)', '0 (Boronic Acids)', '0 (Iron Chelating Agents)', '0 (Ophthalmic Solutions)', '0 (Protein Kinase Inhibitors)', '0 (Pyrazines)', '0 (Pyrimidines)', '0 (Thiazoles)', '0 (Triazoles)', '69G8BD63PP (Bortezomib)', '83HN0GTJ6D (Cyclosporine)', 'RBZ1571X5H (Dasatinib)', 'V8G4MOF2V9 (Deferasirox)']",IM,,"['Animals', 'Antineoplastic Agents/adverse effects/*therapeutic use', 'Benzoates/adverse effects/*therapeutic use', 'Boronic Acids/adverse effects/*therapeutic use', 'Bortezomib', 'Cyclosporine/administration & dosage/adverse effects/*therapeutic use', 'Dasatinib', 'Deferasirox', 'Humans', 'Iron Chelating Agents/adverse effects/*therapeutic use', 'Ophthalmic Solutions', 'Protein Kinase Inhibitors/administration & dosage/adverse effects/*therapeutic use', 'Pyrazines/adverse effects/*therapeutic use', 'Pyrimidines/administration & dosage/adverse effects/*therapeutic use', 'Randomized Controlled Trials as Topic', 'Skin Diseases/*drug therapy', 'Skin Neoplasms/*drug therapy', 'Thiazoles/administration & dosage/adverse effects/*therapeutic use', 'Triazoles/adverse effects/*therapeutic use']",,,"[""Department of Dermatology, St. Luke's-Roosevelt Hospital Center.""]",,,,36,,,,,,,,,,,,
17373017,NLM,MEDLINE,20070618,20181201,1439-4227 (Print) 1439-4227 (Linking),8,6,2007 Apr 16,Optimization and modifications of aptamers selected from live cancer cell lines.,603-6,,"['Shangguan, Dihua', 'Tang, Zhiwen', 'Mallikaratchy, Prabodika', 'Xiao, Zeyu', 'Tan, Weihong']","['Shangguan D', 'Tang Z', 'Mallikaratchy P', 'Xiao Z', 'Tan W']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, U.S. Gov't, Non-P.H.S.""]",Germany,Chembiochem,Chembiochem : a European journal of chemical biology,100937360,,2007/03/21 09:00,2007/06/19 09:00,['2007/03/21 09:00'],"['2007/03/21 09:00 [pubmed]', '2007/06/19 09:00 [medline]', '2007/03/21 09:00 [entrez]']",ppublish,Chembiochem. 2007 Apr 16;8(6):603-6. doi: 10.1002/cbic.200600532.,"['0 (Aptamers, Nucleotide)', '0 (Culture Media)', '0 (DNA, Single-Stranded)', '0 (Oligonucleotides)', '3WJQ0SDW1A (Polyethylene Glycols)']",IM,,"['Aptamers, Nucleotide/*chemistry', 'Cell Line, Tumor/*chemistry', 'Culture Media/chemistry', 'DNA, Single-Stranded/chemistry', 'Evolution, Chemical', 'Humans', 'Leukemia/genetics/metabolism', 'Models, Molecular', 'Nucleic Acid Conformation', 'Oligonucleotides/*chemistry', 'Polyethylene Glycols/chemistry']",['10.1002/cbic.200600532 [doi]'],,"['Department of Chemistry and Shands Cancer Center, UF Genetics Institute and McKnight Brain Institute, Center for Research at Bio/nano Interface, University of Florida, Gainesville, FL 32611, USA.']",,,,,,,,,,,,,,,,
17372956,NLM,MEDLINE,20070516,20070327,1612-1880 (Electronic) 1612-1872 (Linking),4,3,2007 Mar,Labdane diterpenoid glycosides from Aster veitchianus.,531-8,"Four new labdane-type rhamnopyranosides derived from 13-epimanool, compounds 1-4, with differently acetylated sugar moieties, were isolated from A. veitchianus. Their structures and absolute configurations were elucidated by chemical transformation, spectroscopic and mass-spectrometric analyses (IR, 1D- and 2D-NMR, HR-ESI-MS), as well as by single-crystal X-ray diffraction (compound 1). The isolates 2-4 were investigated for their cytotoxic properties against cultured human hepatoma (SMMC-7721), ovarian neoplasm (HO-8910), and leukemia (HL-60) cells, and for their antibacterial activities against Escherichia coli, Bacillus subtilis, and Staphylococcus aureus.","['Li, Er-Wei', 'Gao, Xue', 'Gao, Kun', 'Jia, Zhong-Jian']","['Li EW', 'Gao X', 'Gao K', 'Jia ZJ']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Chem Biodivers,Chemistry & biodiversity,101197449,,2007/03/21 09:00,2007/05/17 09:00,['2007/03/21 09:00'],"['2007/03/21 09:00 [pubmed]', '2007/05/17 09:00 [medline]', '2007/03/21 09:00 [entrez]']",ppublish,Chem Biodivers. 2007 Mar;4(3):531-8. doi: 10.1002/cbdv.200790046.,"['0 (Anti-Bacterial Agents)', '0 (Antineoplastic Agents)', '0 (Diterpenes)', '0 (Glycosides)', '0 (Plant Extracts)']",IM,,"['Anti-Bacterial Agents/isolation & purification/pharmacology', 'Antineoplastic Agents/isolation & purification/pharmacology', '*Aster Plant', 'Cell Line, Tumor', 'Diterpenes/*isolation & purification/pharmacology', 'Glycosides/*isolation & purification/pharmacology', 'HL-60 Cells', 'Humans', 'Plant Extracts/isolation & purification/pharmacology']",['10.1002/cbdv.200790046 [doi]'],,"['State Key Laboratory of Applied Organic Chemistry, College of Chemistry and Chemical Engineering, Lanzhou University, Lanzhou 730000, PR China.']",,,,,,,,,,,,,,,,
17372476,NLM,PubMed-not-MEDLINE,20121002,20190507,0256-4947 (Print) 0256-4947 (Linking),16,3,1996 May,Severe hypercalcemia in a child with relapsed megakaryoblastic leukemia: Report of a case and review of the literature.,329-31,,"['Al-Sudairy, R M', 'Al-Nasser, A A', 'Al-Gwaiz, L A']","['Al-Sudairy RM', 'Al-Nasser AA', 'Al-Gwaiz LA']",['eng'],['Journal Article'],Saudi Arabia,Ann Saudi Med,Annals of Saudi medicine,8507355,,1996/05/01 00:00,1996/05/01 00:01,['1996/05/01 00:00'],"['1996/05/01 00:00 [pubmed]', '1996/05/01 00:01 [medline]', '1996/05/01 00:00 [entrez]']",ppublish,Ann Saudi Med. 1996 May;16(3):329-31. doi: 10.5144/0256-4947.1996.329.,,,,,"['16-329 [pii]', '10.5144/0256-4947.1996.329 [doi]']",,"['Sections of Pediatric Hematology-Oncology, Department of Oncology, King Faisal Specialist Hospital and Research Centre, and Hematopathology, Department of Pathology, King Saud University, College of Medicine, Riyadh, Saudi Arabia.']",,,,,,,,,,,,,,,,
17372473,NLM,PubMed-not-MEDLINE,20121002,20190507,0256-4947 (Print) 0256-4947 (Linking),16,3,1996 May,Malignant histiocytosis in leukemia phase: Case report and review of the literature.,326-8,,"['Al-Gwaiz, L A', 'Harakati, M S', 'Al-Khairy, K S', 'Al-Nasser, A A']","['Al-Gwaiz LA', 'Harakati MS', 'Al-Khairy KS', 'Al-Nasser AA']",['eng'],['Journal Article'],Saudi Arabia,Ann Saudi Med,Annals of Saudi medicine,8507355,,1996/05/01 00:00,1996/05/01 00:01,['1996/05/01 00:00'],"['1996/05/01 00:00 [pubmed]', '1996/05/01 00:01 [medline]', '1996/05/01 00:00 [entrez]']",ppublish,Ann Saudi Med. 1996 May;16(3):326-8. doi: 10.5144/0256-4947.1996.326.,,,,,"['16-326 [pii]', '10.5144/0256-4947.1996.326 [doi]']",,"['Departments of Pathology and Medicine, King Khalid University Hospital and College of Medicine, King Saud University and Department of Oncology, King Faisal Specialist Hospital and Research Centre, Riyadh, Saudi Arabia.']",,,,,,,,,,,,,,,,
17372472,NLM,PubMed-not-MEDLINE,20121002,20070320,0256-4947 (Print) 0256-4947 (Linking),16,2,1996 Mar,Spinal epidural granulocytic sarcoma: A rare presentation of acute myeloid leukemia.,212-4,,"['Devi, V L', 'Doval, D C', 'Rao, C R', 'Bapsy, P P']","['Devi VL', 'Doval DC', 'Rao CR', 'Bapsy PP']",['eng'],['Journal Article'],Saudi Arabia,Ann Saudi Med,Annals of Saudi medicine,8507355,,1996/03/01 00:00,1996/03/01 00:01,['1996/03/01 00:00'],"['1996/03/01 00:00 [pubmed]', '1996/03/01 00:01 [medline]', '1996/03/01 00:00 [entrez]']",ppublish,Ann Saudi Med. 1996 Mar;16(2):212-4.,,,,,['16-212 [pii]'],,"['Kidwai Memorial Institute of Oncology, Bangalore.']",,,,,,,,,,,,,,,,
17372392,NLM,PubMed-not-MEDLINE,20121002,20190507,0256-4947 (Print) 0256-4947 (Linking),16,1,1996,An integrated approach to the management of chronic myeloid leukemia.,1-2,,"['Mughal, T I', 'Goldman, J M']","['Mughal TI', 'Goldman JM']",['eng'],['Editorial'],Saudi Arabia,Ann Saudi Med,Annals of Saudi medicine,8507355,,1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",ppublish,Ann Saudi Med. 1996;16(1):1-2. doi: 10.5144/0256-4947.1996.1.,,,,,"['16-1 [pii]', '10.5144/0256-4947.1996.1 [doi]']",,"['Division of Hematology and Oncology, King Fahad National Guard Hospital, Riyadh, Saudi Arabia and Leukemia Unit, Professor of Leukemia Biology, Royal Postgraduate Medical School, Hammersmith Hospital, London, England.']",,,,,,,,,,,,,,,,
17372233,NLM,MEDLINE,20070503,20070320,1055-9965 (Print) 1055-9965 (Linking),16,3,2007 Mar,Non-Hodgkin lymphoma secondary to cancer chemotherapy.,377-80,"Increased long-term survival seen in patients with solid and hematologic cancers achieved as a result of aggressive chemoradiotherapy has come at a price. Therapy-related acute myeloid leukemia has been frequently documented in these patient cohorts, and its biology well studied. Recognition of secondary non-Hodgkin lymphoma as a cause of significant morbidity and mortality in these patients is equally important. The patterns of incidence and latency of secondary lymphomas is distinct from that of myeloid malignancies and other solid cancers. We have systematically analyzed and summarized reports from various groups over the last three decades. Risk of secondary lymphomas increases after the first 5 years of completion of chemotherapy or radiotherapy and persists for more than three decades. This reinforces the need for long-term follow-up of all patients exposed to chemoradiotherapy and confirms that chemotherapeutic agents can cause lymphoma.","['Krishnan, Biju', 'Morgan, Gareth J']","['Krishnan B', 'Morgan GJ']",['eng'],"['Journal Article', 'Review']",United States,Cancer Epidemiol Biomarkers Prev,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",9200608,,2007/03/21 09:00,2007/05/04 09:00,['2007/03/21 09:00'],"['2007/03/21 09:00 [pubmed]', '2007/05/04 09:00 [medline]', '2007/03/21 09:00 [entrez]']",ppublish,Cancer Epidemiol Biomarkers Prev. 2007 Mar;16(3):377-80. doi: 10.1158/1055-9965.EPI-06-1069.,['0 (Antineoplastic Agents)'],IM,,"['Antineoplastic Agents/*adverse effects', 'Humans', 'Incidence', 'Lymphoma, Non-Hodgkin/*chemically induced/drug therapy/epidemiology', 'Neoplasms/*drug therapy', 'Neoplasms, Second Primary/*chemically induced/epidemiology', 'Risk Factors']","['16/3/377 [pii]', '10.1158/1055-9965.EPI-06-1069 [doi]']",,"['Section of Hemato-Oncology, Institute of Cancer Research, Sutton, Surrey, SM2 5NG, United Kingdom.']",,,,24,,,,,,,,,,,,
