PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,CIN,GS,PMC,CON,TT,RF,OTO,OT,IR,FIR,IRAD,SI,EIN,OID,OAB,OABL,GN,EFR
1341615,NLM,MEDLINE,19940124,20041117,1165-0478 (Print) 1165-0478 (Linking),1,5,1992 Sep,Anthracycline-induced cardiomyopathy and heart transplantation.,313,,"['Vinti, H', 'Pesce, A', 'Taillan, B', 'Kreitman, P', 'Cassuto, J P', 'Dujardin, P']","['Vinti H', 'Pesce A', 'Taillan B', 'Kreitman P', 'Cassuto JP', 'Dujardin P']","['Service de Medecine Interne, Hopital de Cimiez, Nice, France.']",['eng'],"['Case Reports', 'Journal Article']",France,Eur J Med,The European journal of medicine,9209793,"['0 (Antibiotics, Antineoplastic)']",IM,"['Adult', 'Antibiotics, Antineoplastic/*adverse effects', 'Cardiomyopathies/*chemically induced/*surgery', 'Female', '*Heart Transplantation', 'Humans', 'Leukemia, Promyelocytic, Acute/drug therapy']",1992/09/01 00:00,1992/09/01 00:01,['1992/09/01 00:00'],"['1992/09/01 00:00 [pubmed]', '1992/09/01 00:01 [medline]', '1992/09/01 00:00 [entrez]']",,ppublish,Eur J Med. 1992 Sep;1(5):313.,,,,,,,,,,,,,,,,,,,
1341467,NLM,MEDLINE,19940119,20071115,1165-0478 (Print) 1165-0478 (Linking),1,6,1992 Oct,Pancreatic pseudocyst secondary to chemotherapy for acute lymphoblastic leukaemia: successful percutaneous drainage.,370-1,,"['Sierra, J', 'Marti, J M', 'Bataller, R', 'Calvet, X', 'Bru, C', 'Granena, A', 'Rozman, C']","['Sierra J', 'Marti JM', 'Bataller R', 'Calvet X', 'Bru C', 'Granena A', 'Rozman C']","['Postgraduate School of Haematology, Hospital Clinic, Barcelona, Spain.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",France,Eur J Med,The European journal of medicine,9209793,,IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Drainage/methods', 'Humans', 'Male', 'Pancreatic Pseudocyst/*chemically induced/therapy', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/*complications/drug therapy', 'Recurrence']",1992/10/01 00:00,1992/10/01 00:01,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '1992/10/01 00:01 [medline]', '1992/10/01 00:00 [entrez]']",,ppublish,Eur J Med. 1992 Oct;1(6):370-1.,,,,,,,19,,,,,,,,,,,,
1341325,NLM,MEDLINE,19940113,20191028,0736-0118 (Print) 0736-0118 (Linking),9,3,1992,Abnormal regulation of the myc gene in myeloid leukemia.,139-47,"To study the regulation of expression of the myc protooncogene, cells from normal individuals and patients with acute myelogenous leukemia (AML), and chronic phase and blastic crisis of chronic myeloid leukemia (CML) cells were put in overnight culture in the presence or absence of fetal calf serum. Myc expression in normal marrow cells and chronic phase CML cells fell after culture in vitro. In contrast, myc expression was maintained or increased in a majority of the AML and blastic crisis CML specimens. These data demonstrate that the regulation of myc expression is disordered in many AML and blastic crisis specimens but not in chronic phase CML cells.","['Gopal, V', 'Kadam, P', 'Preisler, H', 'Hulette, B', 'Li, Y Q', 'Steele, P', 'Freeman, J', 'Banavali, S']","['Gopal V', 'Kadam P', 'Preisler H', 'Hulette B', 'Li YQ', 'Steele P', 'Freeman J', 'Banavali S']","['University of Cincinnati Medical Center, OH 45267-0508.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Med Oncol Tumor Pharmacother,Medical oncology and tumor pharmacotherapy,8405039,"['0 (Interferon alpha-2)', '0 (Interferon-alpha)', '0 (RNA, Neoplasm)', '0 (Recombinant Proteins)', '5688UTC01R (Tretinoin)']",IM,"['Base Sequence', 'Blast Crisis/*genetics', 'Blotting, Southern', 'Bone Marrow Cells', 'Cell Count', 'Gene Expression Regulation, Leukemic/drug effects/*genetics', 'Genes, myc/drug effects/*genetics', 'Genes, ras/genetics', 'Humans', 'Interferon alpha-2', 'Interferon-alpha/pharmacology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/*pathology', 'Leukemia, Myeloid, Acute/*genetics', 'Molecular Sequence Data', 'Mutation/genetics', 'RNA, Neoplasm/genetics', 'Recombinant Proteins', 'Tretinoin/pharmacology', 'Tumor Cells, Cultured']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1007/BF02987745 [doi]'],ppublish,Med Oncol Tumor Pharmacother. 1992;9(3):139-47. doi: 10.1007/BF02987745.,['NCI CA 41285/CA/NCI NIH HHS/United States'],,"['MYC', 'N-ras']",,,,,,,,,,,,,,,,
1341320,NLM,MEDLINE,19940113,20191028,0736-0118 (Print) 0736-0118 (Linking),9,1,1992,Leukemic progression as process of adaptation (theoretical model).,47-50,"On the basis of an assumption that leukemic progression is a process of adaptation of normal hemopoiesis to the effect of the leukemic clone, a theoretical model of leukemia development is built. General conclusions are as follows: the possibility of reaching remission depends upon suppression of normal hemopoiesis by cytostatics in a system of two cell populations: the duration of remission depends upon suppression of the leukemic clone; the quantity of blast cells of marrow in remission can exceed 5 per cent.","['Alekseyev, I V']",['Alekseyev IV'],"['All-Union Scientific Centre for Haematology of the USSR Ministry of Health, Department of Haematology and Bone Marrow Transplantation, Moscow.']",['eng'],['Journal Article'],England,Med Oncol Tumor Pharmacother,Medical oncology and tumor pharmacotherapy,8405039,,IM,"['Adaptation, Physiological/*physiology', 'Hematopoiesis/physiology', 'Humans', 'Leukemia/*physiopathology', '*Models, Theoretical', 'Remission, Spontaneous']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1007/BF02989653 [doi]'],ppublish,Med Oncol Tumor Pharmacother. 1992;9(1):47-50. doi: 10.1007/BF02989653.,,,,,,,,,,,,,,,,,,,
1341319,NLM,MEDLINE,19940113,20191028,0736-0118 (Print) 0736-0118 (Linking),9,1,1992,Prognostic significance of cytochemical analysis of leukemic M2 blasts.,41-5,"Cytochemical analysis of leukemic blasts from 46 patients with acute myeloblastic M2 leukemia (according to the FAB classification) was performed before and after cytostatic therapy, and compared with findings obtained in 20 age- and sex-matched control subjects. Cytochemical findings for myeloperoxidase (MPO), Sudan black B, acid phosphatase and alpha-naphthyl-acetate esterase (ANAE) were related to the achievement of the first complete remission (CR), i.e. data were compared after the patients had been divided into CR and non-CR groups. The analysis clearly showed that a high proportion of myeloperoxidase- and, to a lesser extent, Sudan black B-positive blasts before treatment may have constituted a significantly unfavourable prognostic factor.","['Suic, M', 'Boban, D', 'Markovic-Glamocak, M', 'Petrovecki, M', 'Marusic, M', 'Labar, B']","['Suic M', 'Boban D', 'Markovic-Glamocak M', 'Petrovecki M', 'Marusic M', 'Labar B']","['Department of Clinical Laboratory Diagnosis, Zagreb University School of Medicine, Croatia.']",['eng'],['Journal Article'],England,Med Oncol Tumor Pharmacother,Medical oncology and tumor pharmacotherapy,8405039,"['0 (Azo Compounds)', '0 (Naphthalenes)', '9YDL1Q990E (Sudan Black B)', 'EC 1.11.1.7 (Peroxidase)', 'EC 3.1.- (Naphthol AS D Esterase)', 'EC 3.1.3.2 (Acid Phosphatase)']",IM,"['Acid Phosphatase/analysis', 'Adolescent', 'Adult', 'Aged', 'Azo Compounds/analysis', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/*enzymology/*immunology', 'Leukocytes/*enzymology', 'Lymphocyte Activation', 'Middle Aged', 'Naphthalenes', 'Naphthol AS D Esterase/analysis', 'Peroxidase/analysis', 'Prognosis', 'Remission Induction']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1007/BF02989652 [doi]'],ppublish,Med Oncol Tumor Pharmacother. 1992;9(1):41-5. doi: 10.1007/BF02989652.,,,,,,,,,,,,,,,,,,,
1341286,NLM,MEDLINE,19940107,20061115,0001-4001 (Print) 0001-4001 (Linking),118,5,1992,[Indications and early results of splenectomy in hematologic diseases].,309-14; discussion 315-6,"In this retrospective study, we present 245 patients with various hematological diseases, who had undergone splenectomy for diagnostic or therapeutic purpose in our Department during the last 20-year period (1971-1991). There were 138 men (56%) and 107 women (44%), with a mean age of 49 years. The hematological diseases, for which the splenectomy had been performed, were according to the frequency of admittance: hemolytic anemia, complicated or not by gallstone formation, Werlhoff disease (thrombocytopenic purpura), Hodgkin's disease, hairy-cell leukemia, chronic lymphatic leukemia, non-Hodgkin lymphoma. A drain was placed in the splenic bed in all patients. All patients received anticoagulant therapy and antibiotics as well. Pneumococcal vaccination had been done systematically during the preoperative period. All patients received prophylaxis with a Penicillin for two years postoperatively. During the immediate postoperative period the mortality (1.2% OPSI: 1 case) and the morbidity (3.5% OPSI: 1 case) rates were very low. In conclusion, splenectomy in patients with hematological diseases is a safe procedure, even in high risk patients, but it requires a preoperative preparation and a close cooperation between surgeon and hematologist during the peri- and postoperative periods. Additionally, we have to notice that the possibility of an acute serious infection exists for any patient during the rest of his life.","['Fotiadis, C', 'Kontzoglou, C', 'Dousaitou, P', 'Sehas, M', 'Skalkeas, G R']","['Fotiadis C', 'Kontzoglou C', 'Dousaitou P', 'Sehas M', 'Skalkeas GR']","[""Clinique propedeutique chirurgicale de l'Universite d'Athenes, Grece.""]",['fre'],"['English Abstract', 'Journal Article']",France,Chirurgie,Chirurgie; memoires de l'Academie de chirurgie,0236600,['0 (Anti-Bacterial Agents)'],IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Anti-Bacterial Agents/therapeutic use', 'Female', 'Hematologic Diseases/*surgery', 'Humans', 'Infection Control', 'Male', 'Middle Aged', 'Postoperative Care', 'Premedication', 'Retrospective Studies', 'Risk Factors', '*Splenectomy']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",,ppublish,Chirurgie. 1992;118(5):309-14; discussion 315-6.,,,,,,Indications et resultats precoces des splenectomies pour affections hematologiques.,,,,,,,,,,,,,
1341001,NLM,MEDLINE,19931229,20071115,0035-0362 (Print) 0035-0362 (Linking),110,3,1992 May-Jun,Simplified method for the analysis of cellular karyotype and phenotype in leukemias.,97-101,"The objective of this study was to develop a simplified method for the simultaneous analysis of cellular karyotype and phenotype which would permit the identification of cell origin. We studied 6 patients with AML, 3 with CML (one of which was in blastic transformation) and one ALL. We used a method in which the suspension of bone marrow cells was incubated in TC 199 medium with colchicine and with hypotonic solution formed from glycerol, NaCl, KCl, CaCl2, MgCl2 and sucrose. The slides were prepared from this cell suspension by cytospin and stained for peroxidase, PAS, esterases and iron. The karyotype was studied by direct method and culture. It was possible to relate the cytogenetic marker with cytochemistry characteristics in the same cell in 3 cases, showing the feasibility of cytochemistry techniques in cytogenetical preparations. The best preparations were found through peroxidase. The presence of iron granules allowed identification of erythroblastic lineage in the combined staining. Mitosis with a marker chromosome of leukemic clone in an AML cell with negative peroxidase probably showed a proliferation of more primitive precursor not sufficiently differentiated to show markers.","['Chauffaille, M de L', 'Coutinho, V', 'Kerbauy, J']","['Chauffaille Mde L', 'Coutinho V', 'Kerbauy J']","['Discipline of Hematology & Hemotherapy, Escola Paulista de Medicina, Sao Paulo, Brasil.']",['eng'],['Journal Article'],Brazil,Rev Paul Med,Revista paulista de medicina,0404326,,IM,"['Acute Disease', 'Blast Crisis/*genetics/metabolism', 'Bone Marrow/metabolism/ultrastructure', 'Histocytochemistry', 'Humans', 'Karyotyping/methods', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/metabolism', 'Leukemia, Myeloid/*genetics/metabolism', 'Phenotype', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/metabolism']",1992/05/01 00:00,1992/05/01 00:01,['1992/05/01 00:00'],"['1992/05/01 00:00 [pubmed]', '1992/05/01 00:01 [medline]', '1992/05/01 00:00 [entrez]']",,ppublish,Rev Paul Med. 1992 May-Jun;110(3):97-101.,,,,,,,,,,,,,,,,,,,
1340981,NLM,MEDLINE,19931230,20071115,0034-9887 (Print) 0034-9887 (Linking),120,9,1992 Sep,[Mixed myelocytic and lymphocytic acute leukemia. Case report].,1033-6,"A patient with acute mixed myelocytic and lymphocytic leukemia is reported. The patient showed two populations of malignant myeloid and lymphoid cells with predominance of myeloid lineage. According to the present knowledge, it is hypothesized that its origin is at a pluripotent transformed stem cell which has the capability of differentiating through myeloid and lymphoid lineages. Its maturation is arrested at certain level, thus raising two monoclonal populations simultaneously in the same patient. The treatment should be combined with drugs used in acute myeloblastic and lymphoblastic leukemia. The response to chemotherapy is generally poor.","['Casanova, E R', 'Cabrera, M E', 'Klaasen, R', 'Tapia, P', 'Yanez, V']","['Casanova ER', 'Cabrera ME', 'Klaasen R', 'Tapia P', 'Yanez V']","['Servicio de Medicina Hospital Naval de Talcahuano, Seccion Hematologia Salvador Santiago, Chile.']",['spa'],"['Case Reports', 'English Abstract', 'Journal Article']",Chile,Rev Med Chil,Revista medica de Chile,0404312,,IM,"['Adult', 'Humans', 'Immunophenotyping', 'Leukemia, Biphenotypic, Acute/drug therapy/*immunology', 'Leukemia, Myeloid/drug therapy/*immunology', 'Male']",1992/09/01 00:00,1992/09/01 00:01,['1992/09/01 00:00'],"['1992/09/01 00:00 [pubmed]', '1992/09/01 00:01 [medline]', '1992/09/01 00:00 [entrez]']",,ppublish,Rev Med Chil. 1992 Sep;120(9):1033-6.,,,,,,Leucemia aguda mixta mieloide y linfoide. Caso clinico.,,,,,,,,,,,,,
1340971,NLM,MEDLINE,19931227,20061115,0034-9887 (Print) 0034-9887 (Linking),120,8,1992 Aug,[HTLV-I clinical pathological spectrum].,927-33,"HTLV-I has been revealed as the etiological factor of the Tropical Spastic Paraparesis (TSP) and of the T-cell leukemia-lymphoma of the adult (ATLL). Recently, it has also been associated to some forms of polymyositis, polyarthritis, polyneuropathies, Sjogren's syndrome, thrombocytopenia and lympho-alveolitis. The clinical and pathological spectrum of this retrovirus is analyzed taking into account the Chilean cases and those reported by the international medical literature.","['Cartier, L', 'Araya, F', 'Castillo, J L']","['Cartier L', 'Araya F', 'Castillo JL']","['Departamento de Ciencias Neurologicas, Facultad de Medicina, Universidad de Chile (Division Oriente), Santiago.']",['spa'],"['English Abstract', 'Journal Article', 'Review']",Chile,Rev Med Chil,Revista medica de Chile,0404312,,IM,"['Arthritis, Infectious/microbiology', 'Chile/epidemiology', 'HTLV-I Infections/epidemiology/*physiopathology', 'Human T-lymphotropic virus 1/*pathogenicity', 'Humans', 'Polymyositis/microbiology', 'Polyneuropathies/microbiology', ""Sjogren's Syndrome/microbiology"", 'Thrombocytopenia/microbiology']",1992/08/01 00:00,1992/08/01 00:01,['1992/08/01 00:00'],"['1992/08/01 00:00 [pubmed]', '1992/08/01 00:01 [medline]', '1992/08/01 00:00 [entrez]']",,ppublish,Rev Med Chil. 1992 Aug;120(8):927-33.,,,,,,HTLV-I espectro clinico patologico.,42,,,,,,,,,,,,
1340531,NLM,MEDLINE,19931209,20181130,,34 Suppl,,1992,Pentoxifylline in vitro reverses neutrophil chemotactic deficiency induced by interleukin-2 treatment.,S61-4,"Patients undergoing immunotherapy with Interleukin-2 experience multiple side effects and are highly susceptible to bacteremia. In a previous study, we confirmed the profound neutrophil chemotactic deficiency induced by Interleukin-2 therapy. Peripheral blood cells exposed to Interleukin-2 in vitro secrete secondary cytokines. The release of tumor necrosis factor into the circulation after Interleukin-2 injection has been proposed as an important mechanism underlying cell function alterations. We tested chemotaxis of neutrophils from normal subjects after incubation with the serum from treated patients. Serums induced a defective chemotaxis of normal neutrophils similar to the one observed with neutrophils from Interleukin-2 treated patients. We have previously demonstrated a dose-dependent reversion of neutrophil chemotaxis after incubation with anti-Tumor Necrosis Factor-alpha antibody. Pentoxifylline is known for counteracting the inflammatory action of tumor necrosis factor. We tested its capability to reverse the chemotactic deficiency of neutrophils induced by treated patient serums. Pentoxifylline was added after incubation of normal cells with patient serum, and the directed chemotaxis was restored. Pentoxifylline may have a significant therapeutic potential for the prevention or treatment of complications related to inappropriately activated neutrophils.","['Fossat, C', 'Sainty, D', 'Stoppa, A M', 'Maraninchi, D', 'Juhan-Vague, I']","['Fossat C', 'Sainty D', 'Stoppa AM', 'Maraninchi D', 'Juhan-Vague I']","[""Laboratoire d'Hematologie, CHU Timone, Marseille, France.""]",['eng'],['Journal Article'],Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,"['0 (Immunologic Factors)', '0 (Interleukin-2)', '0 (Recombinant Proteins)', '0 (Tumor Necrosis Factor-alpha)', 'SD6QCT3TSU (Pentoxifylline)']",IM,"['Bacteremia/etiology', 'Bone Marrow Transplantation', 'Cells, Cultured/drug effects', 'Chemotaxis, Leukocyte/drug effects', 'Disease Susceptibility', 'Humans', 'Immunologic Factors/pharmacology/therapeutic use', 'Interleukin-2/*pharmacology/therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/therapy', 'Neoplasms/therapy', 'Neutrophils/*drug effects', 'Pentoxifylline/*pharmacology', 'Recombinant Proteins/pharmacology/therapeutic use', 'Tumor Necrosis Factor-alpha/metabolism']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol. 1992;34 Suppl:S61-4.,,,,,,,,,,,,,,,,,,,
1340409,NLM,MEDLINE,19931201,20031114,0037-9247 (Print) 0037-9247 (Linking),129,2,1992,Study of the effect of the state of reparative regeneration of normal hemopoietic tissue on the leukemic process.,37-41,"On the basis of the investigation of transplanted leukemia development in mice with induced reparative restoration of hemopoietic tissue, of the antileukemic activity of various components isolated from regenerating blood forming organs and of the underlying mechanisms of this action, it has been suggested that some growth regulator molecules in recovering hemopoietic tissue are a part of the natural antileukemic defence of the body and may be of special significance in leukemia treatment especially for residual leukemic cell inhibition as a strategy.","['Svirnovski, A I']",['Svirnovski AI'],"['Laboratory for Leukemia, Pathophysiology, Hematology and Blood Transfusion Institute, Ministry of Public Health of the Republic Belarus, Minsk.']",['eng'],['Journal Article'],Luxembourg,Bull Soc Sci Med Grand Duche Luxemb,Bulletin de la Societe des sciences medicales du Grand-Duche de Luxembourg,7503402,,IM,"['Animals', 'Hematopoiesis/*physiology', 'Leukemia, Experimental/*physiopathology', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred C57BL', 'Neoplasm Transplantation', '*Regeneration']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",,ppublish,Bull Soc Sci Med Grand Duche Luxemb. 1992;129(2):37-41.,,,,,,,,,,,,,,,,,,,
1340369,NLM,MEDLINE,19931206,20160815,0104-4230 (Print) 0104-4230 (Linking),38,3,1992 Jul-Sep,[Surgical treatment of fungal bolus in acute lymphoid leukemia].,174-6,"Case report of a 24 year old female patient with ALL that developed pulmonary invasive aspergillosis during aplastic phase of induction chemotherapy. She was treated with antibiotics and amphotericin B. After recovering from neutropenia, she developed a mycetoma in the inferior lobe of the right lung, which required lobectomy. Nine months after surgery the patient is well, in complete remission of ALL and with no evidence of infection. One month after lobectomy, chemotherapy had been reintroduced. Attention should be called to this form of therapy of Aspergillosis, as a successful way to eradicate this fungal infection that responds poorly to antifungal drugs currently used.","['Gilli, S C', 'Gilbert, M M', 'Frazatto Junior, C', 'Metze, K', 'Ulson, C M', 'Metze, I L']","['Gilli SC', 'Gilbert MM', 'Frazatto Junior C', 'Metze K', 'Ulson CM', 'Metze IL']","['Faculdade de Ciencias Medicas da Universidade de Campinas (UNICAMP), SP.']",['por'],"['Case Reports', 'English Abstract', 'Journal Article']",Brazil,Rev Assoc Med Bras (1992),Revista da Associacao Medica Brasileira (1992),9308586,,IM,"['Adult', 'Aspergillosis/etiology/*surgery', 'Female', 'Humans', 'Lung Diseases, Fungal/etiology/*surgery', 'Neutropenia/*complications', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications']",1992/07/01 00:00,1992/07/01 00:01,['1992/07/01 00:00'],"['1992/07/01 00:00 [pubmed]', '1992/07/01 00:01 [medline]', '1992/07/01 00:00 [entrez]']",,ppublish,Rev Assoc Med Bras (1992). 1992 Jul-Sep;38(3):174-6.,,,,,,"Tratamento cirurgico de ""bola fungica"" em leucemia linfoide aguda (LLA).",,,,,,,,,,,,,
1340214,NLM,MEDLINE,19931203,20191028,0955-2235 (Print) 0955-2235 (Linking),4,4,1992,Leukemia inhibitory factor (LIF): a growth factor with pleiotropic effects on bone biology.,337-53,"Historically, growth factors are denominated based on a specific biological activity. In many cases, these factors display a much broader spectrum of activities, especially when their effect is tested on various cell or tissue types. Consequently, names of certain factors are quite deceptive. A textbook example is leukemia inhibitory factor (LIF). LIF was initially described based on its ability to induce differentiation in the murine myeloid leukemia cell line M1. Later, LIF turned out to be a synonym for at least nine different factors defined on the basis of their effects on a variety of cell types including lymphomas, liver cells, embryonic stem cells and carcinoma cells, neurons, melanomas and osteoclasts. Apart from its differential effect on unrelated cell types and tissues. LIF induces biphasic effects on cells of the same ""lineage"" as well. Needless to say, LIF activity in these circumstances largely depends on the developmental stage of the target cells. An example is LIF activity on bone cells. Osteoclast as well as osteoblast activity is stimulated or suppressed by LIF depending on the developmental stage of the respective cells. This concept is of utmost importance in the evaluation of the seemingly opposing or contradictory effects of LIF in vitro as well as in vivo.","['Van Vlasselaer, P']",['Van Vlasselaer P'],"['Vlaamse Instelling voor Technologisch Onderzoek V.I.T.O. Department of Environment Biology, Geel, Belgium.']",['eng'],"['Journal Article', 'Review']",England,Prog Growth Factor Res,Progress in growth factor research,8912757,"['0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lymphokines)']",IM,"['Animals', 'Bone and Bones/*cytology', 'Cell Differentiation/physiology', 'Growth Inhibitors/*physiology', 'Humans', '*Interleukin-6', 'Leukemia Inhibitory Factor', 'Lymphokines/*physiology', 'Osteoblasts/cytology', 'Osteoclasts/cytology']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1016/0955-2235(92)90015-a [doi]'],ppublish,Prog Growth Factor Res. 1992;4(4):337-53. doi: 10.1016/0955-2235(92)90015-a.,,,,,,,138,,,,,,,,,,,,
1340192,NLM,MEDLINE,19931119,20141120,0004-069X (Print) 0004-069X (Linking),40,5-6,1992,The influence of recombinant human tumor necrosis factor (rh-TNF alpha) on granulocyte-macrophage progenitor cells (CFU-GM) and clonogenic leukaemic blasts (CFU-L) in cultures in vitro.,339-43,"We investigated the influence of recombinant human tumor necrosis factor alfa (rh-TNF alpha) on the clonal growth of CFU-GM from 14 normal individuals and clonogenic blasts (CFU-L) from 16 patients with acute myeloid leukaemia (AML) in semi-solid cultures in vitro. Recombinant human TNF was produced by the Center of Molecular and Macromolecular Studies of the Polish Academy of Sciences (Lodz, Poland) as a lyophylized powder. This factor was added to the culture medium at the concentrations of 10, 100, 1000 U/ml. A dose-dependent growth inhibition of CFU-GM and AML CFU-L was observed. The inhibitory effect of rh-TNF alpha was significantly greater on CFU-L than CFU-GM.","['Robak, T', 'Korycka, A', 'Gora-Tybor, J', 'Piotrowska-Wrzesien, A', 'Krykowski, E']","['Robak T', 'Korycka A', 'Gora-Tybor J', 'Piotrowska-Wrzesien A', 'Krykowski E']","['2nd Clinic of Internal Medicine, Medical Academy, Lodz, Poland.']",['eng'],['Journal Article'],Switzerland,Arch Immunol Ther Exp (Warsz),Archivum immunologiae et therapiae experimentalis,0114365,"['0 (Recombinant Proteins)', '0 (Tumor Necrosis Factor-alpha)']",IM,"['Colony-Forming Units Assay', 'Granulocytes/drug effects', 'Hematopoietic Stem Cells/*drug effects', 'Humans', 'In Vitro Techniques', 'Leukemia, Myeloid, Acute/drug therapy/pathology', 'Macrophages/drug effects', 'Neoplastic Stem Cells/*drug effects', 'Recombinant Proteins/pharmacology', 'Tumor Necrosis Factor-alpha/*pharmacology', 'Tumor Stem Cell Assay']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",,ppublish,Arch Immunol Ther Exp (Warsz). 1992;40(5-6):339-43.,,,,,,,,,,,,,,,,,,,
1340191,NLM,MEDLINE,19931119,20041117,0004-069X (Print) 0004-069X (Linking),40,5-6,1992,Effect of recombinant human granulocyte-macrophage colony-stimulating factor on chemotherapy-induced myelosuppression.,331-7,"We have studied the efficacy of recombinant human granulocyte-macrophage colony-stimulating factor (rhGM-CSF) in stimulating haematopoiesis of patients with chemotherapy-induced myelosuppression. Ten patients with various myeloid and lymphoid neoplasias were treated daily with a single subcutaneous dose of rhGM-CSF (5 micrograms/kg/day), for a period of 5-10 days, after receiving highly myelotoxic chemotherapy. The treatment increased the white blood cell count (WBC) in nine of ten patients, primarily because of an increase in the number of neutrophils. Increase in bone marrow myeloid precursor cells, and myeloid to erythroid cell rations accompanied the white-cell response. In spite of this, five patients demonstrated rapid platelet recoveries, and in two patients erythrocyte levels increased after GM-CSF treatment. No toxicity was encountered with the cytokine therapy. Although rhGM-CSF was shown to stimulate haematopoiesis in patients with chemotherapy-induced myelosuppression, additional studies are needed to assess whether the use of GM-CSF will reduce chemotherapy-associated morbidity and improve response rates and survival among patients with neoplasias.","['Robak, T', 'Krykowski, E', 'Warzocha, K']","['Robak T', 'Krykowski E', 'Warzocha K']","['2nd Clinic of Internal Medicine, University School of Medicine, Lodz, Poland.']",['eng'],['Journal Article'],Switzerland,Arch Immunol Ther Exp (Warsz),Archivum immunologiae et therapiae experimentalis,0114365,"['0 (Antineoplastic Agents)', '0 (Recombinant Proteins)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/*adverse effects', 'Bone Marrow/drug effects/pathology', 'Erythrocyte Count', 'Female', 'Granulocyte-Macrophage Colony-Stimulating Factor/*therapeutic use', 'Hematopoiesis/*drug effects', 'Hodgkin Disease/blood/drug therapy/pathology', 'Humans', 'Leukemia/blood/drug therapy/pathology', 'Leukocyte Count', 'Male', 'Middle Aged', 'Multiple Myeloma/blood/drug therapy/pathology', 'Platelet Count', 'Recombinant Proteins/therapeutic use']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",,ppublish,Arch Immunol Ther Exp (Warsz). 1992;40(5-6):331-7.,,,,,,,,,,,,,,,,,,,
