PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,MID,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,RF,CIN,TT,OTO,OT,CN,CON,SI,OID,EIN,RIN,IR,FIR,COIS,ROF
18753230,NLM,MEDLINE,20080930,20211020,0022-1317 (Print) 0022-1317 (Linking),89,Pt 9,2008 Sep,Investigating antibody neutralization of lyssaviruses using lentiviral pseudotypes: a cross-species comparison.,2204-2213,10.1099/vir.0.2008/000349-0 [doi],"Cross-neutralization between rabies virus (RABV) and two European bat lyssaviruses (EBLV-1 and -2) was analysed using lentiviral pseudotypes as antigen vectors. Glycoprotein (G-protein) cDNA from RABV challenge virus standard-11 (CVS-11) and EBLV-1 and -2 were cloned and co-expressed with human immunodeficiency virus (HIV) or murine leukemia virus (MLV) gag-pol and packageable green fluorescent protein (GFP) or luciferase reporter genes in human cells. The harvested lentiviral (HIV) vector infected over 40% of baby hamster kidney (BHK) target cells, providing high-titre pseudotype stocks. Tests on blinded antibody-positive (n=15) and -negative (n=45) sera, predetermined by the fluorescent antibody virus neutralization (FAVN) test approved by the World Health Organization (WHO) and Office International des Epizooties (OIE), revealed that the CVS-11 pseudotype assay had 100% concordance with FAVN and strongly correlated with neutralization titres (r2=0.89). Cross-neutralization tests using sera from RABV-vaccinated humans and animals on pseudotypes with CVS-11, EBLV-1 and EBLV-2 envelopes showed that the relative neutralization titres correlated broadly with the degree of G-protein diversity. Pseudotypes have three major advantages over live-virus neutralization tests: (i) they can be handled in low-biohazard-level laboratories; (ii) the use of reporter genes such as GFP or beta-galactosidase will allow the assay to be undertaken at low cost in laboratories worldwide; (iii) each assay requires <10 microl serum. This robust microassay will improve our understanding of the protective humoral immunity that current rabies vaccines confer against emerging lyssaviruses, and will be applicable to surveillance studies, thus helping to control the spread of rabies.",,"['Wright, Edward', 'Temperton, Nigel J', 'Marston, Denise A', 'McElhinney, Lorraine M', 'Fooks, Anthony R', 'Weiss, Robin A']","['Wright E', 'Temperton NJ', 'Marston DA', 'McElhinney LM', 'Fooks AR', 'Weiss RA']","['MRC/UCL Centre for Medical Molecular Virology, Division of Infection and Immunity, University College London, 46 Cleveland Street, London W1T 4JF, UK.', 'MRC/UCL Centre for Medical Molecular Virology, Division of Infection and Immunity, University College London, 46 Cleveland Street, London W1T 4JF, UK.', 'Rabies and Wildlife Zoonoses Group, Veterinary Laboratories Agency (Weybridge), WHO Collaborating Centre for the Characterisation of Rabies and Rabies-related Viruses, New Haw, Addlestone KT15 3NB, UK.', 'Rabies and Wildlife Zoonoses Group, Veterinary Laboratories Agency (Weybridge), WHO Collaborating Centre for the Characterisation of Rabies and Rabies-related Viruses, New Haw, Addlestone KT15 3NB, UK.', 'Rabies and Wildlife Zoonoses Group, Veterinary Laboratories Agency (Weybridge), WHO Collaborating Centre for the Characterisation of Rabies and Rabies-related Viruses, New Haw, Addlestone KT15 3NB, UK.', 'MRC/UCL Centre for Medical Molecular Virology, Division of Infection and Immunity, University College London, 46 Cleveland Street, London W1T 4JF, UK.']",['eng'],"['G0600369/Medical Research Council/United Kingdom', 'G8712499/Medical Research Council/United Kingdom']","['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Gen Virol,The Journal of general virology,0077340,"['0 (Antibodies, Viral)', '0 (G protein, vesicular stomatitis virus)', '0 (Membrane Glycoproteins)', '0 (Rabies Vaccines)', '0 (Viral Envelope Proteins)', '0 (Viral Proteins)']",IM,"['Animals', 'Antibodies, Viral/*biosynthesis', 'Cats', 'Cell Line', 'Chiroptera/virology', 'Cricetinae', 'Dogs', 'Humans', 'Lentivirus/genetics/*immunology', 'Lyssavirus/genetics/*immunology', 'Membrane Glycoproteins/genetics/immunology', 'Mice', 'Neutralization Tests', 'Rabies Vaccines/immunology', 'Rabies virus/genetics/immunology', 'Species Specificity', 'Transfection', 'Viral Envelope Proteins/genetics/immunology', 'Viral Proteins/genetics/immunology']",PMC2886951,,2008/08/30 09:00,2008/10/01 09:00,['2008/08/30 09:00'],"['2008/08/30 09:00 [pubmed]', '2008/10/01 09:00 [medline]', '2008/08/30 09:00 [entrez]']",['10.1099/vir.0.2008/000349-0 [doi]'],ppublish,J Gen Virol. 2008 Sep;89(Pt 9):2204-2213. doi: 10.1099/vir.0.2008/000349-0.,,,,,,,,,,,,,,,,
18753212,NLM,MEDLINE,20081031,20211020,1098-5514 (Electronic) 0022-538X (Linking),82,21,2008 Nov,CAPERalpha is a novel Rel-TAD-interacting factor that inhibits lymphocyte transformation by the potent Rel/NF-kappaB oncoprotein v-Rel.,10792-802,10.1128/JVI.00903-08 [doi],"The Rel/NF-kappaB transcription factors are constitutively activated in many human cancers. The Rel proteins in this family are implicated in leukemia/lymphomagenesis, but the mechanism is not completely understood. Previous studies showed that the transcription activation domains (TADs) of the viral oncoprotein v-Rel and its cellular Rel/NF-kappaB homologues c-Rel and RelA are key determinants of their different transforming activities in primary lymphocytes. Substitution of a Rel TAD for that of RelA conferred a strong transforming phenotype upon RelA, which otherwise failed to transform cells. To gain insights into protein interactions that influence cell transformation by the Rel TADs, we identified factors that interact with the TAD of v-Rel, the most oncogenic member of the Rel/NF-kappaB family. We report that the coactivator for transcription factors AP-1 and estrogen receptors, CAPERalpha, interacts with the v-Rel TAD and potently synergizes v-Rel-mediated transactivation. Importantly, coexpression of CAPERalpha markedly reduced and delayed v-Rel's transforming activity in primary lymphocytes, whereas a dominant-negative mutant enhanced the kinetics of v-Rel-mediated transformation. Furthermore, small interfering RNA-mediated knockdown of CAPERalpha in v-Rel-transformed lymphocytes significantly enhanced colony formation in soft agar. Since the potency of Rel-mediated transactivation is an important determinant of lymphocyte transformation, as is Rel's ability to induce transcriptional repression, these data suggest that CAPERalpha's interaction with the Rel TAD could modulate Rel/NF-kappaB's transforming activity by facilitating expression or dampening repression of specific gene subsets important for oncogenesis. Overall, this study identifies CAPERalpha as a new transcriptional coregulator for v-Rel and reveals an important role in modulating Rel's oncogenic activity.",,"['Dutta, Jui', 'Fan, Gaofeng', 'Gelinas, Celine']","['Dutta J', 'Fan G', 'Gelinas C']","['CABM, 679 Hoes Lane, Piscataway, NJ 08854. gelinas@cabm.rutgers.edu.']",['eng'],"['R01 CA054999/CA/NCI NIH HHS/United States', 'R01 CA054999-15/CA/NCI NIH HHS/United States', 'CA054999/CA/NCI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural']",United States,J Virol,Journal of virology,0113724,"['0 (Nuclear Proteins)', '0 (Oncogene Proteins)', '0 (SARNP protein, human)', '0 (Viral Proteins)']",IM,"['Amino Acid Sequence', 'Animals', 'Cell Line', 'Cells, Cultured', 'Chickens', 'Chromatin Immunoprecipitation', 'Gene Silencing', 'Humans', '*Lymphocyte Activation', 'Molecular Sequence Data', 'Nuclear Proteins/*immunology/*metabolism', 'Oncogene Proteins/antagonists & inhibitors/*metabolism', 'Protein Binding', 'Reticuloendotheliosis virus/*physiology', 'Sequence Alignment', 'Two-Hybrid System Techniques', 'Viral Proteins/antagonists & inhibitors/*metabolism']",PMC2573166,,2008/08/30 09:00,2008/11/01 09:00,['2008/08/30 09:00'],"['2008/08/30 09:00 [pubmed]', '2008/11/01 09:00 [medline]', '2008/08/30 09:00 [entrez]']","['JVI.00903-08 [pii]', '10.1128/JVI.00903-08 [doi]']",ppublish,J Virol. 2008 Nov;82(21):10792-802. doi: 10.1128/JVI.00903-08. Epub 2008 Aug 27.,20080827,,,,,,,,,,,,,,,
18753200,NLM,MEDLINE,20081031,20211020,1098-5514 (Electronic) 0022-538X (Linking),82,21,2008 Nov,The reverse transcriptase of the Tf1 retrotransposon has a specific novel activity for generating the RNA self-primer that is functional in cDNA synthesis.,10906-10,10.1128/JVI.01370-08 [doi],"The Tf1 retrotransposon of Schizosaccharomyces pombe represents a group of eukaryotic long terminal repeat (LTR) retroelements that, based on their sequences, were predicted to use an RNA self-primer for initiating reverse transcription while synthesizing the negative-sense DNA strand. This feature is substantially different from the one typical to retroviruses and other LTR retrotransposons that all exhibit a tRNA-dependent priming mechanism. Genetic studies have suggested that the self-primer of Tf1 can be generated by a cleavage between the 11th and 12th bases of the Tf1 RNA transcript. The in vitro data presented here show that recombinant Tf1 reverse transcriptase indeed introduces a nick at the end of a duplexed region at the 5' end of Tf1 genomic RNA, substantiating the prediction that this enzyme is responsible for generating this RNA self-primer. The 3' end of the primer, generated in this manner, can then be extended upon the addition of deoxynucleoside triphosphates by the DNA polymerase activity of the same enzyme, synthesizing the negative-sense DNA strand. This functional primer must have been generated by the RNase H activity of Tf1 reverse transcriptase, since a mutant enzyme lacking this activity has lost its ability to generate the self-primer. It was also found here that the reverse transcriptases of human immunodeficiency virus type 1 and of murine leukemia virus do not exhibit this specific cleavage activity. In all, it is likely that the observed unique mechanism of self-priming in Tf1 represents an early advantageous form of initiating reverse transcription in LTR retroelements without involving cellular tRNAs.",,"['Hizi, Amnon']",['Hizi A'],"['Department of Cell and Developmental Biology, Sackler School of Medicine, Tel-Aviv University, Tel-Aviv 69978, Israel. ahizy@post.tau.ac.il']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,"['0 (DNA Primers)', '0 (DNA, Complementary)', '0 (Retroelements)', '63231-63-0 (RNA)', 'EC 2.7.7.49 (HIV Reverse Transcriptase)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)', 'EC 2.7.7.7 (DNA-Directed DNA Polymerase)', 'EC 3.1.26.4 (Ribonuclease H)']",IM,"['DNA Primers/*metabolism', 'DNA, Complementary/*biosynthesis', 'DNA-Directed DNA Polymerase/genetics/metabolism', 'HIV Reverse Transcriptase/metabolism', 'Humans', 'Leukemia Virus, Murine/enzymology', 'Models, Biological', 'RNA/*metabolism', 'RNA-Directed DNA Polymerase/genetics/*metabolism', '*Retroelements', 'Ribonuclease H/genetics/metabolism', 'Schizosaccharomyces/*genetics']",PMC2573163,,2008/08/30 09:00,2008/11/01 09:00,['2008/08/30 09:00'],"['2008/08/30 09:00 [pubmed]', '2008/11/01 09:00 [medline]', '2008/08/30 09:00 [entrez]']","['JVI.01370-08 [pii]', '10.1128/JVI.01370-08 [doi]']",ppublish,J Virol. 2008 Nov;82(21):10906-10. doi: 10.1128/JVI.01370-08. Epub 2008 Aug 27.,20080827,,,,,,,,,,,,,,,
18753186,NLM,MEDLINE,20090519,20170930,1078-1552 (Print) 1078-1552 (Linking),15,1,2009 Mar,Dasatinib dosing strategies in Philadelphia chromosome-positive leukemia.,17-27,10.1177/1078155208094455 [doi],"INTRODUCTION: Imatinib resistance has emerged as a significant clinical issue in the treatment of chronic myelogenous leukemia (CML) and Philadelphia chromosome positive acute lymphocytic leukemia (Ph+ ALL). Imatinib intolerance is also a concern. Dasatinib is approved for the treatment of patients with imatinib-resistant or -intolerant CML or Ph+ ALL and has helped address these concerns. Here, we review the clinical profile of dasatinib and discuss dosing strategies to manage these adverse events. METHODS: References were obtained through literature searches on PubMed as well as from the Proceedings of Annual Meetings of the American Society of Clinical Oncology, the American Society of Hematology, and European Hematology Association. RESULTS: Initial studies of dasatinib showed that 70 mg twice-daily resulted in impressive hematologic and cytogenetic responses in patients with all phases of CML and Ph+ ALL. Aside from hematologic events, the most common drug-related toxicities (mostly grade 1-2) in dasatinib clinical trials were fluid retention (including pleural effusion), diarrhea, skin rash, headache, hemorrhage, fatigue, nausea and dyspnea. A Phase III dose optimization study showed that the safety profile of dasatinib is improved and efficacy maintained when administered on a 100 mg once-daily dosing schedule compared with the 70 mg twice-daily schedule in patients with chronic phase (CP) CML. CONCLUSION: The safety profile of dasatinib is manageable. A 100 mg once-daily dose is now approved for use in patients with CP CML. A dose of 70 mg twice daily remains the recommended dosage for use in patients with advanced phase CML or Ph+ ALL.",,"['Wong, Siu-Fun']",['Wong SF'],"['Western University of Health Sciences, College of Pharmacy, Pomona, CA 91766-1854, USA. siuwong@westernu.edu']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,J Oncol Pharm Pract,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,9511372,"['0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '0 (Thiazoles)', 'RBZ1571X5H (Dasatinib)']",IM,"['Clinical Trials as Topic', 'Dasatinib', 'Dose-Response Relationship, Drug', 'Drug Interactions', 'Drug Resistance, Neoplasm', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Philadelphia Chromosome', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Protein Kinase Inhibitors/administration & dosage/adverse effects/pharmacokinetics', 'Pyrimidines/*administration & dosage/adverse effects/pharmacokinetics', 'Thiazoles/*administration & dosage/adverse effects/pharmacokinetics']",,,2008/08/30 09:00,2009/05/20 09:00,['2008/08/30 09:00'],"['2008/08/30 09:00 [pubmed]', '2009/05/20 09:00 [medline]', '2008/08/30 09:00 [entrez]']","['1078155208094455 [pii]', '10.1177/1078155208094455 [doi]']",ppublish,J Oncol Pharm Pract. 2009 Mar;15(1):17-27. doi: 10.1177/1078155208094455. Epub 2008 Aug 27.,20080827,55,,,,,,,,,,,,,,
18753183,NLM,MEDLINE,20090326,20211203,1078-1552 (Print) 1078-1552 (Linking),14,4,2008 Dec,Breakthrough invasive fungal infection in an immunocompromised host while on posaconazole prophylaxis: an omission in patient counseling and follow-up.,189-93,10.1177/1078155208094123 [doi],"Posaconazole (Noxafil (Schering-Plough Corporation) is a triazole antifungal approved in the United States for the treatment of oropharyngeal candidiasis and for the prophylaxis of Candida and Aspergillus infections in the immunocompromised host. Posaconazole is available only as an oral suspension. When used for the prevention of Candida and Aspergillus infections, posaconazole should be taken three times daily with a high fat meal to maximize oral absorption. Failure to take posaconazole with food will lead to subtherapeutic serum levels and decreased clinical effectiveness of the drug.We report the case of a 49-year-old woman with acute myeloid leukemia who received 4 months of posaconazole as an outpatient for the labeled indication of prophylaxis of Candida and Aspergillus infections. During her last admission, the patient presented with an invasive sinus infection diagnosed as a mixed Aspergillus and Mucor etiology. The patient succumbed to this infection five weeks after presentation. Upon investigation it was found that the patient did not self-administer posaconazole as required in the product labeling, which may have led to drug failure in this patient. We submit this case to illustrate the importance of patient education regarding proper administration of posaconazole. The important role of the outpatient physician, nurse, and pharmacist in this setting is underscored.",,"['Kishel, Joseph J', 'Sivik, Jeffrey']","['Kishel JJ', 'Sivik J']","['Penn State Hershey Medical Center, Instructor of Pharmacology, Penn State College of Medicine, 500 University Drive H079, Hershey, PA 17033, USA. jkishel@psu.edu']",['eng'],,"['Case Reports', 'Journal Article']",England,J Oncol Pharm Pract,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,9511372,"['0 (Antifungal Agents)', '0 (Antineoplastic Agents)', '0 (Triazoles)', '6TK1G07BHZ (posaconazole)']",IM,"['*Antibiotic Prophylaxis', 'Antifungal Agents/*administration & dosage', 'Antineoplastic Agents/adverse effects', 'Aspergillosis/etiology/prevention & control', 'Candidiasis/prevention & control', 'Female', 'Humans', 'Immunosuppression Therapy/adverse effects', 'Leukemia, Myeloid, Acute/complications', 'Middle Aged', 'Mucormycosis/etiology', 'Paranasal Sinus Diseases/drug therapy', '*Patient Compliance', '*Patient Education as Topic', 'Triazoles/*administration & dosage']",,,2008/08/30 09:00,2009/03/27 09:00,['2008/08/30 09:00'],"['2008/08/30 09:00 [pubmed]', '2009/03/27 09:00 [medline]', '2008/08/30 09:00 [entrez]']","['1078155208094123 [pii]', '10.1177/1078155208094123 [doi]']",ppublish,J Oncol Pharm Pract. 2008 Dec;14(4):189-93. doi: 10.1177/1078155208094123. Epub 2008 Aug 27.,20080827,,,,,,,,,,,,,,,
18753136,NLM,MEDLINE,20081223,20211020,0021-9258 (Print) 0021-9258 (Linking),283,45,2008 Nov 7,Selective targeting of leukemic cell growth in vivo and in vitro using a gene silencing approach to diminish S-adenosylmethionine synthesis.,30788-95,10.1074/jbc.M804159200 [doi],"We exploited the fact that leukemic cells utilize significantly higher levels of S-adenosylmethionine (SAMe) than normal lymphocytes and developed tools that selectively diminished their survival under physiologic conditions. Using RNA interference gene silencing technology, we modulated the kinetics of methionine adenosyltransferase-II (MAT-II), which catalyzes SAMe synthesis from ATP and l-Met. Specifically, we silenced the expression of the regulatory MAT-IIbeta subunit in Jurkat cells and accordingly shifted the K(m L-Met) of the enzyme 10-15-fold above the physiologic levels of l-Met, thereby reducing enzyme activity and SAMe pools, inducing excessive apoptosis and diminishing leukemic cell growth in vitro and in vivo. These effects were reversed at unphysiologically high l-Met (>50 microm), indicating that diminished leukemic cell growth at physiologic l-Met levels was a direct result of the increase in MAT-II K(m L-Met) due to MAT-IIbeta ablation and the consequent reduction in SAMe synthesis. In our NOD/Scid IL-2Rgamma(null) humanized mouse model of leukemia, control shRNA-transduced Jurkat cells exhibited heightened engraftment, whereas cells lacking MAT-IIbeta failed to engraft for up to 5 weeks post-transplant. These stark differences in malignant cell survival, effected by MAT-IIbeta ablation, suggest that it may be possible to use this approach to disadvantage leukemic cell survival in vivo with little to no harm to normal cells.",,"['Attia, Ramy R', 'Gardner, Lidia A', 'Mahrous, Engy', 'Taxman, Debra J', 'Legros, Leighton', 'Rowe, Sarah', 'Ting, Jenny P-Y', 'Geller, Arthur', 'Kotb, Malak']","['Attia RR', 'Gardner LA', 'Mahrous E', 'Taxman DJ', 'Legros L', 'Rowe S', 'Ting JP', 'Geller A', 'Kotb M']","['University of Tennessee Health Science Center, Memphis, Tennessee, USA.']",['eng'],['R01 CA108792/CA/NCI NIH HHS/United States'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['7LP2MPO46S (S-Adenosylmethionine)', '8L70Q75FXE (Adenosine Triphosphate)', 'AE28F7PNPL (Methionine)', 'EC 2.5.1.6 (MAT2B protein, human)', 'EC 2.5.1.6 (Methionine Adenosyltransferase)']",IM,"['Adenosine Triphosphate/genetics/metabolism', 'Animals', '*Apoptosis/genetics', 'Cell Survival/genetics', 'Disease Models, Animal', '*Gene Expression Regulation/genetics', '*Gene Expression Regulation, Leukemic/genetics', 'Humans', 'Jurkat Cells', 'Leukemia/*enzymology/genetics/therapy', 'Methionine/genetics/metabolism', 'Methionine Adenosyltransferase/*biosynthesis/genetics', 'Mice', 'Mice, Inbred NOD', 'Mice, SCID', 'Neoplasm Transplantation', '*RNA Interference', 'S-Adenosylmethionine/biosynthesis/genetics']",PMC2576526,,2008/08/30 09:00,2008/12/24 09:00,['2008/08/30 09:00'],"['2008/08/30 09:00 [pubmed]', '2008/12/24 09:00 [medline]', '2008/08/30 09:00 [entrez]']","['S0021-9258(20)64652-X [pii]', '10.1074/jbc.M804159200 [doi]']",ppublish,J Biol Chem. 2008 Nov 7;283(45):30788-95. doi: 10.1074/jbc.M804159200. Epub 2008 Aug 27.,20080827,,,,,,,,,,,,,,,
18752874,NLM,MEDLINE,20090430,20190816,1532-1681 (Electronic) 0268-960X (Linking),23,2,2009 Mar,CCN3--a key regulator of the hematopoietic compartment.,79-85,10.1016/j.blre.2008.07.002 [doi],"CCN3, a founding member of the CCN family of growth regulators, was linked with hematology in 2003(1) when it was detected in human serum. CCN3 is expressed and secreted by hematopoietic progenitor cells in normal bone marrow. CCN3 acts through the core stem cell signalling pathways including Notch and Bone Morphogenic Protein, connecting CCN3 with the modulation of self-renewal and maturation of a number of cell lineages including hematopoietic, osteogenic and chondrogenic. CCN3 expression is disrupted in Chronic Myeloid Leukemia as a consequence of the BCR-ABL oncogene and allows the leukemic clone to evade growth regulation. In contrast, naive cord blood progenitors undergo enhanced clonal expansion in response to CCN3. Altered CCN3 expression is associated with numerous solid tumors including glioblastoma, melanoma, adrenocortical tumours, prostate cancer and bone malignancies including osteosarcoma. Mature CCN3 protein has five distinct modules and truncated protein variants with altered function are found in many cancers. Regulation by CCN3 is therefore cell type and isoform specific. CCN3 has emerged as a key player in stem cell regulation, hematopoiesis and a crucial component within the bone marrow microenvironment.",,"['McCallum, L', 'Irvine, A E']","['McCallum L', 'Irvine AE']","['Centre for Cancer Research and Cell Biology, Queens University Belfast, Belfast, UK. l.gilmour@qub.ac.uk']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Blood Rev,Blood reviews,8708558,"['0 (CCN3 protein, human)', '0 (Nephroblastoma Overexpressed Protein)']",IM,"['Amino Acid Sequence', 'Hematopoietic Stem Cells/*physiology', 'Humans', 'Molecular Sequence Data', 'Nephroblastoma Overexpressed Protein/blood/chemistry/*physiology']",,,2008/08/30 09:00,2009/05/01 09:00,['2008/08/30 09:00'],"['2008/08/30 09:00 [pubmed]', '2009/05/01 09:00 [medline]', '2008/08/30 09:00 [entrez]']","['S0268-960X(08)00055-6 [pii]', '10.1016/j.blre.2008.07.002 [doi]']",ppublish,Blood Rev. 2009 Mar;23(2):79-85. doi: 10.1016/j.blre.2008.07.002. Epub 2008 Aug 26.,20080826,56,,,,,,,,,,,,,,
18752869,NLM,MEDLINE,20090724,20151119,1768-3254 (Electronic) 0223-5234 (Linking),44,7,2009 Jul,Synthesis and in vitro cytotoxicity of 9-anilinoacridines bearing N-mustard residue on both anilino and acridine rings.,3056-9,10.1016/j.ejmech.2008.07.016 [doi],"A series of 9-anilinoacridines having an alkylating N-mustard pharmacophore on both anilino (C-3' or C-4') and acridine (C-4) rings with O-ethyl (O-C(2)) or O-butyl (O-C(4)) spacer were synthesized to evaluate their cytotoxicity against human lymphoblastic leukemia (CCRF-CEM) cell growth in vitro. It was revealed that these conjugates exhibited significant in vitro cytotoxicity. Among these agents, compound 13 was the most cytotoxic with IC(50) value of 1.3 nM and is as potent as taxol (IC(50)=1.1 nM). The structure-activity relationship study showed that the length of the spacer and the position of the substituent do affect their cytotoxicity.",,"['Chen, Ching-Huang', 'Lin, Yi-Wen', 'Zhang, Xiuguo', 'Chou, Ting-Chao', 'Tsai, Tsong-Jen', 'Kapuriya, Naval', 'Kakadiya, Rajesh', 'Su, Tsann-Long']","['Chen CH', 'Lin YW', 'Zhang X', 'Chou TC', 'Tsai TJ', 'Kapuriya N', 'Kakadiya R', 'Su TL']","['Laboratory of Bioorganic Chemistry, Institute of Biomedical Sciences, Academia Sinica, Taipei, Taiwan.']",['eng'],,['Journal Article'],France,Eur J Med Chem,European journal of medicinal chemistry,0420510,"['0 (Aniline Compounds)', '0 (Antineoplastic Agents)', '0 (Mustard Compounds)', '00DPD30SOY (Amsacrine)', '3340-22-5 (9-anilinoacridine)', 'SIR7XX2F1K (aniline)']",IM,"['Amsacrine/*analogs & derivatives/chemical synthesis/chemistry/pharmacology', 'Aniline Compounds/*chemistry', 'Antineoplastic Agents/*chemical synthesis/chemistry/*pharmacology', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Humans', 'Mustard Compounds/*chemistry', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*pathology']",,,2008/08/30 09:00,2009/07/25 09:00,['2008/08/30 09:00'],"['2008/05/01 00:00 [received]', '2008/07/15 00:00 [accepted]', '2008/08/30 09:00 [pubmed]', '2009/07/25 09:00 [medline]', '2008/08/30 09:00 [entrez]']","['S0223-5234(08)00346-2 [pii]', '10.1016/j.ejmech.2008.07.016 [doi]']",ppublish,Eur J Med Chem. 2009 Jul;44(7):3056-9. doi: 10.1016/j.ejmech.2008.07.016. Epub 2008 Jul 22.,20080722,,,,,,,,,,,,,,,
18752847,NLM,MEDLINE,20090227,20181201,1873-5835 (Electronic) 0145-2126 (Linking),33,2,2009 Feb,Extracellular heat shock protein 70: a potential prognostic marker for chronic myeloid leukemia.,205-6,10.1016/j.leukres.2008.07.020 [doi],,,"['Nylandsted, Jesper']",['Nylandsted J'],,['eng'],,"['Editorial', ""Research Support, Non-U.S. Gov't"", 'Review', 'Comment']",England,Leuk Res,Leukemia research,7706787,"['0 (Biomarkers)', '0 (HSP70 Heat-Shock Proteins)', '0 (Proteins)', '0 (lysosomal proteins)']",IM,"['Biomarkers/blood', 'HSP70 Heat-Shock Proteins/*blood/metabolism', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*diagnosis', 'Prognosis', 'Proteins']",,,2008/08/30 09:00,2009/02/28 09:00,['2008/08/30 09:00'],"['2008/07/18 00:00 [received]', '2008/07/18 00:00 [revised]', '2008/07/18 00:00 [accepted]', '2008/08/30 09:00 [pubmed]', '2009/02/28 09:00 [medline]', '2008/08/30 09:00 [entrez]']","['S0145-2126(08)00348-2 [pii]', '10.1016/j.leukres.2008.07.020 [doi]']",ppublish,Leuk Res. 2009 Feb;33(2):205-6. doi: 10.1016/j.leukres.2008.07.020. Epub 2008 Aug 26.,20080826,13,,,,,,['Leuk Res. 2009 Feb;33(2):212-7. PMID: 18715642'],,,,,,,,
18752846,NLM,MEDLINE,20090318,20171116,1873-5835 (Electronic) 0145-2126 (Linking),33,4,2009 Apr,"EVI1, BAALC and AME: prevalence of the secondary mutations in chronic and accelerated phases of chronic myeloid leukemia patients from eastern India.",594-6,10.1016/j.leukres.2008.07.018 [doi],,,"['Kuila, Nivedita', 'Sahoo, Devi Prasad', 'Kumari, Meera', 'Biswas, Sutapa', 'Patnaik, Ravi Sekhar', 'Pattnayak, Naresh Chandra', 'Biswas, Ghanashyam', 'Chakraborty, Soumen']","['Kuila N', 'Sahoo DP', 'Kumari M', 'Biswas S', 'Patnaik RS', 'Pattnayak NC', 'Biswas G', 'Chakraborty S']",,['eng'],,"['Letter', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['0 (Antineoplastic Agents)', '0 (BAALC protein, human)', '0 (Benzamides)', '0 (DNA-Binding Proteins)', '0 (MDS1 and EVI1 Complex Locus Protein)', '0 (MECOM protein, human)', '0 (Neoplasm Proteins)', '0 (Piperazines)', '0 (Pyrimidines)', '0 (Transcription Factors)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/therapeutic use', 'Benzamides', 'Child', 'DNA-Binding Proteins/*genetics', 'Humans', 'Imatinib Mesylate', 'India', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/*genetics', 'MDS1 and EVI1 Complex Locus Protein', 'Middle Aged', 'Mutation', 'Neoplasm Proteins/genetics', 'Piperazines/therapeutic use', 'Polymerase Chain Reaction', 'Prevalence', 'Proto-Oncogenes/*genetics', 'Pyrimidines/therapeutic use', 'Transcription Factors/*genetics']",,,2008/08/30 09:00,2009/03/19 09:00,['2008/08/30 09:00'],"['2008/07/16 00:00 [received]', '2008/07/16 00:00 [revised]', '2008/07/17 00:00 [accepted]', '2008/08/30 09:00 [pubmed]', '2009/03/19 09:00 [medline]', '2008/08/30 09:00 [entrez]']","['S0145-2126(08)00347-0 [pii]', '10.1016/j.leukres.2008.07.018 [doi]']",ppublish,Leuk Res. 2009 Apr;33(4):594-6. doi: 10.1016/j.leukres.2008.07.018. Epub 2008 Aug 27.,20080827,,,,,,,,,,,,,,,
