PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CN,CIN,GR,GS,SI,RF,PMC,TT,RIN,CON,EIN,MID,PS,FPS
7630193,NLM,MEDLINE,19950905,20131121,0887-6924 (Print) 0887-6924 (Linking),9,7,1995 Jul,Distinct apoptotic responses in maturation sensitive and resistant t(15;17) acute promyelocytic leukemia NB4 cells. 9-cis retinoic acid induces apoptosis independent of maturation and Bcl-2 expression.,1173-84,"Apoptosis has been investigated in NB4, a t(15;17) human promyelocytic leukemia cell line susceptible to maturation by all-trans or 9-cis retinoic acid, and in NB4-R1, a subclone resistant to differentiation. Maturation resistant NB4-R1 cells exhibited an onset of cell death after RA-treatment (72 h), whereas maturation responsive NB4 cells showed no such apoptosis, cell death being considerably delayed after cell maturation. Only a few NB4-R1 cells underwent apoptosis in response to low doses of RA (below 0.1 microM), the surviving cells became refractory to higher doses of RA. While these cells became 'resistant' to apoptosis they became competent for maturation. Typically, these RA-'primed' cells responded to cAMP by maturation, then apoptosis followed rapidly. This model furnishes situations where cells are either resistant or susceptible to apoptosis, depending on whether they can or cannot undergo maturation. The potential role of the Bcl-2 protein in the regulation of apoptosis was analyzed. In NB4 and NB4-R1 cell lines, a high expression of the Bcl-2 protein was detected by immunocytology and Western blotting. NB4 cells treated with either all-trans or 9-cis retinoic acid (1 microM) were induced to differentiate and the level of Bcl-2 protein decreased to undetectable levels during terminal maturation when only a few apoptotic cells were detected. In NB4-R1 cells, while treatment with retinoids does not induce maturation, as much as 64% of cells became apoptotic, and immunocytological labelling of NB4-R1 showed a strong cytoplasmic labelling of Bcl-2. Although the expression of Bcl-2 remained high, cells were not protected from apoptosis. To assess whether Bcl-2 expression could be modulated as a consequence of differentiation, NB4-R1 cells previously 'primed' for maturation were triggered with cAMP. Downregulation of Bcl-2 protein occurred concomitant with maturation, followed by apoptosis. Clearly, NB4 and NB4-R1 cells show reciprocal behavior with regards to proliferation, maturation, Bcl-2 regulation and apoptosis in response to RA. Our results suggest, first, that the Bcl-2 downregulation in NB4 cells belongs to the maturation program rather than to apoptosis, and second, that neither a high Bcl-2 expression in NB4 cells is sufficient to protect cells from 9-cis RA induced apoptosis, nor is its full downregulation sufficient to produce apoptosis. Finally, this work suggests that apoptosis and maturation programs include events which cannot occur simultaneously.","['Bruel, A', 'Benoit, G', 'De Nay, D', 'Brown, S', 'Lanotte, M']","['Bruel A', 'Benoit G', 'De Nay D', 'Brown S', 'Lanotte M']","['INSERM U-301, Centre G Hayem, Hopital Saint-Louis, Paris, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-bcl-2)', '5688UTC01R (Tretinoin)', 'E0399OZS9N (Cyclic AMP)']",IM,"['Apoptosis/*drug effects', 'Blotting, Western', 'Cell Differentiation/drug effects', 'Cyclic AMP/pharmacology', 'Down-Regulation', 'Drug Resistance', 'Gene Expression', 'Humans', 'Immunohistochemistry', 'Leukemia, Promyelocytic, Acute/genetics/metabolism/*pathology', 'Proto-Oncogene Proteins/*metabolism', 'Proto-Oncogene Proteins c-bcl-2', 'Tretinoin/*pharmacology', 'Tumor Cells, Cultured/drug effects/metabolism/pathology']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1995 Jul;9(7):1173-84.,,,,,,,,,,,,,,
7630192,NLM,MEDLINE,19950905,20130304,0887-6924 (Print) 0887-6924 (Linking),9,7,1995 Jul,Clonal analysis of progenitor cells by interphase cytogenetics in patients with acute myeloid leukemia and myelodysplasia.,1167-72,"Interphase cytogenetics was used to investigate the clonal origin of bone marrow (BM) cells, peripheral blood (PB) cells, and in vitro cultured progenitor cells of five patients with acute myeloid leukemia (AML) and myelodysplasia (MDS). A new in situ hybridization (ISH) technique was used to examine the origin of the progenitor cells. Two patients with respectively, trisomy 8 and polyploidy as ISH marker were studied both at presentation and during remission. At presentation, the in vitro cultured clusters of both cases appeared diploid. Therefore, despite the abnormal growth patterns, the cultured progenitors could have been residual normal cells. Alternatively, they could have originated from a preleukemic clone with a normal karyotype. In both cases abnormal BM and/or PB cells (less than 6%) were detected with ISH during remission, indicating partially or completely clonal remissions in these patients. Both patients have relapsed. One patient with trisomy 10 as ISH marker was analyzed during myelodysplastic phase and after progression to AML. On both occasions, abnormally appearing clusters were cultured. However, only part of the clusters carried trisomy 10. The presence of a subclone characterized by trisomy 10 and an abnormally growing (pre)leukemic clone without trisomy 10 may explain this observation. Monosomy 1 and 17 were respectively used as ISH markers in two other AML patients. All in vitro cultured clusters carried the numerical abnormality. Long-term liquid cultures of these leukemias were performed for 10-20 days. In both cases, no residual normal clonogenic cells could be detected. Therefore, the selective growth advantage of normal progenitor cells in long-term marrow cultures could not be demonstrated in these two patients with leukemia. This paper illustrates the usefulness of ISH to study the biology of AML at the clonogenic level during preleukemic phase, active disease, remission, and under in vitro culture conditions. It is a sensitive technique which allows individual analysis of large numbers of small aggregates and single cells in culture.","['Van Der Lely, N', 'Poddighe, P', 'Wessels, J', 'Hopman, A', 'Geurts van Kessel, A', 'De Witte, T']","['Van Der Lely N', 'Poddighe P', 'Wessels J', 'Hopman A', 'Geurts van Kessel A', 'De Witte T']","['Department of Internal Medicine, University Hospital, Nijmegen, The Netherlands.']",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,,IM,"['Adult', 'Bone Marrow/pathology', '*Chromosome Aberrations', 'Female', 'Hematopoietic Stem Cells/*pathology', 'Humans', 'In Situ Hybridization/methods', 'Interphase', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics/pathology', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*genetics/pathology', 'Tumor Cells, Cultured/pathology']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1995 Jul;9(7):1167-72.,,,,,,,,,,,,,,
7630191,NLM,MEDLINE,19950905,20190816,0887-6924 (Print) 0887-6924 (Linking),9,7,1995 Jul,"Translocation (11;15)(q23;q14) in three patients with acute non-lymphoblastic leukemia (ANLL): clinical, cytogenetic and molecular studies.",1162-6,"We report on three patients with acute non-lymphoblastic leukemia (ANLL) displaying the same chromosomal translocation t(11;15)(q23;q14). The clinical course of the disease was aggressive, and survival was short. The FAB subtype was M-2 in two cases, and M-1 in the remaining patient. Immunologically two cases showed aberrant expression of a lymphoid antigen (CD19 and TdT, respectively). HTRX1/MLL gene was rearranged in one patient studied at the time of diagnosis. These results plus data scattered in the literature show that the t(11;15)(q23;q14) can be added to the list of recurrent rearrangements in ANLL involving 11q23.","['Hernandez, J M', 'Mecucci, C', 'Beverloo, H B', 'Selleri, L', 'Wlodarska, I', 'Stul, M', 'Michaux, L', 'Verhoef, G', 'Van Orshoven, A', 'Cassiman, J J']","['Hernandez JM', 'Mecucci C', 'Beverloo HB', 'Selleri L', 'Wlodarska I', 'Stul M', 'Michaux L', 'Verhoef G', 'Van Orshoven A', 'Cassiman JJ', 'et al.']","['Centre for Human Genetics, University of Leuven, Belgium.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (DNA-Binding Proteins)', '0 (KMT2A protein, human)', '0 (Transcription Factors)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)']",IM,"['Adult', 'Blotting, Southern', 'Child', '*Chromosomes, Human, Pair 11', '*Chromosomes, Human, Pair 15', 'DNA-Binding Proteins/genetics', 'Gene Rearrangement', 'Histone-Lysine N-Methyltransferase', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Myeloid-Lymphoid Leukemia Protein', '*Proto-Oncogenes', '*Transcription Factors', '*Translocation, Genetic']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1995 Jul;9(7):1162-6.,,,,"['HTRX1', 'MLL']",,,,,,,,,,
7630190,NLM,MEDLINE,19950905,20130304,0887-6924 (Print) 0887-6924 (Linking),9,7,1995 Jul,Homozygous deletions of the CDKN2 (MTS1/p16ink4) gene in cell lines established from children with acute lymphoblastic leukemia.,1159-61,"Homozygous deletions of the CDKN2 (MTS1/p16ink4) gene have been found at high frequency in cell lines derived from a variety of adult solid tumors. In order to investigate the status of the CDKN2 gene in cell lines established from childhood acute lymphoblastic leukemia (ALL), we surveyed 25 lines representing the major pediatric ALL phenotypes for the presence of this gene by Southern blot analysis. Homozygous deletions of all or part of the CDKN2 gene were detected in 21 (84%) cell lines, including 11 of 14 (79%) early-pre-B-ALL, four of five (80%) pre-B-ALL, and six of six T-ALL lines. CDN2 mRNA was detected by Northern blotting in each of the four lines containing an intact CDKN2 gene. These data suggest an important role for CDKN2 deletion in the cause and/or progression of pediatric ALL.","['Zhou, M', 'Gu, L', 'James, C D', 'He, J', 'Yeager, A M', 'Smith, S D', 'Findley, H W']","['Zhou M', 'Gu L', 'James CD', 'He J', 'Yeager AM', 'Smith SD', 'Findley HW']","['Division of Pediatric Hematology/Oncology/Bone Marrow Transplantation, Emory University School of Medicine, Atlanta, GA 30322, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,"['0 (Carrier Proteins)', '0 (Cyclin-Dependent Kinase Inhibitor p16)', '0 (RNA, Messenger)']",IM,"['Blotting, Northern', 'Blotting, Southern', 'Carrier Proteins/*genetics', 'Child', '*Chromosomes, Human, Pair 9', 'Cyclin-Dependent Kinase Inhibitor p16', '*Gene Deletion', '*Genes, Tumor Suppressor', 'Homozygote', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'RNA, Messenger/analysis', 'Tumor Cells, Cultured/chemistry']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1995 Jul;9(7):1159-61.,,,"['P01 CA40046/CA/NCI NIH HHS/United States', 'R01 CA40282/CA/NCI NIH HHS/United States', 'U10 CA20549/CA/NCI NIH HHS/United States']","['CDKN2', 'MTS1', 'p16<up>ink4</up>']",,,,,,,,,,
7630189,NLM,MEDLINE,19950905,20130304,0887-6924 (Print) 0887-6924 (Linking),9,7,1995 Jul,Fluorescence in situ hybridization analysis of minute marker chromosomes in leukemia with monosomy 7.,1154-8,"Monosomy 7 was detected in bone marrow cells from three patients, one with myeloid leukemia, and two others with myelodysplastic syndrome following previous chemotherapy. Fluorescence in situ hybridization (FISH), carried out with an alphoid DNA probe specific for chromosome 7 centromere, showed that a small marker chromosome present in the tumor cells' karyotype of the three patients, was derived from the missing chromosome 7. In two cases, the marker was a ring chromosome, whereas in the third case it was a tiny dot-like chromosome, unnoticed at first examination on R-banded metaphases. In the three cases, the marker was lost in a proportion of tumor cells. FISH experiments suggested that the marker centromere had undergone structural alterations, with a fluorescence pattern distinct from a normal one. On the whole, these data suggest that: firstly, leukemia-associated monosomy 7 results, in a proportion of cases, from a structural event rather than from simple loss of a whole chromosome 7; secondly, interpretation of interphase FISH must be cautious in monosomy 7 evaluation; and thirdly structural alteration of the chromosome 7 derivative alphoid DNA could explain its propensity to segregate unequally and to be lost at mitosis.","['Viguie, F', 'Prigent, Y', 'Ramond, S', 'Baumelou, E', 'Cadiou, M', 'Dreyfus, F', 'Zittoun, R']","['Viguie F', 'Prigent Y', 'Ramond S', 'Baumelou E', 'Cadiou M', 'Dreyfus F', 'Zittoun R']","['Laboratoire de Biologie de la Fertilite et de Cytogenetique, Hopital Hotel-Dieu, Paris, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,['0 (Genetic Markers)'],IM,"['Adult', 'Aged', '*Chromosomes, Human, Pair 7', 'Genetic Markers', 'Humans', 'In Situ Hybridization, Fluorescence', 'Leukemia, Monocytic, Acute/*genetics', 'Male', 'Middle Aged', '*Monosomy', 'Myelodysplastic Syndromes/genetics']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1995 Jul;9(7):1154-8.,,,,,,,,,,,,,,
7630188,NLM,MEDLINE,19950905,20171116,0887-6924 (Print) 0887-6924 (Linking),9,7,1995 Jul,High degree of myeloid differentiation and granulocytosis is associated with t(8;21) smoldering leukemia.,1147-53,"The t(8;21) is a frequent chromosome abnormality in acute myeloid leukemia (AML), particularly associated with M2 of the French-American-British (FAB) classification, but also found in a few patients with myelodysplastic syndrome (MDS). The two genes involved in the t(8;21) have been recently isolated and the cDNA of the AML1/ETO fusion gene identified. We have investigated a series of AML and MDS patients by a reverse transcriptase-polymerase chain reaction (RT-PCR) and analyzed the clinical and laboratory features of leukemia with t(8;21). The t(8;21) was only found in a subset of M2, which had the clinical and hematological features distinct from those M2 without t(8;21). M2 with t(8;21) was associated with a significantly higher myeloid differentiation and with a good response to chemotherapy. Moreover, among the patients with refractory anemia with excess of blasts in transformation (RAEB-T) the t(8;21) was also significantly associated with a higher myeloid differentiation and a good response to chemotherapy. M2 patients with t(8;21) could be distinguished on a number of hematological parameters, eg white blood cell count and percentage of bone marrow myeloblasts and promyelocytes, from RAEB-T carrying the t(8;21). Based on these findings we suggest that leukemia patients carrying t(8;21) can be grouped into two types; overt acute myeloid leukemia (M2) and smoldering or slowly evolving myeloid leukemia.","['Yamasaki, H', 'Era, T', 'Asou, N', 'Sanada, I', 'Matutes, E', 'Yamaguchi, K', 'Takatsuki, K']","['Yamasaki H', 'Era T', 'Asou N', 'Sanada I', 'Matutes E', 'Yamaguchi K', 'Takatsuki K']","['Second Department of Internal Medicine, Kumamoto University School of Medicine, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (DNA-Binding Proteins)', '0 (Neoplasm Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (Proto-Oncogene Proteins)', '0 (RUNX1 Translocation Partner 1 Protein)', '0 (RUNX1 protein, human)', '0 (RUNX1T1 protein, human)', '0 (Transcription Factors)']",IM,"['Adolescent', 'Adult', 'Aged', 'Anemia, Refractory, with Excess of Blasts/blood/*genetics/pathology', 'Base Sequence', 'Bone Marrow/*pathology', 'Cell Differentiation', '*Chromosomes, Human, Pair 21', '*Chromosomes, Human, Pair 8', 'Core Binding Factor Alpha 2 Subunit', 'DNA-Binding Proteins/genetics', 'Female', '*Granulocytes', 'Humans', 'Leukemia, Myeloid, Acute/genetics/pathology', 'Leukocytosis/*etiology', 'Male', 'Middle Aged', 'Molecular Sequence Data', 'Neoplasm Proteins/genetics', 'Oncogene Proteins, Fusion/genetics', 'Polymerase Chain Reaction', '*Proto-Oncogene Proteins', 'RUNX1 Translocation Partner 1 Protein', 'Transcription Factors/genetics', '*Translocation, Genetic']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1995 Jul;9(7):1147-53.,,,,,,,,,,,,,,
7630187,NLM,MEDLINE,19950905,20130304,0887-6924 (Print) 0887-6924 (Linking),9,7,1995 Jul,Chromosome 17 numerical abnormalities in 55 patients with non-Hodgkin's lymphoma: a fluorescence in situ hybridization study.,1144-6,"Monosomy 17 and structural abnormalities of the short arm of chromosome 17 have been reported to influence prognosis and treatment outcome in patients with non-Hodgkin's lymphoma (NHL). In diffuse large cell lymphoma, these abnormalities were associated with refractoriness to chemotherapy, higher proliferative rate and poor prognosis. We studied the incidence of chromosome 17 abnormalities in 55 patients with NHL by using fluorescence in situ hybridization with a directly conjugated centromeric probe for chromosome 17. Twenty-three patients (42%) were previously untreated. Thirty-four patients (62%) had diffuse large cell lymphoma, 18 (33%) had follicular low-grade lymphoma, one had small lymphocytic lymphoma, one had diffuse mixed cell lymphoma, and one had mantle cell lymphoma. Cells from benign lymphoid hyperplasia were used as controls. Eight patients (15%) had trisomy 17 in 1.2-40.7% of cells and one patient (1.8%) had monosomy 17 in 68.8% of cells. We conclude that monosomy 17 is not common in NHL. Chromosome 17 deletions should be investigated with region-specific probes to determine their clinical relevance in NHL.","['Jendiroba, D', 'Younes, A', 'Katz, R', 'Hill, D', 'Cabanillas, F', 'Andreeff, M']","['Jendiroba D', 'Younes A', 'Katz R', 'Hill D', 'Cabanillas F', 'Andreeff M']","['Department of Hematology, University of Texas MD Anderson Cancer Center, Houston 77030, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,,IM,"['Adolescent', 'Adult', 'Aged', 'Child', '*Chromosome Aberrations', '*Chromosomes, Human, Pair 17', 'Humans', 'In Situ Hybridization, Fluorescence', 'Leukemia, Lymphocytic, Chronic, B-Cell/genetics', 'Lymphoma, Follicular/genetics', 'Lymphoma, Large B-Cell, Diffuse/genetics', 'Lymphoma, Non-Hodgkin/*genetics', 'Middle Aged', 'Monosomy', 'Trisomy']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1995 Jul;9(7):1144-6.,,,"['CA-16672/CA/NCI NIH HHS/United States', 'CA-55164/CA/NCI NIH HHS/United States', 'CA-57639/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,,,
7630186,NLM,MEDLINE,19950905,20130304,0887-6924 (Print) 0887-6924 (Linking),9,7,1995 Jul,"Immunoglobulin heavy chain class switching, mu to gamma, in a human lymphoma cell line FL-318 carrying a t(14;18)(q32;q21) chromosomal translocation.",1139-43,"Previously, we reported the establishment of a human lymphoma cell line, FL-318, carrying a t(14;18)(q32;q21) chromosomal translocation. FL-318 cells had mu-heavy chain on the cell surface, while they expressed 'sterile' germ-line gamma transcripts, suggesting that the chromatin structure of the immunoglobulin heavy chain (IGH) locus was 'accessible' to class switch recombination. After several months of in vitro cell culture, we found a small population of FL-318 cells expressing the gamma-chain. Using a limiting dilution method, a mu-producing cell clone FL-318M, and gamma-producing FL-318G were isolated. Hybridization studies with various DNA probes from the IGH locus as well as the BCL2 gene demonstrated that the mu-constant gene was deleted on the functional IGH allele of FL-318G cells, and that the cells produced abundant productive gamma-chain messages. These studies indicated that FL-318 cells underwent spontaneous class switching during in vitro cell culture, unrelated to T cell interaction or antigenic stimulation.","['Kadowaki, N', 'Amakawa, R', 'Hayashi, T', 'Akasaka, T', 'Yabumoto, K', 'Ohno, H', 'Fukuhara, S', 'Okuma, M']","['Kadowaki N', 'Amakawa R', 'Hayashi T', 'Akasaka T', 'Yabumoto K', 'Ohno H', 'Fukuhara S', 'Okuma M']","['Department of Internal Medicine, Faculty of Medicine, Kyoto University, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Immunoglobulin gamma-Chains)', '0 (Immunoglobulin mu-Chains)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (RNA, Messenger)']",IM,"['Base Sequence', 'Blotting, Northern', 'Blotting, Southern', '*Chromosomes, Human, Pair 14', '*Chromosomes, Human, Pair 18', 'Flow Cytometry', '*Gene Rearrangement, B-Lymphocyte, Heavy Chain', 'Humans', '*Immunoglobulin Class Switching', 'Immunoglobulin gamma-Chains/*genetics', 'Immunoglobulin mu-Chains/*genetics', 'Lymphoma, Large B-Cell, Diffuse/chemistry/*genetics', 'Molecular Sequence Data', 'Polymerase Chain Reaction', 'Proto-Oncogene Proteins/genetics', 'Proto-Oncogene Proteins c-bcl-2', 'Proto-Oncogenes', 'RNA, Messenger/analysis', '*Translocation, Genetic', 'Tumor Cells, Cultured/chemistry']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1995 Jul;9(7):1139-43.,,,,,['GENBANK/S79218'],,,,,,,,,
7630185,NLM,MEDLINE,19950905,20130304,0887-6924 (Print) 0887-6924 (Linking),9,7,1995 Jul,Waldenstrom's macroglobulinemia with the AML/MDS-associated t(1;3)(p36;q21).,1136-8,"Two unusual, and perhaps causally related, clinical and cytogenetic features in a patient with Waldenstrom's macroglobulinemia are presented. Firstly, during the progression of the primary macroglobulinemia bone destruction and hypercalcemia occurred. Secondly, a t(1;3)(p36;q21) was found as the sole clonal chromosomal abnormality. This translocation is characteristic of acute myeloid leukemia (AML) and myelodysplastic syndromes with a high propensity for progressing to AML. The t(1;3) has previously never been reported in a lymphoproliferative disorder. Since the abnormality is associated with acute transformation of cells of the myelopoietic lineages, it is possible that the t(1;3), found in cells of lymphoid origin in the present case, not only induced the neoplastic process as such but also brought about the unusually malignant tumor progression.","['Johansson, B', 'Waldenstrom, J', 'Hasselblom, S', 'Mitelman, F']","['Johansson B', 'Waldenstrom J', 'Hasselblom S', 'Mitelman F']","['Department of Clinical Genetics, Lund University Hospital, Sweden.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,,IM,"['*Chromosomes, Human, Pair 1', '*Chromosomes, Human, Pair 3', 'Female', 'Humans', 'Hypercalcemia/etiology', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics', 'Middle Aged', 'Myelodysplastic Syndromes/*genetics', 'Osteolysis/etiology', '*Translocation, Genetic', 'Waldenstrom Macroglobulinemia/complications/*genetics']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1995 Jul;9(7):1136-8.,,,,,,,,,,,,,,
7630184,NLM,MEDLINE,19950905,20131121,0887-6924 (Print) 0887-6924 (Linking),9,7,1995 Jul,2-Chlorodeoxyadenosine (CdA) for patients with previously untreated chronic lymphocytic leukemia (CLL).,1130-5,"The encouraging therapeutic results attained with the purine analogue CdA in patients with previously treated CLL prompted us to assess its potential in untreated CLL patients. Nineteen patients, 13 males and six females, median age 65 years (range 27-75), with previously untreated CLL were given monthly courses of CdA, 0.12 mg/kg/day as 2-h i.v. infusions for 5 days, until maximum response or excessive toxicity. Five patients with Binet's stage A, 10 with stage B and four with stage C CLL entered the study. After a median of five courses of CdA (range 1-9) nine complete responses (CR = 47%, CI: 24-69%), five partial responses (PR = 26%, CI: 7-46%) and five failures (= 26%, CI: 7-46%) were recorded. In five complete responders and in one partial responder cytofluorometric analysis of blood and/or bone marrow failed to demonstrate a residual clonal B cell population. A search for residual disease by PCR technology and by immunostaining of bone marrow biopsies however disclosed residual leukemic cells in these six cases. Adverse reactions included fever of unknown origin (n = 3), pneumonia (n = 2), herpes simplex infection, herpes zoster, an anal abscess, a cutaneous rash, autoimmune hemolysis and mental disturbance (one patient each). In this small cohort, neither age, stage, blood counts, cytogenetics or pattern of bone marrow infiltration at inclusion were predictive for response. From these preliminary data, we conclude that CdA has remarkable short-term efficacy in patients with previously untreated CLL. However, toxicity is not negligible and long-term benefit from therapy with CdA still has to be established.","['Delannoy, A', 'Martiat, P', 'Gala, J L', 'Deneys, V', 'Ferrant, A', 'Bosly, A', 'Schieff, J M', 'Michaux, J L']","['Delannoy A', 'Martiat P', 'Gala JL', 'Deneys V', 'Ferrant A', 'Bosly A', 'Schieff JM', 'Michaux JL']","[""l'Universite Catholique de Louvain, Cliniques Saint-Luc, Hematology Department, Brussels, Belgium.""]",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,['47M74X9YT5 (Cladribine)'],IM,"['Adult', 'Aged', 'Base Sequence', 'Blotting, Southern', 'Bone Marrow/pathology', 'Cladribine/administration & dosage/adverse effects/*therapeutic use', 'Cohort Studies', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy/genetics/pathology', 'Male', 'Middle Aged', 'Molecular Sequence Data', 'Neoplasm, Residual', 'Polymerase Chain Reaction', 'Remission Induction']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1995 Jul;9(7):1130-5.,,,,,,,,,,,,,,
