PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,CI,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,PMC,GR,CN,CIN,RF,TT,CON,OID,OTO,OT,GN,EIN,ROF,SI,MID,LID
14699980,NLM,MEDLINE,20040211,20121115,0079-6123 (Print) 0079-6123 (Linking),146,,2004,Viral vector-mediated gene transfer of neurotrophins to promote regeneration of the injured spinal cord.,451-76,"Injuries to the adult mammalian spinal cord often lead to severe damage to both ascending (sensory) pathways and descending (motor) nerve pathways without the perspective of complete functional recovery. Future spinal cord repair strategies should comprise a multi-factorial approach addressing several issues, including optimalization of survival and function of spared central nervous system neurons in partial lesions and the modulation of trophic and inhibitory influences to promote and guide axonal regrowth. Neurotrophins have emerged as promising molecules to augment neuroprotection and neuronal regeneration. Although intracerebroventricular, intrathecal and local protein delivery of neurotrophins to the injured spinal cord has resulted in enhanced survival and regeneration of injured neurons, there are a number of drawbacks to these methods. Viral vector-mediated transfer of neurotrophin genes to the injured spinal cord is emerging as a novel and effective strategy to express neurotrophins in the injured nervous system. Ex vivo transfer of neurotrophic factor genes is explored as a way to bridge lesions cavities for axonal regeneration. Several viral vector systems, based on herpes simplex virus, adenovirus, adeno-associated virus, lentivirus, and moloney leukaemia virus, have been employed. The genetic modification of fibroblasts, Schwann cells, olfactory ensheathing glia cells, and stem cells, prior to implantation to the injured spinal cord has resulted in improved cellular nerve guides. So far, neurotrophic factor gene transfer to the injured spinal cord has led to results comparable to those obtained with direct protein delivery, but has a number of advantages. The steady advances that have been made in combining new viral vector systems with a range of promising cellular platforms for ex vivo gene transfer (e.g., primary embryonic neurons, Schwann cells, olfactory ensheating glia cells and neural stem cells) holds promising perspectives for the development of new neurotrophic factor-based therapies to repair the injured nervous system.",,"['Hendriks, William T', 'Ruitenberg, Marc J', 'Blits, Bas', 'Boer, Gerard J', 'Verhaagen, Joost']","['Hendriks WT', 'Ruitenberg MJ', 'Blits B', 'Boer GJ', 'Verhaagen J']","['Graduate School for Neurosciences Amsterdam, Department of Neuroregeneration, Netherlands Institute for Brain Research, Meibergdreef 33, 1105 AZ, Amsterdam, The Netherlands.']",['eng'],"['Journal Article', 'Review']",Netherlands,Prog Brain Res,Progress in brain research,0376441,['0 (Nerve Growth Factors)'],IM,"['Animals', 'Drug Administration Routes', '*Gene Transfer Techniques', 'Genes, Viral', 'Genetic Therapy/*methods', 'Genetic Vectors', 'Humans', 'Nerve Growth Factors/genetics/*therapeutic use', '*Nerve Regeneration', 'Neurons/drug effects/virology', 'Recovery of Function', 'Spinal Cord Injuries/*therapy/virology', 'Time Factors']",2004/01/01 05:00,2004/02/12 05:00,['2004/01/01 05:00'],"['2004/01/01 05:00 [pubmed]', '2004/02/12 05:00 [medline]', '2004/01/01 05:00 [entrez]']","['S0079-6123(03)46029-9 [pii]', '10.1016/S0079-6123(03)46029-9 [doi]']",ppublish,Prog Brain Res. 2004;146:451-76. doi: 10.1016/S0079-6123(03)46029-9.,,,,,,175,,,,,,,,,,,
14699968,NLM,MEDLINE,20040211,20141120,0079-6123 (Print) 0079-6123 (Linking),146,,2004,Neurotrophin-3 in the development of the enteric nervous system.,243-63,"To date, the only neurotrophin that has been shown to influence the development of the enteric nervous system (ENS) is neurotrophin-3 (NT-3). NT-3 plays an essential role in the development of both the neural-crest-derived peripheral nervous system and the central nervous system (i.e., Chalazonitis, 1996, Mol. Neurobiol., 12: 39-53; Sieber-Blum, 1999, Neurotrophins and the Neural Crest, CRC Press, Boca Raton). This review integrates data obtained from our laboratory and from our collaboration with other investigators that demonstrate a late-acting role for NT-3 in the development of enteric neurons in vitro and in vivo. Studies of the biological actions of NT-3 on enteric neuronal precursors in vitro demonstrate that NT-3 acts directly on the precursor cells and that it also acts in combination with other neurotrophic factors such as glial cell line-derived neurotrophic factor and a ciliary neurotrophic factor-like molecule, to promote the survival and differentiation of enteric neurons and glia. Importantly, bone morphogenetic protein-2 (BMP-2) and BMP-4, members of the transforming growth factor-beta (TGF-beta) superfamily, regulate the onset of action of NT-3 during fetal gut development. Analyzes performed on mice deficient in the genes encoding NT-3 or its transducing tyrosine kinase receptor, TrkC, and conversely on transgenic mice that overexpress NT-3 substantiate a physiological role for NT-3 in the development and maintenance of a subset of enteric neurons. There is loss of neurons in both the myenteric and submucosal plexuses of mice lacking NT-3/TrkC signaling and selective hyperplasia in the myenteric plexus of mice overexpressing NT-3. Analyzes performed on transgenic mice that overexpress noggin, a specific BMP-4 antagonist, show significant decreases in the density of TrkC-expressing neurons but significant increase in overall neuronal density of both plexuses. Conversely, overexpression of BMP-4 is sufficient to produce, an increase in the proportion of TrkC-expressing neurons in both plexuses. Overall, our data point to a regulatory role of BMP-4 in the responses of subsets of myenteric and submucosal neurons to NT-3. NT-3 is required for the differentiation, maintenance and proper physiological function of late-developing enteric neurons that are important for the control of gut peristalsis.",,"['Chalazonitis, Alcmene']",['Chalazonitis A'],"['Department of Anatomy and Cell Biology, Columbia University, College of Physicians and Surgeons, 630W, 168th Street, New York, NY 10032, USA. ac83@columbia.edu']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",Netherlands,Prog Brain Res,Progress in brain research,0376441,"['0 (BMP4 protein, human)', '0 (Bmp4 protein, mouse)', '0 (Bone Morphogenetic Protein 4)', '0 (Bone Morphogenetic Proteins)', '0 (Ciliary Neurotrophic Factor)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Neurotrophin 3)', '0 (Proto-Oncogene Proteins)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-ret)', 'EC 2.7.10.1 (Receptor Protein-Tyrosine Kinases)', 'EC 2.7.10.1 (Receptor, trkC)']",IM,"['Animals', 'Bone Morphogenetic Protein 4', 'Bone Morphogenetic Proteins/metabolism', 'Cell Differentiation', 'Cell Lineage/physiology', 'Cell Movement', 'Cells, Cultured', 'Ciliary Neurotrophic Factor/metabolism', 'Enteric Nervous System/*embryology/metabolism/*physiology', 'Gene Expression Regulation, Developmental', 'Humans', 'In Vitro Techniques', 'Interleukin-6/metabolism', 'Leukemia Inhibitory Factor', 'Mice', 'Mice, Knockout', 'Models, Neurological', 'Neural Crest/growth & development/metabolism', 'Neuroglia/metabolism', 'Neurons/metabolism', 'Neurotrophin 3/genetics/*physiology', 'Peripheral Nervous System/embryology/metabolism', 'Proto-Oncogene Proteins', 'Proto-Oncogene Proteins c-ret', 'Receptor Protein-Tyrosine Kinases', 'Receptor, trkC/genetics/metabolism']",2004/01/01 05:00,2004/02/12 05:00,['2004/01/01 05:00'],"['2004/01/01 05:00 [pubmed]', '2004/02/12 05:00 [medline]', '2004/01/01 05:00 [entrez]']","['S0079-6123(03)46016-0 [pii]', '10.1016/S0079-6123(03)46016-0 [doi]']",ppublish,Prog Brain Res. 2004;146:243-63. doi: 10.1016/S0079-6123(03)46016-0.,,,"['NIDDK58056/DK/NIDDK NIH HHS/United States', 'NS15547/NS/NINDS NIH HHS/United States', 'NS20013/NS/NINDS NIH HHS/United States', 'NS20778/NS/NINDS NIH HHS/United States']",,,120,,,,,,,,,,,
14699849,NLM,MEDLINE,20040312,20171116,0037-1017 (Print) 0037-1017 (Linking),75,11,2003 Nov,[Role of SCL/Tall on endothelial and hematopoietic development].,1461-4,,,"['Ema, Masatsugu']",['Ema M'],"['Department of Anatomy and Embryology, Institute of Basic Medical Sciences, University of Tsukuba, Tennodai, Tsukuba, Ibaraki 305-8575, Japan.']",['jpn'],"['Journal Article', 'Review']",Japan,Seikagaku,Seikagaku. The Journal of Japanese Biochemical Society,0413564,"['0 (Basic Helix-Loop-Helix Transcription Factors)', '0 (DNA-Binding Proteins)', '0 (Proto-Oncogene Proteins)', '0 (T-Cell Acute Lymphocytic Leukemia Protein 1)', '0 (Tal1 protein, mouse)', '0 (Transcription Factors)', '0 (Vascular Endothelial Growth Factor A)', 'EC 2.7.10.1 (Vascular Endothelial Growth Factor Receptor-2)']",IM,"['Animals', 'Basic Helix-Loop-Helix Transcription Factors', 'Cell Differentiation/*genetics', 'DNA-Binding Proteins/*physiology', 'Endothelium, Vascular/*cytology/*embryology', 'Hematopoiesis/*genetics', 'Hematopoietic System/*cytology/*embryology', 'Mice', 'Proto-Oncogene Proteins/*physiology', 'T-Cell Acute Lymphocytic Leukemia Protein 1', 'Transcription Factors/*physiology', 'Vascular Endothelial Growth Factor A/physiology', 'Vascular Endothelial Growth Factor Receptor-2/physiology']",2004/01/01 05:00,2004/03/16 05:00,['2004/01/01 05:00'],"['2004/01/01 05:00 [pubmed]', '2004/03/16 05:00 [medline]', '2004/01/01 05:00 [entrez]']",,ppublish,Seikagaku. 2003 Nov;75(11):1461-4.,,,,,,21,,,,,,,,,,,
14699694,NLM,MEDLINE,20040325,20170306,,110,3,2003 Sep,[Hypopituitarism and hematological abnormalities mimicking myelodysplastic syndrome. Report of four cases].,1003-11,"Insufficiency of the pituitary gland and hematological abnormalities may coexist in the context of two syndromes. In the course of some hematopoietic neoplasms, particularly acute leukemias, the pituitary insufficiency may be caused by destruction of the gland either by direct neoplastic infiltration or occlusion of vessels. Alternatively, thy pituitary dysfunction may be associated with but not caused by hematological abnormalities, usually mild peripheral cytopenias. We present four cases of the latter type (1. M/33, pituitary tumor, hypogonadism, hyperprolactinemia, anemia, mild leukopenia with leukocytosis, 2. F/54, pituitary tumor, hyperprolactinemia, thyreotropic and corticotropic insufficiency, anemia, thrombocytopenia, mild neutropenia, 3. F/27, pituitary tumor, diabetes insipidus, hypogonadism, sideropenic anemia, leukopenia, thrombocytopenia, 4. M/24, primary multihormonal insufficiency of the anterior portion of the pituitary gland, neutropenia, microcytosis). Trephine and aspiration bone marrow biopsies revealed topographic and cytological abnormalities partially resembling these found in myelodysplastic syndromes (MDS). Bone marrow cellularity varied markedly between and within the cases, and in three patients abnormal aplastic areas were found. The percentage of hematopoietic stem cells (CD34+) was low in three cases and normal in one case. Pituitary dysfunction may be associated with hematological abnormalities simulating MDS, but showing different, less aggressive clinical course. The proliferative potential of hematopoietic cells is low, the peripheral blood abnormalities are stable, and no patient developed acute leukemia. Detailed bone marrow examination, including the trephine bone marrow biopsy, is useful in differentiation with true MDS, which was also reported in the literature in the patients with pituitary insufficiency.",,"['Rudzki, Zbigniew', 'Matynia, Anna', 'Przybylik-Mazurek, Elwira', 'Darczuk, Andrzej', 'Szybinski, Zbigniew', 'Piatkowska-Jakubas, Beata', 'Wojcik, Malgorzata', 'Skotnicki, Aleksander B']","['Rudzki Z', 'Matynia A', 'Przybylik-Mazurek E', 'Darczuk A', 'Szybinski Z', 'Piatkowska-Jakubas B', 'Wojcik M', 'Skotnicki AB']",['Katedra Patomorfologii Collegium Medicum Uniwersytetu Jagiellonskiego w Krakowie. mprudzki@cyf-kr.edu.pl'],['pol'],"['Case Reports', 'English Abstract', 'Journal Article']",Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,,IM,"['Adult', 'Bone Marrow/pathology', 'Diagnosis, Differential', 'Female', 'Humans', 'Hypopituitarism/*diagnosis', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*diagnosis/pathology']",2004/01/01 05:00,2004/03/26 05:00,['2004/01/01 05:00'],"['2004/01/01 05:00 [pubmed]', '2004/03/26 05:00 [medline]', '2004/01/01 05:00 [entrez]']",,ppublish,Pol Arch Med Wewn. 2003 Sep;110(3):1003-11.,,,,,,,Niedoczynnosc przysadki i zaburzenia hematologiczne nasladujace zespol mielodysplastyczny. Opis czterech przypadkow.,,,,,,,,,,
14699604,NLM,MEDLINE,20040803,20070724,1552-4922 (Print) 1552-4922 (Linking),57,1,2004 Jan,Hollow-fiber assay for ligand-mediated cell adhesion.,39-44,"BACKGROUND: The investigation of receptor-ligand interactions in the cellular context presents significant technical challenges, first, to immobilize the ligand in a manner that preserves functional properties and, second, to relate ligand properties to cell adhesion and other cellular processes. METHODS: Ligand-mediated cell adhesion was characterized by the development of a cellulose hollow-fiber adhesion assay in which ligand (protein A) was immobilized onto the cellulose membrane as a recombinant fusion protein containing a cellulose-binding domain affinity tag. Modules containing single cellulose hollow fibers were connected to a micro-flow system for cell deposition and detachment with fluid shear stress. The cell adhesion process that occurred inside a segment of hollow fiber was observed in real time by using an inverted microscope equipped with a CCD camera and digital frame grabber. Image analysis software was developed to count cells and record digital images. RESULTS: Cell adhesion strength was characterized by counting the number of cells that were detached by application of fluid shear stress with values that ranged from 2.3 to 185 dyne/cm2. The median shear stress of detachment of KG1a cells was directly related to the duration of membrane contact and the amount of immobilized monoclonal antibody (anti-CD34). CONCLUSIONS: The hollow-fiber assay provides a general method to determine functional properties of molecular domains that interact with cell surface receptors and markers.","['Copyright 2003 Wiley-Liss, Inc.']","['Nordon, Robert E', 'Shu, Alan', 'Camacho, Fernando', 'Milthorpe, Bruce K']","['Nordon RE', 'Shu A', 'Camacho F', 'Milthorpe BK']","['Graduate School of Biomedical Engineering, University of New South Wales, Sydney, Australia. r.nordon@unsw.edu.au']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cytometry A,Cytometry. Part A : the journal of the International Society for Analytical Cytology,101235694,"['0 (Antibodies, Monoclonal)', '0 (Ligands)', '0 (Recombinant Fusion Proteins)', '9004-34-6 (Cellulose)']",IM,"['Antibodies, Monoclonal/immunology', 'Antibody Affinity', '*Biological Assay', 'Cell Adhesion/*physiology', 'Cell Line, Tumor', 'Cell Separation/*methods', 'Cellulose/chemistry', 'Flow Cytometry/instrumentation/*methods', 'Humans', 'Image Processing, Computer-Assisted', 'Leukemia, Myeloid', 'Ligands', 'Recombinant Fusion Proteins/immunology', 'Stress, Mechanical']",2003/12/31 05:00,2004/08/04 05:00,['2003/12/31 05:00'],"['2003/12/31 05:00 [pubmed]', '2004/08/04 05:00 [medline]', '2003/12/31 05:00 [entrez]']",['10.1002/cyto.a.10091 [doi]'],ppublish,Cytometry A. 2004 Jan;57(1):39-44. doi: 10.1002/cyto.a.10091.,,,,,,,,,,,,,,,,,
14699048,NLM,MEDLINE,20040302,20181113,0027-8424 (Print) 0027-8424 (Linking),101,2,2004 Jan 13,Somatic activation of oncogenic Kras in hematopoietic cells initiates a rapidly fatal myeloproliferative disorder.,597-602,"RAS mutations are common in myeloid malignancies; however, it is not known whether oncogenic RAS can initiate leukemia. We show that expressing mutant K-Ras(G12D) protein from the endogenous murine locus rapidly induces a fatal myeloproliferative disorder with 100% penetrance characterized by tissue infiltration, hypersensitivity to growth factors, and hyperproliferation. Hematopoietic cells from diseased mice demonstrated increased levels of Ras-GTP, but effector kinases were not constitutively phosphorylated and responded normally to growth factors. Oncogenic RAS is sufficient to initiate myeloid leukemogenesis in mice, and this provides an in vivo system for biologic and preclinical studies.",,"['Braun, Benjamin S', 'Tuveson, David A', 'Kong, Namie', 'Le, Doan T', 'Kogan, Scott C', 'Rozmus, Jacob', 'Le Beau, Michelle M', 'Jacks, Tyler E', 'Shannon, Kevin M']","['Braun BS', 'Tuveson DA', 'Kong N', 'Le DT', 'Kogan SC', 'Rozmus J', 'Le Beau MM', 'Jacks TE', 'Shannon KM']","['Department of Pediatrics, University of California, San Francisco, CA 94143, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,,IM,"['Animals', 'Bone Marrow Cells/*metabolism', 'Flow Cytometry', '*Genes, ras', 'Karyotyping', 'Mice', 'Myeloproliferative Disorders/*pathology']",2003/12/31 05:00,2004/03/03 05:00,['2003/12/31 05:00'],"['2003/12/31 05:00 [pubmed]', '2004/03/03 05:00 [medline]', '2003/12/31 05:00 [entrez]']","['10.1073/pnas.0307203101 [doi]', '0307203101 [pii]']",ppublish,Proc Natl Acad Sci U S A. 2004 Jan 13;101(2):597-602. doi: 10.1073/pnas.0307203101. Epub 2003 Dec 29.,20031229,PMC327193,"['U01 CA084221/CA/NCI NIH HHS/United States', 'CA84221/CA/NCI NIH HHS/United States', 'T32 DK007636/DK/NIDDK NIH HHS/United States', 'CA72614/CA/NCI NIH HHS/United States', 'U01 CA084306/CA/NCI NIH HHS/United States', 'T32 DK07636/DK/NIDDK NIH HHS/United States', 'R37 CA072614/CA/NCI NIH HHS/United States', 'R01 CA072614/CA/NCI NIH HHS/United States', 'CA84306/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,
14698648,NLM,MEDLINE,20041214,20190727,0049-3848 (Print) 0049-3848 (Linking),111,6,2003,Thrombosis in children with acute lymphoblastic leukemia Part III. Pathogenesis of thrombosis in children with acute lymphoblastic leukemia: effects of host environment.,321-7,"This concluding section of the series will evaluate the role of host environment in the development of thromboembolism (TE) in children with acute lymphoblastic leukemia (ALL). The available evidence suggests that TE in association with childhood ALL is a multifactorial entity resulting from the interaction of the disease, chemotherapy and its effects, and possible prothrombotic states inherent to the host. The few studies conducted so far in children with ALL have reported wide variability in the prevalence of prothrombotic defects and its impact on the risk of TE. The prevalence of prothrombotic defects varies in different ethnic population. Since different ALL therapy studies use different chemotherapeutic agents in various dosage and combination, it is important that every major study group assesses the risk of TE, including the prevalence of prothrombotic defects, within their therapy plan. This will help to identify the population at risk for TE and for thromboprophylaxis, if indicated.",,"['Athale, Uma H', 'Chan, Anthony K C']","['Athale UH', 'Chan AK']","['Division of Pediatric Hematology/Oncology, Department of Pediatrics, 3N27D, HSC, McMaster University, 1200 Main Street West, Hamilton, ON, Canada L8N 3Z5. athaleu@mcmaster.ca']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Thromb Res,Thrombosis research,0326377,"['0 (Antibodies, Antiphospholipid)', '0 (Blood Coagulation Factors)', '0 (Lipoproteins)']",IM,"['Antibodies, Antiphospholipid/blood', 'Blood Coagulation Factors/metabolism', 'Humans', 'Lipoproteins/blood', 'Mutation', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications/genetics/therapy', 'Prevalence', 'Risk Factors', 'Thromboembolism/*etiology/pathology']",2003/12/31 05:00,2004/12/16 09:00,['2003/12/31 05:00'],"['2003/12/31 05:00 [pubmed]', '2004/12/16 09:00 [medline]', '2003/12/31 05:00 [entrez]']","['S004938480300536X [pii]', '10.1016/j.thromres.2003.10.008 [doi]']",ppublish,Thromb Res. 2003;111(6):321-7. doi: 10.1016/j.thromres.2003.10.008.,,,,,,48,,,,,,,,,,,
14698568,NLM,MEDLINE,20040220,20190819,0300-483X (Print) 0300-483X (Linking),195,1,2004 Jan 15,"A recombinant model for assessing the role of GSTM1 in styrene-7,8-oxide toxicity and mutagenicity.",61-8,"Styrene-7,8-oxide (SO) is a highly reactive epoxide able to undergo reactions with endogenous nucleophiles, such as DNA. SO is inactivated by glutathione-S-transferase M1 (GSTM1). This detoxification enzyme is absent in approximately one-half of Caucasian (49%) populations. A GSTM1 recombinant human lymphoblastoid cell line (FB7) was generated from a GSTM1 negative parental cell line (WIL2NS). GSTM1 status was determined using RT-PCR and immunochemistry. Cells were challenged with a range of SO doses and subsequent toxicity (population growth in flasks) and genotoxicity (mutations at the HPRT locus) were monitored. FB7 (GSTM1 positive) exhibited greater cell survival after SO exposure relative to the GSTM1 negative parental line. The IC50 following a 1 h exposure to SO was 0.5 mM for WIL2NS, compared to greater than 2.5 mM for FB7. The extrapolated IC50 for FB7 was 5.5 mM. Significantly fewer mutant cells were induced by SO for FB7 than for WIL2NS at equivalent doses of SO. These findings suggest that the sensitivity of cells to styrene-7,8-oxide is influenced by GSTM1 status and that a recombinant GSTM1 positive cell line can efficiently detoxify styrene-7,8-oxide.",,"['Shield, Alison J', 'Sanderson, Barbara J S']","['Shield AJ', 'Sanderson BJ']","['Department of Medical Biotechnology, School of Medicine, Flinders University of South Australia, Bedford Park, SA 5042, Australia.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Ireland,Toxicology,Toxicology,0361055,"['0 (Epoxy Compounds)', '0 (Mutagens)', '0 (Recombinant Proteins)', '9QH06NGT6O (styrene oxide)', 'EC 2.5.1.18 (Glutathione Transferase)']",IM,"['Cell Survival/drug effects/genetics', 'Dose-Response Relationship, Drug', 'Epoxy Compounds/*toxicity', 'Genotype', 'Glutathione Transferase/*genetics/metabolism', 'Humans', 'Inhibitory Concentration 50', 'Mutagenicity Tests', 'Mutagens/*toxicity', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/pathology', 'Recombinant Proteins/genetics/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Tumor Cells, Cultured']",2003/12/31 05:00,2004/02/21 05:00,['2003/12/31 05:00'],"['2003/12/31 05:00 [pubmed]', '2004/02/21 05:00 [medline]', '2003/12/31 05:00 [entrez]']","['S0300483X03004116 [pii]', '10.1016/j.tox.2003.08.010 [doi]']",ppublish,Toxicology. 2004 Jan 15;195(1):61-8. doi: 10.1016/j.tox.2003.08.010.,,,,,,,,,,,,,,,,,
14698558,NLM,MEDLINE,20040217,20181113,1044-0305 (Print) 1044-0305 (Linking),15,1,2004 Jan,Differential expression of histone post-translational modifications in acute myeloid and chronic lymphocytic leukemia determined by high-pressure liquid chromatography and mass spectrometry.,77-86,"The post-translational modification of the core histones is critical to the regulation of chromatin structure. Traditional methods for the determination of histone modification utilize immunoassay techniques to determine the extent and site of post-translational modification. These methods, though sensitive, require site-specific antibodies. This manuscript describes the application of reverse-phase high-pressure liquid chromatography and mass spectrometry (LC-MS) to analyze global modification levels of core histones. The method is fast, sensitive, and easily automated. Furthermore, the technique gives the global patterns of modification for all four core histones in a single experiment. The LC-MS method was optimized using histones extracted from bovine thymus. These methods were then applied to the characterization of changes in histone modification in acute myeloid leukemia (AML) cell lines treated with histone deacetylase (HDAC) inhibitors. Dose-dependent changes in the distribution of modified core histones were observed. These results were validated in primary leukemia cells from patients with refractory or relapsed AML or chronic lymphocytic leukemia (CLL) treated on a Phase I clinical trial of the HDAC inhibitor depsipeptide. An increase in the relative abundance of specific acetylated forms of histone H4 was readily observable in these patients at intervals of 4 and 24 h after treatment.",,"['Zhang, Liwen', 'Freitas, Michael A', 'Wickham, Joseph', 'Parthun, Mark R', 'Klisovic, Marko I', 'Marcucci, Guido', 'Byrd, John C']","['Zhang L', 'Freitas MA', 'Wickham J', 'Parthun MR', 'Klisovic MI', 'Marcucci G', 'Byrd JC']","['Department of Chemistry, The Ohio State University, Columbus, Ohio 43210, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Am Soc Mass Spectrom,Journal of the American Society for Mass Spectrometry,9010412,['0 (Histones)'],IM,"['Animals', 'Cattle', 'Cell Line, Tumor', 'Chromatography, High Pressure Liquid', 'Histones/*metabolism', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/genetics/*metabolism', 'Leukemia, Myeloid, Acute/genetics/*metabolism', '*Protein Processing, Post-Translational', 'Spectrometry, Mass, Electrospray Ionization/*methods']",2003/12/31 05:00,2004/02/18 05:00,['2003/12/31 05:00'],"['2003/12/31 05:00 [pubmed]', '2004/02/18 05:00 [medline]', '2003/12/31 05:00 [entrez]']","['S1044030503007165 [pii]', '10.1016/j.jasms.2003.10.001 [doi]']",ppublish,J Am Soc Mass Spectrom. 2004 Jan;15(1):77-86. doi: 10.1016/j.jasms.2003.10.001.,,,['1 R21 CA96323-01/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,
14698140,NLM,MEDLINE,20040914,20191108,1043-4666 (Print) 1043-4666 (Linking),25,3,2004 Feb 7,Stat3-dependent induction of interleukin-3 receptor expression in leukemia inhibitory factor-stimulated M1 mouse leukemia cells.,136-9,"M1 mouse leukemia cells differentiate to macrophages/monocytes by the stimulation of interleukin-6 (IL-6)/leukemia inhibitory factor (LIF). To identify new LIF-induced genes, we have performed representational difference analysis using M1 cells and cloned mouse interleukin-3 (IL-3) receptor beta subunit gene. The mRNA expression of both IL-3 receptor (IL-3R) alpha and beta subunits is upregulated after 1 h stimulation of LIF and remains to be elevated along the differentiation of M1 cells. This induction is almost completely suppressed in M1 cells expressing a dominant negative form of Stat3. Furthermore, we show that IL-3-induced Stat5 phosphorylation increases in LIF-stimulated M1 cells. These results suggest that Stat3 may play a role in the differentiation of myeloid cells by regulating IL-3R expression.",,"['Iwamoto, Takashi', 'Senga, Takeshi', 'Adachi, Koichi', 'Hamaguchi, Michinari']","['Iwamoto T', 'Senga T', 'Adachi K', 'Hamaguchi M']","['Radioisotope Research Center Medical Division, Nagoya University School of Medicine, 65 Tsurumai-cho, Showa-ku, Nagoya, Aichi 466-8550, Japan. iwamoto@med.nagoya-u.ac.jp']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Cytokine,Cytokine,9005353,"['0 (DNA-Binding Proteins)', '0 (Interleukin-3)', '0 (Interleukin-6)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Milk Proteins)', '0 (Protein Subunits)', '0 (Receptors, Granulocyte-Macrophage Colony-Stimulating Factor)', '0 (Receptors, Interleukin-3)', '0 (STAT3 Transcription Factor)', '0 (STAT5 Transcription Factor)', '0 (Stat3 protein, mouse)', '0 (Trans-Activators)']",IM,"['Amino Acid Substitution/genetics', 'Animals', 'Blotting, Northern', 'Bone Marrow Cells/chemistry', 'Cell Differentiation/physiology', 'Cell Line', 'Cell Line, Tumor', 'DNA-Binding Proteins/genetics/metabolism/*physiology', 'Gene Expression/drug effects', 'Gene Expression Regulation, Leukemic/*drug effects', 'Interleukin-3/pharmacology', 'Interleukin-6/*pharmacology/physiology', 'Leukemia Inhibitory Factor', 'Leukemia, Myeloid, Acute/genetics/pathology', 'Mice', '*Milk Proteins', 'Phosphorylation/drug effects', 'Point Mutation/genetics', 'Protein Subunits/genetics', 'Receptors, Granulocyte-Macrophage Colony-Stimulating Factor/genetics', 'Receptors, Interleukin-3/*genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'STAT3 Transcription Factor', 'STAT5 Transcription Factor', 'Signal Transduction/physiology', 'Trans-Activators/genetics/metabolism/*physiology']",2003/12/31 05:00,2004/09/15 05:00,['2003/12/31 05:00'],"['2003/12/31 05:00 [pubmed]', '2004/09/15 05:00 [medline]', '2003/12/31 05:00 [entrez]']","['S1043466603003880 [pii]', '10.1016/j.cyto.2003.10.009 [doi]']",ppublish,Cytokine. 2004 Feb 7;25(3):136-9. doi: 10.1016/j.cyto.2003.10.009.,,,,,,,,,,,,,,,,,
