PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,SI,GR,PMC,RF,TT,CIN,CON,EIN,CRF,OTO,OT,PS,FPS,OID,GN,LID,ROF
8948663,NLM,MEDLINE,19970113,20071115,0361-8609 (Print) 0361-8609 (Linking),53,4,1996 Dec,Hypercalcemia in chronic lymphatic leukemia patients.,245-7,,"['Vaturi, M', 'Prokocimer, M', 'Sidi, Y']","['Vaturi M', 'Prokocimer M', 'Sidi Y']","['Department of Medicine D, Sackler School of Medicine, Tel Aviv University, Tel Hashomer, Israel.']",['eng'],['Journal Article'],United States,Am J Hematol,American journal of hematology,7610369,,IM,"['Humans', 'Hypercalcemia/epidemiology/*etiology', 'Leukemia, Lymphocytic, Chronic, B-Cell/blood/*complications', 'Retrospective Studies']",1996/12/01 00:00,2000/06/20 09:00,['1996/12/01 00:00'],"['1996/12/01 00:00 [pubmed]', '2000/06/20 09:00 [medline]', '1996/12/01 00:00 [entrez]']","['10.1002/(SICI)1096-8652(199612)53:4<245::AID-AJH7>3.0.CO;2-Y [pii]', '10.1002/(SICI)1096-8652(199612)53:4<245::AID-AJH7>3.0.CO;2-Y [doi]']",ppublish,Am J Hematol. 1996 Dec;53(4):245-7. doi: 10.1002/(SICI)1096-8652(199612)53:4<245::AID-AJH7>3.0.CO;2-Y.,,,,,,,,,,,,,,,,,
8948466,NLM,MEDLINE,19970107,20190501,0264-6021 (Print) 0264-6021 (Linking),308 ( Pt 3),,1995 Jun 15,Cofactor role for 10-formyldihydrofolic acid.,1031-6,"10-Formyl-7,8-dihydrofolic acid (10-HCO-H2folate) was prepared by controlled air oxidation of 10-formyl-5,6,7,8-tetrahydrofolic acid (10-HCO-H4folate). The UV spectra of the 10-HCO-H2folate preparation has lambda max. 234, 333 nm and lambda min. 301 nm at pH 7.4, and lambda max. 257, 328 nm and lambda min. 229, 307 nm at pH 1. 1H-NMR spectroscopy of 10-HCO-H2folate (in 2H2O; 300 MHz) suggested a pure compound and gave resonances for one formyl group proton, two protons on C-7 and C-9, and no evidence for a C-6 proton, which is consistent with the structure proposed. The spectral properties indicated that the 10-HCO-H2folate preparation is not appreciably contaminated with 10-HCO-H4folate, 5,10-methenyltetrahydrofolic acid (5,10-CH = H4folate) or 10-formylfolic acid (10-HCO-folate). The above data establish that the 10-HCO-H2folate prepared here is authentic. In contrast, a folate with a UV spectrum having lambda max. 272 nm and lambda min. 256 nm at pH 7, which was prepared by 2,6-dichloro-indophenol oxidation of 10-HCO-H4folate and reported to be 97% pure [Baram, Chabner, Drake, Fitzhugh, Sholar and Allegra (1988) J. Biol. Chem. 263, 7105-7111], is apparently not 10-HCO-H2folate. 10-HCO-H2folate is utilized by Jurkat-cell (human T-cell leukaemia) and chicken liver aminoimidazolecarboxamide ribonucleotide transformylase (AICAR T'ase; EC 2.1.2.3) in the presence of excess 5-amino-imidazole-4-carboxamide ribotide (AICAR) resulting in the appearance of approximately 1 mol of H2folate product for each mol of AICAR formylated. The present 10-HCO-H2folate preparation had a kinetic advantage over 10-HCO-H4folate resulting from a difference of approx. 5-fold in K(m) values when both folates were used as cofactors for Jurkat-cell and rat bone marrow AICAR T'ase. No substantial kinetic advantage was observed using chicken liver AICAR T'ase. 10-HCO-H2folate had little or no activity with Jurkat-cell or chicken liver glycinamide ribonucleotide transformylase (GAR T'ase, EC 2.1.2.2). The existence in vivo of 10-HCO-H2folate is suggested in mammals by several reports of detectable amounts of radiolabelled 10-HCO-folate in bile and urine after administration of radiolabelled folic acid.","['Baggott, J E', 'Johanning, G L', 'Branham, K E', 'Prince, C W', 'Morgan, S L', 'Eto, I', 'Vaughn, W H']","['Baggott JE', 'Johanning GL', 'Branham KE', 'Prince CW', 'Morgan SL', 'Eto I', 'Vaughn WH']","['Department of Nutrition Sciences, University of Alabama, Birmingham 35294, USA.']",['eng'],['Journal Article'],England,Biochem J,The Biochemical journal,2984726R,"['0 (Coenzymes)', '0 (Ribonucleotides)', '2800-34-2 (10-formyltetrahydropteroylglutamic acid)', '28459-40-7 (10-formyldihydrofolate)', '360-97-4 (Aminoimidazole Carboxamide)', '935E97BOY8 (Folic Acid)', 'EC 2.1.2.- (Hydroxymethyl and Formyl Transferases)', 'EC 2.1.2.3 (Phosphoribosylaminoimidazolecarboxamide Formyltransferase)', 'EC 2.3.- (Acyltransferases)', 'F0X88YW0YK (AICA ribonucleotide)', 'Q573I9DVLP (Leucovorin)']",IM,"['Acyltransferases/*metabolism', 'Aminoimidazole Carboxamide/analogs & derivatives/metabolism', 'Animals', 'Bone Marrow/enzymology', 'Chickens', 'Coenzymes/*chemistry/metabolism', 'Folic Acid/*analogs & derivatives/chemical synthesis/metabolism', '*Hydroxymethyl and Formyl Transferases', 'Kinetics', 'Leucovorin/analogs & derivatives/metabolism', 'Liver/enzymology', 'Magnetic Resonance Spectroscopy', 'Molecular Structure', 'Phosphoribosylaminoimidazolecarboxamide Formyltransferase', 'Rats', 'Ribonucleotides/metabolism', 'Spectrophotometry', 'Substrate Specificity', 'Tumor Cells, Cultured']",1995/06/15 00:00,1995/06/15 00:01,['1995/06/15 00:00'],"['1995/06/15 00:00 [pubmed]', '1995/06/15 00:01 [medline]', '1995/06/15 00:00 [entrez]']",['10.1042/bj3081031 [doi]'],ppublish,Biochem J. 1995 Jun 15;308 ( Pt 3):1031-6. doi: 10.1042/bj3081031.,,,PMC1136826,,,,,,,,,,,,,,
8948353,NLM,MEDLINE,19961224,20190708,0360-3016 (Print) 0360-3016 (Linking),36,3,1996 Oct 1,Low risk of perioperative infection without prophylactic antibiotics for transperineal prostate brachytherapy.,681-3,"PURPOSE: To determine the incidence of postimplant infection in patients who are not given prophylactic antibiotics (ATBs). METHODS AND MATERIALS: One hundred thirty-one patients had computerized tomography (CT)-planned transperineal 125I implantation of the prostate from 1988 through 1995. One hundred fourteen of the patients did not receive prophylactic ATBs, 19 of whom required postimplant Foley catheter drainage for 1 day or more for acute urinary retention. RESULTS: The incidence of postimplant febrile episodes within 2 weeks of surgery among the patients who had not received prophylactic ATBs was 2 of 114 (2%). One of the two patients who developed postimplantation febrile episodes was treated successfully with ATBs as an outpatient. The second patient, who had a history of chronic lymphocytic leukemia (CLL) and immune suppression, developed E. coli sepsis and required intravenous antibiotics. Of 17 patients who received prophylactic ATBs, none had a postoperative febrile episode. CONCLUSION: We continue to refrain from routinely prescribing prophylactic ATBs unless there is some compelling circumstance including rheumatic heart disease, prosthetic devices, immune compromise, or a previous history of prostatitis.","['Wallner, K', 'Roy, J', 'Harrison, L']","['Wallner K', 'Roy J', 'Harrison L']","['Department of Radiation Oncology, Memorial Sloan-Kettering Cancer Center, New York, NY, USA.']",['eng'],['Journal Article'],United States,Int J Radiat Oncol Biol Phys,"International journal of radiation oncology, biology, physics",7603616,['0 (Iodine Radioisotopes)'],IM,"['Aged', 'Aged, 80 and over', '*Antibiotic Prophylaxis', 'Brachytherapy/*adverse effects', 'Fever/*epidemiology', 'Humans', 'Incidence', 'Iodine Radioisotopes/*administration & dosage', 'Male', 'Middle Aged', 'Prostatic Neoplasms/*radiotherapy']",1996/10/01 00:00,1996/10/01 00:01,['1996/10/01 00:00'],"['1996/10/01 00:00 [pubmed]', '1996/10/01 00:01 [medline]', '1996/10/01 00:00 [entrez]']","['S0360301696002969 [pii]', '10.1016/s0360-3016(96)00296-9 [doi]']",ppublish,Int J Radiat Oncol Biol Phys. 1996 Oct 1;36(3):681-3. doi: 10.1016/s0360-3016(96)00296-9.,,,,,,,,,,,,,,,,,
8948180,NLM,MEDLINE,19961219,20071115,0305-5000 (Print) 0305-5000 (Linking),23,5,1996 Jun,Long-term effects of antineoplastic chemotherapy and radiotherapy on dental development.,188-94,"Advances in treatment protocols over the past 20 years have resulted in much improved survival rates for children with cancer. As more children survive, the emphasis has moved from ""saving children at all costs' to saving children ""at least cost to the child' and protocols are continually reviewed with this in mind. As more dental practitioners are likely to encounter children who have survived malignant disease, this paper looks at the long-term effects of treatment modalities on the dentoalveolar complex.","['Maguire, A', 'Welbury, R R']","['Maguire A', 'Welbury RR']",['University of Newcastle upon Tyne.'],['eng'],['Journal Article'],England,Dent Update,Dental update,7805969,['0 (Antineoplastic Agents)'],,"['Adolescent', 'Antineoplastic Agents/*adverse effects', 'Child', 'Child, Preschool', 'Cranial Irradiation/*adverse effects', 'Head and Neck Neoplasms/drug therapy/radiotherapy', 'Humans', 'Maxillofacial Development/drug effects/radiation effects', 'Mouth Diseases/etiology', 'Odontogenesis/*drug effects/*radiation effects', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/radiotherapy', 'Tooth Abnormalities/etiology']",1996/06/01 00:00,1996/06/01 00:01,['1996/06/01 00:00'],"['1996/06/01 00:00 [pubmed]', '1996/06/01 00:01 [medline]', '1996/06/01 00:00 [entrez]']",,ppublish,Dent Update. 1996 Jun;23(5):188-94.,,,,,,,,['Dent Update 1996 Jul-Aug;23(6):238'],,,,,,,,,
8948125,NLM,MEDLINE,19970203,20061115,1065-6995 (Print) 1065-6995 (Linking),20,9,1996 Sep,"Distinct, very high frequency oscillations in the activity and amount of active isozyme of lactate dehydrogenase in murine erythroleukaemic cells and a cell-free system.",625-33,"Electrophoretic and kinetic determinations of the activity of lactate dehydrogenase in murine erythroleukaemic (MEL) cells, sampled at 1 min intervals, reveal distinct oscillations in the activity and amount of active isozyme. Both oscillations have periods in the range of 2-6 min (probably less) and both appear to be rhythmically modulated with respect to period, amplitude and mean. The oscillations also occur in cell-free systems, a fact which throws doubt on the value of studies where it is assumed that such preparations have constant composition.","['Ferreira, G M', 'Hammond, K D', 'Gilbert, D A']","['Ferreira GM', 'Hammond KD', 'Gilbert DA']","['Department of Medical Biochemistry, Medical School, University of the Witwatersrand, Parktown, Johannesburg, South Africa.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Cell Biol Int,Cell biology international,9307129,"['0 (Isoenzymes)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)']",IM,"['Activity Cycles', 'Animals', 'Cell-Free System', 'Isoenzymes', 'Kinetics', 'L-Lactate Dehydrogenase/*metabolism', 'Leukemia, Erythroblastic, Acute/*enzymology', 'Mice', 'Tumor Cells, Cultured']",1996/09/01 00:00,1996/09/01 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1996/09/01 00:01 [medline]', '1996/09/01 00:00 [entrez]']","['S1065-6995(96)90082-7 [pii]', '10.1006/cbir.1996.0082 [doi]']",ppublish,Cell Biol Int. 1996 Sep;20(9):625-33. doi: 10.1006/cbir.1996.0082.,,,,,,,,,,,,,,,,,
8948122,NLM,MEDLINE,19970203,20061115,1065-6995 (Print) 1065-6995 (Linking),20,9,1996 Sep,Independent high-frequency oscillations in the amounts of individual isozymes of lactate dehydrogenase in HL60 cells.,607-11,"Early studies, using kinetic methods, suggested that the isozyme pattern of lactate dehydrogenase in various cells oscillated with time. More recent electrophoretic studies on murine erythroleukaemic cells (which exhibit only one isozyme) indicated very high frequency variations (period 2 min or less) in the amount of the lone active isozyme. We now show that in HL60 cells, the activity stain intensities of the two major isozyme bands both oscillate but the temporal variations are distinct. As with other cellular rhythms, each of the two periodicities seem to be modulated in cyclic fashion with respect to period, amplitude and mean levels, the periods of both the primary and modulating rhythms being of the order of 10-15 min or probably much less.","['Ferreira, G M', 'Hammond, K D', 'Gilbert, D A']","['Ferreira GM', 'Hammond KD', 'Gilbert DA']","['Department of Medical Biochemistry, Medical School, University of the Witwatersrand, Parktown, Johannesburg, South Africa.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Cell Biol Int,Cell biology international,9307129,"['0 (Isoenzymes)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)']",IM,"['Activity Cycles', 'Animals', 'HL-60 Cells', 'Humans', 'Isoenzymes', 'Kinetics', 'L-Lactate Dehydrogenase/*metabolism', 'Leukemia, Erythroblastic, Acute/enzymology', 'Mice', 'Tumor Cells, Cultured']",1996/09/01 00:00,1996/09/01 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1996/09/01 00:01 [medline]', '1996/09/01 00:00 [entrez]']","['S1065-6995(96)90079-7 [pii]', '10.1006/cbir.1996.0079 [doi]']",ppublish,Cell Biol Int. 1996 Sep;20(9):607-11. doi: 10.1006/cbir.1996.0079.,,,,,,,,,,,,,,,,,
8948121,NLM,MEDLINE,19970203,20151119,1065-6995 (Print) 1065-6995 (Linking),20,9,1996 Sep,High frequency oscillations in the activity of phosphotyrosine phosphatase in murine erythroleukaemic cells: action of insulin and hexamethylene bisacetamide.,599-605,"We have previously reported oscillations in the activities of the phosphoamino acid phosphatases in murine erythroleukaemic cells. In keeping with our predictions we now show that the phosphotyrosine phosphatase activity rhythm has a much shorter period than originally seemed the case, being of the order of 10 min and probably less. The periodic changes show evidence of rhythmic modulation of mean, period and amplitude as with all other cellular oscillations studied. Insulin decreases the frequency of the rhythm while the inducer of differentiation, hexamethylene bisacetamide (HMBA) decreases its amplitude. Current ideas on phosphorylation dynamics in relation to metabolism and mitosis may need to be revised in the light of the observations.","['Ferreira, G M', 'Wolfle, H', 'Hammond, K D', 'Gilbert, D A']","['Ferreira GM', 'Wolfle H', 'Hammond KD', 'Gilbert DA']","['Department of Medical Biochemistry, Medical School, University of the Witwatersrand, Parktown, Johannesburg, South Africa.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Cell Biol Int,Cell biology international,9307129,"['0 (Acetamides)', '0 (Insulin)', 'EC 3.1.3.48 (Protein Tyrosine Phosphatases)', 'LA133J59VU (hexamethylene bisacetamide)']",IM,"['Acetamides/*pharmacology', 'Activity Cycles', 'Animals', 'Cell Differentiation/drug effects', 'Insulin/*pharmacology', 'Kinetics', 'Leukemia, Erythroblastic, Acute/*enzymology/pathology', 'Mice', 'Mitosis/drug effects', 'Protein Tyrosine Phosphatases/*metabolism', 'Tumor Cells, Cultured']",1996/09/01 00:00,1996/09/01 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1996/09/01 00:01 [medline]', '1996/09/01 00:00 [entrez]']","['S1065-6995(96)90078-5 [pii]', '10.1006/cbir.1996.0078 [doi]']",ppublish,Cell Biol Int. 1996 Sep;20(9):599-605. doi: 10.1006/cbir.1996.0078.,,,,,,,,,,,,,,,,,
8948030,NLM,MEDLINE,19970303,20161124,1066-5099 (Print) 1066-5099 (Linking),14,6,1996 Nov,"Hydroquinone, a bioreactive metabolite of benzene, inhibits apoptosis in myeloblasts.",730-42,"Hydroquinone (a major marrow metabolite of the leukemogen, benzene) induces incomplete granulocytic differentiation of mouse myeloblasts to the myelocyte stage, and also causes an increase in the number of myelocytes. This was confirmed using the normal interleukin 3 (IL-3)-dependent mouse myeloblastic 32D cell line. The hydroquinone-induced twofold increase in the number of IL-3-treated myelocytes does not result from stimulation of IL-3-induced proliferation. Hydroquinone's ability to effect this increase through an inhibition of apoptosis was investigated using mouse 32D and human HL-60 myeloblasts. Apoptosis induced by staurosporine treatment (0.5-1.0 microM) of HL-60 cells (50%) and 32D cells (15%) or by IL-3 withdrawal from 32D myeloblasts was determined by monitoring the development of characteristic morphological features and confirmed by the appearance of a typical nucleosomal DNA ladder upon agarose gel electrophoresis. Concentrations of hydroquinone (1-6 microM) that induce differentiation in 32D myeloblasts caused a concentration-dependent inhibition of staurosporine-induced apoptosis in both cell lines, with a 50% inhibitory concentration of 3 microM, and prevented apoptosis in IL-3-deprived 32D cells. Hydroquinone inhibition of apoptosis in myeloblasts, like hydroquinone-induced granulocytic differentiation, required myeloperoxidase-mediated oxidation of hydroquinone to its reactive species, p-benzoquinone, and was inhibited 50% by the peroxidase inhibitor, indomethacin (20 microM). p-benzoquinone (3 microM) was shown to cause a 50% inhibition of CPP32, an IL-1 beta-converting enzyme/Ced-3 cysteine protease involved in the implementation of apoptosis and present in myeloid cells. The ability of hydroquinone to induce a program of differentiation in the myeloblast that proceeds only to the myelocyte stage coupled with its ability to inhibit the CPP32 protease and, thereby, apoptosis of the proliferating myelocytes, may have important implications for benzene-induced acute myeloid leukemia.","['Hazel, B A', 'Baum, C', 'Kalf, G F']","['Hazel BA', 'Baum C', 'Kalf GF']","['Department of Biochemistry and Molecular Pharmacology, Jefferson Medical College, Thomas Jefferson University, Philadelphia, Pennsylvania 19107, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Stem Cells,"Stem cells (Dayton, Ohio)",9304532,"['0 (Hydroquinones)', '0 (Interleukin-3)', '0 (Mutagens)', '0 (Radiation-Sensitizing Agents)', 'EC 3.4.22.- (Cysteine Endopeptidases)', 'H88EPA0A3N (Staurosporine)', 'XV74C1N1AE (hydroquinone)', 'XXE1CET956 (Indomethacin)']",IM,"['Animals', 'Apoptosis/*drug effects', 'Cell Division/drug effects', 'Cell Survival/drug effects', 'Cysteine Endopeptidases/metabolism', 'DNA Fragmentation', 'Dose-Response Relationship, Drug', 'HL-60 Cells', 'Humans', 'Hydroquinones/*pharmacology', 'Indomethacin/pharmacology', 'Interleukin-3/pharmacology', 'Mice', 'Mutagens/*pharmacology', 'Radiation-Sensitizing Agents/*pharmacology', 'Staurosporine/*pharmacology']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']",['10.1002/stem.140730 [doi]'],ppublish,Stem Cells. 1996 Nov;14(6):730-42. doi: 10.1002/stem.140730.,,,,,,,,,,,,,,,,,
8948029,NLM,MEDLINE,19970303,20041117,1066-5099 (Print) 1066-5099 (Linking),14,6,1996 Nov,Mutations and expression of the ras family genes in leukemias.,725-9,"The levels of expression and the incidence of codon 12 point mutations of the ras family genes were studied in 18 cases of leukemia, seven with acute myeloblastic leukemia (AML), three with acute lymphoblastic leukemia (ALL), four cases with chronic myelogenic leukemia (CML) and four cases with chronic lymphocytic leukemia (CLL). Elevated expression of the ras genes was found for 39%, 61% and 67% of the specimens for the H-ras, K-ras and N-ras, respectively. A trend was found between the overexpression of the N-ras gene and the acute leukemias: all 10 acute leukemias exhibited overexpression of the N-ras gene, while only two of the CML cases, both in blastic crisis, showed elevated levels of the N-ras gene. Codon 12 point mutations at the N-ras gene were found in two of seven cases (28%) with AML and one of four cases (25%) with CML. The only K-ras codon 12 point mutation was found in a patient with CLL. No mutations were found in the codon 12 of H-ras. Our data suggest that apart from the point mutations, overexpression of the ras family genes is important in the development of the disease.","['Gougopoulou, D M', 'Kiaris, H', 'Ergazaki, M', 'Anagnostopoulos, N I', 'Grigoraki, V', 'Spandidos, D A']","['Gougopoulou DM', 'Kiaris H', 'Ergazaki M', 'Anagnostopoulos NI', 'Grigoraki V', 'Spandidos DA']","['Institute of Biological Research and Biotechnology, National Hellenic Research Foundation, Athens, Greece.']",['eng'],['Journal Article'],United States,Stem Cells,"Stem cells (Dayton, Ohio)",9304532,['0 (Codon)'],IM,"['Codon/chemistry', 'Gene Expression Regulation', 'Genes, ras/*genetics', 'Humans', 'Leukemia/*genetics', '*Mutagenesis', 'Point Mutation', 'Polymerase Chain Reaction']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']",['10.1002/stem.140725 [doi]'],ppublish,Stem Cells. 1996 Nov;14(6):725-9. doi: 10.1002/stem.140725.,,,,,,,,,,,,,,,,,
8948026,NLM,MEDLINE,19970303,20071115,1066-5099 (Print) 1066-5099 (Linking),14,6,1996 Nov,Juvenile chronic myelogenous leukemia multilineage CD34+ cells: aberrant growth and differentiation properties.,690-701,"Juvenile chronic myelogenous leukemia (JCML) is a hematologic malignancy of monocyte-macrophage lineage in which leukemic progression is mediated in an autocrine manner by tumor necrosis factor (TNF-alpha), GM-CSF and possibly other growth factors. Cytogenetic data showing involvement of both erythroid and monocyte-macrophage lineages in the JCML leukemic clone, as well as an observed episode of B-lineage lymphoid blast crisis in JCML, has strengthened the thesis for a lympho-hematopoietic pluripotent stem cell origin for the disorder. To study this further, JCML CD34+ cells from bone marrow (BM) or spleen from six newly diagnosed patients were isolated and cultured in clonogenic assays with combinations of recombinant cytokines. Compared to control CD34+ cells, JCML cells from all patients showed an aberrant growth pattern restricted almost exclusively to the monocyte-macrophage lineage. Most of the clonogenic activity was seen in a subsorted population of CD34+, HLA-Dr- cells. Additionally, an exaggerated growth response to minute doses of GM-CSF that had no effect on control cells was observed with JCML CD34+ cells. Recloning (""self-renewal"") of JCML CD34+ cells was also strongly promoted by GM-CSF. JCML colonies also formed spontaneously in the absence of exogenous cytokines but were augmented by GM-CSF, interleukin 1 and TNF-alpha, the latter feature not seen with control CD34+ cells from normal BM. The abnormal spontaneous growth pattern of CD34+ JCML cells could be suppressed directly in vitro by anti-TNF-alpha antibodies and anti-GM-CSF antibodies alone or in combination, and by soluble TNF-alpha receptors (sTNF-R:Fc), consistent with the notion that JCML CD34+ cells are stimulated by both cytokines in an autocrine manner. In malignant CD34+ cells from one patient, the cytogenetic marker monosomy 7 proved leukemic involvement of monocyte-macrophage, erythroid and B-lymphoid lineages. We conclude that CD34+ JCML cells of multilineage potential exhibit excessive and aberrant monocyte-macrophage colony formation, a property that was previously observed in JCML progenitors found in light density cell fractions. Thus, within the CD34+ cellular compartment is a subpopulation of JCML ""stem"" cells that accounts for the abnormal leukemic proliferative activity in this disease.","['Freedman, M H', 'Hitzler, J K', 'Bunin, N', 'Grunberger, T', 'Squire, J']","['Freedman MH', 'Hitzler JK', 'Bunin N', 'Grunberger T', 'Squire J']","['Department of Pediatrics, Hospital for Sick Children, University of Toronto, Ontario, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Stem Cells,"Stem cells (Dayton, Ohio)",9304532,"['0 (Antigens, CD34)', '0 (Interleukin-3)', '0 (Tumor Necrosis Factor-alpha)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Adult', 'Antigens, CD34/*chemistry', 'Bone Marrow Cells', 'Cell Adhesion/drug effects', 'Child, Preschool', 'Clone Cells/drug effects', 'Granulocyte-Macrophage Colony-Stimulating Factor/pharmacology', 'Humans', 'Interleukin-3/pharmacology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*blood', 'Male', 'Spleen/cytology', 'Stem Cells/chemistry/drug effects', 'Tumor Necrosis Factor-alpha/pharmacology']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']",['10.1002/stem.140690 [doi]'],ppublish,Stem Cells. 1996 Nov;14(6):690-701. doi: 10.1002/stem.140690.,,,,,,,,,,,,,,,,,
8947912,NLM,MEDLINE,19970227,20191101,1357-4310 (Print) 1357-4310 (Linking),2,11,1996 Nov,Juvenile myelomonocytic leukemia: molecular understanding and prospects for therapy.,468-75,"Juvenile myelomonocytic leukemia is a rare but deadly myeloproliferative disorder of early childhood that infrequently progresses to acute leukemia. The pathogenesis of this leukemia has been linked to deregulated signal transduction, resulting in growth factor hypersensitivity. Several other myeloproliferative disorders appear to share growth factor hypersensitivity as a common pathophysiological mechanism and thus this leukemia serves as an important model. New treatment modalities, such as retinoid therapy, are emerging for juvenile myelomonocytic leukemia. Further understanding of deregulated signal transduction should pave the way for even more rationally designed therapy for this leukemia and related disorders.","['Emanuel, P D', 'Shannon, K M', 'Castleberry, R P']","['Emanuel PD', 'Shannon KM', 'Castleberry RP']","['Department of Medicine, University of Alabama at Birmingham 35294-3300, USA. peter.emanuel@ccc.uab.edu']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",England,Mol Med Today,Molecular medicine today,9508560,"['0 (Neurofibromin 1)', '0 (Proteins)', 'EC 3.6.5.2 (ras Proteins)']",IM,"['Forecasting', 'Humans', 'Hypersensitivity', 'Leukemia, Myelomonocytic, Chronic/*metabolism/therapy', 'Neurofibromin 1', 'Proteins/metabolism', 'Signal Transduction/*physiology', 'Syndrome', 'ras Proteins/metabolism']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']","['1357-4310(96)10044-7 [pii]', '10.1016/1357-4310(96)10044-7 [doi]']",ppublish,Mol Med Today. 1996 Nov;2(11):468-75. doi: 10.1016/1357-4310(96)10044-7.,,"['CA25408/CA/NCI NIH HHS/United States', 'CA60407/CA/NCI NIH HHS/United States', 'DK07636/DK/NIDDK NIH HHS/United States', 'etc.']",,40,,,,,,,,,,,,,
8947591,NLM,MEDLINE,19961226,20200423,0145-2126 (Print) 0145-2126 (Linking),20,9,1996 Sep,Adhesion molecules in acute myeloid leukemia.,795-8,"That adhesion molecules play a major role in the regulation of normal hematopoiesis is suggested by the abundance of these molecules present on early bone marrow progenitor cells and their differential pattern of expression at discrete stages of differentiation along the various cell lineages. In particular, precursor cell matrix/endothelial interactions determine retainment or release of hematopoietic cells from the bone marrow microenvironment. Consequently, changes in the affinity or quantitative expression of adhesion molecules on either the bone marrow stroma or the blood cell precursor component-during normal development or due to activation or a malignant process-will affect cell attachment. Adhesion molecules, therefore, are modulator molecules which alter the biological behavior of normal or leukemic hematopoietic cells, primarily in terms of migration and localization properties, although they also participate in many other cell functions such as cytotoxicity, antigen presentation and binding of viruses or cancer cells. Several membrane-bound adhesion molecules and, in some instances, their soluble counterparts which may be biologically active, have been described in acute myeloid leukemia. The potential diagnostic or physiological significance of leukocyte antigens with adhesive properties will be addressed in this comment.","['Paietta, E']",['Paietta E'],"['Montefiore and Albert Einstein Cancer Center, New York, NY 10467, USA.']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,['0 (Cell Adhesion Molecules)'],IM,"['Acute Disease', 'Cell Adhesion Molecules/*metabolism', 'Cell Differentiation', 'Hematopoiesis', 'Humans', 'Immunophenotyping', 'Leukemia, Myeloid/diagnosis/*metabolism/pathology']",1996/09/01 00:00,1996/09/01 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1996/09/01 00:01 [medline]', '1996/09/01 00:00 [entrez]']","['0145-2126(95)00150-6 [pii]', '10.1016/0145-2126(95)00150-6 [doi]']",ppublish,Leuk Res. 1996 Sep;20(9):795-8. doi: 10.1016/0145-2126(95)00150-6.,,,PMC7173254,,,,,,,,,,,,,,
