PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,AB,PMC,RF,CIN,GR,PS,FPS
4414121,NLM,MEDLINE,19741216,20190511,0002-9173 (Print) 0002-9173 (Linking),62,4,1974 Oct,Letter: Aspergillus myocarditis.,574,"['Wertlake, P T']",['Wertlake PT'],['eng'],['Journal Article'],England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['*Aspergillosis', 'Humans', 'Leukemia/*complications', 'Myocarditis/*etiology']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",['10.1093/ajcp/62.4.574 [doi]'],ppublish,Am J Clin Pathol. 1974 Oct;62(4):574. doi: 10.1093/ajcp/62.4.574.,,,,,,,,
4413982,NLM,MEDLINE,19741219,20041117,0300-158X (Print) 0300-158X (Linking),25,1,1974,"Investigations on serum antibodies to a virus (3035 LB) isolated from the plasma of a leukemic cow, in milkers, cows with leukosis and apparently healthy cows.",53-9,"['Nastac, E', 'Stoian, M', 'Athanasiu, P', 'Hozoc, M']","['Nastac E', 'Stoian M', 'Athanasiu P', 'Hozoc M']",['eng'],['Journal Article'],Romania,Rev Roum Virol,Revue roumaine de virologie,7605718,['0 (Antibodies)'],IM,"[""Agricultural Workers' Diseases"", 'Animals', 'Antibodies/*analysis', 'Cattle', 'Cattle Diseases/*immunology', 'Humans', 'Leukemia/immunology/urine/*veterinary', 'Retroviridae/*immunology', 'Zoonoses']",1974/01/01 00:00,2000/06/07 09:00,['1974/01/01 00:00'],"['1974/01/01 00:00 [pubmed]', '2000/06/07 09:00 [medline]', '1974/01/01 00:00 [entrez]']",,ppublish,Rev Roum Virol. 1974;25(1):53-9.,,,,,,,,
4413876,NLM,MEDLINE,19741219,20190515,0007-0920 (Print) 0007-0920 (Linking),30,1,1974 Jul,"Influence of DEAE-dextran, polybrene, dextran and dextran sulphate on spontaneous leukaemia development in AKR mice and virus induced leukaemia in BALB-c mice.",68-72,"['Ebbesen, P']",['Ebbesen P'],['eng'],['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,"['0 (Dextrans)', '0 (Hydrocarbons, Brominated)', '0 (Polyamines)', '0 (Polymers)']",IM,"['Animals', 'Dextrans/*therapeutic use/toxicity', 'Electrophoresis', 'Hydrocarbons, Brominated/therapeutic use', 'Leukemia, Experimental/chemically induced/*prevention & control', 'Leukemia, Lymphoid/*prevention & control', 'Leukocytes', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred BALB C', 'Polyamines/*therapeutic use', 'Polymers/therapeutic use', 'Rauscher Virus']",1974/07/01 00:00,1974/07/01 00:01,['1974/07/01 00:00'],"['1974/07/01 00:00 [pubmed]', '1974/07/01 00:01 [medline]', '1974/07/01 00:00 [entrez]']",['10.1038/bjc.1974.114 [doi]'],ppublish,Br J Cancer. 1974 Jul;30(1):68-72. doi: 10.1038/bjc.1974.114.,,"AKR mice of which more than 90% die of lymphatic thymus leukaemia, had their mean survival time increased by weekly intraperitoneal inoculation of either of the two polycations DEAE-dextran and polybrene. Administration of the neutral dextran had no effect, whereas the polyanion dextran sulphate accelerated leukaemia development.Adult BALB/c mice infected with Rauscher leukaemia virus and treated from the time of palpable spleen enlargement, showed a life prolonging effect of the polycations DEAE/dextran and polybrene, and of neutral dextran. BALB/c mice treated from the time of leukaemia infection, however, showed a life prolonging effect with polyanion dextran sulphate and also of neutral dextran.",PMC2009190,,,,,
4413847,NLM,MEDLINE,19741210,20131121,0022-1767 (Print) 0022-1767 (Linking),113,3,1974 Sep,Induction of lymphocyte-mediated cytotoxicity against allogeneic tumor cells by concanavalin A in vivo.,870-5,"['Anaclerio, A', 'Waterfield, J D', 'Moller, G']","['Anaclerio A', 'Waterfield JD', 'Moller G']",['eng'],['Journal Article'],United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Iodine Radioisotopes)', '10028-17-8 (Tritium)', '11028-71-0 (Concanavalin A)', '9007-49-2 (DNA)', 'LGP81V5245 (Idoxuridine)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Binding Sites, Antibody', 'Cell Division/drug effects', 'Cell Membrane/immunology', 'Concanavalin A/*pharmacology', 'Cytotoxicity Tests, Immunologic', 'DNA/biosynthesis', 'Female', 'Idoxuridine/metabolism', 'Immunity, Cellular/*drug effects', 'Iodine Radioisotopes', 'Leukemia, Experimental/*immunology', 'Lymphocyte Activation/drug effects', 'Lymphocytes/*immunology', 'Male', 'Mice', 'Mice, Inbred CBA', 'Spleen/cytology', 'Thymidine/metabolism', 'Time Factors', 'Tritium']",1974/09/01 00:00,1974/09/01 00:01,['1974/09/01 00:00'],"['1974/09/01 00:00 [pubmed]', '1974/09/01 00:01 [medline]', '1974/09/01 00:00 [entrez]']",,ppublish,J Immunol. 1974 Sep;113(3):870-5.,,,,,,,,
4413831,NLM,MEDLINE,19741220,20210216,0006-4971 (Print) 0006-4971 (Linking),44,4,1974 Oct,Increased efficiency of leukocyte collection by the addition of hydroxyethyl starch to the continuous flow centrifuge.,571-81,"['Mishler, J M', 'Hadlock, D C', 'Fortuny, I E', 'Nicora, R W', 'McCullough, J J']","['Mishler JM', 'Hadlock DC', 'Fortuny IE', 'Nicora RW', 'McCullough JJ']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,"['3K9958V90M (Ethanol)', '9005-25-8 (Starch)', 'EC 2.6.1.2 (Alanine Transaminase)', 'EC 3.1.3.1 (Alkaline Phosphatase)', 'RFM9X3LJ49 (Bilirubin)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Alanine Transaminase/blood', 'Alkaline Phosphatase/blood', 'Bilirubin/blood', 'Blood Bactericidal Activity', 'Blood Coagulation/drug effects', 'Blood Coagulation Tests', 'Blood Donors', 'Blood Transfusion', 'Cell Separation/methods', 'Daunorubicin/adverse effects/therapeutic use', 'Ethanol/analogs & derivatives/pharmacology', 'Humans', 'Leukemia/drug therapy', '*Leukocytes/immunology', 'Leukopenia/chemically induced/therapy', 'Liver Function Tests', 'Plasmapheresis/methods', 'Starch/*analogs & derivatives/pharmacology']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",['S0006-4971(20)71801-X [pii]'],ppublish,Blood. 1974 Oct;44(4):571-81.,,,,,,,,
4413670,NLM,MEDLINE,19741210,20190702,0038-4348 (Print) 0038-4348 (Linking),67,10,1974 Oct,Herpes zoster with motor paresis.,1171-4,"['Goodman, C E', 'Kenrick, M M']","['Goodman CE', 'Kenrick MM']",['eng'],['Journal Article'],United States,South Med J,Southern medical journal,0404522,,IM,"['Aged', 'Diagnosis, Differential', 'Electromyography', 'Female', 'Herpes Zoster/*complications/diagnosis', 'Humans', 'Leukemia, Lymphoid/complications', 'Male', 'Middle Aged', '*Motor Neurons', 'Neuromuscular Diseases/diagnosis/*etiology/physiopathology/therapy', 'Osteoarthritis/diagnosis', 'Paralysis/diagnosis/*etiology/physiopathology/therapy']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",['10.1097/00007611-197410000-00009 [doi]'],ppublish,South Med J. 1974 Oct;67(10):1171-4. doi: 10.1097/00007611-197410000-00009.,,,,,,,,
4413384,NLM,MEDLINE,19741212,20131121,0008-5472 (Print) 0008-5472 (Linking),34,10,1974 Oct,Experimental studies on the antitumor effect of ethidium bromide and related substances.,2699-703,"['Nishiwaki, H', 'Miura, M', 'Imai, K', 'Ono, R', 'Kawashima, K']","['Nishiwaki H', 'Miura M', 'Imai K', 'Ono R', 'Kawashima K']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antineoplastic Agents)', 'EN464416SI (Ethidium)']",IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Carcinoma 256, Walker/drug therapy', 'Cells, Cultured/drug effects', 'Ethidium/*analogs & derivatives/*therapeutic use/toxicity', 'Female', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/*drug therapy', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred CBA', 'Mice, Inbred DBA']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1974 Oct;34(10):2699-703.,,,,,,,,
4413314,NLM,MEDLINE,19741219,20191210,0025-6196 (Print) 0025-6196 (Linking),49,9,1974 Sep,Evaluation of patients with increased fibrinolytic split products (FSP) in their serum.,654-7,"['Cooper, H A', 'Bowie, E J', 'Owen, C A Jr']","['Cooper HA', 'Bowie EJ', 'Owen CA Jr']",['eng'],['Journal Article'],England,Mayo Clin Proc,Mayo Clinic proceedings,0405543,"['0 (Blood Coagulation Factors)', '9001-32-5 (Fibrinogen)', 'EC 3.4.21.5 (Thrombin)']",IM,"['Adolescent', 'Adult', 'Aged', 'Blood Cell Count', 'Blood Coagulation Factors/*analysis', 'Blood Coagulation Tests', 'Blood Platelets', 'Child', 'Collagen Diseases/blood', 'Disseminated Intravascular Coagulation/*blood/classification', 'Female', 'Fibrinogen/analysis', '*Fibrinolysis', 'Humans', 'Infections/blood', 'Kidney Diseases/blood', 'Leukemia/blood', 'Male', 'Middle Aged', 'Neoplasms/blood', 'Prothrombin Time', 'Thrombin/analysis', 'Vascular Diseases/blood']",1974/09/01 00:00,2001/03/28 10:01,['1974/09/01 00:00'],"['1974/09/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1974/09/01 00:00 [entrez]']",,ppublish,Mayo Clin Proc. 1974 Sep;49(9):654-7.,,,,,,,,
4413062,NLM,MEDLINE,19741212,20171116,0008-5472 (Print) 0008-5472 (Linking),34,10,1974 Oct,Effect of in vivo treatment with L-asparaginase on the in vitro uptake and phosphorylation of some antileukemic agents.,2689-93,"['Nahas, A', 'Capizzi, R L']","['Nahas A', 'Capizzi RL']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antimetabolites)', '04079A1RDZ (Cytarabine)', 'E7WED276I5 (Mercaptopurine)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'EC 3.5.1.1 (Asparaginase)', 'GMW67QNF9C (Leucine)', 'U3P01618RT (Fluorouracil)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Antimetabolites/*metabolism', 'Asparaginase/*pharmacology', 'Biological Transport/drug effects', 'Cytarabine/metabolism', 'Dose-Response Relationship, Drug', 'Fluorouracil/metabolism', 'Leucine/analogs & derivatives/metabolism', 'Leukemia, Experimental/enzymology/*metabolism', 'Male', 'Mercaptopurine/metabolism', 'Methotrexate/metabolism', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred DBA', 'Oxidative Phosphorylation/drug effects', 'Tetrahydrofolate Dehydrogenase/metabolism', 'Time Factors']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1974 Oct;34(10):2689-93.,,,,,,,,
4412692,NLM,MEDLINE,19741206,20190709,0022-2623 (Print) 0022-2623 (Linking),17,9,1974 Sep,Cycloserine carbamates.,1033-5,"['Weaver, J D', 'Busch, N F', 'Stammer, C H']","['Weaver JD', 'Busch NF', 'Stammer CH']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Carbamates)', '95IK5KI84Z (Cycloserine)']",IM,"['Animals', 'Carbamates/*chemical synthesis/therapeutic use', 'Carcinoma', 'Cell Line', 'Chromatography, Thin Layer', 'Cycloserine/*analogs & derivatives/chemical synthesis/therapeutic use', 'Leukemia L1210/drug therapy', 'Lymphoma', 'Magnetic Resonance Spectroscopy', 'Methods', 'Mice', 'Mouth Neoplasms', 'Optical Rotation', 'Spectrophotometry, Infrared']",1974/09/01 00:00,1974/09/01 00:01,['1974/09/01 00:00'],"['1974/09/01 00:00 [pubmed]', '1974/09/01 00:01 [medline]', '1974/09/01 00:00 [entrez]']",['10.1021/jm00255a034 [doi]'],ppublish,J Med Chem. 1974 Sep;17(9):1033-5. doi: 10.1021/jm00255a034.,,,,,,,,
4412057,NLM,MEDLINE,19741206,20190709,0022-2623 (Print) 0022-2623 (Linking),17,9,1974 Sep,Antineoplastic agents. 34. Helenium autumnale L.,1013-6,"['Pettit, G R', 'Budzinski, J C', 'Cragg, G M', 'Brown, P', 'Johnston, L D']","['Pettit GR', 'Budzinski JC', 'Cragg GM', 'Brown P', 'Johnston LD']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antineoplastic Agents)', '0 (Lactones)', '0 (Sesquiterpenes)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)']",IM,"['Animals', 'Antineoplastic Agents/*isolation & purification/therapeutic use', 'Carcinoma', 'Carcinoma 256, Walker/drug therapy', 'Cell Line', 'Humans', 'L-Lactate Dehydrogenase/blood', 'Lactones/isolation & purification/therapeutic use', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/drug therapy', 'Lymphoma', 'Melanoma/drug therapy', 'Mice', 'Mouth Neoplasms', 'Neoplasms, Experimental/drug therapy', 'Plants/*analysis', 'Sesquiterpenes/*isolation & purification/therapeutic use']",1974/09/01 00:00,1974/09/01 00:01,['1974/09/01 00:00'],"['1974/09/01 00:00 [pubmed]', '1974/09/01 00:01 [medline]', '1974/09/01 00:00 [entrez]']",['10.1021/jm00255a024 [doi]'],ppublish,J Med Chem. 1974 Sep;17(9):1013-6. doi: 10.1021/jm00255a024.,,,,,,,,
4412000,NLM,MEDLINE,19741219,20190709,0022-2623 (Print) 0022-2623 (Linking),17,11,1974 Nov,Analogs of 5'-deoxy-5'-(methylthio)adenosine.,1197-207,"['Montgomery, J A', 'Shortnacy, A T', 'Thomas, H J']","['Montgomery JA', 'Shortnacy AT', 'Thomas HJ']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antineoplastic Agents)', '0 (Sulfides)', 'K72T3FS567 (Adenosine)']",IM,"['Adenosine/*analogs & derivatives/chemical synthesis/therapeutic use', 'Animals', 'Antineoplastic Agents/*chemical synthesis/therapeutic use', 'Carcinoma', 'Carcinoma, Squamous Cell', 'Cell Line', 'Humans', 'Laryngeal Neoplasms', 'Leukemia L1210/drug therapy', 'Mice', 'Mouth Neoplasms', 'Structure-Activity Relationship', 'Sulfides/chemical synthesis/therapeutic use']",1974/11/01 00:00,1974/11/01 00:01,['1974/11/01 00:00'],"['1974/11/01 00:00 [pubmed]', '1974/11/01 00:01 [medline]', '1974/11/01 00:00 [entrez]']",['10.1021/jm00257a014 [doi]'],ppublish,J Med Chem. 1974 Nov;17(11):1197-207. doi: 10.1021/jm00257a014.,,,,,,,,
4411685,NLM,MEDLINE,19741216,20131121,0009-3378 (Print) 0009-3378 (Linking),7,2,1974 Mar,A new antigen in leukemia L1210 subline (resistant to methylglyoxal-bis-guanylhydrazone).,126-34,"['Kitano, M']",['Kitano M'],['eng'],['Journal Article'],Japan,Bull Chest Dis Res Inst Kyoto Univ,"Bulletin of the Chest Disease Research Institute, Kyoto University",7505372,"['0 (Aldehydes)', '0 (Amidines)', '0 (Antigens, Neoplasm)', '0 (Hydrazones)', '0 (Immunoglobulin G)', '0 (Iodine Radioisotopes)', '50NP6JJ975 (Glyoxal)']",IM,"['Aldehydes/*pharmacology', 'Amidines/*pharmacology', 'Animals', 'Antigens, Neoplasm/*analysis', 'Cells, Cultured', 'Drug Resistance', 'Female', 'Glyoxal/*pharmacology', 'Hydrazones/pharmacology', 'Immunoglobulin G/analysis', 'Iodine Radioisotopes', 'Leukemia L1210/*immunology', 'Mice']",1974/03/01 00:00,1974/03/01 00:01,['1974/03/01 00:00'],"['1974/03/01 00:00 [pubmed]', '1974/03/01 00:01 [medline]', '1974/03/01 00:00 [entrez]']",,ppublish,Bull Chest Dis Res Inst Kyoto Univ. 1974 Mar;7(2):126-34.,,,,,,,,
4411499,NLM,MEDLINE,19741216,20140729,,122,8,1974 Aug,[Vinblastin treatment in childhood malignancies (author's transl)].,711-4,"['Virag, I', 'Boda, D', 'Altorjay, I', 'Praefort, L']","['Virag I', 'Boda D', 'Altorjay I', 'Praefort L']",['ger'],"['English Abstract', 'Journal Article']",Germany,Monatsschr Kinderheilkd,Monatsschrift fur Kinderheilkunde,0400751,['5V9KLZ54CY (Vinblastine)'],IM,"['Acute Disease', 'Age Factors', 'Child', 'Child, Preschool', 'Hodgkin Disease/drug therapy', 'Humans', 'Infant', 'Leukemia/drug therapy', 'Lymphoma/drug therapy', 'Neoplasms/*drug therapy', 'Remission, Spontaneous', 'Vinblastine/adverse effects/*therapeutic use']",1974/08/01 00:00,1974/08/01 00:01,['1974/08/01 00:00'],"['1974/08/01 00:00 [pubmed]', '1974/08/01 00:01 [medline]', '1974/08/01 00:00 [entrez]']",,ppublish,Monatsschr Kinderheilkd. 1974 Aug;122(8):711-4.,Die Vinblastin-Behandlung der malignen Krankheiten des Kindesalters,,,,,,,
4411293,NLM,MEDLINE,19741219,20041117,0042-8825 (Print) 0042-8825 (Linking),19,8,1974 Aug,[Total disorder of the central nervous system in acute leukemia in children].,74-7,"['Chizhova, Z P', 'Skvortsov, I A', 'Zhukova, E K']","['Chizhova ZP', 'Skvortsov IA', 'Zhukova EK']",['rus'],"['Case Reports', 'Journal Article']",Russia (Federation),Vopr Okhr Materin Det,Voprosy okhrany materinstva i detstva,0416600,,IM,"['Acute Disease', 'Brain Diseases/*diagnosis/etiology/pathology', 'Child', 'Humans', 'Leukemia/*complications/pathology', 'Male']",1974/08/01 00:00,1974/08/01 00:01,['1974/08/01 00:00'],"['1974/08/01 00:00 [pubmed]', '1974/08/01 00:01 [medline]', '1974/08/01 00:00 [entrez]']",,ppublish,Vopr Okhr Materin Det. 1974 Aug;19(8):74-7.,O total'nom porazhenii tsentral'noi nervnoi sistemy pri ostrom leikoze u detei,,,,,,,
4410938,NLM,MEDLINE,19741216,20061115,0017-7768 (Print) 0017-7768 (Linking),86,12,1974 Jun 16,[Staging of Hodgkin's disease: Laparotomy and splenectomy. Leukemia-Lymphoma Group of Kupat Holim Hospitals].,590-3,,,['heb'],"['English Abstract', 'Journal Article']",Israel,Harefuah,Harefuah,0034351,,IM,"['Adolescent', 'Adult', 'Child', 'Female', 'Hodgkin Disease/*pathology/surgery', 'Humans', 'Laparotomy', 'Male', 'Middle Aged', 'Prognosis', '*Splenectomy']",1974/06/16 00:00,1974/06/16 00:01,['1974/06/16 00:00'],"['1974/06/16 00:00 [pubmed]', '1974/06/16 00:01 [medline]', '1974/06/16 00:00 [entrez]']",,ppublish,Harefuah. 1974 Jun 16;86(12):590-3.,,,,,,,,
4410789,NLM,MEDLINE,19741218,20160523,0031-403X (Print) 0031-403X (Linking),0,8,1974 Aug,[Rheography of the liver in the dynamics of leukemic process].,20-3,"['Podgalo, D A']",['Podgalo DA'],['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Pediatriia,Pediatriia,0405563,,IM,"['Acute Disease', 'Adolescent', 'Child', 'Child, Preschool', 'Humans', 'Leukemia/*physiopathology', '*Liver Circulation', 'Plethysmography, Impedance']",1974/08/01 00:00,1974/08/01 00:01,['1974/08/01 00:00'],"['1974/08/01 00:00 [pubmed]', '1974/08/01 00:01 [medline]', '1974/08/01 00:00 [entrez]']",,ppublish,Pediatriia. 1974 Aug;0(8):20-3.,Reografiia pecheni u detei v dinamike leikemicheskogo protsessa,,,,,,,
4409690,NLM,MEDLINE,19741217,20111117,0023-7205 (Print) 0023-7205 (Linking),71,39,1974 Sep 25,[Hematology in England].,3659-62,"['Reizenstein, P']",['Reizenstein P'],['swe'],['Journal Article'],Sweden,Lakartidningen,Lakartidningen,0027707,"['0 (Transferrin)', '9007-73-2 (Ferritins)']",IM,"['Anemia', 'Bone Marrow Cells', '*Education, Medical, Graduate', 'England', 'Ferritins', 'Hematology/*education', 'Humans', 'Leukemia', 'Organization and Administration', 'Research', 'Transferrin']",1974/09/25 00:00,1974/09/25 00:01,['1974/09/25 00:00'],"['1974/09/25 00:00 [pubmed]', '1974/09/25 00:01 [medline]', '1974/09/25 00:00 [entrez]']",,ppublish,Lakartidningen. 1974 Sep 25;71(39):3659-62.,Hematologi i England,,,,,,,
4409297,NLM,MEDLINE,19741219,20071115,0552-2080 (Print) 0552-2080 (Linking),19,8,1974 Aug,[Dysproteinemia and paraproteinemia in chronic lympholeukemia (studies with the aid of disc electrophoresis in polyacrylamide gel)].,36-41,"['Pushkarev, I A']",['Pushkarev IA'],['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,"['0 (Haptoglobins)', '0 (Serum Globulins)']",IM,"['Aged', 'Blood Protein Disorders/*blood/complications', 'Blood Protein Electrophoresis', 'Electrophoresis, Disc', 'Electrophoresis, Polyacrylamide Gel', 'Female', 'Haptoglobins/analysis', 'Humans', 'Leukemia, Lymphoid/*blood/complications', 'Male', 'Middle Aged', 'Serum Globulins/analysis']",1974/08/01 00:00,1974/08/01 00:01,['1974/08/01 00:00'],"['1974/08/01 00:00 [pubmed]', '1974/08/01 00:01 [medline]', '1974/08/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1974 Aug;19(8):36-41.,Disprotenemiia i paraporteinemiia pri khronicheskom limfoleikoze (issledovaniia pri pomoshchi disk-elektroforeza v poliakrilamidnom gele),,,,,,,
4409255,NLM,MEDLINE,19741218,20160523,0031-403X (Print) 0031-403X (Linking),0,8,1974 Aug,[Distribution of cytotoxic antibodies and antibodies blocking the cytotoxic reaction depending on the content of immunoglobulins of separate classes in children with acute leukemia].,12-5,"['Stefani, D V', 'Smirnov, V V']","['Stefani DV', 'Smirnov VV']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Pediatriia,Pediatriia,0405563,"['0 (Immunoglobulin A)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '0 (Immunoglobulins)']",IM,"['Acute Disease', 'Child', 'Cytotoxicity Tests, Immunologic', 'Female', 'Humans', 'Immunoglobulin A/isolation & purification', 'Immunoglobulin G/isolation & purification', 'Immunoglobulin M/isolation & purification', 'Immunoglobulins/*isolation & purification', 'Leukemia/*immunology', 'Male']",1974/08/01 00:00,1974/08/01 00:01,['1974/08/01 00:00'],"['1974/08/01 00:00 [pubmed]', '1974/08/01 00:01 [medline]', '1974/08/01 00:00 [entrez]']",,ppublish,Pediatriia. 1974 Aug;0(8):12-5.,"Raspredelenie tsitotoksicheskikh antitel i antitel, blokiruiushchikh tsitotoksicheskuiu reaktsiiu, v zavisimosti ot soderzhaniia immunoglobulinov otdel'nykh klassov u detei, bol'nykh ostrym leikozom",,,,,,,
4408698,NLM,MEDLINE,19741217,20081121,0041-5782 (Print) 0041-5782 (Linking),136,31,1974 Jul 29,[Bone marrow biopsy with Radner's needle. A new method for bone marrow examination].,1736-8,"['Worm, A M', 'Dombernowsky, P', 'Hainau, B', 'Hansen, H H', 'Nissen, N I']","['Worm AM', 'Dombernowsky P', 'Hainau B', 'Hansen HH', 'Nissen NI']",['dan'],"['English Abstract', 'Journal Article']",Denmark,Ugeskr Laeger,Ugeskrift for laeger,0141730,,IM,"['Biopsy, Needle/*instrumentation', 'Bone Marrow/*pathology', 'Breast Neoplasms/pathology', 'Hodgkin Disease/pathology', 'Humans', 'Leukemia/pathology', 'Lymphoma/pathology', 'Methods', 'Primary Myelofibrosis/pathology']",1974/07/29 00:00,1974/07/29 00:01,['1974/07/29 00:00'],"['1974/07/29 00:00 [pubmed]', '1974/07/29 00:01 [medline]', '1974/07/29 00:00 [entrez]']",,ppublish,Ugeskr Laeger. 1974 Jul 29;136(31):1736-8.,Knoglemarvsbiopsi med Radner-nal. En ny metode til marvundersogelse,,,,,,,
4408626,NLM,MEDLINE,19741205,20041117,0025-388X (Print) 0025-388X (Linking),54,580,1974 Jun,[Attempts at immunologic therapy in cancer].,385-8,"['Chenebault, J']",['Chenebault J'],['fre'],['Journal Article'],Morocco,Maroc Med,Maroc medical,0421062,"['0 (Antigens, Neoplasm)', '0 (Antineoplastic Agents)', '0 (BCG Vaccine)']",IM,"['Animals', 'Antigens, Neoplasm/analysis', 'Antineoplastic Agents/therapeutic use', 'BCG Vaccine', 'Humans', '*Immunotherapy', 'Leukemia/drug therapy/mortality/therapy', 'Mice', 'Neoplasms/analysis/immunology/*therapy']",1974/06/01 00:00,1974/06/01 00:01,['1974/06/01 00:00'],"['1974/06/01 00:00 [pubmed]', '1974/06/01 00:01 [medline]', '1974/06/01 00:00 [entrez]']",,ppublish,Maroc Med. 1974 Jun;54(580):385-8.,Essais de therapeutique immunologique dans les cancers,,,,,,,
4408492,NLM,MEDLINE,19741219,20101118,0043-5147 (Print) 0043-5147 (Linking),27,17,1974 Sep,[Acute renal failure as a complication of treatment of acute leukemia].,1565-8,"['Tomicki, A']",['Tomicki A'],['pol'],"['English Abstract', 'Journal Article']",Poland,Wiad Lek,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",9705467,['0 (Antineoplastic Agents)'],IM,"['Acute Disease', 'Acute Kidney Injury/*chemically induced', 'Adolescent', 'Adult', 'Antineoplastic Agents/*adverse effects/therapeutic use', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Male']",1974/09/01 00:00,1974/09/01 00:01,['1974/09/01 00:00'],"['1974/09/01 00:00 [pubmed]', '1974/09/01 00:01 [medline]', '1974/09/01 00:00 [entrez]']",,ppublish,Wiad Lek. 1974 Sep;27(17):1565-8.,Ostra niewydolnosc nerek jako powiklanie leczenia ostrych bialaczek,,,,,,,
4408358,NLM,MEDLINE,19741112,20161017,0098-7484 (Print) 0098-7484 (Linking),229,11,1974 Sep 9,Skin lesions associated with disseminated candidiasis.,1466-8,"['Bodey, G P', 'Luna, M']","['Bodey GP', 'Luna M']",['eng'],['Journal Article'],United States,JAMA,JAMA,7501160,"['7XU7A7DROE (Amphotericin B)', 'D83282DT06 (Flucytosine)']",IM,"['Aged', 'Amphotericin B/therapeutic use', 'Biopsy', 'Candida/isolation & purification', 'Candidiasis/diagnosis/drug therapy/*pathology', 'Candidiasis, Cutaneous/pathology', 'Child, Preschool', 'Female', 'Flucytosine/therapeutic use', 'Humans', 'Leukemia/drug therapy', 'Male', 'Skin/*pathology']",1974/09/09 00:00,1974/09/09 00:01,['1974/09/09 00:00'],"['1974/09/09 00:00 [pubmed]', '1974/09/09 00:01 [medline]', '1974/09/09 00:00 [entrez]']",,ppublish,JAMA. 1974 Sep 9;229(11):1466-8.,,,,,,,,
