PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,EIN,RF,PMC,CIN,TT,SI,GS,CON,OID,OTO,OT,GN,PS,FPS
2096136,NLM,MEDLINE,19910718,20161123,0004-5772 (Print) 0004-5772 (Linking),38,12,1990 Dec,Vertebral compression fracture. An unusual presentation of childhood acute lymphoblastic leukaemia.,943-5,Vertebral compression fracture is a rare presenting feature of childhood acute lymphoblastic leukaemia. These cases are often characterized by indicators of good prognosis and show a relatively good treatment outcome.,"['Mehrotra, S', 'Kumar, A', 'Singh, B N']","['Mehrotra S', 'Kumar A', 'Singh BN']","['Department of Medicine, KG Medical College, Lucknow.']",['eng'],"['Case Reports', 'Journal Article']",India,J Assoc Physicians India,The Journal of the Association of Physicians of India,7505585,,IM,"['Adolescent', 'Female', 'Fractures, Spontaneous/diagnostic imaging/*etiology', 'Humans', 'Lumbar Vertebrae/diagnostic imaging/*injuries', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications', 'Spinal Fractures/diagnostic imaging/*etiology', 'Tomography, X-Ray Computed']",1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",,ppublish,J Assoc Physicians India. 1990 Dec;38(12):943-5.,,,,,,,,,,,,,,,
2096123,NLM,MEDLINE,19910718,20131121,0004-5772 (Print) 0004-5772 (Linking),38,12,1990 Dec,Chronic granulocytic leukaemia. A study of 160 cases.,899-902,"Chronic granulocytic leukaemia (CGL) is the commonest leukaemia among adults in India. Case records of 183 CGL patients diagnosed between 1975 and 1985 were reviewed. The median age at diagnosis was 40.5 years. Most patients presented with weakness, fullness in the left upper abdomen and fever. Splenomegaly and hepatomegaly were present in 90% and 48% respectively. Patients were treated with oral, intermittent busulphan with monitoring of total leucocyte count. Overall, 87 patients expired, including 63 (72%) due to blast crisis. The median survival was 33 months from diagnosis and 44 months from the onset of symptoms.","['Kumar, L', 'Sagar, T G', 'Maitreyan, V', 'Majhi, U', 'Shanta, V']","['Kumar L', 'Sagar TG', 'Maitreyan V', 'Majhi U', 'Shanta V']","['Department of Medical Oncology, Cancer Institute (WIA), Madras.']",['eng'],['Journal Article'],India,J Assoc Physicians India,The Journal of the Association of Physicians of India,7505585,['G1LN9045DK (Busulfan)'],IM,"['Adolescent', 'Adult', 'Aged', 'Blast Crisis/blood', 'Busulfan/adverse effects/therapeutic use', 'Female', 'Follow-Up Studies', 'Hepatomegaly/diagnosis', 'Humans', 'India', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/blood/*diagnosis/drug therapy', 'Leukocyte Count', 'Male', 'Middle Aged', 'Splenomegaly/diagnosis']",1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",,ppublish,J Assoc Physicians India. 1990 Dec;38(12):899-902.,,,,,"['J Assoc Physicians India. 1992 Mar;40(3):209. PMID: 1369756', 'J Assoc Physicians India. 1992 Feb;40(2):130-1. PMID: 1629126']",,,,,,,,,,
2096100,NLM,MEDLINE,19910717,20191029,8755-0199 (Print) 8755-0199 (Linking),11,4-5,1990,"Redox buffering ability of lymphoid cells evaluated by the oxidation of 2',7'-dichlorofluorescin.",213-21,"The redox buffering activity of several lymphoid cells against endogenous and exogenous H2O2 has been evaluated using 2',7'-dichlorofluorescin diacetate (DCFH2-DA). The mechanism of 2',7'-dichlorofluorescin (DCFH2) oxidation has also been investigated. It was found that while the oxidation by external H2O2 is completely inhibited by azide or cyanide, the oxidation by endogenous species is still present, even under anaerobic conditions. The data herein reported indicate that autoxidation and peroxidation of DCFH2 are distinct reactions. Hence only by addition of increasing concentrations of exogenous hydrogen peroxide, the fluorescence of DCF can be used to evaluate the cellular ability of scavenging H2O2. By this method we have found that the erythroleukaemia cell line K562 and promyelocytic line HL-60 show a faster rate of DCFH2 oxidation than peripheral blood leukocytes (PBL), mature T-cells (MOLT-3 and MOLT-4) and B-cells (DAUDI). Using this method the balance between antioxidant enzymes activity and the redox state of the cell can be easily assessed by fluorescence both in single cells and in cell populations.","['Melino, G', 'Savini, I', 'Guerrieri, P', 'Finazzi-Agro, A']","['Melino G', 'Savini I', 'Guerrieri P', 'Finazzi-Agro A']","['Dipartimento di Medicina Sperimentale e Scienze Biochimiche, Universita di Roma Tor Vergata, Italy.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Free Radic Res Commun,Free radical research communications,8709453,"['0 (Fluoresceins)', ""56NQM5UZT1 (2',7'-dichlorofluorescein)"", 'BBX060AN9V (Hydrogen Peroxide)']",IM,"['B-Lymphocytes/metabolism', 'Flow Cytometry', 'Fluoresceins/*metabolism', 'Humans', 'Hydrogen Peroxide/metabolism', 'Leukemia, Erythroblastic, Acute/metabolism', 'Leukemia, Promyelocytic, Acute/metabolism', 'Leukocytes/metabolism', 'Lymphocytes/*metabolism', 'Oxidation-Reduction', 'Spectrometry, Fluorescence', 'T-Lymphocytes/metabolism', 'Tumor Cells, Cultured']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",['10.3109/10715769009088918 [doi]'],ppublish,Free Radic Res Commun. 1990;11(4-5):213-21. doi: 10.3109/10715769009088918.,,,,,,,,,,,,,,,
2095924,NLM,MEDLINE,19910715,20190820,0300-9084 (Print) 0300-9084 (Linking),72,12,1990 Dec,MoMuLV-derived self-inactivating retroviral vectors possessing multiple cloning sites and expressing the resistance to either G418 or hygromycin B.,885-7,"To facilitate cloning procedures in recombinant murine leukemia virus-derived retroviruses, we have constructed vectors that both carry a polylinker with multiple restriction sites and express resistance to either G418 or hygromycin B. Our vectors are self-inactivating retroviruses that suppress interferences between LTR enhancers and internal promoters and avoid transcriptional stimulation of host cell genes. They can also be used as expression vectors in direct transfection assays, since no translation initiation codon lies between the 5' LTR and the cloning polylinker.","['Marty, L', 'Roux, P', 'Royer, M', 'Piechaczyk, M']","['Marty L', 'Roux P', 'Royer M', 'Piechaczyk M']","['Laboratoire de Biologie Moleculaire, URA CNRS 1191 Genetique Moleculaire, Montpellier, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",France,Biochimie,Biochimie,1264604,"['0 (DNA, Viral)', '0 (Gentamicins)', '3XQ2233B0B (Hygromycin B)', 'A08F5XTI6G (antibiotic G 418)']",IM,"['Base Sequence', 'Chromosome Mapping', 'Cloning, Molecular', 'DNA, Viral/genetics', 'Drug Resistance, Microbial/genetics', '*Genetic Vectors', 'Gentamicins/pharmacology', 'Hygromycin B/pharmacology', 'Molecular Sequence Data', 'Plasmids', 'Recombination, Genetic', 'Restriction Mapping', 'Retroviridae/*genetics']",1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']","['0300-9084(90)90007-4 [pii]', '10.1016/0300-9084(90)90007-4 [doi]']",ppublish,Biochimie. 1990 Dec;72(12):885-7. doi: 10.1016/0300-9084(90)90007-4.,,,,,,,,,,,,,,,
2095918,NLM,MEDLINE,19910717,20151119,0092-6019 (Print) 0092-6019 (Linking),51,,1990,Role of differentiation induction in tumor suppression.,201-16,,"['Marks, P A', 'Rifkind, R A']","['Marks PA', 'Rifkind RA']","['Memorial Sloan-Kettering Cancer Center, Graduate School of Medical Sciences, Cornell University, New York, New York.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Immunol Ser,Immunology series,0404721,"['0 (Acetamides)', '0 (Antineoplastic Agents)', 'LA133J59VU (hexamethylene bisacetamide)']",IM,"['Acetamides/*pharmacology/therapeutic use', 'Animals', 'Antineoplastic Agents/pharmacology/therapeutic use', '*Cell Differentiation/drug effects', 'Drug Evaluation', 'Drug Resistance', 'Drug Screening Assays, Antitumor', '*Gene Expression Regulation/drug effects', 'Gene Expression Regulation, Neoplastic', '*Genes, Tumor Suppressor', 'Leukemia, Erythroblastic, Acute/genetics/pathology', 'Mice', 'Neoplasms/therapy', 'Proto-Oncogenes/drug effects', 'Stimulation, Chemical', 'Structure-Activity Relationship', 'Tumor Cells, Cultured/drug effects/pathology']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",,ppublish,Immunol Ser. 1990;51:201-16.,"['CA-08748/CA/NCI NIH HHS/United States', 'CA-31768/CA/NCI NIH HHS/United States']",,74,,,,,"['c-myb', 'c-myc']",,,,,,,
2095908,NLM,MEDLINE,19910715,20041117,0213-005X (Print) 0213-005X (Linking),8,1,1990 Jan,[HTLV-I and malignant hemopathies in Barcelona].,60,,"['Soriano, V', 'Abella, E', 'Flores, A', 'Ribera, A', 'Tor, J', 'Milla, F']","['Soriano V', 'Abella E', 'Flores A', 'Ribera A', 'Tor J', 'Milla F']",,['spa'],['Letter'],Spain,Enferm Infecc Microbiol Clin,Enfermedades infecciosas y microbiologia clinica,9104081,,IM,"['HTLV-I Infections/*epidemiology', 'Humans', 'Leukemia/*microbiology', 'Lymphoma/*microbiology', 'Spain/epidemiology']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",,ppublish,Enferm Infecc Microbiol Clin. 1990 Jan;8(1):60.,,,,,,HTLV-I y hemopatias malignas en Barcelona.,,,,,,,,,
2095886,NLM,MEDLINE,19910717,20190918,1040-8746 (Print) 1040-8746 (Linking),2,5,1990 Oct,Cytogenetics in malignant lymphomas.,816-21,,"['Kaneko, Y']",['Kaneko Y'],"['Saitama Cancer Center, Japan.']",['eng'],"['Journal Article', 'Review']",United States,Curr Opin Oncol,Current opinion in oncology,9007265,,IM,"['*Chromosome Aberrations', 'Genes, Immunoglobulin', 'Hodgkin Disease/genetics', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/genetics', 'Lymphoma/*genetics/pathology', 'Lymphoma, B-Cell/genetics', 'Lymphoma, Non-Hodgkin/genetics', 'Polymerase Chain Reaction', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics', 'Prognosis', '*Proto-Oncogenes', 'Translocation, Genetic']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",['10.1097/00001622-199010000-00003 [doi]'],ppublish,Curr Opin Oncol. 1990 Oct;2(5):816-21. doi: 10.1097/00001622-199010000-00003.,,,20,,,,,"['JH', 'bcl1', 'bcl2', 'igk', 'igl&lgr;', 'myc', 'tcl2', 'tcl5', 'ttg']",,,,,,,
2095826,NLM,MEDLINE,19910717,20061115,0887-8005 (Print) 0887-8005 (Linking),3,3,1990,Neoplasms metastatic to the heart: review of 3314 consecutive autopsies.,195-8,"Cardiac involvement by metastatic neoplasms is relatively uncommon and usually occurs with widely disseminated disease. Ninety-five cases with cardiac metastases from autopsies performed over a 14-year period (1974-1987) at Loyola University Medical Center are reviewed. During this period, 3314 autopsies were performed with an average annual autopsy rate of 35%. In 806 (24.3%), a malignant disease was found, and in 95 (11.8%), there was cardiac involvement by tumor. The most common malignancies encountered in order of decreasing frequency were lung, lymphoma, breast, leukemia, stomach, melanoma, liver, and colon. Although the percentage of cardiac metastasis compares favorably with previous reports in the literature, an identical rate was present during both halves of the 14-year period studied. Improved diagnostic capabilities and treatment protocols in recent years have apparently not significantly affected the incidence, distribution, or patterns of metastatic spread to the heart.","['Abraham, K P', 'Reddy, V', 'Gattuso, P']","['Abraham KP', 'Reddy V', 'Gattuso P']","['Department of Pathology, Loyola University Medical Center, Maywood, IL 60153.']",['eng'],"['Comparative Study', 'Journal Article']",United States,Am J Cardiovasc Pathol,The American journal of cardiovascular pathology,8702438,,IM,"['Breast Neoplasms/pathology', 'Female', 'Heart Neoplasms/*epidemiology/*secondary', 'Humans', 'Incidence', 'Leukemia/pathology', 'Lung Neoplasms/pathology', 'Lymphoma/pathology', 'Male', 'Middle Aged', 'Myocardium/pathology', 'Pericardium/pathology', 'Time Factors']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",,ppublish,Am J Cardiovasc Pathol. 1990;3(3):195-8.,,,,,,,,,,,,,,,
2095799,NLM,MEDLINE,19910712,20061115,1100-1801 (Print) 1100-1801 (Linking),2,6,1990,Potential antitumor agents XVII (1). Cytotoxic agents from indole derivatives and their intermediates.,407-14,"New indole derivatives and their intermediates were tested as cytotoxic agents on a culture of P388 leukemia cells. The aldehyde 2a was more active than the thiosemicarbazones 3a, b and the nitrosourea 14. The chloroacetyl derivatives 10, 11 were the most potent cytotoxic agents.","['Andreani, A', 'Rambaldi, M', 'Locatelli, A', 'Andreani, F', 'Aresca, P', 'Bossa, R', 'Galatulas, I']","['Andreani A', 'Rambaldi M', 'Locatelli A', 'Andreani F', 'Aresca P', 'Bossa R', 'Galatulas I']","['Dipartimento di Scienze Farmaceutiche, University of Bologna, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Sweden,Acta Pharm Nord,Acta pharmaceutica Nordica,8915967,"['0 (Antineoplastic Agents)', '0 (Indoles)']",IM,"['Animals', 'Antineoplastic Agents/*chemical synthesis', 'Indoles/*chemical synthesis/pharmacology', 'Leukemia P388/drug therapy', 'Tumor Cells, Cultured/drug effects']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",,ppublish,Acta Pharm Nord. 1990;2(6):407-14.,,,,,,,,,,,,,,,
2095753,NLM,MEDLINE,19900830,20100324,0028-4793 (Print) 0028-4793 (Linking),323,7,1990 Aug 16,Minimal residual disease in childhood B-lineage lymphoblastic leukemia. Persistence of leukemic cells during the first 18 months of treatment.,448-55,"BACKGROUND: Whether patients in clinical remission for acute lymphoblastic leukemia (ALL) continue to harbor leukemic cells is not known, because methods of detecting residual malignant cells have not been sufficiently sensitive. This information might be useful for predicting recurrence and determining the duration of therapy. METHODS: Using a sensitive new method--identifying complementarity-determining region III sequences with the polymerase chain reaction--we estimated the number of residual leukemic cells in the bone marrow of eight children with B-lineage lymphoblastic leukemia before and after remission. RESULTS: Induction chemotherapy produced a 3-to-4-log reduction in the number of leukemic cells. In all samples obtained up to 18 months after diagnosis, however, 0.004 to 2.6 percent of bone marrow nucleated cells were residual leukemic cells. Among the four patients studied more than 18 months after diagnosis, three had no detectable leukemic cells in marrow samples. Despite this, one of them, who was no longer receiving therapy, had a central nervous system relapse. In one patient receiving maintenance chemotherapy, there was a 60-fold increase in leukemic cells three months before bone marrow relapse. CONCLUSIONS: The complete disappearance of leukemic cells (or their reduction below our method's threshold of detection, 1 in 100,000 cells) may be necessary to achieve a cure of ALL. The quantification of residual leukemic cells in serial marrow aspirates during therapy may allow the early detection of relapse.","['Yamada, M', 'Wasserman, R', 'Lange, B', 'Reichard, B A', 'Womer, R B', 'Rovera, G']","['Yamada M', 'Wasserman R', 'Lange B', 'Reichard BA', 'Womer RB', 'Rovera G']","['Wistar Institute, Philadelphia, PA 19104.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,N Engl J Med,The New England journal of medicine,0255562,"['0 (DNA, Neoplasm)']",IM,"['Adolescent', 'Base Sequence', 'Bone Marrow/*pathology', 'Burkitt Lymphoma/drug therapy/*pathology', 'Child', 'Child, Preschool', 'DNA, Neoplasm/analysis', 'Female', 'Humans', 'Infant', 'Male', 'Molecular Sequence Data', 'Polymerase Chain Reaction', 'Time Factors']",1990/08/16 00:00,1990/08/16 00:01,['1990/08/16 00:00'],"['1990/08/16 00:00 [pubmed]', '1990/08/16 00:01 [medline]', '1990/08/16 00:00 [entrez]']",['10.1056/NEJM199008163230705 [doi]'],ppublish,N Engl J Med. 1990 Aug 16;323(7):448-55. doi: 10.1056/NEJM199008163230705.,"['CA 10819/CA/NCI NIH HHS/United States', 'CA 47983/CA/NCI NIH HHS/United States']",,,,['N Engl J Med. 1991 Mar 14;324(11):772-5. PMID: 1997845'],,,,,,,,,,
2095651,NLM,MEDLINE,19910708,20131121,0232-7295 (Print) 0232-7295 (Linking),23,4,1990,[Experimental investigations on the effect of the transducer-specimen distance on the ultrasound attenuation of formalin-fixed testicular tissue].,227-9,"Additional information on the tissue structure are possible by estimation of sound physical parameters in comparison with normal B-scan ultrasonography, especially the frequency-dependent ultrasound attenuation. The ultrasound attenuation measurements were made on histochemical normal and pathological testicular tissue with changing transducer-specimen distance. No markedly difference in damaging behaviour was found between normal and pathological testicular tissue at different distances.","['Heynemann, H', 'Richter, K P', 'Haerting, J', 'Holzhausen, H J', 'Baumann, M', 'Jenderka, K', 'Langkopf, B', 'Millner, R']","['Heynemann H', 'Richter KP', 'Haerting J', 'Holzhausen HJ', 'Baumann M', 'Jenderka K', 'Langkopf B', 'Millner R']","['Universitatsklinik fur Urologie, Bereichs Medizin, Martin-Luther-Universitat Halle-Wittenberg.']",['ger'],"['Comparative Study', 'English Abstract', 'Journal Article']",Germany,Z Exp Chir Transplant Kunstliche Organe,"Zeitschrift fur experimentelle Chirurgie, Transplantation, und kunstliche Organe : Organ der Sektion Experimentelle Chirurgie der Gesellschaft fur Chirurgie der DDR",8302880,"['0 (Fixatives)', '1HG84L3525 (Formaldehyde)']",IM,"['Fixatives', 'Formaldehyde', 'Histological Techniques', 'Humans', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/pathology', 'Teratoma/pathology', 'Testicular Neoplasms/*pathology', 'Testis/*cytology/pathology', '*Ultrasonics']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",,ppublish,Z Exp Chir Transplant Kunstliche Organe. 1990;23(4):227-9.,,,,,,Experimentelle Untersuchungen zum Einfluss des Schallwandler-Proben-Abstandes auf die Ultraschalldampfung an formalinfixiertem Hodengewebe.,,,,,,,,,
2095639,NLM,MEDLINE,19910711,20170126,0393-2249 (Print) 0393-2249 (Linking),42,4,1990 Oct-Dec,[Clear-cell carcinoma of the kidney in a patient with hairy-cell leukemia. Immunologic and epidemiologic considerations].,231-4,The paper describes a case of light-cell carcinoma of the kidney in a patient affected by hairy-cell leukemia. The immunological status is assessed revealing a severe deficit of NK phenotype lymphocytes. Therapy with alpha interferon was proposed in order to stimulate killing and recruitment processes of new NK cells.,"['Buffa, G', 'Marino, G', 'Cocimano, V', 'Capaldi, A', 'Torchio, B']","['Buffa G', 'Marino G', 'Cocimano V', 'Capaldi A', 'Torchio B']","['Divisione di Urologia, Ospedale Mauriziano, Umberto I, Torino.']",['ita'],"['Case Reports', 'English Abstract', 'Journal Article']",Italy,Minerva Urol Nefrol,Minerva urologica e nefrologica = The Italian journal of urology and nephrology,8503649,"['0 (Immunologic Factors)', '0 (Interferon Type I)']",IM,"['Adenocarcinoma/epidemiology/*immunology/therapy', 'Combined Modality Therapy', 'Humans', 'Immunologic Factors/therapeutic use', 'Interferon Type I/therapeutic use', 'Kidney Neoplasms/epidemiology/*immunology/therapy', 'Killer Cells, Natural/pathology', 'Leukemia, Hairy Cell/*immunology/therapy', 'Male', 'Middle Aged', '*Neoplasms, Multiple Primary']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",,ppublish,Minerva Urol Nefrol. 1990 Oct-Dec;42(4):231-4.,,,,,,Carcinoma a cellule chiare del rene in portatore di hairy cell leukaemia. Considerazioni immunologiche ed epidemiologiche.,,,,,,,,,
2095568,NLM,MEDLINE,19910708,20190818,0724-8741 (Print) 0724-8741 (Linking),7,12,1990 Dec,Cytotoxicity of three novel fluoropyrimidines in cultured L1210 murine lymphocytic leukemia cells.,1294-7,"Cultured L1210 murine lymphocytic leukemia cells were used to compare metabolic activation and cytotoxicity of 5-fluorouracil (FU), Ftorafur (FT), and three novel FU-sulfur analogues. These analogues, 1-(2'-tetrahydrothienyl)-5-fluorouracil (FUS), 1-(2'-tetrahydrothienyl)-5- fluorouracil-1'-oxide (FUSO), and 1-(2'-tetrahydrothienyl)-5-fluorouracil-1'-1'-dioxide (FUSO2), have yet to be fully evaluated for potential therapeutic value based on in vitro cytotoxicity. The role of these FU analogues as prodrugs was evaluated by comparing metabolism of normal pyrimidine pathways and activation by hepatic mixed function oxidases (MFO). Significant differences in biochemical activity and cytotoxicity were measured between FU and FU analogues. FU and FU analogues were cytotoxic to L1210 cells (63-92% growth inhibition of 100 microM concentrations after 72 hr of incubation). However, at equimolar concentration cytotoxicity of the FU analogues after MFO activation (56-66% growth inhibition) was greater than FU (47% growth inhibition). Hypoxanthine, a purine precursor, did not significantly alter fluoropyrimidine cytotoxicity with or without MFO. Thymidine and uridine, pyrimidine precursors, reduced FT and FUS cytotoxicities in the presence (27, 40%) and absence (25, 15%) of MFO but did not modify FU, FUSO, or FUSO2 cytotoxicities.","['Shipp, A M', 'Holshouser, M H', 'Ferguson, P W']","['Shipp AM', 'Holshouser MH', 'Ferguson PW']","['Division of Pharmacology and Toxicology, School of Pharmacy, Northeast Louisiana University, Monroe 71209.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Pharm Res,Pharmaceutical research,8406521,"[""68321-44-8 (1-(2'-tetrahydrothienyl) 5-fluorouracil)"", ""70758-92-8 (1-(2'-tetrahydrothienyl)-5-fluorouracil-1'-oxide)"", ""81486-02-4 (1-(2'-tetrahydrothienyl)-5 fluorouracil-1-'1'-dioxide)"", 'U3P01618RT (Fluorouracil)']",IM,"['Animals', 'Drug Screening Assays, Antitumor', 'Fluorouracil/*analogs & derivatives/pharmacology', 'Leukemia L1210/*pathology', 'Male', 'Mice', 'Microsomes, Liver/metabolism', 'Rats', 'Rats, Inbred Strains', 'Tumor Cells, Cultured/drug effects']",1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",['10.1023/a:1015998107767 [doi]'],ppublish,Pharm Res. 1990 Dec;7(12):1294-7. doi: 10.1023/a:1015998107767.,,,,,,,,,,,,,,,
2095375,NLM,MEDLINE,19910711,20190903,0163-3864 (Print) 0163-3864 (Linking),53,4,1990 Jul-Aug,"Antitumor agents, 115. Seselidiol, a new cytotoxic polyacetylene from Seseli mairei.",932-5,"Seselidiol [1], a new polyacetylene, has been isolated from the roots of Seseli mairei. On the basis of chemical and spectroscopic evidence, its structure has been established as heptadeca-1,8(Z)-diene-4,6-diyne-3,10-diol. Seselidiol and its acetate have been demonstrated to show moderate cytotoxicity against KB, P-388, and L-1210 tumor cells.","['Hu, C Q', 'Chang, J J', 'Lee, K H']","['Hu CQ', 'Chang JJ', 'Lee KH']","['Division of Medicinal Chemistry and Natural Products, School of Pharmacy, University of North Carolina, Chapel Hill 27599.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Nat Prod,Journal of natural products,7906882,"['0 (Alkynes)', '0 (Antineoplastic Agents, Phytogenic)', '0 (Biopolymers)', '0 (Drugs, Chinese Herbal)', '0 (Enediynes)', '0 (Polymers)', '132075-01-5 (seselidiol)', 'OC7TV75O83 (Acetylene)']",IM,"['Acetylene/*analogs & derivatives/isolation & purification/pharmacology', 'Alkynes', 'Animals', '*Antineoplastic Agents, Phytogenic/isolation & purification', '*Biopolymers', 'Drug Screening Assays, Antitumor', 'Drugs, Chinese Herbal/*analysis', 'Enediynes', 'Humans', 'Leukemia P388/drug therapy', 'Molecular Structure', 'Polymers/isolation & purification/*pharmacology', 'Tumor Cells, Cultured']",1990/07/01 00:00,1990/07/01 00:01,['1990/07/01 00:00'],"['1990/07/01 00:00 [pubmed]', '1990/07/01 00:01 [medline]', '1990/07/01 00:00 [entrez]']",['10.1021/np50070a022 [doi]'],ppublish,J Nat Prod. 1990 Jul-Aug;53(4):932-5. doi: 10.1021/np50070a022.,['CA-17625/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,
2095240,NLM,MEDLINE,19910710,20190918,1040-8746 (Print) 1040-8746 (Linking),2,2,1990 Apr,Bone marrow transplantation for chronic myelogenous leukemia.,258-62,,"['Champlin, R']",['Champlin R'],"['MD Anderson Cancer Center, Houston, Texas.']",['eng'],"['Journal Article', 'Review']",United States,Curr Opin Oncol,Current opinion in oncology,9007265,['0 (HLA Antigens)'],IM,"['*Bone Marrow Transplantation/adverse effects', 'Graft vs Host Disease/etiology/prevention & control', 'HLA Antigens/immunology', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*surgery', 'Pulmonary Fibrosis/etiology/prevention & control', 'Recurrence', 'Transplantation, Autologous']",1990/04/01 00:00,1990/04/01 00:01,['1990/04/01 00:00'],"['1990/04/01 00:00 [pubmed]', '1990/04/01 00:01 [medline]', '1990/04/01 00:00 [entrez]']",['10.1097/00001622-199004000-00003 [doi]'],ppublish,Curr Opin Oncol. 1990 Apr;2(2):258-62. doi: 10.1097/00001622-199004000-00003.,,,22,,,,,,,,,,,,
2095234,NLM,MEDLINE,19910710,20190918,1040-8746 (Print) 1040-8746 (Linking),2,1,1990 Feb,Supportive care for patients with acute leukemia.,55-61,,"['Lee, E J']",['Lee EJ'],"['University of Maryland School of Medicine, Baltimore.']",['eng'],"['Journal Article', 'Review']",United States,Curr Opin Oncol,Current opinion in oncology,9007265,['0 (Hematopoietic Cell Growth Factors)'],IM,"['Blood Transfusion', 'Communicable Diseases/*drug therapy/etiology', 'Hematopoietic Cell Growth Factors/therapeutic use', 'Humans', 'Leukemia/complications/*therapy', 'Pancytopenia/etiology/*therapy', 'Platelet Transfusion']",1990/02/01 00:00,1990/02/01 00:01,['1990/02/01 00:00'],"['1990/02/01 00:00 [pubmed]', '1990/02/01 00:01 [medline]', '1990/02/01 00:00 [entrez]']",['10.1097/00001622-199002000-00009 [doi]'],ppublish,Curr Opin Oncol. 1990 Feb;2(1):55-61. doi: 10.1097/00001622-199002000-00009.,,,24,,,,,,,,,,,,
