PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,TT,CIN,RF,PMC,SI,GS,CON,ROF,EIN,OID,OTO,OT,GN,EFR,OAB,OABL,CN
8185678,NLM,MEDLINE,19940615,20190623,0006-2952 (Print) 0006-2952 (Linking),47,9,1994 Apr 29,Glutathione-mediated modulation of tetraplatin activity against sensitive and resistant tumor cells.,1635-42,"Tetraplatin (Ormaplatin) has good antitumor activity against some cisplatin-resistant cells and is currently being studied in clinical trials. We have studied the effect of extracellular reduced glutathione (GSH) on the cytotoxicity and biochemical pharmacology of tetraplatin in L1210 leukemia cells. Parent L1210/0 cells were exposed to tetraplatin for 2 hr with or without GSH in Hanks' balanced salt solution (HBSS), and cytotoxicity was assessed by a soft agar clonogenic assay. GSH (10 or 100 microM) increased tetraplatin (10 microM)-induced cell kill by about 2 logs; concentrations of the thiol 10-fold below or above these levels increased cell kill to a lesser degree. GSH-mediated increases in the cytotoxicity of tetraplatin were also observed against cisplatin-resistant L1210/DDP and tetraplatin-resistant L1210/DACH cells. An equimolar concentration of 1,2-diaminocyclohexane-platinum(II) dichloride [DACH-Pt(II)Cl2] alone was as cytotoxic as the combination of tetraplatin and GSH. Intracellular accumulations of tetraplatin in both L1210/0 and L1210/DDP cells were increased by GSH, whereas in L1210/DACH cells platinum uptake decreased in the presence of the thiol. Reactions between tetraplatin and salmon sperm DNA in the presence or absence of GSH (1 or 100 microM), performed at 37 degrees in HBSS, revealed that levels of total and interstrand DNA-platinum adducts were minimal in the absence of GSH, whereas in the presence of GSH DNA adducts of tetraplatin were substantial and similar to those seen with DACH-Pt(II)Cl2. Tetraplatin (10 microM) incubated at 37 degrees in HBSS with GSH (10 microM-1 mM) was reduced chemically to the DACH-Pt(II) species within 5 min; a 200-microM tetraplatin solution required a GSH concentration of at least 100 microM for substantial reduction to occur. This chemical reduction of tetraplatin appears to be a prerequisite for its biological activity. Thus, extracellular GSH can modulate the biological activity of tetraplatin, and the combination may prove useful in specific clinical applications, such as intracavitary platinum therapy.","['Kido, Y', 'Khokhar, A R', 'Siddik, Z H']","['Kido Y', 'Khokhar AR', 'Siddik ZH']","['Department of Clinical Investigation, University of Texas M.D. Anderson Cancer Center, Houston 77030.']",['eng'],"['R01 CA-41581/CA/NCI NIH HHS/United States', 'R01 CA-50380/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,IM,"['Animals', 'Antineoplastic Agents/*pharmacology', 'Biotransformation/drug effects', 'Cell Death/drug effects', 'DNA/metabolism', 'Drug Resistance', 'Glutathione/*pharmacology', 'Leukemia L1210', 'Organoplatinum Compounds/metabolism/*pharmacology', 'Oxidation-Reduction', 'Sulfhydryl Compounds/analysis', 'Tumor Cells, Cultured']",1994/04/29 00:00,1994/04/29 00:01,['1994/04/29 00:00'],"['1994/04/29 00:00 [pubmed]', '1994/04/29 00:01 [medline]', '1994/04/29 00:00 [entrez]']","['0006-2952(94)90542-8 [pii]', '10.1016/0006-2952(94)90542-8 [doi]']",ppublish,Biochem Pharmacol. 1994 Apr 29;47(9):1635-42. doi: 10.1016/0006-2952(94)90542-8.,"['0 (Antineoplastic Agents)', '0 (Organoplatinum Compounds)', '0 (Sulfhydryl Compounds)', '52691-24-4 (dichloro-1,2-diaminocyclohexane platinum complex)', '9007-49-2 (DNA)', 'GAN16C9B8O (Glutathione)', 'SFK1SGY8V1 (ormaplatin)']",,,,,,,,,,,,,,,,,
8185675,NLM,MEDLINE,19940615,20190623,0006-2952 (Print) 0006-2952 (Linking),47,9,1994 Apr 29,Specificity of ribozyme designed for mutated DHFR mRNA.,1607-13,"When MOLT-3 human acute leukemia cells were exposed sequentially to trimetrexate (TMQ) and then to methotrexate (MTX), the cells became resistant to antifolate. We designated this subline MOLT-3/TMQ800-MTX10,000. This cell line was found to contain two point mutations in the dihydrofolate reductase (DHFR) gene: a T-->C transition at nucleotide 95 in codon 31, and a T-->A transition at nucleotide 100 in codon 33. In an attempt to specifically inhibit these double-mutated cells, we synthesized a ribozyme which perfectly base-paired with the double-mutated DHFR mRNA. We found that the ribozyme for the double-mutated DHFR mRNA not only cleaved the mutated DHFR RNA, but also efficiently cleaved the wild-type RNA substrate. This observation suggests proceeding with caution when using a ribozyme against a mutated mRNA of an essential enzyme as a specific means of treatment.","['Kobayashi, H', 'Kim, N', 'Halatsch, M E', 'Ohnuma, T']","['Kobayashi H', 'Kim N', 'Halatsch ME', 'Ohnuma T']","['Derald H. Ruttenberg Cancer Center, Mount Sinai School of Medicine, New York, NY 10029.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,IM,"['Base Sequence', 'Cell Line', 'Humans', 'Methotrexate/pharmacology', 'Molecular Sequence Data', 'Point Mutation', 'RNA, Catalytic/chemical synthesis/*genetics/pharmacology', 'RNA, Messenger/*metabolism', 'Substrate Specificity', 'Tetrahydrofolate Dehydrogenase/*genetics', 'Trimetrexate/pharmacology', 'Tumor Cells, Cultured']",1994/04/29 00:00,1994/04/29 00:01,['1994/04/29 00:00'],"['1994/04/29 00:00 [pubmed]', '1994/04/29 00:01 [medline]', '1994/04/29 00:00 [entrez]']","['0006-2952(94)90539-8 [pii]', '10.1016/0006-2952(94)90539-8 [doi]']",ppublish,Biochem Pharmacol. 1994 Apr 29;47(9):1607-13. doi: 10.1016/0006-2952(94)90539-8.,"['0 (RNA, Catalytic)', '0 (RNA, Messenger)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'UPN4ITI8T4 (Trimetrexate)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,['DHFR'],,,,,,,,,,,
8185672,NLM,MEDLINE,19940615,20190623,0006-2952 (Print) 0006-2952 (Linking),47,9,1994 Apr 29,Cytotoxic activity of N1- and N8-aziridinyl analogs of spermidine.,1587-92,"Two isomeric aziridine-containing analogs of spermidine, a polyamine, were synthesized and evaluated for cytotoxic activity against cancer cell lines. Replacement of one of the primary amino groups of spermidine with an aziridinyl functionality yielded either N1-aziridinylspermidine [N-(3-aziridinylpropyl)-1,4-diaminobutane] or N8-aziridinylspermidine [N-(4-aziridinylbutyl)-1,3-diaminopropane]. N1-Aziridinylspermidine was cytotoxic in vitro against L1210 murine leukemia cells (IC50 0.15 microM) and HL60 human leukemia cells (IC50 0.11 microM). N8-Aziridinylspermidine was slightly less potent against L1210 (IC50 0.31 microM) and HL60 (IC50 0.30 microM) cells. When screened by the Developmental Therapeutics Program of the National Cancer Institute, these compounds proved cytotoxic against a wide variety of tumor types. Both compounds inhibited incorporation of radiolabeled thymidine, uridine, and valine into tricholoracetic acid-precipitable material by L1210 cells. Aminoguanidine did not affect the potency of the aziridinylspermidines.","['Yuan, Z M', 'Rosen, D M', 'Egorin, M J', 'Callery, P S']","['Yuan ZM', 'Rosen DM', 'Egorin MJ', 'Callery PS']","['Department of Pharmaceutical Sciences, School of Pharmacy, University of Maryland, Baltimore 21201.']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,IM,"['Animals', 'Aziridines/*chemical synthesis/pharmacology', 'Cell Division/drug effects', 'Cell Survival/drug effects', 'Dose-Response Relationship, Drug', 'Humans', 'Mice', 'Rhodamines', 'Spermidine/*analogs & derivatives/pharmacology', 'Thymidine/metabolism', 'Tritium', 'Tumor Cells, Cultured', 'Uridine/metabolism', 'Valine/metabolism']",1994/04/29 00:00,1994/04/29 00:01,['1994/04/29 00:00'],"['1994/04/29 00:00 [pubmed]', '1994/04/29 00:01 [medline]', '1994/04/29 00:00 [entrez]']","['0006-2952(94)90536-3 [pii]', '10.1016/0006-2952(94)90536-3 [doi]']",ppublish,Biochem Pharmacol. 1994 Apr 29;47(9):1587-92. doi: 10.1016/0006-2952(94)90536-3.,"['0 (Aziridines)', '0 (Rhodamines)', '10028-17-8 (Tritium)', '2609-88-3 (lissamine rhodamine B)', 'HG18B9YRS7 (Valine)', 'U87FK77H25 (Spermidine)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)']",,,,,,,,,,,,,,,,,
8185664,NLM,MEDLINE,19940615,20190623,0006-2952 (Print) 0006-2952 (Linking),47,9,1994 Apr 29,Selenite induction of DNA strand breaks and apoptosis in mouse leukemic L1210 cells.,1531-5,"The effects of selenite on DNA integrity, cell viability, and long-term proliferative potential of mouse leukemic L1210 cells were examined in this study. Selenite treatment resulted in concentration-dependent increases in DNA single-strand breaks and double-strand breaks, as detected by a modified filter elution assay. A time-course experiment showed that DNA single-strand breaks preceded DNA double-strand breaks. Agarose gel electrophoresis of DNA extracted from selenite-treated cells displayed a nucleosomal fragmentation pattern that is characteristic of apoptotic cell death. The involvement of a Ca2+,Mg(2+)-dependent endonuclease responsible for DNA double-strand fragmentation was implied by the observation that two inhibitors of endonuclease activity, i.e. aurintricarboxylic acid and zinc, blocked selenite-induced DNA double-strand breaks. These inhibitors also prevented selenite-induced cell death as defined by loss of ability to exclude trypan blue dye. Selenite treatment severely impaired the colony-forming ability of cells capable of trypan blue exclusion. The induction of DNA strand breaks and commitment to apoptosis may explain the selenite-mediated growth inhibition and loss of long-term proliferative potential.","['Lu, J', 'Kaeck, M', 'Jiang, C', 'Wilson, A C', 'Thompson, H J']","['Lu J', 'Kaeck M', 'Jiang C', 'Wilson AC', 'Thompson HJ']","['Division of Laboratory Research, AMC Cancer Research Center, Denver, CO 80214.']",['eng'],['CA 45145/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,IM,"['Animals', '*Apoptosis', 'Aurintricarboxylic Acid/pharmacology', 'Cell Survival', 'Colony-Forming Units Assay', '*DNA Damage', 'DNA, Single-Stranded/drug effects/ultrastructure', 'Endonucleases/antagonists & inhibitors', 'Leukemia L1210', 'Mice', 'Selenium/analysis', 'Sodium Selenite/*pharmacology', 'Sulfates/pharmacology', 'Tumor Cells, Cultured', 'Zinc Compounds/pharmacology', 'Zinc Sulfate']",1994/04/29 00:00,1994/04/29 00:01,['1994/04/29 00:00'],"['1994/04/29 00:00 [pubmed]', '1994/04/29 00:01 [medline]', '1994/04/29 00:00 [entrez]']","['0006-2952(94)90528-2 [pii]', '10.1016/0006-2952(94)90528-2 [doi]']",ppublish,Biochem Pharmacol. 1994 Apr 29;47(9):1531-5. doi: 10.1016/0006-2952(94)90528-2.,"['0 (DNA, Single-Stranded)', '0 (Sulfates)', '0 (Zinc Compounds)', '4431-00-9 (Aurintricarboxylic Acid)', '7733-02-0 (Zinc Sulfate)', 'EC 3.1.- (Endonucleases)', 'H6241UJ22B (Selenium)', 'HIW548RQ3W (Sodium Selenite)']",,,,,,,,,,,,,,,,,
8185384,NLM,MEDLINE,19940616,20161219,0003-9896 (Print) 0003-9896 (Linking),49,3,1994 May-Jun,Residential electric consumption and childhood cancer in Canada (1971-1986),156-9,"Concern has focused recently on the association between exposure to magnetic fields emanating from electrical equipment and the development of childhood cancer. An ecological study was undertaken to determine the correlation over time between childhood cancer rates and residential electric consumption (REC) in Canada. Significant increases in REC and in overall childhood cancer rates (0.14 cases/100,000 children.y) and brain cancer (0.05 cases/100,000 children.y) were observed, but a similar increase in leukemia was not observed. The average of the yearly provincial ranking of REC and cancer rates was used to determine whether provinces that have, on the average, higher REC also have higher childhood cancer ranks. Stronger correlations were observed between provincial REC rank and brain cancer and leukemia ranks than with lymphoma and other cancer rankings. These findings are consistent with, but do not prove, a causal association between childhood brain cancer and leukemia and REC.","['Kraut, A', 'Tate, R', 'Tran, N']","['Kraut A', 'Tate R', 'Tran N']","['Department of Internal Medicine, University of Manitoba, Winnipeg, Canada.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Arch Environ Health,Archives of environmental health,0212627,IM,"['Adolescent', 'Brain Neoplasms/epidemiology/etiology', 'Canada/epidemiology', 'Child', 'Child, Preschool', '*Electricity', 'Electromagnetic Fields/*adverse effects', 'Female', 'Humans', 'Infant', 'Leukemia/epidemiology/etiology', 'Lymphoma/epidemiology/etiology', 'Male', 'Neoplasms/*epidemiology/etiology']",1994/05/01 00:00,1994/05/01 00:01,['1994/05/01 00:00'],"['1994/05/01 00:00 [pubmed]', '1994/05/01 00:01 [medline]', '1994/05/01 00:00 [entrez]']",['10.1080/00039896.1994.9940375 [doi]'],ppublish,Arch Environ Health. 1994 May-Jun;49(3):156-9. doi: 10.1080/00039896.1994.9940375.,,,['Arch Environ Health. 1996 Nov-Dec;51(6):467-8. PMID: 9012328'],,,,,,,,,,,,,,,
8185342,NLM,MEDLINE,19940615,20131121,0385-0684 (Print) 0385-0684 (Linking),21,6,1994 May,[Oral administration of low-dose etoposide for maintenance chemotherapy in adult T cell leukemia patients].,839-44,"We studied the effectiveness of low-dose, oral administration of etoposide for maintenance chemotherapy of patients with adult T cell leukemia (ATL). Sixteen patients (9 males and 7 females) in remission (9 in complete remission and 7 partial remission) were orally administered 25 or 50 mg/day of etoposide. Median response duration of all the patients to the therapy was 18.6 months, ranging from 5.0 to 34.0 months. Thirteen out of the 16 patients relapsed, and 9 of them died of tumor progression. Appetite loss occurred in one case, without any other severe side effects. It has been suggested, therefore, that oral administration of the etoposide is useful for maintenance chemotherapy in ATL patients.","['Utsunomiya, A', 'Takatsuka, Y', 'Takeshita, T', 'Makino, T', 'Ishitsuka, K', 'Shimotakahara, S', 'Ohno, N', 'Kuwazuru, Y', 'Uozumi, K', 'Saito, T']","['Utsunomiya A', 'Takatsuka Y', 'Takeshita T', 'Makino T', 'Ishitsuka K', 'Shimotakahara S', 'Ohno N', 'Kuwazuru Y', 'Uozumi K', 'Saito T', 'et al.']","['Dept. of Hematology, Imamura-bunin Hospital.']",['jpn'],,"['English Abstract', 'Journal Article']",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,IM,"['Administration, Oral', 'Adult', 'Aged', 'Etoposide/*administration & dosage', 'Female', 'Humans', 'Leukemia, T-Cell/*drug therapy/mortality', 'Male', 'Middle Aged', 'Remission Induction', 'Survival Rate']",1994/05/01 00:00,1994/05/01 00:01,['1994/05/01 00:00'],"['1994/05/01 00:00 [pubmed]', '1994/05/01 00:01 [medline]', '1994/05/01 00:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 1994 May;21(6):839-44.,['6PLQ3CP4P3 (Etoposide)'],,,,,,,,,,,,,,,,,
8185329,NLM,MEDLINE,19940615,20061115,0385-0684 (Print) 0385-0684 (Linking),21,6,1994 May,[Current status and prospects for targeted therapy for thyroid cancer].,743-8,"New strategies are currently being developed with regard to targeted (missile) therapy for cancer using anticancer agent-labeled specific antibodies. A range of problems prevent their clinical application, however, because each specific cancer may not yet have a known unique antigen. In turn, this serves to impede the development of specific antibodies. Regarding thyroid cancer, no reports of targeted therapy have appeared since specific antigens remain to be identified. Monoclonal antibodies A2B5, HISL-19 and 4F2 bind to neuroendocrine tumors (A2B5, HISL-19) and severe malignant tumors (4F2) indicating rapid growth, enabling these tumors to express common anti-genetic determinants to our monoclonal antibodies. The immunohistochemical study for thyroid cancers revealed that A2B5 and HISL-19 only react with medullary carcinoma and that 4F2 only reacts with anaplastic carcinoma. When 131I-labeled A2B5 was injected into the rat bearing insulinoma, the antigen of which is common to medullary carcinoma of the thyroid, clear accumulation of radiolabeled antibody corresponding to the transplanted tumor was observed by scintiscanning. Furthermore, the biochemical study undertaken to identify anti-genetic protein using the Western blotting procedure demonstrated new HISL-19 antigen in medullary carcinoma of the thyroid, which is not recognized in benign endocrine tumor, and 4F2 antigen in anaplastic carcinoma. Since these antigens do not circulate in the blood stream, the administered antibody reaches the targeted lesion without decreasing antibody titer. Although many problems remain, such as the effect on normal cells and affinity to the targeted lesion, our current aim is to establish an efficient and effective chemotherapy using monoclonal antibodies in medullary carcinoma and anaplastic carcinoma arising in the thyroid.","['Shimizu, K', 'Mimura, T', 'Harada, T', 'Tanaka, S']","['Shimizu K', 'Mimura T', 'Harada T', 'Tanaka S']","['Second Dept. of Surgery, Nippon Medical School.']",['jpn'],,"['English Abstract', 'Journal Article', 'Review']",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,IM,"['Adenoma/therapy', 'Animals', 'Antibodies, Monoclonal/administration & dosage', 'Antineoplastic Agents/*administration & dosage', 'Goiter/therapy', 'Humans', 'Immunotoxins/*administration & dosage', 'Insulinoma/therapy', 'Leukemia, T-Cell/therapy', 'Mice', 'Neuroendocrine Tumors/therapy', 'Pancreatic Neoplasms/therapy', 'Rats', 'Thyroid Neoplasms/*therapy']",1994/05/01 00:00,1994/05/01 00:01,['1994/05/01 00:00'],"['1994/05/01 00:00 [pubmed]', '1994/05/01 00:01 [medline]', '1994/05/01 00:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 1994 May;21(6):743-8.,"['0 (Antibodies, Monoclonal)', '0 (Antineoplastic Agents)', '0 (Immunotoxins)']",,,18,,,,,,,,,,,,,,
8185243,NLM,MEDLINE,19940614,20190616,0077-8923 (Print) 0077-8923 (Linking),718,,1994 Apr 15,Inhibitory cytokines in patients with anemia of chronic disorders.,344-6,,"['Fuchs, D', 'Zangerle, R', 'Denz, H', 'Wachter, H']","['Fuchs D', 'Zangerle R', 'Denz H', 'Wachter H']","['Institute of Medical Chemistry and Biochemistry, University of Innsbruck, Austria.']",['eng'],,"['Comparative Study', 'Journal Article']",United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,IM,"['Anemia/*blood/etiology/immunology', 'Biomarkers/blood', 'Biopterin/analogs & derivatives/blood', 'Erythropoietin/*blood', 'Ferritins/blood', 'HIV Infections/*blood/complications/immunology', 'Hemoglobins/metabolism', 'Humans', 'Interferon-gamma/*blood', 'Leukemia/*blood/complications/immunology', 'Neoplasms/*blood/complications/immunology', 'Neopterin', 'Reference Values']",1994/04/15 00:00,1994/04/15 00:01,['1994/04/15 00:00'],"['1994/04/15 00:00 [pubmed]', '1994/04/15 00:01 [medline]', '1994/04/15 00:00 [entrez]']",['10.1111/j.1749-6632.1994.tb55735.x [doi]'],ppublish,Ann N Y Acad Sci. 1994 Apr 15;718:344-6. doi: 10.1111/j.1749-6632.1994.tb55735.x.,"['0 (Biomarkers)', '0 (Hemoglobins)', '11096-26-7 (Erythropoietin)', '22150-76-1 (Biopterin)', '670-65-5 (Neopterin)', '82115-62-6 (Interferon-gamma)', '9007-73-2 (Ferritins)']",,,,,,,,,,,,,,,,,
8185231,NLM,MEDLINE,19940614,20190616,0077-8923 (Print) 0077-8923 (Linking),718,,1994 Apr 15,Activation of GATA-1 and EPO receptor genes by a leukemia-inducing retrovirus.,245-54; discussion 254-6,,"['Ruscetti, S K', 'Aurigemma, R E']","['Ruscetti SK', 'Aurigemma RE']","['Laboratory of Molecular Oncology, National Cancer Institute, Frederick Cancer Research and Development Center, Maryland 21702-1201.']",['eng'],,['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,IM,"['Animals', 'Animals, Newborn', 'Cell Line', 'DNA-Binding Proteins/biosynthesis/*genetics', 'Erythroid-Specific DNA-Binding Factors', 'GATA1 Transcription Factor', '*Gene Expression Regulation, Neoplastic', 'Leukemia Virus, Murine/*genetics', 'Leukemia, Experimental/*metabolism/microbiology', 'Mice', 'Mice, Inbred Strains', '*Promoter Regions, Genetic', 'Receptors, Erythropoietin/biosynthesis/*genetics', 'Transcription Factors/biosynthesis/*genetics', '*Transcriptional Activation', 'Zinc Fingers/genetics']",1994/04/15 00:00,1994/04/15 00:01,['1994/04/15 00:00'],"['1994/04/15 00:00 [pubmed]', '1994/04/15 00:01 [medline]', '1994/04/15 00:00 [entrez]']",['10.1111/j.1749-6632.1994.tb55723.x [doi]'],ppublish,Ann N Y Acad Sci. 1994 Apr 15;718:245-54; discussion 254-6. doi: 10.1111/j.1749-6632.1994.tb55723.x.,"['0 (DNA-Binding Proteins)', '0 (Erythroid-Specific DNA-Binding Factors)', '0 (GATA1 Transcription Factor)', '0 (Gata1 protein, mouse)', '0 (Receptors, Erythropoietin)', '0 (Transcription Factors)']",,,,,,,,,,,,,,,,,
8185226,NLM,MEDLINE,19940614,20190616,0077-8923 (Print) 0077-8923 (Linking),718,,1994 Apr 15,Introduction: the erythropoietin receptor and signal transduction.,185-90,,"['Sawyer, S T']",['Sawyer ST'],"['Division of Hematology, Vanderbilt University School of Medicine, Nashville, Tennessee 37232-2287.']",['eng'],,"['Journal Article', 'Review']",United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,IM,"['Animals', 'Cell Line', 'Erythrocytes/metabolism', 'Erythropoietin/*biosynthesis/chemistry/physiology', 'Humans', 'Leukemia, Erythroblastic, Acute/metabolism', 'Receptors, Erythropoietin/metabolism/*physiology', '*Signal Transduction', 'Tumor Cells, Cultured']",1994/04/15 00:00,1994/04/15 00:01,['1994/04/15 00:00'],"['1994/04/15 00:00 [pubmed]', '1994/04/15 00:01 [medline]', '1994/04/15 00:00 [entrez]']",['10.1111/j.1749-6632.1994.tb55717.x [doi]'],ppublish,Ann N Y Acad Sci. 1994 Apr 15;718:185-90. doi: 10.1111/j.1749-6632.1994.tb55717.x.,"['0 (Receptors, Erythropoietin)', '11096-26-7 (Erythropoietin)']",,,14,,,,,,,,,,,,,,
8184881,NLM,MEDLINE,19940614,20190821,0361-8609 (Print) 0361-8609 (Linking),46,1,1994 May,Interferon alpha and all-trans retinoic acid-induced in vivo differentiation in a patient with nonlymphoblastic leukemia (FAB:M4),61-2,,"['Itoh, K', 'Ogura, H', 'Murakami, H']","['Itoh K', 'Ogura H', 'Murakami H']",,['eng'],,"['Case Reports', 'Letter']",United States,Am J Hematol,American journal of hematology,7610369,IM,"['Adult', 'Cell Differentiation/drug effects', 'Drug Combinations', 'Humans', 'Interferon-alpha/*therapeutic use', 'Leukemia, Myeloid, Acute/*drug therapy/*pathology', 'Male', 'Tretinoin/*therapeutic use']",1994/05/01 00:00,1994/05/01 00:01,['1994/05/01 00:00'],"['1994/05/01 00:00 [pubmed]', '1994/05/01 00:01 [medline]', '1994/05/01 00:00 [entrez]']",['10.1002/ajh.2830460117 [doi]'],ppublish,Am J Hematol. 1994 May;46(1):61-2. doi: 10.1002/ajh.2830460117.,"['0 (Drug Combinations)', '0 (Interferon-alpha)', '5688UTC01R (Tretinoin)']",,,,,,,,,,,,,,,,,
8184873,NLM,MEDLINE,19940614,20190821,0361-8609 (Print) 0361-8609 (Linking),46,1,1994 May,Perioperative administration of a single dose of conjugated oestrogen to uraemic patients is ineffective in improving haemostasis.,24-8,"The excessive bleeding that occurs in uraemic patients undergoing surgery is reported to be reversed by at least one schedule of prior oestrogen administration. To assess this possibility a single intravenous injection of 25 mg of the conjugated hormone was given to ten uraemic patients undergoing regular haemodialysis and randomly compared to eight matched patients who received only the diluent. Two hours later there was no reduction in bleeding time, improvement in platelet aggregation, nor an increase in plasma levels of factor VIII (VIII:C), von Willebrand factor (VWF:Ag), or the factor VIII-related ristocetin cofactor state. Furthermore, there was no reduction in intraoperative blood loss, being a median of 558 +/- 154 (range 225-1,260) mL in the test group and 412 +/- 55 (range 270-555) mL in the control and additional median postoperative portovac drainage was 123 +/- 27 (range 0-170) mL and 153 +/- 41 (range 45-240) mL, respectively. These findings differ from the shortening in bleeding time achieved by others with repeated administration of the same agent, and emphasize the importance of dose and duration of oestrogen therapy when used for this indication.","['Jacobs, P', 'Jacobson, J', 'Kahn, D']","['Jacobs P', 'Jacobson J', 'Kahn D']","['University of Cape Town Leukaemia Centre, Groote Schuur Hospital, Observatory, South Africa.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Hematol,American journal of hematology,7610369,IM,"['Adolescent', 'Adult', 'Bleeding Time', 'Estrogens, Conjugated (USP)/*administration & dosage/therapeutic use', 'Female', 'Hemostasis/*drug effects', 'Humans', 'Intraoperative Care', 'Male', 'Middle Aged', 'Platelet Aggregation/drug effects', 'Renal Dialysis', 'Uremia/*blood/*therapy']",1994/05/01 00:00,1994/05/01 00:01,['1994/05/01 00:00'],"['1994/05/01 00:00 [pubmed]', '1994/05/01 00:01 [medline]', '1994/05/01 00:00 [entrez]']",['10.1002/ajh.2830460105 [doi]'],ppublish,Am J Hematol. 1994 May;46(1):24-8. doi: 10.1002/ajh.2830460105.,"['0 (Estrogens, Conjugated (USP))']",,,,,,,,,,,,,,,,,
8184790,NLM,MEDLINE,19940615,20071115,0001-723X (Print) 0001-723X (Linking),37,5,1993 Oct,Preparation and characterization of monoclonal antibodies directed against glycoproteins of bovine leukaemia virus.,377-87,"Six monoclonal antibodies (MoAbs) directed against glycoproteins of bovine leukaemia virus (BLV) were prepared and characterized. Comparison of these MoAbs with anti-gp51 MoAbs of known epitope specificity by competition antibody binding assay allowed to distinguish two new conformational epitopes C1 and C2 on the molecule of gp51. The epitope C1 is involved in the process of inhibition of formation of syncytia but not in neutralization of VSV/BLV pseudotypes. Three newly prepared MoAbs were directed against known epitopes F, G and H, and their neutralizing activities of biological functions of gp51 were determined. MoAbs BLVgp30-94C11 which was directed against transmembrane glycoprotein gp30 was found not to be involved in neutralization of VSV/BLV pseudotypes and did not inhibit formation of syncytial cells as well.","['Orlik, O', 'Ban, J', 'Gieciova, E', 'Altanerova, V', 'Altaner, C']","['Orlik O', 'Ban J', 'Gieciova E', 'Altanerova V', 'Altaner C']","['Department of Molecular Virology, Cancer Research Institute, Bratislava, Slovak Republic.']",['eng'],,"['Comparative Study', 'Journal Article']",Slovakia,Acta Virol,Acta virologica,0370401,IM,"['Animals', 'Antibodies, Monoclonal/*isolation & purification', 'Antibodies, Viral/isolation & purification', 'Antibody Specificity', 'Antigens, Viral', 'Binding, Competitive', 'Cattle', 'Cell Line', 'Glycoproteins/immunology', 'Immunodominant Epitopes', 'Leukemia Virus, Bovine/*immunology', 'Mice', 'Neutralization Tests', 'Sheep', 'Vesicular stomatitis Indiana virus/immunology', 'Viral Proteins/*immunology']",1993/10/01 00:00,1993/10/01 00:01,['1993/10/01 00:00'],"['1993/10/01 00:00 [pubmed]', '1993/10/01 00:01 [medline]', '1993/10/01 00:00 [entrez]']",,ppublish,Acta Virol. 1993 Oct;37(5):377-87.,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Viral)', '0 (Antigens, Viral)', '0 (Glycoproteins)', '0 (Immunodominant Epitopes)', '0 (Viral Proteins)']",,,,,,,,,,,,,,,,,
