PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,PMC,IP,OID,TT,AB,RF
14371802,NLM,MEDLINE,20030501,20181201,0033-2240 (Print) 0033-2240 (Linking),10,1954 Dec,[Specific cutaneous infiltrations in myeloid chloroma].,315-8,"['KANIAK, J']",['KANIAK J'],['pol'],['Journal Article'],Poland,Przegl Lek,Przeglad lekarski,19840720R,OM,"['*Bone Marrow', '*Bone Marrow Neoplasms', 'Humans', '*Leukemia', '*Sarcoma, Myeloid', '*Skin Neoplasms']",['NLM'],"['*BONE MARROW/neoplasms', '*LEUKOSARCOMA', '*SKIN/neoplasms']",1954/12/01 00:00,1954/12/01 00:01,['1954/12/01 00:00'],"['1954/12/01 00:00 [pubmed]', '1954/12/01 00:01 [medline]', '1954/12/01 00:00 [entrez]']",ppublish,Przegl Lek. 1954 Dec;10(12):315-8.,,,,12,['CLML: 5528:22647:100:326:518'],Swoiste nacieki skorne w przebiegu zieleniaka szpikowego.,,
14371783,NLM,MEDLINE,20030501,20181201,0370-1514 (Print) 0370-1514 (Linking),11,1955 Apr 15,[Involvement of the endocrine apparatus in acute leukemia].,212-6,"['FABIANI, F', 'LUCENTINI, L']","['FABIANI F', 'LUCENTINI L']",['ita'],['Journal Article'],Italy,Prog Med (Napoli),Il Progresso medico,2984827R,OM,"['Diabetes Insipidus/*complications', '*Diabetes Insipidus, Neurogenic', '*Endocrine Glands', 'Humans', '*Leukemia', 'Leukemia, Myeloid/*complications']",['NLM'],"['*DIABETES INSIPIDUS/complications', '*ENDOCRINE GLANDS', '*LEUKEMIA, MYELOCYTIC/complications']",1955/04/15 00:00,1955/04/15 00:01,['1955/04/15 00:00'],"['1955/04/15 00:00 [pubmed]', '1955/04/15 00:01 [medline]', '1955/04/15 00:00 [entrez]']",ppublish,Prog Med (Napoli). 1955 Apr 15;11(7):212-6.,,,,7,['CLML: 5528:22628:174:202:325'],La compromissione dell'apparato endocrino nella leucemia acuta.,,
14371774,NLM,MEDLINE,20030501,20181201,0370-1514 (Print) 0370-1514 (Linking),11,1955 Mar 15,[A particular morphological change in the nucleus of leukemic hemocytoblasts and myeloblasts].,135-7,"['MELE, V', 'PETROLILLO, F']","['MELE V', 'PETROLILLO F']",['ita'],['Journal Article'],Italy,Prog Med (Napoli),Il Progresso medico,2984827R,OM,"['*Bone Marrow', '*Cell Nucleus', '*Granulocyte Precursor Cells', 'Humans', 'Leukemia/*blood', '*Leukocyte Count', '*Stem Cells']",['NLM'],"['*BONE MARROW', '*LEUKEMIA/blood in']",1955/03/15 00:00,1955/03/15 00:01,['1955/03/15 00:00'],"['1955/03/15 00:00 [pubmed]', '1955/03/15 00:01 [medline]', '1955/03/15 00:00 [entrez]']",ppublish,Prog Med (Napoli). 1955 Mar 15;11(5):135-7.,,,,5,['CLML: 5528:22619:100:324'],Un particolare atteggiamento del nucleo in emocitoblastie e mieloblasti leucemici.,,
14371512,NLM,MEDLINE,20030501,20181201,0032-7867 (Print) 0032-7867 (Linking),63,1955 Mar 5,[6-Mercaptopurine in therapy of leukemia].,344,"['ROUQUES, L']",['ROUQUES L'],['fre'],['Journal Article'],France,Presse Med,La Presse medicale,0312556,OM,"['Leukemia/*therapy', '*Mercaptopurine', 'Purines/*therapeutic use']",['NLM'],"['*LEUKEMIA/therapy', '*PURINES/therapeutic use']",1955/03/05 00:00,1955/03/05 00:01,['1955/03/05 00:00'],"['1955/03/05 00:00 [pubmed]', '1955/03/05 00:01 [medline]', '1955/03/05 00:00 [entrez]']",ppublish,Presse Med. 1955 Mar 5;63(17):344.,"['0 (Purines)', 'E7WED276I5 (Mercaptopurine)', 'W60KTZ3IZY (purine)']",,,17,['CLML: 5528:22357:324:477'],La 6-mercaptopurine dans le traitement des leucemies.,,
14371117,NLM,MEDLINE,20030501,20181201,0860-8857 (Print) 0860-8857 (Linking),10,1955 Feb 1,[First results of therapy with triethylene melamine].,149-51,"['NOWOTNA-WALCOWA, R']",['NOWOTNA-WALCOWA R'],['pol'],['Journal Article'],Poland,Pol Tyg Lek (Wars),Polski tygodnik lekarski,9706227,OM,"['Leukemia/*therapy', 'Triethylenemelamine/*therapeutic use']",['NLM'],"['*LEUKEMIA/therapy', '*LEUKOSARCOMA/therapy', '*TRIETHYLENE MELAMINE/therapeutic use']",1955/02/01 00:00,1955/02/01 00:01,['1955/02/01 00:00'],"['1955/02/01 00:00 [pubmed]', '1955/02/01 00:01 [medline]', '1955/02/01 00:00 [entrez]']",ppublish,Pol Tyg Lek (Wars). 1955 Feb 1;10(5):149-51.,['F7IY6HZG9D (Triethylenemelamine)'],,,5,['CLML: 5528:21962:324:326:572'],Pierwsze wyniki leczenia trojetylenomelamina.,,
14370497,NLM,MEDLINE,20030501,20181201,0028-7628 (Print) 0028-7628 (Linking),55,1955 May 1,Misdiagnosis of neuroblastoma.,1344-6,"['HYMAN, W', 'SZTRAMSKI, G A']","['HYMAN W', 'SZTRAMSKI GA']",['eng'],['Journal Article'],United States,N Y State J Med,New York state journal of medicine,0401064,OM,"['*Diagnosis, Differential', '*Diagnostic Errors', 'Humans', '*Kidney Neoplasms', '*Leukemia', 'Leukemia, Myeloid/*diagnosis', '*Neuroblastoma']",['NLM'],"['*KIDNEYS/neoplasms', '*LEUKEMIA, MYELOCYTIC/differential diagnosis', '*NEUROBLASTOMA']",1955/05/01 00:00,1955/05/01 00:01,['1955/05/01 00:00'],"['1955/05/01 00:00 [pubmed]', '1955/05/01 00:01 [medline]', '1955/05/01 00:00 [entrez]']",ppublish,N Y State J Med. 1955 May 1;55(9):1344-6.,,,,9,['CLML: 5528:21342:314:325:388'],,,
14370430,NLM,MEDLINE,20030501,20181201,0028-4793 (Print) 0028-4793 (Linking),252,1955 May 12,Manifestations of acute leukemia in the parenchyma of the lung.,797-801,"['NATHAN, D J', 'SANDERS, M']","['NATHAN DJ', 'SANDERS M']",['eng'],['Journal Article'],United States,N Engl J Med,The New England journal of medicine,0255562,OM,"['*Acute Disease', 'Humans', 'Leukemia/*pathology', '*Lung', '*Lung Neoplasms']",['NLM'],"['*LEUKEMIA/pathology', '*LUNGS/neoplasms']",1955/05/12 00:00,1955/05/12 00:01,['1955/05/12 00:00'],"['1955/05/12 00:00 [pubmed]', '1955/05/12 00:01 [medline]', '1955/05/12 00:00 [entrez]']",ppublish,N Engl J Med. 1955 May 12;252(19):797-801. doi: 10.1056/NEJM195505122521903.,,['10.1056/NEJM195505122521903 [doi]'],,19,['CLML: 5528:21274:324:339'],,,
14370399,NLM,MEDLINE,20030501,20181201,0028-4793 (Print) 0028-4793 (Linking),252,1955 Apr 14,CASE RECORDS of the Massachusetts General Hospital: weekly clinicopathological exercises: case 41151.,630-4,,,['eng'],['Journal Article'],United States,N Engl J Med,The New England journal of medicine,0255562,OM,"['*Genetic Diseases, X-Linked', '*Hospitals, General', 'Humans', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', 'Massachusetts', '*Severe Combined Immunodeficiency']",['NLM'],['*RETICULOENDOTHELIOSIS'],1955/04/14 00:00,1955/04/14 00:01,['1955/04/14 00:00'],"['1955/04/14 00:00 [pubmed]', '1955/04/14 00:01 [medline]', '1955/04/14 00:00 [entrez]']",ppublish,N Engl J Med. 1955 Apr 14;252(15):630-4. doi: 10.1056/NEJM195504142521507.,"['Reticuloendotheliosis, X-linked']",['10.1056/NEJM195504142521507 [doi]'],,15,['CLML: 5528:21243:492'],,,
14370281,NLM,MEDLINE,20030501,20181201,0028-2162 (Print) 0028-2162 (Linking),99,1955 Feb 12,[Periodic total body irradiation in therapy of chronic leukemia].,485-9,"['VISSER, R C']",['VISSER RC'],['dut'],['Journal Article'],Netherlands,Ned Tijdschr Geneeskd,Nederlands tijdschrift voor geneeskunde,0400770,OM,"['*Chronic Disease', 'Humans', 'Leukemia/*therapy', '*Radiotherapy', '*Whole-Body Irradiation']",['NLM'],"['*LEUKEMIA/therapy', '*RADIOTHERAPY']",1955/02/12 00:00,1955/02/12 00:01,['1955/02/12 00:00'],"['1955/02/12 00:00 [pubmed]', '1955/02/12 00:01 [medline]', '1955/02/12 00:00 [entrez]']",ppublish,Ned Tijdschr Geneeskd. 1955 Feb 12;99(7):485-9.,,,,7,['CLML: 5528:21125:324:483'],Behandeling van chronische leucaemie met periodieke totale lichaamsbestraling.,,
14370133,NLM,MEDLINE,20030501,20181201,,46,1954 Dec,[Leukemia of venous origin].,707-10,"['GIRAUD, G', 'LATOUR, H', 'LEVY, A', 'PUECH, P', 'BERTRAND, A', 'BONNET, H']","['GIRAUD G', 'LATOUR H', 'LEVY A', 'PUECH P', 'BERTRAND A', 'BONNET H']",['fre'],['Journal Article'],France,Montp Med,Montpellier medical,18820540R,OM,"['Humans', 'Leukemia/*physiology', '*Thrombosis', '*Veins']",['NLM'],"['*LEUKEMIA/physiology', '*THROMBOSIS']",1954/12/01 00:00,1954/12/01 00:01,['1954/12/01 00:00'],"['1954/12/01 00:00 [pubmed]', '1954/12/01 00:01 [medline]', '1954/12/01 00:00 [entrez]']",ppublish,Montp Med. 1954 Dec;46(6):707-10.,,,,6,['CLML: 5528:20977:324:561'],Leucoses a debut veineux.,,
14370129,NLM,MEDLINE,20030501,20181201,,46,1954 Dec,[Fatal hemorrhagic syndrome caused by acute fibrinolysis during myelocytic leukemia].,687-93,"['GIRAUD, G', 'CAZAL, P', 'LATOUR, H', 'IZARN, P', 'LEVY, A', 'PUECH, P', 'BARJON, P', 'RIBSTEIN, M']","['GIRAUD G', 'CAZAL P', 'LATOUR H', 'IZARN P', 'LEVY A', 'PUECH P', 'BARJON P', 'RIBSTEIN M']",['fre'],['Journal Article'],France,Montp Med,Montpellier medical,18820540R,OM,"['*Fibrin', '*Fibrinolysis', '*Hemorrhage', 'Humans', '*Leukemia', 'Leukemia, Myeloid/*complications', '*Syndrome']",['NLM'],"['*FIBRIN', '*HEMORRHAGE', '*LEUKEMIA, MYELOCYTIC/complications']",1954/12/01 00:00,1954/12/01 00:01,['1954/12/01 00:00'],"['1954/12/01 00:00 [pubmed]', '1954/12/01 00:01 [medline]', '1954/12/01 00:00 [entrez]']",ppublish,Montp Med. 1954 Dec;46(6):687-93.,['9001-31-4 (Fibrin)'],,,6,['CLML: 5528:20973:225:266:325'],Syndrome hemorragique mortel par fibrinolyse aigue au cours d'une leucose myeloide.,,
14369258,NLM,MEDLINE,20030501,20181201,0025-729X (Print) 0025-729X (Linking),42,1955 Mar 19,RETICULOENDOTHELIOSIS.,432-3,,,['eng'],['Journal Article'],Australia,Med J Aust,The Medical journal of Australia,0400714,OM,"['*Genetic Diseases, X-Linked', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Severe Combined Immunodeficiency']",['NLM'],['*RETICULOENDOTHELIOSIS'],1955/03/19 00:00,1955/03/19 00:01,['1955/03/19 00:00'],"['1955/03/19 00:00 [pubmed]', '1955/03/19 00:01 [medline]', '1955/03/19 00:00 [entrez]']",ppublish,Med J Aust. 1955 Mar 19;42(1 12):432-3.,"['Reticuloendotheliosis, X-linked']",,,1 12,['CLML: 5528:20101:492'],,,
14369238,NLM,MEDLINE,20030501,20181201,0025-729X (Print) 0025-729X (Linking),42,1955 Mar 5,Lymphadenosis amongst New Guinea natives.,358-60,"['SAAVE, J J']",['SAAVE JJ'],['eng'],['Journal Article'],Australia,Med J Aust,The Medical journal of Australia,0400714,OM,"['Humans', '*Leukemia', 'Leukemia, Lymphoid/*statistics & numerical data', 'New Guinea', '*Population Groups']",['NLM'],"['*LEUKEMIA, LYMPHATIC/statistics']",1955/03/05 00:00,1955/03/05 00:01,['1955/03/05 00:00'],"['1955/03/05 00:00 [pubmed]', '1955/03/05 00:01 [medline]', '1955/03/05 00:00 [entrez]']",ppublish,Med J Aust. 1955 Mar 5;42(1 10):358-60.,,,,1 10,['CLML: 5528:20081:324'],,,
14368460,NLM,MEDLINE,20030501,20190630,0022-3476 (Print) 0022-3476 (Linking),46,1955 May,"The use of cortisone in the treatment of reticuloendotheliosis; cases from the pediatric service of the Valley Forge Army Hospital, Phoenixville, Pa.",531-8,"['LEVIN, H']",['LEVIN H'],['eng'],['Journal Article'],United States,J Pediatr,The Journal of pediatrics,0375410,OM,"['Child', 'Cortisone/*therapeutic use', '*Environment', '*Genetic Diseases, X-Linked', '*Hospitals, Military', 'Humans', 'Infant', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Severe Combined Immunodeficiency', 'United States']",['NLM'],"['*CORTISONE/therapeutic use', '*RETICULOENDOTHELIOSIS/in infant and child']",1955/05/01 00:00,1955/05/01 00:01,['1955/05/01 00:00'],"['1955/05/01 00:00 [pubmed]', '1955/05/01 00:01 [medline]', '1955/05/01 00:00 [entrez]']",ppublish,J Pediatr. 1955 May;46(5):531-8. doi: 10.1016/s0022-3476(55)80258-2.,"['V27W9254FZ (Cortisone)', 'Reticuloendotheliosis, X-linked']","['S0022-3476(55)80258-2 [pii]', '10.1016/s0022-3476(55)80258-2 [doi]']",,5,['CLML: 5528:19303:158:492'],,,
14368457,NLM,MEDLINE,20030501,20190630,0022-3476 (Print) 0022-3476 (Linking),46,1955 May,The effect of triethylene thiophosphoramide in the treatment of leukemia and certain lymphomas in infants and children.,493-505,"['SMITH, N J', 'ROSELLO, S', 'SHAY, H']","['SMITH NJ', 'ROSELLO S', 'SHAY H']",['eng'],['Journal Article'],United States,J Pediatr,The Journal of pediatrics,0375410,OM,"['Leukemia/*therapy', 'Lymphoma/*therapy', 'Phosphorus/analogs & derivatives', '*Phosphorus, Dietary']",['NLM'],"['*LEUKEMIA/therapy', '*LYMPHOMA/therapy', '*PHOSPHORUS/derivatives']",1955/05/01 00:00,1955/05/01 00:01,['1955/05/01 00:00'],"['1955/05/01 00:00 [pubmed]', '1955/05/01 00:01 [medline]', '1955/05/01 00:00 [entrez]']",ppublish,J Pediatr. 1955 May;46(5):493-505. doi: 10.1016/s0022-3476(55)80255-7.,"['0 (Phosphorus, Dietary)', '27YLU75U4W (Phosphorus)']","['S0022-3476(55)80255-7 [pii]', '10.1016/s0022-3476(55)80255-7 [doi]']",,5,['CLML: 5528:19300:324:342:436'],,,
14368447,NLM,MEDLINE,20030501,20190630,0022-3476 (Print) 0022-3476 (Linking),46,1955 Apr,"Congenital acute leukemia; skin nodules, a first sign.",415-8,"['REIMANN, D L', 'CLEMMENS, R L', 'PILLSBURY, W A']","['REIMANN DL', 'CLEMMENS RL', 'PILLSBURY WA']",['eng'],['Journal Article'],United States,J Pediatr,The Journal of pediatrics,0375410,OM,"['*Acute Disease', 'Child', 'Humans', 'Infant', '*Leukemia', '*Skin', '*Skin Neoplasms']",['NLM'],"['*LEUKEMIA/in infant and child', '*SKIN']",1955/04/01 00:00,1955/04/01 00:01,['1955/04/01 00:00'],"['1955/04/01 00:00 [pubmed]', '1955/04/01 00:01 [medline]', '1955/04/01 00:00 [entrez]']",ppublish,J Pediatr. 1955 Apr;46(4):415-8. doi: 10.1016/s0022-3476(55)80146-1.,,"['S0022-3476(55)80146-1 [pii]', '10.1016/s0022-3476(55)80146-1 [doi]']",,4,['CLML: 5528:19290:324:518'],,,
14368279,NLM,MEDLINE,20030501,20181201,0027-8874 (Print) 0027-8874 (Linking),15,1955 Apr,Neoplasms in mice inoculated with cell-free extracts or filtrates of leukemic mouse tissues. I. Neoplasms of the parotid and adrenal glands.,1391-415,"['STEWART, S E']",['STEWART SE'],['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,OM,"['*Adrenal Gland Neoplasms', '*Adrenal Glands', 'Animals', '*Leukemia, Experimental', 'Mice', '*Neoplasms', '*Parotid Gland']",['NLM'],"['*ADRENAL GLANDS/neoplasms', '*LEUKEMIA/experimental', '*PAROTID GLAND/neoplasms']",1955/04/01 00:00,1955/04/01 00:01,['1955/04/01 00:00'],"['1955/04/01 00:00 [pubmed]', '1955/04/01 00:01 [medline]', '1955/04/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1955 Apr;15(5):1391-415.,,,,5,['CLML: 5528:19122:18:324:420'],,,
14368038,NLM,MEDLINE,20030501,20181201,0022-2143 (Print) 0022-2143 (Linking),45,1955 May,The tagging of leukemic leukocytes with radioactive chromium and measurement of the in vivo cell survival.,717-24,"['McCALL, M S', 'SUTHERLAND, D A', 'EISENTRAUT, A M', 'LANZ, H']","['McCALL MS', 'SUTHERLAND DA', 'EISENTRAUT AM', 'LANZ H']",['eng'],['Journal Article'],United States,J Lab Clin Med,The Journal of laboratory and clinical medicine,0375375,OM,"['*Cell Survival', '*Chromium', '*Chromium Radioisotopes', 'Leukemia/*blood', '*Leukocytes', '*Neoplasms, Squamous Cell', '*Radioactivity']",['NLM'],"['*CHROMIUM/radioactive', '*LEUKEMIA/blood in', '*LEUKOCYTES']",1955/05/01 00:00,1955/05/01 00:01,['1955/05/01 00:00'],"['1955/05/01 00:00 [pubmed]', '1955/05/01 00:01 [medline]', '1955/05/01 00:00 [entrez]']",ppublish,J Lab Clin Med. 1955 May;45(5):717-24.,"['0 (Chromium Radioisotopes)', '0R0008Q3JB (Chromium)']",['0022-2143(55)90028-7 [pii]'],,5,['CLML: 5528:18881:142:324:326'],,,
14367553,NLM,MEDLINE,20030501,20190501,0021-9746 (Print) 0021-9746 (Linking),8,1955 May,Uptake of sulphate 35S by leukaemic human bone marrow in vivo.,166-7,"['ELLIS, F', 'LAJTHA, L G', 'OLIVER, R']","['ELLIS F', 'LAJTHA LG', 'OLIVER R']",['eng'],['Journal Article'],England,J Clin Pathol,Journal of clinical pathology,0376601,OM,"['Bone Marrow/*metabolism', 'Humans', '*Ions', 'Leukemia/*metabolism', 'Sulfates/*metabolism']",['NLM'],"['*BONE MARROW/metabolism', '*LEUKEMIA/metabolism in', '*SULFATES/metabolism']",1955/05/01 00:00,1955/05/01 00:01,['1955/05/01 00:00'],"['1955/05/01 00:00 [pubmed]', '1955/05/01 00:01 [medline]', '1955/05/01 00:00 [entrez]']",ppublish,J Clin Pathol. 1955 May;8(2):166-7. doi: 10.1136/jcp.8.2.166.,"['0 (Ions)', '0 (Sulfates)']",['10.1136/jcp.8.2.166 [doi]'],PMC1023779,2,['CLML: 5528:18396:100:324:542'],,,
14365955,NLM,MEDLINE,20030501,20181201,,81,1954 Dec,[Progressive bone changes in infantile leukemia with reticulosis].,788-96,"['WETZEL, U', 'HEUCK, F']","['WETZEL U', 'HEUCK F']",['ger'],['Journal Article'],Germany,Fortschr Geb Rontgenstr,Fortschritte auf dem Gebiete der Rontgenstrahlen,17010480R,OM,"['Bone and Bones/*pathology', 'Child', 'Humans', 'Infant', '*Leukemia', '*Lymphoma']",['NLM'],"['*BONES/pathology', '*LEUKEMIA/in infant and child', '*LYMPHOMA']",1954/12/01 00:00,1954/12/01 00:01,['1954/12/01 00:00'],"['1954/12/01 00:00 [pubmed]', '1954/12/01 00:01 [medline]', '1954/12/01 00:00 [entrez]']",ppublish,Fortschr Geb Rontgenstr. 1954 Dec;81(6):788-96.,,,,6,['CLML: 5528:16793:102:324:342'],Uber progrediente Knochenveranderungen bei kindlicher Leukamie mit Retikulose.,,
14365355,NLM,MEDLINE,20030501,20181201,0012-0472 (Print) 0012-0472 (Linking),80,1955 Mar 18,[The treatment of a chronic lymphadenosis with the endoscopic vagosympathicotomy by Kux; preliminary report].,391-2,"['KELLERMANN, J']",['KELLERMANN J'],['ger'],['Journal Article'],Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,OM,"['*Endoscopy', 'Humans', '*Leukemia', 'Leukemia, Lymphoid/*surgery', '*Sympathectomy', 'Vagus Nerve/*surgery']",['NLM'],"['*LEUKEMIA, LYMPHATIC/surgery', '*NERVES, VAGUS/surgery', '*SYMPATHECTOMY']",1955/03/18 00:00,1955/03/18 00:01,['1955/03/18 00:00'],"['1955/03/18 00:00 [pubmed]', '1955/03/18 00:01 [medline]', '1955/03/18 00:00 [entrez]']",ppublish,Dtsch Med Wochenschr. 1955 Mar 18;80(11):391-2.,,,,11,['CLML: 5528:16193:324:387:547'],Die Behandlung einer chronischen Lymphadenose mit der endoskopischen Vago-Sympathikotomie nach Kux; vorlaufige Mitteilung.,,
14365268,NLM,MEDLINE,20030501,20181201,0012-0219 (Print) 0012-0219 (Linking),10,1955 Jan 20,[Pathogenesis of anemia in leukemia].,89-92,"['THIELE, H']",['THIELE H'],['ger'],['Journal Article'],Germany,Dtsch Gesundheitsw,Das Deutsche Gesundheitswesen,0433572,OM,"['*Anemia', 'Humans', 'Leukemia/*complications', '*Tracheophyta']",['NLM'],"['*ANEMIA', '*LEUKEMIA/complications']",1955/01/20 00:00,1955/01/20 00:01,['1955/01/20 00:00'],"['1955/01/20 00:00 [pubmed]', '1955/01/20 00:01 [medline]', '1955/01/20 00:00 [entrez]']",ppublish,Dtsch Gesundheitsw. 1955 Jan 20;10(3):89-92.,,,,3,['CLML: 5528:16106:33:324'],Zur Pathogenese der Anamie bei Leukamien.,,
14365261,NLM,MEDLINE,20030501,20181201,0012-0219 (Print) 0012-0219 (Linking),10,1955 Jan 13,[Recent treatment of acute leukemia in children and its results].,53-7,"['OEHME, J']",['OEHME J'],['ger'],['Journal Article'],Germany,Dtsch Gesundheitsw,Das Deutsche Gesundheitswesen,0433572,OM,"['*Acute Disease', 'Adrenocorticotropic Hormone/*therapeutic use', 'Child', 'Cortisone/*therapeutic use', 'Infant', '*Leukemia', 'Purines/*therapeutic use']",['NLM'],"['*ACTH/therapeutic use', '*CORTISONE/therapeutic use', '*LEUKEMIA/in infant and child', '*PURINES/therapeutic use']",1955/01/13 00:00,1955/01/13 00:01,['1955/01/13 00:00'],"['1955/01/13 00:00 [pubmed]', '1955/01/13 00:01 [medline]', '1955/01/13 00:00 [entrez]']",ppublish,Dtsch Gesundheitsw. 1955 Jan 13;10(2):53-7.,"['0 (Purines)', '9002-60-2 (Adrenocorticotropic Hormone)', 'V27W9254FZ (Cortisone)', 'W60KTZ3IZY (purine)']",,,2,['CLML: 5528:16099:11:158:324:477'],Neuzeitliche Behandlung akuter Leukosen des Kindesalters und ihre Folgen.,,
14365235,NLM,MEDLINE,20030501,20181201,0011-9075 (Print) 0011-9075 (Linking),109,1954 Dec,[Skin reticulosis].,370-91,"['BURCKHARDT-ZELLWEGER, V E']",['BURCKHARDT-ZELLWEGER VE'],['ger'],['Journal Article'],Switzerland,Dermatologica,Dermatologica,0211607,OM,"['*Genetic Diseases, X-Linked', 'Humans', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Severe Combined Immunodeficiency', '*Skin', '*Skin Neoplasms']",['NLM'],"['*RETICULOENDOTHELIOSIS', '*SKIN/neoplasms']",1954/12/01 00:00,1954/12/01 00:01,['1954/12/01 00:00'],"['1954/12/01 00:00 [pubmed]', '1954/12/01 00:01 [medline]', '1954/12/01 00:00 [entrez]']",ppublish,Dermatologica. 1954 Dec;109(6):370-91.,"['Reticuloendotheliosis, X-linked']",,,6,['CLML: 5528:16073:492:518'],Zur Kenntnis der Hautreticulosen.,,
14364853,NLM,MEDLINE,20030501,20181201,0001-4036 (Print) 0001-4036 (Linking),240,1955 Jan 24,[Peculiar formations observed by electron microscope in various leukemia cells].,459-60,"['BESSIS, M', 'BRETON-GORIUS, J']","['BESSIS M', 'BRETON-GORIUS J']",['fre'],['Journal Article'],France,C R Hebd Seances Acad Sci,Comptes rendus hebdomadaires des seances de l'Academie des sciences,7501108,OM,"['*Electrons', '*Leukemia', 'Leukemia, Myeloid/*pathology', '*Microscopy', '*Microscopy, Electron']",['NLM'],"['*LEUKEMIA, MYELOCYTIC/pathology', '*MICROSCOPY, ELECTRON']",1955/01/24 00:00,1955/01/24 00:01,['1955/01/24 00:00'],"['1955/01/24 00:00 [pubmed]', '1955/01/24 00:01 [medline]', '1955/01/24 00:00 [entrez]']",ppublish,C R Hebd Seances Acad Sci. 1955 Jan 24;240(4):459-60.,,,,4,['CLML: 5528:15687:325:360'],Sur des formations particulieres observees au microscope electronique dans certaines cellules leucemiques.,,
14364498,NLM,MEDLINE,20030501,20181201,0008-5472 (Print) 0008-5472 (Linking),Suppl. 3,1955,Effects of a series of tumor-inhibiting agents and related compounds on L1210 leukemia and drug-resistant lines thereof.,44-6,"['SKIPPER, H E', 'THOMSON, J R']","['SKIPPER HE', 'THOMSON JR']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,OM,"['Animals', '*Leukemia L1210', '*Leukemia, Experimental']",['NLM'],['*LEUKEMIA/experimental'],1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Cancer Res. 1955;Suppl. 3:44-6.,,,,,['CLML: 5528:15332:324'],,,
14364255,NLM,MEDLINE,20030501,20181201,0366-1334 (Print) 0366-1334 (Linking),70,1954 Dec,[Intradermal reactions to extracts of normal and leukemic leukocytes in acute leukemia].,1170-9,"['BERNARD, J', 'GRABAR, P', 'SELIGMANN, M', 'BADILLET, M']","['BERNARD J', 'GRABAR P', 'SELIGMANN M', 'BADILLET M']",['fre'],['Journal Article'],France,Bull Mem Soc Med Hop Paris,Bulletins et memoires de la Societe medicale des hopitaux de Paris,7503472,OM,"['*Acute Disease', 'Leukemia/*physiology', '*Leukocytes', '*Skin']",['NLM'],"['*LEUKEMIA/physiology', '*LEUKOCYTES', '*SKIN']",1954/12/01 00:00,1954/12/01 00:01,['1954/12/01 00:00'],"['1954/12/01 00:00 [pubmed]', '1954/12/01 00:01 [medline]', '1954/12/01 00:00 [entrez]']",ppublish,Bull Mem Soc Med Hop Paris. 1954 Dec;70(32-34):1170-9.,,,,32-34,['CLML: 5528:15089:324:326:518'],Intradermo-reactions a des extraits de leucocytes normaux et de leucocytes leucemiques chez des sujets atteints de leucemie aigue.,,
14364125,NLM,MEDLINE,20030501,20181201,,61,1954 Nov-Dec,[Acute leukemia with monocytes (mucous forme)].,483-5,"['DEGOS, R', 'DELORT, J', 'OSSIPOWSKI, B', 'LEPINE, P']","['DEGOS R', 'DELORT J', 'OSSIPOWSKI B', 'LEPINE P']",['fre'],['Journal Article'],France,Bull Soc Fr Dermatol Syphiligr,Bulletin de la Societe francaise de dermatologie et de syphiligraphie,7503407,OM,"['*Acute Disease', 'Humans', 'Leukemia/*blood', '*Monocytes']",['NLM'],"['*LEUKEMIA/blood in', '*MONOCYTES']",1954/11/01 00:00,1954/11/01 00:01,['1954/11/01 00:00'],"['1954/11/01 00:00 [pubmed]', '1954/11/01 00:01 [medline]', '1954/11/01 00:00 [entrez]']",ppublish,Bull Soc Fr Dermatol Syphiligr. 1954 Nov-Dec;61(5):483-5.,,,,5,['CLML: 5528:14959:324:364'],Leucemie aigue a monocytes (forme muqueuse).,,
