PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,EIN,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,GS,CIN,TT,SI,CON,PS,FPS,CRF
8008655,NLM,MEDLINE,19940718,20080620,0032-3756 (Print) 0032-3756 (Linking),48,25-26,1993 Jun 21-28,"[Gonadal disorder as a result of adverse reaction to antineoplastic drugs--diagnosis, symptoms, prevention and treatment].",572-5,"The past three decades have shown the increasing success of chemotherapy as the treatment of malignancies. This therapeutic success has focused attention on the associated gonadal toxicity. Cytotoxic agents may induce infertility and endocrine disfunction. Data for analysis were provided by studies on gonadal function after chemotherapy for: Hodgkin's disease, acute lymphocytic leukemia, non-Hodgkin's lymphoma, breast cancer; renal disease, bone-marrow transplantation. The likelihood of developing chemotherapy-induced damage depended on the chemotherapeutic regimen and prescribed dose, illness, sex and degree of gonadal activity at the time of treatment. Despite of the high frequency of chemotherapy-induced gonadal damage its prevention has received a little attention. LH-RHA and oral contraceptive therapy and testosterone have been tested to a limited extent of gonadal toxicity. Usually in male endocrine disfunction of testis does not need to be treated because it is moderate and does not cause any clinical symptoms. In female hormonal substitution seems to be necessary to decrease unpleasant feelings connected with menopause induced by chemotherapy. Further investigations should considered use of new cytotoxic agents without gonadal toxicity or use of new drugs which can better protect gonadal function.","['Kowalska, A']",['Kowalska A'],"['Ze Swietokrzyskiego Centrum Onkologii, Kielcach.']",['pol'],,"['English Abstract', 'Journal Article', 'Review']",Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,,IM,,"['Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Female', 'Humans', 'Male', 'Ovarian Diseases/*chemically induced/diagnosis/therapy', 'Testicular Diseases/*chemically induced/diagnosis/therapy']",30,1993/06/21 00:00,1993/06/21 00:01,['1993/06/21 00:00'],"['1993/06/21 00:00 [pubmed]', '1993/06/21 00:01 [medline]', '1993/06/21 00:00 [entrez]']",,ppublish,Pol Tyg Lek. 1993 Jun 21-28;48(25-26):572-5.,,,,"Zaburzenia czynnosci gonad jako wynik dzialania lekow przeciwnowotworowych--diagnostyka, objawy, zapobieganie, leczenie.",,,,,
8008497,NLM,MEDLINE,19940715,20190830,0301-0449 (Print) 0301-0449 (Linking),24,1,1994,Rhinocerebral mucormycosis in a child with leukemia: CT and MRI findings.,50-1,,"['Garces, P', 'Mueller, D', 'Trevenen, C']","['Garces P', 'Mueller D', 'Trevenen C']","['Department of Radiology, Foothills Hospital, Calgary, Alberta, Canada.']",['eng'],,"['Case Reports', 'Journal Article']",Germany,Pediatr Radiol,Pediatric radiology,0365332,,IM,,"['Brain Diseases/complications/diagnosis/*microbiology', 'Burkitt Lymphoma/complications', 'Child', 'Humans', 'Magnetic Resonance Imaging', 'Male', 'Mucormycosis/complications/*diagnosis', 'Opportunistic Infections/complications/*diagnosis', 'Paranasal Sinus Diseases/complications/diagnosis/*microbiology', 'Tomography, X-Ray Computed']",,1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.1007/BF02017662 [doi]'],ppublish,Pediatr Radiol. 1994;24(1):50-1. doi: 10.1007/BF02017662.,,,,,,,,,
8008278,NLM,MEDLINE,19940721,20190818,0360-4039 (Print) 0360-4039 (Linking),24,6,1994 Jun,No negative attitudes allowed.,43,,"['Wadford, M L']",['Wadford ML'],,['eng'],,"['Case Reports', 'Journal Article']",United States,Nursing,Nursing,7600137,,,,"['Adult', 'Empathy', 'Fatal Outcome', 'Female', 'Humans', 'Leukemia/nursing/*psychology', '*Nurse-Patient Relations']",,1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",['10.1097/00152193-199406000-00019 [doi]'],ppublish,Nursing. 1994 Jun;24(6):43. doi: 10.1097/00152193-199406000-00019.,,,,,,,,,
8008029,NLM,MEDLINE,19940721,20201226,0028-4793 (Print) 0028-4793 (Linking),331,3,1994 Jul 21,Langerhans'-cell histiocytosis (histiocytosis X)--a clonal proliferative disease.,154-60,"BACKGROUND: The lesions of Langerhans'-cell histiocytosis (histiocytosis X), a proliferative histiocytic disorder of unknown cause, contain histiocytes similar in phenotype to dendritic Langerhans' cells. The disease ranges in severity from a fatal leukemia-like disorder to an isolated lytic lesion of bone. Intermediate forms of the disease are usually characterized by multiorgan involvement, diabetes insipidus, and a chronic course. METHODS: To determine whether Langerhans' histiocytosis is a polyclonal reactive disease or a clonal disorder, we used X-linked polymorphic DNA probes (HUMARA, PGK, M27 beta[DXS255], and HPRT) to assess clonality in lesional tissues and control leukocytes from 10 female patients with various forms of the disease. Lymphoid clonality was also assessed by analysis of rearrangements at immunoglobulin and T-cell-receptor gene loci. RESULTS: The HUMARA assay detected clonal cells in the lesions of 9 of the 10 patients: 3 patients had acute disseminated disease, 3 had unifocal disease, and 3 had intermediate forms. The percentage of clonal cells closely approximated the percentage of CD1a-positive histiocytes in each lesion. Clonality was also confirmed in two of nine cases with the PGK or M27 beta probe. Extreme constitutional lyonization precluded assessment of clonality in the 10th case. Lymphoid clonality was ruled out in all cases. CONCLUSIONS: The detection of clonal histiocytes in all forms of Langerhans'-cell histiocytosis indicates that this disease is probably a clonal neoplastic disorder with highly variable biologic behavior. Thus, genetic mutations that promote clonal expansion of Langerhans' cells or their precursors may now be identified.","['Willman, C L', 'Busque, L', 'Griffith, B B', 'Favara, B E', 'McClain, K L', 'Duncan, M H', 'Gilliland, D G']","['Willman CL', 'Busque L', 'Griffith BB', 'Favara BE', 'McClain KL', 'Duncan MH', 'Gilliland DG']","['Department of Pathology, University of New Mexico School of Medicine, Albuquerque.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,N Engl J Med,The New England journal of medicine,0255562,"['0 (DNA Primers)', '0 (DNA Probes)']",IM,,"['Adolescent', 'Adult', 'Alleles', 'Base Sequence', 'Child', 'Child, Preschool', 'Clone Cells', 'DNA Primers', 'DNA Probes', 'Female', 'Histiocytes', 'Histiocytosis, Langerhans-Cell/genetics/*pathology', 'Humans', 'Molecular Sequence Data', 'Polymorphism, Genetic', 'X Chromosome']",,1994/07/21 00:00,1994/07/21 00:01,['1994/07/21 00:00'],"['1994/07/21 00:00 [pubmed]', '1994/07/21 00:01 [medline]', '1994/07/21 00:00 [entrez]']",['10.1056/NEJM199407213310303 [doi]'],ppublish,N Engl J Med. 1994 Jul 21;331(3):154-60. doi: 10.1056/NEJM199407213310303.,,,['N Engl J Med. 1994 Jul 21;331(3):191-3. PMID: 8008034'],,,,,,
8007994,NLM,MEDLINE,19940718,20210526,0270-7306 (Print) 0270-7306 (Linking),14,7,1994 Jul,"Factor C*, the specific initiation component of the mouse RNA polymerase I holoenzyme, is inactivated early in the transcription process.",5010-21,"Factor C* is the component of the RNA polymerase I holoenzyme (factor C) that allows specific transcriptional initiation on a factor D (SL1)- and UBF-activated rRNA gene promoter. The in vitro transcriptional capacity of a preincubated rDNA promoter complex becomes exhausted very rapidly upon initiation of transcription. This is due to the rapid depletion of C* activity. In contrast, C* activity is not unstable in the absence of transcription, even in the presence of nucleoside triphosphates (NTPs). By using 3'dNTPs to specifically halt elongation, C* is seen to remain active through transcription complex assembly, initiation, and the first approximately 37 nucleotides of elongation, but it is inactivated before synthesis proceeds beyond approximately 40 nucleotides. When elongation is halted before this critical distance, the C* remains active and on that template complex, greatly extending the kinetics of transcription and generating manyfold more transcripts than would have been synthesized if elongation had proceeded past the critical distance where C* is inactivated. In complementary in vivo analysis under conditions where C* activity is not replenished, C* activity becomes depleted from cells, but this also occurs only when there is ongoing rDNA transcription. Thus, both in vitro and in vivo, the specific initiation-conferring component of the RNA polymerase I holoenzyme is used stoichiometrically in the transcription process.","['Brun, R P', 'Ryan, K', 'Sollner-Webb, B']","['Brun RP', 'Ryan K', 'Sollner-Webb B']","['Department of Biological Chemistry, Johns Hopkins University School of Medicine, Baltimore, Maryland 21205.']",['eng'],"['5T32 GM07814-07/GM/NIGMS NIH HHS/United States', 'GM27720/GM/NIGMS NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (DNA, Ribosomal)', '0 (RNA, Ribosomal)', '1CC1JFE158 (Dactinomycin)', '4A6ZS6Q2CL (Puromycin)', '98600C0908 (Cycloheximide)', 'EC 2.7.7.6 (RNA Polymerase I)']",IM,,"['Animals', 'Cycloheximide/pharmacology', 'DNA, Ribosomal/genetics/metabolism', 'Dactinomycin/pharmacology', 'Kinetics', 'Leukemia L1210/*metabolism', 'Mice', 'Promoter Regions, Genetic', 'Puromycin/pharmacology', 'RNA Polymerase I/isolation & purification/*metabolism', 'RNA, Ribosomal/biosynthesis', 'Templates, Genetic', '*Transcription, Genetic', 'Tumor Cells, Cultured', 'Xenopus laevis']",,1994/07/01 00:00,1994/07/01 00:01,['1994/07/01 00:00'],"['1994/07/01 00:00 [pubmed]', '1994/07/01 00:01 [medline]', '1994/07/01 00:00 [entrez]']",['10.1128/mcb.14.7.5010-5021.1994 [doi]'],ppublish,Mol Cell Biol. 1994 Jul;14(7):5010-21. doi: 10.1128/mcb.14.7.5010-5021.1994.,PMC358872,,,,,,,,
8007991,NLM,MEDLINE,19940718,20210526,0270-7306 (Print) 0270-7306 (Linking),14,7,1994 Jul,Novel interactions between human T-cell leukemia virus type I Tax and activating transcription factor 3 at a cyclic AMP-responsive element.,4958-74,"Human proenkephalin gene transcription is transactivated by human T-cell leukemia virus type I (HTLV-I) Tax in human Jurkat T lymphocytes. This transactivation was further enhanced in Jurkat cells treated with concanavalin A, cyclic AMP, or 12-O-tetradecanoylphorbol-13-acetate. Deletion and cis-element transfer analyses of the human proenkephalin promoter identified a cyclic AMP-responsive AP-1 element (-92 to -86) as both necessary and sufficient to confer Tax-dependent transactivation. Different AP-1 or cyclic AMP-responsive element-binding protein (CREB)/activating transcription factor (ATF) proteins which bind this element were expressed in murine teratocarcinoma F9 cells to identify those capable of mediating Tax-dependent transactivation of human proenkephalin gene transcription. Although CREB, c-Fos, c-Jun, and JunD did not have significant effects, JunB inhibited the Tax-dependent transactivation. In contrast, ATF3 dramatically induced Tax-dependent transactivation, which was further enhanced by protein kinase A. Electrophoretic mobility shift assays with recombinant fusion proteins expressed and purified from bacteria indicate that the DNA-binding activity of ATF3 is also dramatically enhanced by Tax. Chimeric fusion proteins consisting of the DNA-binding domain of the yeast transcription factor Gal4 and the amino-terminal domain (residues 1 to 66) of ATF3 were able to mediate Tax-dependent transactivation of a Gal4-responsive promoter, which suggests a direct involvement of this region of ATF3. Recombinant fusion proteins of glutathione S-transferase with either the amino- or carboxy-terminal (residues 139 to 181) domain of ATF3 were able to specifically interact with Tax. Furthermore, specific antisera directed against Tax coimmunoprecipitated ATF3 only in the presence of Tax.","['Low, K G', 'Chu, H M', 'Schwartz, P M', 'Daniels, G M', 'Melner, M H', 'Comb, M J']","['Low KG', 'Chu HM', 'Schwartz PM', 'Daniels GM', 'Melner MH', 'Comb MJ']","['Laboratory of Molecular Neurobiology, Massachusetts General Hospital, Charlestown 02129.']",['eng'],"['DK-41035/DK/NIDDK NIH HHS/United States', 'K2DA00151/DA/NIDA NIH HHS/United States', 'P51-RR-00163/RR/NCRR NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (Activating Transcription Factor 3)', '0 (DNA Primers)', '0 (Enkephalins)', '0 (Gene Products, tax)', '0 (Protein Precursors)', '0 (Recombinant Fusion Proteins)', '0 (Transcription Factors)', '0 (proenkephalin)', '11028-71-0 (Concanavalin A)', 'E0399OZS9N (Cyclic AMP)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,,"['Activating Transcription Factor 3', 'Base Sequence', 'Cell Line', 'Cloning, Molecular', 'Concanavalin A/pharmacology', 'Cyclic AMP/*pharmacology', 'DNA Primers', 'Enhancer Elements, Genetic', 'Enkephalins/*biosynthesis/genetics', 'Escherichia coli', '*Gene Expression', 'Gene Products, tax/*metabolism', 'Human T-lymphotropic virus 1/*genetics', 'Humans', 'Molecular Sequence Data', 'Plasmids', 'Polymerase Chain Reaction', '*Promoter Regions, Genetic', 'Protein Biosynthesis', 'Protein Precursors/*biosynthesis/genetics', 'Recombinant Fusion Proteins/biosynthesis', 'Sequence Deletion', 'Tetradecanoylphorbol Acetate', 'Transcription Factors/biosynthesis/*metabolism', '*Transcription, Genetic', '*Transcriptional Activation', 'Tumor Cells, Cultured']",,1994/07/01 00:00,1994/07/01 00:01,['1994/07/01 00:00'],"['1994/07/01 00:00 [pubmed]', '1994/07/01 00:01 [medline]', '1994/07/01 00:00 [entrez]']",['10.1128/mcb.14.7.4958-4974.1994 [doi]'],ppublish,Mol Cell Biol. 1994 Jul;14(7):4958-74. doi: 10.1128/mcb.14.7.4958-4974.1994.,PMC358868,,,,,,,,
8007456,NLM,MEDLINE,19940721,20061115,0301-1542 (Print) 0301-1542 (Linking),31 Suppl,,1993 Dec,[Detection of IL-5 mRNA in bronchial biopsies from asthmatics by non-radioactive in situ hybridization].,132-8,"To determine whether IL-5 is locally produced in the bronchial mucosa of asthmatics, and to ascertain the precise cell type producing this cytokine, we examined bronchial biopsies by non-radioactive in situ hybridization and immunohistochemistry. IL-5 cDNA probes were labeled with digoxigenin-dUTP and hybridized to frozen or paraffin tissue sections. Hybridization signals were visualized by an immunohistochemistry technique. An IL-5-producing T cell clone derived from a patient with adult T cell leukemia was used as a positive control. Specific hybridization signals for IL-5 mRNA were observed in the bronchial mucosa of symptomatic asthmatics. No hybridization signal was detected in the control subject in whom no underlying disease was found. Immunohistochemical staining of serial sections using a panel of monoclonal antibodies directed against lymphocyte subsets strongly suggested that cells expressing mRAN for IL-5 were T cells. These results suggest that a cell-cell interaction between T cells and eosinophils through IL-5 may play an important role in the airway inflammation in asthma.","['Numao, T', 'Fukuda, T', 'Akutsu, I', 'Nakajima, H', 'Makino, S', 'Sato, Y']","['Numao T', 'Fukuda T', 'Akutsu I', 'Nakajima H', 'Makino S', 'Sato Y']","['Department of Internal Medicine and Clinical Immunology, Dokkyo University School of Medicine.']",['jpn'],,"['English Abstract', 'Journal Article']",Japan,Nihon Kyobu Shikkan Gakkai Zasshi,Nihon Kyobu Shikkan Gakkai zasshi,7505737,"['0 (Interleukin-5)', '0 (RNA, Messenger)']",IM,,"['Asthma/*genetics', 'Biopsy', 'Bronchi/*chemistry', 'Humans', 'In Situ Hybridization', 'Interleukin-5/*genetics', 'Mucous Membrane/chemistry', 'RNA, Messenger/*analysis']",,1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']",,ppublish,Nihon Kyobu Shikkan Gakkai Zasshi. 1993 Dec;31 Suppl:132-8.,,,,,,,,,
8007273,NLM,MEDLINE,19940719,20051116,,,4,1994,[Respiratory diseases in leukemia].,676-8,,"['Nakamura, H', 'Kiguchi, T', 'Kashiwabara, K', 'Matsuoka, K']","['Nakamura H', 'Kiguchi T', 'Kashiwabara K', 'Matsuoka K']","['Department of Internal Medicine, Tokyo Medical College, Kasumigaura Hospital.']",['jpn'],,"['Journal Article', 'Review']",Japan,Ryoikibetsu Shokogun Shirizu,Ryoikibetsu shokogun shirizu,9501926,,IM,,"['Humans', 'Leukemia/*complications/pathology', 'Respiration Disorders/*etiology/pathology']",20,1994/03/01 00:00,1994/03/01 00:01,['1994/03/01 00:00'],"['1994/03/01 00:00 [pubmed]', '1994/03/01 00:01 [medline]', '1994/03/01 00:00 [entrez]']",,ppublish,Ryoikibetsu Shokogun Shirizu. 1994;(4):676-8.,,,,,,,,,
8007272,NLM,MEDLINE,19940719,20051116,,,4,1994,"[Adult T-cell leukemia, HTLV-I associated bronchopneumonopathy].",673-5,,"['Tashiro, T']",['Tashiro T'],"['Second Department of Internal Medicine, Oita Medical University.']",['jpn'],,"['Journal Article', 'Review']",Japan,Ryoikibetsu Shokogun Shirizu,Ryoikibetsu shokogun shirizu,9501926,,IM,,"['HTLV-I Infections/*complications', 'Humans', '*Leukemia, T-Cell/complications', 'Lung Diseases/*complications', 'Paraparesis, Tropical Spastic', 'Prognosis']",20,1994/03/01 00:00,1994/03/01 00:01,['1994/03/01 00:00'],"['1994/03/01 00:00 [pubmed]', '1994/03/01 00:01 [medline]', '1994/03/01 00:00 [entrez]']",,ppublish,Ryoikibetsu Shokogun Shirizu. 1994;(4):673-5.,,,,,,,,,
8007161,NLM,MEDLINE,19940719,20071115,,,4,1994,"[Lymphocytic lymphoma, pseudolymphoma, benign lymphoma, lymphoid follicular hyperplasia].",296-9,,"['Shigeta, M', 'Kitagawa, Y', 'Kondo, M']","['Shigeta M', 'Kitagawa Y', 'Kondo M']","['First Department of Internal Medicine, Kyoto Prefectural University of Medicine.']",['jpn'],,"['Journal Article', 'Review']",Japan,Ryoikibetsu Shokogun Shirizu,Ryoikibetsu shokogun shirizu,9501926,,IM,,"['Diagnosis, Differential', 'Humans', 'Hyperplasia', '*Leukemia, Lymphocytic, Chronic, B-Cell/diagnosis', 'Lymphoid Tissue/*pathology', '*Lymphoma/diagnosis', 'Prognosis']",20,1994/03/01 00:00,1994/03/01 00:01,['1994/03/01 00:00'],"['1994/03/01 00:00 [pubmed]', '1994/03/01 00:01 [medline]', '1994/03/01 00:00 [entrez]']",,ppublish,Ryoikibetsu Shokogun Shirizu. 1994;(4):296-9.,,,,,,,,,
8006641,NLM,MEDLINE,19940719,20190830,0146-6615 (Print) 0146-6615 (Linking),42,3,1994 Mar,Detection of herpes simplex virus DNA sequences in human blood and bone marrow cells.,279-86,"Herpes simplex virus type 1 (HSV1) establishes latent infections in neural tissues of humans and experimental animals. Utilizing a sensitive polymerase chain reaction (PCR) assay we detected HSV DNA sequences in blood cells of healthy prospective bone marrow transplant (BMT) donors and patients. In three healthy individuals studied, HSV DNA sequences were found in all blood cell types and also in bone marrow cells as well as in stem cell progenitor colonies isolated from in vitro cultures. Studies of BMT donor-recipient pairs suggested that HSV reactivation may occur in hematopoietic cells after transplantation, as the PCR signal intensity increased over time simultaneous with an increased antibody titer to HSV. In a mouse model for HSV infection, HSV DNA sequences were found in blood and bone marrow cells at the latent stage of infection, after intravenous (IV) inoculation, but not after ocular inoculation. These studies suggest that bone marrow cells may be an additional site of HSV latency capable of reactivation after BMT. These studies have broad implications for understanding pathogenesis of HSV disease and are of particular significance in situations where allogeneic bone marrow cells are given therapeutically.","['Cantin, E', 'Chen, J', 'Gaidulis, L', 'Valo, Z', 'McLaughlin-Taylor, E']","['Cantin E', 'Chen J', 'Gaidulis L', 'Valo Z', 'McLaughlin-Taylor E']","['Department of Neurology, City of Hope National Medical Center, Duarte, California 91010.']",['eng'],"['NCI 2-PO1 CA 30206-10/CA/NCI NIH HHS/United States', 'NHLBI R01 HL43594/HL/NHLBI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Virol,Journal of medical virology,7705876,"['0 (DNA, Viral)']",IM,,"['Adult', 'Animals', 'Base Sequence', 'Blood Cells/*microbiology', 'Bone Marrow/*microbiology', 'Bone Marrow Transplantation', 'Carrier State/blood/microbiology', 'Cells, Cultured', 'DNA, Viral/*analysis', 'Female', 'Hematopoietic Stem Cells/*microbiology', 'Herpes Simplex/blood/complications/microbiology', 'Humans', 'Leukemia/complications/microbiology', 'Male', 'Mice', 'Molecular Sequence Data', 'Polymerase Chain Reaction', 'Simplexvirus/genetics/*isolation & purification', '*Tissue Donors', '*Virus Latency']",,1994/03/01 00:00,1994/03/01 00:01,['1994/03/01 00:00'],"['1994/03/01 00:00 [pubmed]', '1994/03/01 00:01 [medline]', '1994/03/01 00:00 [entrez]']",['10.1002/jmv.1890420315 [doi]'],ppublish,J Med Virol. 1994 Mar;42(3):279-86. doi: 10.1002/jmv.1890420315.,,,,,,,,,
8006588,NLM,MEDLINE,19940721,20190508,0022-1007 (Print) 0022-1007 (Linking),180,1,1994 Jul 1,A novel ligand in lymphocyte-mediated cytotoxicity: expression of the beta subunit of H+ transporting ATP synthase on the surface of tumor cell lines.,273-81,"Extracellular adenosine triphosphate (eATP) has been suggested to play a role in lymphocyte-induced tumor destruction. We now provide evidence that a protein responsible for ATP synthesis in mitochondria may also play a physiologic role in major histocompatibility complex-independent, lymphocyte-mediated cytotoxicity. A 51.5-kD protein (p51.5) bearing structural and immunologic characteristics of the beta subunit of H+ transporting ATP synthase (E.C. 3.6.1.34, beta-H+ATPase, published molecular mass of 51.6 kD) was detected on the plasma membrane of three different human tumor cell lines studied. NH2-terminal amino acid sequence analysis of purified p51.5 from K562 tumor cells revealed 100% homology of 16 residues identified in the first 21 positions to the known sequence of human mitochondrial beta-H+ ATPase. Antibody directed against a 21-mer peptide in the ATP binding region of beta-H+ ATPase (anti-beta) reacted with only one band on Western blots of whole tumor extracts and tumor membrane extracts suggesting that the antiserum reacts with a single species of protein. Anti-beta reacted with the cell membranes of tumor cells as determined by fluorescence-activated flow cytometry and immunoprecipitated a 51.5-kD protein from surface-labeled neoplastic cells (but not human erythrocytes and lymphocytes). Purified p51.5 bound to human lymphocytes and inhibited natural killer (NK) cell-mediated cytotoxicity. Furthermore, anti-beta treatment of the K562 and A549 tumor cell lines inhibited NK (by > 95%) and interleukin 2-activated killer (LAK) cell (by 75%) cytotoxicity, respectively. Soluble p51.5 upon binding to lymphocytes retained its reactivity to anti-beta suggesting that the ATP binding domain and the lymphocyte-receptor binding domain reside in distinct regions of the ligand. These results suggest that beta-H+ ATPase or a nearly identical molecule is an important ligand in the effector phase (rather than the recognition phase) of a cytolytic pathway used by naive NK and LAK cells.","['Das, B', 'Mondragon, M O', 'Sadeghian, M', 'Hatcher, V B', 'Norin, A J']","['Das B', 'Mondragon MO', 'Sadeghian M', 'Hatcher VB', 'Norin AJ']","['Department of Medicine, State University of New York Health Science Center at Brooklyn 11203.']",['eng'],['CA-47548/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,"['0 (Ligands)', '0 (Membrane Proteins)', '0 (Neoplasm Proteins)', 'EC 3.6.3.14 (Proton-Translocating ATPases)']",IM,,"['Amino Acid Sequence', '*Cytotoxicity, Immunologic', 'Humans', 'Leukemia, Erythroblastic, Acute/metabolism', 'Ligands', 'Membrane Proteins/chemistry/immunology/*metabolism', 'Molecular Sequence Data', 'Neoplasm Proteins/chemistry/immunology/*metabolism', 'Proton-Translocating ATPases/*metabolism', 'T-Lymphocytes/*immunology/metabolism', 'Tumor Cells, Cultured']",,1994/07/01 00:00,1994/07/01 00:01,['1994/07/01 00:00'],"['1994/07/01 00:00 [pubmed]', '1994/07/01 00:01 [medline]', '1994/07/01 00:00 [entrez]']",['10.1084/jem.180.1.273 [doi]'],ppublish,J Exp Med. 1994 Jul 1;180(1):273-81. doi: 10.1084/jem.180.1.273.,PMC2191542,,,,,,,,
8006365,NLM,MEDLINE,19940719,20170214,0883-0738 (Print) 0883-0738 (Linking),9,2,1994 Apr,Pediatric leptomeningeal metastasis: 111In-DTPA cerebrospinal fluid flow studies.,150-4,"Nine children (five girls and four boys) ranging in age from 1 to 18 years (median age, 12 years) with leptomeningeal metastasis were evaluated for cerebrospinal fluid compartmentalization with cerebrospinal fluid flow studies using ventricular diethylenetriaminepentaacetic acid labeled with indium 111 (111In-DTPA). Histologic diagnosis included medulloblastoma (two), primitive neuroectodermal tumor (two), acute lymphoblastic leukemia (two), pineoblastoma (one), ependymoma (one), and anaplastic astrocytoma (one). Sixteen 111In-DTPA cerebrospinal fluid flow studies were performed, of which nine demonstrated normal anterograde cerebrospinal fluid flow of radionuclide, with the following cerebrospinal fluid compartment median times to appearance, with ranges in parentheses: ventricles, 1 minute (0 to 3 minutes); cisterna magna/basal cisterns, 5 minutes (3 to 5 minutes); cervical subarachnoid space, 8 minutes (5 to 10 minutes); thoracic subarachnoid space, 15 minutes (10 to 30 minutes); lumbar subarachnoid space, 35 minutes (20 to 45 minutes); and sylvian cistern, 80 minutes (60 to 90 minutes). Blockage of normal anterograde cerebrospinal fluid flow was seen in seven 111In-DTPA cerebrospinal fluid flow studies in the following cerebrospinal fluid compartments: cervical subarachnoid space (four), lumbar subarachnoid space (two), and cisterna magna/basal cisterns (one). Five 111In-DTPA cerebrospinal fluid flow studies were performed after demonstration of cerebrospinal fluid compartmentalization and treatment with limited-field radiation therapy to involved regions; cerebrospinal fluid flow blocks resolved in three. In conclusion, cerebrospinal fluid compartmentalization, as shown by radionuclide ventriculography, is a common occurrence in pediatric leptomeningeal metastasis (four of nine patients, or 44%) and may be palliated by involved-field radiotherapy.","['Chamberlain, M C']",['Chamberlain MC'],"['Department of Neurosciences, University of California San Diego 92103.']",['eng'],,['Journal Article'],United States,J Child Neurol,Journal of child neurology,8606714,['7A314HQM0I (Pentetic Acid)'],IM,,"['Adolescent', 'Brain Neoplasms/diagnostic imaging/pathology/radiotherapy', 'Cerebellar Neoplasms/diagnostic imaging/pathology/radiotherapy', 'Cerebrospinal Fluid/*physiology', 'Child', 'Child, Preschool', 'Cranial Irradiation', 'Ependymoma/diagnostic imaging/pathology/radiotherapy/secondary', 'Female', 'Humans', 'Infant', 'Magnetic Resonance Imaging', 'Male', 'Medulloblastoma/diagnostic imaging/pathology/radiotherapy/secondary', 'Meningeal Neoplasms/diagnostic imaging/pathology/radiotherapy/*secondary', 'Neoplasm Staging', 'Pentetic Acid', 'Pinealoma/diagnostic imaging/pathology/radiotherapy/secondary', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnostic imaging/pathology/radiotherapy', 'Radionuclide Imaging', 'Tomography, X-Ray Computed']",,1994/04/01 00:00,1994/04/01 00:01,['1994/04/01 00:00'],"['1994/04/01 00:00 [pubmed]', '1994/04/01 00:01 [medline]', '1994/04/01 00:00 [entrez]']",['10.1177/088307389400900209 [doi]'],ppublish,J Child Neurol. 1994 Apr;9(2):150-4. doi: 10.1177/088307389400900209.,,,,,,,,,
