PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,OID,OAB,OABL,OTO,OT,GN
305244,NLM,MEDLINE,19780417,20091109,0350-2023 (Print) 0350-2023 (Linking),5,2,1977,"[Immunity in leukemia: reason for onset of leukemia, agent for successful therapy of leukemia].",3-14,"Authors present the facts which indicate that in human medicine there is immunity against malignant tumors and leukaemia through T lymphocytes immunological control. The appearance of leukaemia in a certain number of persons is due to reduced immunity in the patient or weak antigen immunogenicity of leukaemic cells. Authors also present evidence for the existance of tumor antigens same as in leukaemic leukocytes in human pathology. These antigens belong either to still undiscovered viruses of human leukaemia, as is the case of reverse transcriptase of RNK virus, found in leukocytes of 95 percent of patients with acute leukaemia, or they are new antigens formed by combination of cell genoma and virus genoma, or by depression of the gene which were active only during the foetal life under the influence of oncogenic chemical substances or viruses. The evidence is given too, concerning the existence of immune response in human medicine, in the form of cytotoxic antibodies or sensitized T lymphocytes to tumor antigens which can be demonstrated in vitro by the test of colonial growth inhibition of tumor cells. As the immunity does not operate against tumor or leukaemic cells, the reason for it must be sought in the disorder of the afferent part (weak immunogenicity of tumor antigens, tolerance of tumor antigens, etc.), or of the efferent part of the immune response (the presence of blocking factors in the patient's plasma). At the end, the authors also discuss about the attempts of immunological treatment of acute leukaemia, and the results to this date are encouraging.","['Stefanovic, S', 'Banicevic, B', 'Jancic, M S', 'Vucic, L', 'Vidakovic, A']","['Stefanovic S', 'Banicevic B', 'Jancic MS', 'Vucic L', 'Vidakovic A']",['hrv'],"['English Abstract', 'Journal Article']",Serbia,Bilt Hematol Transfuz,Bilten za hematologiju i transfuziju,7601504,"['0 (Antigens, Neoplasm)']",IM,"['Acute Disease', 'Animals', 'Antigens, Neoplasm', 'Humans', '*Immunity, Cellular', 'Immunotherapy', 'Leukemia/etiology/*immunology/therapy', 'Leukemia, Experimental/immunology', 'Mice', 'T-Lymphocytes/immunology']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",,ppublish,Bilt Hematol Transfuz. 1977;5(2):3-14.,,"Imunitet u leukemijama: povod za nastanak leukemija, cinilac u uspesnom lecenju leukemija.",,,,,,
305224,NLM,MEDLINE,19780426,20190619,0003-4819 (Print) 0003-4819 (Linking),88,3,1978 Mar,T-lymphocyte variant of hairy-cell leukemia.,323-6,"Immunohematologic studies on cells from a patient with the clinicopathologic syndrome of hairy-cell leukemia showed that the neoplastic cells had receptors for sheep erythrocytes and therefore had human T-lymphocyte characteristics. The leukemic cells did not have the membrane receptors or immunoglobulin markers of B lymphocytes or monocytes nor did they synthesize immunoglobulin. A lymphoid cell line established in vitro from the cells had the same T-lymphocyte characteristics. The lymphoid cell line is positive for tartrateresistant acid phosphatase, forms rosettes with untreated sheep erythrocytes, and reacts with an anti-T-lymphocyte antiserum. Thus the syndrome of hairy-cell leukemia may occasionally result from the neoplastic proliferation of T-lymphocytes as well as from the more usual B-lymphocyte form. This situation is analogous to that described previously in chronic lymphocytic leukemia and other lymphoproliferative disorders.","['Saxon, A', 'Stevens, R H', 'Golde, D W']","['Saxon A', 'Stevens RH', 'Golde DW']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Ann Intern Med,Annals of internal medicine,0372351,"['0 (Immunoglobulins)', '0 (Tartrates)', 'EC 3.1.3.2 (Acid Phosphatase)']",IM,"['Acid Phosphatase/metabolism', 'Adult', 'Animals', 'Cell Line', 'Erythrocytes/immunology', 'Humans', 'Immunoglobulins/biosynthesis', 'Leukemia, Hairy Cell/enzymology/*immunology/pathology', 'Male', 'Rosette Formation', 'Sheep/immunology', 'T-Lymphocytes/*immunology', 'Tartrates']",1978/03/01 00:00,1978/03/01 00:01,['1978/03/01 00:00'],"['1978/03/01 00:00 [pubmed]', '1978/03/01 00:01 [medline]', '1978/03/01 00:00 [entrez]']",['10.7326/0003-4819-88-3-323 [doi]'],ppublish,Ann Intern Med. 1978 Mar;88(3):323-6. doi: 10.7326/0003-4819-88-3-323.,,,,,,,,
305218,NLM,MEDLINE,19780426,20061115,0002-9645 (Print) 0002-9645 (Linking),39,1,1978 Jan,"Frequency of lymphocytes bearing Fc receptors and surface membrane immunoglobulins in normal, persistent lymphocytotic and leukemia cows.",45-9,"Fluoresceinated, heat-aggregated bovine immunoglobulins (B-IgG) and human immunoglobulins (H-IgG) were used to detect a receptor for the crystallizable fragment (Fc) of the immunoglobulin molecule on peripheral blood lymphocytes (PBL) of cattle. The aggregated and B-IgG and H-IgG bound to the bovine PBL, but aggregated H-IgG was found to be more sensitive for the detection of Fc receptors. The specificity of aggregated H-IgG binding to the Fc receptors was established by demonstrating that antigen-antibody complexes inhibited this binding, and unaggregated H-IgG did not bind significantly to PBL. Double-labeling experiments suggested that all Fc+ cells have surface immunoglobulins (SIg), a marker for B lymphocytes. The percentage of Fc+ and SIg+ cells in normal animals was 9.5% (range 4-15%) and 16.2% (range 4.5-30.2%), respectively. Persistent lymphocytotic cows had 2.71 times more Fc+ and 3.85 times more SIg+ lymphocytes than did normal cows. Cows with lymphosarcoma had a lower percentage of Fc+ and SIg+ cells than did cows with persistent lymphocytosis. Cases with thymic lymphosarcoma and those with the skin form of leukemia had normal percentages of Fc+ and SIg+ cells.","['Kumar, S P', 'Paul, P S', 'Pomeroy, K A', 'Johnson, D W', 'Muscoplat, C C', 'Van Der Maaten, M J', 'Miller, J M', 'Sorensen, D K']","['Kumar SP', 'Paul PS', 'Pomeroy KA', 'Johnson DW', 'Muscoplat CC', 'Van Der Maaten MJ', 'Miller JM', 'Sorensen DK']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Vet Res,American journal of veterinary research,0375011,"['0 (Antigen-Antibody Complex)', '0 (Immunoglobulin Fc Fragments)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Animals', 'Antigen-Antibody Complex', 'B-Lymphocytes/*immunology', 'Cattle', 'Cattle Diseases/*immunology', 'Female', 'Immunoglobulin Fc Fragments/*analysis', 'Lymphocytosis/immunology/*veterinary', 'Lymphoma, Non-Hodgkin/immunology/*veterinary', 'Male', 'Receptors, Antigen, B-Cell/analysis']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",,ppublish,Am J Vet Res. 1978 Jan;39(1):45-9.,,,,,,,,
305203,NLM,MEDLINE,19780426,20190626,0002-9343 (Print) 0002-9343 (Linking),64,2,1978 Feb,Myeloblastic leukemic cells causing suppression of granulopoiesis and excessive binding of colony-stimulating activity. The effect of antithymocyte globulin.,343-53,,"['Craddock, C G', 'Rodensky, D', 'Forsen, N R', 'Kaspersky, C J', 'Sparkes, R S']","['Craddock CG', 'Rodensky D', 'Forsen NR', 'Kaspersky CJ', 'Sparkes RS']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Med,The American journal of medicine,0267200,"['0 (Antilymphocyte Serum)', '0 (Colony-Stimulating Factors)', '0 (Glycoproteins)']",IM,"['Aged', 'Antilymphocyte Serum/*therapeutic use', 'Bone Marrow/immunology', 'Bone Marrow Cells', 'Clone Cells', 'Colony-Stimulating Factors/*immunology', 'Female', 'Glycoproteins/*immunology', 'Granulocytes/immunology/*physiology', '*Hematopoiesis', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/*immunology', 'Leukocytes/*physiology', 'T-Lymphocytes/*immunology']",1978/02/01 00:00,1978/02/01 00:01,['1978/02/01 00:00'],"['1978/02/01 00:00 [pubmed]', '1978/02/01 00:01 [medline]', '1978/02/01 00:00 [entrez]']","['0002-9343(78)90064-5 [pii]', '10.1016/0002-9343(78)90064-5 [doi]']",ppublish,Am J Med. 1978 Feb;64(2):343-53. doi: 10.1016/0002-9343(78)90064-5.,,,,,,,,
305199,NLM,MEDLINE,19780417,20190716,0002-922X (Print) 0002-922X (Linking),132,2,1978 Feb,An outbreak of pneumocystis pneumonia in children with acute lymphocytic leukemia.,143-8,"Between Jan 1 and Oct 31, 1975, a cluster of ten cases of pneumocystis pneumonia occurred in children with acute lymphocytic leukemia (ALL) at the James Whitcomb Riley Hospital for Children in Indianapolis. The risk of infection appeared to be related to the intensity of chemotherapy. Furthermore, illness developed in nine of the ten patients between 30 and 100 days after initiation of therapy, suggesting a period of heightened susceptibility to infection. An indirect immunofluorescent test was used to detect antipneumocystis antibodies in serum samples collected from patients with pneumocystis pneumonia and their contacts. Members of the Riley Hospital staff who had close contact with infected children had a higher prevalence of elevated antibody titers (7/12) than other staff members (2/22; P = .004) or parents of infected patients (0/8; P = .01). This suggests that transmission of pneumocystis may occur within the hospital environment.","['Ruebush, T K 2nd', 'Weinstein, R A', 'Baehner, R L', 'Wolff, D', 'Bartlett, M', 'Gonzles-Crussi, F', 'Sulzer, A J', 'Schultz, M G']","['Ruebush TK 2nd', 'Weinstein RA', 'Baehner RL', 'Wolff D', 'Bartlett M', 'Gonzles-Crussi F', 'Sulzer AJ', 'Schultz MG']",['eng'],['Journal Article'],United States,Am J Dis Child,American journal of diseases of children (1960),0370471,,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Cross Infection/epidemiology/transmission', 'Disease Outbreaks', 'Female', 'Humans', 'Indiana', 'Leukemia, Lymphoid/*complications', 'Male', 'Personnel, Hospital', 'Pneumonia, Pneumocystis/*epidemiology/immunology']",1978/02/01 00:00,1978/02/01 00:01,['1978/02/01 00:00'],"['1978/02/01 00:00 [pubmed]', '1978/02/01 00:01 [medline]', '1978/02/01 00:00 [entrez]']",['10.1001/archpedi.1978.02120270041009 [doi]'],ppublish,Am J Dis Child. 1978 Feb;132(2):143-8. doi: 10.1001/archpedi.1978.02120270041009.,,,,,,,,
305178,NLM,MEDLINE,19780417,20061115,0001-5814 (Print) 0001-5814 (Linking),8,4,1977 Oct-Dec,[Hairy cell leukemia in the light of an observed case].,319-23,"A case of hairy-cell leukaemia was observed in a man aged 40 years. The diagnosis was based on the whole of clinical investigations and laboratory investigations, especially cytoenzymatic examination of leukaemic cells and examination of their structure in electron microscope. In treatment radiotherapy was appleid initially followed by splenectomy.","['Kowalewski, J', 'Nowakowski, A']","['Kowalewski J', 'Nowakowski A']",['pol'],"['Case Reports', 'English Abstract', 'Journal Article']",Poland,Acta Haematol Pol,Acta haematologica Polonica,0262610,['EC 3.1.3.2 (Acid Phosphatase)'],IM,"['Acid Phosphatase/metabolism', 'Adult', 'B-Lymphocytes/enzymology/ultrastructure', 'Humans', 'Leukemia, Hairy Cell/radiotherapy/*ultrastructure', 'Male', 'Spleen/radiation effects', 'Splenectomy']",1977/10/01 00:00,1977/10/01 00:01,['1977/10/01 00:00'],"['1977/10/01 00:00 [pubmed]', '1977/10/01 00:01 [medline]', '1977/10/01 00:00 [entrez]']",,ppublish,Acta Haematol Pol. 1977 Oct-Dec;8(4):319-23.,,Bialaczka tzw. kosmatokomorkowa--hairy cell leukemia na podstawie obserwowanego przypadku.,,,,,,
305035,NLM,MEDLINE,19780426,20041117,0162-7155 (Print) 0162-7155 (Linking),11,3,1978 Mar,Caring for the patient with leukemia.,12-3,,"['Finney, C']",['Finney C'],['eng'],['Journal Article'],United States,J Nurs Care,The Journal of nursing care,7806870,,,"['Humans', 'Leukemia/drug therapy/*nursing']",1978/03/01 00:00,1978/03/01 00:01,['1978/03/01 00:00'],"['1978/03/01 00:00 [pubmed]', '1978/03/01 00:01 [medline]', '1978/03/01 00:00 [entrez]']",,ppublish,J Nurs Care. 1978 Mar;11(3):12-3.,,,,,,,,
305034,NLM,MEDLINE,19780417,20091119,0301-1518 (Print) 0301-1518 (Linking),6,40,1977 Nov 26,[Acquired Von Willebrand disease with chronic lymphocytic leukaemia and angiodysplasia (author's transl)].,"3733-4, 3739",The onset of an haemorragic syndrome in a patient with chronic lymphocytic leukaemia led to the diagnosis of acquired von Willebrand's disease secondary to an anti-von Willebrand factor antibody. Multiple angiodysplasia were shown by an arteriography done for a ruptured femoral arterial aneuvrism. The relationship between angiodysplasia and acquired von Willebrand disease are discussed.,"['Wautier, J L', 'Fusciardi, J', 'Warnet, A', 'Caen, J', 'Lubetzki, J']","['Wautier JL', 'Fusciardi J', 'Warnet A', 'Caen J', 'Lubetzki J']",['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",France,Nouv Presse Med,La Nouvelle presse medicale,0312552,['0 (Immunoglobulin A)'],IM,"['Aged', 'Aneurysm/complications', '*Arteries', 'Dilatation, Pathologic', 'Female', 'Humans', 'Immunoglobulin A/analysis', 'Leukemia, Lymphoid/*complications', 'Vascular Diseases/*complications', 'von Willebrand Diseases/*complications/diagnosis']",1977/11/26 00:00,1977/11/26 00:01,['1977/11/26 00:00'],"['1977/11/26 00:00 [pubmed]', '1977/11/26 00:01 [medline]', '1977/11/26 00:00 [entrez]']",,ppublish,"Nouv Presse Med. 1977 Nov 26;6(40):3733-4, 3739.",,Syndrome de Willebrand acquis et angiodysplasie au cours d'une leucemie lymphoide chronique.,,,,,,
305005,NLM,MEDLINE,19780426,20190617,0028-0836 (Print) 0028-0836 (Linking),272,5648,1978 Mar 2,Human spontaneous killer cells selective for tumour-derived target cells.,62-4,,"['Jondal, M', 'Spine, C', 'Targan, S']","['Jondal M', 'Spine C', 'Targan S']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Nature,Nature,0410462,,IM,"['B-Lymphocytes/immunology', 'Burkitt Lymphoma/*immunology', 'Cell Line', '*Cytotoxicity, Immunologic', 'Dose-Response Relationship, Immunologic', 'Humans', 'Killer Cells, Natural/*immunology', 'Leukemia, Lymphoid/*immunology', 'Lymphocytes/*immunology', 'T-Lymphocytes/immunology']",1978/03/02 00:00,1978/03/02 00:01,['1978/03/02 00:00'],"['1978/03/02 00:00 [pubmed]', '1978/03/02 00:01 [medline]', '1978/03/02 00:00 [entrez]']",['10.1038/272062a0 [doi]'],ppublish,Nature. 1978 Mar 2;272(5648):62-4. doi: 10.1038/272062a0.,,,,,,,,
304992,NLM,MEDLINE,19780426,20041117,0027-6049 (Print) 0027-6049 (Linking),14,8,1977 Nov,Recent advances in the treatment of childhood leukemia.,"18, 20",,"['Willoughby, M L']",['Willoughby ML'],['eng'],['Journal Article'],England,NATNEWS,NATNews,1251427,['0 (Antineoplastic Agents)'],,"['Antineoplastic Agents/*therapeutic use', 'Child', 'Humans', 'Leukemia/*drug therapy']",1977/11/01 00:00,1977/11/01 00:01,['1977/11/01 00:00'],"['1977/11/01 00:00 [pubmed]', '1977/11/01 00:01 [medline]', '1977/11/01 00:00 [entrez]']",,ppublish,"NATNEWS. 1977 Nov;14(8):18, 20.",,,,,,,,
304910,NLM,MEDLINE,19780417,20110727,0047-1852 (Print) 0047-1852 (Linking),35,10,1977,[Malignant reticulosis].,3718-23,,"['Shibata, A', 'Kashimura, M']","['Shibata A', 'Kashimura M']",['jpn'],['Journal Article'],Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,,IM,"['Histiocytosis, Langerhans-Cell/classification', 'Humans', 'Leukemia, Hairy Cell', 'Lymphatic Diseases/*classification', 'Male', 'Middle Aged', 'Terminology as Topic']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1977;35(10):3718-23.,,,,,,,,
304895,NLM,MEDLINE,19780426,20190509,0027-8874 (Print) 0027-8874 (Linking),60,1,1978 Jan,Human thymus-leukemia-associated antigen: isolation and partial characterization.,69-75,"Human thymus-leukemia-associated antigen (HThy-L), a saline-soluble antigen, was previously detected by immunodiffusion (but not on the cell surface) in significant quantity in extracts of normal thymocytes, cells from cultured T-cell lines, and erythrocyte-rosette-positive leukemia blasts. Two species of HThy-L were identified and isolated from normal human thymus tissue after extraction in tris buffer, ammonium sulfate fractionation, acid precipitation of inactive fractions, DEAE-cellulose (DE-52) chromatography, Sephadex G-100 gel filtration, and carboxymethyl-cellulose (CM-52) chromatography; On Sephadex G-100, both HThy-L species had a similar molecular weight (40,000--50,000), but they eluted in different positions on DE-52 and CM-52. Analysis by sodium dodecyl sulfate polyacrylamide gel electrophoresis showed that each of the 2 HThy-L species contained 2 components with molecular weights of approximately 43,000 and 23,000. Further purification of HThy-L on Sephadex G-50 showed that the 43,000-dalton component possessed HThy-L activity.","['Chechik, B E', 'Percy, M E', 'Gelfand, E W']","['Chechik BE', 'Percy ME', 'Gelfand EW']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antibodies, Neoplasm)', '0 (Antigens, Neoplasm)']",IM,"['Antibodies, Neoplasm', 'Antigens, Neoplasm/*isolation & purification', 'Child', 'Chromatography', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Molecular Weight', 'T-Lymphocytes/immunology', 'Thymus Gland/*immunology']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",['10.1093/jnci/60.1.69 [doi]'],ppublish,J Natl Cancer Inst. 1978 Jan;60(1):69-75. doi: 10.1093/jnci/60.1.69.,,,,,,,,
304892,NLM,MEDLINE,19780426,20061115,0033-6890 (Print) 0033-6890 (Linking),23,1,1978 Jan,Colony stimulating and inhibiting activities in mouse serum after Corynebacterium parvum-endotoxin treatment.,29-41,,"['Shah, R G', 'Green, S', 'Moore, M A']","['Shah RG', 'Green S', 'Moore MA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Reticuloendothel Soc,Journal of the Reticuloendothelial Society,0206462,"['0 (Colony-Stimulating Factors)', '0 (Endotoxins)', '0 (Glycoproteins)']",IM,"['Animals', 'Bone Marrow Cells', 'Cells, Cultured', 'Colony-Stimulating Factors/blood/*pharmacology', 'Endotoxins/*pharmacology', 'Female', 'Glycoproteins/*pharmacology', 'Leukemia, Experimental/complications', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Necrosis/complications', 'Neoplasms, Experimental/complications', '*Propionibacterium acnes']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",,ppublish,J Reticuloendothel Soc. 1978 Jan;23(1):29-41.,,,,,,,,
304868,NLM,MEDLINE,19780426,20071115,0022-1767 (Print) 0022-1767 (Linking),120,1,1978 Jan,Detection and partial characterization of human T and B lymphocyte membrane antigens with antisera to HSB and SB cell lines.,262-71,,"['Anderson, J K', 'Metzgar, R S']","['Anderson JK', 'Metzgar RS']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antigens)', '0 (Mitogens)', 'EC 3.2.1.18 (Neuraminidase)', 'EC 3.4.21.4 (Trypsin)']",IM,"['Antibody Specificity', 'Antigens', 'B-Lymphocytes/*immunology', 'Cell Line', 'Cell Membrane/*immunology', 'Cytotoxicity Tests, Immunologic', 'Electrophoresis, Polyacrylamide Gel', 'Humans', 'Leukemia, Lymphoid/immunology', 'Leukemia, Myeloid/immunology', 'Mitogens/pharmacology', 'Molecular Weight', 'Neuraminidase/pharmacology', 'T-Lymphocytes/*immunology', 'Trypsin/pharmacology']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",,ppublish,J Immunol. 1978 Jan;120(1):262-71.,,,,,,,,
304846,NLM,MEDLINE,19780417,20190708,0020-7136 (Print) 0020-7136 (Linking),21,1,1978 Jan 15,Development and persistence of cytolytic T lymphocytes in regressing or progressing Moloney sarcomas.,94-99,"Intratumoral T lymphocytes were recovered sequentially after induction of regressing or progressing Moloney sarcomas in BALB/c mice and were assayed quantitatively for their ability to kill specifically the tumor (MSC) cells used for induction. The cytolytic activities of the two lymphocyte populations described two distinct biphasic kinetic profiles that were similar in amplitude and duration but separated from each other by 4-6 days. In progressing neoplasm, there was a rapidly occuring accumulation of T lymphocytes highly cytolytic for MSC cells. This response, however, was not sustained and disappeared in association with the onset of unchecked tumor growth. In contrast, T lymphocyte cytolytic activity developed more slowly in regressing sarcomas and attained peak levels coincident with the beginning of tumor regression. Similar changes in cytolytic activity characterized T lymphocytes in lymph nodes draining tumors. When cultured in vitro for 4 days, non-cytotoxic T lymphocytes from regional lymph nodes draining progressing sarcomas regained very high levels of cytolytic activity. Such restitution was diminished, however, if MSC cell lysates, macrophages or macrophages fed MSC cell lysates were present during the culture period. These experiments provided presumptive evidence that T lymphocyte-mediated cytolytic activity was lost in progressively growing Moloney sarcomas as a consequence of suppression in vivo of the genesis and/or functional expression of cytolytic T lymphocytes, perhaps by macrophages and/or soluble tumor antigen.","['Gillespie, G Y', 'Russell, S W']","['Gillespie GY', 'Russell SW']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Int J Cancer,International journal of cancer,0042124,,IM,"['Animals', 'Cell Line', 'Cytotoxicity Tests, Immunologic', 'Immunity, Cellular', 'Killer Cells, Natural/immunology', 'Mice', 'Mice, Inbred BALB C', 'Moloney murine leukemia virus', 'Sarcoma, Experimental/*immunology', 'T-Lymphocytes/*immunology']",1978/01/15 00:00,1978/01/15 00:01,['1978/01/15 00:00'],"['1978/01/15 00:00 [pubmed]', '1978/01/15 00:01 [medline]', '1978/01/15 00:00 [entrez]']",['10.1002/ijc.2910210116 [doi]'],ppublish,Int J Cancer. 1978 Jan 15;21(1):94-99. doi: 10.1002/ijc.2910210116.,,,,,,,,
304835,NLM,MEDLINE,19780426,20191028,0090-0877 (Print) 0090-0877 (Linking),6,6,1977,Alterations in the mitogen responsiveness of lymphocytes from mice bearing Moloney sarcoma virus induced tumors.,603-15,"The effects of Moloney Sarcoma Virus (MSV) induced tumor growth dynamics on the blastogenic responsiveness of lymphocytes from BALB/c mice were investigated. Lymphocytes from spleen, thymus and lymph node pools were tested for responsiveness to phytohemagglutinin (PHA) and concanavalin A (Con A). Results showed a significant decrease in PHA-induced blastogenesis of all lymphocytes tested at the time of maximal tumor volume, with a return to normal responsiveness as the tumor regressed. In contrast, a differential dose dependent Con A response occurred in spleen and thymus lymphocytes. A decreased 3H-thymidine uptake occurred at optimal Con A dose, correlating with the PHA decrease. However, at a lower Con A dose an increased response was observed, beginning shortly before the PHA depression and continuing until regression of tumor began. This phenomena was not observed in lymph node lymphocytes. Based upon these observations, we suggest that the cell or cells responsible for the transient suppression of PHA responsiveness may be Con A responsive T lymphocytes.","['Marshall, G D Jr', 'Thurman, G B', 'Foster, B G', 'Goldstein, A']","['Marshall GD Jr', 'Thurman GB', 'Foster BG', 'Goldstein A']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Immunol Commun,Immunological communications,0353016,['11028-71-0 (Concanavalin A)'],IM,"['Animals', 'Cell Transformation, Neoplastic', 'Concanavalin A/pharmacology', 'Dose-Response Relationship, Immunologic', 'Leukemia, Experimental/*immunology', '*Lymphocyte Activation', 'Male', 'Mice', 'Mice, Inbred BALB C', '*Moloney murine leukemia virus', 'Spleen/immunology', 'T-Lymphocytes/immunology']",1977/01/01 00:00,2001/03/28 10:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1977/01/01 00:00 [entrez]']",['10.3109/08820137709093470 [doi]'],ppublish,Immunol Commun. 1977;6(6):603-15. doi: 10.3109/08820137709093470.,,,,,,,,
304810,NLM,MEDLINE,19780417,20111117,0301-472X (Print) 0301-472X (Linking),6,1,1978 Jan,In vitro characteristics of childhood leukemic monoblasts.,9-17,"Leukemic monoblasts obtained from three children were evaluated for their in vitro physiologic characteristics. These monoblasts were alpha naphthyl acetate esterase positive, exhibited glass adherence, had IgG membrane receptors, phagocytized latex particles with subsequent nitroblue tetrazolium (NBT) reduction, and matured to macrophages in vitro, either when adherent to glass slides or in feeder layer suspensions. Employing the double layer in vitro bone marrow culture technique, leukemic marrows from these children failed to produce colonies in culture in the presence or absence of normal feeder layers. Varying the concentration of leukemic cells in the feeder layers failed to augment colony growth from normal bone marrows. Although monoblasts were observed to mature to macrophages in vitro, no increase in colony stimulating factor activity was observed with aging of the feeder layers. These studies suggest that childhood leukemic monoblasts lack the ability to produce colony stimulating activity, differing in this respect from monoblastic leukemia in adults.","['Weetman, R M', 'Chilcote, R R', 'Rierden, W J', 'Baehner, R L']","['Weetman RM', 'Chilcote RR', 'Rierden WJ', 'Baehner RL']",['eng'],['Journal Article'],Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (Colony-Stimulating Factors)', '0 (Immunoglobulin G)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Adolescent', 'Binding Sites, Antibody', 'Blood Cell Count', '*Bone Marrow Cells', 'Cell Division', 'Clone Cells', 'Colony-Stimulating Factors/biosynthesis', 'Female', 'Humans', 'Immunoglobulin G', 'Infant', '*Leukemia, Monocytic, Acute/immunology', '*Leukemia, Myeloid, Acute/immunology', 'Macrophages/immunology', 'Male', '*Monocytes', 'Phagocytosis', 'Receptors, Antigen, B-Cell']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1978 Jan;6(1):9-17.,,,,,,,,
304801,NLM,MEDLINE,19780426,20061115,0012-0472 (Print) 0012-0472 (Linking),103,2,1978 Jan 13,[Malignant histiocytosis (author's transl)].,55-61,"According to observations in six patients and published reports, malignant histiocytosis is characterized by premature multifocal proliferation of atypical histiocytes, especially in lymph-nodes, spleen, liver, bone marrow, and lung. The diagnosis can be confirmed by electron-microscopy, and enzyme as well as immunocytochemical tests. Fever, anaemia, leukopenia (with absolute reduction in T-lymphocytes), and jaundice are frequent. Immunoglobulins are normal or polyclonally increased. Malignant histiocytosis is more like monocyte leukaemia and histiocytosis X than neoplasms of the lymphatic system.","['Huhn, D', 'Meister, P', 'Thiel, E', 'Bartl, R', 'Theml, H']","['Huhn D', 'Meister P', 'Thiel E', 'Bartl R', 'Theml H']",['ger'],"['Case Reports', 'English Abstract', 'Journal Article']",Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,['0 (Immunoglobulins)'],IM,"['Adult', 'Autopsy', 'Bone Marrow/pathology', 'Female', 'Histiocytosis, Langerhans-Cell/immunology/*pathology/surgery', 'Humans', 'Immunoglobulins/analysis', 'Liver/pathology', 'Lung/pathology', 'Lymph Nodes/pathology', 'Male', 'Microscopy, Electron', 'Middle Aged', 'Splenectomy']",1978/01/13 00:00,1978/01/13 00:01,['1978/01/13 00:00'],"['1978/01/13 00:00 [pubmed]', '1978/01/13 00:01 [medline]', '1978/01/13 00:00 [entrez]']",['10.1055/s-0028-1104381 [doi]'],ppublish,Dtsch Med Wochenschr. 1978 Jan 13;103(2):55-61. doi: 10.1055/s-0028-1104381.,,Maligne Histiozytose.,,,,,,
