PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,TT,GS,RF,GR,CIN,PMC,CON,SI,EIN,RIN,OID,PS,FPS
2222235,NLM,MEDLINE,19901119,20190717,0003-9942 (Print) 0003-9942 (Linking),47,10,1990 Oct,No evidence for human T-cell leukemia virus type I or human T-cell leukemia virus type II infection in patients with multiple sclerosis.,1061-3,"The involvement of human T-cell leukemia viruses (HTLVs) in the pathogenesis of 18 Hungarian patients with multiple sclerosis was investigated. No antibody to HTLVs could be detected in any of the patients. Furthermore, using polymerase chain reaction under highly sensitive conditions, neither HTLV-I DNA nor HTLV-II DNA could be noted in peripheral blood lymphocytes of the patients. Our data do not support a causal association of HTLV-I or HTLV-II with multiple sclerosis.","['Perl, A', 'Nagy, K', 'Pazmany, T', 'Isaacs, C', 'Baraczka, K', 'Szabo, T', 'Feher, J']","['Perl A', 'Nagy K', 'Pazmany T', 'Isaacs C', 'Baraczka K', 'Szabo T', 'Feher J']","['Second Department of Medicine, Semmelweis University, Budapest, Hungary.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Arch Neurol,Archives of neurology,0372436,"['0 (DNA, Viral)', '0 (HTLV-I Antibodies)', '0 (HTLV-II Antibodies)']",IM,"['Adult', 'DNA, Viral/analysis', 'Female', 'HTLV-I Antibodies/analysis', 'HTLV-I Infections/*complications', 'HTLV-II Antibodies/analysis', 'HTLV-II Infections/*complications', 'Human T-lymphotropic virus 1/genetics', 'Human T-lymphotropic virus 2/genetics', 'Humans', 'Male', 'Middle Aged', 'Multiple Sclerosis/*complications/immunology', 'Polymerase Chain Reaction']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",ppublish,Arch Neurol. 1990 Oct;47(10):1061-3. doi: 10.1001/archneur.1990.00530100023007.,['10.1001/archneur.1990.00530100023007 [doi]'],,,,,,,,,,,,,
2222142,NLM,MEDLINE,19901116,20151119,0003-9985 (Print) 0003-9985 (Linking),114,10,1990 Oct,The technicon H6000 analyzer discriminates chronic lymphocytic leukemia from other B-cell leukemias through automatic assessment of large unstained cells.,1021-4,"The separation of chronic lymphocytic leukemia of B-cell origin from other chronic B-cell leukemias is subjective, being largely based on the morphologic features of the lymphoid cells in the peripheral blood. The percentage of large unstained cells determined with a Technicon H6000 analyzer (an automated blood cell differential analyzer, Technicon Instruments Corp, Tarrytown, NY) was used as a cell volume variable in an investigation of 70 cases of chronic lymphocytic leukemia of B-cell origin and of other chronic B-cell leukemias. The significant degree of correlation between the percentage of large unstained cells and morphoimmunophenotypic diagnosis, although obtained for a relatively small number of cases, suggests that this method of cell volume analysis can be used to improve diagnostic reproducibility in chronic B-cell leukemia.","['Orazi, A', 'Cattoretti, G', 'Rilke, F']","['Orazi A', 'Cattoretti G', 'Rilke F']","['Department of Anatomic Pathology and Cytology, National Cancer Institute, Milan, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,"['0 (Antibodies, Monoclonal)']",IM,"['Antibodies, Monoclonal', 'Automation', 'Blood Cell Count/instrumentation', 'Diagnosis, Differential', 'Humans', 'Leukemia, B-Cell/blood/*diagnosis', 'Leukemia, Lymphocytic, Chronic, B-Cell/blood/*diagnosis']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",ppublish,Arch Pathol Lab Med. 1990 Oct;114(10):1021-4.,,,,,,,,,,,,,,
2221930,NLM,MEDLINE,19901119,20201209,0385-0684 (Print) 0385-0684 (Linking),17,10,1990 Oct,[Septicemia in children with malignant disease].,2077-81,"Severe infection is a major cause of morbidity and mortality in patients with malignancy. In this study, 34 episodes of septicemia occurred in 1,468 childhood patients with malignancy who admitted and were treated at National Sapporo Hospital between 1979 and 1988. The occurrence of septicemia and its mortality rate were higher in malignant hematologic disease than in malignant solid tumor. Most cases of septicemia occurred in relapse. The most frequent organism causing septicemia were Klebsiella pneumoniae (16.3%) and Staphylococcus epidermidis (16.3%). Septicemia due to Gram-negative organism was more frequent than that of Gram-positive organism or fungus. Polymicrobic septicemia occurred 3 times and multiple episodes 6 times. They had a high mortality rate. Neutropenia was strongly associated with episode of septicemia. In our series, absolute neutrophil count under 500 per microliter developed septicemia. Especially, children with less than 100 granulocytes per microliter had a major risk factor for the development of infection and death. No children with granulocyte count greater than 1000 per microliter died in connection with septicemia.","['Hatae, Y', 'Takeda, T', 'Nakadate, H', 'Hatayama, Y', 'Kishino, T', 'Ogawa, Y']","['Hatae Y', 'Takeda T', 'Nakadate H', 'Hatayama Y', 'Kishino T', 'Ogawa Y']","['Dept. of Pediatrics, National Sapporo Hospital, Hokkaido Cancer Center.']",['jpn'],['Journal Article'],Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Klebsiella Infections/etiology', 'Klebsiella pneumoniae', 'Leukemia/complications', 'Lymphoma/complications', 'Neoplasms/*complications', 'Neutropenia/etiology', 'Sepsis/*etiology', 'Staphylococcal Infections/etiology', 'Staphylococcus epidermidis']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",ppublish,Gan To Kagaku Ryoho. 1990 Oct;17(10):2077-81.,,,,,,,,,,,,,,
2221859,NLM,MEDLINE,19901106,20210526,0066-4804 (Print) 0066-4804 (Linking),34,8,1990 Aug,Bactericidal effect of doxycycline associated with lysosomotropic agents on Coxiella burnetii in P388D1 cells.,1512-4,"There is no consistently reliable treatment for endocarditis resulting from chronic Coxiella burnetii infection, the causative agent of Q fever. Although certain antibiotics are recommended on the basis of their in vitro bactericidal activities, results of therapy with these antibiotics are often disappointing. To evaluate whether the currently recommended antibiotic susceptibility tests for C. burnetii give misleading results because of continued division of uninfected cells, thereby resulting in the dilution of infected cells and, hence, a false picture of antibiotic efficacy, we blocked cell division during antibiotic susceptibility testing with cycloheximide. Using this new method, we found that the currently recommended antibiotics for the treatment of Q fever, doxycycline, pefloxacin, and rifampin, did not reduce the ratio of infected to noninfected cells (either L929 or P388D1) by 9 days postinfection. To test the hypothesis that this lack of antibacterial activity is due to antibiotic inactivation by the low pH of the phagolysosomes in which C. burnetii is found, we used alkalinizing lysosomotropic agents (chloroquine or amantadine) concurrently with doxycycline. This resulted in the sterilization of C. burnetii infection in P388D1 cells. This finding seems to confirm our suspicion that the acidic conditions of the phagolysosomes in which C. burnetii is located inhibit antibiotic activity. This inhibition can be reversed in vitro when lysosomotropic alkalinizing agents are used.","['Raoult, D', 'Drancourt, M', 'Vestris, G']","['Raoult D', 'Drancourt M', 'Vestris G']","['Centre National de Reference des Rickettsies, Centre Hospitalier Universitaire de la Timone, Marseille, France.']",['eng'],['Journal Article'],United States,Antimicrob Agents Chemother,Antimicrobial agents and chemotherapy,0315061,"['0 (Anti-Bacterial Agents)', 'BF4C9Z1J53 (Amantadine)', 'N12000U13O (Doxycycline)']",IM,"['Amantadine/pharmacology', 'Animals', 'Anti-Bacterial Agents/pharmacology', 'Cell Division/drug effects', 'Coxiella/*drug effects', 'Doxycycline/*pharmacology', 'L Cells', 'Leukemia P388', 'Lysosomes/*drug effects', 'Mice', 'Microbial Sensitivity Tests', 'Tumor Cells, Cultured']",1990/08/01 00:00,1990/08/01 00:01,['1990/08/01 00:00'],"['1990/08/01 00:00 [pubmed]', '1990/08/01 00:01 [medline]', '1990/08/01 00:00 [entrez]']",ppublish,Antimicrob Agents Chemother. 1990 Aug;34(8):1512-4. doi: 10.1128/AAC.34.8.1512.,['10.1128/AAC.34.8.1512 [doi]'],,,,,,PMC171863,,,,,,,
2221386,NLM,MEDLINE,19901115,20190627,0003-2697 (Print) 0003-2697 (Linking),188,2,1990 Aug 1,A procedure for making simultaneous determinations of the relative levels of gene transcripts in tissues or cells.,349-55,"In this paper, we describe a method for making simultaneous determinations of the relative levels of selected resident gene transcripts in biological samples. The procedure consists of immobilizing a battery of cloned genes on a nitrocellulose or nylon filter and hybridizing the filter with radiolabeled cDNA synthesized from mRNA extracted from tissue or cell lines. The intensity of the autoradiographic signals obtained from the various genes on the filter is interpreted to be roughly proportional to the relative numbers of transcripts of the genes present in the original mRNA population. The reliability of the method was established by detecting the expression of c-N-ras and c-myc in human promyelocytic HL-60 cells, which are known to express these two oncogenes. The accuracy of the technique was further established by using a conventional method to hybridize filter-bound, cytoplasmic RNA with labeled probes synthesized from plasmid inserts of genes identified by the screening procedure. The utility of the procedure was demonstrated by our ability to simultaneously examine the relative levels of expression of 21 oncogenes in a radiation-induced canine lung carcinoma.","['Kerkof, P R', 'Kelly, G']","['Kerkof PR', 'Kelly G']","['Lovelace Inhalation Toxicology Research Institute, Albuquerque, New Mexico 87185.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Anal Biochem,Analytical biochemistry,0370535,"['0 (Membranes, Artificial)']",IM,"['Animals', 'Cloning, Molecular', 'Dogs', 'Humans', 'Leukemia, Promyelocytic, Acute/*genetics', 'Lung Neoplasms/*genetics', 'Membranes, Artificial', 'Neoplasms, Radiation-Induced/genetics', 'Nucleic Acid Hybridization', '*Oncogenes', '*Proto-Oncogenes', '*Transcription, Genetic', 'Tumor Cells, Cultured']",1990/08/01 00:00,1990/08/01 00:01,['1990/08/01 00:00'],"['1990/08/01 00:00 [pubmed]', '1990/08/01 00:01 [medline]', '1990/08/01 00:00 [entrez]']",ppublish,Anal Biochem. 1990 Aug 1;188(2):349-55. doi: 10.1016/0003-2697(90)90619-k.,"['0003-2697(90)90619-K [pii]', '10.1016/0003-2697(90)90619-k [doi]']",,,,,,,,,,,,,
2221045,NLM,MEDLINE,19901121,20171213,0002-9513 (Print) 0002-9513 (Linking),259,4 Pt 1,1990 Oct,Time-varying magnetic fields increase cytosolic free Ca2+ in HL-60 cells.,C687-92,"Electromagnetic fields have been reported to cause a variety of biological effects. It has been hypothesized that many of these phenomena are mediated by a primary effect on the concentration of cytosolic free calcium ([Ca2+]i). We investigated the effects of exposure to electromagnetic fields on [Ca2+]i in HL-60 cells using the Ca2(+)-sensitive fluorescent indicator indo-1. Indo-1-loaded cell samples were exposed to a radiofrequency electromagnetic field, a static magnetic field, and a time-varying magnetic field, which were generated by a magnetic resonance imaging (MRI) unit. We found that a 23-min exposure to all three fields, in combination, induced a significant increase in [Ca2+]i of 31 +/- 8 (SE) nM (P less than 0.01, n = 13) from a basal level of 121 +/- 8 nM. Also, cells exposed to only the time-varying magnetic field had a mean [Ca2+]i that was 34 +/- 10 nM (P less than 0.01, n = 11) higher than parallel control samples. Separate exposure to the radio-frequency (6.25 MHz) or static field (0.15 T) had no detectable effects. These results demonstrate that time-varying magnetic fields alter [Ca2+]i and suggest that at least some of the reported biological effects of time-varying magnetic fields may arise from elevation of [Ca2+]i.","['Carson, J J', 'Prato, F S', 'Drost, D J', 'Diesbourg, L D', 'Dixon, S J']","['Carson JJ', 'Prato FS', 'Drost DJ', 'Diesbourg LD', 'Dixon SJ']","[""Lawson Research Institute, St. Joseph's Health Centre, London, Ontario, Canada.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Physiol,The American journal of physiology,0370511,"['0 (Fluorescent Dyes)', '0 (Indoles)', 'N18RMK75W1 (indo-1)', 'SY7Q814VUP (Calcium)']",IM,"['Calcium/*metabolism', 'Cell Line', 'Cytosol/metabolism/radiation effects', 'Fluorescent Dyes', 'Humans', 'Indoles', 'Kinetics', 'Leukemia, Promyelocytic, Acute', 'Magnetic Resonance Imaging', '*Magnetics', 'Radio Waves', 'Spectrometry, Fluorescence', 'Time Factors']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",ppublish,Am J Physiol. 1990 Oct;259(4 Pt 1):C687-92. doi: 10.1152/ajpcell.1990.259.4.C687.,['10.1152/ajpcell.1990.259.4.C687 [doi]'],,,,,,,,,,,,,
2220834,NLM,MEDLINE,19901109,20190828,0271-3586 (Print) 0271-3586 (Linking),18,3,1990,Cancer in Iowa farmers: recent results.,295-301,"Previous analysis of Iowa death certificates from 1971 through 1978 identified several cancers with significantly elevated mortality in farmers. Subsequent ecological studies identified farm practices, including pesticide usage, that might be associated with these mortalities. These results led to several case-control studies and a similar analysis of more recent death certificates. 'Usual occupation' has been added to the death certificate tapes for the years 1979-1986. Cancer mortality in Iowa farmers for this period is very similar to that for 1971-1978. Case-control studies for acute lymphocytic leukemia and multiple myeloma indicated that farming in general is not a risk factor for either cancer type. However, exposure to general classes of insecticides and herbicides is associated with an elevated odds ratio in farmers for incidence of multiple myeloma. The odds ratios are not statistically significant at the 5% level, probably due to relatively small numbers of cases and controls exposed to any one class of pesticides.","['Burmeister, L F']",['Burmeister LF'],"['Department of Preventive Medicine and Environmental Health, University of Iowa, Iowa City 52242.']",['eng'],"['Journal Article', 'Review']",United States,Am J Ind Med,American journal of industrial medicine,8101110,['0 (Air Pollutants)'],IM,"[""Agricultural Workers' Diseases/*epidemiology/mortality"", 'Air Pollutants/adverse effects', 'Case-Control Studies', 'Female', 'Humans', 'Incidence', 'Iowa/epidemiology', 'Male', 'Neoplasms/*epidemiology/mortality', 'Risk Factors']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Am J Ind Med. 1990;18(3):295-301. doi: 10.1002/ajim.4700180309.,['10.1002/ajim.4700180309 [doi]'],,,5,,,,,,,,,,
2220769,NLM,MEDLINE,19901116,20190820,0361-8609 (Print) 0361-8609 (Linking),35,3,1990 Nov,FAB L3 type of B-cell acute lymphoblastic leukemia (B-ALL) without chromosome abnormalities.,216-8,"Acute lymphocytic leukemias (ALLs) are morphologically classified into L1, L2, and L3. The former two types are phenotypically constituted of quite heterogeneous ALLs. In the present study, phenotypes of cells from five L3 type ALL were analysed in FACS-IV using a panel of monoclonal antibodies (MAbs). The leukemic cells of all these patients coexpressed la (HLA-DR), CD19, CD20, CD21, CD24, CD38, and surface immunoglobulins, whereas a negative reaction with MAbs CD1, CD2, CD3, CD4, CD7, CD8, and Ti (WT31), Ti gamma A, delta TCS 1, and anti TCR-gamma/delta was observed. Neither myeloid-monocyte-erythroid nor megakaryocyte related cell surface antigens were detected in these cases with L3 type ALL. Chromosomal analysis of the ALL cells from two cases revealed a normoploid karyotype with specific translocation t(8;14)(q24;q32), whereas it was normal (46XY or 46XX) for the remaining three cases. Expression of myc oncogene was high in the former group, but low in the later one. Basing from our findings, we conclude that L3 type ALL is heterogeneous with respect to immunophenotypes, cytogenetics and oncogene analysis.","['Imamura, N', 'Mtasiwa, D M', 'Ota, H', 'Inada, T', 'Kuramoto, A']","['Imamura N', 'Mtasiwa DM', 'Ota H', 'Inada T', 'Kuramoto A']","['Department of Internal Medicine, Hiroshima University, Japan.']",['eng'],['Journal Article'],United States,Am J Hematol,American journal of hematology,7610369,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)', '0 (HLA-DR Antigens)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Antibodies, Monoclonal', 'Antigens, CD/*analysis', 'Burkitt Lymphoma/diagnosis/*genetics/immunology/pathology', 'Chromosome Aberrations', 'Chromosome Disorders', 'Flow Cytometry', 'HLA-DR Antigens/*analysis', 'Humans', 'Karyotyping', 'Receptors, Antigen, B-Cell/*analysis']",1990/11/01 00:00,1990/11/01 00:01,['1990/11/01 00:00'],"['1990/11/01 00:00 [pubmed]', '1990/11/01 00:01 [medline]', '1990/11/01 00:00 [entrez]']",ppublish,Am J Hematol. 1990 Nov;35(3):216-8. doi: 10.1002/ajh.2830350316.,['10.1002/ajh.2830350316 [doi]'],,,,,,,,,,,,,
2220768,NLM,MEDLINE,19901116,20190820,0361-8609 (Print) 0361-8609 (Linking),35,3,1990 Nov,Ph chromosome in a patient with non-leukemic non-Hodgkin B-cell lymphoma.,213-5,"A standard Philadelphia translocation, t(9;22) (q34;q11), was found in lymph node cells from a patient with non-leukemic non-Hodgkin lymphoma at the time of diagnosis. The rearrangement of the breakpoint cluster region (bcr) was not detected with a bcr-3' probe. The neoplastic clone was of monoclonal B-cell character with E-, CD5-, CD10-, CD13-, CD19+, CD20+, CD21+, CD25-, HLA DR+, and positive surface Ig(kappa). The patient showed no evidence of chronic myelogenous leukemia.","['Fujii, H', 'Yashige, H', 'Misawa, S', 'Tanaka, S', 'Urata, Y', 'Matuyama, F']","['Fujii H', 'Yashige H', 'Misawa S', 'Tanaka S', 'Urata Y', 'Matuyama F']","['Third Department of Internal Medicine, Kyoto First Red Cross Hospital, Japan.']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Antigens, CD)', '0 (HLA-DR Antigens)', '0 (Immunoglobulins)']",IM,"['Aged', 'Antigens, CD/analysis', 'Chromosomes, Human, Pair 22', 'Chromosomes, Human, Pair 9', 'HLA-DR Antigens/analysis', 'Humans', 'Immunoglobulins/analysis', 'Karyotyping', 'Lymph Nodes/pathology', 'Lymphoma, B-Cell/*genetics/immunology/pathology', 'Male', '*Philadelphia Chromosome', 'Translocation, Genetic']",1990/11/01 00:00,1990/11/01 00:01,['1990/11/01 00:00'],"['1990/11/01 00:00 [pubmed]', '1990/11/01 00:01 [medline]', '1990/11/01 00:00 [entrez]']",ppublish,Am J Hematol. 1990 Nov;35(3):213-5. doi: 10.1002/ajh.2830350315.,['10.1002/ajh.2830350315 [doi]'],,,,,,,,,,,,,
2220674,NLM,MEDLINE,19901107,20190510,0002-9173 (Print) 0002-9173 (Linking),94,4,1990 Oct,Isolation of measles virus in primary rhesus monkey cells from a child with acute interstitial pneumonia who cytologically had giant-cell pneumonia without a rash.,464-9,"The isolation of measles virus in primary Rhesus monkey kidney cells (PRMK) in patients with documented giant-cell pneumonia who have presented without a rash is limited. The diagnosis usually is made by cytologic examination of nasal or bronchial secretions in which characteristic multinucleated giant cells with intranuclear and intracytoplasmic inclusion bodies are observed. The diagnosis of giant-cell pneumonia has been associated with measles virus but not exclusively. Canine distemper, herpes group viruses, and parainfluenza infections have been associated with these cells. In addition, vitamin A deficiency also has been cytologically associated with multinucleated giant cells. The authors describe the isolation of measles virus from bronchial washing and sputum in PRMK cells at 4 days from an 11-year-old child with acute interstitial pneumonia who was in remission for acute lymphocytic leukemia. Classic cytopathologic effect (CPE) consisting of syncytial and hole formation on the PRMK monolayer was apparent. In addition, a foamy appearance of the monolayer was noted in an otherwise clean lot of monkey cells. Confirmatory testing with measles antibody of the infected areas of the monolayer by indirect immunofluorescence (IFA) was positive for measles antigen and negative for mumps, parainfluenza (types I, II, and III) and influenza A and B virus. Serologic studies for measles antibody revealed an IFA IgG titer of greater than 1:10,240, and an IgM titer of 1:128. Cytologic examination of the same bronchial fluid revealed the typical giant cells with characteristic inclusions associated with measles virus. Because this disease usually is severe, and often fatal, prompt recognition of this virus is essential, not only to the patient, who can be treated with immunoglobulin and/or antiviral therapy, but also to prevent the spread of the virus to other patients and medical personnel. These findings also support direct evidence for the etiologic role of measles virus in giant-cell pneumonia that has been detected either histologically or cytologically and in tissue culture at autopsy.","['Siegel, C', 'Johnston, S', 'Adair, S']","['Siegel C', 'Johnston S', 'Adair S']","['Department of Laboratory Medicine, Bellin Memorial Hospital, Green Bay, Wisconsin 54301.']",['eng'],['Journal Article'],England,Am J Clin Pathol,American journal of clinical pathology,0370470,"['0 (Immunoglobulin G)', '0 (Immunoglobulin M)']",IM,"['Animals', 'Bronchoalveolar Lavage Fluid', 'Cells, Cultured', 'Child', 'Female', 'Giant Cells/*pathology', 'Humans', 'Immunoglobulin G/analysis', 'Immunoglobulin M/analysis', 'Kidney/cytology/microbiology', 'Macaca mulatta/microbiology', 'Measles/*complications/pathology', 'Measles virus/*isolation & purification', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/microbiology/pathology', 'Pulmonary Fibrosis/etiology/microbiology/*pathology']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",ppublish,Am J Clin Pathol. 1990 Oct;94(4):464-9. doi: 10.1093/ajcp/94.4.464.,['10.1093/ajcp/94.4.464 [doi]'],,,,,,,,,,,,,
2220667,NLM,MEDLINE,19901107,20190510,0002-9173 (Print) 0002-9173 (Linking),94,4,1990 Oct,Global and molecular hemostatic markers in acute myeloid leukemia.,397-403,"Patients with acute myeloid leukemia have multiple hemostatic and thrombotic complications, which may or may not result from disseminated intravascular coagulation. Previous studies incorporating routine coagulation analyses failed to detect any clinically useful information in most of these patients. In this study, the first comprehensive evaluation of the various aspects of the hemostatic system in a population of patients with acute myeloid leukemia was performed. Eighteen patients (23-71 years of age) were studied at either diagnosis or relapse. Hemostatic studies were performed at onset and on days 3, 7, and 30 after initiation of therapy. The bone marrow blast counts ranged from 8% to 98%; prothrombin time and activated partial thromboplastin time showed only minor prolongations in a few of these patients. However, in all patients measurement of platelet-associated markers revealed elevated platelet factor 4 and thromboxane B2 and normal 6-keto-prostaglandin F1 alpha levels. Fibrinolytic markers showed an increase in D-dimer and tissue plasminogen activator and a decrease in alpha 2-antiplasmin levels. Plasminogen, plasminogen activator inhibitor, and fibrinogen levels were normal. Coagulation markers demonstrated a decrease in protein C and antithrombin III levels and an elevation of the thrombin-antithrombin complex. The pretreatment values for all hemostatic markers studied were similar to the values obtained on days 3, 7, and 30 during treatment. This investigation demonstrated a subclinical activation of the components of the hemostatic system possibly leading to a hypercoagulable state. Although only six patients (33%) experienced hemorrhagic complications, the risk of bleeding and/or thrombosis was strongly evident in all patients. The significance of finding abnormal levels of specific molecular markers of hemostasis will be established in the future application of such markers in clinical evaluations of leukemic patients known to be at risk for coagulation disorders.","['Reddy, V B', 'Kowal-Vern, A', 'Hoppensteadt, D A', 'Kumar, A', 'Walenga, J M', 'Fareed, J', 'Schumacher, H R']","['Reddy VB', 'Kowal-Vern A', 'Hoppensteadt DA', 'Kumar A', 'Walenga JM', 'Fareed J', 'Schumacher HR']","['Department of Pathology, Loyola University Medical Center, Maywood, Illinois 60153.']",['eng'],['Journal Article'],England,Am J Clin Pathol,American journal of clinical pathology,0370470,"['0 (Antifibrinolytic Agents)', '0 (Antithrombins)', '0 (Biomarkers, Tumor)']",IM,"['Acute Disease', 'Adult', 'Aged', 'Antifibrinolytic Agents/blood', 'Antithrombins/analysis', 'Biomarkers, Tumor', 'Blood Coagulation Tests', 'Enzyme-Linked Immunosorbent Assay', 'Female', '*Hemostasis', 'Humans', 'Leukemia, Myeloid/*blood', 'Male', 'Middle Aged', 'Platelet Function Tests', 'Radioimmunoassay', 'Risk Factors']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",ppublish,Am J Clin Pathol. 1990 Oct;94(4):397-403. doi: 10.1093/ajcp/94.4.397.,['10.1093/ajcp/94.4.397 [doi]'],,,,,,,,,,,,,
2219710,NLM,MEDLINE,19901121,20190714,0042-6822 (Print) 0042-6822 (Linking),178,2,1990 Oct,Isolation of a Friend recombinant polytropic virus with a T-cell-restricted leukemogenicity.,593-6,"Hematopoietic malignant cells of various types were isolated from ICFW mice inoculated as newborn or adult with F-MuLV and grafted into recipient mice. After repeated in vivo cell transplants, several recombinant polytropic viruses (also termed MCF or dualtropic viruses) were isolated from tumors by limiting dilution. Two virus isolates designated RA1-17 and EA1-17 were recovered from the spleen and the omentum, respectively, of the same grafted animal. When inoculated into newborn mice, RA1-17 induced erythroblastosis similar to that induced by other Friend recombinant polytropic viruses. Remarkably, EA1-17 induced T-cell leukemia after a short latency. To our knowledge, this is the first description of a polytropic recombinant virus with a T-cell tropism isolated after inoculation of F-MuLV.","['Della-Valle, V', 'Wendling, F', 'Sitbon, M', 'Varlet, P', 'Mathieu-Mahul, D', 'Larsen, C J']","['Della-Valle V', 'Wendling F', 'Sitbon M', 'Varlet P', 'Mathieu-Mahul D', 'Larsen CJ']","['U-301 INSERM, Institute de Genetique Moleculaire, Paris, France.']",['eng'],['Journal Article'],United States,Virology,Virology,0110674,"['0 (DNA, Viral)']",IM,"['Animals', 'Cell Line', 'Cloning, Molecular', 'DNA, Viral/chemistry', 'Friend murine leukemia virus/genetics/*isolation & purification/pathogenicity', 'Leukemia, Erythroblastic, Acute/*microbiology', 'Leukemia, T-Cell/*microbiology', 'Mice', 'Mice, Inbred Strains', 'Recombination, Genetic', 'Tissue Transplantation']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",ppublish,Virology. 1990 Oct;178(2):593-6. doi: 10.1016/0042-6822(90)90360-4.,['10.1016/0042-6822(90)90360-4 [doi]'],,,,,,,,,,,,,
2219521,NLM,MEDLINE,19901116,20071115,0041-5782 (Print) 0041-5782 (Linking),152,39,1990 Sep 24,[Leukemoid reaction caused by hypernephroma primary diagnosed as chronic granulocytic leukemia].,2862-3,"A case of leukemoid reaction associated with renal carcinoma is presented. On account of the high leukocyte count and a palpable abdominal mass in the upper left quadrant, interpreted as an enlarged spleen, the primary tentative diagnosis was chronic granulocytic leukemia. Abdominal ultrasonographic scan revealed an enlarged left kidney and subsequent nephrectomy revealed a large hypernephroma. Leukemoid reactions associated with malignant disease are described in general with emphasis on the differential diagnosis.","['Kjeldsen, L']",['Kjeldsen L'],"['Medicinsk afdeling A, Rigshospitalet, Kobenhavn.']",['dan'],"['Case Reports', 'English Abstract', 'Journal Article']",Denmark,Ugeskr Laeger,Ugeskrift for laeger,0141730,,IM,"['Adult', 'Carcinoma, Renal Cell/*complications/diagnosis', 'Diagnosis, Differential', 'Female', 'Humans', 'Kidney Neoplasms/*complications/diagnosis', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*diagnosis', 'Leukemoid Reaction/diagnosis/*etiology']",1990/09/24 00:00,1990/09/24 00:01,['1990/09/24 00:00'],"['1990/09/24 00:00 [pubmed]', '1990/09/24 00:01 [medline]', '1990/09/24 00:00 [entrez]']",ppublish,Ugeskr Laeger. 1990 Sep 24;152(39):2862-3.,,"Hypernefrom-udlost leukaemoid reaktion, primaert opfattet som kronisk granulocyt leukaemi.",,,,,,,,,,,,
