PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,GR,CIN,TT,SI,PMC,CRF,CON,EIN,OID,LID,RF,GS,OAB,OABL,OTO,OT,GN
2295067,NLM,MEDLINE,19900213,20061115,0008-5472 (Print) 0008-5472 (Linking),50,2,1990 Jan 15,Absence of IFNA and IFNB genes from human malignant glioma cell lines and lack of correlation with cellular sensitivity to interferons.,278-83,"We report that 5 of 19 human malignant glioma cell lines have neither interferon alpha (IFNA) nor interferon beta (IFNB) genes that are detectable by Southern blotting. Of 5 other of these malignant glioma lines that have a single IFNB gene copy, 3 lack the IFNA genes entirely and two have one copy. One of the lines that lacks the IFNA genes entirely but has one copy of the IFNB gene has a rearrangement near the IFNB gene that is most easily interpreted as an insertion of a large segment of DNA (at least 50 kilobases) the 3' end of which is less than 1.3 kilobases 5' to the known regulatory sequences of the IFNB gene. In spite of the rearrangement, IFNB-specific RNA is highly inducible in this line by poly(I)-poly(C). The ability of interferon alpha or interferon beta to inhibit cell growth does not depend upon the presence or absence of the respective gene. This finding adds solid tumors to those tumor cell lines (acute lymphocytic leukemia, chronic myelogeneous leukemia) previously determined to lack the IFNA and IFNB genes (Diaz et al., Proc. Natl. Acad. Sci. USA, 85:5259-5263, 1988).","['Miyakoshi, J', 'Dobler, K D', 'Allalunis-Turner, J', 'McKean, J D', 'Petruk, K', 'Allen, P B', 'Aronyk, K N', 'Weir, B', 'Huyser-Wierenga, D', 'Fulton, D']","['Miyakoshi J', 'Dobler KD', 'Allalunis-Turner J', 'McKean JD', 'Petruk K', 'Allen PB', 'Aronyk KN', 'Weir B', 'Huyser-Wierenga D', 'Fulton D', 'et al.']","['Department of Medicine, Cross Cancer Institute, Edmonton, Alberta, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,IM,"['*Chromosome Deletion', 'Chromosome Mapping', 'DNA/analysis', 'Gene Rearrangement', 'Genes, Regulator', 'Glioma/*genetics/pathology', 'Humans', 'Interferon Type I/*genetics/pharmacology', 'RNA, Messenger/analysis', 'Tumor Cells, Cultured']",1990/01/15 00:00,1990/01/15 00:01,['1990/01/15 00:00'],"['1990/01/15 00:00 [pubmed]', '1990/01/15 00:01 [medline]', '1990/01/15 00:00 [entrez]']",,ppublish,Cancer Res. 1990 Jan 15;50(2):278-83.,"['0 (Interferon Type I)', '0 (RNA, Messenger)', '9007-49-2 (DNA)']",,,,,,,,,,,,,,,,,
2295055,NLM,MEDLINE,19900213,20190619,0008-543X (Print) 0008-543X (Linking),65,2,1990 Jan 15,Central nervous system involvement in adult T-cell leukemia/lymphoma.,327-32,"Central nervous system (CNS) involvement was reviewed in 99 patients with adult T-cell leukemia/lymphoma (ATLL). Fifteen episodes of CNS involvement developed in ten of 99 patients (10.1%); nine had leptomeningeal involvement, whereas two developed intracerebral invasion, one developed cord involvement, and one developed both. CNS involvement was more frequent in the lymphoma type than in the other types of ATLL. Nuchal rigidity was not common (33%) and a syndrome of inappropriate secretion of antidiuretic hormone (ADH) occurred in association with CNS involvement (40%). Three episodes of marked hypoglycorrhachia also were noticed. The systemic progression of ATLL was the most common setting of CNS involvement (80%) and the major cause of death (80%). As for the acute and lymphoma types of ATLL, no significant difference was observed in survival between patients with and those without CNS involvement. These results indicate that CNS involvement is not an essential prognostic factor of ATLL and that it should be treated with systemic chemotherapy coupled with intrathecal chemotherapy. The control of systemic ATLL is important for the prophylaxis of CNS involvement.","['Teshima, T', 'Akashi, K', 'Shibuya, T', 'Taniguchi, S', 'Okamura, T', 'Harada, M', 'Sumida, I', 'Hanada, M', 'Niho, Y']","['Teshima T', 'Akashi K', 'Shibuya T', 'Taniguchi S', 'Okamura T', 'Harada M', 'Sumida I', 'Hanada M', 'Niho Y']","['First Department of Internal Medicine, Faculty of Medicine, Kyushu University, Fukuoka, Japan.']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,IM,"['Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Central Nervous System Diseases/cerebrospinal fluid/drug therapy/*pathology', 'Cerebrospinal Fluid/cytology', 'Female', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/cerebrospinal fluid/drug therapy/mortality/*pathology', 'Male', 'Middle Aged', 'Neoplasm Recurrence, Local', 'Prognosis', 'Vasopressins/metabolism']",1990/01/15 00:00,1990/01/15 00:01,['1990/01/15 00:00'],"['1990/01/15 00:00 [pubmed]', '1990/01/15 00:01 [medline]', '1990/01/15 00:00 [entrez]']",['10.1002/1097-0142(19900115)65:2<327::aid-cncr2820650224>3.0.co;2-w [doi]'],ppublish,Cancer. 1990 Jan 15;65(2):327-32. doi: 10.1002/1097-0142(19900115)65:2<327::aid-cncr2820650224>3.0.co;2-w.,['11000-17-2 (Vasopressins)'],,,,,,,,,,,,,,,,,
2295053,NLM,MEDLINE,19900213,20190619,0008-543X (Print) 0008-543X (Linking),65,2,1990 Jan 15,Hairy cell leukemia in two siblings. A human leukocyte antigen-linked disease?,319-21,"Shared haplotypes have been documented in three of the four previously reported families with familial hairy cell leukemia (HCL). Human leukocyte antigen (HLA) typing was done on a four-member sibship in which two siblings had hairy cell leukemia. The two affected siblings share the haplotype A2; Bw6, Bw62(15); Cw1; DR4, DRw53; DQw3. No one HLA antigen or haplotype is common among the five families reported at this time. These limited data suggest HCL is not associated with a specific HLA antigen. HLA typing of a larger collection of cases of familial HCL may help better define what role, if any, inheritance plays in the occurrence of this rare disorder among numerous first degree relatives.","['Ward, F T', 'Baker, J', 'Krishnan, J', 'Dow, N', 'Kjobech, C H']","['Ward FT', 'Baker J', 'Krishnan J', 'Dow N', 'Kjobech CH']","['Department of Pathology, Walter Reed Army Medical Center, Washington, DC 20037-5001.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Cancer,Cancer,0374236,IM,"['Aged', 'HLA Antigens/*genetics', 'Haplotypes/genetics', 'Humans', 'Leukemia, Hairy Cell/*genetics', 'Male', 'Middle Aged']",1990/01/15 00:00,1990/01/15 00:01,['1990/01/15 00:00'],"['1990/01/15 00:00 [pubmed]', '1990/01/15 00:01 [medline]', '1990/01/15 00:00 [entrez]']",['10.1002/1097-0142(19900115)65:2<319::aid-cncr2820650222>3.0.co;2-x [doi]'],ppublish,Cancer. 1990 Jan 15;65(2):319-21. doi: 10.1002/1097-0142(19900115)65:2<319::aid-cncr2820650222>3.0.co;2-x.,['0 (HLA Antigens)'],,,,,,,,,,,,,,,,,
2295006,NLM,MEDLINE,19900222,20210216,0006-4971 (Print) 0006-4971 (Linking),75,2,1990 Jan 15,Vancomycin-dependent antibodies associated with thrombocytopenia and refractoriness to platelet transfusion in patients with leukemia.,518-23,"Two patients with leukemia experienced profound thrombocytopenia and refractoriness to platelet transfusion during vancomycin treatment. In one patient, withdrawal of drug and administration of platelet transfusions restored platelet counts to near normal levels (approximately 100 x 10(9)/L), however, subsequent challenge with vancomycin due to recurring infection again precipitated severe thrombocytopenia (platelets less than 10 x 10(9)/L) and life-threatening hemorrhagic symptoms. Potent vancomycin-dependent antiplatelet antibodies were detected in the serum of both patients during the refractory period using staphylococcal protein A rosette formation. Employing a monoclonal antibody-antigen capture enzyme-linked immunosorbent assay (ELISA), the patients were found to have vancomycin-dependent IgG antibodies that bound specifically to platelet glycoproteins (GP) IIb and/or IIIa. One of these antibodies failed to react with platelets deficient in GPIIb/IIIa obtained from an individual with Glanzmann's thrombasthenia. These findings provide the first major evidence for drug-dependent antibodies in association with severe thrombocytopenia and refractoriness to platelet transfusion in alloimmunized leukemia patients and, further, provide the first demonstration of vancomycin-dependent antibodies reactive with platelets.","['Christie, D J', 'van Buren, N', 'Lennon, S S', 'Putnam, J L']","['Christie DJ', 'van Buren N', 'Lennon SS', 'Putnam JL']","['Department of Laboratory Medicine and Pathology, University of Minnesota, Minneapolis.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,IM,"['Adult', 'Aged', 'Blood Platelets/immunology', 'Female', 'Humans', 'Isoantibodies/biosynthesis', 'Leukemia, Myeloid, Acute/immunology/*therapy', 'Leukemia, T-Cell/immunology/*therapy', 'Male', 'Platelet Membrane Glycoproteins/immunology', '*Platelet Transfusion', 'Thrombocytopenia/*etiology/immunology', 'Vancomycin/*adverse effects']",1990/01/15 00:00,1990/01/15 00:01,['1990/01/15 00:00'],"['1990/01/15 00:00 [pubmed]', '1990/01/15 00:01 [medline]', '1990/01/15 00:00 [entrez]']",['S0006-4971(20)85803-0 [pii]'],ppublish,Blood. 1990 Jan 15;75(2):518-23.,"['0 (Isoantibodies)', '0 (Platelet Membrane Glycoproteins)', '6Q205EH1VU (Vancomycin)']",,,,,,,,,,,,,,,,,
2295005,NLM,MEDLINE,19900222,20210216,0006-4971 (Print) 0006-4971 (Linking),75,2,1990 Jan 15,Effective prophylaxis against platelet refractoriness in multitransfused patients by use of leukocyte-free blood components.,512-7,"Development of permanent platelet refractoriness is a major problem in multitransfused patients with diseases such as leukemia, aplastic anemia, or pediatric solid tumors. We tried to prevent alloimmunization in these patients by systematic use of leukocyte-free blood components with less than one million of contaminating leukocytes per unit of platelets or red cells. Our study group comprised 26 patients with a minimum of 10 platelet transfusions per patient. These patients were compared with a historical reference group of 21 patients who had received standard blood products. In the leukocyte-free group none developed platelet refractoriness, in contrast to the reference group where 11 of the 21 patients became refractory to random platelets. The median corrected platelet increment for random pooled platelets was significantly higher in the leukocyte-free group compared with the reference group. The increasing number of transfusions did not correlate with the development of platelet refractoriness; instead we propose that the lower limit of antigenic exposure is important. We conclude that systematic use of leukocyte-free blood components effectively prevents development of platelet refractoriness and contributes to optimal supportive care of children with cancer.","['Saarinen, U M', 'Kekomaki, R', 'Siimes, M A', 'Myllyla, G']","['Saarinen UM', 'Kekomaki R', 'Siimes MA', 'Myllyla G']","[""Children's Hospital, University of Helsinki, Finland.""]",['eng'],['Journal Article'],United States,Blood,Blood,7603509,IM,"['Blood Platelets/immunology', 'Child', '*Erythrocyte Transfusion', 'HLA Antigens/analysis', 'Histocompatibility', 'Humans', 'Immunization', 'Leukocyte Transfusion', 'Pancytopenia/*therapy', 'Platelet Count', '*Platelet Transfusion']",1990/01/15 00:00,1990/01/15 00:01,['1990/01/15 00:00'],"['1990/01/15 00:00 [pubmed]', '1990/01/15 00:01 [medline]', '1990/01/15 00:00 [entrez]']",['S0006-4971(20)85802-9 [pii]'],ppublish,Blood. 1990 Jan 15;75(2):512-7.,['0 (HLA Antigens)'],,,,,,,,,,,,,,,,,
2294995,NLM,MEDLINE,19900209,20210216,0006-4971 (Print) 0006-4971 (Linking),75,1,1990 Jan 1,Serum levels of tumor necrosis factor-alpha in hairy cell leukemia.,321-3,,"['Weiss, C', 'Stehle, B', 'Ho, A D', 'Hunstein, W']","['Weiss C', 'Stehle B', 'Ho AD', 'Hunstein W']",,['eng'],"['Comment', 'Letter']",United States,Blood,Blood,7603509,IM,"['Humans', 'Leukemia, Hairy Cell/*blood', 'Tumor Necrosis Factor-alpha/*analysis']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",['S0006-4971(20)85861-3 [pii]'],ppublish,Blood. 1990 Jan 1;75(1):321-3.,['0 (Tumor Necrosis Factor-alpha)'],,,,,,,['Blood. 1989 Mar;73(4):880-4. PMID: 2920210'],,,,,,,,,,
2294994,NLM,MEDLINE,19900209,20210216,0006-4971 (Print) 0006-4971 (Linking),75,1,1990 Jan 1,Specificities of monoclonal antibodies B-ly7 and HML-1 are identical.,320-1,,"['Schwarting, R', 'Dienemann, D', 'Kruschwitz, M', 'Fritsche, G', 'Stein, H']","['Schwarting R', 'Dienemann D', 'Kruschwitz M', 'Fritsche G', 'Stein H']",,['eng'],"['Comment', 'Letter']",United States,Blood,Blood,7603509,IM,"['Antibodies, Monoclonal/*immunology', 'Antibody Specificity', 'B-Lymphocytes/immunology', 'Humans', 'Leukemia, Hairy Cell/immunology']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",['S0006-4971(20)85860-1 [pii]'],ppublish,Blood. 1990 Jan 1;75(1):320-1.,"['0 (Antibodies, Monoclonal)']",,,,,,,['Blood. 1989 Jul;74(1):320-5. PMID: 2665837'],,,,,,,,,,
2294988,NLM,MEDLINE,19900209,20210216,0006-4971 (Print) 0006-4971 (Linking),75,1,1990 Jan 1,Myeloid-associated antigen expression lacks prognostic value in childhood acute lymphoblastic leukemia treated with intensive multiagent chemotherapy.,198-202,"Frequency and clinical significance of myeloid-associated antigen expression in blast cells were assessed in 372 consecutive children with acute lymphoblastic leukemia (ALL). A comprehensive panel of myeloid monoclonal antibodies representing seven cluster groups showed myeloid-associated antigen expression in 61 cases (16.4%), 18 of which expressed two or more antigens. The antigens expressed comprised CD11b (8.9% of the total series), CD13 (6.5%), CD33 (3.2%), CD36 (1.9%), CD15 (1.6%), CD14 (1.3%), and CDw12 (1.1%). No significant associations were found between myeloid-associated antigen expression and the presence of known adverse prognostic features (eg, higher leukocyte count, nonwhite race, older age). Myeloid-associated antigen expression had no effect on remission induction or event-free survival for the 267 children who had been treated with the same combination of chemotherapeutic agents (P = .34). Thus, blast cell expression of myeloid-associated antigens in childhood ALL appears to lack prognostic value in the context of contemporary intensive chemotherapy.","['Pui, C H', 'Behm, F G', 'Singh, B', 'Rivera, G K', 'Schell, M J', 'Roberts, W M', 'Crist, W M', 'Mirro, J Jr']","['Pui CH', 'Behm FG', 'Singh B', 'Rivera GK', 'Schell MJ', 'Roberts WM', 'Crist WM', 'Mirro J Jr']","[""Department of Hematology-Oncology, St Jude Children's Research Hospital, Memphis, TN 38101.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,IM,"['Antibodies, Monoclonal', 'Antigens, CD/*analysis', 'Antigens, Differentiation, Myelomonocytic/*analysis', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Child', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/drug therapy/*immunology', 'Prognosis', 'Survival Analysis']",1990/01/01 00:00,2001/03/28 10:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1990/01/01 00:00 [entrez]']",['S0006-4971(20)85837-6 [pii]'],ppublish,Blood. 1990 Jan 1;75(1):198-202.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)', '0 (Antigens, Differentiation, Myelomonocytic)']","['CA-20180/CA/NCI NIH HHS/United States', 'CA-21765/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,,
2294987,NLM,MEDLINE,19900209,20210216,0006-4971 (Print) 0006-4971 (Linking),75,1,1990 Jan 1,Assay of lymphokine-activated killer activity generated from bone marrow cells of children with acute lymphoblastic leukemia.,160-5,"We recently reported that low molecular weight B-cell growth factor (LMW-BCGF) plus recombinant interleukin-2 (rIL-2) synergistically induced lymphokine-activated killer (LAK) activity from the bone marrow (BM) cells of children with acute lymphoblastic leukemia (ALL). The kinetics of cell growth, antigenic phenotype, and lytic activity of the generated effector cells were further analyzed in this study. BM cells from ALL patients with active disease and in complete remission (CR) were cultured with a combination of LMW-BCGF and rIL-2. Monoclonal antibodies (anti-CD3 and anti-Leu 19) and immunomagnetic beads were used to separate LAK cells into three subsets: CD3+/Leu 19-, CD3+/Leu 19+, and CD3-/Leu 19+. Cytotoxicity assays with different subsets were performed versus K562, Raji, and autologous leukemic cells, using a 3-hour 51Cr release test. There was a significant cell expansion of 54-fold (mean value) for CD3+ cells and 15-fold for Leu 19+ cells in culture with LMW-BCGF plus rIL-2 for 7 to 14 days, whereas no cell expansion was observed in culture with rIL-2 alone. Although NK activity (K562) was generated from leukemic BM cells in culture with rIL-2 alone, it is only about one third of that generated in culture with rIL-2 plus LMW-BCGF. Analysis of lytic activity of cells generated in the latter cultures demonstrated that CD3-/Leu 19+ cells expressed highest lytic activity against NK-sensitive K562 cells as well as against NK-resistant Raji cells. CD3+/Leu 19+ cells showed median cytotoxicity, and CD3+Leu 19- cells mediated only minimal cytotoxic activity. Also, lytic activity of CD3-/Leu 19+ cells against autologous leukemic blasts was noted in patients with active disease. Our results demonstrate that LAK activity generated from BM cells by LMW-BCGF and r-IL2 is mediated mainly by two types of Leu 19+ cells: CD3-/Leu 19+ NK cells and CD3-/Leu 19+ T cells. Although CD3+ T cells (both Leu 19+ and Leu 19-) mediated less antitumor cytotoxicity than CD3-/Leu 19+ cells, the former cells were the major expanding cell population in culture with LMW-BCGF and rIL-2. The new culture system may be effective in generation of cells with LAK activity for therapeutic use.","['Zhou, M X', 'Findley, H W Jr', 'Davis, R', 'Ragab, A H']","['Zhou MX', 'Findley HW Jr', 'Davis R', 'Ragab AH']","['Division of Pediatric Hematology/Oncology, Emory University, Atlanta, GA 30322.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,IM,"['Adolescent', 'Antigens, CD/analysis', 'Bone Marrow/immunology/pathology', 'Cytotoxicity, Immunologic', 'HLA-DR Antigens/analysis', 'Humans', 'Immunity, Cellular', 'In Vitro Techniques', 'Interleukin-2/pharmacology', 'Interleukin-4/pharmacology', 'Killer Cells, Lymphokine-Activated/*immunology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*immunology/pathology']",1990/01/01 00:00,2001/03/28 10:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1990/01/01 00:00 [entrez]']",['S0006-4971(20)85832-7 [pii]'],ppublish,Blood. 1990 Jan 1;75(1):160-5.,"['0 (Antigens, CD)', '0 (HLA-DR Antigens)', '0 (Interleukin-2)', '207137-56-2 (Interleukin-4)']",['CA-20549/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,
2294841,NLM,MEDLINE,19900206,20190514,0003-4932 (Print) 0003-4932 (Linking),211,1,1990 Jan,Elective subtotal splenectomy. Indications and results in 33 patients.,34-42,"Elective subtotal splenectomy was performed in 33 patients (30 children and 3 adults) between 1981 and 1989. Indications for the procedure were (1) prevention of azathioprine-induced neutropenia (n = 20); (2) Type I Gaucher disease (n = 9); and (3) cholesteryl ester storage disease, chronic myelogenous leukemia, thalassemia major, and splenic cyst in one patient each. There were no operative deaths, no reoperations for bleeding, and 30 of 33 (91%) patients had a functioning splenic remnant documented by a postoperative radionuclide spleen scan. One patient developed neutropenia without evidence of viral infection that required temporary cessation of azathioprine and the patient with thalassemia major had only transient improvement in transfusion requirements. All other patients (94%) had control of the underlying condition for which the operation was performed. We conclude that subtotal splenectomy is a safe, effective therapy for a variety of nontraumatic conditions.","['Guzzetta, P C', 'Ruley, E J', 'Merrick, H F', 'Verderese, C', 'Barton, N']","['Guzzetta PC', 'Ruley EJ', 'Merrick HF', 'Verderese C', 'Barton N']","[""Department of Surgery, Children's Hospital National Medical Center, Washington, D.C. 20010.""]",['eng'],['Journal Article'],United States,Ann Surg,Annals of surgery,0372354,IM,"['Adolescent', 'Adult', 'Azathioprine/adverse effects', 'Child', 'Child, Preschool', 'Gaucher Disease/surgery', 'Humans', 'Infant', 'Neutropenia/chemically induced/prevention & control', 'Spleen/physiopathology', 'Splenectomy/adverse effects/*methods', 'Splenomegaly/surgery']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",['10.1097/00000658-199001000-00006 [doi]'],ppublish,Ann Surg. 1990 Jan;211(1):34-42. doi: 10.1097/00000658-199001000-00006.,['MRK240IY2L (Azathioprine)'],,,,,PMC1357890,,,,,,,,,,,,
2294772,NLM,MEDLINE,19900207,20190626,0002-9343 (Print) 0002-9343 (Linking),88,1,1990 Jan,Chronic granulocytic leukemia versus neutrophilic leukemoid reaction.,83-4,,"['Ramos, F J', 'Zamora, F', 'Perez-Sicilia, M', 'Sang, M A', 'del Villar, R']","['Ramos FJ', 'Zamora F', 'Perez-Sicilia M', 'Sang MA', 'del Villar R']","['Hospital General Rio Carrion, Palencia, Spain.']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Med,The American journal of medicine,0267200,IM,"['Adenocarcinoma/blood/diagnosis', 'Colorectal Neoplasms/blood/diagnosis', 'Diagnosis, Differential', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*diagnosis', 'Leukemoid Reaction/*diagnosis', 'Liver Neoplasms/diagnosis/secondary', 'Male', 'Middle Aged', 'Neutrophils']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']","['0002-9343(90)90136-2 [pii]', '10.1016/0002-9343(90)90136-2 [doi]']",ppublish,Am J Med. 1990 Jan;88(1):83-4. doi: 10.1016/0002-9343(90)90136-2.,,,,,,,,,,,,,,,,,,
2294771,NLM,MEDLINE,19900207,20190626,0002-9343 (Print) 0002-9343 (Linking),88,1,1990 Jan,Low-dose cytosine arabinoside in relapsed acute lymphocytic leukemia.,82-3,,"['Amara, F', 'Colonna, P']","['Amara F', 'Colonna P']","['Centre Pierre et Marie Curie, Hopital Mustapha Alger, Algeria.']",['eng'],['Journal Article'],United States,Am J Med,The American journal of medicine,0267200,IM,"['Adolescent', 'Adult', 'Child', 'Cytarabine/*administration & dosage/therapeutic use', 'Female', 'Humans', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Recurrence', 'Remission Induction']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']","['0002-9343(90)90135-Z [pii]', '10.1016/0002-9343(90)90135-z [doi]']",ppublish,Am J Med. 1990 Jan;88(1):82-3. doi: 10.1016/0002-9343(90)90135-z.,['04079A1RDZ (Cytarabine)'],,,,,,,,,,,,,,,,,
2294759,NLM,MEDLINE,19900207,20190626,0002-9343 (Print) 0002-9343 (Linking),88,1,1990 Jan,Proposal for a simple synthesis prognostic staging system in chronic myelogenous leukemia.,1-8,"PURPOSE: Several prognostic models or staging systems have been published that identify different risk groups in patients with Philadelphia chromosome (Ph)-positive chronic myelogenous leukemia (CML). The aims of this study were (1) to test, in an independent population, the prognostic reproducibility of these staging systems; and (2) to develop a synthesis staging system that could be easily applied in clinical practice. PATIENTS AND METHODS: A total of 406 patients with newly diagnosed Ph-positive CML were evaluated by the four published staging systems of Tura, Cervantes, Sokal, and our group. The proposed synthesis staging system was developed based on the most consistent prognostic characteristics, and the presence or absence of accelerated disease features at diagnosis. The staging systems were compared according to survival outcome, as well as by looking for differences of survival outcomes within a specific stage of a defined system, when patients in this stage were subclassified by a second staging system. RESULTS: Whereas the staging system of Cervantes et al identified only two prognostic groups (median survivals of 49 versus 40 months; p = 0.01), the remaining three staging systems were able to segregate patients into stage 1, 2, and 3 risk groups with respective median survivals of 56 to 57, 41 to 42, and 28 to 36 months, respectively (p less than 0.001 to p less than 0.002). The new proposed staging system, based on the existence of zero to one (stage 1), two (stage 2), or three or more unfavorable (stage 3) characteristics, or the presence of accelerated disease features (stage 4), categorized patients into four prognostic groups with median survivals of 56, 45, 30, and 30 months, respectively (p less than 0.001), the latter stage (stage 4) being associated with a higher one-year mortality rate (29%). The synthesis staging system was also able to subclassify patients within most of Tura's and Sokal's stages into significantly different prognostic groups by survival outcome. CONCLUSION: The predictive prognostic capacity of three of the four published staging systems was confirmed in this independent or test population. The new proposed staging system was superior to the staging systems of Tura and Sokal in identifying different prognostic subgroups.","['Kantarjian, H M', 'Keating, M J', 'Smith, T L', 'Talpaz, M', 'McCredie, K B']","['Kantarjian HM', 'Keating MJ', 'Smith TL', 'Talpaz M', 'McCredie KB']","['Department of Hematology, M.D. Anderson Cancer Center, Houston, Texas.']",['eng'],"['Comparative Study', 'Journal Article']",United States,Am J Med,The American journal of medicine,0267200,IM,"['Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/genetics/mortality/*pathology', 'Neoplasm Staging/*methods', 'Philadelphia Chromosome', 'Prognosis']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']","['0002-9343(90)90119-X [pii]', '10.1016/0002-9343(90)90119-x [doi]']",ppublish,Am J Med. 1990 Jan;88(1):1-8. doi: 10.1016/0002-9343(90)90119-x.,,,,,,,,,,,,,,,,,,
2294753,NLM,MEDLINE,19900206,20200824,0002-9297 (Print) 0002-9297 (Linking),46,1,1990 Jan,Order of genes on human chromosome 5q with respect to 5q interstitial deletions.,26-36,"Using (a) somatic cell hybrids retaining partial chromosome 5 and (b) clinical samples from patients with acquired deletions of the long arm of chromosome 5, combined with chromosome 5-linked DNA probes, some of which exhibited RFLPs, we have determined the order of a series of genes on chromosome 5. The order established is 5pter----MLVI-2----cen----HEXB----DHFR----Pi227- --- cp12.6----(IL5,IL4)----IL3----GMCSF---- FGFA---- (CSF1R,PDGFR)----(treC,ADRBR)----(ARH-H9,CSF1 )----qter. The suggested order and orientation for the closely linked IL3/GMCSF gene pair is cen----5' IL3 3'----5' GMCSF 3'----qter, on the basis of analysis of the GMCSF rearrangement in HL60 DNA. The map position of the GRL locus, which was consistent with both somatic cell hybrid and 5q- analyses, was telomeric to GMCSF and centromeric to CSF1R/PDGFR, near FGFA. Long-range restriction-enzyme analysis of 5q- DNAs did not detect rearrangements of 5q-linked probes except in HL60 DNA, but it did reveal putative long-range RFLPs of several loci. RFLPs for GRL, Pi227, cp12.6, IL3, and CSF1R can detect deletions in bone marrow and in leukemia cells from patients with acquired 5q deletions.","['Huebner, K', 'Nagarajan, L', 'Besa, E', 'Angert, E', 'Lange, B J', 'Cannizzaro, L A', 'van den Berghe, H', 'Santoli, D', 'Finan, J', 'Croce, C M']","['Huebner K', 'Nagarajan L', 'Besa E', 'Angert E', 'Lange BJ', 'Cannizzaro LA', 'van den Berghe H', 'Santoli D', 'Finan J', 'Croce CM', 'et al.']","['Fels Institute for Cancer Research and Molecular Biology, Temple University School of Medicine, Philadelphia, PA 19140.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Hum Genet,American journal of human genetics,0370475,IM,"['Animals', 'Blotting, Southern', '*Chromosome Deletion', '*Chromosome Mapping', '*Chromosomes, Human, Pair 5', 'DNA Probes', 'Genetic Linkage', 'Genetic Markers', 'Humans', 'Hybrid Cells', 'Mice']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",,ppublish,Am J Hum Genet. 1990 Jan;46(1):26-36.,"['0 (DNA Probes)', '0 (Genetic Markers)']","['CA 21124/CA/NCI NIH HHS/United States', 'CA 25875/CA/NCI NIH HHS/United States', 'CA 39860/CA/NCI NIH HHS/United States']",,,,PMC1683525,,,,,,,,,,,,
