PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,CIN,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GS,PMC,GR,SI,EIN,RIN,RF,TT,CON,CN,OID,OTO,OT,GN,LID,ROF
1966365,NLM,MEDLINE,19910923,20031114,0003-9055 (Print) 0003-9055 (Linking),44,6,1990,"New ELISA test for detection of bovine leukemia virus infections in cattle, using bacterially synthesized p24.",925-30,"A new ELISA test is described for the detection of antibodies to bovine leukemia virus protein p24. This test employs a bacterially synthesized p24 antigen which represents a hybrid protein consisting of beta-galactosidase and about 70% of the mature viral p24. The antigen preparation was enriched from Escherichia coli cells to 95% purity and was used for the detection of antibodies in cattle. In a selected set of 100 positive field sera, 97 could be verified by the new test.","['Siakkou, H', 'Kube, D', 'Peters, H', 'Otto, A', 'Ulrich, R', 'Rosenthal, S']","['Siakkou H', 'Kube D', 'Peters H', 'Otto A', 'Ulrich R', 'Rosenthal S']","['Department of Cell Differentiation, Academy of Sciences, Berlin-Buch.']",['eng'],['Journal Article'],Germany,Arch Exp Veterinarmed,Archiv fur experimentelle Veterinarmedizin,0372410,"['0 (Antibodies, Viral)', '0 (Recombinant Proteins)', '0 (Viral Proteins)']",IM,,"['Animals', 'Antibodies, Viral/*analysis', 'Cattle', 'Cattle Diseases/*diagnosis', 'Enzyme-Linked Immunosorbent Assay', 'Leukemia/diagnosis/*veterinary', 'Leukemia Virus, Bovine/*immunology', 'Recombinant Proteins/immunology', 'Viral Proteins/*immunology']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",,ppublish,Arch Exp Veterinarmed. 1990;44(6):925-30.,,,,,,,,,,,,,,,,
1966364,NLM,MEDLINE,19910923,20031114,0003-9055 (Print) 0003-9055 (Linking),44,6,1990,Use of monoclonal antibody against major internal protein p24 of bovine leukemia virus in capture ELISA.,917-23,"A monoclonal antibody (4H4) against the major internal protein, p24, of bovine leukemia virus (BLV) is described. It recognizes a sequence determinant on the p24-molecule and displays high affinity to its antigen. The monoclonal antibody 4H4 was applied in capture ELISA for diagnosis of enzootic bovine leukosis, using crude BLV-preparation as antigen. This test is more sensitive than the immunodiffusion test and at least as sensitive as direct ELISA.","['Platzer, C', 'Siakkou, H', 'Kraus, G', 'Grobel, C', 'Rosenthal, S']","['Platzer C', 'Siakkou H', 'Kraus G', 'Grobel C', 'Rosenthal S']","['Central Institute of Molecular Biology, Academy of Sciences, Berlin, Buch.']",['eng'],['Journal Article'],Germany,Arch Exp Veterinarmed,Archiv fur experimentelle Veterinarmedizin,0372410,"['0 (Antibodies, Monoclonal)', '0 (Viral Proteins)']",IM,,"['Animals', 'Antibodies, Monoclonal/*immunology', 'Cattle', 'Cattle Diseases/*diagnosis', 'Enzyme-Linked Immunosorbent Assay', 'Leukemia/diagnosis/*veterinary', 'Leukemia Virus, Bovine/*immunology', 'Predictive Value of Tests', 'Viral Proteins/*immunology']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",,ppublish,Arch Exp Veterinarmed. 1990;44(6):917-23.,,,,,,,,,,,,,,,,
1966363,NLM,MEDLINE,19910923,20031114,0003-9055 (Print) 0003-9055 (Linking),44,6,1990,Synthesis of bovine leukemia virus antigens in Escherichia coli.,909-16,"Plasmids were constructed by the use of pEX vectors that encode and express different parts of the bovine leukemia virus (BLV): main core protein p24, nucleic acid-binding protein p12, transmembrane protein gp30, and different segments of envelope protein gp51. Expression of fusion proteins with molecular weights higher than 117 kD for all recombinant plasmids was shown in Coomassie-blue stained gels and by Western blot analysis with rabbit anti-BLV sera. Coupling of a gp51-encoding with a p24-encoding DNA fragment in pEX vectors led to synthesis of a fusion protein that was recognized by monoclonal antibodies directed against gp51 and p24 epitopes. Using another vector, a gp51-encoding DNA fragment of BLV was expressed as a fusion protein with 100 amino acids of the MS2 polymerase. The fusion protein was recognized by monoclonal antibodies directed against gp51.","['Ulrich, R', 'Siakkou, H', 'Platzer, C', 'Bossmann, H', 'Mohring, R', 'Wiedmann, M', 'Bahring, S', 'Rosenthal, S']","['Ulrich R', 'Siakkou H', 'Platzer C', 'Bossmann H', 'Mohring R', 'Wiedmann M', 'Bahring S', 'Rosenthal S']","['Central Institute of Molecular Biology, Academy of Sciences, Berlin-Buch.']",['eng'],['Journal Article'],Germany,Arch Exp Veterinarmed,Archiv fur experimentelle Veterinarmedizin,0372410,"['0 (Antigens, Viral)', '0 (DNA, Recombinant)', '0 (DNA, Viral)']",IM,,"['Animals', 'Antigens, Viral/*biosynthesis/genetics', 'Cloning, Molecular', 'DNA, Recombinant', 'DNA, Viral/*analysis', 'Escherichia coli/genetics', 'Gene Expression Regulation, Viral', 'Leukemia Virus, Bovine/genetics/*immunology']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",,ppublish,Arch Exp Veterinarmed. 1990;44(6):909-16.,,,,,,,,,,,,,,,,
1966362,NLM,MEDLINE,19910923,20081121,0003-9055 (Print) 0003-9055 (Linking),44,6,1990,Recombinants from a proviral bovine leukemia virus genome corresponding to the 3' region transactivate viral LTR in NIH3T3 and non-infected FLK cells.,901-7,"Bovine leukemia virus (BLV), like human T-cell leukemia viruses, Types I and II, contains three open reading frames at the 3' end of its genome. The longest open reading frame encodes a transactivator protein which is generated by a doubly-spliced mRNA. A series of co-transfection experiments, using proviral BLV pX expression plasmids under the control of the Moloney leukemia virus LTR and the indicator plasmid containing the assayable lac Z gene under the control of BLV LTR, revealed that both NIH3T3 cells and non-infected fetal lamb kidney cells are able to express an active transactivator protein.","['Noetzel, U', 'Bauer, D', 'Fischer, U', 'Rosenthal, S']","['Noetzel U', 'Bauer D', 'Fischer U', 'Rosenthal S']","['Central Institute of Molecular Biology, Academy of Sciences, Berlin-Buch.']",['eng'],['Journal Article'],Germany,Arch Exp Veterinarmed,Archiv fur experimentelle Veterinarmedizin,0372410,['0 (Trans-Activators)'],IM,,"['Animals', 'Cell Line', 'Leukemia Virus, Bovine/*genetics', 'Plasmids', 'Proviruses/*genetics', '*Repetitive Sequences, Nucleic Acid', 'Trans-Activators/genetics', '*Transcriptional Activation', 'Transfection']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",,ppublish,Arch Exp Veterinarmed. 1990;44(6):901-7.,,,,,,,,,,,,,,,,
1966337,NLM,MEDLINE,19910924,20071115,0301-1208 (Print) 0301-1208 (Linking),27,6,1990 Dec,Photosensitization of cultured cells and viruses by pyrene lipids.,359-62,"Administration of pyrene-linked fatty acids and lipids to cultured cells or an enveloped (vesicular stomatitis) virus induced photosensitization which, following irradiation with a long ultra-violet light (LUV), resulted in killing of the cells and loss of the infectivity of the virus with the following specific effects. (i) LUV illumination of the pyrene-sphingomyelin administered cultured skin fibroblasts derived from normal individuals and patients with Niemann-Pick disease permitted selective killing of the latter. (ii) Similarly LUV illumination of pyrenedodecanoic acid (P12) incubates of leukemic cell lines mixed with human bone marrow cells permitted selective killing of the former. (iii) LUV illumination of P12 incubates of vesicular stomatitis virus decreased the infectivity of the virus by up to 12 logs.","['Gatt, S', 'Dinur, T', 'Abou-Rabia, S', 'Kotler, M', 'Fibach, E']","['Gatt S', 'Dinur T', 'Abou-Rabia S', 'Kotler M', 'Fibach E']","['Department of Membrane Biochemistry, Hebrew University, Hadassah School of Medicine, Jerusalem, Israel.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",India,Indian J Biochem Biophys,Indian journal of biochemistry & biophysics,0310774,"['0 (Lauric Acids)', '0 (Pyrenes)', '0 (Sphingomyelins)', '69168-45-2 (12-(1-pyrene)dodecanoic acid)']",IM,,"['Cell Survival/*drug effects/radiation effects', 'Cells, Cultured', 'Fibroblasts', 'Lauric Acids/*pharmacology', 'Leukemia, Myeloid/pathology', 'Niemann-Pick Diseases/pathology', 'Pyrenes/*pharmacology', 'Sphingomyelins/*pharmacology', 'Tumor Cells, Cultured', '*Ultraviolet Rays', 'Vesicular stomatitis Indiana virus/*growth & development']",1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",,ppublish,Indian J Biochem Biophys. 1990 Dec;27(6):359-62.,,,,,,,23,,,,,,,,,
1966023,NLM,MEDLINE,19910809,20181130,0171-2985 (Print) 0171-2985 (Linking),181,4-5,1990 Nov,"Nucleotide-, chemotactic peptide- and phorbol ester-induced exocytosis in HL-60 leukemic cells.",298-316,"Undifferentiated and differentiated HL-60 leukemic cells possess nucleotide receptors which functionally couple to phospholipase C via pertussis toxin-sensitive guanine nucleotide-binding proteins (G-proteins). We investigated the role of extracellular nucleotides in the regulation of beta-glucuronidase release in HL-60 cells. In dibutyryl cyclic AMP (Bt2cAMP)-differentiated HL-60 cells, the chemotactic peptide, N-formyl-L-methionyl-L-leucyl-L-phenylalanine (fMet-Leu-Phe), the phosphorothioate analogue of ATP, adenosine 5'-O-[3-thio]triphosphate (ATP[gamma S]), and UTP increased cytosolic Ca2+ from 100 nM up to 1.2 microM with EC50 values of 4 nM, 1 microM and 100 nM, respectively. In these cells, ATP[gamma S] induced exocytosis with an EC50 of 4 microM and an effectiveness amounting to 50-70% of that of fMet-Leu-Phe. ATP, ITP, UTP, CTP, and uridine 5'-O-[2-thio]diphosphate activated exocytosis as well. Phorbol myristate acetate (PMA) induced exocytosis with an EC50 of 115 ng/ml and an effectiveness similar to that of ATP[gamma S]. Cytochalasin B (CB) differently potentiated exocytosis induced by ATP[gamma S], fMet-Leu-Phe and PMA. Treatment of Bt2cAMP-differentiated HL-60 cells with pertussis toxin (500 ng/ml) for 24 h resulted in ADP-ribosylation of more than 97.5% of the G-proteins. Under these conditions, pertussis toxin almost completely inhibited the increase in cytosolic Ca2+ and beta-glucuronidase release induced by fMet-Leu-Phe but only partially inhibited the effects of ATP[gamma S] and UTP. fMet-Leu-Phe at a non-stimulatory concentration (1 nM) potentiated ATP[gamma S]-induced beta-glucuronidase release in the presence but not in the absence of CB. In contrast, ATP[gamma S] and fMet-Leu-Phe synergistically activated superoxide formation in the absence of CB. PMA potentiated superoxide formation induced by ATP[gamma S] or fMet-Leu-Phe and did not affect exocytosis induced by ATP[gamma S] or fMet-Leu-Phe. In undifferentiated HL-60 cells, fMet-Leu-Phe, ATP[gamma S], UTP and PMA did not induce beta-glucuronidase release. fMet-Leu-Phe did not increase cytosolic Ca2+ in undifferentiated HL-60 cells, whereas ATP[gamma S] and UTP were similarly potent and effective as in Bt2cAMP-differentiated cells. In differentiated HL-60 cells, fMet-Leu-Phe induced aggregation, and ATP[gamma S] induced a transient shape change. Our results show (I) that exocytosis in HL-60 cells does not obligatorily depend on CB. (II) Purine and pyrimidine nucleotides activate exocytosis via pertussis toxin-sensitive and -insensitive signal transduction pathways.(ABSTRACT TRUNCATED AT 400 WORDS)","['Wenzel-Seifert, K', 'Seifert, R']","['Wenzel-Seifert K', 'Seifert R']","['Abteilung fur Allgemeine Medizin und Nephrologie, Universitatsklinikum Steglitz, Berlin, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Immunobiology,Immunobiology,8002742,"['0 (Nucleotides)', '0 (Phorbol Esters)', '11062-77-4 (Superoxides)', '3CHI920QS7 (Cytochalasin B)', '59880-97-6 (N-Formylmethionine Leucyl-Phenylalanine)', '63X7MBT2LQ (Bucladesine)', 'EC 3.2.1.31 (Glucuronidase)', 'SY7Q814VUP (Calcium)']",IM,,"['Bucladesine/pharmacology', 'Calcium/metabolism', 'Cell Differentiation/drug effects', 'Cytochalasin B/pharmacology', 'Exocytosis/*drug effects/physiology', 'Glucuronidase/metabolism', 'Humans', 'Leukemia/pathology/physiopathology', 'N-Formylmethionine Leucyl-Phenylalanine/pharmacology', 'Nucleotides/pharmacology', 'Phorbol Esters/pharmacology', 'Superoxides/metabolism', 'Tumor Cells, Cultured/drug effects/pathology/*physiology']",1990/11/01 00:00,1990/11/01 00:01,['1990/11/01 00:00'],"['1990/11/01 00:00 [pubmed]', '1990/11/01 00:01 [medline]', '1990/11/01 00:00 [entrez]']","['S0171-2985(11)80499-7 [pii]', '10.1016/S0171-2985(11)80499-7 [doi]']",ppublish,Immunobiology. 1990 Nov;181(4-5):298-316. doi: 10.1016/S0171-2985(11)80499-7.,,,,,,,,,,,,,,,,
1965991,NLM,MEDLINE,19910805,20131121,,32,5,1990,The protection of hemopoietic mice progenitors by WR-2721 during photodynamic therapy.,357-9,"Photodynamic therapy is a new concept for in vitro evaluation of bone marrow clearance in leukemia. This treatment eliminates 99.9999% of leukemic cells, but under the same conditions over 50% of normal bone marrow cells are damaged. WR-2721, a thiol compound, is reported to except a protective effect for bone marrow against radiation therapy. This study analyzed the protective effect of WR-2721 during photodynamic therapy with hematoporphyrin derivative. Mice hemopoietic cells were exposed to laser light after sensitization by hematoporphyrin, with or without WR-2721 at 3 dose levels (250, 500, 750 mg/kg). The efficacy of protection was evaluated by GM-CFU assay in collagen gel medium. Results showed significant protection at 25 and 50 j/cm2 (p less than 0.05), but at 75 j/cm2 irradiation only the 750 mg/kg dosage remained protective. The protective factor of WR-2721 is 1.65 (95% confidence interval: 1.38-1.99) WR-2721 is protective against photodynamic lesions but this protection is diminished by increased irradiation energy. The best results are obtained with a dose of 750 mg/kg though this appears to be toxic. Further studies are needed to evaluate the action of WR-2721 on leukemic cells before the use of WR-2721 in bone marrow clearance.","['Maloisel, F', 'Foultier, M T', 'Patrice, T', 'Praloran, V', 'Oberling, F', 'Le Bodic, L']","['Maloisel F', 'Foultier MT', 'Patrice T', 'Praloran V', 'Oberling F', 'Le Bodic L']","[""Institut d'Hematologie, Hospices Civils, Strasbourg, France.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,['M487QF2F4V (Amifostine)'],IM,,"['Amifostine/*therapeutic use', 'Animals', 'Cells, Cultured', 'Colony-Forming Units Assay', 'Hematopoietic Stem Cells/*drug effects', 'Mice', 'Mice, Inbred Strains', 'Photochemotherapy/*methods']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol. 1990;32(5):357-9.,,,,,,,,,,,,,,,,
1965980,NLM,MEDLINE,19910807,20031114,0019-5189 (Print) 0019-5189 (Linking),28,12,1990 Dec,Detection of px gene product of bovine leukemia virus in infected cells.,1107-11,"Bovine leukemia virus (BLV), like its closest relatives human T-cell leukemia virus-I and II, contain a 'px' gene, between the 'env' gene and the 3' long terminal repeat in its genome. A monoclonal antibody prepared against a synthetic oligopeptide whose sequence was deduced from highly conserved region of 'px' gene of BLV, was used to detect the presence of 'px' gene product in chronically BLV infected synchronised cells. By immunoperoxidase staining the 'px' gene product was detected maximum after 6-9 hr after synchronization in the nucleus of the cells which demonstrated the close interaction of it with viral DNA which is integrated with host cell genome.","['Grover, Y P', 'Guillemain, B', 'Mamoun, R']","['Grover YP', 'Guillemain B', 'Mamoun R']","['INSERM U-117, Unite de Recherches de Radiobiologie, Experimentale et de Cancerologie, Fondation Bergonie, Bordeaux, France.']",['eng'],['Journal Article'],India,Indian J Exp Biol,Indian journal of experimental biology,0233411,"['0 (Gene Products, tax)', '0 (Retroviridae Proteins, Oncogenic)', '0 (Viral Proteins)', '0 (transactivator protein p38(tax))']",IM,,"['Amino Acid Sequence', 'Animals', 'Cells, Cultured', 'Gene Products, tax/*analysis/genetics', '*Genes, pX', 'Leukemia Virus, Bovine/*genetics', 'Molecular Sequence Data', 'Retroviridae Proteins, Oncogenic/*analysis/genetics', 'Viral Proteins/*analysis/genetics']",1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",,ppublish,Indian J Exp Biol. 1990 Dec;28(12):1107-11.,['px'],,,,,,,,,,,,,,,
1965945,NLM,MEDLINE,19910808,20061115,0954-6642 (Print) 0954-6642 (Linking),1,5,1990,Improved preparative separation of human B and T lymphocytes and determination of relative mobilities of B and T lymphoblast cell lines by free flow electrophoresis.,283-9,"The improved quantitative separation of human B and T lymphocytes by free flow electrophoresis is presented. Buffer systems with different compositions are tested analytically and partly preparatively for their effect on the separation profile. The best result is achieved with a modified phosphate-buffered saline and allows the enrichment of unstimulated, functionally intact B and T lymphocytes as well as monocytes in three distinct fractions. Furthermore, the electrophoretic mobilities of six established acute lymphoblastic leukemia cell lines are determined with regard to the mobilities of the healthy cells.","['Baier, T G', 'Bier, F F', 'Schonberg, D']","['Baier TG', 'Bier FF', 'Schonberg D']","['Division of Pediatric Endocrinology, University of Heidelberg, Federal Republic of Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Appl Theor Electrophor,Applied and theoretical electrophoresis : the official journal of the International Electrophoresis Society,8915308,"['0 (Buffers)', '0 (Receptors, Cell Surface)', '0 (Receptors, Somatomedin)']",IM,,"['*B-Lymphocytes/metabolism', 'Buffers', 'Cell Movement', '*Cell Separation', 'Diffusion', '*Electrophoresis', 'Humans', 'Receptors, Cell Surface/metabolism', 'Receptors, Somatomedin', '*T-Lymphocytes/metabolism', 'Tumor Cells, Cultured']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",,ppublish,Appl Theor Electrophor. 1990;1(5):283-9.,,,,,,,,,,,,,,,,
1965887,NLM,MEDLINE,19910729,20170214,0956-4624 (Print) 0956-4624 (Linking),1,5,1990 Sep,"Inhibition of urethane leukaemia virus, a murine retrovirus, in mice by zidovudine.",349-56,"The purpose of the study was to characterize in vivo an immunodepressive murine retroviral 'model' for the possible testing of drugs against HIV infection. Urethane leukaemia virus (ULV) injected into adult BALB/c mice (10(5) focus-forming units/mouse) caused a small, significant splenomegaly from 2 to at least 9 weeks after virus inoculation. Virus was also present in up to 60% nucleated splenocytes (XC 'infectious centre assay'). Effects on splenomegaly and virus in splenocytes were assayed following various regimens of zidovudine given as 0.5 mg/ml or 0.25 mg/ml in drinking water. Regimens included continuous treatment both before and after ULV, only before, and only after ULV inoculation. Zidovudine was also given for a limited period immediately after virus, or initiated after virus infection was established. Zidovudine given continuously at and following ULV infection completely prevented splenomegaly and virus expression in splenocytes. No other regimen was as effective; however, limited zidovudine treatment immediately after virus inoculation greatly reduced the effects of virus, while the same dose initiated after virus infection was established had only a small ameliorating effect. We conclude that ULV may prove to be a useful addition to other available murine systems, and this is discussed.","['Harvey, J J', 'Tuffrey, M', 'Wedderburn, N', 'Alexander, F', 'Curtis, J', 'Taylor-Robinson, D', 'Dore, C']","['Harvey JJ', 'Tuffrey M', 'Wedderburn N', 'Alexander F', 'Curtis J', 'Taylor-Robinson D', 'Dore C']","['Division of Sexually Transmitted Diseases, MRC Clinical Research Centre, Harrow, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Int J STD AIDS,International journal of STD & AIDS,9007917,['4B9XT59T7S (Zidovudine)'],IM,,"['Analysis of Variance', 'Animals', 'Cell Line', 'Disease Models, Animal', 'Drug Administration Schedule', 'Mice', 'Mice, Inbred BALB C', 'Organ Size/drug effects', 'Retroviridae/*drug effects/pathogenicity', 'Spleen/anatomy & histology', 'Splenomegaly/drug therapy', 'Viral Plaque Assay', 'Zidovudine/*pharmacology']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",['10.1177/095646249000100510 [doi]'],ppublish,Int J STD AIDS. 1990 Sep;1(5):349-56. doi: 10.1177/095646249000100510.,,,,,,,,,,,,,,,,
1965833,NLM,MEDLINE,19910722,20111117,0390-6078 (Print) 0390-6078 (Linking),75,5,1990 Sep-Oct,Peripheral polyneuropathy during treatment with alpha-2 interferon.,485-6,,"['Cudillo, L', 'Cantonetti, M', 'Venditti, A', 'Lentini, R', 'Rossini, P M', 'Caramia, M', 'Masi, M', 'Papa, G']","['Cudillo L', 'Cantonetti M', 'Venditti A', 'Lentini R', 'Rossini PM', 'Caramia M', 'Masi M', 'Papa G']",,['eng'],"['Case Reports', 'Letter']",Italy,Haematologica,Haematologica,0417435,"['0 (Immunologic Factors)', '0 (Interferon Type I)', '0 (Recombinant Proteins)']",IM,,"['Humans', 'Immunologic Factors/*adverse effects/therapeutic use', 'Interferon Type I/*adverse effects/therapeutic use', 'Leg', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/complications/*therapy', 'Male', 'Middle Aged', 'Motor Neurons/drug effects', 'Muscular Atrophy/chemically induced', 'Peripheral Nervous System Diseases/*chemically induced', 'Recombinant Proteins']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",,ppublish,Haematologica. 1990 Sep-Oct;75(5):485-6.,,,,,,,,,,,,,,,,
1965793,NLM,MEDLINE,19910722,20131121,0268-3369 (Print) 0268-3369 (Linking),6,6,1990 Dec,Autoimmune pancytopenia following allogeneic bone marrow transplantation.,445-7,"A 47-year-old female developed autoimmune hemolytic anemia, autoimmune neutropenia, and autoimmune thrombocytopenia 19 months following allogeneic bone marrow transplantation for chronic myelogenous leukemia. Treatment with high-dose corticosteroids resulted in marked improvement in all three cell lines.","['Klumpp, T R', 'Caligiuri, M A', 'Rabinowe, S N', 'Soiffer, R J', 'Murray, C', 'Ritz, J']","['Klumpp TR', 'Caligiuri MA', 'Rabinowe SN', 'Soiffer RJ', 'Murray C', 'Ritz J']","['Division of Tumor Immunology, Dana-Farber Cancer Institute, Boston.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,['VB0R961HZT (Prednisone)'],IM,,"['Autoimmune Diseases/drug therapy/*etiology', 'Bone Marrow Transplantation/*adverse effects/immunology', 'Female', '*Host vs Graft Reaction', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/immunology/*surgery', 'Middle Aged', 'Pancytopenia/drug therapy/*etiology', 'Peripheral Nervous System Diseases/etiology', 'Prednisone/therapeutic use', 'Transplantation, Homologous/adverse effects/immunology']",1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",,ppublish,Bone Marrow Transplant. 1990 Dec;6(6):445-7.,,,['N01-AI62531/AI/NIAID NIH HHS/United States'],,['Bone Marrow Transplant 1992 Feb;9(2):150. Caliguri MA [corrected to Caligiuri MA]'],,,,,,,,,,,
1965681,NLM,MEDLINE,19910715,20191021,0939-5075 (Print) 0341-0382 (Linking),45,11-12,1990 Nov-Dec,Differential in vitro anti-HIV activity of natural lignans.,1215-21,"Two naturally occurring lignanolides, isolated from the tropical climbing shrub Ipomoea cairica, (-)-arctigenin and (-)-trachelogenin, were found to inhibit strongly replication of human immunodeficiency virus type 1 (HIV-1; strain HTLV-III B) in vitro. At a concentration of 0.5 microM, (-)-arctigenin and (-)-trachelogenin inhibited the expression of HIV-1 proteins p17 and p24 by 80-90% and 60-70%, respectively. The reverse transcriptase activity in the culture fluids was reduced by 80-90% when the cells (HTLV-III B/H9) were cultivated in the presence of 0.5 microM (-)-arctigenin or 1 microM (-)-trachelogenin. At the same concentrations, the formation of syncytia in the HTLV-III B/H9-Jurkat cell system was inhibited by the compounds by more than 80%. A series of other lignan type compounds displayed no anti-HIV activity. Studying the molecular mechanism of action of (-)-arctigenin and (-)-trachelogenin we found that both compounds are efficient inhibitors of the nuclear matrix-associated DNA topoisomerase II activity, particularly of the enzyme from HIV-1-infected cells. Our results suggest that both compounds prevent the increase of topoisomerase II activity, involved in virus replication, after infection of cells with HIV-1.","['Schroder, H C', 'Merz, H', 'Steffen, R', 'Muller, W E', 'Sarin, P S', 'Trumm, S', 'Schulz, J', 'Eich, E']","['Schroder HC', 'Merz H', 'Steffen R', 'Muller WE', 'Sarin PS', 'Trumm S', 'Schulz J', 'Eich E']","['Abteilung Angewandte Molekularbiologie, Universitat Mainz, Bundesrepublik Deutschland.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Z Naturforsch C J Biosci,"Zeitschrift fur Naturforschung. C, Journal of biosciences",8912155,"['0 (Antiviral Agents)', '0 (Lignans)', '0 (Viral Proteins)', '9005-53-2 (Lignin)', 'EC 5.99.1.3 (DNA Topoisomerases, Type II)']",IM,,"['Animals', 'Antiviral Agents/*pharmacology', 'Cell Division/drug effects', 'Cell Line', 'DNA Topoisomerases, Type II/metabolism', 'HIV/*drug effects/physiology', 'HIV-1/*drug effects/physiology', 'Humans', 'Leukemia L5178', 'Lignans', 'Lignin/*pharmacology', 'Mice', 'Plasmids', 'Structure-Activity Relationship', 'Viral Proteins/biosynthesis']",1990/11/01 00:00,1990/11/01 00:01,['1990/11/01 00:00'],"['1990/11/01 00:00 [pubmed]', '1990/11/01 00:01 [medline]', '1990/11/01 00:00 [entrez]']",['10.1515/znc-1990-11-1222 [doi]'],ppublish,Z Naturforsch C J Biosci. 1990 Nov-Dec;45(11-12):1215-21. doi: 10.1515/znc-1990-11-1222.,,,,,,,,,,,,,,,,
